"X1";"X288";"X32";"X46";"X4";"X2";"X36";"X19";"X61";"X64";"X18";"X11";"X14";"X29";"X22";"X37";"X59";"X3";"X58";"X56";"X52";"X15";"X12";"X1.1";"X51";"X43";"X54";"X28";"X25";"X23";"X30";"X13";"X20";"X35";"X44";"X26";"X48";"X55";"X27";"X49";"X21";"X57";"X38";"X39";"X45";"X6";"X31";"X33";"X7";"X8";"X41";"X5";"X42";"X47";"X40";"X24";"X50";"X16";"X10";"X62";"X34";"X17";"X63";"X9";"X60";"X53"
32;46;25;2;14;19;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;44;18;48;64;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;24;50;16;34;62;10;17;63;9;60;53;1;284
1;284;32;46;25;2;14;19;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;44;18;48;64;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;24;50;16;34;62;10;17;63;9;60;53
32;46;25;2;24;19;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;44;18;48;64;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;14;50;16;34;62;10;17;63;9;60;53;1;284
1;284;32;46;25;2;24;19;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;44;18;48;64;27;49;21;57;38;39;45;6;31;33;7;8;41;5;42;47;11;14;50;16;34;62;10;17;63;9;60;53
32;46;25;2;24;19;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;44;18;48;64;27;49;21;57;38;39;45;6;31;33;7;8;14;5;42;47;11;41;50;16;34;62;10;17;63;9;60;53;1;284
1;284;32;46;25;2;24;19;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;44;18;48;64;27;49;21;57;38;39;45;6;31;33;7;8;14;5;42;47;11;41;50;16;34;62;10;17;63;9;60;53
32;46;25;2;24;19;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;44;18;48;64;27;49;21;57;16;39;45;6;31;33;7;8;14;5;42;47;11;41;50;38;34;62;10;17;63;9;60;53;1;284
1;284;32;46;25;2;24;19;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;44;18;48;64;27;49;21;57;16;39;45;6;31;33;7;8;14;5;42;47;11;41;50;38;34;62;10;17;63;9;60;53
32;46;25;2;24;44;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;19;18;48;64;27;49;21;57;16;39;45;6;31;33;7;8;14;5;42;47;11;41;50;38;34;62;10;17;63;9;60;53;1;284
1;284;32;46;25;2;24;44;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;19;18;48;64;27;49;21;57;16;39;45;6;31;33;7;8;14;5;42;47;11;41;50;38;34;62;10;17;63;9;60;53
32;46;25;2;24;44;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;19;18;48;64;27;49;21;57;16;39;45;6;31;33;7;8;14;5;42;63;11;41;50;38;34;62;10;17;47;9;60;53;1;284
1;284;32;46;25;2;24;44;61;26;55;40;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;19;18;48;64;27;49;21;57;16;39;45;6;31;33;7;8;14;5;42;63;11;41;50;38;34;62;10;17;47;9;60;53
32;46;40;2;24;44;61;26;55;25;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;19;18;48;64;27;49;21;57;16;39;45;6;31;33;7;8;14;5;42;63;11;41;50;38;34;62;10;17;47;9;60;53;1;288
1;288;32;46;40;2;24;44;61;26;55;25;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;28;4;23;30;13;20;35;19;18;48;64;27;49;21;57;16;39;45;6;31;33;7;8;14;5;42;63;11;41;50;38;34;62;10;17;47;9;60;53
32;46;40;2;24;44;61;26;55;25;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;35;4;23;30;13;20;28;19;18;48;64;27;49;21;57;16;39;45;6;31;33;7;8;14;5;42;63;11;41;50;38;34;62;10;17;47;9;60;53;1;288
1;288;32;46;40;2;24;44;61;26;55;25;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;35;4;23;30;13;20;28;19;18;48;64;27;49;21;57;16;39;45;6;31;33;7;8;14;5;42;63;11;41;50;38;34;62;10;17;47;9;60;53
32;46;40;2;24;44;31;26;55;25;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;35;4;23;30;13;20;28;19;18;48;64;27;49;21;57;16;39;45;6;61;33;7;8;14;5;42;63;11;41;50;38;34;62;10;17;47;9;60;53;1;288
1;288;32;46;40;2;24;44;31;26;55;25;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;35;4;23;30;13;20;28;19;18;48;64;27;49;21;57;16;39;45;6;61;33;7;8;14;5;42;63;11;41;50;38;34;62;10;17;47;9;60;53
32;46;40;2;24;44;31;26;55;25;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;35;4;23;30;13;20;28;19;18;48;64;27;49;21;41;16;39;45;6;61;33;7;8;14;5;42;63;11;57;50;38;34;62;10;17;47;9;60;53;1;288
1;288;32;46;40;2;24;44;31;26;55;25;36;29;22;37;59;3;58;56;52;15;12;1;51;43;54;35;4;23;30;13;20;28;19;18;48;64;27;49;21;41;16;39;45;6;61;33;7;8;14;5;42;63;11;57;50;38;34;62;10;17;47;9;60;53
32;46;40;2;24;44;31;26;55;25;36;29;22;37;59;3;58;56;52;28;12;1;51;43;54;35;4;23;30;13;20;15;19;18;48;64;27;49;21;41;16;39;45;6;61;33;7;8;14;5;42;63;11;57;50;38;34;62;10;17;47;9;60;53;1;280
1;280;32;46;40;2;24;44;31;26;55;25;36;29;22;37;59;3;58;56;52;28;12;1;51;43;54;35;4;23;30;13;20;15;19;18;48;64;27;49;21;41;16;39;45;6;61;33;7;8;14;5;42;63;11;57;50;38;34;62;10;17;47;9;60;53
32;46;40;2;24;44;31;26;55;25;36;29;22;37;59;3;58;56;52;28;12;1;51;43;10;35;4;23;30;13;20;15;19;18;48;64;27;49;21;41;16;39;45;6;61;33;7;8;14;5;42;63;11;57;50;38;34;62;54;17;47;9;60;53;1;280
1;280;32;46;40;2;24;44;31;26;55;25;36;29;22;37;59;3;58;56;52;28;12;1;51;43;10;35;4;23;30;13;20;15;19;18;48;64;27;49;21;41;16;39;45;6;61;33;7;8;14;5;42;63;11;57;50;38;34;62;54;17;47;9;60;53
32;46;40;2;24;44;31;26;55;25;36;29;22;37;59;3;58;13;52;28;12;1;51;43;10;35;4;23;30;56;20;15;19;18;48;64;27;49;21;41;16;39;45;6;61;33;7;8;14;5;42;63;11;57;50;38;34;62;54;17;47;9;60;53;1;272
1;272;32;46;40;2;24;44;31;26;55;25;36;29;22;37;59;3;58;13;52;28;12;1;51;43;10;35;4;23;30;56;20;15;19;18;48;64;27;49;21;41;16;39;45;6;61;33;7;8;14;5;42;63;11;57;50;38;34;62;54;17;47;9;60;53
32;46;40;2;24;44;31;41;55;25;36;29;22;37;59;3;58;13;52;28;12;1;51;43;10;35;4;23;30;56;20;15;19;18;48;64;27;49;21;26;16;39;45;6;61;33;7;8;14;5;42;63;11;57;50;38;34;62;54;17;47;9;60;53;1;264
2;264;32;46;40;2;24;44;31;41;55;25;36;29;22;37;59;3;58;13;52;28;12;1;51;43;10;35;4;23;30;56;20;15;19;18;48;64;27;49;21;26;16;39;45;6;61;33;7;8;14;5;42;63;11;57;50;38;34;62;54;17;47;9;60;53
32;46;40;2;24;44;31;41;55;25;36;29;22;37;59;3;58;13;52;28;12;1;51;43;10;35;4;23;30;56;20;15;19;18;48;64;27;49;21;26;16;39;45;6;61;33;7;8;14;5;42;63;11;34;50;38;57;62;54;17;47;9;60;53;2;264
2;264;32;46;40;2;24;44;31;41;55;25;36;29;22;37;59;3;58;13;52;28;12;1;51;43;10;35;4;23;30;56;20;15;19;18;48;64;27;49;21;26;16;39;45;6;61;33;7;8;14;5;42;63;11;34;50;38;57;62;54;17;47;9;60;53
32;46;40;2;24;44;31;41;55;25;36;29;22;37;59;3;58;13;52;28;12;1;51;43;10;35;4;23;30;56;20;15;19;18;27;64;48;49;21;26;16;39;45;6;61;33;7;8;14;5;42;63;11;34;50;38;57;62;54;17;47;9;60;53;2;252
2;252;32;46;40;2;24;44;31;41;55;25;36;29;22;37;59;3;58;13;52;28;12;1;51;43;10;35;4;23;30;56;20;15;19;18;27;64;48;49;21;26;16;39;45;6;61;33;7;8;14;5;42;63;11;34;50;38;57;62;54;17;47;9;60;53
32;46;40;2;24;44;31;41;55;25;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;30;56;20;15;19;18;27;64;48;49;21;26;16;39;45;6;61;33;7;8;14;5;42;63;11;34;50;38;57;62;54;17;47;9;60;53;2;252
2;252;32;46;40;2;24;44;31;41;55;25;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;30;56;20;15;19;18;27;64;48;49;21;26;16;39;45;6;61;33;7;8;14;5;42;63;11;34;50;38;57;62;54;17;47;9;60;53
32;46;40;2;24;44;31;41;55;25;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;56;20;15;19;18;27;64;48;49;21;26;16;39;45;6;61;33;7;8;14;5;42;63;11;34;50;38;30;62;54;17;47;9;60;53;2;252
2;252;32;46;40;2;24;44;31;41;55;25;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;56;20;15;19;18;27;64;48;49;21;26;16;39;45;6;61;33;7;8;14;5;42;63;11;34;50;38;30;62;54;17;47;9;60;53
32;46;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;56;20;15;19;18;27;64;48;49;21;26;16;39;45;6;61;33;7;25;14;5;42;63;11;34;50;38;30;62;54;17;47;9;60;53;2;248
2;248;32;46;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;56;20;15;19;18;27;64;48;49;21;26;16;39;45;6;61;33;7;25;14;5;42;63;11;34;50;38;30;62;54;17;47;9;60;53
32;46;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;56;20;15;19;18;27;64;48;49;21;26;16;39;45;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;60;53;2;252
2;252;32;46;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;56;20;15;19;18;27;64;48;49;21;26;16;39;45;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;60;53
56;46;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;32;20;15;19;18;27;64;48;49;21;26;16;39;45;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;60;53;2;256
2;256;56;46;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;32;20;15;19;18;27;64;48;49;21;26;16;39;45;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;60;53
15;46;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;32;20;56;19;18;27;64;48;49;21;26;16;39;45;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;60;53;2;256
2;256;15;46;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;32;20;56;19;18;27;64;48;49;21;26;16;39;45;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;60;53
15;45;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;32;20;56;19;18;27;64;48;49;21;26;16;39;46;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;60;53;2;256
2;256;15;45;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;32;20;56;19;18;27;64;48;49;21;26;16;39;46;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;60;53
15;16;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;32;20;56;19;18;27;64;48;49;21;26;45;39;46;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;60;53;2;256
2;256;15;16;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;1;51;43;22;35;4;23;57;32;20;56;19;18;27;64;48;49;21;26;45;39;46;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;60;53
15;16;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;23;51;43;22;35;4;1;57;32;20;56;19;18;27;64;48;49;21;26;45;39;46;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;60;53;2;270
2;270;15;16;40;2;24;44;31;41;55;8;36;29;10;37;59;3;58;13;52;28;12;23;51;43;22;35;4;1;57;32;20;56;19;18;27;64;48;49;21;26;45;39;46;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;60;53
15;16;40;2;24;44;31;41;55;8;36;29;10;37;60;3;58;13;52;28;12;23;51;43;22;35;4;1;57;32;20;56;19;18;27;64;48;49;21;26;45;39;46;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;59;53;2;260
2;260;15;16;40;2;24;44;31;41;55;8;36;29;10;37;60;3;58;13;52;28;12;23;51;43;22;35;4;1;57;32;20;56;19;18;27;64;48;49;21;26;45;39;46;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;59;53
15;16;4;2;24;44;31;41;55;8;36;29;10;37;60;3;58;13;52;28;12;23;51;43;22;35;40;1;57;32;20;56;19;18;27;64;48;49;21;26;45;39;46;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;59;53;2;264
2;264;15;16;4;2;24;44;31;41;55;8;36;29;10;37;60;3;58;13;52;28;12;23;51;43;22;35;40;1;57;32;20;56;19;18;27;64;48;49;21;26;45;39;46;6;61;54;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;59;53
15;16;4;2;24;54;31;41;55;8;36;29;10;37;60;3;58;13;52;28;12;23;51;43;22;35;40;1;57;32;20;56;19;18;27;64;48;49;21;26;45;39;46;6;61;44;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;59;53;2;264
2;264;15;16;4;2;24;54;31;41;55;8;36;29;10;37;60;3;58;13;52;28;12;23;51;43;22;35;40;1;57;32;20;56;19;18;27;64;48;49;21;26;45;39;46;6;61;44;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;59;53
15;16;4;2;24;54;31;41;55;8;36;29;10;37;60;3;58;13;52;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;49;21;26;45;39;46;32;61;44;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;59;53;2;256
2;256;15;16;4;2;24;54;31;41;55;8;36;29;10;37;60;3;58;13;52;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;49;21;26;45;39;46;32;61;44;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;59;53
15;16;4;2;24;54;31;21;55;8;36;29;10;37;60;3;58;13;52;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;49;41;26;45;39;46;32;61;44;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;59;53;2;268
2;268;15;16;4;2;24;54;31;21;55;8;36;29;10;37;60;3;58;13;52;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;49;41;26;45;39;46;32;61;44;7;25;14;5;42;63;11;34;50;38;30;62;33;17;47;9;59;53
15;16;4;2;24;54;31;21;55;8;36;29;10;37;60;3;58;13;52;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;14;41;26;45;39;46;32;61;44;7;25;49;5;42;63;11;34;50;38;30;62;33;17;47;9;59;53;2;268
2;268;15;16;4;2;24;54;31;21;55;8;36;29;10;37;60;3;58;13;52;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;14;41;26;45;39;46;32;61;44;7;25;49;5;42;63;11;34;50;38;30;62;33;17;47;9;59;53
15;16;4;2;24;54;31;21;55;8;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;14;41;26;45;39;46;32;61;44;7;25;49;52;42;63;11;34;50;38;30;62;33;17;47;9;59;53;2;288
2;288;15;16;4;2;24;54;31;21;55;8;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;14;41;26;45;39;46;32;61;44;7;25;49;52;42;63;11;34;50;38;30;62;33;17;47;9;59;53
15;16;4;2;24;54;31;21;55;41;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;14;8;26;45;39;46;32;61;44;7;25;49;52;42;63;11;34;50;38;30;62;33;17;47;9;59;53;2;278
2;278;15;16;4;2;24;54;31;21;55;41;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;14;8;26;45;39;46;32;61;44;7;25;49;52;42;63;11;34;50;38;30;62;33;17;47;9;59;53
15;16;4;2;24;54;31;21;55;41;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;14;8;26;45;39;46;32;61;44;7;25;49;52;42;63;47;34;50;38;30;62;33;17;11;9;59;53;2;278
3;278;15;16;4;2;24;54;31;21;55;41;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;14;8;26;45;39;46;32;61;44;7;25;49;52;42;63;47;34;50;38;30;62;33;17;11;9;59;53
15;16;4;2;24;54;31;21;55;34;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;14;8;26;45;39;46;32;61;44;7;25;49;52;42;63;47;41;50;38;30;62;33;17;11;9;59;53;3;266
3;266;15;16;4;2;24;54;31;21;55;34;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;14;8;26;45;39;46;32;61;44;7;25;49;52;42;63;47;41;50;38;30;62;33;17;11;9;59;53
15;16;4;2;24;54;31;21;55;34;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;14;8;26;45;39;46;32;61;44;7;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53;3;266
3;266;15;16;4;2;24;54;31;21;55;34;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;56;19;18;27;64;48;14;8;26;45;39;46;32;61;44;7;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53
15;16;4;2;24;56;31;21;55;34;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;61;44;7;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53;3;264
3;264;15;16;4;2;24;56;31;21;55;34;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;61;44;7;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53
15;7;4;2;24;56;31;21;55;34;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;61;44;16;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53;3;264
3;264;15;7;4;2;24;56;31;21;55;34;36;29;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;61;44;16;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53
15;7;4;2;24;56;31;21;55;34;36;61;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;29;44;16;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53;3;264
3;264;15;7;4;2;24;56;31;21;55;34;36;61;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;57;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;29;44;16;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53
15;7;4;2;24;56;31;21;55;34;36;61;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;16;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;29;44;57;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53;3;264
3;264;15;7;4;2;24;56;31;21;55;34;36;61;10;37;60;3;58;13;5;28;12;23;51;43;22;35;40;1;16;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;29;44;57;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53
15;7;4;2;24;56;31;21;55;34;36;61;10;12;60;3;58;13;5;28;37;23;51;43;22;35;40;1;16;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;29;44;57;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53;3;252
3;252;15;7;4;2;24;56;31;21;55;34;36;61;10;12;60;3;58;13;5;28;37;23;51;43;22;35;40;1;16;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;29;44;57;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53
15;7;4;2;24;56;31;21;55;34;36;61;10;12;60;3;58;13;57;28;37;23;51;43;22;35;40;1;16;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;29;44;5;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53;3;236
3;236;15;7;4;2;24;56;31;21;55;34;36;61;10;12;60;3;58;13;57;28;37;23;51;43;22;35;40;1;16;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;29;44;5;11;49;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53
15;7;4;2;24;56;31;21;55;34;36;61;10;12;60;3;58;13;57;28;37;23;51;43;22;35;40;49;16;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;29;44;5;11;1;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53;3;236
3;236;15;7;4;2;24;56;31;21;55;34;36;61;10;12;60;3;58;13;57;28;37;23;51;43;22;35;40;49;16;6;20;54;19;18;27;64;48;14;8;26;45;39;46;32;29;44;5;11;1;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53
15;7;4;2;24;56;31;21;55;34;36;20;10;12;60;3;58;13;57;28;37;23;51;43;22;35;40;49;16;6;61;54;19;18;27;64;48;14;8;26;45;39;46;32;29;44;5;11;1;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53;3;236
3;236;15;7;4;2;24;56;31;21;55;34;36;20;10;12;60;3;58;13;57;28;37;23;51;43;22;35;40;49;16;6;61;54;19;18;27;64;48;14;8;26;45;39;46;32;29;44;5;11;1;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53
15;7;4;2;24;56;58;21;55;34;36;20;10;12;60;3;31;13;57;28;37;23;51;43;22;35;40;49;16;6;61;54;19;18;27;64;48;14;8;26;45;39;46;32;29;44;5;11;1;52;42;63;47;41;50;38;30;62;33;17;25;9;59;53;3;252
