"X1";"X286";"X46";"X52";"X12";"X42";"X4";"X57";"X64";"X48";"X27";"X11";"X59";"X24";"X31";"X6";"X33";"X53";"X18";"X34";"X60";"X30";"X7";"X5";"X62";"X50";"X16";"X15";"X45";"X40";"X19";"X2";"X58";"X37";"X13";"X61";"X10";"X8";"X39";"X56";"X55";"X41";"X35";"X28";"X38";"X25";"X21";"X54";"X14";"X43";"X36";"X49";"X47";"X44";"X26";"X9";"X22";"X63";"X17";"X51";"X3";"X32";"X1.1";"X23";"X29";"X20"
1;294;46;52;12;42;30;57;64;48;27;11;47;24;31;6;25;37;18;3;60;4;7;5;62;50;16;15;45;40;19;2;58;53;13;59;10;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;61;44;33;1;22;63;17;51;34;32;9;23;29;20
57;52;12;42;30;46;64;48;27;11;47;24;31;6;25;37;18;3;60;4;7;5;62;50;16;15;45;40;19;2;58;53;13;59;10;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;61;44;33;1;22;63;17;51;34;32;9;23;29;20;1;290
1;290;57;52;12;42;30;46;64;48;27;11;47;24;31;6;25;37;18;3;60;4;7;5;62;50;16;15;45;40;19;2;58;53;13;59;10;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;61;44;33;1;22;63;17;51;34;32;9;23;29;20
57;52;12;42;30;46;10;48;27;11;47;24;31;6;25;37;18;3;60;4;7;5;62;50;16;15;45;40;19;2;58;53;13;59;64;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;61;44;33;1;22;63;17;51;34;32;9;23;29;20;1;294
1;294;57;52;12;42;30;46;10;48;27;11;47;24;31;6;25;37;18;3;60;4;7;5;62;50;16;15;45;40;19;2;58;53;13;59;64;8;39;56;55;41;35;28;38;26;21;54;14;43;36;49;61;44;33;1;22;63;17;51;34;32;9;23;29;20
57;52;12;42;30;46;10;48;27;11;47;28;31;6;25;37;18;3;60;4;7;5;62;50;16;15;45;40;19;2;58;53;13;59;64;8;39;56;55;41;35;24;38;26;21;54;14;43;36;49;61;44;33;1;22;63;17;51;34;32;9;23;29;20;1;294
1;294;57;52;12;42;30;46;10;48;27;11;47;28;31;6;25;37;18;3;60;4;7;5;62;50;16;15;45;40;19;2;58;53;13;59;64;8;39;56;55;41;35;24;38;26;21;54;14;43;36;49;61;44;33;1;22;63;17;51;34;32;9;23;29;20
57;52;12;42;30;46;10;48;27;11;47;28;31;6;25;37;18;3;60;4;7;5;62;50;16;15;45;40;19;2;58;53;13;59;64;8;39;56;14;41;35;24;38;26;21;54;55;43;36;49;61;44;33;1;22;63;17;51;34;32;9;23;29;20;1;288
1;288;57;52;12;42;30;46;10;48;27;11;47;28;31;6;25;37;18;3;60;4;7;5;62;50;16;15;45;40;19;2;58;53;13;59;64;8;39;56;14;41;35;24;38;26;21;54;55;43;36;49;61;44;33;1;22;63;17;51;34;32;9;23;29;20
57;52;12;42;30;46;10;48;27;11;47;28;31;6;25;37;18;3;60;4;7;5;21;50;16;15;45;40;19;2;58;53;13;59;64;8;39;56;14;41;35;24;38;26;62;54;55;43;36;49;61;44;33;1;22;63;17;51;34;32;9;23;29;20;1;288
1;288;57;52;12;42;30;46;10;48;27;11;47;28;31;6;25;37;18;3;60;4;7;5;21;50;16;15;45;40;19;2;58;53;13;59;64;8;39;56;14;41;35;24;38;26;62;54;55;43;36;49;61;44;33;1;22;63;17;51;34;32;9;23;29;20
57;52;12;42;30;46;10;48;27;11;47;28;31;6;25;37;18;3;60;4;7;5;21;50;16;15;45;40;19;2;58;53;13;59;64;8;39;56;14;41;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;34;32;9;23;29;20;1;288
1;288;57;52;12;42;30;46;10;48;27;11;47;28;31;6;25;37;18;3;60;4;7;5;21;50;16;15;45;40;19;2;58;53;13;59;64;8;39;56;14;41;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;34;32;9;23;29;20
57;52;12;42;30;46;27;48;10;11;47;28;31;6;25;37;18;3;60;4;7;5;21;50;16;15;45;40;19;2;58;53;13;59;64;8;39;56;14;41;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;34;32;9;23;29;20;1;288
1;288;57;52;12;42;30;46;27;48;10;11;47;28;31;6;25;37;18;3;60;4;7;5;21;50;16;15;45;40;19;2;58;53;13;59;64;8;39;56;14;41;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;34;32;9;23;29;20
57;52;12;42;30;46;27;48;10;11;47;28;31;6;25;37;18;3;60;4;7;5;21;50;34;15;45;40;19;2;58;53;13;59;64;8;39;56;14;41;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20;1;288
1;288;57;52;12;42;30;46;27;48;10;11;47;28;31;6;25;37;18;3;60;4;7;5;21;50;34;15;45;40;19;2;58;53;13;59;64;8;39;56;14;41;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20
57;52;12;42;30;46;27;48;10;11;47;28;31;6;25;37;18;3;60;4;7;5;21;50;34;15;45;40;19;2;58;41;13;59;64;8;39;56;14;53;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20;1;290
1;290;57;52;12;42;30;46;27;48;10;11;47;28;31;6;25;37;18;3;60;4;7;5;21;50;34;15;45;40;19;2;58;41;13;59;64;8;39;56;14;53;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20
57;52;12;42;30;46;27;48;10;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;2;58;41;13;59;64;8;39;56;14;53;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20;1;286
1;286;57;52;12;42;30;46;27;48;10;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;2;58;41;13;59;64;8;39;56;14;53;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20
57;52;12;58;30;46;27;48;10;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;2;42;41;13;59;64;8;39;56;14;53;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20;1;290
1;290;57;52;12;58;30;46;27;48;10;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;2;42;41;13;59;64;8;39;56;14;53;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20
57;52;12;58;30;10;27;48;46;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;2;42;41;13;59;64;8;39;56;14;53;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20;1;294
2;294;57;52;12;58;30;10;27;48;46;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;2;42;41;13;59;64;8;39;56;14;53;35;24;38;26;62;54;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20
57;52;12;58;30;10;27;48;46;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;54;42;41;13;59;64;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20;2;286
2;286;57;52;12;58;30;10;27;48;46;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;54;42;41;13;59;64;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20
57;52;12;58;30;54;27;48;46;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;10;42;41;13;59;64;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20;2;294
2;294;57;52;12;58;30;54;27;48;46;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;10;42;41;13;59;64;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;1;22;63;17;51;16;32;9;23;29;20
57;52;12;58;9;54;27;48;46;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;10;42;41;13;59;64;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;1;22;63;17;51;16;32;30;23;29;20;2;294
2;294;57;52;12;58;9;54;27;48;46;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;10;42;41;13;59;64;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;1;22;63;17;51;16;32;30;23;29;20
57;52;12;58;64;54;27;48;46;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;10;42;41;13;59;9;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;1;22;63;17;51;16;32;30;23;29;20;2;288
2;288;57;52;12;58;64;54;27;48;46;11;47;28;31;6;5;37;18;3;60;4;7;25;21;50;34;15;45;40;19;10;42;41;13;59;9;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;1;22;63;17;51;16;32;30;23;29;20
57;52;12;58;64;54;27;48;46;11;47;28;31;6;5;37;18;3;60;4;1;25;21;50;34;15;45;40;19;10;42;41;13;59;9;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;7;22;63;17;51;16;32;30;23;29;20;2;288
2;288;57;52;12;58;64;54;27;48;46;11;47;28;31;6;5;37;18;3;60;4;1;25;21;50;34;15;45;40;19;10;42;41;13;59;9;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;7;22;63;17;51;16;32;30;23;29;20
57;52;12;58;64;54;27;48;46;11;47;28;31;6;9;37;18;3;60;4;1;25;21;50;34;15;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;7;22;63;17;51;16;32;30;23;29;20;2;292
2;292;57;52;12;58;64;54;27;48;46;11;47;28;31;6;9;37;18;3;60;4;1;25;21;50;34;15;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;7;22;63;17;51;16;32;30;23;29;20
15;52;12;58;64;54;27;48;46;11;47;28;31;6;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;7;22;63;17;51;16;32;30;23;29;20;2;292
2;292;15;52;12;58;64;54;27;48;46;11;47;28;31;6;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;7;22;63;17;51;16;32;30;23;29;20
15;52;12;58;64;54;27;48;46;11;47;28;31;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;7;22;63;17;51;16;6;30;23;29;20;2;292
2;292;15;52;12;58;64;54;27;48;46;11;47;28;31;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;36;49;55;44;33;7;22;63;17;51;16;6;30;23;29;20
15;52;12;58;64;54;27;48;46;11;36;28;31;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;47;49;55;44;33;7;22;63;17;51;16;6;30;23;29;20;2;284
2;284;15;52;12;58;64;54;27;48;46;11;36;28;31;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;47;49;55;44;33;7;22;63;17;51;16;6;30;23;29;20
15;52;12;58;64;54;27;7;46;11;36;28;31;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;47;49;55;44;33;48;22;63;17;51;16;6;30;23;29;20;2;288
2;288;15;52;12;58;64;54;27;7;46;11;36;28;31;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;47;49;55;44;33;48;22;63;17;51;16;6;30;23;29;20
55;52;12;58;64;54;27;7;46;11;36;28;31;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20;2;288
2;288;55;52;12;58;64;54;27;7;46;11;36;28;31;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20
55;52;12;58;31;54;27;7;46;11;36;28;64;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20;2;288
2;288;55;52;12;58;31;54;27;7;46;11;36;28;64;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;56;14;53;35;24;38;26;62;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20
55;52;12;56;31;54;27;7;46;11;36;28;64;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;58;14;53;35;24;38;26;62;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20;2;288
2;288;55;52;12;56;31;54;27;7;46;11;36;28;64;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;58;14;53;35;24;38;26;62;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20
55;52;12;56;31;54;27;7;46;11;36;28;64;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;58;14;53;35;24;38;62;26;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20;2;296
2;296;55;52;12;56;31;54;27;7;46;11;36;28;64;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;8;39;58;14;53;35;24;38;62;26;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20
55;52;12;56;31;54;27;7;46;11;8;28;64;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;36;39;58;14;53;35;24;38;62;26;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20;2;292
2;292;55;52;12;56;31;54;27;7;46;11;8;28;64;32;9;37;18;3;60;4;1;25;21;50;34;57;45;40;19;10;42;41;13;59;5;36;39;58;14;53;35;24;38;62;26;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20
55;52;12;56;31;54;27;7;46;11;8;28;64;32;9;37;18;3;60;4;1;25;21;26;34;57;45;40;19;10;42;41;13;59;5;36;39;58;14;53;35;24;38;62;50;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20;2;292
2;292;55;52;12;56;31;54;27;7;46;11;8;28;64;32;9;37;18;3;60;4;1;25;21;26;34;57;45;40;19;10;42;41;13;59;5;36;39;58;14;53;35;24;38;62;50;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20
55;52;12;56;31;54;27;7;46;11;8;28;64;32;9;37;18;3;60;4;1;25;21;26;34;57;45;40;50;10;42;41;13;59;5;36;39;58;14;53;35;24;38;62;19;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20;2;292
2;292;55;52;12;56;31;54;27;7;46;11;8;28;64;32;9;37;18;3;60;4;1;25;21;26;34;57;45;40;50;10;42;41;13;59;5;36;39;58;14;53;35;24;38;62;19;2;61;43;47;49;15;44;33;48;22;63;17;51;16;6;30;23;29;20
55;52;12;56;31;54;27;7;46;11;8;28;64;32;9;37;18;3;60;4;1;25;16;26;34;57;45;40;50;10;42;41;13;59;5;36;39;58;14;53;35;24;38;62;19;2;61;43;47;49;15;44;33;48;22;63;17;51;21;6;30;23;29;20;2;292
2;292;55;52;12;56;31;54;27;7;46;11;8;28;64;32;9;37;18;3;60;4;1;25;16;26;34;57;45;40;50;10;42;41;13;59;5;36;39;58;14;53;35;24;38;62;19;2;61;43;47;49;15;44;33;48;22;63;17;51;21;6;30;23;29;20
55;52;12;56;31;54;27;7;46;11;8;2;64;32;9;37;18;3;60;4;1;25;16;26;34;57;45;40;50;10;42;41;13;59;5;36;39;58;14;53;35;24;38;62;19;28;61;43;47;49;15;44;33;48;22;63;17;51;21;6;30;23;29;20;2;288
2;288;55;52;12;56;31;54;27;7;46;11;8;2;64;32;9;37;18;3;60;4;1;25;16;26;34;57;45;40;50;10;42;41;13;59;5;36;39;58;14;53;35;24;38;62;19;28;61;43;47;49;15;44;33;48;22;63;17;51;21;6;30;23;29;20
55;52;12;56;31;54;27;7;46;11;8;2;64;32;9;37;18;3;60;4;1;62;16;26;34;57;45;40;50;10;42;41;13;59;5;36;39;58;14;53;35;24;38;25;19;28;61;43;47;49;15;44;33;48;22;63;17;51;21;6;30;23;29;20;2;282
3;282;55;52;12;56;31;54;27;7;46;11;8;2;64;32;9;37;18;3;60;4;1;62;16;26;34;57;45;40;50;10;42;41;13;59;5;36;39;58;14;53;35;24;38;25;19;28;61;43;47;49;15;44;33;48;22;63;17;51;21;6;30;23;29;20
55;52;12;56;31;54;27;7;46;11;8;2;64;32;9;37;18;3;60;4;1;62;16;26;34;57;45;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;61;43;47;49;15;44;33;48;22;63;17;51;21;6;30;23;29;20;3;274
3;274;55;52;12;56;31;54;27;7;46;11;8;2;64;32;9;37;18;3;60;4;1;62;16;26;34;57;45;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;61;43;47;49;15;44;33;48;22;63;17;51;21;6;30;23;29;20
55;52;12;56;31;54;27;7;46;11;8;2;48;32;9;37;18;3;60;4;1;62;16;26;34;57;45;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;61;43;47;49;15;44;33;64;22;63;17;51;21;6;30;23;29;20;3;274
3;274;55;52;12;56;31;54;27;7;46;11;8;2;48;32;9;37;18;3;60;4;1;62;16;26;34;57;45;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;61;43;47;49;15;44;33;64;22;63;17;51;21;6;30;23;29;20
55;52;12;56;31;54;27;7;46;11;8;2;48;32;9;51;18;3;60;4;1;62;16;26;34;57;45;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;61;43;47;49;15;44;33;64;22;63;17;37;21;6;30;23;29;20;3;274
3;274;55;52;12;56;31;54;27;7;46;11;8;2;48;32;9;51;18;3;60;4;1;62;16;26;34;57;45;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;61;43;47;49;15;44;33;64;22;63;17;37;21;6;30;23;29;20
55;52;12;56;31;54;27;7;46;11;8;2;48;32;9;51;18;3;60;4;1;62;16;26;34;57;22;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;61;43;47;49;15;44;33;64;45;63;17;37;21;6;30;23;29;20;3;294
3;294;55;52;12;56;31;54;27;7;46;11;8;2;48;32;9;51;18;3;60;4;1;62;16;26;34;57;22;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;61;43;47;49;15;44;33;64;45;63;17;37;21;6;30;23;29;20
55;52;12;56;31;54;27;7;46;11;8;2;48;32;9;51;18;62;60;4;1;3;16;26;34;57;22;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;61;43;47;49;15;44;33;64;45;63;17;37;21;6;30;23;29;20;3;298
3;298;55;52;12;56;31;54;27;7;46;11;8;2;48;32;9;51;18;62;60;4;1;3;16;26;34;57;22;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;61;43;47;49;15;44;33;64;45;63;17;37;21;6;30;23;29;20
51;52;12;56;31;54;27;7;46;11;8;2;48;32;9;55;18;62;60;4;1;3;16;26;34;57;22;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;61;43;47;49;15;44;33;64;45;63;17;37;21;6;30;23;29;20;3;298
3;298;51;52;12;56;31;54;27;7;46;11;8;2;48;32;9;55;18;62;60;4;1;3;16;26;34;57;22;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;61;43;47;49;15;44;33;64;45;63;17;37;21;6;30;23;29;20
51;52;12;56;31;54;27;7;46;11;8;2;48;32;9;55;18;62;60;4;1;3;16;26;34;57;22;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;44;43;47;49;15;61;33;64;45;63;17;37;21;6;30;23;29;20;3;298
3;298;51;52;12;56;31;54;27;7;46;11;8;2;48;32;9;55;18;62;60;4;1;3;16;26;34;57;22;40;50;10;42;14;13;59;5;36;39;58;41;53;35;24;38;25;19;28;44;43;47;49;15;61;33;64;45;63;17;37;21;6;30;23;29;20
51;52;12;56;31;54;27;7;46;11;8;2;48;32;9;55;18;62;60;4;1;3;16;26;34;57;22;40;50;10;42;14;13;59;5;41;39;58;36;53;35;24;38;25;19;28;44;43;47;49;15;61;33;64;45;63;17;37;21;6;30;23;29;20;3;292
3;292;51;52;12;56;31;54;27;7;46;11;8;2;48;32;9;55;18;62;60;4;1;3;16;26;34;57;22;40;50;10;42;14;13;59;5;41;39;58;36;53;35;24;38;25;19;28;44;43;47;49;15;61;33;64;45;63;17;37;21;6;30;23;29;20
51;52;12;56;31;54;27;7;46;11;8;2;48;32;9;55;18;62;60;20;1;3;16;26;34;57;22;40;50;10;42;14;13;59;5;41;39;58;36;53;35;24;38;25;19;28;44;43;47;49;15;61;33;64;45;63;17;37;21;6;30;23;29;4;3;290
3;290;51;52;12;56;31;54;27;7;46;11;8;2;48;32;9;55;18;62;60;20;1;3;16;26;34;57;22;40;50;10;42;14;13;59;5;41;39;58;36;53;35;24;38;25;19;28;44;43;47;49;15;61;33;64;45;63;17;37;21;6;30;23;29;4
51;52;12;56;57;54;27;7;46;11;8;2;48;32;9;55;18;62;60;20;1;3;16;26;34;31;22;40;50;10;42;14;13;59;5;41;39;58;36;53;35;24;38;25;19;28;44;43;47;49;15;61;33;64;45;63;17;37;21;6;30;23;29;4;3;290
3;290;51;52;12;56;57;54;27;7;46;11;8;2;48;32;9;55;18;62;60;20;1;3;16;26;34;31;22;40;50;10;42;14;13;59;5;41;39;58;36;53;35;24;38;25;19;28;44;43;47;49;15;61;33;64;45;63;17;37;21;6;30;23;29;4
51;52;12;56;57;54;27;7;46;11;8;2;48;32;9;55;18;62;20;60;1;3;16;26;34;31;22;40;50;10;42;14;13;59;5;41;39;58;36;53;35;24;38;25;19;28;44;43;47;49;15;61;33;64;45;63;17;37;21;6;30;23;29;4;3;282
