"X1";"X288";"X18";"X49";"X56";"X39";"X25";"X51";"X61";"X19";"X57";"X5";"X34";"X52";"X11";"X60";"X26";"X12";"X33";"X35";"X31";"X21";"X58";"X40";"X45";"X50";"X54";"X13";"X1.1";"X10";"X23";"X32";"X29";"X27";"X16";"X53";"X3";"X37";"X47";"X48";"X44";"X6";"X4";"X59";"X62";"X46";"X15";"X42";"X38";"X30";"X20";"X17";"X7";"X24";"X64";"X22";"X43";"X36";"X2";"X28";"X14";"X63";"X8";"X41";"X55";"X9"
1;282;18;49;51;39;25;56;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;64;19;27;3;37;47;48;44;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;55;9
18;49;51;39;25;56;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;64;19;27;44;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;55;9;1;270
1;270;18;49;51;39;25;56;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;64;19;27;44;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;55;9
18;49;51;39;25;56;61;16;57;5;34;52;55;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;64;19;27;44;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;11;9;1;270
1;270;18;49;51;39;25;56;61;16;57;5;34;52;55;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;64;19;27;44;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;11;9
18;49;51;39;25;56;61;16;57;5;34;52;55;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;64;19;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;11;9;1;264
1;264;18;49;51;39;25;56;61;16;57;5;34;52;55;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;64;19;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;11;9
18;49;51;39;25;56;61;16;57;5;34;52;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;32;29;64;19;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;11;9;1;264
1;264;18;49;51;39;25;56;61;16;57;5;34;52;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;32;29;64;19;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;11;9
18;25;51;39;49;56;61;16;57;5;34;52;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;32;29;64;19;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;11;9;1;264
1;264;18;25;51;39;49;56;61;16;57;5;34;52;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;32;29;64;19;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;11;9
18;25;51;39;49;56;61;16;52;5;34;57;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;32;29;64;19;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;11;9;1;264
1;264;18;25;51;39;49;56;61;16;52;5;34;57;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;32;29;64;19;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;11;9
18;25;51;39;49;56;61;16;52;5;34;57;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;32;29;64;8;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;19;45;11;9;1;270
1;270;18;25;51;39;49;56;61;16;52;5;34;57;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;32;29;64;8;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;19;45;11;9
18;25;51;39;49;56;61;16;52;5;34;57;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;32;45;64;8;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;19;29;11;9;1;270
1;270;18;25;51;39;49;56;61;16;52;5;34;57;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;32;45;64;8;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;19;29;11;9
18;25;51;39;49;56;61;16;52;5;34;57;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;8;45;64;32;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;19;29;11;9;1;266
2;266;18;25;51;39;49;56;61;16;52;5;34;57;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;8;45;64;32;44;27;37;47;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;19;29;11;9
18;25;51;39;49;56;61;16;52;5;34;57;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;19;29;11;9;2;262
2;262;18;25;51;39;49;56;61;16;52;5;34;57;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;48;3;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;19;29;11;9
18;25;51;39;49;56;61;16;52;5;34;57;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;48;3;13;7;62;59;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;19;29;11;9;2;262
2;262;18;25;51;39;49;56;61;16;52;5;34;57;55;60;26;12;33;35;31;21;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;48;3;13;7;62;59;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;19;29;11;9
18;25;51;39;49;56;61;16;52;21;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;48;3;13;7;62;59;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;19;29;11;9;2;264
2;264;18;25;51;39;49;56;61;16;52;21;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;48;3;13;7;62;59;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;19;29;11;9
18;25;51;39;49;56;61;16;52;21;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;48;3;13;7;62;59;46;15;42;36;30;20;17;24;4;9;22;6;38;53;28;14;63;19;29;11;2;2;264
2;264;18;25;51;39;49;56;61;16;52;21;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;48;3;13;7;62;59;46;15;42;36;30;20;17;24;4;9;22;6;38;53;28;14;63;19;29;11;2
18;25;51;39;49;56;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;21;3;13;7;62;59;46;15;42;36;30;20;17;24;4;9;22;6;38;53;28;14;63;19;29;11;2;2;244
2;244;18;25;51;39;49;56;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;21;3;13;7;62;59;46;15;42;36;30;20;17;24;4;9;22;6;38;53;28;14;63;19;29;11;2
18;25;51;39;49;56;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;21;3;13;7;62;59;46;15;42;20;30;36;17;24;4;9;22;6;38;53;28;14;63;19;29;11;2;2;244
2;244;18;25;51;39;49;56;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;21;3;13;7;62;59;46;15;42;20;30;36;17;24;4;9;22;6;38;53;28;14;63;19;29;11;2
18;25;51;39;49;56;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;21;3;13;7;62;59;46;15;42;20;30;36;19;24;4;9;22;6;38;53;28;14;63;17;29;11;2;2;244
2;244;18;25;51;39;49;56;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;21;3;13;7;62;59;46;15;42;20;30;36;19;24;4;9;22;6;38;53;28;14;63;17;29;11;2
18;25;51;39;49;56;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;21;3;13;7;62;59;46;15;42;20;30;36;19;11;4;9;22;6;38;53;28;14;63;17;29;24;2;2;244
2;244;18;25;51;39;49;56;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;10;23;8;47;64;32;44;27;37;45;21;3;13;7;62;59;46;15;42;20;30;36;19;11;4;9;22;6;38;53;28;14;63;17;29;24;2
18;25;51;39;49;56;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;44;27;37;45;21;3;13;7;10;59;46;15;42;20;30;36;19;11;4;9;22;6;38;53;28;14;63;17;29;24;2;2;240
2;240;18;25;51;39;49;56;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;44;27;37;45;21;3;13;7;10;59;46;15;42;20;30;36;19;11;4;9;22;6;38;53;28;14;63;17;29;24;2
18;25;51;39;49;46;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;44;27;37;45;21;3;13;7;10;59;56;15;42;20;30;36;19;11;4;9;22;6;38;53;28;14;63;17;29;24;2;2;240
2;240;18;25;51;39;49;46;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;44;27;37;45;21;3;13;7;10;59;56;15;42;20;30;36;19;11;4;9;22;6;38;53;28;14;63;17;29;24;2
18;25;51;39;49;19;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;44;27;37;45;21;3;13;7;10;59;56;15;42;20;30;36;46;11;4;9;22;6;38;53;28;14;63;17;29;24;2;2;268
2;240;18;25;51;39;49;46;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;44;27;37;45;21;3;13;7;10;59;56;15;42;20;30;36;19;11;4;9;22;6;38;53;28;14;63;17;29;24;2
18;59;51;39;49;46;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;44;27;37;45;21;3;13;7;10;25;56;15;42;20;30;36;19;11;4;9;22;6;38;53;28;14;63;17;29;24;2;2;240
2;240;18;59;51;39;49;46;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;44;27;37;45;21;3;13;7;10;25;56;15;42;20;30;36;19;11;4;9;22;6;38;53;28;14;63;17;29;24;2
18;59;51;39;49;46;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;44;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;3;22;6;38;53;28;14;63;17;29;24;2;2;240
2;240;18;59;51;39;49;46;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;44;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;3;22;6;38;53;28;14;63;17;29;24;2
18;59;51;39;49;46;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;3;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;29;24;2;2;240
2;240;18;59;51;39;49;46;61;16;52;48;34;57;55;60;26;12;33;35;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;3;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;29;24;2
18;59;51;39;49;46;61;16;52;48;34;57;55;60;26;12;33;29;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;3;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2;2;240
2;240;18;59;51;39;49;46;61;16;52;48;34;57;55;60;26;12;33;29;31;5;58;40;41;50;43;54;1;62;23;8;47;64;32;3;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2
18;59;51;39;49;46;40;16;52;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;8;47;64;32;3;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2;2;240
2;240;18;59;51;39;49;46;40;16;52;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;8;47;64;32;3;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2
18;59;8;39;49;46;40;16;52;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;3;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2;2;240
2;240;18;59;8;39;49;46;40;16;52;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;3;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2
18;59;8;39;49;52;40;16;46;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;3;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2;2;252
2;252;18;59;8;39;49;52;40;16;46;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;3;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2
18;59;3;39;49;52;40;16;46;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;8;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2;2;248
2;248;18;59;3;39;49;52;40;16;46;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;8;27;37;45;21;9;13;7;10;25;56;15;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2
18;59;3;39;49;52;40;16;46;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;8;27;37;45;21;9;15;7;10;25;56;13;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2;2;248
3;248;18;59;3;39;49;52;40;16;46;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;8;27;37;45;21;9;15;7;10;25;56;13;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2
18;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;8;27;37;45;16;9;15;7;10;25;56;13;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2;3;260
3;260;18;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;8;27;37;45;16;9;15;7;10;25;56;13;42;20;30;36;19;11;4;44;22;6;38;53;28;14;63;17;35;24;2
18;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;8;27;37;45;16;9;15;7;10;25;56;13;42;20;30;36;19;11;4;44;2;6;38;53;28;14;63;17;35;24;22;3;260
3;260;18;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;8;27;37;45;16;9;15;7;10;25;56;13;42;20;30;36;19;11;4;44;2;6;38;53;28;14;63;17;35;24;22
18;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;4;27;37;45;16;9;15;7;10;25;56;13;42;20;30;36;19;11;8;44;2;6;38;53;28;14;63;17;35;24;22;3;260
3;260;18;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;29;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;4;27;37;45;16;9;15;7;10;25;56;13;42;20;30;36;19;11;8;44;2;6;38;53;28;14;63;17;35;24;22
18;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;2;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;4;27;37;45;16;9;15;7;10;25;56;13;42;20;30;36;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22;3;260
3;260;18;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;2;31;5;58;61;41;50;43;54;1;62;23;51;47;64;32;4;27;37;45;16;9;15;7;10;25;56;13;42;20;30;36;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22
18;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;2;31;5;58;61;41;62;43;54;1;50;23;51;47;64;32;4;27;37;45;16;9;15;7;10;25;56;13;42;20;30;36;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22;3;260
3;260;18;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;2;31;5;58;61;41;62;43;54;1;50;23;51;47;64;32;4;27;37;45;16;9;15;7;10;25;56;13;42;20;30;36;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22
36;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;2;31;5;58;61;41;62;43;54;1;50;23;51;47;64;32;4;27;37;45;16;9;15;7;10;25;56;13;42;20;30;18;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22;3;260
3;260;36;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;2;31;5;58;61;41;62;43;54;1;50;23;51;47;64;32;4;27;37;45;16;9;15;7;10;25;56;13;42;20;30;18;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22
36;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;2;31;5;58;61;41;62;43;54;1;50;23;51;47;64;32;4;27;37;45;16;9;42;7;10;25;56;13;15;20;30;18;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22;3;272
3;272;36;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;2;31;5;58;61;41;62;43;54;1;50;23;51;47;64;32;4;27;37;45;16;9;42;7;10;25;56;13;15;20;30;18;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22
36;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;2;31;5;58;61;45;62;43;54;1;50;23;51;47;64;32;4;27;37;41;16;9;42;7;10;25;56;13;15;20;30;18;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22;3;272
3;272;36;59;3;39;49;52;40;21;46;48;34;57;55;60;26;12;33;2;31;5;58;61;45;62;43;54;1;50;23;51;47;64;32;4;27;37;41;16;9;42;7;10;25;56;13;15;20;30;18;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22
36;59;3;39;49;26;40;21;46;48;34;57;55;60;52;12;33;2;31;5;58;61;45;62;43;54;1;50;23;51;47;64;32;4;27;37;41;16;9;42;7;10;25;56;13;15;20;30;18;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22;3;270
3;270;36;59;3;39;49;26;40;21;46;48;34;57;55;60;52;12;33;2;31;5;58;61;45;62;43;54;1;50;23;51;47;64;32;4;27;37;41;16;9;42;7;10;25;56;13;15;20;30;18;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22
36;59;3;39;49;26;40;21;46;48;34;57;55;60;52;12;33;2;31;5;58;61;45;62;43;54;1;50;23;51;47;64;25;4;27;37;41;16;9;42;7;10;32;56;13;15;20;30;18;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22;3;268
3;268;36;59;3;39;49;26;40;21;46;48;34;57;55;60;52;12;33;2;31;5;58;61;45;62;43;54;1;50;23;51;47;64;25;4;27;37;41;16;9;42;7;10;32;56;13;15;20;30;18;19;11;8;44;29;6;38;53;28;14;63;17;35;24;22
36;59;3;39;49;26;40;21;46;48;34;57;55;60;52;12;33;2;31;5;58;61;45;62;43;54;1;50;8;51;47;64;25;4;27;37;41;16;9;42;7;10;32;56;13;15;20;30;18;19;11;23;44;29;6;38;53;28;14;63;17;35;24;22;3;268
