"X1";"X27336";"X17";"X10";"X22";"X23";"X16";"X31";"X20";"X11";"X8";"X4";"X19";"X26";"X27";"X24";"X32";"X1.1";"X9";"X5";"X6";"X21";"X14";"X18";"X2";"X28";"X15";"X7";"X25";"X29";"X13";"X30";"X12";"X3"
17;10;19;21;16;7;20;2;8;4;25;26;27;24;30;32;9;5;6;23;22;18;11;28;15;31;14;29;13;1;12;3;1;27756
1;27756;17;10;19;21;16;7;20;2;8;4;25;26;27;24;30;32;9;5;6;23;22;18;11;28;15;31;14;29;13;1;12;3
17;10;19;21;16;7;20;2;8;4;25;26;27;24;30;32;9;5;6;23;22;18;28;11;15;31;14;29;13;1;12;3;1;27494
1;27494;17;10;19;21;16;7;20;2;8;4;25;26;27;24;30;32;9;5;6;23;22;18;28;11;15;31;14;29;13;1;12;3
17;10;19;21;16;7;20;2;8;4;25;26;27;24;30;32;9;23;6;5;22;18;28;11;15;31;14;29;13;1;12;3;1;27104
1;27104;17;10;19;21;16;7;20;2;8;4;25;26;27;24;30;32;9;23;6;5;22;18;28;11;15;31;14;29;13;1;12;3
17;10;19;21;16;7;20;2;8;4;25;26;27;24;30;32;9;23;6;5;22;18;28;11;1;31;14;29;13;15;12;3;1;27264
1;27264;17;10;19;21;16;7;20;2;8;4;25;26;27;24;30;32;9;23;6;5;22;18;28;11;1;31;14;29;13;15;12;3
17;10;19;21;16;7;20;5;8;4;25;26;27;24;30;32;9;23;6;2;22;18;28;11;1;31;14;29;13;15;12;3;1;27304
1;27304;17;10;19;21;16;7;20;5;8;4;25;26;27;24;30;32;9;23;6;2;22;18;28;11;1;31;14;29;13;15;12;3
17;10;19;21;16;7;20;8;5;4;25;26;27;24;30;32;9;23;6;2;22;18;28;11;1;31;14;29;13;15;12;3;1;27364
1;27364;17;10;19;21;16;7;20;8;5;4;25;26;27;24;30;32;9;23;6;2;22;18;28;11;1;31;14;29;13;15;12;3
17;10;19;21;16;7;20;8;5;4;25;26;27;24;12;32;9;23;6;2;22;18;28;11;1;31;14;29;13;15;30;3;1;27906
1;27906;17;10;19;21;16;7;20;8;5;4;25;26;27;24;12;32;9;23;6;2;22;18;28;11;1;31;14;29;13;15;30;3
17;10;19;21;3;7;20;8;5;4;25;26;27;24;12;32;9;23;6;2;22;18;28;11;1;31;14;29;13;15;30;16;1;27426
1;27426;17;10;19;21;3;7;20;8;5;4;25;26;27;24;12;32;9;23;6;2;22;18;28;11;1;31;14;29;13;15;30;16
17;10;19;21;3;7;20;8;5;4;25;26;27;24;12;32;9;23;6;2;22;18;16;11;1;31;14;29;13;15;30;28;1;27652
1;27652;17;10;19;21;3;7;20;8;5;4;25;26;27;24;12;32;9;23;6;2;22;18;16;11;1;31;14;29;13;15;30;28
17;10;19;21;3;7;20;8;5;4;25;26;27;24;14;32;9;23;6;2;22;18;16;11;1;31;12;29;13;15;30;28;1;27352
1;27352;17;10;19;21;3;7;20;8;5;4;25;26;27;24;14;32;9;23;6;2;22;18;16;11;1;31;12;29;13;15;30;28
17;10;19;7;3;21;20;8;5;4;25;26;27;24;14;32;9;23;6;2;22;18;16;11;1;31;12;29;13;15;30;28;1;27140
1;27140;17;10;19;7;3;21;20;8;5;4;25;26;27;24;14;32;9;23;6;2;22;18;16;11;1;31;12;29;13;15;30;28
17;4;19;7;3;21;20;8;5;10;25;26;27;24;14;32;9;23;6;2;22;18;16;11;1;31;12;29;13;15;30;28;1;27460
1;27460;17;4;19;7;3;21;20;8;5;10;25;26;27;24;14;32;9;23;6;2;22;18;16;11;1;31;12;29;13;15;30;28
17;4;19;7;3;2;20;8;5;10;25;26;27;24;14;32;9;23;6;21;22;18;16;11;1;31;12;29;13;15;30;28;1;27874
2;27874;17;4;19;7;3;2;20;8;5;10;25;26;27;24;14;32;9;23;6;21;22;18;16;11;1;31;12;29;13;15;30;28
17;4;19;7;3;2;20;8;5;10;23;26;27;24;14;32;9;25;6;21;22;18;16;11;1;31;12;29;13;15;30;28;2;27534
2;27534;17;4;19;7;3;2;20;8;5;10;23;26;27;24;14;32;9;25;6;21;22;18;16;11;1;31;12;29;13;15;30;28
17;4;20;7;3;2;19;8;5;10;23;26;27;24;14;32;9;25;6;21;22;18;16;11;1;31;12;29;13;15;30;28;2;27494
2;27494;17;4;20;7;3;2;19;8;5;10;23;26;27;24;14;32;9;25;6;21;22;18;16;11;1;31;12;29;13;15;30;28
17;4;20;7;3;2;19;8;5;10;23;26;27;24;14;32;9;12;6;21;22;18;16;11;1;31;25;29;13;15;30;28;2;27636
2;27636;17;4;20;7;3;2;19;8;5;10;23;26;27;24;14;32;9;12;6;21;22;18;16;11;1;31;25;29;13;15;30;28
17;4;20;16;3;2;19;8;5;10;23;26;27;24;14;32;9;12;6;21;22;18;7;11;1;31;25;29;13;15;30;28;2;28076
2;28076;17;4;20;16;3;2;19;8;5;10;23;26;27;24;14;32;9;12;6;21;22;18;7;11;1;31;25;29;13;15;30;28
17;4;20;32;3;2;19;8;5;10;23;26;27;24;14;16;9;12;6;21;22;18;7;11;1;31;25;29;13;15;30;28;2;27846
2;27846;17;4;20;32;3;2;19;8;5;10;23;26;27;24;14;16;9;12;6;21;22;18;7;11;1;31;25;29;13;15;30;28
17;4;20;32;3;24;19;8;5;10;23;26;27;2;14;16;9;12;6;21;22;18;7;11;1;31;25;29;13;15;30;28;2;28060
2;28060;17;4;20;32;3;24;19;8;5;10;23;26;27;2;14;16;9;12;6;21;22;18;7;11;1;31;25;29;13;15;30;28
17;15;20;32;3;24;19;8;5;10;23;26;27;2;14;16;9;12;6;21;22;18;7;11;1;31;25;29;13;4;30;28;2;28300
2;28300;17;15;20;32;3;24;19;8;5;10;23;26;27;2;14;16;9;12;6;21;22;18;7;11;1;31;25;29;13;4;30;28
17;15;20;32;3;24;21;8;5;10;23;26;27;2;14;16;9;12;6;19;22;18;7;11;1;31;25;29;13;4;30;28;2;28240
2;28240;17;15;20;32;3;24;21;8;5;10;23;26;27;2;14;16;9;12;6;19;22;18;7;11;1;31;25;29;13;4;30;28
17;15;20;32;3;24;21;8;5;10;23;26;27;2;29;16;9;12;6;19;22;18;7;11;1;31;25;14;13;4;30;28;2;28098
2;28098;17;15;20;32;3;24;21;8;5;10;23;26;27;2;29;16;9;12;6;19;22;18;7;11;1;31;25;14;13;4;30;28
17;15;20;32;3;24;21;8;5;10;23;25;27;2;29;16;9;12;6;19;22;18;7;11;1;31;26;14;13;4;30;28;2;28338
2;28338;17;15;20;32;3;24;21;8;5;10;23;25;27;2;29;16;9;12;6;19;22;18;7;11;1;31;26;14;13;4;30;28
17;15;20;32;3;24;21;8;5;10;23;25;27;2;29;16;12;9;6;19;22;18;7;11;1;31;26;14;13;4;30;28;2;27558
2;27558;17;15;20;32;3;24;21;8;5;10;23;25;27;2;29;16;12;9;6;19;22;18;7;11;1;31;26;14;13;4;30;28
17;15;20;32;3;24;21;8;5;10;23;25;27;2;29;16;12;9;6;19;22;18;7;28;1;31;26;14;13;4;30;11;2;27862
2;27862;17;15;20;32;3;24;21;8;5;10;23;25;27;2;29;16;12;9;6;19;22;18;7;28;1;31;26;14;13;4;30;11
17;15;20;32;3;18;21;8;5;10;23;25;27;2;29;16;12;9;6;19;22;24;7;28;1;31;26;14;13;4;30;11;2;28262
2;28262;17;15;20;32;3;18;21;8;5;10;23;25;27;2;29;16;12;9;6;19;22;24;7;28;1;31;26;14;13;4;30;11
17;15;20;32;24;18;21;8;5;10;23;25;27;2;29;16;12;9;6;19;22;3;7;28;1;31;26;14;13;4;30;11;2;27878
2;27878;17;15;20;32;24;18;21;8;5;10;23;25;27;2;29;16;12;9;6;19;22;3;7;28;1;31;26;14;13;4;30;11
17;15;20;32;24;18;21;8;5;10;23;25;27;2;29;19;12;9;6;16;22;3;7;28;1;31;26;14;13;4;30;11;2;27562
2;27562;17;15;20;32;24;18;21;8;5;10;23;25;27;2;29;19;12;9;6;16;22;3;7;28;1;31;26;14;13;4;30;11
17;12;20;32;24;18;21;8;5;10;23;25;27;2;29;19;15;9;6;16;22;3;7;28;1;31;26;14;13;4;30;11;2;27682
2;27562;17;15;20;32;24;18;21;8;5;10;23;25;27;2;29;19;12;9;6;16;22;3;7;28;1;31;26;14;13;4;30;11
17;15;20;32;24;18;21;8;5;10;23;25;27;2;29;19;12;28;6;16;22;3;7;9;1;31;26;14;13;4;30;11;2;27204
2;27204;17;15;20;32;24;18;21;8;5;10;23;25;27;2;29;19;12;28;6;16;22;3;7;9;1;31;26;14;13;4;30;11
17;15;20;32;23;18;21;8;5;10;24;25;27;2;29;19;12;28;6;16;22;3;7;9;1;31;26;14;13;4;30;11;2;27304
2;27304;17;15;20;32;23;18;21;8;5;10;24;25;27;2;29;19;12;28;6;16;22;3;7;9;1;31;26;14;13;4;30;11
17;15;20;32;23;18;21;8;22;10;24;25;27;2;29;19;12;28;6;16;5;3;7;9;1;31;26;14;13;4;30;11;2;26936
2;26936;17;15;20;32;23;18;21;8;22;10;24;25;27;2;29;19;12;28;6;16;5;3;7;9;1;31;26;14;13;4;30;11
17;15;20;32;23;18;21;8;22;10;26;25;27;2;29;19;12;28;6;16;5;3;7;9;1;31;24;14;13;4;30;11;2;26696
3;26696;17;15;20;32;23;18;21;8;22;10;26;25;27;2;29;19;12;28;6;16;5;3;7;9;1;31;24;14;13;4;30;11
8;15;20;32;23;18;21;17;22;10;26;25;27;2;29;19;12;28;6;16;5;3;7;9;1;31;24;14;13;4;30;11;3;26956
3;26956;8;15;20;32;23;18;21;17;22;10;26;25;27;2;29;19;12;28;6;16;5;3;7;9;1;31;24;14;13;4;30;11
8;15;20;32;23;7;21;17;22;10;26;25;27;2;29;19;12;28;6;16;5;3;18;9;1;31;24;14;13;4;30;11;3;26976
3;26976;8;15;20;32;23;7;21;17;22;10;26;25;27;2;29;19;12;28;6;16;5;3;18;9;1;31;24;14;13;4;30;11
8;15;20;32;23;7;21;17;22;10;5;25;27;2;29;19;12;28;6;16;26;3;18;9;1;31;24;14;13;4;30;11;3;27738
3;27738;8;15;20;32;23;7;21;17;22;10;5;25;27;2;29;19;12;28;6;16;26;3;18;9;1;31;24;14;13;4;30;11
8;15;20;32;23;7;21;17;22;14;5;25;27;2;29;19;12;28;6;16;26;3;18;9;1;31;24;10;13;4;30;11;3;27798
3;27798;8;15;20;32;23;7;21;17;22;14;5;25;27;2;29;19;12;28;6;16;26;3;18;9;1;31;24;10;13;4;30;11
8;15;20;32;23;7;21;17;22;14;5;25;27;2;10;19;12;28;6;16;26;3;18;9;1;31;24;29;13;4;30;11;3;27788
3;27788;8;15;20;32;23;7;21;17;22;14;5;25;27;2;10;19;12;28;6;16;26;3;18;9;1;31;24;29;13;4;30;11
8;27;20;32;23;7;21;17;22;14;5;25;15;2;10;19;12;28;6;16;26;3;18;9;1;31;24;29;13;4;30;11;3;27814
3;27814;8;27;20;32;23;7;21;17;22;14;5;25;15;2;10;19;12;28;6;16;26;3;18;9;1;31;24;29;13;4;30;11
8;27;20;32;23;7;21;17;22;14;5;6;15;2;10;19;12;28;25;16;26;3;18;9;1;31;24;29;13;4;30;11;3;27214
3;27214;8;27;20;32;23;7;21;17;22;14;5;6;15;2;10;19;12;28;25;16;26;3;18;9;1;31;24;29;13;4;30;11
8;27;20;32;23;7;21;17;22;14;5;6;25;2;10;19;12;28;15;16;26;3;18;9;1;31;24;29;13;4;30;11;3;26602
3;26602;8;27;20;32;23;7;21;17;22;14;5;6;25;2;10;19;12;28;15;16;26;3;18;9;1;31;24;29;13;4;30;11
8;27;20;13;23;7;21;17;22;14;5;6;25;2;10;19;12;28;15;16;26;3;18;9;1;31;24;29;32;4;30;11;3;27042
3;27042;8;27;20;13;23;7;21;17;22;14;5;6;25;2;10;19;12;28;15;16;26;3;18;9;1;31;24;29;32;4;30;11
8;27;22;13;23;7;21;17;20;14;5;6;25;2;10;19;12;28;15;16;26;3;18;9;1;31;24;29;32;4;30;11;3;26802
3;26802;8;27;22;13;23;7;21;17;20;14;5;6;25;2;10;19;12;28;15;16;26;3;18;9;1;31;24;29;32;4;30;11
8;27;22;13;23;7;21;17;20;14;5;6;25;26;10;19;12;28;15;16;2;3;18;9;1;31;24;29;32;4;30;11;3;26516
3;26516;8;27;22;13;23;7;21;17;20;14;5;6;25;26;10;19;12;28;15;16;2;3;18;9;1;31;24;29;32;4;30;11
8;27;22;13;23;7;21;17;20;14;5;6;25;26;10;19;12;28;15;18;2;3;16;9;1;31;24;29;32;4;30;11;3;25498
3;25498;8;27;22;13;23;7;21;17;20;14;5;6;25;26;10;19;12;28;15;18;2;3;16;9;1;31;24;29;32;4;30;11
19;27;22;13;23;7;21;17;20;14;5;6;25;26;10;8;12;28;15;18;2;3;16;9;1;31;24;29;32;4;30;11;3;25574
3;25574;19;27;22;13;23;7;21;17;20;14;5;6;25;26;10;8;12;28;15;18;2;3;16;9;1;31;24;29;32;4;30;11
19;27;22;13;23;7;21;17;20;14;5;6;25;26;10;8;12;28;15;18;2;31;16;9;1;3;24;29;32;4;30;11;3;25136
3;25136;19;27;22;13;23;7;21;17;20;14;5;6;25;26;10;8;12;28;15;18;2;31;16;9;1;3;24;29;32;4;30;11
19;27;22;13;23;7;21;17;1;14;5;6;25;26;10;8;12;28;15;18;2;31;16;9;20;3;24;29;32;4;30;11;3;25434
3;25434;19;27;22;13;23;7;21;17;1;14;5;6;25;26;10;8;12;28;15;18;2;31;16;9;20;3;24;29;32;4;30;11
19;27;22;13;18;7;21;17;1;14;5;6;25;26;10;8;12;28;15;23;2;31;16;9;20;3;24;29;32;4;30;11;3;25834
3;25834;19;27;22;13;18;7;21;17;1;14;5;6;25;26;10;8;12;28;15;23;2;31;16;9;20;3;24;29;32;4;30;11
19;27;22;13;18;7;21;4;1;14;5;6;25;26;10;8;12;28;15;23;2;31;16;9;20;3;24;29;32;17;30;11;3;26162
3;26162;19;27;22;13;18;7;21;4;1;14;5;6;25;26;10;8;12;28;15;23;2;31;16;9;20;3;24;29;32;17;30;11
19;27;25;13;18;7;21;4;1;14;5;6;22;26;10;8;12;28;15;23;2;31;16;9;20;3;24;29;32;17;30;11;3;26562
3;26562;19;27;25;13;18;7;21;4;1;14;5;6;22;26;10;8;12;28;15;23;2;31;16;9;20;3;24;29;32;17;30;11
19;27;25;13;18;7;21;4;1;14;5;23;22;26;10;8;12;28;15;6;2;31;16;9;20;3;24;29;32;17;30;11;3;26850
3;26850;19;27;25;13;18;7;21;4;1;14;5;23;22;26;10;8;12;28;15;6;2;31;16;9;20;3;24;29;32;17;30;11
19;27;25;13;18;7;21;4;1;14;5;23;22;26;10;8;12;16;15;6;2;31;28;9;20;3;24;29;32;17;30;11;3;26946
4;26946;19;27;25;13;18;7;21;4;1;14;5;23;22;26;10;8;12;16;15;6;2;31;28;9;20;3;24;29;32;17;30;11
19;27;30;13;18;7;21;4;1;14;5;23;22;26;10;8;12;16;15;6;2;31;28;9;20;3;24;29;32;17;25;11;4;26986
4;26986;19;27;30;13;18;7;21;4;1;14;5;23;22;26;10;8;12;16;15;6;2;31;28;9;20;3;24;29;32;17;25;11
19;27;30;12;18;7;21;4;1;14;5;23;22;26;10;8;13;16;15;6;2;31;28;9;20;3;24;29;32;17;25;11;4;27226
4;27226;19;27;30;12;18;7;21;4;1;14;5;23;22;26;10;8;13;16;15;6;2;31;28;9;20;3;24;29;32;17;25;11
19;27;30;12;18;7;21;4;1;14;5;23;22;26;10;8;13;16;15;6;2;31;20;9;28;3;24;29;32;17;25;11;4;27426
4;27426;19;27;30;12;18;7;21;4;1;14;5;23;22;26;10;8;13;16;15;6;2;31;20;9;28;3;24;29;32;17;25;11
19;27;30;12;18;7;21;4;1;14;5;23;22;26;32;8;13;16;15;6;2;31;20;9;28;3;24;29;10;17;25;11;4;26738
4;26738;19;27;30;12;18;7;21;4;1;14;5;23;22;26;32;8;13;16;15;6;2;31;20;9;28;3;24;29;10;17;25;11
19;27;20;12;18;7;21;4;1;14;5;23;22;26;32;8;13;16;15;6;2;31;30;9;28;3;24;29;10;17;25;11;4;26458
4;26458;19;27;20;12;18;7;21;4;1;14;5;23;22;26;32;8;13;16;15;6;2;31;30;9;28;3;24;29;10;17;25;11
19;14;20;12;18;7;21;4;1;27;5;23;22;26;32;8;13;16;15;6;2;31;30;9;28;3;24;29;10;17;25;11;4;26534
4;26534;19;14;20;12;18;7;21;4;1;27;5;23;22;26;32;8;13;16;15;6;2;31;30;9;28;3;24;29;10;17;25;11
19;14;20;12;18;7;21;4;1;27;5;23;22;26;2;8;13;16;15;6;32;31;30;9;28;3;24;29;10;17;25;11;4;26818
4;26818;19;14;20;12;18;7;21;4;1;27;5;23;22;26;2;8;13;16;15;6;32;31;30;9;28;3;24;29;10;17;25;11
19;14;20;12;18;7;21;4;1;27;5;23;32;26;2;8;13;16;15;6;22;31;30;9;28;3;24;29;10;17;25;11;4;27458
4;27458;19;14;20;12;18;7;21;4;1;27;5;23;32;26;2;8;13;16;15;6;22;31;30;9;28;3;24;29;10;17;25;11
19;14;20;12;11;7;21;4;1;27;5;23;32;26;2;8;13;16;15;6;22;31;30;9;28;3;24;29;10;17;25;18;4;26800
4;26800;19;14;20;12;11;7;21;4;1;27;5;23;32;26;2;8;13;16;15;6;22;31;30;9;28;3;24;29;10;17;25;18
19;14;20;12;11;7;32;4;1;27;5;23;21;26;2;8;13;16;15;6;22;31;30;9;28;3;24;29;10;17;25;18;4;26340
4;26340;19;14;20;12;11;7;32;4;1;27;5;23;21;26;2;8;13;16;15;6;22;31;30;9;28;3;24;29;10;17;25;18
19;14;20;12;11;7;32;18;1;27;5;23;21;26;2;8;13;16;15;6;22;31;30;9;28;3;24;29;10;17;25;4;4;26484
4;26484;19;14;20;12;11;7;32;18;1;27;5;23;21;26;2;8;13;16;15;6;22;31;30;9;28;3;24;29;10;17;25;4
19;14;20;12;11;7;32;18;1;27;5;23;21;26;2;8;4;16;15;6;22;31;30;9;28;3;24;29;10;17;25;13;4;25484
4;25484;19;14;20;12;11;7;32;18;1;27;5;23;21;26;2;8;4;16;15;6;22;31;30;9;28;3;24;29;10;17;25;13
19;14;20;12;11;7;32;18;1;27;5;23;25;26;2;8;4;16;15;6;22;31;30;9;28;3;24;29;10;17;21;13;4;25604
4;25604;19;14;20;12;11;7;32;18;1;27;5;23;25;26;2;8;4;16;15;6;22;31;30;9;28;3;24;29;10;17;21;13
19;14;20;12;11;7;32;18;1;27;5;23;25;26;2;8;4;30;15;6;22;31;16;9;28;3;24;29;10;17;21;13;4;25992
4;25992;19;14;20;12;11;7;32;18;1;27;5;23;25;26;2;8;4;30;15;6;22;31;16;9;28;3;24;29;10;17;21;13
19;14;20;12;11;7;32;18;1;27;5;23;25;26;2;8;4;30;15;6;31;22;16;9;28;3;24;29;10;17;21;13;4;25592
4;25592;19;14;20;12;11;7;32;18;1;27;5;23;25;26;2;8;4;30;15;6;31;22;16;9;28;3;24;29;10;17;21;13
19;14;20;12;11;7;32;18;29;27;5;23;25;26;2;8;4;30;15;6;31;22;16;9;28;3;24;1;10;17;21;13;4;25686
4;25686;19;14;20;12;11;7;32;18;29;27;5;23;25;26;2;8;4;30;15;6;31;22;16;9;28;3;24;1;10;17;21;13
19;14;20;12;11;7;32;18;29;27;5;23;25;26;2;15;4;30;8;6;31;22;16;9;28;3;24;1;10;17;21;13;4;25966
4;25966;19;14;20;12;11;7;32;18;29;27;5;23;25;26;2;15;4;30;8;6;31;22;16;9;28;3;24;1;10;17;21;13
19;14;20;12;11;7;32;18;29;27;5;30;25;26;2;15;4;23;8;6;31;22;16;9;28;3;24;1;10;17;21;13;4;25786
4;25786;19;14;20;12;11;7;32;18;29;27;5;30;25;26;2;15;4;23;8;6;31;22;16;9;28;3;24;1;10;17;21;13
19;14;20;12;11;7;32;18;29;27;28;30;25;26;2;15;4;23;8;6;31;22;16;9;5;3;24;1;10;17;21;13;4;24830
4;24830;19;14;20;12;11;7;32;18;29;27;28;30;25;26;2;15;4;23;8;6;31;22;16;9;5;3;24;1;10;17;21;13
19;14;20;12;11;7;32;18;29;27;28;30;25;26;2;15;4;23;8;6;31;22;16;9;5;3;13;1;10;17;21;24;4;25254
5;25254;19;14;20;12;11;7;32;18;29;27;28;30;25;26;2;15;4;23;8;6;31;22;16;9;5;3;13;1;10;17;21;24
19;14;20;21;11;7;32;18;29;27;28;30;25;26;2;15;4;23;8;6;31;22;16;9;5;3;13;1;10;17;12;24;5;26188
5;26188;19;14;20;21;11;7;32;18;29;27;28;30;25;26;2;15;4;23;8;6;31;22;16;9;5;3;13;1;10;17;12;24
19;14;20;21;11;7;32;18;29;27;28;30;25;26;2;15;4;23;8;6;31;22;16;5;9;3;13;1;10;17;12;24;5;26348
5;26348;19;14;20;21;11;7;32;18;29;27;28;30;25;26;2;15;4;23;8;6;31;22;16;5;9;3;13;1;10;17;12;24
19;14;20;21;11;7;32;18;29;27;28;30;4;26;2;15;25;23;8;6;31;22;16;5;9;3;13;1;10;17;12;24;5;27492
5;27492;19;14;20;21;11;7;32;18;29;27;28;30;4;26;2;15;25;23;8;6;31;22;16;5;9;3;13;1;10;17;12;24
19;14;20;21;11;7;32;10;29;27;28;30;4;26;2;15;25;23;8;6;31;22;16;5;9;3;13;1;18;17;12;24;5;27810
5;27810;19;14;20;21;11;7;32;10;29;27;28;30;4;26;2;15;25;23;8;6;31;22;16;5;9;3;13;1;18;17;12;24
19;14;20;21;11;16;32;10;29;27;28;30;4;26;2;15;25;23;8;6;31;22;7;5;9;3;13;1;18;17;12;24;5;28210
5;28210;19;14;20;21;11;16;32;10;29;27;28;30;4;26;2;15;25;23;8;6;31;22;7;5;9;3;13;1;18;17;12;24
19;14;20;21;11;16;32;10;29;27;28;30;15;26;2;4;25;23;8;6;31;22;7;5;9;3;13;1;18;17;12;24;5;27890
5;27890;19;14;20;21;11;16;32;10;29;27;28;30;15;26;2;4;25;23;8;6;31;22;7;5;9;3;13;1;18;17;12;24
7;14;20;21;11;16;32;10;29;27;28;30;15;26;2;4;25;23;8;6;31;22;19;5;9;3;13;1;18;17;12;24;5;27360
5;27360;7;14;20;21;11;16;32;10;29;27;28;30;15;26;2;4;25;23;8;6;31;22;19;5;9;3;13;1;18;17;12;24
7;14;20;21;11;16;32;10;29;3;28;30;15;26;2;4;25;23;8;6;31;22;19;5;9;27;13;1;18;17;12;24;5;27006
5;27006;7;14;20;21;11;16;32;10;29;3;28;30;15;26;2;4;25;23;8;6;31;22;19;5;9;27;13;1;18;17;12;24
7;14;20;21;11;18;32;10;29;3;28;30;15;26;2;4;25;23;8;6;31;22;19;5;9;27;13;1;16;17;12;24;5;26570
5;26570;7;14;20;21;11;18;32;10;29;3;28;30;15;26;2;4;25;23;8;6;31;22;19;5;9;27;13;1;16;17;12;24
7;14;20;21;11;18;32;10;29;3;28;30;15;26;2;4;25;23;5;6;31;22;19;8;9;27;13;1;16;17;12;24;5;26570
5;26570;7;14;20;21;11;18;32;10;29;3;28;30;15;26;2;4;25;23;5;6;31;22;19;8;9;27;13;1;16;17;12;24
7;14;20;21;11;18;32;10;29;13;28;30;15;26;2;4;25;23;5;6;31;22;19;8;9;27;3;1;16;17;12;24;5;26470
5;26470;7;14;20;21;11;18;32;10;29;13;28;30;15;26;2;4;25;23;5;6;31;22;19;8;9;27;3;1;16;17;12;24
7;14;20;21;11;18;32;10;29;13;28;30;15;26;2;4;25;23;5;6;31;22;1;8;9;27;3;19;16;17;12;24;5;27204
5;27204;7;14;20;21;11;18;32;10;29;13;28;30;15;26;2;4;25;23;5;6;31;22;1;8;9;27;3;19;16;17;12;24
7;14;20;21;11;18;32;10;29;13;23;30;15;26;2;4;25;28;5;6;31;22;1;8;9;27;3;19;16;17;12;24;5;27164
5;27164;7;14;20;21;11;18;32;10;29;13;23;30;15;26;2;4;25;28;5;6;31;22;1;8;9;27;3;19;16;17;12;24
7;14;20;21;11;18;32;10;29;13;23;31;15;26;2;4;25;28;5;6;30;22;1;8;9;27;3;19;16;17;12;24;5;27264
5;27264;7;14;20;21;11;18;32;10;29;13;23;31;15;26;2;4;25;28;5;6;30;22;1;8;9;27;3;19;16;17;12;24
7;14;20;21;11;18;32;10;29;13;23;31;15;26;2;4;25;28;5;6;30;22;1;8;16;27;3;19;9;17;12;24;5;26664
5;26664;7;14;20;21;11;18;32;10;29;13;23;31;15;26;2;4;25;28;5;6;30;22;1;8;16;27;3;19;9;17;12;24
7;14;18;21;11;20;32;10;29;13;23;31;15;26;2;4;25;28;5;6;30;22;1;8;16;27;3;19;9;17;12;24;5;26664
5;26664;7;14;18;21;11;20;32;10;29;13;23;31;15;26;2;4;25;28;5;6;30;22;1;8;16;27;3;19;9;17;12;24
7;14;18;21;11;20;32;10;29;13;23;31;15;26;2;4;3;28;5;6;30;22;1;8;16;27;25;19;9;17;12;24;5;26132
5;26132;7;14;18;21;11;20;32;10;29;13;23;31;15;26;2;4;3;28;5;6;30;22;1;8;16;27;25;19;9;17;12;24
7;14;18;21;11;9;32;10;29;13;23;31;15;26;2;4;3;28;5;6;30;22;1;8;16;27;25;19;20;17;12;24;5;26848
5;26848;7;14;18;21;11;9;32;10;29;13;23;31;15;26;2;4;3;28;5;6;30;22;1;8;16;27;25;19;20;17;12;24
7;14;18;21;9;11;32;10;29;13;23;31;15;26;2;4;3;28;5;6;30;22;1;8;16;27;25;19;20;17;12;24;5;26928
