"X1";"X5833072";"X12";"X4";"X6";"X1.1";"X22";"X14";"X19";"X10";"X13";"X21";"X2";"X5";"X18";"X20";"X26";"X25";"X11";"X15";"X7";"X17";"X23";"X24";"X9";"X8";"X16";"X3"
24;23;6;1;3;14;2;10;13;11;19;9;18;20;16;25;21;26;7;17;4;12;5;8;15;22;1;6008767
1;6008767;24;23;6;1;3;14;2;10;13;11;19;9;18;20;16;25;21;26;7;17;4;12;5;8;15;22
24;23;6;1;3;14;2;10;4;11;19;9;18;20;16;25;21;26;7;17;13;12;5;8;15;22;1;5977826
1;5977826;24;23;6;1;3;14;2;10;4;11;19;9;18;20;16;25;21;26;7;17;13;12;5;8;15;22
24;23;6;1;3;14;2;10;4;11;16;9;18;20;19;25;21;26;7;17;13;12;5;8;15;22;1;6044386
1;6044386;24;23;6;1;3;14;2;10;4;11;16;9;18;20;19;25;21;26;7;17;13;12;5;8;15;22
24;23;6;1;3;14;22;10;4;11;16;9;18;20;19;25;21;26;7;17;13;12;5;8;15;2;1;6051949
1;6051949;24;23;6;1;3;14;22;10;4;11;16;9;18;20;19;25;21;26;7;17;13;12;5;8;15;2
24;23;6;1;3;14;22;10;4;11;16;9;18;19;20;25;21;26;7;17;13;12;5;8;15;2;1;6058755
1;6058755;24;23;6;1;3;14;22;10;4;11;16;9;18;19;20;25;21;26;7;17;13;12;5;8;15;2
24;23;6;1;3;14;22;10;4;11;16;15;18;19;20;25;21;26;7;17;13;12;5;8;9;2;1;6045815
1;6045815;24;23;6;1;3;14;22;10;4;11;16;15;18;19;20;25;21;26;7;17;13;12;5;8;9;2
24;23;6;1;3;14;22;10;4;11;9;15;18;19;20;25;21;26;7;17;13;12;5;8;16;2;1;5999256
1;5999256;24;23;6;1;3;14;22;10;4;11;9;15;18;19;20;25;21;26;7;17;13;12;5;8;16;2
24;23;6;1;3;14;22;10;4;13;9;15;18;19;20;25;21;26;7;17;11;12;5;8;16;2;1;5988281
1;5988281;24;23;6;1;3;14;22;10;4;13;9;15;18;19;20;25;21;26;7;17;11;12;5;8;16;2
24;23;6;1;3;14;22;10;4;13;9;15;18;19;16;25;21;26;7;17;11;12;5;8;20;2;1;5902806
1;5902806;24;23;6;1;3;14;22;10;4;13;9;15;18;19;16;25;21;26;7;17;11;12;5;8;20;2
24;23;6;1;3;14;22;10;4;13;9;8;18;19;16;25;21;26;7;17;11;12;5;15;20;2;1;5812219
1;5812219;24;23;6;1;3;14;22;10;4;13;9;8;18;19;16;25;21;26;7;17;11;12;5;15;20;2
24;23;2;1;3;14;22;10;4;13;9;8;18;19;16;25;21;26;7;17;11;12;5;15;20;6;1;5846694
2;5846694;24;23;2;1;3;14;22;10;4;13;9;8;18;19;16;25;21;26;7;17;11;12;5;15;20;6
24;23;2;1;3;20;22;10;4;13;9;8;18;19;16;25;21;26;7;17;11;12;5;15;14;6;2;5857585
2;5857585;24;23;2;1;3;20;22;10;4;13;9;8;18;19;16;25;21;26;7;17;11;12;5;15;14;6
24;23;2;1;3;20;22;10;4;13;9;8;18;19;16;25;21;26;7;17;12;11;5;15;14;6;2;5856338
2;5856338;24;23;2;1;3;20;22;10;4;13;9;8;18;19;16;25;21;26;7;17;12;11;5;15;14;6
24;23;2;1;3;20;22;10;4;13;9;8;18;19;16;25;21;6;7;17;12;11;5;15;14;26;2;5859322
2;5859322;24;23;2;1;3;20;22;10;4;13;9;8;18;19;16;25;21;6;7;17;12;11;5;15;14;26
24;23;2;1;3;20;22;10;4;13;9;8;18;5;16;25;21;6;7;17;12;11;19;15;14;26;2;5774163
2;5774163;24;23;2;1;3;20;22;10;4;13;9;8;18;5;16;25;21;6;7;17;12;11;19;15;14;26
24;23;2;1;3;20;22;10;4;21;9;8;18;5;16;25;13;6;7;17;12;11;19;15;14;26;2;5774341
2;5774341;24;23;2;1;3;20;22;10;4;21;9;8;18;5;16;25;13;6;7;17;12;11;19;15;14;26
24;23;2;1;3;20;22;4;10;21;9;8;18;5;16;25;13;6;7;17;12;11;19;15;14;26;2;5774341
2;5774341;24;23;2;1;3;20;22;4;10;21;9;8;18;5;16;25;13;6;7;17;12;11;19;15;14;26
24;23;6;1;3;20;22;4;10;21;9;8;18;5;16;25;13;2;7;17;12;11;19;15;14;26;2;5767177
2;5767177;24;23;6;1;3;20;22;4;10;21;9;8;18;5;16;25;13;2;7;17;12;11;19;15;14;26
24;23;14;1;3;20;22;4;10;21;9;8;18;5;16;25;13;2;7;17;12;11;19;15;6;26;2;5831417
2;5831417;24;23;14;1;3;20;22;4;10;21;9;8;18;5;16;25;13;2;7;17;12;11;19;15;6;26
24;23;14;1;3;20;22;4;10;21;9;8;18;5;16;25;13;2;7;19;12;11;17;15;6;26;2;5799648
2;5799648;24;23;14;1;3;20;22;4;10;21;9;8;18;5;16;25;13;2;7;19;12;11;17;15;6;26
24;23;14;1;3;20;22;4;10;21;9;8;18;5;16;7;13;2;25;19;12;11;17;15;6;26;2;5802302
2;5802302;24;23;14;1;3;20;22;4;10;21;9;8;18;5;16;7;13;2;25;19;12;11;17;15;6;26
24;23;14;1;3;20;22;4;9;21;10;8;18;5;16;7;13;2;25;19;12;11;17;15;6;26;2;5781372
2;5781372;24;23;14;1;3;20;22;4;9;21;10;8;18;5;16;7;13;2;25;19;12;11;17;15;6;26
24;23;14;1;3;20;22;4;5;21;10;8;18;9;16;7;13;2;25;19;12;11;17;15;6;26;2;5838260
2;5838260;24;23;14;1;3;20;22;4;5;21;10;8;18;9;16;7;13;2;25;19;12;11;17;15;6;26
24;23;14;10;3;20;22;4;5;21;1;8;18;9;16;7;13;2;25;19;12;11;17;15;6;26;2;5796973
2;5796973;24;23;14;10;3;20;22;4;5;21;1;8;18;9;16;7;13;2;25;19;12;11;17;15;6;26
24;23;14;10;3;20;22;4;7;21;1;8;18;9;16;5;13;2;25;19;12;11;17;15;6;26;2;5821590
2;5821590;24;23;14;10;3;20;22;4;7;21;1;8;18;9;16;5;13;2;25;19;12;11;17;15;6;26
24;23;14;9;3;20;22;4;7;21;1;8;18;10;16;5;13;2;25;19;12;11;17;15;6;26;2;5866811
2;5866811;24;23;14;9;3;20;22;4;7;21;1;8;18;10;16;5;13;2;25;19;12;11;17;15;6;26
9;23;14;24;3;20;22;4;7;21;1;8;18;10;16;5;13;2;25;19;12;11;17;15;6;26;2;5891129
2;5891129;9;23;14;24;3;20;22;4;7;21;1;8;18;10;16;5;13;2;25;19;12;11;17;15;6;26
9;23;14;24;3;20;22;4;15;21;1;8;18;10;16;5;13;2;25;19;12;11;17;7;6;26;2;5861612
2;5861612;9;23;14;24;3;20;22;4;15;21;1;8;18;10;16;5;13;2;25;19;12;11;17;7;6;26
9;23;14;24;3;20;22;4;15;13;1;8;18;10;16;5;21;2;25;19;12;11;17;7;6;26;2;5864229
2;5864229;9;23;14;24;3;20;22;4;15;13;1;8;18;10;16;5;21;2;25;19;12;11;17;7;6;26
9;23;26;24;3;20;22;4;15;13;1;8;18;10;16;5;21;2;25;19;12;11;17;7;6;14;2;5958018
2;5958018;9;23;26;24;3;20;22;4;15;13;1;8;18;10;16;5;21;2;25;19;12;11;17;7;6;14
9;23;26;24;3;20;22;4;15;13;1;8;18;10;12;5;21;2;25;19;16;11;17;7;6;14;2;5947977
3;5947977;9;23;26;24;3;20;22;4;15;13;1;8;18;10;12;5;21;2;25;19;16;11;17;7;6;14
24;23;26;9;3;20;22;4;15;13;1;8;18;10;12;5;21;2;25;19;16;11;17;7;6;14;3;5931803
3;5931803;24;23;26;9;3;20;22;4;15;13;1;8;18;10;12;5;21;2;25;19;16;11;17;7;6;14
24;23;26;22;3;20;9;4;15;13;1;8;18;10;12;5;21;2;25;19;16;11;17;7;6;14;3;6025341
3;6025341;24;23;26;22;3;20;9;4;15;13;1;8;18;10;12;5;21;2;25;19;16;11;17;7;6;14
24;18;26;22;3;20;9;4;15;13;1;8;23;10;12;5;21;2;25;19;16;11;17;7;6;14;3;6059187
3;6059187;24;18;26;22;3;20;9;4;15;13;1;8;23;10;12;5;21;2;25;19;16;11;17;7;6;14
24;18;26;22;3;14;9;4;15;13;1;8;23;10;12;5;21;2;25;19;16;11;17;7;6;20;3;5986924
3;5986924;24;18;26;22;3;14;9;4;15;13;1;8;23;10;12;5;21;2;25;19;16;11;17;7;6;20
24;18;26;22;3;14;9;4;15;19;1;8;23;10;12;5;21;2;25;13;16;11;17;7;6;20;3;6020392
3;6020392;24;18;26;22;3;14;9;4;15;19;1;8;23;10;12;5;21;2;25;13;16;11;17;7;6;20
24;18;26;22;23;14;9;4;15;19;1;8;3;10;12;5;21;2;25;13;16;11;17;7;6;20;3;6016314
3;6016314;24;18;26;22;23;14;9;4;15;19;1;8;3;10;12;5;21;2;25;13;16;11;17;7;6;20
24;18;26;22;23;14;8;4;15;19;1;9;3;10;12;5;21;2;25;13;16;11;17;7;6;20;3;5895732
3;5895732;24;18;26;22;23;14;8;4;15;19;1;9;3;10;12;5;21;2;25;13;16;11;17;7;6;20
24;18;26;22;20;14;8;4;15;19;1;9;3;10;12;5;21;2;25;13;16;11;17;7;6;23;3;5831588
3;5831588;24;18;26;22;20;14;8;4;15;19;1;9;3;10;12;5;21;2;25;13;16;11;17;7;6;23
24;18;26;22;20;14;8;4;15;19;1;9;3;10;25;5;21;2;12;13;16;11;17;7;6;23;3;5825244
3;5825244;24;18;26;22;20;14;8;4;15;19;1;9;3;10;25;5;21;2;12;13;16;11;17;7;6;23
24;18;26;22;20;14;8;4;15;19;7;9;3;10;25;5;21;2;12;13;16;11;17;1;6;23;3;5856801
3;5856801;24;18;26;22;20;14;8;4;15;19;7;9;3;10;25;5;21;2;12;13;16;11;17;1;6;23
24;18;26;22;20;14;8;4;15;19;7;9;3;10;25;5;17;2;12;13;16;11;21;1;6;23;3;5874580
3;5874580;24;18;26;22;20;14;8;4;15;19;7;9;3;10;25;5;17;2;12;13;16;11;21;1;6;23
24;18;26;22;20;14;8;4;15;3;7;9;19;10;25;5;17;2;12;13;16;11;21;1;6;23;3;5900531
3;5900531;24;18;26;22;20;14;8;4;15;3;7;9;19;10;25;5;17;2;12;13;16;11;21;1;6;23
24;18;26;22;20;14;8;7;15;3;4;9;19;10;25;5;17;2;12;13;16;11;21;1;6;23;3;5890844
3;5890844;24;18;26;22;20;14;8;7;15;3;4;9;19;10;25;5;17;2;12;13;16;11;21;1;6;23
24;18;26;22;20;14;8;7;15;12;4;9;19;10;25;5;17;2;3;13;16;11;21;1;6;23;3;5904407
3;5904407;24;18;26;22;20;14;8;7;15;12;4;9;19;10;25;5;17;2;3;13;16;11;21;1;6;23
24;18;26;22;20;14;8;7;15;12;4;9;19;10;13;5;17;2;3;25;16;11;21;1;6;23;3;5896402
3;5896402;24;18;26;22;20;14;8;7;15;12;4;9;19;10;13;5;17;2;3;25;16;11;21;1;6;23
24;25;26;22;20;14;8;7;15;12;4;9;19;10;13;5;17;2;3;18;16;11;21;1;6;23;3;5899241
3;5899241;24;25;26;22;20;14;8;7;15;12;4;9;19;10;13;5;17;2;3;18;16;11;21;1;6;23
24;25;26;22;20;14;8;1;15;12;4;9;19;10;13;5;17;2;3;18;16;11;21;7;6;23;3;5831842
3;5831842;24;25;26;22;20;14;8;1;15;12;4;9;19;10;13;5;17;2;3;18;16;11;21;7;6;23
24;25;26;22;20;14;8;1;15;12;4;6;19;10;13;5;17;2;3;18;16;11;21;7;9;23;3;5985561
3;5985561;24;25;26;22;20;14;8;1;15;12;4;6;19;10;13;5;17;2;3;18;16;11;21;7;9;23
24;25;26;22;20;14;8;1;15;12;4;6;19;10;13;5;17;2;3;18;16;21;11;7;9;23;3;5995028
3;5995028;24;25;26;22;20;14;8;1;15;12;4;6;19;10;13;5;17;2;3;18;16;21;11;7;9;23
24;25;26;22;20;14;8;1;15;12;11;6;19;10;13;5;17;2;3;18;16;21;4;7;9;23;3;5991097
4;5991097;24;25;26;22;20;14;8;1;15;12;11;6;19;10;13;5;17;2;3;18;16;21;4;7;9;23
24;25;11;22;20;14;8;1;15;12;26;6;19;10;13;5;17;2;3;18;16;21;4;7;9;23;4;5985549
4;5985549;24;25;11;22;20;14;8;1;15;12;26;6;19;10;13;5;17;2;3;18;16;21;4;7;9;23
24;25;11;22;20;19;8;1;15;12;26;6;14;10;13;5;17;2;3;18;16;21;4;7;9;23;4;5942128
4;5942128;24;25;11;22;20;19;8;1;15;12;26;6;14;10;13;5;17;2;3;18;16;21;4;7;9;23
24;11;25;22;20;19;8;1;15;12;26;6;14;10;13;5;17;2;3;18;16;21;4;7;9;23;4;5940152
4;5940152;24;11;25;22;20;19;8;1;15;12;26;6;14;10;13;5;17;2;3;18;16;21;4;7;9;23
24;11;25;17;20;19;8;1;15;12;26;6;14;10;13;5;22;2;3;18;16;21;4;7;9;23;4;5957285
4;5957285;24;11;25;17;20;19;8;1;15;12;26;6;14;10;13;5;22;2;3;18;16;21;4;7;9;23
24;11;25;4;20;19;8;1;15;12;26;6;14;10;13;5;22;2;3;18;16;21;17;7;9;23;4;5943559
4;5943559;24;11;25;4;20;19;8;1;15;12;26;6;14;10;13;5;22;2;3;18;16;21;17;7;9;23
24;11;25;4;20;19;8;1;15;12;26;6;14;10;13;5;22;2;3;18;16;21;17;23;9;7;4;5948826
4;5948826;24;11;25;4;20;19;8;1;15;12;26;6;14;10;13;5;22;2;3;18;16;21;17;23;9;7
24;11;25;4;20;19;8;1;15;12;26;6;14;10;5;13;22;2;3;18;16;21;17;23;9;7;4;6020329
4;6020329;24;11;25;4;20;19;8;1;15;12;26;6;14;10;5;13;22;2;3;18;16;21;17;23;9;7
24;11;25;4;20;19;15;1;8;12;26;6;14;10;5;13;22;2;3;18;16;21;17;23;9;7;4;6017297
4;6017297;24;11;25;4;20;19;15;1;8;12;26;6;14;10;5;13;22;2;3;18;16;21;17;23;9;7
17;11;25;4;20;19;15;1;8;12;26;6;14;10;5;13;22;2;3;18;16;21;24;23;9;7;4;6017693
4;6017693;17;11;25;4;20;19;15;1;8;12;26;6;14;10;5;13;22;2;3;18;16;21;24;23;9;7
17;11;25;4;20;19;15;1;26;12;8;6;14;10;5;13;22;2;3;18;16;21;24;23;9;7;4;5977349
4;5977349;17;11;25;4;20;19;15;1;26;12;8;6;14;10;5;13;22;2;3;18;16;21;24;23;9;7
17;11;25;4;20;19;15;21;26;12;8;6;14;10;5;13;22;2;3;18;16;1;24;23;9;7;4;5994666
4;5994666;17;11;25;4;20;19;15;21;26;12;8;6;14;10;5;13;22;2;3;18;16;1;24;23;9;7
17;11;25;4;20;19;15;8;26;12;21;6;14;10;5;13;22;2;3;18;16;1;24;23;9;7;4;5992391
4;5992391;17;11;25;4;20;19;15;8;26;12;21;6;14;10;5;13;22;2;3;18;16;1;24;23;9;7
17;11;25;4;20;19;15;8;26;12;21;6;14;10;22;13;5;2;3;18;16;1;24;23;9;7;4;5898003
4;5898003;17;11;25;4;20;19;15;8;26;12;21;6;14;10;22;13;5;2;3;18;16;1;24;23;9;7
17;11;25;4;20;19;15;8;26;12;21;6;14;10;22;23;5;2;3;18;16;1;24;13;9;7;4;5903420
4;5903420;17;11;25;4;20;19;15;8;26;12;21;6;14;10;22;23;5;2;3;18;16;1;24;13;9;7
17;11;2;4;20;19;15;8;26;12;21;6;14;10;22;23;5;25;3;18;16;1;24;13;9;7;4;5919267
4;5919267;17;11;2;4;20;19;15;8;26;12;21;6;14;10;22;23;5;25;3;18;16;1;24;13;9;7
17;11;2;4;20;19;15;8;26;12;21;6;14;10;22;23;5;25;7;18;16;1;24;13;9;3;4;5931839
4;5931839;17;11;2;4;20;19;15;8;26;12;21;6;14;10;22;23;5;25;7;18;16;1;24;13;9;3
17;11;2;4;20;19;15;8;26;12;21;6;14;10;22;23;5;18;7;25;16;1;24;13;9;3;4;5890168
4;5890168;17;11;2;4;20;19;15;8;26;12;21;6;14;10;22;23;5;18;7;25;16;1;24;13;9;3
17;11;2;4;20;19;15;8;14;12;21;6;26;10;22;23;5;18;7;25;16;1;24;13;9;3;4;5975198
4;5975198;17;11;2;4;20;19;15;8;14;12;21;6;26;10;22;23;5;18;7;25;16;1;24;13;9;3
17;11;2;4;20;19;15;8;14;12;21;6;26;10;13;23;5;18;7;25;16;1;24;22;9;3;4;5968580
4;5968580;17;11;2;4;20;19;15;8;14;12;21;6;26;10;13;23;5;18;7;25;16;1;24;22;9;3
17;11;2;4;20;19;15;8;14;12;21;6;26;10;13;23;5;24;7;25;16;1;18;22;9;3;4;6028277
5;6028277;17;11;2;4;20;19;15;8;14;12;21;6;26;10;13;23;5;24;7;25;16;1;18;22;9;3
17;11;2;4;20;19;15;8;14;12;21;6;7;10;13;23;5;24;26;25;16;1;18;22;9;3;5;6021118
5;6021118;17;11;2;4;20;19;15;8;14;12;21;6;7;10;13;23;5;24;26;25;16;1;18;22;9;3
17;11;2;4;20;19;15;8;18;12;21;6;7;10;13;23;5;24;26;25;16;1;14;22;9;3;5;6034678
5;6034678;17;11;2;4;20;19;15;8;18;12;21;6;7;10;13;23;5;24;26;25;16;1;14;22;9;3
17;11;10;4;20;19;15;8;18;12;21;6;7;2;13;23;5;24;26;25;16;1;14;22;9;3;5;6021553
5;6021553;17;11;10;4;20;19;15;8;18;12;21;6;7;2;13;23;5;24;26;25;16;1;14;22;9;3
17;11;5;4;20;19;15;8;18;12;21;6;7;2;13;23;10;24;26;25;16;1;14;22;9;3;5;6090972
5;6090972;17;11;5;4;20;19;15;8;18;12;21;6;7;2;13;23;10;24;26;25;16;1;14;22;9;3
17;11;5;4;20;19;15;8;18;12;21;6;16;2;13;23;10;24;26;25;7;1;14;22;9;3;5;6114976
5;6114976;17;11;5;4;20;19;15;8;18;12;21;6;16;2;13;23;10;24;26;25;7;1;14;22;9;3
17;11;14;4;20;19;15;8;18;12;21;6;16;2;13;23;10;24;26;25;7;1;5;22;9;3;5;6195482
5;6195482;17;11;14;4;20;19;15;8;18;12;21;6;16;2;13;23;10;24;26;25;7;1;5;22;9;3
19;11;14;4;20;17;15;8;18;12;21;6;16;2;13;23;10;24;26;25;7;1;5;22;9;3;5;6180288
5;6180288;19;11;14;4;20;17;15;8;18;12;21;6;16;2;13;23;10;24;26;25;7;1;5;22;9;3
19;11;14;4;23;17;15;8;18;12;21;6;16;2;13;20;10;24;26;25;7;1;5;22;9;3;5;6102364
5;6102364;19;11;14;4;23;17;15;8;18;12;21;6;16;2;13;20;10;24;26;25;7;1;5;22;9;3
19;11;14;4;23;17;15;8;18;12;21;6;16;2;13;20;10;3;26;25;7;1;5;22;9;24;5;6080326
5;6080326;19;11;14;4;23;17;15;8;18;12;21;6;16;2;13;20;10;3;26;25;7;1;5;22;9;24
19;6;14;4;23;17;15;8;18;12;21;11;16;2;13;20;10;3;26;25;7;1;5;22;9;24;5;6085542
5;6085542;19;6;14;4;23;17;15;8;18;12;21;11;16;2;13;20;10;3;26;25;7;1;5;22;9;24
19;6;14;4;23;17;15;8;18;26;21;11;16;2;13;20;10;3;12;25;7;1;5;22;9;24;5;6077348
5;6077348;19;6;14;4;23;17;15;8;18;26;21;11;16;2;13;20;10;3;12;25;7;1;5;22;9;24
19;6;14;4;23;17;15;8;18;26;21;11;16;2;9;20;10;3;12;25;7;1;5;22;13;24;5;6170031
5;6170031;19;6;14;4;23;17;15;8;18;26;21;11;16;2;9;20;10;3;12;25;7;1;5;22;13;24
19;6;9;4;23;17;15;8;18;26;21;11;16;2;14;20;10;3;12;25;7;1;5;22;13;24;5;6133950
5;6133950;19;6;9;4;23;17;15;8;18;26;21;11;16;2;14;20;10;3;12;25;7;1;5;22;13;24
19;6;9;4;18;17;15;8;23;26;21;11;16;2;14;20;10;3;12;25;7;1;5;22;13;24;5;6319918
5;6319918;19;6;9;4;18;17;15;8;23;26;21;11;16;2;14;20;10;3;12;25;7;1;5;22;13;24
19;6;9;4;18;21;15;8;23;26;17;11;16;2;14;20;10;3;12;25;7;1;5;22;13;24;5;6307346
5;6307346;19;6;9;4;18;21;15;8;23;26;17;11;16;2;14;20;10;3;12;25;7;1;5;22;13;24
19;11;9;4;18;21;15;8;23;26;17;6;16;2;14;20;10;3;12;25;7;1;5;22;13;24;5;6309189
5;6309189;19;11;9;4;18;21;15;8;23;26;17;6;16;2;14;20;10;3;12;25;7;1;5;22;13;24
19;11;9;4;18;20;15;8;23;26;17;6;16;2;14;21;10;3;12;25;7;1;5;22;13;24;5;6304733
5;6304733;19;11;9;4;18;20;15;8;23;26;17;6;16;2;14;21;10;3;12;25;7;1;5;22;13;24
19;11;20;4;18;9;15;8;23;26;17;6;16;2;14;21;10;3;12;25;7;1;5;22;13;24;5;6280458
5;6280458;19;11;20;4;18;9;15;8;23;26;17;6;16;2;14;21;10;3;12;25;7;1;5;22;13;24
19;11;20;4;18;9;15;8;23;26;25;6;16;2;14;21;10;3;12;17;7;1;5;22;13;24;5;6279283
5;6279283;19;11;20;4;18;9;15;8;23;26;25;6;16;2;14;21;10;3;12;17;7;1;5;22;13;24
19;5;20;4;18;9;15;8;23;26;25;6;16;2;14;21;10;3;12;17;7;1;11;22;13;24;5;6105947
6;6105947;19;5;20;4;18;9;15;8;23;26;25;6;16;2;14;21;10;3;12;17;7;1;11;22;13;24
19;5;20;4;18;9;15;8;1;26;25;6;16;2;14;21;10;3;12;17;7;23;11;22;13;24;6;6047193
6;6047193;19;5;20;4;18;9;15;8;1;26;25;6;16;2;14;21;10;3;12;17;7;23;11;22;13;24
19;5;20;4;18;9;11;8;1;26;25;6;16;2;14;21;10;3;12;17;7;23;15;22;13;24;6;6099918
6;6099918;19;5;20;4;18;9;11;8;1;26;25;6;16;2;14;21;10;3;12;17;7;23;15;22;13;24
19;5;20;4;18;9;11;3;1;26;25;6;16;2;14;21;10;8;12;17;7;23;15;22;13;24;6;6135494
6;6135494;19;5;20;4;18;9;11;3;1;26;25;6;16;2;14;21;10;8;12;17;7;23;15;22;13;24
19;5;20;4;18;9;11;3;1;26;25;6;16;2;14;21;10;8;12;17;22;23;15;7;13;24;6;6114425
6;6114425;19;5;20;4;18;9;11;3;1;26;25;6;16;2;14;21;10;8;12;17;22;23;15;7;13;24
19;5;20;4;18;9;11;3;1;26;25;6;16;2;14;21;10;8;13;17;22;23;15;7;12;24;6;6123357
6;6114425;19;5;20;4;18;9;11;3;1;26;25;6;16;2;14;21;10;8;12;17;22;23;15;7;13;24
19;5;20;4;18;9;11;3;1;26;25;6;17;2;14;21;10;8;12;16;22;23;15;7;13;24;6;6127561
6;6127561;19;5;20;4;18;9;11;3;1;26;25;6;17;2;14;21;10;8;12;16;22;23;15;7;13;24
19;5;20;4;18;9;22;3;1;26;25;6;17;2;14;21;10;8;12;16;11;23;15;7;13;24;6;6121468
6;6121468;19;5;20;4;18;9;22;3;1;26;25;6;17;2;14;21;10;8;12;16;11;23;15;7;13;24
19;5;20;4;18;9;22;15;1;26;25;6;17;2;14;21;10;8;12;16;11;23;3;7;13;24;6;6010755
6;6010755;19;5;20;4;18;9;22;15;1;26;25;6;17;2;14;21;10;8;12;16;11;23;3;7;13;24
19;5;20;4;18;9;22;15;1;26;25;6;3;2;14;21;10;8;12;16;11;23;17;7;13;24;6;5981341
6;5981341;19;5;20;4;18;9;22;15;1;26;25;6;3;2;14;21;10;8;12;16;11;23;17;7;13;24
19;5;20;4;18;9;22;15;1;26;25;6;3;2;14;8;10;21;12;16;11;23;17;7;13;24;6;5962861
6;5962861;19;5;20;4;18;9;22;15;1;26;25;6;3;2;14;8;10;21;12;16;11;23;17;7;13;24
19;5;20;4;18;9;22;15;23;26;25;6;3;2;14;8;10;21;12;16;11;1;17;7;13;24;6;6036737
6;6036737;19;5;20;4;18;9;22;15;23;26;25;6;3;2;14;8;10;21;12;16;11;1;17;7;13;24
19;5;20;4;18;9;22;15;23;26;25;6;3;2;14;8;10;21;12;16;11;13;17;7;1;24;6;5937537
6;5937537;19;5;20;4;18;9;22;15;23;26;25;6;3;2;14;8;10;21;12;16;11;13;17;7;1;24
19;5;20;4;18;10;22;15;23;26;25;6;3;2;14;8;9;21;12;16;11;13;17;7;1;24;6;5918262
6;5918262;19;5;20;4;18;10;22;15;23;26;25;6;3;2;14;8;9;21;12;16;11;13;17;7;1;24
19;5;20;4;18;10;22;15;23;26;11;6;3;2;14;8;9;21;12;16;25;13;17;7;1;24;6;5895880
6;5895880;19;5;20;4;18;10;22;15;23;26;11;6;3;2;14;8;9;21;12;16;25;13;17;7;1;24
19;5;20;4;6;10;22;15;23;26;11;18;3;2;14;8;9;21;12;16;25;13;17;7;1;24;6;5904740
6;5904740;19;5;20;4;6;10;22;15;23;26;11;18;3;2;14;8;9;21;12;16;25;13;17;7;1;24
19;5;20;4;6;10;22;15;23;26;11;18;3;2;17;8;9;21;12;16;25;13;14;7;1;24;6;5963103
6;5963103;19;5;20;4;6;10;22;15;23;26;11;18;3;2;17;8;9;21;12;16;25;13;14;7;1;24
19;5;20;4;6;10;22;15;23;26;11;18;3;16;17;8;9;21;12;2;25;13;14;7;1;24;6;5965300
6;5965300;19;5;20;4;6;10;22;15;23;26;11;18;3;16;17;8;9;21;12;2;25;13;14;7;1;24
19;5;20;4;6;10;23;15;22;26;11;18;3;16;17;8;9;21;12;2;25;13;14;7;1;24;6;5975658
6;5975658;19;5;20;4;6;10;23;15;22;26;11;18;3;16;17;8;9;21;12;2;25;13;14;7;1;24
