"X1";"X27114";"X23";"X21";"X18";"X25";"X22";"X7";"X29";"X10";"X31";"X28";"X11";"X2";"X1.1";"X26";"X9";"X20";"X8";"X15";"X4";"X6";"X14";"X13";"X27";"X30";"X17";"X12";"X3";"X5";"X24";"X32";"X19";"X16"
2;28226;18;1;11;2;29;24;3;9;16;13;23;25;17;6;8;5;30;15;7;22;14;28;19;4;21;10;20;12;26;27;32;31
18;1;11;2;29;8;3;9;16;13;23;25;17;6;24;5;30;15;7;22;14;28;19;4;21;10;20;12;26;27;32;31;2;28686
2;28686;18;1;11;2;29;8;3;9;16;13;23;25;17;6;24;5;30;15;7;22;14;28;19;4;21;10;20;12;26;27;32;31
18;1;11;2;29;8;3;9;16;13;23;25;10;6;24;5;30;15;7;22;14;28;19;4;21;17;20;12;26;27;32;31;2;28170
2;28170;18;1;11;2;29;8;3;9;16;13;23;25;10;6;24;5;30;15;7;22;14;28;19;4;21;17;20;12;26;27;32;31
18;1;11;2;29;8;3;32;16;13;23;25;10;6;24;5;30;15;7;22;14;28;19;4;21;17;20;12;26;27;9;31;2;28918
2;28918;18;1;11;2;29;8;3;32;16;13;23;25;10;6;24;5;30;15;7;22;14;28;19;4;21;17;20;12;26;27;9;31
18;1;11;2;29;8;3;32;16;13;23;25;10;6;24;5;30;14;7;22;15;28;19;4;21;17;20;12;26;27;9;31;2;28718
2;28718;18;1;11;2;29;8;3;32;16;13;23;25;10;6;24;5;30;14;7;22;15;28;19;4;21;17;20;12;26;27;9;31
18;1;11;2;29;8;3;32;16;13;23;25;10;6;24;5;30;14;7;22;15;28;19;4;21;17;20;12;27;26;9;31;2;28418
2;28418;18;1;11;2;29;8;3;32;16;13;23;25;10;6;24;5;30;14;7;22;15;28;19;4;21;17;20;12;27;26;9;31
12;1;11;2;29;8;3;32;16;13;23;25;10;6;24;5;30;14;7;22;15;28;19;4;21;17;20;18;27;26;9;31;2;28986
2;28986;12;1;11;2;29;8;3;32;16;13;23;25;10;6;24;5;30;14;7;22;15;28;19;4;21;17;20;18;27;26;9;31
12;1;11;2;29;28;3;32;16;13;23;25;10;6;24;5;30;14;7;22;15;8;19;4;21;17;20;18;27;26;9;31;2;28778
2;28778;12;1;11;2;29;28;3;32;16;13;23;25;10;6;24;5;30;14;7;22;15;8;19;4;21;17;20;18;27;26;9;31
12;1;11;2;29;31;3;32;16;13;23;25;10;6;24;5;30;14;7;22;15;8;19;4;21;17;20;18;27;26;9;28;2;28818
2;28818;12;1;11;2;29;31;3;32;16;13;23;25;10;6;24;5;30;14;7;22;15;8;19;4;21;17;20;18;27;26;9;28
12;1;11;32;29;31;3;2;16;13;23;25;10;6;24;5;30;14;7;22;15;8;19;4;21;17;20;18;27;26;9;28;2;28516
3;28516;12;1;11;32;29;31;3;2;16;13;23;25;10;6;24;5;30;14;7;22;15;8;19;4;21;17;20;18;27;26;9;28
12;1;11;32;29;31;3;18;16;13;23;25;10;6;24;5;30;14;7;22;15;8;19;4;21;17;20;2;27;26;9;28;3;28332
3;28332;12;1;11;32;29;31;3;18;16;13;23;25;10;6;24;5;30;14;7;22;15;8;19;4;21;17;20;2;27;26;9;28
12;1;11;32;29;31;3;18;16;13;23;25;10;6;24;5;30;2;7;22;15;8;19;4;21;17;20;14;27;26;9;28;3;27512
3;27512;12;1;11;32;29;31;3;18;16;13;23;25;10;6;24;5;30;2;7;22;15;8;19;4;21;17;20;14;27;26;9;28
12;1;11;32;3;31;29;18;16;13;23;25;10;6;24;5;30;2;7;22;15;8;19;4;21;17;20;14;27;26;9;28;3;27516
3;27516;12;1;11;32;3;31;29;18;16;13;23;25;10;6;24;5;30;2;7;22;15;8;19;4;21;17;20;14;27;26;9;28
12;1;11;32;3;31;29;5;16;13;23;25;10;6;24;18;30;2;7;22;15;8;19;4;21;17;20;14;27;26;9;28;3;27552
3;27552;12;1;11;32;3;31;29;5;16;13;23;25;10;6;24;18;30;2;7;22;15;8;19;4;21;17;20;14;27;26;9;28
12;1;11;32;3;31;18;5;16;13;23;25;10;6;24;29;30;2;7;22;15;8;19;4;21;17;20;14;27;26;9;28;3;27952
3;27952;12;1;11;32;3;31;18;5;16;13;23;25;10;6;24;29;30;2;7;22;15;8;19;4;21;17;20;14;27;26;9;28
12;1;11;32;3;31;18;5;16;13;23;25;7;6;24;29;30;2;10;22;15;8;19;4;21;17;20;14;27;26;9;28;3;28232
3;28232;12;1;11;32;3;31;18;5;16;13;23;25;7;6;24;29;30;2;10;22;15;8;19;4;21;17;20;14;27;26;9;28
12;1;11;32;3;9;18;5;16;13;23;25;7;6;24;29;30;2;10;22;15;8;19;4;21;17;20;14;27;26;31;28;3;28574
3;28574;12;1;11;32;3;9;18;5;16;13;23;25;7;6;24;29;30;2;10;22;15;8;19;4;21;17;20;14;27;26;31;28
12;1;11;32;3;9;18;5;16;31;23;25;7;6;24;29;30;2;10;22;15;8;19;4;21;17;20;14;27;26;13;28;3;28540
3;28540;12;1;11;32;3;9;18;5;16;31;23;25;7;6;24;29;30;2;10;22;15;8;19;4;21;17;20;14;27;26;13;28
12;1;11;32;3;9;18;5;16;31;23;25;7;6;24;2;30;29;10;22;15;8;19;4;21;17;20;14;27;26;13;28;3;28050
3;28050;12;1;11;32;3;9;18;5;16;31;23;25;7;6;24;2;30;29;10;22;15;8;19;4;21;17;20;14;27;26;13;28
12;1;11;32;3;9;18;5;16;31;23;25;7;20;24;2;30;29;10;22;15;8;19;4;21;17;6;14;27;26;13;28;3;28262
3;28262;12;1;11;32;3;9;18;5;16;31;23;25;7;20;24;2;30;29;10;22;15;8;19;4;21;17;6;14;27;26;13;28
12;1;11;32;3;29;18;5;16;31;23;25;7;20;24;2;30;9;10;22;15;8;19;4;21;17;6;14;27;26;13;28;3;28566
3;28566;12;1;11;32;3;29;18;5;16;31;23;25;7;20;24;2;30;9;10;22;15;8;19;4;21;17;6;14;27;26;13;28
12;1;11;32;3;29;18;5;10;31;23;25;7;20;24;2;30;9;16;22;15;8;19;4;21;17;6;14;27;26;13;28;3;28026
3;28026;12;1;11;32;3;29;18;5;10;31;23;25;7;20;24;2;30;9;16;22;15;8;19;4;21;17;6;14;27;26;13;28
12;1;11;32;3;29;18;5;10;31;23;25;7;9;24;2;30;20;16;22;15;8;19;4;21;17;6;14;27;26;13;28;3;28268
3;28268;12;1;11;32;3;29;18;5;10;31;23;25;7;9;24;2;30;20;16;22;15;8;19;4;21;17;6;14;27;26;13;28
12;1;11;32;3;29;18;5;10;31;23;25;7;9;2;24;30;20;16;22;15;8;19;4;21;17;6;14;27;26;13;28;3;28374
3;28374;12;1;11;32;3;29;18;5;10;31;23;25;7;9;2;24;30;20;16;22;15;8;19;4;21;17;6;14;27;26;13;28
12;1;11;32;3;29;18;5;10;31;23;25;7;9;2;24;30;20;16;21;15;8;19;4;22;17;6;14;27;26;13;28;3;28614
3;28614;12;1;11;32;3;29;18;5;10;31;23;25;7;9;2;24;30;20;16;21;15;8;19;4;22;17;6;14;27;26;13;28
12;1;11;32;24;29;18;5;10;31;23;25;7;9;2;3;30;20;16;21;15;8;19;4;22;17;6;14;27;26;13;28;3;28676
3;28676;12;1;11;32;24;29;18;5;10;31;23;25;7;9;2;3;30;20;16;21;15;8;19;4;22;17;6;14;27;26;13;28
12;1;11;32;24;29;18;5;10;19;23;25;7;9;2;3;30;20;16;21;15;8;31;4;22;17;6;14;27;26;13;28;3;28436
3;28436;12;1;11;32;24;29;18;5;10;19;23;25;7;9;2;3;30;20;16;21;15;8;31;4;22;17;6;14;27;26;13;28
12;1;11;32;24;29;30;5;10;19;23;25;7;9;2;3;18;20;16;21;15;8;31;4;22;17;6;14;27;26;13;28;3;28296
3;28296;12;1;11;32;24;29;30;5;10;19;23;25;7;9;2;3;18;20;16;21;15;8;31;4;22;17;6;14;27;26;13;28
12;1;11;32;24;29;30;5;10;19;23;25;7;9;2;3;18;26;16;21;15;8;31;4;22;17;6;14;27;20;13;28;3;27856
3;27856;12;1;11;32;24;29;30;5;10;19;23;25;7;9;2;3;18;26;16;21;15;8;31;4;22;17;6;14;27;20;13;28
12;1;11;32;6;29;30;5;10;19;23;25;7;9;2;3;18;26;16;21;15;8;31;4;22;17;24;14;27;20;13;28;3;27318
4;27318;12;1;11;32;6;29;30;5;10;19;23;25;7;9;2;3;18;26;16;21;15;8;31;4;22;17;24;14;27;20;13;28
12;22;11;32;6;29;30;5;10;19;23;25;7;9;2;3;18;26;16;21;15;8;31;4;1;17;24;14;27;20;13;28;4;26776
4;26776;12;22;11;32;6;29;30;5;10;19;23;25;7;9;2;3;18;26;16;21;15;8;31;4;1;17;24;14;27;20;13;28
12;22;11;32;6;29;30;5;10;19;23;25;7;9;17;3;18;26;16;21;15;8;31;4;1;2;24;14;27;20;13;28;4;26814
4;26814;12;22;11;32;6;29;30;5;10;19;23;25;7;9;17;3;18;26;16;21;15;8;31;4;1;2;24;14;27;20;13;28
12;22;11;32;3;29;30;5;10;19;23;25;7;9;17;6;18;26;16;21;15;8;31;4;1;2;24;14;27;20;13;28;4;26654
4;26654;12;22;11;32;3;29;30;5;10;19;23;25;7;9;17;6;18;26;16;21;15;8;31;4;1;2;24;14;27;20;13;28
12;22;11;32;3;29;30;5;10;19;23;25;7;9;2;6;18;26;16;21;15;8;31;4;1;17;24;14;27;20;13;28;4;26616
4;26616;12;22;11;32;3;29;30;5;10;19;23;25;7;9;2;6;18;26;16;21;15;8;31;4;1;17;24;14;27;20;13;28
12;22;11;28;3;29;30;5;10;19;23;25;7;9;2;6;18;26;16;21;15;8;31;4;1;17;24;14;27;20;13;32;4;26156
4;26156;12;22;11;28;3;29;30;5;10;19;23;25;7;9;2;6;18;26;16;21;15;8;31;4;1;17;24;14;27;20;13;32
12;22;11;28;1;29;30;5;10;19;23;25;7;9;2;6;18;26;16;21;15;8;31;4;3;17;24;14;27;20;13;32;4;26356
4;26356;12;22;11;28;1;29;30;5;10;19;23;25;7;9;2;6;18;26;16;21;15;8;31;4;3;17;24;14;27;20;13;32
12;22;11;28;1;29;30;5;10;19;23;25;7;4;2;6;18;26;16;21;15;8;31;9;3;17;24;14;27;20;13;32;4;26436
4;26436;12;22;11;28;1;29;30;5;10;19;23;25;7;4;2;6;18;26;16;21;15;8;31;9;3;17;24;14;27;20;13;32
12;25;11;28;1;29;30;5;10;19;23;22;7;4;2;6;18;26;16;21;15;8;31;9;3;17;24;14;27;20;13;32;4;26476
4;26476;12;25;11;28;1;29;30;5;10;19;23;22;7;4;2;6;18;26;16;21;15;8;31;9;3;17;24;14;27;20;13;32
12;25;11;28;1;29;30;5;10;19;23;22;7;4;2;6;18;26;16;21;15;8;31;24;3;17;9;14;27;20;13;32;4;26448
4;26448;12;25;11;28;1;29;30;5;10;19;23;22;7;4;2;6;18;26;16;21;15;8;31;24;3;17;9;14;27;20;13;32
12;25;11;28;1;29;30;27;10;19;23;22;7;4;2;6;18;26;16;21;15;8;31;24;3;17;9;14;5;20;13;32;4;27062
4;27062;12;25;11;28;1;29;30;27;10;19;23;22;7;4;2;6;18;26;16;21;15;8;31;24;3;17;9;14;5;20;13;32
12;25;11;28;1;29;30;27;10;14;23;22;7;4;2;6;18;26;16;21;15;8;31;24;3;17;9;19;5;20;13;32;4;26996
4;26996;12;25;11;28;1;29;30;27;10;14;23;22;7;4;2;6;18;26;16;21;15;8;31;24;3;17;9;19;5;20;13;32
12;25;11;28;1;29;30;27;24;14;23;22;7;4;2;6;18;26;16;21;15;8;31;10;3;17;9;19;5;20;13;32;4;26786
4;26786;12;25;11;28;1;29;30;27;24;14;23;22;7;4;2;6;18;26;16;21;15;8;31;10;3;17;9;19;5;20;13;32
12;25;11;28;1;29;31;27;24;14;23;22;7;4;2;6;18;26;16;21;15;8;30;10;3;17;9;19;5;20;13;32;4;26546
4;26546;12;25;11;28;1;29;31;27;24;14;23;22;7;4;2;6;18;26;16;21;15;8;30;10;3;17;9;19;5;20;13;32
5;25;11;28;1;29;31;27;24;14;23;22;7;4;2;6;18;26;16;21;15;8;30;10;3;17;9;19;12;20;13;32;4;26066
4;26066;5;25;11;28;1;29;31;27;24;14;23;22;7;4;2;6;18;26;16;21;15;8;30;10;3;17;9;19;12;20;13;32
5;25;15;28;1;29;31;27;24;14;23;22;7;4;2;6;18;26;16;21;11;8;30;10;3;17;9;19;12;20;13;32;4;26426
4;26426;5;25;15;28;1;29;31;27;24;14;23;22;7;4;2;6;18;26;16;21;11;8;30;10;3;17;9;19;12;20;13;32
5;25;15;28;1;29;31;27;24;14;23;22;7;4;2;6;12;26;16;21;11;8;30;10;3;17;9;19;18;20;13;32;4;27160
4;27160;5;25;15;28;1;29;31;27;24;14;23;22;7;4;2;6;12;26;16;21;11;8;30;10;3;17;9;19;18;20;13;32
5;25;15;28;1;29;31;27;24;14;23;22;7;4;2;6;12;26;16;21;11;8;30;32;3;17;9;19;18;20;13;10;4;27508
4;27508;5;25;15;28;1;29;31;27;24;14;23;22;7;4;2;6;12;26;16;21;11;8;30;32;3;17;9;19;18;20;13;10
5;25;15;24;1;29;31;27;28;14;23;22;7;4;2;6;12;26;16;21;11;8;30;32;3;17;9;19;18;20;13;10;4;27548
4;27548;5;25;15;24;1;29;31;27;28;14;23;22;7;4;2;6;12;26;16;21;11;8;30;32;3;17;9;19;18;20;13;10
21;25;15;24;1;29;31;27;28;14;23;22;7;4;2;6;12;26;16;5;11;8;30;32;3;17;9;19;18;20;13;10;4;27548
4;27548;21;25;15;24;1;29;31;27;28;14;23;22;7;4;2;6;12;26;16;5;11;8;30;32;3;17;9;19;18;20;13;10
21;25;15;24;1;13;31;27;28;14;23;22;7;4;2;6;12;26;16;5;11;8;30;32;3;17;9;19;18;20;29;10;4;27410
5;27410;21;25;15;24;1;13;31;27;28;14;23;22;7;4;2;6;12;26;16;5;11;8;30;32;3;17;9;19;18;20;29;10
21;25;15;24;1;13;31;27;28;14;23;22;7;4;2;6;30;26;16;5;11;8;12;32;3;17;9;19;18;20;29;10;5;27200
5;27200;21;25;15;24;1;13;31;27;28;14;23;22;7;4;2;6;30;26;16;5;11;8;12;32;3;17;9;19;18;20;29;10
21;25;15;24;1;13;31;27;28;14;23;22;7;4;2;26;30;6;16;5;11;8;12;32;3;17;9;19;18;20;29;10;5;26318
5;26318;21;25;15;24;1;13;31;27;28;14;23;22;7;4;2;26;30;6;16;5;11;8;12;32;3;17;9;19;18;20;29;10
21;25;15;24;1;27;31;13;28;14;23;22;7;4;2;26;30;6;16;5;11;8;12;32;3;17;9;19;18;20;29;10;5;26156
5;26156;21;25;15;24;1;27;31;13;28;14;23;22;7;4;2;26;30;6;16;5;11;8;12;32;3;17;9;19;18;20;29;10
21;25;15;24;1;27;31;13;28;14;23;22;7;4;2;26;12;6;16;5;11;8;30;32;3;17;9;19;18;20;29;10;5;26538
5;26538;21;25;15;24;1;27;31;13;28;14;23;22;7;4;2;26;12;6;16;5;11;8;30;32;3;17;9;19;18;20;29;10
21;25;15;24;1;27;31;13;28;14;23;22;26;4;2;7;12;6;16;5;11;8;30;32;3;17;9;19;18;20;29;10;5;26794
5;26794;21;25;15;24;1;27;31;13;28;14;23;22;26;4;2;7;12;6;16;5;11;8;30;32;3;17;9;19;18;20;29;10
21;25;15;24;1;27;31;32;28;14;23;22;26;4;2;7;12;6;16;5;11;8;30;13;3;17;9;19;18;20;29;10;5;27070
5;27070;21;25;15;24;1;27;31;32;28;14;23;22;26;4;2;7;12;6;16;5;11;8;30;13;3;17;9;19;18;20;29;10
21;25;15;24;1;27;31;32;28;14;23;22;26;4;2;19;12;6;16;5;11;8;30;13;3;17;9;7;18;20;29;10;5;26814
5;26814;21;25;15;24;1;27;31;32;28;14;23;22;26;4;2;19;12;6;16;5;11;8;30;13;3;17;9;7;18;20;29;10
21;25;15;24;1;27;31;32;28;14;23;22;26;4;19;2;12;6;16;5;11;8;30;13;3;17;9;7;18;20;29;10;5;27432
5;27432;21;25;15;24;1;27;31;32;28;14;23;22;26;4;19;2;12;6;16;5;11;8;30;13;3;17;9;7;18;20;29;10
21;25;15;24;1;27;31;32;28;3;23;22;26;4;19;2;12;6;16;5;11;8;30;13;14;17;9;7;18;20;29;10;5;27432
5;27432;21;25;15;24;1;27;31;32;28;3;23;22;26;4;19;2;12;6;16;5;11;8;30;13;14;17;9;7;18;20;29;10
21;25;15;24;1;27;31;32;28;3;23;22;26;4;6;2;12;19;16;5;11;8;30;13;14;17;9;7;18;20;29;10;5;27984
5;27984;21;25;15;24;1;27;31;32;28;3;23;22;26;4;6;2;12;19;16;5;11;8;30;13;14;17;9;7;18;20;29;10
21;25;15;24;1;27;31;32;28;3;23;22;26;4;6;2;12;19;16;5;11;20;30;13;14;17;9;7;18;8;29;10;5;28266
5;28266;21;25;15;24;1;27;31;32;28;3;23;22;26;4;6;2;12;19;16;5;11;20;30;13;14;17;9;7;18;8;29;10
21;12;15;24;1;27;31;32;28;3;23;22;26;4;6;2;25;19;16;5;11;20;30;13;14;17;9;7;18;8;29;10;5;28140
5;28140;21;12;15;24;1;27;31;32;28;3;23;22;26;4;6;2;25;19;16;5;11;20;30;13;14;17;9;7;18;8;29;10
21;12;15;24;1;27;29;32;28;3;23;22;26;4;6;2;25;19;16;5;11;20;30;13;14;17;9;7;18;8;31;10;5;28740
5;28740;21;12;15;24;1;27;29;32;28;3;23;22;26;4;6;2;25;19;16;5;11;20;30;13;14;17;9;7;18;8;31;10
21;12;15;7;1;27;29;32;28;3;23;22;26;4;6;2;25;19;16;5;11;20;30;13;14;17;9;24;18;8;31;10;5;28630
5;28630;21;12;15;7;1;27;29;32;28;3;23;22;26;4;6;2;25;19;16;5;11;20;30;13;14;17;9;24;18;8;31;10
21;12;15;7;1;27;29;32;28;3;23;22;26;4;6;2;25;19;13;5;11;20;30;16;14;17;9;24;18;8;31;10;5;28710
5;28710;21;12;15;7;1;27;29;32;28;3;23;22;26;4;6;2;25;19;13;5;11;20;30;16;14;17;9;24;18;8;31;10
21;12;15;7;1;27;29;32;28;3;23;22;26;4;6;2;25;19;13;5;11;8;30;16;14;17;9;24;18;20;31;10;5;28152
5;28152;21;12;15;7;1;27;29;32;28;3;23;22;26;4;6;2;25;19;13;5;11;8;30;16;14;17;9;24;18;20;31;10
21;1;15;7;12;27;29;32;28;3;23;22;26;4;6;2;25;19;13;5;11;8;30;16;14;17;9;24;18;20;31;10;5;28152
5;28152;21;1;15;7;12;27;29;32;28;3;23;22;26;4;6;2;25;19;13;5;11;8;30;16;14;17;9;24;18;20;31;10
21;1;15;7;12;27;29;32;28;3;23;22;26;4;6;2;25;19;13;5;9;8;30;16;14;17;11;24;18;20;31;10;5;27992
5;27992;21;1;15;7;12;27;29;32;28;3;23;22;26;4;6;2;25;19;13;5;9;8;30;16;14;17;11;24;18;20;31;10
21;7;15;1;12;27;29;32;28;3;23;22;26;4;6;2;25;19;13;5;9;8;30;16;14;17;11;24;18;20;31;10;5;27912
