"X1";"X290";"X45";"X36";"X2";"X34";"X18";"X56";"X16";"X17";"X63";"X49";"X28";"X4";"X58";"X57";"X40";"X12";"X7";"X25";"X21";"X62";"X44";"X48";"X29";"X31";"X59";"X60";"X32";"X47";"X22";"X41";"X54";"X24";"X19";"X30";"X50";"X10";"X35";"X55";"X33";"X27";"X14";"X13";"X51";"X52";"X37";"X43";"X26";"X5";"X46";"X53";"X11";"X8";"X1.1";"X39";"X6";"X20";"X9";"X15";"X61";"X3";"X64";"X38";"X23";"X42"
1;290;45;36;2;34;18;56;16;32;63;49;28;4;58;57;40;46;7;25;21;62;44;48;29;31;59;60;52;47;22;41;54;24;19;38;50;10;35;26;33;27;14;13;51;17;37;43;55;5;12;53;11;8;1;39;6;20;9;15;61;3;64;30;23;42
45;36;2;34;18;56;16;32;63;49;28;4;58;57;40;46;7;25;21;62;44;48;29;31;59;60;52;47;22;41;54;23;19;38;50;10;35;26;33;27;14;13;51;17;37;43;55;5;12;53;11;8;1;39;6;20;9;15;61;3;64;30;24;42;1;288
1;288;45;36;2;34;18;56;16;32;63;49;28;4;58;57;40;46;7;25;21;62;44;48;29;31;59;60;52;47;22;41;54;23;19;38;50;10;35;26;33;27;14;13;51;17;37;43;55;5;12;53;11;8;1;39;6;20;9;15;61;3;64;30;24;42
45;36;2;34;18;56;16;22;63;49;28;4;58;57;40;46;7;25;21;62;44;48;29;31;59;60;52;47;32;41;54;23;19;38;50;10;35;26;33;27;14;13;51;17;37;43;55;5;12;53;11;8;1;39;6;20;9;15;61;3;64;30;24;42;1;284
1;284;45;36;2;34;18;56;16;22;63;49;28;4;58;57;40;46;7;25;21;62;44;48;29;31;59;60;52;47;32;41;54;23;19;38;50;10;35;26;33;27;14;13;51;17;37;43;55;5;12;53;11;8;1;39;6;20;9;15;61;3;64;30;24;42
45;36;2;34;18;56;16;22;63;49;28;4;58;57;40;46;7;25;21;62;44;48;29;31;59;60;52;47;32;41;54;23;19;38;50;10;35;26;33;27;14;13;51;17;11;43;55;5;12;53;37;8;1;39;6;20;9;15;61;3;64;30;24;42;1;284
1;284;45;36;2;34;18;56;16;22;63;49;28;4;58;57;40;46;7;25;21;62;44;48;29;31;59;60;52;47;32;41;54;23;19;38;50;10;35;26;33;27;14;13;51;17;11;43;55;5;12;53;37;8;1;39;6;20;9;15;61;3;64;30;24;42
45;36;2;34;18;56;16;22;63;49;28;4;58;57;40;46;7;25;21;62;44;48;29;31;59;60;52;47;32;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;12;53;37;8;1;39;6;20;9;15;61;3;64;30;24;42;1;284
1;284;45;36;2;34;18;56;16;22;63;49;28;4;58;57;40;46;7;25;21;62;44;48;29;31;59;60;52;47;32;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;12;53;37;8;1;39;6;20;9;15;61;3;64;30;24;42
45;36;2;34;18;56;46;22;63;49;28;4;58;57;40;16;7;25;21;62;44;48;29;31;59;60;52;47;32;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;12;53;37;8;1;39;6;20;9;15;61;3;64;30;24;42;1;284
1;284;45;36;2;34;18;56;46;22;63;49;28;4;58;57;40;16;7;25;21;62;44;48;29;31;59;60;52;47;32;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;12;53;37;8;1;39;6;20;9;15;61;3;64;30;24;42
45;36;2;34;18;56;46;22;63;49;28;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;32;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;29;53;37;8;1;39;6;20;9;15;61;3;64;30;24;42;1;284
1;284;45;36;2;34;18;56;46;22;63;49;28;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;32;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;29;53;37;8;1;39;6;20;9;15;61;3;64;30;24;42
45;56;2;34;18;36;46;22;63;49;28;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;32;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;29;53;37;8;1;39;6;20;9;15;61;3;64;30;24;42;1;284
1;284;45;56;2;34;18;36;46;22;63;49;28;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;32;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;29;53;37;8;1;39;6;20;9;15;61;3;64;30;24;42
45;56;2;34;18;36;46;22;63;49;6;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;32;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;29;53;37;8;1;39;28;20;9;15;61;3;64;30;24;42;1;276
1;276;45;56;2;34;18;36;46;22;63;49;6;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;32;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;29;53;37;8;1;39;28;20;9;15;61;3;64;30;24;42
45;56;2;34;18;36;46;22;63;49;6;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;29;53;37;8;1;39;32;20;9;15;61;3;64;30;24;42;1;276
1;276;45;56;2;34;18;36;46;22;63;49;6;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;29;53;37;8;1;39;32;20;9;15;61;3;64;30;24;42
45;56;2;34;18;36;46;22;63;49;6;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;32;53;37;8;1;39;29;20;9;15;61;3;64;30;24;42;1;276
1;276;45;56;2;34;18;36;46;22;63;49;6;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;10;35;51;33;27;14;13;26;17;11;43;55;5;32;53;37;8;1;39;29;20;9;15;61;3;64;30;24;42
45;56;2;34;18;36;46;22;63;49;6;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;5;35;51;33;27;14;13;26;17;11;43;55;10;32;53;37;8;1;39;29;20;9;15;61;3;64;30;24;42;1;276
1;276;45;56;2;34;18;36;46;22;63;49;6;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;5;35;51;33;27;14;13;26;17;11;43;55;10;32;53;37;8;1;39;29;20;9;15;61;3;64;30;24;42
9;56;2;34;18;36;46;22;63;49;6;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;5;35;51;33;27;14;13;26;17;11;43;55;10;32;53;37;8;1;39;29;20;45;15;61;3;64;30;24;42;1;276
1;276;9;56;2;34;18;36;46;22;63;49;6;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;5;35;51;33;27;14;13;26;17;11;43;55;10;32;53;37;8;1;39;29;20;45;15;61;3;64;30;24;42
9;56;2;34;18;36;46;22;63;49;6;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;5;35;14;33;27;51;13;26;17;11;43;55;10;32;53;37;8;1;39;29;20;45;15;61;3;64;30;24;42;1;276
1;276;9;56;2;34;18;36;46;22;63;49;6;4;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;5;35;14;33;27;51;13;26;17;11;43;55;10;32;53;37;8;1;39;29;20;45;15;61;3;64;30;24;42
9;56;2;34;18;36;46;22;63;49;6;26;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;5;35;14;33;27;51;13;4;17;11;43;55;10;32;53;37;8;1;39;29;20;45;15;61;3;64;30;24;42;1;276
1;276;9;56;2;34;18;36;46;22;63;49;6;26;58;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;5;35;14;33;27;51;13;4;17;11;43;55;10;32;53;37;8;1;39;29;20;45;15;61;3;64;30;24;42
9;56;2;34;18;36;46;22;63;49;6;26;13;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;5;35;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;1;39;29;20;45;15;61;3;64;30;24;42;1;276
2;276;9;56;2;34;18;36;46;22;63;49;6;26;13;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;54;23;19;38;50;5;35;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;1;39;29;20;45;15;61;3;64;30;24;42
9;56;2;34;18;36;46;22;63;49;6;26;13;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;1;23;19;38;50;5;35;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;54;39;29;20;45;15;61;3;64;30;24;42;2;276
2;276;9;56;2;34;18;36;46;22;63;49;6;26;13;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;1;23;19;38;50;5;35;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;54;39;29;20;45;15;61;3;64;30;24;42
9;56;2;34;18;36;46;22;63;49;6;26;13;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;1;23;19;38;50;5;35;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;54;39;29;20;45;61;15;3;64;30;24;42;2;276
2;276;9;56;2;34;18;36;46;22;63;49;6;26;13;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;1;23;19;38;50;5;35;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;54;39;29;20;45;61;15;3;64;30;24;42
9;56;2;34;18;36;46;22;63;49;64;26;13;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;1;23;19;38;50;5;35;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;54;39;29;20;45;61;15;3;6;30;24;42;2;284
2;284;9;56;2;34;18;36;46;22;63;49;64;26;13;57;40;16;7;25;21;62;44;48;12;31;59;60;52;47;28;41;1;23;19;38;50;5;35;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;54;39;29;20;45;61;15;3;6;30;24;42
9;56;2;34;18;36;46;22;63;49;64;26;13;57;40;16;7;47;21;62;44;48;12;31;59;60;52;25;28;41;1;23;19;38;50;5;35;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;54;39;29;20;45;61;15;3;6;30;24;42;2;284
2;284;9;56;2;34;18;36;46;22;63;49;64;26;13;57;40;16;7;47;21;62;44;48;12;31;59;60;52;25;28;41;1;23;19;38;50;5;35;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;54;39;29;20;45;61;15;3;6;30;24;42
9;56;2;34;18;36;46;22;63;49;64;26;13;57;40;16;7;47;21;62;44;48;12;31;59;60;52;25;28;41;1;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;54;39;29;20;45;61;15;3;35;30;24;42;2;292
2;292;9;56;2;34;18;36;46;22;63;49;64;26;13;57;40;16;7;47;21;62;44;48;12;31;59;60;52;25;28;41;1;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;54;39;29;20;45;61;15;3;35;30;24;42
9;56;2;34;18;36;46;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;12;31;59;60;57;25;28;41;1;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;54;39;29;20;45;61;15;3;35;30;24;42;2;264
2;264;9;56;2;34;18;36;46;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;12;31;59;60;57;25;28;41;1;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;55;10;32;53;37;8;54;39;29;20;45;61;15;3;35;30;24;42
9;56;2;34;18;36;55;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;12;31;59;60;57;25;28;41;1;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;46;10;32;53;37;8;54;39;29;20;45;61;15;3;35;30;24;42;2;264
2;264;9;56;2;34;18;36;55;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;12;31;59;60;57;25;28;41;1;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;46;10;32;53;37;8;54;39;29;20;45;61;15;3;35;30;24;42
9;56;2;34;18;36;55;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;12;31;59;60;57;25;29;41;1;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;46;10;32;53;37;8;54;39;28;20;45;61;15;3;35;30;24;42;2;264
2;264;9;56;2;34;18;36;55;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;12;31;59;60;57;25;29;41;1;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;46;10;32;53;37;8;54;39;28;20;45;61;15;3;35;30;24;42
9;56;2;34;18;1;55;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;12;31;59;60;57;25;29;41;36;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;46;10;32;53;37;8;54;39;28;20;45;61;15;3;35;30;24;42;2;264
2;264;9;56;2;34;18;1;55;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;12;31;59;60;57;25;29;41;36;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;46;10;32;53;37;8;54;39;28;20;45;61;15;3;35;30;24;42
9;56;2;34;18;1;55;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;12;30;59;60;57;25;29;41;36;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;46;10;32;53;37;8;54;39;28;20;45;61;15;3;35;31;24;42;2;264
2;264;9;56;2;34;18;1;55;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;12;30;59;60;57;25;29;41;36;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;46;10;32;53;37;8;54;39;28;20;45;61;15;3;35;31;24;42
9;56;2;34;18;1;55;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;12;30;59;60;57;53;29;41;36;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;46;10;32;25;37;8;54;39;28;20;45;61;15;3;35;31;24;42;2;264
2;264;9;56;2;34;18;1;55;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;12;30;59;60;57;53;29;41;36;23;19;38;50;5;6;14;33;27;51;58;4;17;11;43;46;10;32;25;37;8;54;39;28;20;45;61;15;3;35;31;24;42
9;56;2;34;18;1;55;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;14;30;59;60;57;53;29;41;36;23;19;38;50;5;6;12;33;27;51;58;4;17;11;43;46;10;32;25;37;8;54;39;28;20;45;61;15;3;35;31;24;42;2;264
2;264;9;56;2;34;18;1;55;22;63;49;64;26;13;52;40;16;7;47;21;62;44;48;14;30;59;60;57;53;29;41;36;23;19;38;50;5;6;12;33;27;51;58;4;17;11;43;46;10;32;25;37;8;54;39;28;20;45;61;15;3;35;31;24;42
9;56;2;34;18;1;55;22;63;49;64;45;13;52;40;16;7;47;21;62;44;48;14;30;59;60;57;53;29;41;36;23;19;38;50;5;6;12;33;27;51;58;4;17;11;43;46;10;32;25;37;8;54;39;28;20;26;61;15;3;35;31;24;42;2;264
2;264;9;56;2;34;18;1;55;22;63;49;64;45;13;52;40;16;7;47;21;62;44;48;14;30;59;60;57;53;29;41;36;23;19;38;50;5;6;12;33;27;51;58;4;17;11;43;46;10;32;25;37;8;54;39;28;20;26;61;15;3;35;31;24;42
9;56;2;34;18;1;55;22;63;49;64;45;13;52;40;16;7;47;21;62;44;48;14;30;59;60;57;53;29;41;36;23;19;38;50;5;6;12;33;27;51;58;61;17;11;43;46;10;32;25;37;8;54;39;28;20;26;4;15;3;35;31;24;42;2;264
2;264;9;56;2;34;18;1;55;22;63;49;64;45;13;52;40;16;7;47;21;62;44;48;14;30;59;60;57;53;29;41;36;23;19;38;50;5;6;12;33;27;51;58;61;17;11;43;46;10;32;25;37;8;54;39;28;20;26;4;15;3;35;31;24;42
9;56;2;34;18;1;55;22;63;49;64;45;13;10;40;16;7;47;21;62;44;48;14;30;59;60;57;53;29;41;36;23;19;38;50;5;6;12;33;27;51;58;61;17;11;43;46;52;32;25;37;8;54;39;28;20;26;4;15;3;35;31;24;42;2;272
2;272;9;56;2;34;18;1;55;22;63;49;64;45;13;10;40;16;7;47;21;62;44;48;14;30;59;60;57;53;29;41;36;23;19;38;50;5;6;12;33;27;51;58;61;17;11;43;46;52;32;25;37;8;54;39;28;20;26;4;15;3;35;31;24;42
9;56;2;34;18;1;55;22;63;49;64;45;13;10;40;16;5;47;21;62;44;48;14;30;59;60;57;53;29;41;36;23;19;38;50;7;6;12;33;27;51;58;61;17;11;43;46;52;32;25;37;8;54;39;28;20;26;4;15;3;35;31;24;42;2;264
2;264;9;56;2;34;18;1;55;22;63;49;64;45;13;10;40;16;5;47;21;62;44;48;14;30;59;60;57;53;29;41;36;23;19;38;50;7;6;12;33;27;51;58;61;17;11;43;46;52;32;25;37;8;54;39;28;20;26;4;15;3;35;31;24;42
9;56;2;34;18;1;55;22;63;49;64;45;13;10;40;16;5;47;21;62;44;48;14;30;59;50;57;53;29;41;36;23;19;38;60;7;6;12;33;27;51;58;61;17;11;43;46;52;32;25;37;8;54;39;28;20;26;4;15;3;35;31;24;42;2;264
2;264;9;56;2;34;18;1;55;22;63;49;64;45;13;10;40;16;5;47;21;62;44;48;14;30;59;50;57;53;29;41;36;23;19;38;60;7;6;12;33;27;51;58;61;17;11;43;46;52;32;25;37;8;54;39;28;20;26;4;15;3;35;31;24;42
9;56;2;34;18;1;55;42;63;49;64;45;13;10;40;16;5;47;21;62;44;48;14;30;59;50;57;53;29;41;36;23;19;38;60;7;6;12;33;27;51;58;61;17;11;43;46;52;32;25;37;8;54;39;28;20;26;4;15;3;35;31;24;22;2;272
2;272;9;56;2;34;18;1;55;42;63;49;64;45;13;10;40;16;5;47;21;62;44;48;14;30;59;50;57;53;29;41;36;23;19;38;60;7;6;12;33;27;51;58;61;17;11;43;46;52;32;25;37;8;54;39;28;20;26;4;15;3;35;31;24;22
9;56;2;34;18;1;55;42;63;49;64;45;13;10;40;16;5;47;21;62;44;48;14;30;59;50;57;53;29;41;36;23;19;38;60;7;6;12;33;27;11;58;61;17;51;43;46;52;32;25;37;8;54;39;28;20;26;4;15;3;35;31;24;22;2;272
2;272;9;56;2;34;18;1;55;42;63;49;64;45;13;10;40;16;5;47;21;62;44;48;14;30;59;50;57;53;29;41;36;23;19;38;60;7;6;12;33;27;11;58;61;17;51;43;46;52;32;25;37;8;54;39;28;20;26;4;15;3;35;31;24;22
9;56;2;34;18;1;55;42;63;49;64;45;13;10;40;16;5;47;21;62;44;48;14;30;59;50;57;53;29;41;39;23;19;38;60;7;6;12;33;27;11;58;61;17;51;43;46;52;32;25;37;8;54;36;28;20;26;4;15;3;35;31;24;22;2;272
3;272;9;56;2;34;18;1;55;42;63;49;64;45;13;10;40;16;5;47;21;62;44;48;14;30;59;50;57;53;29;41;39;23;19;38;60;7;6;12;33;27;11;58;61;17;51;43;46;52;32;25;37;8;54;36;28;20;26;4;15;3;35;31;24;22
9;56;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;21;62;44;48;14;30;59;50;57;53;29;41;39;23;19;38;60;7;6;12;33;27;11;58;61;17;51;43;46;52;32;25;37;8;54;36;28;20;26;4;15;3;35;31;24;22;3;272
3;272;9;56;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;21;62;44;48;14;30;59;50;57;53;29;41;39;23;19;38;60;7;6;12;33;27;11;58;61;17;51;43;46;52;32;25;37;8;54;36;28;20;26;4;15;3;35;31;24;22
9;56;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;21;62;44;48;14;30;59;50;57;53;41;29;39;23;19;38;60;7;6;12;33;27;11;58;61;17;51;43;46;52;32;25;37;8;54;36;28;20;26;4;15;3;35;31;24;22;3;272
3;272;9;56;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;21;62;44;48;14;30;59;50;57;53;41;29;39;23;19;38;60;7;6;12;33;27;11;58;61;17;51;43;46;52;32;25;37;8;54;36;28;20;26;4;15;3;35;31;24;22
9;56;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;39;23;19;38;60;7;6;12;33;27;11;21;61;17;51;43;46;52;32;25;37;8;54;36;28;20;26;4;15;3;35;31;24;22;3;272
3;272;9;56;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;39;23;19;38;60;7;6;12;33;27;11;21;61;17;51;43;46;52;32;25;37;8;54;36;28;20;26;4;15;3;35;31;24;22
9;20;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;39;23;19;38;60;7;6;12;33;27;11;21;61;17;51;43;46;52;32;25;37;8;54;36;28;56;26;4;15;3;35;31;24;22;3;272
3;272;9;20;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;39;23;19;38;60;7;6;12;33;27;11;21;61;17;51;43;46;52;32;25;37;8;54;36;28;56;26;4;15;3;35;31;24;22
9;20;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;39;23;19;38;12;7;6;60;33;27;11;21;61;17;51;43;46;52;32;25;37;8;54;36;28;56;26;4;15;3;35;31;24;22;3;272
3;272;9;20;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;39;23;19;38;12;7;6;60;33;27;11;21;61;17;51;43;46;52;32;25;37;8;54;36;28;56;26;4;15;3;35;31;24;22
9;20;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;39;23;19;12;38;7;6;60;33;27;11;21;61;17;51;43;46;52;32;25;37;8;54;36;28;56;26;4;15;3;35;31;24;22;3;276
3;276;9;20;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;39;23;19;12;38;7;6;60;33;27;11;21;61;17;51;43;46;52;32;25;37;8;54;36;28;56;26;4;15;3;35;31;24;22
9;20;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;22;23;19;12;38;7;6;60;33;27;11;21;61;17;51;43;46;52;32;25;37;8;54;36;28;56;26;4;15;3;35;31;24;39;3;276
3;276;9;20;2;34;18;1;55;42;47;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;22;23;19;12;38;7;6;60;33;27;11;21;61;17;51;43;46;52;32;25;37;8;54;36;28;56;26;4;15;3;35;31;24;39
9;20;2;34;18;1;55;42;52;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;22;23;19;12;38;7;6;60;33;27;11;21;61;17;51;43;46;47;32;25;37;8;54;36;28;56;26;4;15;3;35;31;24;39;3;276
3;276;9;20;2;34;18;1;55;42;52;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;22;23;19;12;38;7;6;60;33;27;11;21;61;17;51;43;46;47;32;25;37;8;54;36;28;56;26;4;15;3;35;31;24;39
9;20;2;34;18;1;55;42;52;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;22;23;19;12;38;7;6;60;33;27;11;21;61;17;51;43;46;26;32;25;37;8;54;36;28;56;47;4;15;3;35;31;24;39;3;276
3;276;9;20;2;34;18;1;55;42;52;49;64;45;13;10;40;16;5;63;58;62;44;48;14;30;59;50;57;53;41;29;22;23;19;12;38;7;6;60;33;27;11;21;61;17;51;43;46;26;32;25;37;8;54;36;28;56;47;4;15;3;35;31;24;39
9;20;2;34;18;1;55;42;52;49;64;45;13;10;40;16;5;63;58;62;44;32;14;30;59;50;57;53;41;29;22;23;19;12;38;7;6;60;33;27;11;21;61;17;51;43;46;26;48;25;37;8;54;36;28;56;47;4;15;3;35;31;24;39;3;276
3;276;9;20;2;34;18;1;55;42;52;49;64;45;13;10;40;16;5;63;58;62;44;32;14;30;59;50;57;53;41;29;22;23;19;12;38;7;6;60;33;27;11;21;61;17;51;43;46;26;48;25;37;8;54;36;28;56;47;4;15;3;35;31;24;39
9;20;2;34;18;1;55;42;52;49;64;45;13;10;40;16;5;63;58;62;44;32;14;30;59;50;57;53;41;29;22;23;19;12;38;7;17;60;33;27;11;21;61;6;51;43;46;26;48;25;37;8;54;36;28;56;47;4;15;3;35;31;24;39;3;276
