"X1";"X28646";"X4";"X16";"X3";"X13";"X19";"X1.1";"X12";"X6";"X17";"X29";"X10";"X27";"X11";"X23";"X5";"X21";"X8";"X7";"X32";"X30";"X25";"X31";"X9";"X18";"X15";"X20";"X22";"X14";"X2";"X28";"X24";"X26"
2;29160;32;22;29;2;3;1;31;4;17;12;16;27;11;10;30;13;6;23;26;5;14;8;25;18;15;20;28;19;21;7;24;9
32;22;29;2;3;10;31;4;17;12;16;27;11;1;30;13;6;23;26;5;14;8;25;18;15;20;28;19;21;7;24;9;2;28820
2;28820;32;22;29;2;3;10;31;4;17;12;16;27;11;1;30;13;6;23;26;5;14;8;25;18;15;20;28;19;21;7;24;9
32;22;29;2;19;10;31;4;17;12;16;27;11;1;30;13;6;23;26;5;14;8;25;18;15;20;28;3;21;7;24;9;2;28590
2;28590;32;22;29;2;19;10;31;4;17;12;16;27;11;1;30;13;6;23;26;5;14;8;25;18;15;20;28;3;21;7;24;9
32;22;29;2;19;10;31;4;17;12;16;27;11;1;30;13;6;23;26;5;14;8;21;18;15;20;28;3;25;7;24;9;2;28710
2;28710;32;22;29;2;19;10;31;4;17;12;16;27;11;1;30;13;6;23;26;5;14;8;21;18;15;20;28;3;25;7;24;9
32;22;29;2;19;10;31;4;14;12;16;27;11;1;30;13;6;23;26;5;17;8;21;18;15;20;28;3;25;7;24;9;2;27850
2;27850;32;22;29;2;19;10;31;4;14;12;16;27;11;1;30;13;6;23;26;5;17;8;21;18;15;20;28;3;25;7;24;9
32;22;29;2;12;10;31;4;14;19;16;27;11;1;30;13;6;23;26;5;17;8;21;18;15;20;28;3;25;7;24;9;2;27742
2;27742;32;22;29;2;12;10;31;4;14;19;16;27;11;1;30;13;6;23;26;5;17;8;21;18;15;20;28;3;25;7;24;9
32;22;29;2;12;10;31;4;14;19;16;27;11;1;30;13;6;23;26;21;17;8;5;18;15;20;28;3;25;7;24;9;2;28064
2;28064;32;22;29;2;12;10;31;4;14;19;16;27;11;1;30;13;6;23;26;21;17;8;5;18;15;20;28;3;25;7;24;9
32;22;29;2;12;10;31;4;14;19;9;27;11;1;30;13;6;23;26;21;17;8;5;18;15;20;28;3;25;7;24;16;2;28024
2;28024;32;22;29;2;12;10;31;4;14;19;9;27;11;1;30;13;6;23;26;21;17;8;5;18;15;20;28;3;25;7;24;16
32;22;29;2;12;10;31;15;14;19;9;27;11;1;30;13;6;23;26;21;17;8;5;18;4;20;28;3;25;7;24;16;2;27024
2;27024;32;22;29;2;12;10;31;15;14;19;9;27;11;1;30;13;6;23;26;21;17;8;5;18;4;20;28;3;25;7;24;16
32;22;29;2;19;10;31;15;14;12;9;27;11;1;30;13;6;23;26;21;17;8;5;18;4;20;28;3;25;7;24;16;2;26948
2;26948;32;22;29;2;19;10;31;15;14;12;9;27;11;1;30;13;6;23;26;21;17;8;5;18;4;20;28;3;25;7;24;16
32;22;29;2;19;10;31;14;15;12;9;27;11;1;30;13;6;23;26;21;17;8;5;18;4;20;28;3;25;7;24;16;2;26768
2;26768;32;22;29;2;19;10;31;14;15;12;9;27;11;1;30;13;6;23;26;21;17;8;5;18;4;20;28;3;25;7;24;16
28;22;29;2;19;10;31;14;15;12;9;27;11;1;30;13;6;23;26;21;17;8;5;18;4;20;32;3;25;7;24;16;2;26568
2;26568;28;22;29;2;19;10;31;14;15;12;9;27;11;1;30;13;6;23;26;21;17;8;5;18;4;20;32;3;25;7;24;16
28;22;29;2;19;10;31;14;15;12;9;27;11;1;30;13;6;23;26;21;17;8;5;3;4;20;32;18;25;7;24;16;2;27228
2;27228;28;22;29;2;19;10;31;14;15;12;9;27;11;1;30;13;6;23;26;21;17;8;5;3;4;20;32;18;25;7;24;16
28;22;29;2;19;10;31;14;15;12;9;27;11;1;23;13;6;30;26;21;17;8;5;3;4;20;32;18;25;7;24;16;2;27188
2;27188;28;22;29;2;19;10;31;14;15;12;9;27;11;1;23;13;6;30;26;21;17;8;5;3;4;20;32;18;25;7;24;16
28;22;29;2;19;10;31;14;15;12;9;27;7;1;23;13;6;30;26;21;17;8;5;3;4;20;32;18;25;11;24;16;2;27308
2;27308;28;22;29;2;19;10;31;14;15;12;9;27;7;1;23;13;6;30;26;21;17;8;5;3;4;20;32;18;25;11;24;16
28;22;29;2;19;10;23;14;15;12;9;27;7;1;31;13;6;30;26;21;17;8;5;3;4;20;32;18;25;11;24;16;2;27308
2;27308;28;22;29;2;19;10;23;14;15;12;9;27;7;1;31;13;6;30;26;21;17;8;5;3;4;20;32;18;25;11;24;16
28;22;29;2;19;10;23;14;15;12;9;27;7;1;31;26;6;30;13;21;17;8;5;3;4;20;32;18;25;11;24;16;2;26492
2;26492;28;22;29;2;19;10;23;14;15;12;9;27;7;1;31;26;6;30;13;21;17;8;5;3;4;20;32;18;25;11;24;16
28;22;29;2;19;10;23;14;15;18;9;27;7;1;31;26;6;30;13;21;17;8;5;3;4;20;32;12;25;11;24;16;2;26274
2;26274;28;22;29;2;19;10;23;14;15;18;9;27;7;1;31;26;6;30;13;21;17;8;5;3;4;20;32;12;25;11;24;16
28;22;29;2;19;10;23;17;15;18;9;27;7;1;31;26;6;30;13;21;14;8;5;3;4;20;32;12;25;11;24;16;2;26072
2;26072;28;22;29;2;19;10;23;17;15;18;9;27;7;1;31;26;6;30;13;21;14;8;5;3;4;20;32;12;25;11;24;16
28;22;29;2;19;10;23;17;15;18;9;27;7;1;31;26;6;30;13;5;14;8;21;3;4;20;32;12;25;11;24;16;2;26210
3;26210;28;22;29;2;19;10;23;17;15;18;9;27;7;1;31;26;6;30;13;5;14;8;21;3;4;20;32;12;25;11;24;16
28;22;29;2;19;12;23;17;15;18;9;27;7;1;31;26;6;30;13;5;14;8;21;3;4;20;32;10;25;11;24;16;3;26530
3;26530;28;22;29;2;19;12;23;17;15;18;9;27;7;1;31;26;6;30;13;5;14;8;21;3;4;20;32;10;25;11;24;16
28;22;29;2;19;12;23;17;15;18;9;27;7;1;31;21;6;30;13;5;14;8;26;3;4;20;32;10;25;11;24;16;3;26650
3;26650;28;22;29;2;19;12;23;17;15;18;9;27;7;1;31;21;6;30;13;5;14;8;26;3;4;20;32;10;25;11;24;16
28;22;29;2;19;12;23;17;15;18;9;27;7;1;31;21;4;30;13;5;14;8;26;3;6;20;32;10;25;11;24;16;3;27690
3;27690;28;22;29;2;19;12;23;17;15;18;9;27;7;1;31;21;4;30;13;5;14;8;26;3;6;20;32;10;25;11;24;16
28;17;29;2;19;12;23;22;15;18;9;27;7;1;31;21;4;30;13;5;14;8;26;3;6;20;32;10;25;11;24;16;3;27850
3;27850;28;17;29;2;19;12;23;22;15;18;9;27;7;1;31;21;4;30;13;5;14;8;26;3;6;20;32;10;25;11;24;16
28;17;29;2;19;12;23;22;15;18;9;10;7;1;31;21;4;30;13;5;14;8;26;3;6;20;32;27;25;11;24;16;3;27626
3;27626;28;17;29;2;19;12;23;22;15;18;9;10;7;1;31;21;4;30;13;5;14;8;26;3;6;20;32;27;25;11;24;16
28;17;29;2;19;12;23;22;15;18;9;10;31;1;7;21;4;30;13;5;14;8;26;3;6;20;32;27;25;11;24;16;3;28184
3;28184;28;17;29;2;19;12;23;22;15;18;9;10;31;1;7;21;4;30;13;5;14;8;26;3;6;20;32;27;25;11;24;16
28;17;29;2;19;12;23;22;15;18;9;10;20;1;7;21;4;30;13;5;14;8;26;3;6;31;32;27;25;11;24;16;3;28464
3;28464;28;17;29;2;19;12;23;22;15;18;9;10;20;1;7;21;4;30;13;5;14;8;26;3;6;31;32;27;25;11;24;16
28;17;29;2;19;12;23;8;15;18;9;10;20;1;7;21;4;30;13;5;14;22;26;3;6;31;32;27;25;11;24;16;3;28482
3;28482;28;17;29;2;19;12;23;8;15;18;9;10;20;1;7;21;4;30;13;5;14;22;26;3;6;31;32;27;25;11;24;16
28;17;29;2;19;16;23;8;15;18;9;10;20;1;7;21;4;30;13;5;14;22;26;3;6;31;32;27;25;11;24;12;3;28862
3;28862;28;17;29;2;19;16;23;8;15;18;9;10;20;1;7;21;4;30;13;5;14;22;26;3;6;31;32;27;25;11;24;12
28;17;29;2;19;16;23;8;15;18;9;10;24;1;7;21;4;30;13;5;14;22;26;3;6;31;32;27;25;11;20;12;3;28462
3;28462;28;17;29;2;19;16;23;8;15;18;9;10;24;1;7;21;4;30;13;5;14;22;26;3;6;31;32;27;25;11;20;12
28;17;29;2;19;16;23;8;22;18;9;10;24;1;7;21;4;30;13;5;14;15;26;3;6;31;32;27;25;11;20;12;3;28134
3;28134;28;17;29;2;19;16;23;8;22;18;9;10;24;1;7;21;4;30;13;5;14;15;26;3;6;31;32;27;25;11;20;12
28;17;29;2;27;16;23;8;22;18;9;10;24;1;7;21;4;30;13;5;14;15;26;3;6;31;32;19;25;11;20;12;3;27694
3;27694;28;17;29;2;27;16;23;8;22;18;9;10;24;1;7;21;4;30;13;5;14;15;26;3;6;31;32;19;25;11;20;12
28;17;29;2;27;16;23;8;22;18;9;10;24;1;7;5;4;30;13;21;14;15;26;3;6;31;32;19;25;11;20;12;3;27418
3;27418;28;17;29;2;27;16;23;8;22;18;9;10;24;1;7;5;4;30;13;21;14;15;26;3;6;31;32;19;25;11;20;12
13;17;29;2;27;16;23;8;22;18;9;10;24;1;7;5;4;30;28;21;14;15;26;3;6;31;32;19;25;11;20;12;3;27302
3;27302;13;17;29;2;27;16;23;8;22;18;9;10;24;1;7;5;4;30;28;21;14;15;26;3;6;31;32;19;25;11;20;12
13;17;29;12;27;16;23;8;22;18;9;10;24;1;7;5;4;30;28;21;14;15;26;3;6;31;32;19;25;11;20;2;3;27222
3;27222;13;17;29;12;27;16;23;8;22;18;9;10;24;1;7;5;4;30;28;21;14;15;26;3;6;31;32;19;25;11;20;2
13;17;31;12;27;16;23;8;22;18;9;10;24;1;7;5;4;30;28;21;14;15;26;3;6;29;32;19;25;11;20;2;3;27262
3;27262;13;17;31;12;27;16;23;8;22;18;9;10;24;1;7;5;4;30;28;21;14;15;26;3;6;29;32;19;25;11;20;2
13;17;31;12;27;16;23;8;18;22;9;10;24;1;7;5;4;30;28;21;14;15;26;3;6;29;32;19;25;11;20;2;3;27542
3;27542;13;17;31;12;27;16;23;8;18;22;9;10;24;1;7;5;4;30;28;21;14;15;26;3;6;29;32;19;25;11;20;2
13;17;31;12;27;16;23;8;18;22;9;10;24;1;7;5;4;30;28;21;14;15;26;3;6;29;32;19;25;2;20;11;3;27622
3;27622;13;17;31;12;27;16;23;8;18;22;9;10;24;1;7;5;4;30;28;21;14;15;26;3;6;29;32;19;25;2;20;11
13;17;31;12;27;16;23;8;18;22;9;10;24;1;7;5;4;30;28;21;14;15;6;3;26;29;32;19;25;2;20;11;3;27624
3;27624;13;17;31;12;27;16;23;8;18;22;9;10;24;1;7;5;4;30;28;21;14;15;6;3;26;29;32;19;25;2;20;11
13;17;31;12;27;16;23;8;18;29;9;10;24;1;7;5;4;30;28;21;14;15;6;3;26;22;32;19;25;2;20;11;3;27604
4;27604;13;17;31;12;27;16;23;8;18;29;9;10;24;1;7;5;4;30;28;21;14;15;6;3;26;22;32;19;25;2;20;11
13;17;31;12;27;16;23;8;18;29;9;10;24;1;7;5;4;30;28;21;14;15;6;3;25;22;32;19;26;2;20;11;4;27544
4;27544;13;17;31;12;27;16;23;8;18;29;9;10;24;1;7;5;4;30;28;21;14;15;6;3;25;22;32;19;26;2;20;11
13;17;31;12;27;16;23;8;18;29;9;10;24;1;7;5;4;30;32;21;14;15;6;3;25;22;28;19;26;2;20;11;4;27664
4;27664;13;17;31;12;27;16;23;8;18;29;9;10;24;1;7;5;4;30;32;21;14;15;6;3;25;22;28;19;26;2;20;11
13;17;31;12;27;16;23;8;18;29;9;10;24;1;7;5;4;30;32;22;14;15;6;3;25;21;28;19;26;2;20;11;4;27464
4;27464;13;17;31;12;27;16;23;8;18;29;9;10;24;1;7;5;4;30;32;22;14;15;6;3;25;21;28;19;26;2;20;11
13;17;31;12;27;16;23;8;18;29;9;10;24;1;5;7;4;30;32;22;14;15;6;3;25;21;28;19;26;2;20;11;4;27304
4;27304;13;17;31;12;27;16;23;8;18;29;9;10;24;1;5;7;4;30;32;22;14;15;6;3;25;21;28;19;26;2;20;11
13;17;31;10;27;16;23;8;18;29;9;12;24;1;5;7;4;30;32;22;14;15;6;3;25;21;28;19;26;2;20;11;4;26904
4;26904;13;17;31;10;27;16;23;8;18;29;9;12;24;1;5;7;4;30;32;22;14;15;6;3;25;21;28;19;26;2;20;11
13;17;26;10;27;16;23;8;18;29;9;12;24;1;5;7;4;30;32;22;14;15;6;3;25;21;28;19;31;2;20;11;4;26744
4;26744;13;17;26;10;27;16;23;8;18;29;9;12;24;1;5;7;4;30;32;22;14;15;6;3;25;21;28;19;31;2;20;11
13;17;26;20;27;16;23;8;18;29;9;12;24;1;5;7;4;30;32;22;14;15;6;3;25;21;28;19;31;2;10;11;4;27958
4;27958;13;17;26;20;27;16;23;8;18;29;9;12;24;1;5;7;4;30;32;22;14;15;6;3;25;21;28;19;31;2;10;11
13;17;26;20;27;16;23;8;18;29;9;12;24;1;5;7;4;30;32;22;14;15;6;3;25;21;28;19;31;10;2;11;4;27958
4;27958;13;17;26;20;27;16;23;8;18;29;9;12;24;1;5;7;4;30;32;22;14;15;6;3;25;21;28;19;31;10;2;11
13;17;26;20;27;16;23;8;14;29;9;12;24;1;5;7;4;30;32;22;18;15;6;3;25;21;28;19;31;10;2;11;4;27962
4;27962;13;17;26;20;27;16;23;8;14;29;9;12;24;1;5;7;4;30;32;22;18;15;6;3;25;21;28;19;31;10;2;11
13;17;26;24;27;16;23;8;14;29;9;12;20;1;5;7;4;30;32;22;18;15;6;3;25;21;28;19;31;10;2;11;4;27702
4;27702;13;17;26;24;27;16;23;8;14;29;9;12;20;1;5;7;4;30;32;22;18;15;6;3;25;21;28;19;31;10;2;11
13;17;1;24;27;16;23;8;14;29;9;12;20;26;5;7;4;30;32;22;18;15;6;3;25;21;28;19;31;10;2;11;4;27128
4;27128;13;17;1;24;27;16;23;8;14;29;9;12;20;26;5;7;4;30;32;22;18;15;6;3;25;21;28;19;31;10;2;11
13;17;1;24;27;16;23;8;14;29;9;12;20;26;5;7;4;30;32;22;18;15;6;21;25;3;28;19;31;10;2;11;4;27400
4;27400;13;17;1;24;27;16;23;8;14;29;9;12;20;26;5;7;4;30;32;22;18;15;6;21;25;3;28;19;31;10;2;11
13;17;1;24;27;16;23;8;14;29;9;12;20;32;5;7;4;30;26;22;18;15;6;21;25;3;28;19;31;10;2;11;4;27480
4;27480;13;17;1;24;27;16;23;8;14;29;9;12;20;32;5;7;4;30;26;22;18;15;6;21;25;3;28;19;31;10;2;11
31;17;1;24;27;16;23;8;14;29;9;12;20;32;5;7;4;30;26;22;18;15;6;21;25;3;28;19;13;10;2;11;4;27778
4;27778;31;17;1;24;27;16;23;8;14;29;9;12;20;32;5;7;4;30;26;22;18;15;6;21;25;3;28;19;13;10;2;11
31;17;1;29;27;16;23;8;14;24;9;12;20;32;5;7;4;30;26;22;18;15;6;21;25;3;28;19;13;10;2;11;4;28138
4;28138;31;17;1;29;27;16;23;8;14;24;9;12;20;32;5;7;4;30;26;22;18;15;6;21;25;3;28;19;13;10;2;11
31;17;1;29;27;16;23;8;14;24;30;12;20;32;5;7;4;9;26;22;18;15;6;21;25;3;28;19;13;10;2;11;4;28184
4;28184;31;17;1;29;27;16;23;8;14;24;30;12;20;32;5;7;4;9;26;22;18;15;6;21;25;3;28;19;13;10;2;11
31;17;1;29;27;16;23;8;14;24;30;12;20;32;5;7;4;21;26;22;18;15;6;9;25;3;28;19;13;10;2;11;4;28038
4;28038;31;17;1;29;27;16;23;8;14;24;30;12;20;32;5;7;4;21;26;22;18;15;6;9;25;3;28;19;13;10;2;11
4;17;1;29;27;16;23;8;14;24;30;12;20;32;5;7;31;21;26;22;18;15;6;9;25;3;28;19;13;10;2;11;4;28082
4;28082;4;17;1;29;27;16;23;8;14;24;30;12;20;32;5;7;31;21;26;22;18;15;6;9;25;3;28;19;13;10;2;11
4;17;1;29;27;28;23;8;14;24;30;12;20;32;5;7;31;21;26;22;18;15;6;9;25;3;16;19;13;10;2;11;4;28276
4;28276;4;17;1;29;27;28;23;8;14;24;30;12;20;32;5;7;31;21;26;22;18;15;6;9;25;3;16;19;13;10;2;11
26;17;1;29;27;28;23;8;14;24;30;12;20;32;5;7;31;21;4;22;18;15;6;9;25;3;16;19;13;10;2;11;4;27424
5;27424;26;17;1;29;27;28;23;8;14;24;30;12;20;32;5;7;31;21;4;22;18;15;6;9;25;3;16;19;13;10;2;11
26;17;1;29;27;28;23;8;14;24;30;12;20;32;5;7;3;21;4;22;18;15;6;9;25;31;16;19;13;10;2;11;5;26828
5;26828;26;17;1;29;27;28;23;8;14;24;30;12;20;32;5;7;3;21;4;22;18;15;6;9;25;31;16;19;13;10;2;11
26;17;1;29;27;28;23;8;14;24;30;12;20;32;5;7;3;21;4;22;18;31;6;9;25;15;16;19;13;10;2;11;5;27150
5;27150;26;17;1;29;27;28;23;8;14;24;30;12;20;32;5;7;3;21;4;22;18;31;6;9;25;15;16;19;13;10;2;11
26;17;1;29;27;28;11;8;14;24;30;12;20;32;5;7;3;21;4;22;18;31;6;9;25;15;16;19;13;10;2;23;5;28112
5;28112;26;17;1;29;27;28;11;8;14;24;30;12;20;32;5;7;3;21;4;22;18;31;6;9;25;15;16;19;13;10;2;23
26;17;1;29;27;28;11;8;32;24;30;12;20;14;5;7;3;21;4;22;18;31;6;9;25;15;16;19;13;10;2;23;5;28342
5;28342;26;17;1;29;27;28;11;8;32;24;30;12;20;14;5;7;3;21;4;22;18;31;6;9;25;15;16;19;13;10;2;23
26;17;1;29;27;28;11;8;32;24;30;12;16;14;5;7;3;21;4;22;18;31;6;9;25;15;20;19;13;10;2;23;5;27666
5;27666;26;17;1;29;27;28;11;8;32;24;30;12;16;14;5;7;3;21;4;22;18;31;6;9;25;15;20;19;13;10;2;23
26;17;1;29;27;28;18;8;32;24;30;12;16;14;5;7;3;21;4;22;11;31;6;9;25;15;20;19;13;10;2;23;5;27582
5;27582;26;17;1;29;27;28;18;8;32;24;30;12;16;14;5;7;3;21;4;22;11;31;6;9;25;15;20;19;13;10;2;23
26;17;1;29;27;28;18;8;32;24;30;12;16;14;5;7;3;21;4;22;11;31;6;9;25;15;20;10;13;19;2;23;5;27714
5;27714;26;17;1;29;27;28;18;8;32;24;30;12;16;14;5;7;3;21;4;22;11;31;6;9;25;15;20;10;13;19;2;23
26;17;1;32;27;28;18;8;29;24;30;12;16;14;5;7;3;21;4;22;11;31;6;9;25;15;20;10;13;19;2;23;5;28154
5;28154;26;17;1;32;27;28;18;8;29;24;30;12;16;14;5;7;3;21;4;22;11;31;6;9;25;15;20;10;13;19;2;23
26;17;1;32;27;28;18;8;29;24;30;22;16;14;5;7;3;21;4;12;11;31;6;9;25;15;20;10;13;19;2;23;5;28326
5;28326;26;17;1;32;27;28;18;8;29;24;30;22;16;14;5;7;3;21;4;12;11;31;6;9;25;15;20;10;13;19;2;23
23;17;1;32;27;28;18;8;29;24;30;22;16;14;5;7;3;21;4;12;11;31;6;9;25;15;20;10;13;19;2;26;5;28286
5;28286;23;17;1;32;27;28;18;8;29;24;30;22;16;14;5;7;3;21;4;12;11;31;6;9;25;15;20;10;13;19;2;26
23;17;1;32;27;28;18;8;29;24;30;22;16;14;4;7;3;21;5;12;11;31;6;9;25;15;20;10;13;19;2;26;5;28086
5;28086;23;17;1;32;27;28;18;8;29;24;30;22;16;14;4;7;3;21;5;12;11;31;6;9;25;15;20;10;13;19;2;26
23;17;1;32;27;28;18;8;29;26;30;22;16;14;4;7;3;21;5;12;11;31;6;9;25;15;20;10;13;19;2;24;5;27746
5;27746;23;17;1;32;27;28;18;8;29;26;30;22;16;14;4;7;3;21;5;12;11;31;6;9;25;15;20;10;13;19;2;24
23;17;1;32;27;28;15;8;29;26;30;22;16;14;4;7;3;21;5;12;11;31;6;9;25;18;20;10;13;19;2;24;5;25828
5;25828;23;17;1;32;27;28;15;8;29;26;30;22;16;14;4;7;3;21;5;12;11;31;6;9;25;18;20;10;13;19;2;24
23;10;1;32;27;28;15;8;29;26;30;22;16;14;4;7;3;21;5;12;11;31;6;9;25;18;20;17;13;19;2;24;5;25282
5;25282;23;10;1;32;27;28;15;8;29;26;30;22;16;14;4;7;3;21;5;12;11;31;6;9;25;18;20;17;13;19;2;24
23;10;1;32;27;28;15;8;29;26;30;22;16;14;4;7;3;21;5;11;12;31;6;9;25;18;20;17;13;19;2;24;5;25382
5;25382;23;10;1;32;27;28;15;8;29;26;30;22;16;14;4;7;3;21;5;11;12;31;6;9;25;18;20;17;13;19;2;24
23;10;1;32;21;28;15;8;29;26;30;22;16;14;4;7;3;27;5;11;12;31;6;9;25;18;20;17;13;19;2;24;5;26022
5;26022;23;10;1;32;21;28;15;8;29;26;30;22;16;14;4;7;3;27;5;11;12;31;6;9;25;18;20;17;13;19;2;24
23;10;1;32;21;28;15;8;29;7;30;22;16;14;4;26;3;27;5;11;12;31;6;9;25;18;20;17;13;19;2;24;5;26004
5;26004;23;10;1;32;21;28;15;8;29;7;30;22;16;14;4;26;3;27;5;11;12;31;6;9;25;18;20;17;13;19;2;24
23;10;12;32;21;28;15;8;29;7;30;22;16;14;4;26;3;27;5;11;1;31;6;9;25;18;20;17;13;19;2;24;5;26084
5;26084;23;10;12;32;21;28;15;8;29;7;30;22;16;14;4;26;3;27;5;11;1;31;6;9;25;18;20;17;13;19;2;24
23;10;12;32;21;28;15;8;29;7;30;22;16;14;4;13;3;27;5;11;1;31;6;9;25;18;20;17;26;19;2;24;5;27690
