"X1";"X29290";"X18";"X8";"X6";"X13";"X9";"X12";"X29";"X32";"X24";"X3";"X31";"X22";"X7";"X11";"X23";"X20";"X21";"X30";"X26";"X14";"X27";"X1.1";"X15";"X25";"X19";"X16";"X10";"X17";"X2";"X4";"X5";"X28"
1;26790;18;8;23;5;9;11;29;32;19;3;14;22;30;12;6;20;21;25;26;31;27;1;15;7;17;24;10;16;2;4;13;28
18;8;23;5;9;11;29;32;19;3;14;22;30;12;6;20;21;25;26;31;27;1;15;7;17;28;10;16;2;4;13;24;1;27030
1;27030;18;8;23;5;9;11;29;32;19;3;14;22;30;12;6;20;21;25;26;31;27;1;15;7;17;28;10;16;2;4;13;24
18;8;23;5;9;11;29;32;19;3;14;22;30;12;6;20;21;1;26;31;27;25;15;7;17;28;10;16;2;4;13;24;1;27254
1;27254;18;8;23;5;9;11;29;32;19;3;14;22;30;12;6;20;21;1;26;31;27;25;15;7;17;28;10;16;2;4;13;24
18;8;23;5;9;11;29;32;19;3;14;22;30;12;6;20;21;1;26;31;27;25;17;7;15;28;10;16;2;4;13;24;1;27040
1;27040;18;8;23;5;9;11;29;32;19;3;14;22;30;12;6;20;21;1;26;31;27;25;17;7;15;28;10;16;2;4;13;24
24;8;23;5;9;11;29;32;19;3;14;22;30;12;6;20;21;1;26;31;27;25;17;7;15;28;10;16;2;4;13;18;1;26840
1;26840;24;8;23;5;9;11;29;32;19;3;14;22;30;12;6;20;21;1;26;31;27;25;17;7;15;28;10;16;2;4;13;18
24;8;23;5;9;11;29;32;19;3;14;22;30;16;6;20;21;1;26;31;27;25;17;7;15;28;10;12;2;4;13;18;1;26880
1;26880;24;8;23;5;9;11;29;32;19;3;14;22;30;16;6;20;21;1;26;31;27;25;17;7;15;28;10;12;2;4;13;18
24;8;23;5;9;11;29;32;19;3;14;22;15;16;6;20;21;1;26;31;27;25;17;7;30;28;10;12;2;4;13;18;1;27380
1;27380;24;8;23;5;9;11;29;32;19;3;14;22;15;16;6;20;21;1;26;31;27;25;17;7;30;28;10;12;2;4;13;18
17;8;23;5;9;11;29;32;19;3;14;22;15;16;6;20;21;1;26;31;27;25;24;7;30;28;10;12;2;4;13;18;1;27940
1;27940;17;8;23;5;9;11;29;32;19;3;14;22;15;16;6;20;21;1;26;31;27;25;24;7;30;28;10;12;2;4;13;18
17;8;23;5;9;11;29;32;19;3;14;22;15;16;6;20;21;1;26;31;27;25;24;7;30;28;10;4;2;12;13;18;1;27780
1;27780;17;8;23;5;9;11;29;32;19;3;14;22;15;16;6;20;21;1;26;31;27;25;24;7;30;28;10;4;2;12;13;18
17;28;23;5;9;11;29;32;19;3;14;22;15;16;6;20;21;1;26;31;27;25;24;7;30;8;10;4;2;12;13;18;1;26794
2;26794;17;28;23;5;9;11;29;32;19;3;14;22;15;16;6;20;21;1;26;31;27;25;24;7;30;8;10;4;2;12;13;18
17;2;23;5;9;11;29;32;19;3;14;22;15;16;6;20;21;1;26;31;27;25;24;7;30;8;10;4;28;12;13;18;2;26302
2;26302;17;2;23;5;9;11;29;32;19;3;14;22;15;16;6;20;21;1;26;31;27;25;24;7;30;8;10;4;28;12;13;18
17;2;23;5;9;11;29;32;19;3;14;22;15;16;6;20;18;1;26;31;27;25;24;7;30;8;10;4;28;12;13;21;2;26302
2;26302;17;2;23;5;9;11;29;32;19;3;14;22;15;16;6;20;18;1;26;31;27;25;24;7;30;8;10;4;28;12;13;21
17;22;23;5;9;11;29;32;19;3;14;2;15;16;6;20;18;1;26;31;27;25;24;7;30;8;10;4;28;12;13;21;2;26024
2;26024;17;22;23;5;9;11;29;32;19;3;14;2;15;16;6;20;18;1;26;31;27;25;24;7;30;8;10;4;28;12;13;21
17;22;23;5;9;18;29;32;19;3;14;2;15;16;6;20;11;1;26;31;27;25;24;7;30;8;10;4;28;12;13;21;2;26090
2;26090;17;22;23;5;9;18;29;32;19;3;14;2;15;16;6;20;11;1;26;31;27;25;24;7;30;8;10;4;28;12;13;21
17;22;23;18;9;5;29;32;19;3;14;2;15;16;6;20;11;1;26;31;27;25;24;7;30;8;10;4;28;12;13;21;2;26158
2;26158;17;22;23;18;9;5;29;32;19;3;14;2;15;16;6;20;11;1;26;31;27;25;24;7;30;8;10;4;28;12;13;21
17;22;23;18;9;5;29;15;19;3;14;2;32;16;6;20;11;1;26;31;27;25;24;7;30;8;10;4;28;12;13;21;2;26550
2;26550;17;22;23;18;9;5;29;15;19;3;14;2;32;16;6;20;11;1;26;31;27;25;24;7;30;8;10;4;28;12;13;21
17;22;23;18;9;5;29;15;19;3;6;2;32;16;14;20;11;1;26;31;27;25;24;7;30;8;10;4;28;12;13;21;2;26710
2;26710;17;22;23;18;9;5;29;15;19;3;6;2;32;16;14;20;11;1;26;31;27;25;24;7;30;8;10;4;28;12;13;21
17;22;23;18;9;5;29;15;19;3;6;2;32;16;14;20;11;1;26;25;27;31;24;7;30;8;10;4;28;12;13;21;2;26890
2;26890;17;22;23;18;9;5;29;15;19;3;6;2;32;16;14;20;11;1;26;25;27;31;24;7;30;8;10;4;28;12;13;21
17;22;23;18;9;5;29;15;19;3;6;2;32;16;14;20;25;1;26;11;27;31;24;7;30;8;10;4;28;12;13;21;2;27206
2;27206;17;22;23;18;9;5;29;15;19;3;6;2;32;16;14;20;25;1;26;11;27;31;24;7;30;8;10;4;28;12;13;21
17;22;23;18;9;14;29;15;19;3;6;2;32;16;5;20;25;1;26;11;27;31;24;7;30;8;10;4;28;12;13;21;2;27406
2;27406;17;22;23;18;9;14;29;15;19;3;6;2;32;16;5;20;25;1;26;11;27;31;24;7;30;8;10;4;28;12;13;21
17;22;23;18;9;14;29;15;26;3;6;2;32;16;5;20;25;1;19;11;27;31;24;7;30;8;10;4;28;12;13;21;2;27146
2;27146;17;22;23;18;9;14;29;15;26;3;6;2;32;16;5;20;25;1;19;11;27;31;24;7;30;8;10;4;28;12;13;21
17;22;23;18;9;14;29;15;26;3;6;27;32;16;5;20;25;1;19;11;2;31;24;7;30;8;10;4;28;12;13;21;2;27464
2;27464;17;22;23;18;9;14;29;15;26;3;6;27;32;16;5;20;25;1;19;11;2;31;24;7;30;8;10;4;28;12;13;21
17;22;23;18;9;14;29;15;26;3;6;27;32;16;5;20;25;1;19;8;2;31;24;7;30;11;10;4;28;12;13;21;2;27544
2;27544;17;22;23;18;9;14;29;15;26;3;6;27;32;16;5;20;25;1;19;8;2;31;24;7;30;11;10;4;28;12;13;21
17;22;23;18;9;14;29;15;26;3;6;27;32;16;19;20;25;1;5;8;2;31;24;7;30;11;10;4;28;12;13;21;2;27398
2;27398;17;22;23;18;9;14;29;15;26;3;6;27;32;16;19;20;25;1;5;8;2;31;24;7;30;11;10;4;28;12;13;21
17;22;23;18;9;14;29;15;26;3;6;24;32;16;19;20;25;1;5;8;2;31;27;7;30;11;10;4;28;12;13;21;2;27598
2;27598;17;22;23;18;9;14;29;15;26;3;6;24;32;16;19;20;25;1;5;8;2;31;27;7;30;11;10;4;28;12;13;21
17;22;23;18;9;14;29;6;26;3;15;24;32;16;19;20;25;1;5;8;2;31;27;7;30;11;10;4;28;12;13;21;2;27358
2;27358;17;22;23;18;9;14;29;6;26;3;15;24;32;16;19;20;25;1;5;8;2;31;27;7;30;11;10;4;28;12;13;21
17;22;23;18;9;14;29;6;26;3;11;24;32;16;19;20;25;1;5;8;2;31;27;7;30;15;10;4;28;12;13;21;2;27558
2;27558;17;22;23;18;9;14;29;6;26;3;11;24;32;16;19;20;25;1;5;8;2;31;27;7;30;15;10;4;28;12;13;21
17;22;23;18;9;14;29;6;26;3;11;30;32;16;19;20;25;1;5;8;2;31;27;7;24;15;10;4;28;12;13;21;2;27438
2;27438;17;22;23;18;9;14;29;6;26;3;11;30;32;16;19;20;25;1;5;8;2;31;27;7;24;15;10;4;28;12;13;21
17;22;23;18;9;14;29;12;26;3;11;30;32;16;19;20;25;1;5;8;2;31;27;7;24;15;10;4;28;6;13;21;2;27958
2;27958;17;22;23;18;9;14;29;12;26;3;11;30;32;16;19;20;25;1;5;8;2;31;27;7;24;15;10;4;28;6;13;21
17;22;23;18;9;14;29;12;26;3;11;30;32;16;19;20;25;1;5;8;2;31;27;7;24;15;10;4;21;6;13;28;2;27918
3;27918;17;22;23;18;9;14;29;12;26;3;11;30;32;16;19;20;25;1;5;8;2;31;27;7;24;15;10;4;21;6;13;28
17;22;23;18;9;14;5;12;26;3;11;30;32;16;19;20;25;1;29;8;2;31;27;7;24;15;10;4;21;6;13;28;3;27352
3;27352;17;22;23;18;9;14;5;12;26;3;11;30;32;16;19;20;25;1;29;8;2;31;27;7;24;15;10;4;21;6;13;28
17;22;23;18;9;14;5;12;26;3;11;30;32;16;19;20;27;1;29;8;2;31;25;7;24;15;10;4;21;6;13;28;3;26872
3;26872;17;22;23;18;9;14;5;12;26;3;11;30;32;16;19;20;27;1;29;8;2;31;25;7;24;15;10;4;21;6;13;28
17;22;23;18;9;14;5;12;26;3;11;30;32;8;19;20;27;1;29;16;2;31;25;7;24;15;10;4;21;6;13;28;3;27472
3;27472;17;22;23;18;9;14;5;12;26;3;11;30;32;8;19;20;27;1;29;16;2;31;25;7;24;15;10;4;21;6;13;28
17;22;23;18;9;14;5;12;26;13;11;30;32;8;19;20;27;1;29;16;2;31;25;7;24;15;10;4;21;6;3;28;3;27732
3;27732;17;22;23;18;9;14;5;12;26;13;11;30;32;8;19;20;27;1;29;16;2;31;25;7;24;15;10;4;21;6;3;28
17;22;23;18;9;14;5;12;26;13;11;30;32;8;19;20;27;1;29;16;2;31;25;21;24;15;10;4;7;6;3;28;3;27662
3;27662;17;22;23;18;9;14;5;12;26;13;11;30;32;8;19;20;27;1;29;16;2;31;25;21;24;15;10;4;7;6;3;28
17;22;23;18;9;14;32;12;26;13;11;30;5;8;19;20;27;1;29;16;2;31;25;21;24;15;10;4;7;6;3;28;3;28660
3;28660;17;22;23;18;9;14;32;12;26;13;11;30;5;8;19;20;27;1;29;16;2;31;25;21;24;15;10;4;7;6;3;28
17;22;23;18;9;14;32;12;26;13;11;1;5;8;19;20;27;30;29;16;2;31;25;21;24;15;10;4;7;6;3;28;3;28662
3;28662;17;22;23;18;9;14;32;12;26;13;11;1;5;8;19;20;27;30;29;16;2;31;25;21;24;15;10;4;7;6;3;28
17;22;23;18;2;14;32;12;26;13;11;1;5;8;19;20;27;30;29;16;9;31;25;21;24;15;10;4;7;6;3;28;3;28422
3;28422;17;22;23;18;2;14;32;12;26;13;11;1;5;8;19;20;27;30;29;16;9;31;25;21;24;15;10;4;7;6;3;28
17;22;23;18;2;14;32;12;26;13;11;1;5;8;19;20;27;30;29;16;9;31;25;21;24;28;10;4;7;6;3;15;3;27790
3;27790;17;22;23;18;2;14;32;12;26;13;11;1;5;8;19;20;27;30;29;16;9;31;25;21;24;28;10;4;7;6;3;15
17;22;23;18;2;14;32;4;26;13;11;1;5;8;19;20;27;30;29;16;9;31;25;21;24;28;10;12;7;6;3;15;3;27790
3;27790;17;22;23;18;2;14;32;4;26;13;11;1;5;8;19;20;27;30;29;16;9;31;25;21;24;28;10;12;7;6;3;15
17;22;23;18;2;5;32;4;26;13;11;1;14;8;19;20;27;30;29;16;9;31;25;21;24;28;10;12;7;6;3;15;3;27210
3;27210;17;22;23;18;2;5;32;4;26;13;11;1;14;8;19;20;27;30;29;16;9;31;25;21;24;28;10;12;7;6;3;15
17;22;23;18;2;5;32;28;26;13;11;1;14;8;19;20;27;30;29;16;9;31;25;21;24;4;10;12;7;6;3;15;3;27074
3;27074;17;22;23;18;2;5;32;28;26;13;11;1;14;8;19;20;27;30;29;16;9;31;25;21;24;4;10;12;7;6;3;15
17;22;23;18;2;5;32;28;26;13;11;1;14;8;19;20;27;30;29;16;9;31;25;7;24;4;10;12;21;6;3;15;3;26984
3;26984;17;22;23;18;2;5;32;28;26;13;11;1;14;8;19;20;27;30;29;16;9;31;25;7;24;4;10;12;21;6;3;15
17;25;23;18;2;5;32;28;26;13;11;1;14;8;19;20;27;30;29;16;9;31;22;7;24;4;10;12;21;6;3;15;3;27584
3;27584;17;25;23;18;2;5;32;28;26;13;11;1;14;8;19;20;27;30;29;16;9;31;22;7;24;4;10;12;21;6;3;15
17;25;23;18;2;19;32;28;26;13;11;1;14;8;5;20;27;30;29;16;9;31;22;7;24;4;10;12;21;6;3;15;3;27544
3;27544;17;25;23;18;2;19;32;28;26;13;11;1;14;8;5;20;27;30;29;16;9;31;22;7;24;4;10;12;21;6;3;15
17;25;23;18;7;19;32;28;26;13;11;1;14;8;5;20;27;30;29;16;9;31;22;2;24;4;10;12;21;6;3;15;3;27144
3;27144;17;25;23;18;7;19;32;28;26;13;11;1;14;8;5;20;27;30;29;16;9;31;22;2;24;4;10;12;21;6;3;15
17;25;23;18;7;19;32;28;26;13;11;1;14;8;5;20;27;30;15;16;9;31;22;2;24;4;10;12;21;6;3;29;3;27316
3;27316;17;25;23;18;7;19;32;28;26;13;11;1;14;8;5;20;27;30;15;16;9;31;22;2;24;4;10;12;21;6;3;29
10;25;23;18;7;19;32;28;26;13;11;1;14;8;5;20;27;30;15;16;9;31;22;2;24;4;17;12;21;6;3;29;3;26992
3;26992;10;25;23;18;7;19;32;28;26;13;11;1;14;8;5;20;27;30;15;16;9;31;22;2;24;4;17;12;21;6;3;29
10;25;23;4;7;19;32;28;26;13;11;1;14;8;5;20;27;30;15;16;9;31;22;2;24;18;17;12;21;6;3;29;3;26838
3;26838;10;25;23;4;7;19;32;28;26;13;11;1;14;8;5;20;27;30;15;16;9;31;22;2;24;18;17;12;21;6;3;29
10;25;23;4;7;19;32;28;26;13;11;1;14;8;5;20;27;30;15;16;9;31;22;18;24;2;17;12;21;6;3;29;3;26562
4;26562;10;25;23;4;7;19;32;28;26;13;11;1;14;8;5;20;27;30;15;16;9;31;22;18;24;2;17;12;21;6;3;29
10;25;23;4;7;19;32;28;9;13;11;1;14;8;5;20;27;30;15;16;26;31;22;18;24;2;17;12;21;6;3;29;4;26222
4;26222;10;25;23;4;7;19;32;28;9;13;11;1;14;8;5;20;27;30;15;16;26;31;22;18;24;2;17;12;21;6;3;29
10;25;23;4;7;19;32;28;9;13;11;1;14;8;5;15;27;30;20;16;26;31;22;18;24;2;17;12;21;6;3;29;4;25450
4;25450;10;25;23;4;7;19;32;28;9;13;11;1;14;8;5;15;27;30;20;16;26;31;22;18;24;2;17;12;21;6;3;29
10;25;23;4;7;19;32;28;9;13;18;1;14;8;5;15;27;30;20;16;26;31;22;11;24;2;17;12;21;6;3;29;4;26470
4;26470;10;25;23;4;7;19;32;28;9;13;18;1;14;8;5;15;27;30;20;16;26;31;22;11;24;2;17;12;21;6;3;29
10;25;23;4;7;19;32;28;9;13;18;1;14;8;5;6;27;30;20;16;26;31;22;11;24;2;17;12;21;15;3;29;4;26310
4;26310;10;25;23;4;7;19;32;28;9;13;18;1;14;8;5;6;27;30;20;16;26;31;22;11;24;2;17;12;21;15;3;29
10;25;23;4;7;19;32;20;9;13;18;1;14;8;5;6;27;30;28;16;26;31;22;11;24;2;17;12;21;15;3;29;4;26830
4;26830;10;25;23;4;7;19;32;20;9;13;18;1;14;8;5;6;27;30;28;16;26;31;22;11;24;2;17;12;21;15;3;29
10;25;17;4;7;19;32;20;9;13;18;1;14;8;5;6;27;30;28;16;26;31;22;11;24;2;23;12;21;15;3;29;4;27290
4;27290;10;25;17;4;7;19;32;20;9;13;18;1;14;8;5;6;27;30;28;16;26;31;22;11;24;2;23;12;21;15;3;29
10;25;17;11;7;19;32;20;9;13;18;1;14;8;5;6;27;30;28;16;26;31;22;4;24;2;23;12;21;15;3;29;4;26790
4;26790;10;25;17;11;7;19;32;20;9;13;18;1;14;8;5;6;27;30;28;16;26;31;22;4;24;2;23;12;21;15;3;29
10;25;17;11;7;19;32;20;9;13;18;1;14;8;5;6;27;30;28;16;26;31;21;4;24;2;23;12;22;15;3;29;4;26590
4;26590;10;25;17;11;7;19;32;20;9;13;18;1;14;8;5;6;27;30;28;16;26;31;21;4;24;2;23;12;22;15;3;29
10;25;17;11;7;19;32;5;9;13;18;1;14;8;20;6;27;30;28;16;26;31;21;4;24;2;23;12;22;15;3;29;4;26556
4;26556;10;25;17;11;7;19;32;5;9;13;18;1;14;8;20;6;27;30;28;16;26;31;21;4;24;2;23;12;22;15;3;29
10;25;17;11;7;19;32;5;9;13;3;1;14;8;20;6;27;30;28;16;26;31;21;4;24;2;23;12;22;15;18;29;4;26492
4;26492;10;25;17;11;7;19;32;5;9;13;3;1;14;8;20;6;27;30;28;16;26;31;21;4;24;2;23;12;22;15;18;29
10;1;17;11;7;19;32;5;9;13;3;25;14;8;20;6;27;30;28;16;26;31;21;4;24;2;23;12;22;15;18;29;4;26538
4;26538;10;1;17;11;7;19;32;5;9;13;3;25;14;8;20;6;27;30;28;16;26;31;21;4;24;2;23;12;22;15;18;29
10;9;17;11;7;19;32;5;1;13;3;25;14;8;20;6;27;30;28;16;26;31;21;4;24;2;23;12;22;15;18;29;4;27058
4;27058;10;9;17;11;7;19;32;5;1;13;3;25;14;8;20;6;27;30;28;16;26;31;21;4;24;2;23;12;22;15;18;29
10;9;17;11;7;19;32;5;1;13;4;25;14;8;20;6;27;30;28;16;26;31;21;3;24;2;23;12;22;15;18;29;4;27458
4;27458;10;9;17;11;7;19;32;5;1;13;4;25;14;8;20;6;27;30;28;16;26;31;21;3;24;2;23;12;22;15;18;29
10;9;17;11;7;19;32;5;1;13;4;8;14;25;20;6;27;30;28;16;26;31;21;3;24;2;23;12;22;15;18;29;4;27154
4;27154;10;9;17;11;7;19;32;5;1;13;4;8;14;25;20;6;27;30;28;16;26;31;21;3;24;2;23;12;22;15;18;29
10;9;17;11;7;19;32;5;1;13;4;8;14;25;20;6;23;30;28;16;26;31;21;3;24;2;27;12;22;15;18;29;4;26914
4;26914;10;9;17;11;7;19;32;5;1;13;4;8;14;25;20;6;23;30;28;16;26;31;21;3;24;2;27;12;22;15;18;29
10;9;17;11;7;19;32;5;1;13;4;8;14;25;20;6;23;30;28;16;31;26;21;3;24;2;27;12;22;15;18;29;4;26714
4;26714;10;9;17;11;7;19;32;5;1;13;4;8;14;25;20;6;23;30;28;16;31;26;21;3;24;2;27;12;22;15;18;29
10;9;17;11;7;19;32;2;1;13;4;8;14;25;20;6;23;30;28;16;31;26;21;3;24;5;27;12;22;15;18;29;4;26874
4;26874;10;9;17;11;7;19;32;2;1;13;4;8;14;25;20;6;23;30;28;16;31;26;21;3;24;5;27;12;22;15;18;29
10;9;17;11;7;19;32;2;1;13;16;8;14;25;20;6;23;30;28;4;31;26;21;3;24;5;27;12;22;15;18;29;4;26554
4;26554;10;9;17;11;7;19;32;2;1;13;16;8;14;25;20;6;23;30;28;4;31;26;21;3;24;5;27;12;22;15;18;29
10;9;17;11;15;19;32;2;1;13;16;8;14;25;20;6;23;30;28;4;31;26;21;3;24;5;27;12;22;7;18;29;4;27034
4;27034;10;9;17;11;15;19;32;2;1;13;16;8;14;25;20;6;23;30;28;4;31;26;21;3;24;5;27;12;22;7;18;29
10;9;17;11;15;19;32;2;1;13;16;8;14;25;20;6;23;30;28;4;31;5;21;3;24;26;27;12;22;7;18;29;4;26552
5;26552;10;9;17;11;15;19;32;2;1;13;16;8;14;25;20;6;23;30;28;4;31;5;21;3;24;26;27;12;22;7;18;29
10;9;17;11;15;19;28;2;1;13;16;8;14;25;20;6;23;30;32;4;31;5;21;3;24;26;27;12;22;7;18;29;5;26452
5;26452;10;9;17;11;15;19;28;2;1;13;16;8;14;25;20;6;23;30;32;4;31;5;21;3;24;26;27;12;22;7;18;29
10;9;17;11;15;19;28;2;1;13;16;22;14;25;20;6;23;30;32;4;31;5;21;3;24;26;27;12;8;7;18;29;5;26490
5;26490;10;9;17;11;15;19;28;2;1;13;16;22;14;25;20;6;23;30;32;4;31;5;21;3;24;26;27;12;8;7;18;29
10;9;17;11;15;19;28;2;1;13;16;22;14;25;20;6;23;30;32;4;31;5;21;3;24;26;12;27;8;7;18;29;5;26910
5;26910;10;9;17;11;15;19;28;2;1;13;16;22;14;25;20;6;23;30;32;4;31;5;21;3;24;26;12;27;8;7;18;29
10;9;17;11;15;19;28;2;1;13;16;22;14;25;20;6;23;30;32;4;31;5;21;3;24;26;12;27;18;7;8;29;5;26872
5;26872;10;9;17;11;15;19;28;2;1;13;16;22;14;25;20;6;23;30;32;4;31;5;21;3;24;26;12;27;18;7;8;29
10;9;17;11;15;19;28;2;1;13;16;22;14;25;20;6;23;30;32;4;31;5;21;3;26;24;12;27;18;7;8;29;5;27392
5;27392;10;9;17;11;15;19;28;2;1;13;16;22;14;25;20;6;23;30;32;4;31;5;21;3;26;24;12;27;18;7;8;29
10;9;17;11;15;19;28;2;1;13;16;22;14;25;20;6;23;30;32;5;31;4;21;3;26;24;12;27;18;7;8;29;5;27552
5;27552;10;9;17;11;15;19;28;2;1;13;16;22;14;25;20;6;23;30;32;5;31;4;21;3;26;24;12;27;18;7;8;29
19;9;17;11;15;10;28;2;1;13;16;22;14;25;20;6;23;30;32;5;31;4;21;3;26;24;12;27;18;7;8;29;5;27974
5;27974;19;9;17;11;15;10;28;2;1;13;16;22;14;25;20;6;23;30;32;5;31;4;21;3;26;24;12;27;18;7;8;29
19;9;29;11;15;10;28;2;1;13;16;22;14;25;20;6;23;30;32;5;31;4;21;3;26;24;12;27;18;7;8;17;5;28234
5;28234;19;9;29;11;15;10;28;2;1;13;16;22;14;25;20;6;23;30;32;5;31;4;21;3;26;24;12;27;18;7;8;17
19;9;3;11;15;10;28;2;1;13;16;22;14;25;20;6;23;30;32;5;31;4;21;29;26;24;12;27;18;7;8;17;5;27372
5;27372;19;9;3;11;15;10;28;2;1;13;16;22;14;25;20;6;23;30;32;5;31;4;21;29;26;24;12;27;18;7;8;17
19;9;18;11;15;10;28;2;1;13;16;22;14;25;20;6;23;30;32;5;31;4;21;29;26;24;12;27;3;7;8;17;5;28216
5;28216;19;9;18;11;15;10;28;2;1;13;16;22;14;25;20;6;23;30;32;5;31;4;21;29;26;24;12;27;3;7;8;17
19;9;18;11;15;10;28;2;1;13;16;22;14;25;20;6;23;30;32;26;31;4;21;29;5;24;12;27;3;7;8;17;5;28724
5;28724;19;9;18;11;15;10;28;2;1;13;16;22;14;25;20;6;23;30;32;26;31;4;21;29;5;24;12;27;3;7;8;17
19;9;18;11;15;10;28;2;1;13;16;22;14;25;20;6;23;30;32;26;31;4;29;21;5;24;12;27;3;7;8;17;5;28604
5;28604;19;9;18;11;15;10;28;2;1;13;16;22;14;25;20;6;23;30;32;26;31;4;29;21;5;24;12;27;3;7;8;17
19;9;18;11;15;10;28;2;1;13;29;22;14;25;20;6;23;30;32;26;31;4;16;21;5;24;12;27;3;7;8;17;5;28594
5;28594;19;9;18;11;15;10;28;2;1;13;29;22;14;25;20;6;23;30;32;26;31;4;16;21;5;24;12;27;3;7;8;17
19;9;18;11;15;10;28;2;1;13;29;22;14;25;20;6;23;30;32;26;31;4;16;17;5;24;12;27;3;7;8;21;5;28594
5;28594;19;9;18;11;15;10;28;2;1;13;29;22;14;25;20;6;23;30;32;26;31;4;16;17;5;24;12;27;3;7;8;21
19;9;18;11;15;10;28;2;1;13;23;22;14;25;20;6;29;30;32;26;31;4;16;17;5;24;12;27;3;7;8;21;5;28634
5;28634;19;9;18;11;15;10;28;2;1;13;23;22;14;25;20;6;29;30;32;26;31;4;16;17;5;24;12;27;3;7;8;21
19;9;18;11;15;10;28;2;1;17;23;22;14;25;20;6;29;30;32;26;31;4;16;13;5;24;12;27;3;7;8;21;5;28456
5;28456;19;9;18;11;15;10;28;2;1;17;23;22;14;25;20;6;29;30;32;26;31;4;16;13;5;24;12;27;3;7;8;21
19;9;18;11;15;14;28;2;1;17;23;22;10;25;20;6;29;30;32;26;31;4;16;13;5;24;12;27;3;7;8;21;5;28316
5;28316;19;9;18;11;15;14;28;2;1;17;23;22;10;25;20;6;29;30;32;26;31;4;16;13;5;24;12;27;3;7;8;21
19;9;18;11;15;14;28;2;1;17;23;22;10;25;20;6;29;4;32;26;31;30;16;13;5;24;12;27;3;7;8;21;5;28156
5;28156;19;9;18;11;15;14;28;2;1;17;23;22;10;25;20;6;29;4;32;26;31;30;16;13;5;24;12;27;3;7;8;21
19;9;18;11;15;14;6;2;1;17;23;22;10;25;20;28;29;4;32;26;31;30;16;13;5;24;12;27;3;7;8;21;5;28102
