"X1";"X26680";"X30";"X6";"X15";"X11";"X32";"X7";"X31";"X17";"X10";"X8";"X18";"X5";"X14";"X22";"X12";"X16";"X26";"X25";"X19";"X24";"X3";"X27";"X20";"X9";"X1.1";"X4";"X2";"X13";"X23";"X21";"X28";"X29"
1;27098;20;6;15;11;29;7;23;12;10;3;2;5;14;18;17;22;26;25;24;30;8;27;32;9;1;28;16;13;31;21;4;19
20;6;15;11;29;7;23;12;10;3;2;5;14;18;17;32;26;25;24;30;8;27;22;9;1;28;16;13;31;21;4;19;1;27818
1;27818;20;6;15;11;29;7;23;12;10;3;2;5;14;18;17;32;26;25;24;30;8;27;22;9;1;28;16;13;31;21;4;19
20;6;15;11;29;7;23;12;10;3;2;5;14;18;17;32;26;25;24;4;8;27;22;9;1;28;16;13;31;21;30;19;1;28022
1;28022;20;6;15;11;29;7;23;12;10;3;2;5;14;18;17;32;26;25;24;4;8;27;22;9;1;28;16;13;31;21;30;19
20;6;15;11;29;7;23;12;10;22;2;5;14;18;17;32;26;25;24;4;8;27;3;9;1;28;16;13;31;21;30;19;1;27930
1;27930;20;6;15;11;29;7;23;12;10;22;2;5;14;18;17;32;26;25;24;4;8;27;3;9;1;28;16;13;31;21;30;19
20;6;15;11;29;7;23;12;10;28;2;5;14;18;17;32;26;25;24;4;8;27;3;9;1;22;16;13;31;21;30;19;1;26990
1;26990;20;6;15;11;29;7;23;12;10;28;2;5;14;18;17;32;26;25;24;4;8;27;3;9;1;22;16;13;31;21;30;19
20;6;15;11;29;7;23;12;10;28;2;5;14;18;17;32;26;25;24;4;8;27;3;9;1;22;16;13;31;30;21;19;1;27070
1;27070;20;6;15;11;29;7;23;12;10;28;2;5;14;18;17;32;26;25;24;4;8;27;3;9;1;22;16;13;31;30;21;19
20;6;15;11;29;7;23;12;26;28;2;5;14;18;17;32;10;25;24;4;8;27;3;9;1;22;16;13;31;30;21;19;1;26748
1;26748;20;6;15;11;29;7;23;12;26;28;2;5;14;18;17;32;10;25;24;4;8;27;3;9;1;22;16;13;31;30;21;19
20;6;15;11;29;7;23;8;26;28;2;5;14;18;17;32;10;25;24;4;12;27;3;9;1;22;16;13;31;30;21;19;1;26728
1;26728;20;6;15;11;29;7;23;8;26;28;2;5;14;18;17;32;10;25;24;4;12;27;3;9;1;22;16;13;31;30;21;19
20;6;24;11;29;7;23;8;26;28;2;5;14;18;17;32;10;25;15;4;12;27;3;9;1;22;16;13;31;30;21;19;1;26710
2;26710;20;6;24;11;29;7;23;8;26;28;2;5;14;18;17;32;10;25;15;4;12;27;3;9;1;22;16;13;31;30;21;19
20;6;24;1;29;7;23;8;26;28;2;5;14;18;17;32;10;25;15;4;12;27;3;9;11;22;16;13;31;30;21;19;2;27190
2;27190;20;6;24;1;29;7;23;8;26;28;2;5;14;18;17;32;10;25;15;4;12;27;3;9;11;22;16;13;31;30;21;19
20;6;24;1;29;7;23;8;26;28;2;5;14;18;17;32;10;25;15;4;12;30;3;9;11;22;16;13;31;27;21;19;2;27510
2;27510;20;6;24;1;29;7;23;8;26;28;2;5;14;18;17;32;10;25;15;4;12;30;3;9;11;22;16;13;31;27;21;19
20;6;24;1;29;7;23;10;26;28;2;5;14;18;17;32;8;25;15;4;12;30;3;9;11;22;16;13;31;27;21;19;2;28070
2;28070;20;6;24;1;29;7;23;10;26;28;2;5;14;18;17;32;8;25;15;4;12;30;3;9;11;22;16;13;31;27;21;19
20;6;24;1;29;7;23;10;26;28;2;5;14;18;22;32;8;25;15;4;12;30;3;9;11;17;16;13;31;27;21;19;2;28550
2;28550;20;6;24;1;29;7;23;10;26;28;2;5;14;18;22;32;8;25;15;4;12;30;3;9;11;17;16;13;31;27;21;19
20;6;24;1;29;7;23;5;26;28;2;10;14;18;22;32;8;25;15;4;12;30;3;9;11;17;16;13;31;27;21;19;2;28470
2;28470;20;6;24;1;29;7;23;5;26;28;2;10;14;18;22;32;8;25;15;4;12;30;3;9;11;17;16;13;31;27;21;19
7;6;24;1;29;20;23;5;26;28;2;10;14;18;22;32;8;25;15;4;12;30;3;9;11;17;16;13;31;27;21;19;2;28224
2;28224;7;6;24;1;29;20;23;5;26;28;2;10;14;18;22;32;8;25;15;4;12;30;3;9;11;17;16;13;31;27;21;19
7;6;24;1;29;20;23;5;26;28;2;10;14;18;22;32;8;25;15;4;12;30;3;17;11;9;16;13;31;27;21;19;2;28460
2;28460;7;6;24;1;29;20;23;5;26;28;2;10;14;18;22;32;8;25;15;4;12;30;3;17;11;9;16;13;31;27;21;19
7;6;24;1;29;32;23;5;26;28;2;10;14;18;22;20;8;25;15;4;12;30;3;17;11;9;16;13;31;27;21;19;2;28640
2;28640;7;6;24;1;29;32;23;5;26;28;2;10;14;18;22;20;8;25;15;4;12;30;3;17;11;9;16;13;31;27;21;19
7;6;24;1;29;27;23;5;26;28;2;10;14;18;22;20;8;25;15;4;12;30;3;17;11;9;16;13;31;32;21;19;2;28120
2;28120;7;6;24;1;29;27;23;5;26;28;2;10;14;18;22;20;8;25;15;4;12;30;3;17;11;9;16;13;31;32;21;19
7;6;24;1;29;27;23;5;26;28;2;10;14;18;22;30;8;25;15;4;12;20;3;17;11;9;16;13;31;32;21;19;2;27780
2;27780;7;6;24;1;29;27;23;5;26;28;2;10;14;18;22;30;8;25;15;4;12;20;3;17;11;9;16;13;31;32;21;19
7;6;24;1;29;27;23;5;26;18;2;10;14;28;22;30;8;25;15;4;12;20;3;17;11;9;16;13;31;32;21;19;2;27740
2;27740;7;6;24;1;29;27;23;5;26;18;2;10;14;28;22;30;8;25;15;4;12;20;3;17;11;9;16;13;31;32;21;19
7;6;24;1;15;27;23;5;26;18;2;10;14;28;22;30;8;25;29;4;12;20;3;17;11;9;16;13;31;32;21;19;2;27006
2;27006;7;6;24;1;15;27;23;5;26;18;2;10;14;28;22;30;8;25;29;4;12;20;3;17;11;9;16;13;31;32;21;19
7;6;24;1;15;27;23;5;26;18;2;10;14;28;22;30;8;25;29;4;12;20;11;17;3;9;16;13;31;32;21;19;2;26846
2;26846;7;6;24;1;15;27;23;5;26;18;2;10;14;28;22;30;8;25;29;4;12;20;11;17;3;9;16;13;31;32;21;19
7;6;24;1;15;27;23;5;26;18;2;10;14;28;22;30;8;25;29;4;13;20;11;17;3;9;16;12;31;32;21;19;2;27446
2;27446;7;6;24;1;15;27;23;5;26;18;2;10;14;28;22;30;8;25;29;4;13;20;11;17;3;9;16;12;31;32;21;19
7;6;24;1;15;27;23;5;26;18;2;10;14;28;22;30;8;29;25;4;13;20;11;17;3;9;16;12;31;32;21;19;2;27626
2;27626;7;6;24;1;15;27;23;5;26;18;2;10;14;28;22;30;8;29;25;4;13;20;11;17;3;9;16;12;31;32;21;19
7;6;24;1;15;12;23;5;26;18;2;10;14;28;22;30;8;29;25;4;13;20;11;17;3;9;16;27;31;32;21;19;2;27088
2;27088;7;6;24;1;15;12;23;5;26;18;2;10;14;28;22;30;8;29;25;4;13;20;11;17;3;9;16;27;31;32;21;19
7;6;24;1;15;12;23;5;26;18;28;10;14;2;22;30;8;29;25;4;13;20;11;17;3;9;16;27;31;32;21;19;2;27440
2;27440;7;6;24;1;15;12;23;5;26;18;28;10;14;2;22;30;8;29;25;4;13;20;11;17;3;9;16;27;31;32;21;19
7;6;24;1;15;12;23;5;26;18;28;10;14;2;22;30;8;29;25;4;13;20;11;17;3;9;16;27;31;21;32;19;2;27200
2;27200;7;6;24;1;15;12;23;5;26;18;28;10;14;2;22;30;8;29;25;4;13;20;11;17;3;9;16;27;31;21;32;19
7;6;24;1;15;12;23;5;2;18;28;10;14;26;22;30;8;29;25;4;13;20;11;17;3;9;16;27;31;21;32;19;2;26822
2;26822;7;6;24;1;15;12;23;5;2;18;28;10;14;26;22;30;8;29;25;4;13;20;11;17;3;9;16;27;31;21;32;19
7;1;24;6;15;12;23;5;2;18;28;10;14;26;22;30;8;29;25;4;13;20;11;17;3;9;16;27;31;21;32;19;2;26782
3;26782;7;1;24;6;15;12;23;5;2;18;28;10;14;26;22;30;8;29;25;4;13;20;11;17;3;9;16;27;31;21;32;19
7;1;24;6;15;12;23;28;2;18;5;10;14;26;22;30;8;29;25;4;13;20;11;17;3;9;16;27;31;21;32;19;3;26546
3;26546;7;1;24;6;15;12;23;28;2;18;5;10;14;26;22;30;8;29;25;4;13;20;11;17;3;9;16;27;31;21;32;19
7;1;24;6;15;12;23;28;2;18;5;10;14;26;22;30;8;29;25;4;13;11;20;17;3;9;16;27;31;21;32;19;3;26322
3;26322;7;1;24;6;15;12;23;28;2;18;5;10;14;26;22;30;8;29;25;4;13;11;20;17;3;9;16;27;31;21;32;19
7;1;24;6;15;12;23;28;31;18;5;10;14;26;22;30;8;29;25;4;13;11;20;17;3;9;16;27;2;21;32;19;3;26142
3;26142;7;1;24;6;15;12;23;28;31;18;5;10;14;26;22;30;8;29;25;4;13;11;20;17;3;9;16;27;2;21;32;19
7;1;24;6;15;12;23;28;31;18;5;10;14;26;22;30;8;29;25;4;13;11;20;17;21;9;16;27;2;3;32;19;3;25798
3;25798;7;1;24;6;15;12;23;28;31;18;5;10;14;26;22;30;8;29;25;4;13;11;20;17;21;9;16;27;2;3;32;19
7;1;24;6;20;12;23;28;31;18;5;10;14;26;22;30;8;29;25;4;13;11;15;17;21;9;16;27;2;3;32;19;3;25666
3;25666;7;1;24;6;20;12;23;28;31;18;5;10;14;26;22;30;8;29;25;4;13;11;15;17;21;9;16;27;2;3;32;19
7;1;24;6;20;12;23;28;31;18;5;10;14;26;22;29;8;30;25;4;13;11;15;17;21;9;16;27;2;3;32;19;3;26046
3;26046;7;1;24;6;20;12;23;28;31;18;5;10;14;26;22;29;8;30;25;4;13;11;15;17;21;9;16;27;2;3;32;19
7;1;24;6;20;12;23;28;31;9;5;10;14;26;22;29;8;30;25;4;13;11;15;17;21;18;16;27;2;3;32;19;3;25804
3;25804;7;1;24;6;20;12;23;28;31;9;5;10;14;26;22;29;8;30;25;4;13;11;15;17;21;18;16;27;2;3;32;19
7;28;24;6;20;12;23;1;31;9;5;10;14;26;22;29;8;30;25;4;13;11;15;17;21;18;16;27;2;3;32;19;3;25726
3;25726;7;28;24;6;20;12;23;1;31;9;5;10;14;26;22;29;8;30;25;4;13;11;15;17;21;18;16;27;2;3;32;19
7;28;24;6;20;12;23;1;31;9;32;10;14;26;22;29;8;30;25;4;13;11;15;17;21;18;16;27;2;3;5;19;3;26002
3;26002;7;28;24;6;20;12;23;1;31;9;32;10;14;26;22;29;8;30;25;4;13;11;15;17;21;18;16;27;2;3;5;19
7;28;24;1;20;12;23;6;31;9;32;10;14;26;22;29;8;30;25;4;13;11;15;17;21;18;16;27;2;3;5;19;3;26362
3;26362;7;28;24;1;20;12;23;6;31;9;32;10;14;26;22;29;8;30;25;4;13;11;15;17;21;18;16;27;2;3;5;19
7;28;24;13;20;12;23;6;31;9;32;10;14;26;22;29;8;30;25;4;1;11;15;17;21;18;16;27;2;3;5;19;3;26442
3;26442;7;28;24;13;20;12;23;6;31;9;32;10;14;26;22;29;8;30;25;4;1;11;15;17;21;18;16;27;2;3;5;19
7;28;24;13;20;12;23;6;31;9;32;10;14;26;22;29;8;30;25;17;1;11;15;4;21;18;16;27;2;3;5;19;3;26814
3;26814;7;28;24;13;20;12;23;6;31;9;32;10;14;26;22;29;8;30;25;17;1;11;15;4;21;18;16;27;2;3;5;19
7;28;24;13;20;8;23;6;31;9;32;10;14;26;22;29;12;30;25;17;1;11;15;4;21;18;16;27;2;3;5;19;3;26674
3;26674;7;28;24;13;20;8;23;6;31;9;32;10;14;26;22;29;12;30;25;17;1;11;15;4;21;18;16;27;2;3;5;19
7;28;25;13;20;8;23;6;31;9;32;10;14;26;22;29;12;30;24;17;1;11;15;4;21;18;16;27;2;3;5;19;3;26914
3;26914;7;28;25;13;20;8;23;6;31;9;32;10;14;26;22;29;12;30;24;17;1;11;15;4;21;18;16;27;2;3;5;19
7;28;25;13;19;8;23;6;31;9;32;10;14;26;22;29;12;30;24;17;1;11;15;4;21;18;16;27;2;3;5;20;3;26614
3;26614;7;28;25;13;19;8;23;6;31;9;32;10;14;26;22;29;12;30;24;17;1;11;15;4;21;18;16;27;2;3;5;20
27;28;25;13;19;8;23;6;31;9;32;10;14;26;22;29;12;30;24;17;1;11;15;4;21;18;16;7;2;3;5;20;3;26022
3;26022;27;28;25;13;19;8;23;6;31;9;32;10;14;26;22;29;12;30;24;17;1;11;15;4;21;18;16;7;2;3;5;20
27;28;25;13;19;8;23;6;31;9;32;10;14;26;22;29;12;30;24;5;1;11;15;4;21;18;16;7;2;3;17;20;3;25742
3;25742;27;28;25;13;19;8;23;6;31;9;32;10;14;26;22;29;12;30;24;5;1;11;15;4;21;18;16;7;2;3;17;20
27;28;25;13;19;8;23;6;31;9;32;10;14;22;26;29;12;30;24;5;1;11;15;4;21;18;16;7;2;3;17;20;3;25802
3;25802;27;28;25;13;19;8;23;6;31;9;32;10;14;22;26;29;12;30;24;5;1;11;15;4;21;18;16;7;2;3;17;20
27;28;25;13;19;8;23;6;31;9;32;10;14;22;26;29;12;30;24;5;1;11;15;4;21;18;20;7;2;3;17;16;3;25858
3;25858;27;28;25;13;19;8;23;6;31;9;32;10;14;22;26;29;12;30;24;5;1;11;15;4;21;18;20;7;2;3;17;16
27;28;25;13;19;8;24;6;31;9;32;10;14;22;26;29;12;30;23;5;1;11;15;4;21;18;20;7;2;3;17;16;3;26318
4;26318;27;28;25;13;19;8;24;6;31;9;32;10;14;22;26;29;12;30;23;5;1;11;15;4;21;18;20;7;2;3;17;16
27;7;25;13;19;8;24;6;31;9;32;10;14;22;26;29;12;30;23;5;1;11;15;4;21;18;20;28;2;3;17;16;4;26492
4;26492;27;7;25;13;19;8;24;6;31;9;32;10;14;22;26;29;12;30;23;5;1;11;15;4;21;18;20;28;2;3;17;16
27;7;25;13;19;8;24;6;31;9;32;10;14;22;26;29;12;30;23;20;1;11;15;4;21;18;5;28;2;3;17;16;4;26980
4;26980;27;7;25;13;19;8;24;6;31;9;32;10;14;22;26;29;12;30;23;20;1;11;15;4;21;18;5;28;2;3;17;16
27;7;25;13;19;8;24;6;31;9;32;10;26;22;14;29;12;30;23;20;1;11;15;4;21;18;5;28;2;3;17;16;4;26218
4;26218;27;7;25;13;19;8;24;6;31;9;32;10;26;22;14;29;12;30;23;20;1;11;15;4;21;18;5;28;2;3;17;16
27;7;25;13;24;8;19;6;31;9;32;10;26;22;14;29;12;30;23;20;1;11;15;4;21;18;5;28;2;3;17;16;4;26138
4;26138;27;7;25;13;24;8;19;6;31;9;32;10;26;22;14;29;12;30;23;20;1;11;15;4;21;18;5;28;2;3;17;16
27;7;25;13;24;8;19;6;31;9;32;10;22;26;14;29;12;30;23;20;1;11;15;4;21;18;5;28;2;3;17;16;4;26418
4;26418;27;7;25;13;24;8;19;6;31;9;32;10;22;26;14;29;12;30;23;20;1;11;15;4;21;18;5;28;2;3;17;16
27;7;25;13;24;8;19;6;31;9;32;4;22;26;14;29;12;30;23;20;1;11;15;10;21;18;5;28;2;3;17;16;4;26898
4;26898;27;7;25;13;24;8;19;6;31;9;32;4;22;26;14;29;12;30;23;20;1;11;15;10;21;18;5;28;2;3;17;16
27;7;25;13;24;8;19;6;31;9;32;4;22;26;14;29;12;30;23;20;1;11;15;10;5;18;21;28;2;3;17;16;4;26898
4;26898;27;7;25;13;24;8;19;6;31;9;32;4;22;26;14;29;12;30;23;20;1;11;15;10;5;18;21;28;2;3;17;16
27;7;25;13;24;8;19;6;31;9;5;4;22;26;14;29;12;30;23;20;1;11;15;10;32;18;21;28;2;3;17;16;4;26778
4;26778;27;7;25;13;24;8;19;6;31;9;5;4;22;26;14;29;12;30;23;20;1;11;15;10;32;18;21;28;2;3;17;16
27;7;25;13;24;8;19;4;31;9;5;6;22;26;14;29;12;30;23;20;1;11;15;10;32;18;21;28;2;3;17;16;4;26098
4;26098;27;7;25;13;24;8;19;4;31;9;5;6;22;26;14;29;12;30;23;20;1;11;15;10;32;18;21;28;2;3;17;16
27;7;25;13;24;8;19;4;31;9;5;6;22;10;14;29;12;30;23;20;1;11;15;26;32;18;21;28;2;3;17;16;4;26650
4;26650;27;7;25;13;24;8;19;4;31;9;5;6;22;10;14;29;12;30;23;20;1;11;15;26;32;18;21;28;2;3;17;16
27;25;7;13;24;8;19;4;31;9;5;6;22;10;14;29;12;30;23;20;1;11;15;26;32;18;21;28;2;3;17;16;4;26746
4;26746;27;25;7;13;24;8;19;4;31;9;5;6;22;10;14;29;12;30;23;20;1;11;15;26;32;18;21;28;2;3;17;16
27;25;7;13;24;8;19;4;1;9;5;6;22;10;14;29;12;30;23;20;31;11;15;26;32;18;21;28;2;3;17;16;4;27630
4;27630;27;25;7;13;24;8;19;4;1;9;5;6;22;10;14;29;12;30;23;20;31;11;15;26;32;18;21;28;2;3;17;16
27;25;7;13;24;8;19;4;1;11;5;6;22;10;14;29;12;30;23;20;31;9;15;26;32;18;21;28;2;3;17;16;4;27510
4;27510;27;25;7;13;24;8;19;4;1;11;5;6;22;10;14;29;12;30;23;20;31;9;15;26;32;18;21;28;2;3;17;16
27;25;7;13;24;8;19;4;1;11;5;6;22;10;14;26;12;30;23;20;31;9;15;29;32;18;21;28;2;3;17;16;4;26830
4;26830;27;25;7;13;24;8;19;4;1;11;5;6;22;10;14;26;12;30;23;20;31;9;15;29;32;18;21;28;2;3;17;16
27;25;7;13;24;8;19;23;1;11;5;6;22;10;14;26;12;30;4;20;31;9;15;29;32;18;21;28;2;3;17;16;4;25918
4;25918;27;25;7;13;24;8;19;23;1;11;5;6;22;10;14;26;12;30;4;20;31;9;15;29;32;18;21;28;2;3;17;16
27;25;7;13;12;8;19;23;1;11;5;6;22;10;14;26;24;30;4;20;31;9;15;29;32;18;21;28;2;3;17;16;4;25864
4;25864;27;25;7;13;12;8;19;23;1;11;5;6;22;10;14;26;24;30;4;20;31;9;15;29;32;18;21;28;2;3;17;16
27;25;13;7;12;8;19;23;1;11;5;6;22;10;14;26;24;30;4;20;31;9;15;29;32;18;21;28;2;3;17;16;4;25744
4;25744;27;25;13;7;12;8;19;23;1;11;5;6;22;10;14;26;24;30;4;20;31;9;15;29;32;18;21;28;2;3;17;16
27;25;13;28;12;8;19;23;1;11;5;6;22;10;14;26;24;30;4;20;31;9;15;29;32;18;21;7;2;3;17;16;4;25582
4;25582;27;25;13;28;12;8;19;23;1;11;5;6;22;10;14;26;24;30;4;20;31;9;15;29;32;18;21;7;2;3;17;16
27;25;13;28;12;8;19;23;1;11;16;6;22;10;14;26;24;30;4;20;31;9;15;29;32;18;21;7;2;3;17;5;4;26062
4;26062;27;25;13;28;12;8;19;23;1;11;16;6;22;10;14;26;24;30;4;20;31;9;15;29;32;18;21;7;2;3;17;5
27;25;13;28;12;8;19;23;1;11;16;6;4;10;14;26;24;30;22;20;31;9;15;29;32;18;21;7;2;3;17;5;4;26266
5;26266;27;25;13;28;12;8;19;23;1;11;16;6;4;10;14;26;24;30;22;20;31;9;15;29;32;18;21;7;2;3;17;5
27;25;13;28;12;24;19;23;1;11;16;6;4;10;14;26;8;30;22;20;31;9;15;29;32;18;21;7;2;3;17;5;5;26404
5;26404;27;25;13;28;12;24;19;23;1;11;16;6;4;10;14;26;8;30;22;20;31;9;15;29;32;18;21;7;2;3;17;5
27;25;13;28;12;24;19;23;1;11;16;6;4;22;14;26;8;30;10;20;31;9;15;29;32;18;21;7;2;3;17;5;5;26220
5;26220;27;25;13;28;12;24;19;23;1;11;16;6;4;22;14;26;8;30;10;20;31;9;15;29;32;18;21;7;2;3;17;5
27;25;13;28;12;24;19;23;1;11;16;6;4;15;14;26;8;30;10;20;31;9;22;29;32;18;21;7;2;3;17;5;5;26522
5;26522;27;25;13;28;12;24;19;23;1;11;16;6;4;15;14;26;8;30;10;20;31;9;22;29;32;18;21;7;2;3;17;5
27;25;13;28;12;24;19;23;1;11;16;6;4;15;14;26;8;30;10;20;31;9;22;3;32;18;21;7;2;29;17;5;5;26418
5;26418;27;25;13;28;12;24;19;23;1;11;16;6;4;15;14;26;8;30;10;20;31;9;22;3;32;18;21;7;2;29;17;5
27;25;13;28;29;24;19;23;1;11;16;6;4;15;14;26;8;30;10;20;31;9;22;3;32;18;21;7;2;12;17;5;5;26776
5;26776;27;25;13;28;29;24;19;23;1;11;16;6;4;15;14;26;8;30;10;20;31;9;22;3;32;18;21;7;2;12;17;5
27;25;13;28;29;24;19;23;1;11;16;6;18;15;14;26;8;30;10;20;31;9;22;3;32;4;21;7;2;12;17;5;5;27576
5;27576;27;25;13;28;29;24;19;23;1;11;16;6;18;15;14;26;8;30;10;20;31;9;22;3;32;4;21;7;2;12;17;5
27;25;2;28;29;24;19;23;1;11;16;6;18;15;14;26;8;30;10;20;31;9;22;3;32;4;21;7;13;12;17;5;5;27816
5;27816;27;25;2;28;29;24;19;23;1;11;16;6;18;15;14;26;8;30;10;20;31;9;22;3;32;4;21;7;13;12;17;5
27;25;2;28;29;24;19;10;1;11;16;6;18;15;14;26;8;30;23;20;31;9;22;3;32;4;21;7;13;12;17;5;5;28620
5;28620;27;25;2;28;29;24;19;10;1;11;16;6;18;15;14;26;8;30;23;20;31;9;22;3;32;4;21;7;13;12;17;5
20;25;2;28;29;24;19;10;1;11;16;6;18;15;14;26;8;30;23;27;31;9;22;3;32;4;21;7;13;12;17;5;5;28580
5;28580;20;25;2;28;29;24;19;10;1;11;16;6;18;15;14;26;8;30;23;27;31;9;22;3;32;4;21;7;13;12;17;5
20;25;2;28;29;24;19;10;1;11;16;6;17;15;14;26;8;30;23;27;31;9;22;3;32;4;21;7;13;12;18;5;5;29060
5;29060;20;25;2;28;29;24;19;10;1;11;16;6;17;15;14;26;8;30;23;27;31;9;22;3;32;4;21;7;13;12;18;5
20;25;2;28;29;24;19;10;18;11;16;6;17;15;14;26;8;30;23;27;31;9;22;3;32;4;21;7;13;12;1;5;5;28374
5;28374;20;25;2;28;29;24;19;10;18;11;16;6;17;15;14;26;8;30;23;27;31;9;22;3;32;4;21;7;13;12;1;5
16;25;2;28;29;24;19;10;18;11;20;6;17;15;14;26;8;30;23;27;31;9;22;3;32;4;21;7;13;12;1;5;5;28202
5;28202;16;25;2;28;29;24;19;10;18;11;20;6;17;15;14;26;8;30;23;27;31;9;22;3;32;4;21;7;13;12;1;5
16;25;2;28;29;24;19;10;18;17;20;6;11;15;14;26;8;30;23;27;31;9;22;3;32;4;21;7;13;12;1;5;5;27792
5;27792;16;25;2;28;29;24;19;10;18;17;20;6;11;15;14;26;8;30;23;27;31;9;22;3;32;4;21;7;13;12;1;5
16;25;2;28;11;24;19;10;18;17;20;6;29;15;14;26;8;30;23;27;31;9;22;3;32;4;21;7;13;12;1;5;5;27794
5;27794;16;25;2;28;11;24;19;10;18;17;20;6;29;15;14;26;8;30;23;27;31;9;22;3;32;4;21;7;13;12;1;5
16;25;2;30;11;24;19;10;18;17;20;6;29;15;14;26;8;28;23;27;31;9;22;3;32;4;21;7;13;12;1;5;5;27914
5;27914;16;25;2;30;11;24;19;10;18;17;20;6;29;15;14;26;8;28;23;27;31;9;22;3;32;4;21;7;13;12;1;5
16;25;2;30;11;24;19;10;18;17;20;4;29;15;14;26;8;28;23;27;31;9;22;3;32;6;21;7;13;12;1;5;5;28114
5;28114;16;25;2;30;11;24;19;10;18;17;20;4;29;15;14;26;8;28;23;27;31;9;22;3;32;6;21;7;13;12;1;5
16;25;2;30;12;24;19;10;18;17;20;4;29;15;14;26;8;28;23;27;31;9;22;3;32;6;21;7;13;11;1;5;5;28374
5;28374;16;25;2;30;12;24;19;10;18;17;20;4;29;15;14;26;8;28;23;27;31;9;22;3;32;6;21;7;13;11;1;5
16;25;2;30;12;24;4;10;18;17;20;19;29;15;14;26;8;28;23;27;31;9;22;3;32;6;21;7;13;11;1;5;5;29272
5;29272;16;25;2;30;12;24;4;10;18;17;20;19;29;15;14;26;8;28;23;27;31;9;22;3;32;6;21;7;13;11;1;5
16;25;2;30;12;24;4;10;18;17;20;19;29;15;28;26;8;14;23;27;31;9;22;3;32;6;21;7;13;11;1;5;5;29232
