"X1";"X5797184";"X25";"X5";"X16";"X10";"X9";"X22";"X26";"X24";"X20";"X4";"X23";"X18";"X12";"X3";"X6";"X8";"X19";"X2";"X7";"X15";"X17";"X1.1";"X21";"X11";"X14";"X13"
25;5;16;4;10;22;18;24;20;9;23;26;12;3;11;13;19;7;2;15;17;1;21;6;14;8;1;5781473
1;5781473;25;5;16;4;10;22;18;24;20;9;23;26;12;3;11;13;19;7;2;15;17;1;21;6;14;8
19;5;16;4;10;22;18;24;20;9;23;26;12;3;11;13;25;7;2;15;17;1;21;6;14;8;1;5810746
1;5810746;19;5;16;4;10;22;18;24;20;9;23;26;12;3;11;13;25;7;2;15;17;1;21;6;14;8
19;24;16;4;10;22;18;5;20;9;23;26;12;3;11;13;25;7;2;15;17;1;21;6;14;8;1;6061547
1;6061547;19;24;16;4;10;22;18;5;20;9;23;26;12;3;11;13;25;7;2;15;17;1;21;6;14;8
19;24;16;4;10;22;18;5;20;9;23;26;12;3;11;13;25;1;2;15;17;7;21;6;14;8;1;5992288
1;5992288;19;24;16;4;10;22;18;5;20;9;23;26;12;3;11;13;25;1;2;15;17;7;21;6;14;8
19;24;16;4;10;22;8;5;20;9;23;26;12;3;11;13;25;1;2;15;17;7;21;6;14;18;1;6027504
1;6027504;19;24;16;4;10;22;8;5;20;9;23;26;12;3;11;13;25;1;2;15;17;7;21;6;14;18
19;24;16;4;10;22;8;5;20;9;23;26;12;3;11;13;25;2;1;15;17;7;21;6;14;18;1;6038584
1;6038584;19;24;16;4;10;22;8;5;20;9;23;26;12;3;11;13;25;2;1;15;17;7;21;6;14;18
19;24;16;4;10;22;8;5;12;9;23;26;20;3;11;13;25;2;1;15;17;7;21;6;14;18;1;5997893
1;5997893;19;24;16;4;10;22;8;5;12;9;23;26;20;3;11;13;25;2;1;15;17;7;21;6;14;18
19;24;16;4;10;22;8;5;1;9;23;26;20;3;11;13;25;2;12;15;17;7;21;6;14;18;1;6007237
1;6007237;19;24;16;4;10;22;8;5;1;9;23;26;20;3;11;13;25;2;12;15;17;7;21;6;14;18
4;24;16;19;10;22;8;5;1;9;23;26;20;3;11;13;25;2;12;15;17;7;21;6;14;18;1;6033639
1;6033639;4;24;16;19;10;22;8;5;1;9;23;26;20;3;11;13;25;2;12;15;17;7;21;6;14;18
4;24;16;19;10;22;8;5;1;9;23;26;7;3;11;13;25;2;12;15;17;20;21;6;14;18;1;6077735
1;6077735;4;24;16;19;10;22;8;5;1;9;23;26;7;3;11;13;25;2;12;15;17;20;21;6;14;18
4;24;16;19;10;22;8;5;1;9;23;26;7;3;11;13;25;2;12;15;21;20;17;6;14;18;1;6067988
1;6067988;4;24;16;19;10;22;8;5;1;9;23;26;7;3;11;13;25;2;12;15;21;20;17;6;14;18
4;24;16;19;10;22;8;5;1;9;20;26;7;3;11;13;25;2;12;15;21;23;17;6;14;18;1;6022253
1;6022253;4;24;16;19;10;22;8;5;1;9;20;26;7;3;11;13;25;2;12;15;21;23;17;6;14;18
4;24;16;19;10;22;8;5;1;9;20;26;7;3;11;13;25;18;12;15;21;23;17;6;14;2;1;5995065
2;5995065;4;24;16;19;10;22;8;5;1;9;20;26;7;3;11;13;25;18;12;15;21;23;17;6;14;2
4;24;16;19;10;22;8;5;1;26;20;9;7;3;11;13;25;18;12;15;21;23;17;6;14;2;2;5869760
2;5869760;4;24;16;19;10;22;8;5;1;26;20;9;7;3;11;13;25;18;12;15;21;23;17;6;14;2
21;24;16;19;10;22;8;5;1;26;20;9;7;3;11;13;25;18;12;15;4;23;17;6;14;2;2;5883097
2;5883097;21;24;16;19;10;22;8;5;1;26;20;9;7;3;11;13;25;18;12;15;4;23;17;6;14;2
21;24;16;19;10;22;8;20;1;26;5;9;7;3;11;13;25;18;12;15;4;23;17;6;14;2;2;5657125
2;5657125;21;24;16;19;10;22;8;20;1;26;5;9;7;3;11;13;25;18;12;15;4;23;17;6;14;2
21;24;16;19;10;22;8;20;1;26;5;9;15;3;11;13;25;18;12;7;4;23;17;6;14;2;2;5682855
2;5682855;21;24;16;19;10;22;8;20;1;26;5;9;15;3;11;13;25;18;12;7;4;23;17;6;14;2
21;24;9;19;10;22;8;20;1;26;5;16;15;3;11;13;25;18;12;7;4;23;17;6;14;2;2;5737633
2;5737633;21;24;9;19;10;22;8;20;1;26;5;16;15;3;11;13;25;18;12;7;4;23;17;6;14;2
21;24;9;19;10;22;8;20;1;26;5;16;15;3;11;13;25;18;12;7;4;23;6;17;14;2;2;5737633
2;5737633;21;24;9;19;10;22;8;20;1;26;5;16;15;3;11;13;25;18;12;7;4;23;6;17;14;2
21;24;9;19;10;4;8;20;1;26;5;16;15;3;11;13;25;18;12;7;22;23;6;17;14;2;2;5774452
2;5774452;21;24;9;19;10;4;8;20;1;26;5;16;15;3;11;13;25;18;12;7;22;23;6;17;14;2
21;17;9;19;10;4;8;20;1;26;5;16;15;3;11;13;25;18;12;7;22;23;6;24;14;2;2;5774510
2;5774510;21;17;9;19;10;4;8;20;1;26;5;16;15;3;11;13;25;18;12;7;22;23;6;24;14;2
21;17;9;19;10;4;8;20;1;26;5;16;15;6;11;13;25;18;12;7;22;23;3;24;14;2;2;5805128
2;5805128;21;17;9;19;10;4;8;20;1;26;5;16;15;6;11;13;25;18;12;7;22;23;3;24;14;2
21;17;9;19;10;4;8;20;3;26;5;16;15;6;11;13;25;18;12;7;22;23;1;24;14;2;2;5749198
2;5749198;21;17;9;19;10;4;8;20;3;26;5;16;15;6;11;13;25;18;12;7;22;23;1;24;14;2
15;17;9;19;10;4;8;20;3;26;5;16;21;6;11;13;25;18;12;7;22;23;1;24;14;2;2;5739753
2;5739753;15;17;9;19;10;4;8;20;3;26;5;16;21;6;11;13;25;18;12;7;22;23;1;24;14;2
15;17;9;19;10;4;8;20;3;26;5;16;21;6;11;23;25;18;12;7;22;13;1;24;14;2;2;5773984
2;5773984;15;17;9;19;10;4;8;20;3;26;5;16;21;6;11;23;25;18;12;7;22;13;1;24;14;2
15;17;9;19;10;4;8;3;20;26;5;16;21;6;11;23;25;18;12;7;22;13;1;24;14;2;2;5771044
2;5771044;15;17;9;19;10;4;8;3;20;26;5;16;21;6;11;23;25;18;12;7;22;13;1;24;14;2
15;17;9;19;10;4;8;3;20;26;5;16;21;6;11;23;13;18;12;7;22;25;1;24;14;2;2;5711987
2;5711987;15;17;9;19;10;4;8;3;20;26;5;16;21;6;11;23;13;18;12;7;22;25;1;24;14;2
15;17;9;19;10;4;8;3;16;26;5;20;21;6;11;23;13;18;12;7;22;25;1;24;14;2;2;5690335
2;5690335;15;17;9;19;10;4;8;3;16;26;5;20;21;6;11;23;13;18;12;7;22;25;1;24;14;2
15;17;9;19;10;4;14;3;16;26;5;20;21;6;11;23;13;18;12;7;22;25;1;24;8;2;2;5683120
2;5683120;15;17;9;19;10;4;14;3;16;26;5;20;21;6;11;23;13;18;12;7;22;25;1;24;8;2
15;17;9;19;10;4;14;3;16;26;5;21;20;6;11;23;13;18;12;7;22;25;1;24;8;2;2;5703100
2;5703100;15;17;9;19;10;4;14;3;16;26;5;21;20;6;11;23;13;18;12;7;22;25;1;24;8;2
15;17;9;19;10;4;14;25;16;26;5;21;20;6;11;23;13;18;12;7;22;3;1;24;8;2;2;5715571
2;5715571;15;17;9;19;10;4;14;25;16;26;5;21;20;6;11;23;13;18;12;7;22;3;1;24;8;2
8;17;9;19;10;4;14;25;16;26;5;21;20;6;11;23;13;18;12;7;22;3;1;24;15;2;2;5826720
2;5826720;8;17;9;19;10;4;14;25;16;26;5;21;20;6;11;23;13;18;12;7;22;3;1;24;15;2
8;17;9;19;10;4;14;25;16;26;5;21;20;6;11;23;13;18;12;7;22;3;15;24;1;2;2;5852018
3;5852018;8;17;9;19;10;4;14;25;16;26;5;21;20;6;11;23;13;18;12;7;22;3;15;24;1;2
7;17;9;19;10;4;14;25;16;26;5;21;20;6;11;23;13;18;12;8;22;3;15;24;1;2;3;5876042
3;5876042;7;17;9;19;10;4;14;25;16;26;5;21;20;6;11;23;13;18;12;8;22;3;15;24;1;2
7;17;9;19;10;4;14;25;16;22;5;21;20;6;11;23;13;18;12;8;26;3;15;24;1;2;3;5877210
3;5877210;7;17;9;19;10;4;14;25;16;22;5;21;20;6;11;23;13;18;12;8;26;3;15;24;1;2
13;17;9;19;10;4;14;25;16;22;5;21;20;6;11;23;7;18;12;8;26;3;15;24;1;2;3;5874993
3;5874993;13;17;9;19;10;4;14;25;16;22;5;21;20;6;11;23;7;18;12;8;26;3;15;24;1;2
13;17;9;19;10;4;14;25;16;7;5;21;20;6;11;23;22;18;12;8;26;3;15;24;1;2;3;5870936
3;5870936;13;17;9;19;10;4;14;25;16;7;5;21;20;6;11;23;22;18;12;8;26;3;15;24;1;2
13;17;9;2;10;4;14;25;16;7;5;21;20;6;11;23;22;18;12;8;26;3;15;24;1;19;3;5823533
3;5823533;13;17;9;2;10;4;14;25;16;7;5;21;20;6;11;23;22;18;12;8;26;3;15;24;1;19
24;17;9;2;10;4;14;25;16;7;5;21;20;6;11;23;22;18;12;8;26;3;15;13;1;19;3;5818134
3;5818134;24;17;9;2;10;4;14;25;16;7;5;21;20;6;11;23;22;18;12;8;26;3;15;13;1;19
24;17;9;2;10;4;14;25;16;8;5;21;20;6;11;23;22;18;12;7;26;3;15;13;1;19;3;5761314
3;5761314;24;17;9;2;10;4;14;25;16;8;5;21;20;6;11;23;22;18;12;7;26;3;15;13;1;19
24;17;9;5;10;4;14;25;16;8;2;21;20;6;11;23;22;18;12;7;26;3;15;13;1;19;3;5867845
3;5867845;24;17;9;5;10;4;14;25;16;8;2;21;20;6;11;23;22;18;12;7;26;3;15;13;1;19
24;17;9;5;10;18;14;25;16;8;2;21;20;6;11;23;22;4;12;7;26;3;15;13;1;19;3;5882740
3;5882740;24;17;9;5;10;18;14;25;16;8;2;21;20;6;11;23;22;4;12;7;26;3;15;13;1;19
24;17;9;5;10;18;14;25;16;8;2;21;20;6;11;23;22;4;12;7;26;3;13;15;1;19;3;5882740
3;5882740;24;17;9;5;10;18;14;25;16;8;2;21;20;6;11;23;22;4;12;7;26;3;13;15;1;19
24;17;9;2;10;18;14;25;16;8;5;21;20;6;11;23;22;4;12;7;26;3;13;15;1;19;3;5776209
3;5776209;24;17;9;2;10;18;14;25;16;8;5;21;20;6;11;23;22;4;12;7;26;3;13;15;1;19
24;17;9;2;10;20;14;25;16;8;5;21;18;6;11;23;22;4;12;7;26;3;13;15;1;19;3;5809710
3;5809710;24;17;9;2;10;20;14;25;16;8;5;21;18;6;11;23;22;4;12;7;26;3;13;15;1;19
24;17;9;2;10;20;14;25;19;8;5;21;18;6;11;23;22;4;12;7;26;3;13;15;1;16;3;5764838
3;5764838;24;17;9;2;10;20;14;25;19;8;5;21;18;6;11;23;22;4;12;7;26;3;13;15;1;16
24;17;9;2;10;20;14;25;19;8;5;21;6;18;11;23;22;4;12;7;26;3;13;15;1;16;3;5771718
3;5771718;24;17;9;2;10;20;14;25;19;8;5;21;6;18;11;23;22;4;12;7;26;3;13;15;1;16
24;17;9;7;10;20;14;25;19;8;5;21;6;18;11;23;22;4;12;2;26;3;13;15;1;16;3;5759345
3;5759345;24;17;9;7;10;20;14;25;19;8;5;21;6;18;11;23;22;4;12;2;26;3;13;15;1;16
12;17;9;7;10;20;14;25;19;8;5;21;6;18;11;23;22;4;24;2;26;3;13;15;1;16;3;5803907
3;5803907;12;17;9;7;10;20;14;25;19;8;5;21;6;18;11;23;22;4;24;2;26;3;13;15;1;16
12;17;9;7;10;18;14;25;19;8;5;21;6;20;11;23;22;4;24;2;26;3;13;15;1;16;3;5787397
3;5787397;12;17;9;7;10;18;14;25;19;8;5;21;6;20;11;23;22;4;24;2;26;3;13;15;1;16
12;17;9;15;10;18;14;25;19;8;5;21;6;20;11;23;22;4;24;2;26;3;13;7;1;16;3;5793340
3;5793340;12;17;9;15;10;18;14;25;19;8;5;21;6;20;11;23;22;4;24;2;26;3;13;7;1;16
12;17;9;15;10;18;14;25;19;8;5;21;6;20;11;13;22;4;24;2;26;3;23;7;1;16;3;5783225
3;5783225;12;17;9;15;10;18;14;25;19;8;5;21;6;20;11;13;22;4;24;2;26;3;23;7;1;16
12;21;9;15;10;18;14;25;19;8;5;17;6;20;11;13;22;4;24;2;26;3;23;7;1;16;3;5809822
4;5809822;12;21;9;15;10;18;14;25;19;8;5;17;6;20;11;13;22;4;24;2;26;3;23;7;1;16
12;21;9;15;10;18;14;25;19;8;5;17;6;20;11;13;22;4;24;26;2;3;23;7;1;16;4;5789146
4;5789146;12;21;9;15;10;18;14;25;19;8;5;17;6;20;11;13;22;4;24;26;2;3;23;7;1;16
12;21;9;15;10;18;14;25;19;8;5;17;6;20;11;13;22;4;24;26;7;3;23;2;1;16;4;5788324
4;5788324;12;21;9;15;10;18;14;25;19;8;5;17;6;20;11;13;22;4;24;26;7;3;23;2;1;16
12;21;9;15;18;10;14;25;19;8;5;17;6;20;11;13;22;4;24;26;7;3;23;2;1;16;4;5844679
4;5844679;12;21;9;15;18;10;14;25;19;8;5;17;6;20;11;13;22;4;24;26;7;3;23;2;1;16
12;21;9;15;18;10;14;25;19;1;5;17;6;20;11;13;22;4;24;26;7;3;23;2;8;16;4;5806477
4;5806477;12;21;9;15;18;10;14;25;19;1;5;17;6;20;11;13;22;4;24;26;7;3;23;2;8;16
12;21;9;15;1;10;14;25;19;18;5;17;6;20;11;13;22;4;24;26;7;3;23;2;8;16;4;5726910
4;5726910;12;21;9;15;1;10;14;25;19;18;5;17;6;20;11;13;22;4;24;26;7;3;23;2;8;16
12;21;9;15;1;10;14;25;19;18;7;17;6;20;11;13;22;4;24;26;5;3;23;2;8;16;4;5880893
4;5880893;12;21;9;15;1;10;14;25;19;18;7;17;6;20;11;13;22;4;24;26;5;3;23;2;8;16
12;21;9;15;1;10;11;25;19;18;7;17;6;20;14;13;22;4;24;26;5;3;23;2;8;16;4;6043194
4;6043194;12;21;9;15;1;10;11;25;19;18;7;17;6;20;14;13;22;4;24;26;5;3;23;2;8;16
12;21;9;15;1;23;11;25;19;18;7;17;6;20;14;13;22;4;24;26;5;3;10;2;8;16;4;6014213
4;6014213;12;21;9;15;1;23;11;25;19;18;7;17;6;20;14;13;22;4;24;26;5;3;10;2;8;16
21;12;9;15;1;23;11;25;19;18;7;17;6;20;14;13;22;4;24;26;5;3;10;2;8;16;4;6040242
4;6040242;21;12;9;15;1;23;11;25;19;18;7;17;6;20;14;13;22;4;24;26;5;3;10;2;8;16
21;12;9;15;1;23;11;25;19;18;7;5;6;20;14;13;22;4;24;26;17;3;10;2;8;16;4;5824499
4;5824499;21;12;9;15;1;23;11;25;19;18;7;5;6;20;14;13;22;4;24;26;17;3;10;2;8;16
21;12;9;15;1;23;11;25;19;18;7;5;6;20;14;3;22;4;24;26;17;13;10;2;8;16;4;5910342
4;5910342;21;12;9;15;1;23;11;25;19;18;7;5;6;20;14;3;22;4;24;26;17;13;10;2;8;16
21;12;9;15;1;23;11;5;19;18;7;25;6;20;14;3;22;4;24;26;17;13;10;2;8;16;4;5965973
4;5965973;21;12;9;15;1;23;11;5;19;18;7;25;6;20;14;3;22;4;24;26;17;13;10;2;8;16
21;12;9;15;1;23;11;5;2;18;7;25;6;20;14;3;22;4;24;26;17;13;10;19;8;16;4;6024214
4;6024214;21;12;9;15;1;23;11;5;2;18;7;25;6;20;14;3;22;4;24;26;17;13;10;19;8;16
21;12;9;15;1;23;11;5;2;14;7;25;6;20;18;3;22;4;24;26;17;13;10;19;8;16;4;5967643
4;5967643;21;12;9;15;1;23;11;5;2;14;7;25;6;20;18;3;22;4;24;26;17;13;10;19;8;16
21;12;9;15;14;23;11;5;2;1;7;25;6;20;18;3;22;4;24;26;17;13;10;19;8;16;4;5923130
4;5923130;21;12;9;15;14;23;11;5;2;1;7;25;6;20;18;3;22;4;24;26;17;13;10;19;8;16
21;12;9;15;14;23;11;5;2;1;7;25;6;20;18;3;22;26;24;4;17;13;10;19;8;16;4;5920719
4;5920719;21;12;9;15;14;23;11;5;2;1;7;25;6;20;18;3;22;26;24;4;17;13;10;19;8;16
21;3;9;15;14;23;11;5;2;1;7;25;6;20;18;12;22;26;24;4;17;13;10;19;8;16;4;5888228
4;5888228;21;3;9;15;14;23;11;5;2;1;7;25;6;20;18;12;22;26;24;4;17;13;10;19;8;16
21;3;9;15;14;23;11;7;2;1;5;25;6;20;18;12;22;26;24;4;17;13;10;19;8;16;4;6026925
4;6026925;21;3;9;15;14;23;11;7;2;1;5;25;6;20;18;12;22;26;24;4;17;13;10;19;8;16
9;3;21;15;14;23;11;7;2;1;5;25;6;20;18;12;22;26;24;4;17;13;10;19;8;16;4;6084339
4;6084339;9;3;21;15;14;23;11;7;2;1;5;25;6;20;18;12;22;26;24;4;17;13;10;19;8;16
9;3;21;15;14;23;11;6;2;1;5;25;7;20;18;12;22;26;24;4;17;13;10;19;8;16;4;6080247
5;6080247;9;3;21;15;14;23;11;6;2;1;5;25;7;20;18;12;22;26;24;4;17;13;10;19;8;16
9;3;21;24;14;23;11;6;2;1;5;25;7;20;18;12;22;26;15;4;17;13;10;19;8;16;5;6027521
5;6027521;9;3;21;24;14;23;11;6;2;1;5;25;7;20;18;12;22;26;15;4;17;13;10;19;8;16
9;3;21;24;14;23;16;6;2;1;5;25;7;20;18;12;22;26;15;4;17;13;10;19;8;11;5;6027128
5;6027128;9;3;21;24;14;23;16;6;2;1;5;25;7;20;18;12;22;26;15;4;17;13;10;19;8;11
3;9;21;24;14;23;16;6;2;1;5;25;7;20;18;12;22;26;15;4;17;13;10;19;8;11;5;5960919
5;5960919;3;9;21;24;14;23;16;6;2;1;5;25;7;20;18;12;22;26;15;4;17;13;10;19;8;11
5;9;21;24;14;23;16;6;2;1;3;25;7;20;18;12;22;26;15;4;17;13;10;19;8;11;5;6120872
5;6120872;5;9;21;24;14;23;16;6;2;1;3;25;7;20;18;12;22;26;15;4;17;13;10;19;8;11
5;9;21;4;14;23;16;6;2;1;3;25;7;20;18;12;22;26;15;24;17;13;10;19;8;11;5;6052518
5;6052518;5;9;21;4;14;23;16;6;2;1;3;25;7;20;18;12;22;26;15;24;17;13;10;19;8;11
5;9;21;4;14;23;16;6;11;1;3;25;7;20;18;12;22;26;15;24;17;13;10;19;8;2;5;6058184
5;6058184;5;9;21;4;14;23;16;6;11;1;3;25;7;20;18;12;22;26;15;24;17;13;10;19;8;2
5;9;21;4;14;23;16;15;11;1;3;25;7;20;18;12;22;26;6;24;17;13;10;19;8;2;5;6070781
5;6070781;5;9;21;4;14;23;16;15;11;1;3;25;7;20;18;12;22;26;6;24;17;13;10;19;8;2
5;9;21;4;26;23;16;15;11;1;3;25;7;20;18;12;22;14;6;24;17;13;10;19;8;2;5;5940235
5;5940235;5;9;21;4;26;23;16;15;11;1;3;25;7;20;18;12;22;14;6;24;17;13;10;19;8;2
5;9;21;13;26;23;16;15;11;1;3;25;7;20;18;12;22;14;6;24;17;4;10;19;8;2;5;5936691
5;5936691;5;9;21;13;26;23;16;15;11;1;3;25;7;20;18;12;22;14;6;24;17;4;10;19;8;2
5;9;21;13;26;23;16;15;11;1;3;25;7;4;18;12;22;14;6;24;17;20;10;19;8;2;5;5984276
5;5984276;5;9;21;13;26;23;16;15;11;1;3;25;7;4;18;12;22;14;6;24;17;20;10;19;8;2
5;9;21;13;26;23;16;15;11;1;3;25;7;4;18;12;22;14;6;2;17;20;10;19;8;24;5;6034939
5;6034939;5;9;21;13;26;23;16;15;11;1;3;25;7;4;18;12;22;14;6;2;17;20;10;19;8;24
5;9;21;13;26;23;16;15;11;1;3;6;7;4;18;12;22;14;25;2;17;20;10;19;8;24;5;6044231
5;6044231;5;9;21;13;26;23;16;15;11;1;3;6;7;4;18;12;22;14;25;2;17;20;10;19;8;24
5;9;21;13;26;23;16;15;11;1;3;6;19;4;18;12;22;14;25;2;17;20;10;7;8;24;5;6001110
5;6001110;5;9;21;13;26;23;16;15;11;1;3;6;19;4;18;12;22;14;25;2;17;20;10;7;8;24
5;9;21;13;26;23;16;19;11;1;3;6;15;4;18;12;22;14;25;2;17;20;10;7;8;24;5;5933179
5;5933179;5;9;21;13;26;23;16;19;11;1;3;6;15;4;18;12;22;14;25;2;17;20;10;7;8;24
5;9;21;13;26;23;16;19;11;1;3;6;15;4;18;8;22;14;25;2;17;20;10;7;12;24;5;5937729
5;5937729;5;9;21;13;26;23;16;19;11;1;3;6;15;4;18;8;22;14;25;2;17;20;10;7;12;24
5;9;21;13;26;23;7;19;11;1;3;6;15;4;18;8;22;14;25;2;17;20;10;16;12;24;5;5913426
5;5913426;5;9;21;13;26;23;7;19;11;1;3;6;15;4;18;8;22;14;25;2;17;20;10;16;12;24
5;9;21;13;26;7;23;19;11;1;3;6;15;4;18;8;22;14;25;2;17;20;10;16;12;24;5;5913426
5;5913426;5;9;21;13;26;7;23;19;11;1;3;6;15;4;18;8;22;14;25;2;17;20;10;16;12;24
5;9;21;13;26;7;25;19;11;1;3;6;15;4;18;8;22;14;23;2;17;20;10;16;12;24;5;5912763
5;5912763;5;9;21;13;26;7;25;19;11;1;3;6;15;4;18;8;22;14;23;2;17;20;10;16;12;24
5;9;3;13;26;7;25;19;11;1;21;6;15;4;18;8;22;14;23;2;17;20;10;16;12;24;5;5907823
5;5907823;5;9;3;13;26;7;25;19;11;1;21;6;15;4;18;8;22;14;23;2;17;20;10;16;12;24
5;9;3;13;26;7;25;19;11;24;21;6;15;4;18;8;22;14;23;2;17;20;10;16;12;1;5;5926738
6;5926738;5;9;3;13;26;7;25;19;11;24;21;6;15;4;18;8;22;14;23;2;17;20;10;16;12;1
5;9;3;13;26;7;25;19;11;24;21;6;15;14;18;8;22;4;23;2;17;20;10;16;12;1;6;5892396
6;5892396;5;9;3;13;26;7;25;19;11;24;21;6;15;14;18;8;22;4;23;2;17;20;10;16;12;1
7;9;3;13;26;5;25;19;11;24;21;6;15;14;18;8;22;4;23;2;17;20;10;16;12;1;6;5786973
6;5786973;7;9;3;13;26;5;25;19;11;24;21;6;15;14;18;8;22;4;23;2;17;20;10;16;12;1
7;9;3;13;26;5;25;19;11;24;21;6;15;14;18;8;22;4;23;2;16;20;10;17;12;1;6;5788662
6;5788662;7;9;3;13;26;5;25;19;11;24;21;6;15;14;18;8;22;4;23;2;16;20;10;17;12;1
7;9;3;13;26;5;25;19;11;24;21;6;15;8;18;14;22;4;23;2;16;20;10;17;12;1;6;5869325
6;5869325;7;9;3;13;26;5;25;19;11;24;21;6;15;8;18;14;22;4;23;2;16;20;10;17;12;1
7;9;3;13;26;5;23;19;11;24;21;6;15;8;18;14;22;4;25;2;16;20;10;17;12;1;6;5874289
6;5874289;7;9;3;13;26;5;23;19;11;24;21;6;15;8;18;14;22;4;25;2;16;20;10;17;12;1
7;9;3;13;26;5;23;19;11;24;21;17;15;8;18;14;22;4;25;2;16;20;10;6;12;1;6;5887950
6;5887950;7;9;3;13;26;5;23;19;11;24;21;17;15;8;18;14;22;4;25;2;16;20;10;6;12;1
7;9;3;13;6;5;23;19;11;24;21;17;15;8;18;14;22;4;25;2;16;20;10;26;12;1;6;5887721
6;5887721;7;9;3;13;6;5;23;19;11;24;21;17;15;8;18;14;22;4;25;2;16;20;10;26;12;1
7;9;3;13;6;5;23;19;11;24;21;17;15;8;18;14;22;4;25;20;16;2;10;26;12;1;6;5889171
6;5889171;7;9;3;13;6;5;23;19;11;24;21;17;15;8;18;14;22;4;25;20;16;2;10;26;12;1
7;9;3;15;6;5;23;19;11;24;21;17;13;8;18;14;22;4;25;20;16;2;10;26;12;1;6;5900680
6;5900680;7;9;3;15;6;5;23;19;11;24;21;17;13;8;18;14;22;4;25;20;16;2;10;26;12;1
7;9;5;15;6;3;23;19;11;24;21;17;13;8;18;14;22;4;25;20;16;2;10;26;12;1;6;5962432
6;5962432;7;9;5;15;6;3;23;19;11;24;21;17;13;8;18;14;22;4;25;20;16;2;10;26;12;1
7;9;5;15;6;3;24;19;11;23;21;17;13;8;18;14;22;4;25;20;16;2;10;26;12;1;6;5958888
6;5958888;7;9;5;15;6;3;24;19;11;23;21;17;13;8;18;14;22;4;25;20;16;2;10;26;12;1
7;9;26;15;6;3;24;19;11;23;21;17;13;8;18;14;22;4;25;20;16;2;10;5;12;1;6;6007467
6;6007467;7;9;26;15;6;3;24;19;11;23;21;17;13;8;18;14;22;4;25;20;16;2;10;5;12;1
7;9;26;15;20;3;24;19;11;23;21;17;13;8;18;14;22;4;25;6;16;2;10;5;12;1;6;6013538
6;6013538;7;9;26;15;20;3;24;19;11;23;21;17;13;8;18;14;22;4;25;6;16;2;10;5;12;1
7;26;9;15;20;3;24;19;11;23;21;17;13;8;18;14;22;4;25;6;16;2;10;5;12;1;6;6020809
6;6020809;7;26;9;15;20;3;24;19;11;23;21;17;13;8;18;14;22;4;25;6;16;2;10;5;12;1
7;26;9;23;20;3;24;19;11;15;21;17;13;8;18;14;22;4;25;6;16;2;10;5;12;1;6;6048793
6;6048793;7;26;9;23;20;3;24;19;11;15;21;17;13;8;18;14;22;4;25;6;16;2;10;5;12;1
7;26;9;23;20;3;24;8;11;15;21;17;13;19;18;14;22;4;25;6;16;2;10;5;12;1;6;6100853
6;6100853;7;26;9;23;20;3;24;8;11;15;21;17;13;19;18;14;22;4;25;6;16;2;10;5;12;1
7;26;9;23;20;3;24;8;11;15;21;17;13;19;18;14;22;12;25;6;16;2;10;5;4;1;6;6113387
6;6113387;7;26;9;23;20;3;24;8;11;15;21;17;13;19;18;14;22;12;25;6;16;2;10;5;4;1
7;26;9;23;20;17;24;8;11;15;21;3;13;19;18;14;22;12;25;6;16;2;10;5;4;1;6;6055906
6;6055906;7;26;9;23;20;17;24;8;11;15;21;3;13;19;18;14;22;12;25;6;16;2;10;5;4;1
