"X1";"X286";"X38";"X39";"X9";"X32";"X14";"X22";"X43";"X44";"X18";"X21";"X58";"X42";"X29";"X16";"X1.1";"X10";"X36";"X25";"X23";"X8";"X15";"X62";"X28";"X56";"X20";"X37";"X11";"X64";"X31";"X34";"X55";"X59";"X7";"X46";"X52";"X17";"X33";"X24";"X47";"X3";"X51";"X40";"X4";"X49";"X45";"X26";"X61";"X53";"X6";"X60";"X5";"X57";"X50";"X48";"X12";"X19";"X27";"X2";"X54";"X41";"X30";"X35";"X13";"X63"
1;288;38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;19;11;46;37;34;16;59;7;64;35;17;58;24;47;3;51;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;56;2;26;41;9;52;33;12
23;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;38;42;15;62;28;40;20;19;11;46;37;34;16;59;7;64;35;17;58;24;47;3;51;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;56;2;26;41;9;52;33;12;1;288
1;288;23;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;38;42;15;62;28;40;20;19;11;46;37;34;16;59;7;64;35;17;58;24;47;3;51;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;56;2;26;41;9;52;33;12
23;39;30;32;14;22;43;44;21;18;13;8;29;55;56;10;36;25;38;42;15;62;28;40;20;19;11;46;37;34;16;59;7;64;35;17;58;24;47;3;51;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;9;52;33;12;1;278
1;278;23;39;30;32;14;22;43;44;21;18;13;8;29;55;56;10;36;25;38;42;15;62;28;40;20;19;11;46;37;34;16;59;7;64;35;17;58;24;47;3;51;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;9;52;33;12
23;39;30;32;14;22;43;44;21;18;13;8;29;55;56;10;36;25;38;42;51;62;28;40;20;19;11;46;37;34;16;59;7;64;35;17;58;24;47;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;9;52;33;12;1;278
1;278;23;39;30;32;14;22;43;44;21;18;13;8;29;55;56;10;36;25;38;42;51;62;28;40;20;19;11;46;37;34;16;59;7;64;35;17;58;24;47;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;9;52;33;12
23;39;30;32;14;22;43;44;21;18;13;8;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;34;16;59;7;64;35;62;58;24;47;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;9;52;33;12;1;278
2;278;23;39;30;32;14;22;43;44;21;18;13;8;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;34;16;59;7;64;35;62;58;24;47;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;9;52;33;12
23;7;30;32;14;22;43;44;21;18;13;8;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;34;16;59;39;64;35;62;58;24;47;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;9;52;33;12;2;276
2;276;23;7;30;32;14;22;43;44;21;18;13;8;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;34;16;59;39;64;35;62;58;24;47;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;9;52;33;12
23;7;14;32;30;22;43;44;21;18;13;8;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;34;16;59;39;64;35;62;58;24;47;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;9;52;33;12;2;274
2;274;23;7;14;32;30;22;43;44;21;18;13;8;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;34;16;59;39;64;35;62;58;24;47;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;9;52;33;12
23;7;14;32;30;22;43;44;21;18;13;8;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;34;16;59;39;64;35;62;58;24;9;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;47;52;33;12;2;268
2;268;23;7;14;32;30;22;43;44;21;18;13;8;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;34;16;59;39;64;35;62;58;24;9;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;47;52;33;12
23;7;14;32;30;22;43;44;21;18;13;34;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;47;52;33;12;2;268
2;268;23;7;14;32;30;22;43;44;21;18;13;34;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;47;52;33;12
23;7;14;32;47;22;43;44;21;18;13;34;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;30;52;33;12;2;268
2;268;23;7;14;32;47;22;43;44;21;18;13;34;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;1;2;26;41;30;52;33;12
23;7;14;32;47;22;61;44;21;18;13;34;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;4;27;45;49;43;53;6;60;5;57;50;48;63;31;1;2;26;41;30;52;33;12;2;268
2;268;23;7;14;32;47;22;61;44;21;18;13;34;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;4;27;45;49;43;53;6;60;5;57;50;48;63;31;1;2;26;41;30;52;33;12
23;7;14;32;47;22;61;44;21;18;13;34;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;49;27;45;4;43;53;6;60;5;57;50;48;63;31;1;2;26;41;30;52;33;12;2;268
2;268;23;7;14;32;47;22;61;44;21;18;13;34;29;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;49;27;45;4;43;53;6;60;5;57;50;48;63;31;1;2;26;41;30;52;33;12
23;7;14;32;47;22;29;44;21;18;13;34;61;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;49;27;45;4;43;53;6;60;5;57;50;48;63;31;1;2;26;41;30;52;33;12;2;268
2;268;23;7;14;32;47;22;29;44;21;18;13;34;61;55;56;10;36;25;38;42;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;49;27;45;4;43;53;6;60;5;57;50;48;63;31;1;2;26;41;30;52;33;12
23;7;14;32;47;22;29;44;21;18;13;34;61;55;56;10;36;25;38;26;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;49;27;45;4;43;53;6;60;5;57;50;48;63;31;1;2;42;41;30;52;33;12;2;260
2;260;23;7;14;32;47;22;29;44;21;18;13;34;61;55;56;10;36;25;38;26;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;49;27;45;4;43;53;6;60;5;57;50;48;63;31;1;2;42;41;30;52;33;12
23;7;14;32;47;22;29;44;21;18;13;34;61;55;56;10;36;25;38;26;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;27;45;4;43;53;6;60;5;57;50;48;63;31;1;2;42;41;30;52;33;49;2;260
2;260;23;7;14;32;47;22;29;44;21;18;13;34;61;55;56;10;36;25;38;26;51;17;28;40;20;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;27;45;4;43;53;6;60;5;57;50;48;63;31;1;2;42;41;30;52;33;49
23;7;14;32;47;22;29;44;21;18;13;34;61;55;56;10;36;25;38;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;27;45;4;43;53;6;60;5;57;50;48;63;31;1;2;42;41;30;52;33;49;2;260
2;260;23;7;14;32;47;22;29;44;21;18;13;34;61;55;56;10;36;25;38;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;27;45;4;43;53;6;60;5;57;50;48;63;31;1;2;42;41;30;52;33;49
23;7;14;32;47;22;9;44;21;18;13;34;61;55;56;10;36;25;38;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;29;3;15;54;12;27;45;4;43;53;6;60;5;57;50;48;63;31;1;2;42;41;30;52;33;49;2;272
2;260;23;7;14;32;47;22;29;44;21;18;13;34;61;55;56;10;36;25;38;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;27;45;4;43;53;6;60;5;57;50;48;63;31;1;2;42;41;30;52;33;49
23;7;14;32;47;22;29;44;21;18;13;34;61;55;56;10;36;25;38;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;27;52;4;43;53;6;60;5;57;50;48;63;31;1;2;42;41;30;45;33;49;2;260
2;260;23;7;14;32;47;22;29;44;21;18;13;34;61;55;56;10;36;25;38;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;27;52;4;43;53;6;60;5;57;50;48;63;31;1;2;42;41;30;45;33;49
23;7;14;32;47;22;29;44;38;18;13;34;61;55;56;10;36;25;21;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;27;52;4;43;53;6;60;5;57;50;48;63;31;1;2;42;41;30;45;33;49;2;264
2;264;23;7;14;32;47;22;29;44;38;18;13;34;61;55;56;10;36;25;21;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;27;52;4;43;53;6;60;5;57;50;48;63;31;1;2;42;41;30;45;33;49
23;7;14;32;47;22;29;44;38;18;13;34;61;55;56;10;36;25;21;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;27;52;4;43;53;6;60;5;57;50;48;63;31;1;49;42;41;30;45;33;2;2;264
2;264;23;7;14;32;47;22;29;44;38;18;13;34;61;55;56;10;36;25;21;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;27;52;4;43;53;6;60;5;57;50;48;63;31;1;49;42;41;30;45;33;2
23;7;14;32;47;22;29;56;38;18;13;34;61;55;44;10;36;25;21;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;27;52;4;43;53;6;60;5;57;50;48;63;31;1;49;42;41;30;45;33;2;2;270
2;270;23;7;14;32;47;22;29;56;38;18;13;34;61;55;44;10;36;25;21;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;27;52;4;43;53;6;60;5;57;50;48;63;31;1;49;42;41;30;45;33;2
23;7;14;32;47;22;29;56;38;18;13;34;61;55;44;10;36;25;21;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;45;52;4;43;53;6;60;5;57;50;48;63;31;1;49;42;41;30;27;33;2;2;274
2;274;23;7;14;32;47;22;29;56;38;18;13;34;61;55;44;10;36;25;21;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;45;52;4;43;53;6;60;5;57;50;48;63;31;1;49;42;41;30;27;33;2
23;7;14;32;47;22;29;56;38;18;13;34;61;55;44;10;36;25;21;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;45;33;4;43;53;6;60;5;57;50;48;63;31;1;49;42;41;30;27;52;2;2;274
2;274;23;7;14;32;47;22;29;56;38;18;13;34;61;55;44;10;36;25;21;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;45;33;4;43;53;6;60;5;57;50;48;63;31;1;49;42;41;30;27;52;2
23;7;14;32;47;22;29;56;38;18;13;34;61;55;44;52;36;25;21;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;45;33;4;43;53;6;60;5;57;50;48;63;31;1;49;42;41;30;27;10;2;2;274
2;274;23;7;14;32;47;22;29;56;38;18;13;34;61;55;44;52;36;25;21;26;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;12;45;33;4;43;53;6;60;5;57;50;48;63;31;1;49;42;41;30;27;10;2
23;7;14;32;47;22;29;56;38;18;13;34;61;55;44;52;36;25;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;26;45;33;4;43;53;6;60;5;57;50;48;63;31;1;49;42;41;30;27;10;2;2;274
3;274;23;7;14;32;47;22;29;56;38;18;13;34;61;55;44;52;36;25;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;26;45;33;4;43;53;6;60;5;57;50;48;63;31;1;49;42;41;30;27;10;2
23;7;14;32;47;22;29;56;38;18;13;34;61;55;44;52;36;25;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;26;45;33;4;43;53;6;60;5;57;50;48;63;31;1;49;30;41;42;27;10;2;3;274
3;274;23;7;14;32;47;22;29;56;38;18;13;34;61;55;44;52;36;25;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;26;45;33;4;43;53;6;60;5;57;50;48;63;31;1;49;30;41;42;27;10;2
23;7;14;32;25;22;29;56;38;18;13;34;61;55;44;52;36;47;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;26;45;33;4;43;53;6;60;5;57;50;48;63;31;1;49;30;41;42;27;10;2;3;274
3;274;23;7;14;32;25;22;29;56;38;18;13;34;61;55;44;52;36;47;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;26;45;33;4;43;53;6;60;5;57;50;48;63;31;1;49;30;41;42;27;10;2
23;7;14;32;25;57;29;56;38;18;13;34;61;55;44;52;36;47;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;26;45;33;4;43;53;6;60;5;22;50;48;63;31;1;49;30;41;42;27;10;2;3;278
3;278;23;7;14;32;25;57;29;56;38;18;13;34;61;55;44;52;36;47;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;24;9;3;15;54;26;45;33;4;43;53;6;60;5;22;50;48;63;31;1;49;30;41;42;27;10;2
23;7;14;32;25;57;29;56;38;18;13;34;61;55;24;52;36;47;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;44;9;3;15;54;26;45;33;4;43;53;6;60;5;22;50;48;63;31;1;49;30;41;42;27;10;2;3;270
3;270;23;7;14;32;25;57;29;56;38;18;13;34;61;55;24;52;36;47;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;44;9;3;15;54;26;45;33;4;43;53;6;60;5;22;50;48;63;31;1;49;30;41;42;27;10;2
23;7;14;32;25;57;29;56;38;18;13;34;61;55;24;52;36;47;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;44;30;3;15;54;26;45;33;4;43;53;6;60;5;22;50;48;63;31;1;49;9;41;42;27;10;2;3;288
3;288;23;7;14;32;25;57;29;56;38;18;13;34;61;55;24;52;36;47;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;44;30;3;15;54;26;45;33;4;43;53;6;60;5;22;50;48;63;31;1;49;9;41;42;27;10;2
23;7;14;32;25;57;29;56;38;18;13;34;61;55;24;52;36;47;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;44;30;3;15;54;26;45;33;42;43;53;6;60;5;22;50;48;63;31;1;49;9;41;4;27;10;2;3;284
3;284;23;7;14;32;25;57;29;56;38;18;13;34;61;55;24;52;36;47;21;12;51;17;28;20;40;19;11;46;37;8;16;59;39;64;35;62;58;44;30;3;15;54;26;45;33;42;43;53;6;60;5;22;50;48;63;31;1;49;9;41;4;27;10;2
23;7;14;32;25;57;29;56;38;18;13;34;61;55;24;52;36;47;21;12;51;17;39;20;40;19;11;46;37;8;16;59;28;64;35;62;58;44;30;3;15;54;26;45;33;42;43;53;6;60;5;22;50;48;63;31;1;49;9;41;4;27;10;2;3;290
3;290;23;7;14;32;25;57;29;56;38;18;13;34;61;55;24;52;36;47;21;12;51;17;39;20;40;19;11;46;37;8;16;59;28;64;35;62;58;44;30;3;15;54;26;45;33;42;43;53;6;60;5;22;50;48;63;31;1;49;9;41;4;27;10;2
23;7;14;32;25;57;29;56;38;18;13;34;61;55;24;52;36;47;21;12;51;17;39;20;6;19;11;46;37;8;16;59;28;64;35;62;58;44;30;3;15;54;26;45;33;42;43;53;40;60;5;22;50;48;63;31;1;49;9;41;4;27;10;2;3;290
3;290;23;7;14;32;25;57;29;56;38;18;13;34;61;55;24;52;36;47;21;12;51;17;39;20;6;19;11;46;37;8;16;59;28;64;35;62;58;44;30;3;15;54;26;45;33;42;43;53;40;60;5;22;50;48;63;31;1;49;9;41;4;27;10;2
23;7;14;32;25;57;29;56;38;18;13;34;61;36;24;52;55;47;21;12;51;17;39;20;6;19;11;46;37;8;16;59;28;64;35;62;58;44;30;3;15;54;26;45;33;42;43;53;40;60;5;22;50;48;63;31;1;49;9;41;4;27;10;2;3;294
3;294;23;7;14;32;25;57;29;56;38;18;13;34;61;36;24;52;55;47;21;12;51;17;39;20;6;19;11;46;37;8;16;59;28;64;35;62;58;44;30;3;15;54;26;45;33;42;43;53;40;60;5;22;50;48;63;31;1;49;9;41;4;27;10;2
23;7;14;32;25;57;29;56;38;18;48;34;61;36;24;52;55;47;21;12;51;17;39;20;6;19;11;46;37;8;16;59;28;64;35;62;58;44;30;3;15;54;26;45;33;42;43;53;40;60;5;22;50;13;63;31;1;49;9;41;4;27;10;2;3;286
3;286;23;7;14;32;25;57;29;56;38;18;48;34;61;36;24;52;55;47;21;12;51;17;39;20;6;19;11;46;37;8;16;59;28;64;35;62;58;44;30;3;15;54;26;45;33;42;43;53;40;60;5;22;50;13;63;31;1;49;9;41;4;27;10;2
23;7;14;32;25;57;29;56;38;18;48;34;61;28;24;52;55;47;21;12;51;17;39;20;6;19;11;46;37;8;16;59;36;64;35;62;58;44;30;3;15;54;26;45;33;42;43;53;40;60;5;22;50;13;63;31;1;49;9;41;4;27;10;2;3;276
