"X1";"X5821855";"X5";"X7";"X25";"X14";"X16";"X9";"X26";"X21";"X1.1";"X2";"X8";"X18";"X12";"X22";"X23";"X20";"X24";"X3";"X15";"X17";"X11";"X19";"X10";"X13";"X4";"X6"
7;6;25;15;9;23;13;8;11;1;3;5;19;22;10;21;26;16;12;17;20;24;2;18;4;14;2;5898280
2;5898280;7;6;25;15;9;23;13;8;11;1;3;5;19;22;10;21;26;16;12;17;20;24;2;18;4;14
7;12;25;15;9;23;13;8;11;1;3;5;19;22;10;21;26;16;6;17;20;24;2;18;4;14;2;5931941
2;5931941;7;12;25;15;9;23;13;8;11;1;3;5;19;22;10;21;26;16;6;17;20;24;2;18;4;14
7;12;25;15;9;23;13;21;11;1;3;5;19;22;10;8;26;16;6;17;20;24;2;18;4;14;2;5931914
2;5931914;7;12;25;15;9;23;13;21;11;1;3;5;19;22;10;8;26;16;6;17;20;24;2;18;4;14
7;12;25;15;9;23;13;21;5;1;3;11;19;22;10;8;26;16;6;17;20;24;2;18;4;14;2;5954028
2;5954028;7;12;25;15;9;23;13;21;5;1;3;11;19;22;10;8;26;16;6;17;20;24;2;18;4;14
7;12;25;15;9;23;13;21;5;1;3;11;19;22;10;4;26;16;6;17;20;24;2;18;8;14;2;5958096
3;5958096;7;12;25;15;9;23;13;21;5;1;3;11;19;22;10;4;26;16;6;17;20;24;2;18;8;14
18;12;25;15;9;23;13;21;5;1;3;11;19;22;10;4;26;16;6;17;20;24;2;7;8;14;3;5938678
3;5938678;18;12;25;15;9;23;13;21;5;1;3;11;19;22;10;4;26;16;6;17;20;24;2;7;8;14
18;12;25;15;9;23;13;21;5;1;3;11;19;20;10;4;26;16;6;17;22;24;2;7;8;14;3;5861018
3;5861018;18;12;25;15;9;23;13;21;5;1;3;11;19;20;10;4;26;16;6;17;22;24;2;7;8;14
18;12;25;3;9;23;13;21;5;1;15;11;19;20;10;4;26;16;6;17;22;24;2;7;8;14;3;5864761
3;5864761;18;12;25;3;9;23;13;21;5;1;15;11;19;20;10;4;26;16;6;17;22;24;2;7;8;14
18;12;25;3;9;23;13;21;5;22;15;11;19;20;10;4;26;16;6;17;1;24;2;7;8;14;3;5893396
3;5893396;18;12;25;3;9;23;13;21;5;22;15;11;19;20;10;4;26;16;6;17;1;24;2;7;8;14
18;12;25;3;9;23;15;21;5;22;13;11;19;20;10;4;26;16;6;17;1;24;2;7;8;14;3;5920232
3;5920232;18;12;25;3;9;23;15;21;5;22;13;11;19;20;10;4;26;16;6;17;1;24;2;7;8;14
18;12;6;3;9;23;15;21;5;22;13;11;19;20;10;4;26;16;25;17;1;24;2;7;8;14;3;5926110
3;5926110;18;12;6;3;9;23;15;21;5;22;13;11;19;20;10;4;26;16;25;17;1;24;2;7;8;14
18;12;6;3;9;14;15;21;5;22;13;11;19;20;10;4;26;16;25;17;1;24;2;7;8;23;3;5883715
3;5883715;18;12;6;3;9;14;15;21;5;22;13;11;19;20;10;4;26;16;25;17;1;24;2;7;8;23
1;12;6;3;9;14;15;21;5;22;13;11;19;20;10;4;26;16;25;17;18;24;2;7;8;23;3;5866559
3;5866559;1;12;6;3;9;14;15;21;5;22;13;11;19;20;10;4;26;16;25;17;18;24;2;7;8;23
1;12;6;3;9;14;15;21;5;22;13;11;19;24;10;4;26;16;25;17;18;20;2;7;8;23;3;5965749
3;5965749;1;12;6;3;9;14;15;21;5;22;13;11;19;24;10;4;26;16;25;17;18;20;2;7;8;23
1;12;6;3;26;14;15;21;5;22;13;11;19;24;10;4;9;16;25;17;18;20;2;7;8;23;3;5936373
3;5936373;1;12;6;3;26;14;15;21;5;22;13;11;19;24;10;4;9;16;25;17;18;20;2;7;8;23
1;12;6;3;26;14;15;21;5;22;13;11;19;24;10;23;9;16;25;17;18;20;2;7;8;4;3;5955797
3;5955797;1;12;6;3;26;14;15;21;5;22;13;11;19;24;10;23;9;16;25;17;18;20;2;7;8;4
12;1;6;3;26;14;15;21;5;22;13;11;19;24;10;23;9;16;25;17;18;20;2;7;8;4;3;5964543
3;5964543;12;1;6;3;26;14;15;21;5;22;13;11;19;24;10;23;9;16;25;17;18;20;2;7;8;4
12;1;6;3;26;14;15;21;5;22;13;11;2;24;10;23;9;16;25;17;18;20;19;7;8;4;3;6002118
3;6002118;12;1;6;3;26;14;15;21;5;22;13;11;2;24;10;23;9;16;25;17;18;20;19;7;8;4
12;1;6;3;26;14;15;21;10;22;13;11;2;24;5;23;9;16;25;17;18;20;19;7;8;4;3;6089790
3;6089790;12;1;6;3;26;14;15;21;10;22;13;11;2;24;5;23;9;16;25;17;18;20;19;7;8;4
12;1;6;3;26;14;15;21;10;22;13;11;2;24;5;23;9;16;25;17;18;7;19;20;8;4;3;6080740
3;6080740;12;1;6;3;26;14;15;21;10;22;13;11;2;24;5;23;9;16;25;17;18;7;19;20;8;4
12;1;25;3;26;14;15;21;10;22;13;11;2;24;5;23;9;16;6;17;18;7;19;20;8;4;3;6058737
3;6058737;12;1;25;3;26;14;15;21;10;22;13;11;2;24;5;23;9;16;6;17;18;7;19;20;8;4
12;1;25;3;13;14;15;21;10;22;26;11;2;24;5;23;9;16;6;17;18;7;19;20;8;4;3;6064720
3;6064720;12;1;25;3;13;14;15;21;10;22;26;11;2;24;5;23;9;16;6;17;18;7;19;20;8;4
12;1;25;10;13;14;15;21;3;22;26;11;2;24;5;23;9;16;6;17;18;7;19;20;8;4;3;6106146
3;6106146;12;1;25;10;13;14;15;21;3;22;26;11;2;24;5;23;9;16;6;17;18;7;19;20;8;4
12;1;25;10;13;14;15;21;3;22;26;11;2;24;5;23;9;20;6;17;18;7;19;16;8;4;3;6019989
3;6019989;12;1;25;10;13;14;15;21;3;22;26;11;2;24;5;23;9;20;6;17;18;7;19;16;8;4
12;1;25;10;13;14;15;21;3;23;26;11;2;24;5;22;9;20;6;17;18;7;19;16;8;4;3;6014709
4;6014709;12;1;25;10;13;14;15;21;3;23;26;11;2;24;5;22;9;20;6;17;18;7;19;16;8;4
12;1;25;10;13;14;15;21;3;23;26;17;2;24;5;22;9;20;6;11;18;7;19;16;8;4;4;6024610
4;6024610;12;1;25;10;13;14;15;21;3;23;26;17;2;24;5;22;9;20;6;11;18;7;19;16;8;4
12;1;25;10;13;14;15;21;3;23;26;16;2;24;5;22;9;20;6;11;18;7;19;17;8;4;4;6016362
4;6016362;12;1;25;10;13;14;15;21;3;23;26;16;2;24;5;22;9;20;6;11;18;7;19;17;8;4
12;1;25;10;13;14;15;21;3;23;26;16;2;24;5;22;9;20;6;11;8;7;19;17;18;4;4;5886527
4;5886527;12;1;25;10;13;14;15;21;3;23;26;16;2;24;5;22;9;20;6;11;8;7;19;17;18;4
12;1;25;10;13;14;15;21;3;23;26;16;2;18;5;22;9;20;6;11;8;7;19;17;24;4;4;5911294
4;5911294;12;1;25;10;13;14;15;21;3;23;26;16;2;18;5;22;9;20;6;11;8;7;19;17;24;4
12;1;25;10;13;14;15;21;19;23;26;16;2;18;5;22;9;20;6;11;8;7;3;17;24;4;4;5930638
4;5930638;12;1;25;10;13;14;15;21;19;23;26;16;2;18;5;22;9;20;6;11;8;7;3;17;24;4
12;1;25;10;19;14;15;21;13;23;26;16;2;18;5;22;9;20;6;11;8;7;3;17;24;4;4;5971108
4;5971108;12;1;25;10;19;14;15;21;13;23;26;16;2;18;5;22;9;20;6;11;8;7;3;17;24;4
12;1;25;10;19;14;15;21;13;23;26;16;2;18;5;22;9;3;6;11;8;7;20;17;24;4;4;6012132
4;6012132;12;1;25;10;19;14;15;21;13;23;26;16;2;18;5;22;9;3;6;11;8;7;20;17;24;4
12;1;25;10;19;14;15;21;13;23;26;16;17;18;5;22;9;3;6;11;8;7;20;2;24;4;4;6036306
4;6036306;12;1;25;10;19;14;15;21;13;23;26;16;17;18;5;22;9;3;6;11;8;7;20;2;24;4
12;1;25;10;19;14;15;21;13;23;26;16;17;18;5;22;9;3;11;6;8;7;20;2;24;4;4;6038233
4;6038233;12;1;25;10;19;14;15;21;13;23;26;16;17;18;5;22;9;3;11;6;8;7;20;2;24;4
12;1;25;10;19;14;15;21;13;23;26;16;17;18;5;22;9;24;11;6;8;7;20;2;3;4;4;6066394
4;6066394;12;1;25;10;19;14;15;21;13;23;26;16;17;18;5;22;9;24;11;6;8;7;20;2;3;4
12;1;7;10;19;14;15;21;13;23;26;16;17;18;5;22;9;24;11;6;8;25;20;2;3;4;4;6058498
4;6058498;12;1;7;10;19;14;15;21;13;23;26;16;17;18;5;22;9;24;11;6;8;25;20;2;3;4
12;1;7;10;19;14;15;21;13;23;26;16;17;22;5;18;9;24;11;6;8;25;20;2;3;4;4;5992069
4;5992069;12;1;7;10;19;14;15;21;13;23;26;16;17;22;5;18;9;24;11;6;8;25;20;2;3;4
12;1;7;19;10;14;15;21;13;23;26;16;17;22;5;18;9;24;11;6;8;25;20;2;3;4;4;5992909
4;5992909;12;1;7;19;10;14;15;21;13;23;26;16;17;22;5;18;9;24;11;6;8;25;20;2;3;4
12;1;7;19;10;14;15;21;13;23;26;16;17;22;5;18;9;24;20;6;8;25;11;2;3;4;4;5869825
4;5869825;12;1;7;19;10;14;15;21;13;23;26;16;17;22;5;18;9;24;20;6;8;25;11;2;3;4
12;1;7;20;10;14;15;21;13;23;26;16;17;22;5;18;9;24;19;6;8;25;11;2;3;4;4;5919235
4;5919235;12;1;7;20;10;14;15;21;13;23;26;16;17;22;5;18;9;24;19;6;8;25;11;2;3;4
12;1;7;20;10;14;15;21;13;5;26;16;17;22;23;18;9;24;19;6;8;25;11;2;3;4;4;6000338
4;6000338;12;1;7;20;10;14;15;21;13;5;26;16;17;22;23;18;9;24;19;6;8;25;11;2;3;4
12;14;7;20;10;1;15;21;13;5;26;16;17;22;23;18;9;24;19;6;8;25;11;2;3;4;4;5824276
4;5824276;12;14;7;20;10;1;15;21;13;5;26;16;17;22;23;18;9;24;19;6;8;25;11;2;3;4
12;14;7;20;10;19;15;21;13;5;26;16;17;22;23;18;9;24;1;6;8;25;11;2;3;4;4;5862729
4;5862729;12;14;7;20;10;19;15;21;13;5;26;16;17;22;23;18;9;24;1;6;8;25;11;2;3;4
12;14;7;20;10;19;15;21;13;5;26;16;17;22;23;18;9;11;1;6;8;25;24;2;3;4;4;5858510
4;5858510;12;14;7;20;10;19;15;21;13;5;26;16;17;22;23;18;9;11;1;6;8;25;24;2;3;4
12;14;7;11;10;19;15;21;13;5;26;16;17;22;23;18;9;20;1;6;8;25;24;2;3;4;4;5862727
5;5862727;12;14;7;11;10;19;15;21;13;5;26;16;17;22;23;18;9;20;1;6;8;25;24;2;3;4
12;14;7;11;10;19;1;21;13;5;26;16;17;22;23;18;9;20;15;6;8;25;24;2;3;4;5;5881515
5;5881515;12;14;7;11;10;19;1;21;13;5;26;16;17;22;23;18;9;20;15;6;8;25;24;2;3;4
12;14;7;11;10;19;1;21;13;5;26;16;17;22;23;18;9;20;25;6;8;15;24;2;3;4;5;5918397
5;5918397;12;14;7;11;10;19;1;21;13;5;26;16;17;22;23;18;9;20;25;6;8;15;24;2;3;4
12;10;7;11;14;19;1;21;13;5;26;16;17;22;23;18;9;20;25;6;8;15;24;2;3;4;5;5914385
5;5914385;12;10;7;11;14;19;1;21;13;5;26;16;17;22;23;18;9;20;25;6;8;15;24;2;3;4
12;10;7;11;14;19;1;21;13;5;26;16;17;22;23;18;9;2;25;6;8;15;24;20;3;4;5;5950104
5;5950104;12;10;7;11;14;19;1;21;13;5;26;16;17;22;23;18;9;2;25;6;8;15;24;20;3;4
12;22;7;11;14;19;1;21;13;5;26;16;17;10;23;18;9;2;25;6;8;15;24;20;3;4;5;5950704
5;5950704;12;22;7;11;14;19;1;21;13;5;26;16;17;10;23;18;9;2;25;6;8;15;24;20;3;4
8;22;7;11;14;19;1;21;13;5;26;16;17;10;23;18;9;2;25;6;12;15;24;20;3;4;5;5955100
5;5955100;8;22;7;11;14;19;1;21;13;5;26;16;17;10;23;18;9;2;25;6;12;15;24;20;3;4
8;22;7;17;14;19;1;21;13;5;26;16;11;10;23;18;9;2;25;6;12;15;24;20;3;4;5;5948953
5;5948953;8;22;7;17;14;19;1;21;13;5;26;16;11;10;23;18;9;2;25;6;12;15;24;20;3;4
8;22;7;17;14;19;1;21;13;5;26;16;11;10;23;18;9;4;25;6;12;15;24;20;3;2;5;5934324
5;5934324;8;22;7;17;14;19;1;21;13;5;26;16;11;10;23;18;9;4;25;6;12;15;24;20;3;2
8;22;7;17;14;19;1;21;13;5;26;16;11;10;20;18;9;4;25;6;12;15;24;23;3;2;5;5915735
5;5915735;8;22;7;17;14;19;1;21;13;5;26;16;11;10;20;18;9;4;25;6;12;15;24;23;3;2
8;22;7;17;14;19;1;21;13;24;26;16;11;10;20;18;9;4;25;6;12;15;5;23;3;2;5;6094962
5;6094962;8;22;7;17;14;19;1;21;13;24;26;16;11;10;20;18;9;4;25;6;12;15;5;23;3;2
8;22;12;17;14;19;1;21;13;24;26;16;11;10;20;18;9;4;25;6;7;15;5;23;3;2;5;6099059
5;6099059;8;22;12;17;14;19;1;21;13;24;26;16;11;10;20;18;9;4;25;6;7;15;5;23;3;2
8;22;12;2;14;19;1;21;13;24;26;16;11;10;20;18;9;4;25;6;7;15;5;23;3;17;5;6123446
5;6123446;8;22;12;2;14;19;1;21;13;24;26;16;11;10;20;18;9;4;25;6;7;15;5;23;3;17
8;22;12;2;14;19;1;21;13;24;4;16;11;10;20;18;9;26;25;6;7;15;5;23;3;17;5;6165128
5;6165128;8;22;12;2;14;19;1;21;13;24;4;16;11;10;20;18;9;26;25;6;7;15;5;23;3;17
8;22;12;2;14;19;1;21;7;24;4;16;11;10;20;18;9;26;25;6;13;15;5;23;3;17;5;6127077
5;6127077;8;22;12;2;14;19;1;21;7;24;4;16;11;10;20;18;9;26;25;6;13;15;5;23;3;17
8;22;12;2;14;19;10;21;7;24;4;16;11;1;20;18;9;26;25;6;13;15;5;23;3;17;5;6125788
5;6125788;8;22;12;2;14;19;10;21;7;24;4;16;11;1;20;18;9;26;25;6;13;15;5;23;3;17
8;22;12;2;14;19;10;21;7;24;5;16;11;1;20;18;9;26;25;6;13;15;4;23;3;17;5;5863214
5;5863214;8;22;12;2;14;19;10;21;7;24;5;16;11;1;20;18;9;26;25;6;13;15;4;23;3;17
8;22;12;2;14;13;10;21;7;24;5;16;11;1;20;18;9;26;25;6;19;15;4;23;3;17;5;5875672
5;5875672;8;22;12;2;14;13;10;21;7;24;5;16;11;1;20;18;9;26;25;6;19;15;4;23;3;17
8;22;12;2;14;13;10;21;19;24;5;16;11;1;20;18;9;26;25;6;7;15;4;23;3;17;5;5856150
5;5856150;8;22;12;2;14;13;10;21;19;24;5;16;11;1;20;18;9;26;25;6;7;15;4;23;3;17
8;22;12;2;14;13;10;21;19;24;5;20;11;1;16;18;9;26;25;6;7;15;4;23;3;17;5;5807868
5;5807868;8;22;12;2;14;13;10;21;19;24;5;20;11;1;16;18;9;26;25;6;7;15;4;23;3;17
8;22;12;2;14;19;10;21;13;24;5;20;11;1;16;18;9;26;25;6;7;15;4;23;3;17;5;5823104
6;5823104;8;22;12;2;14;19;10;21;13;24;5;20;11;1;16;18;9;26;25;6;7;15;4;23;3;17
11;22;12;2;14;19;10;21;13;24;5;20;8;1;16;18;9;26;25;6;7;15;4;23;3;17;6;5798418
6;5798418;11;22;12;2;14;19;10;21;13;24;5;20;8;1;16;18;9;26;25;6;7;15;4;23;3;17
11;22;12;2;14;19;10;13;21;24;5;20;8;1;16;18;9;26;25;6;7;15;4;23;3;17;6;5798178
6;5798178;11;22;12;2;14;19;10;13;21;24;5;20;8;1;16;18;9;26;25;6;7;15;4;23;3;17
11;22;12;2;14;19;10;13;21;24;5;20;6;1;16;18;9;26;25;8;7;15;4;23;3;17;6;5818207
6;5818207;11;22;12;2;14;19;10;13;21;24;5;20;6;1;16;18;9;26;25;8;7;15;4;23;3;17
11;22;12;2;14;19;10;13;21;24;5;20;6;1;26;18;9;16;25;8;7;15;4;23;3;17;6;5822035
6;5822035;11;22;12;2;14;19;10;13;21;24;5;20;6;1;26;18;9;16;25;8;7;15;4;23;3;17
11;22;12;2;14;19;17;13;21;24;5;20;6;1;26;18;9;16;25;8;7;15;4;23;3;10;6;5822297
6;5822297;11;22;12;2;14;19;17;13;21;24;5;20;6;1;26;18;9;16;25;8;7;15;4;23;3;10
11;6;12;2;14;19;17;13;21;24;5;20;22;1;26;18;9;16;25;8;7;15;4;23;3;10;6;5832983
6;5832983;11;6;12;2;14;19;17;13;21;24;5;20;22;1;26;18;9;16;25;8;7;15;4;23;3;10
11;6;12;17;14;19;2;13;21;24;5;20;22;1;26;18;9;16;25;8;7;15;4;23;3;10;6;5827652
6;5827652;11;6;12;17;14;19;2;13;21;24;5;20;22;1;26;18;9;16;25;8;7;15;4;23;3;10
11;6;12;17;14;19;2;13;21;24;5;20;22;1;25;18;9;16;26;8;7;15;4;23;3;10;6;5822156
6;5822156;11;6;12;17;14;19;2;13;21;24;5;20;22;1;25;18;9;16;26;8;7;15;4;23;3;10
11;6;12;17;23;19;2;13;21;24;5;20;22;1;25;18;9;16;26;8;7;15;4;14;3;10;6;5842299
6;5842299;11;6;12;17;23;19;2;13;21;24;5;20;22;1;25;18;9;16;26;8;7;15;4;14;3;10
11;6;12;17;23;19;20;13;21;24;5;2;22;1;25;18;9;16;26;8;7;15;4;14;3;10;6;5887440
6;5887440;11;6;12;17;23;19;20;13;21;24;5;2;22;1;25;18;9;16;26;8;7;15;4;14;3;10
11;1;12;17;23;19;20;13;21;24;5;2;22;6;25;18;9;16;26;8;7;15;4;14;3;10;6;5925770
6;5925770;11;1;12;17;23;19;20;13;21;24;5;2;22;6;25;18;9;16;26;8;7;15;4;14;3;10
11;1;12;17;23;19;20;13;21;24;22;2;5;6;25;18;9;16;26;8;7;15;4;14;3;10;6;5919556
6;5919556;11;1;12;17;23;19;20;13;21;24;22;2;5;6;25;18;9;16;26;8;7;15;4;14;3;10
11;1;12;17;23;19;20;13;21;24;22;2;5;25;6;18;9;16;26;8;7;15;4;14;3;10;6;5924977
6;5924977;11;1;12;17;23;19;20;13;21;24;22;2;5;25;6;18;9;16;26;8;7;15;4;14;3;10
11;9;12;17;23;19;20;13;21;24;22;2;5;25;6;18;1;16;26;8;7;15;4;14;3;10;6;5955278
6;5955278;11;9;12;17;23;19;20;13;21;24;22;2;5;25;6;18;1;16;26;8;7;15;4;14;3;10
11;9;18;17;23;19;20;13;21;24;22;2;5;25;6;12;1;16;26;8;7;15;4;14;3;10;6;6029098
6;6029098;11;9;18;17;23;19;20;13;21;24;22;2;5;25;6;12;1;16;26;8;7;15;4;14;3;10
11;9;18;17;23;19;20;13;8;24;22;2;5;25;6;12;1;16;26;21;7;15;4;14;3;10;6;6085126
6;6085126;11;9;18;17;23;19;20;13;8;24;22;2;5;25;6;12;1;16;26;21;7;15;4;14;3;10
11;9;18;17;23;19;20;13;8;24;22;2;5;25;6;12;14;16;26;21;7;15;4;1;3;10;6;5885302
6;5885302;11;9;18;17;23;19;20;13;8;24;22;2;5;25;6;12;14;16;26;21;7;15;4;1;3;10
11;9;18;17;23;19;20;13;8;24;22;2;21;25;6;12;14;16;26;5;7;15;4;1;3;10;6;6047229
6;6047229;11;9;18;17;23;19;20;13;8;24;22;2;21;25;6;12;14;16;26;5;7;15;4;1;3;10
