"X1";"X5919072";"X6";"X18";"X25";"X12";"X24";"X8";"X3";"X13";"X4";"X5";"X9";"X11";"X21";"X17";"X2";"X26";"X14";"X22";"X23";"X1.1";"X20";"X10";"X15";"X19";"X16";"X7"
2;5971335;13;20;3;18;24;26;12;4;21;5;8;11;17;9;16;10;6;22;1;25;2;15;23;19;14;7
13;20;3;18;24;26;12;22;21;5;8;11;17;9;16;10;6;4;1;25;2;15;23;19;14;7;2;5947798
2;5947798;13;20;3;18;24;26;12;22;21;5;8;11;17;9;16;10;6;4;1;25;2;15;23;19;14;7
13;20;3;21;24;26;12;22;18;5;8;11;17;9;16;10;6;4;1;25;2;15;23;19;14;7;2;5950490
2;5950490;13;20;3;21;24;26;12;22;18;5;8;11;17;9;16;10;6;4;1;25;2;15;23;19;14;7
13;20;3;21;24;23;12;22;18;5;8;11;17;9;16;10;6;4;1;25;2;15;26;19;14;7;2;5961272
2;5961272;13;20;3;21;24;23;12;22;18;5;8;11;17;9;16;10;6;4;1;25;2;15;26;19;14;7
13;20;3;21;24;23;12;7;18;5;8;11;17;9;16;10;6;4;1;25;2;15;26;19;14;22;2;5951940
2;5951940;13;20;3;21;24;23;12;7;18;5;8;11;17;9;16;10;6;4;1;25;2;15;26;19;14;22
13;20;3;21;24;23;12;7;2;5;8;11;17;9;16;10;6;4;1;25;18;15;26;19;14;22;2;5963182
2;5963182;13;20;3;21;24;23;12;7;2;5;8;11;17;9;16;10;6;4;1;25;18;15;26;19;14;22
13;20;3;21;24;23;12;7;2;5;8;11;17;9;16;19;6;4;1;25;18;15;26;10;14;22;2;5899404
2;5899404;13;20;3;21;24;23;12;7;2;5;8;11;17;9;16;19;6;4;1;25;18;15;26;10;14;22
8;20;3;21;24;23;12;7;2;5;13;11;17;9;16;19;6;4;1;25;18;15;26;10;14;22;2;5935910
2;5935910;8;20;3;21;24;23;12;7;2;5;13;11;17;9;16;19;6;4;1;25;18;15;26;10;14;22
17;20;3;21;24;23;12;7;2;5;13;11;8;9;16;19;6;4;1;25;18;15;26;10;14;22;2;5948818
2;5948818;17;20;3;21;24;23;12;7;2;5;13;11;8;9;16;19;6;4;1;25;18;15;26;10;14;22
17;20;3;21;24;23;12;7;2;5;13;11;8;9;1;19;6;4;16;25;18;15;26;10;14;22;2;5954718
2;5954718;17;20;3;21;24;23;12;7;2;5;13;11;8;9;1;19;6;4;16;25;18;15;26;10;14;22
17;20;3;21;24;23;12;7;2;5;13;11;8;9;1;14;6;4;16;25;18;15;26;10;19;22;2;5938071
2;5938071;17;20;3;21;24;23;12;7;2;5;13;11;8;9;1;14;6;4;16;25;18;15;26;10;19;22
17;20;3;21;24;23;12;7;2;11;13;5;8;9;1;14;6;4;16;25;18;15;26;10;19;22;2;5849241
2;5849241;17;20;3;21;24;23;12;7;2;11;13;5;8;9;1;14;6;4;16;25;18;15;26;10;19;22
17;20;3;21;24;23;12;5;2;11;13;7;8;9;1;14;6;4;16;25;18;15;26;10;19;22;2;5898076
2;5898076;17;20;3;21;24;23;12;5;2;11;13;7;8;9;1;14;6;4;16;25;18;15;26;10;19;22
17;20;3;21;24;23;12;5;2;11;13;7;19;9;1;14;6;4;16;25;18;15;26;10;8;22;2;5825638
2;5825638;17;20;3;21;24;23;12;5;2;11;13;7;19;9;1;14;6;4;16;25;18;15;26;10;8;22
17;20;3;21;24;23;12;5;2;11;13;7;19;15;1;14;6;4;16;25;18;9;26;10;8;22;2;5879648
2;5879648;17;20;3;21;24;23;12;5;2;11;13;7;19;15;1;14;6;4;16;25;18;9;26;10;8;22
17;20;3;21;24;23;12;5;2;18;13;7;19;15;1;14;6;4;16;25;11;9;26;10;8;22;2;5899745
2;5899745;17;20;3;21;24;23;12;5;2;18;13;7;19;15;1;14;6;4;16;25;11;9;26;10;8;22
17;20;3;7;24;23;12;5;2;18;13;21;19;15;1;14;6;4;16;25;11;9;26;10;8;22;2;5881330
2;5881330;17;20;3;7;24;23;12;5;2;18;13;21;19;15;1;14;6;4;16;25;11;9;26;10;8;22
17;20;3;7;24;23;16;5;2;18;13;21;19;15;1;14;6;4;12;25;11;9;26;10;8;22;2;5860502
3;5860502;17;20;3;7;24;23;16;5;2;18;13;21;19;15;1;14;6;4;12;25;11;9;26;10;8;22
17;20;3;7;24;23;16;5;2;18;10;21;19;15;1;14;6;4;12;25;11;9;26;13;8;22;3;5885518
3;5885518;17;20;3;7;24;23;16;5;2;18;10;21;19;15;1;14;6;4;12;25;11;9;26;13;8;22
17;20;3;7;24;23;16;5;10;18;2;21;19;15;1;14;6;4;12;25;11;9;26;13;8;22;3;5863587
3;5863587;17;20;3;7;24;23;16;5;10;18;2;21;19;15;1;14;6;4;12;25;11;9;26;13;8;22
17;20;3;7;24;23;16;25;10;18;2;21;19;15;1;14;6;4;12;5;11;9;26;13;8;22;3;5886589
3;5886589;17;20;3;7;24;23;16;25;10;18;2;21;19;15;1;14;6;4;12;5;11;9;26;13;8;22
17;20;16;7;24;23;3;25;10;18;2;21;19;15;1;14;6;4;12;5;11;9;26;13;8;22;3;5933378
3;5933378;17;20;16;7;24;23;3;25;10;18;2;21;19;15;1;14;6;4;12;5;11;9;26;13;8;22
17;20;16;7;24;23;3;25;10;18;11;21;19;15;1;14;6;4;12;5;2;9;26;13;8;22;3;5936861
3;5936861;17;20;16;7;24;23;3;25;10;18;11;21;19;15;1;14;6;4;12;5;2;9;26;13;8;22
17;20;16;7;24;23;3;25;10;18;11;21;19;6;1;14;15;4;12;5;2;9;26;13;8;22;3;5974687
3;5974687;17;20;16;7;24;23;3;25;10;18;11;21;19;6;1;14;15;4;12;5;2;9;26;13;8;22
17;20;16;7;24;23;3;25;10;18;11;21;19;6;9;14;15;4;12;5;2;1;26;13;8;22;3;5948084
3;5948084;17;20;16;7;24;23;3;25;10;18;11;21;19;6;9;14;15;4;12;5;2;1;26;13;8;22
17;20;16;7;24;23;3;25;10;18;11;21;4;6;9;14;15;19;12;5;2;1;26;13;8;22;3;5983992
3;5983992;17;20;16;7;24;23;3;25;10;18;11;21;4;6;9;14;15;19;12;5;2;1;26;13;8;22
17;20;16;7;21;23;3;25;10;18;11;24;4;6;9;14;15;19;12;5;2;1;26;13;8;22;3;6028873
3;6028873;17;20;16;7;21;23;3;25;10;18;11;24;4;6;9;14;15;19;12;5;2;1;26;13;8;22
17;20;16;7;21;23;3;4;10;18;11;24;25;6;9;14;15;19;12;5;2;1;26;13;8;22;3;5972645
3;5972645;17;20;16;7;21;23;3;4;10;18;11;24;25;6;9;14;15;19;12;5;2;1;26;13;8;22
25;20;16;7;21;23;3;4;10;18;11;24;17;6;9;14;15;19;12;5;2;1;26;13;8;22;3;5973099
3;5973099;25;20;16;7;21;23;3;4;10;18;11;24;17;6;9;14;15;19;12;5;2;1;26;13;8;22
25;20;16;7;21;23;3;4;10;2;11;24;17;6;9;14;15;19;12;5;18;1;26;13;8;22;3;6111414
3;6111414;25;20;16;7;21;23;3;4;10;2;11;24;17;6;9;14;15;19;12;5;18;1;26;13;8;22
25;20;16;7;21;23;3;4;10;2;11;24;17;6;9;13;15;19;12;5;18;1;26;14;8;22;3;6323897
3;6323897;25;20;16;7;21;23;3;4;10;2;11;24;17;6;9;13;15;19;12;5;18;1;26;14;8;22
25;20;16;7;21;23;3;4;10;2;11;24;18;6;9;13;15;19;12;5;17;1;26;14;8;22;3;6184611
3;6184611;25;20;16;7;21;23;3;4;10;2;11;24;18;6;9;13;15;19;12;5;17;1;26;14;8;22
16;20;25;7;21;23;3;4;10;2;11;24;18;6;9;13;15;19;12;5;17;1;26;14;8;22;3;6175447
3;6175447;16;20;25;7;21;23;3;4;10;2;11;24;18;6;9;13;15;19;12;5;17;1;26;14;8;22
16;20;25;7;21;23;3;4;10;2;11;17;18;6;9;13;15;19;12;5;24;1;26;14;8;22;3;6176688
3;6176688;16;20;25;7;21;23;3;4;10;2;11;17;18;6;9;13;15;19;12;5;24;1;26;14;8;22
16;20;25;7;21;23;3;9;10;2;11;17;18;6;4;13;15;19;12;5;24;1;26;14;8;22;3;6185095
3;6185095;16;20;25;7;21;23;3;9;10;2;11;17;18;6;4;13;15;19;12;5;24;1;26;14;8;22
16;20;25;7;21;23;3;9;10;2;11;17;18;6;4;13;15;19;24;5;12;1;26;14;8;22;3;6263133
3;6263133;16;20;25;7;21;23;3;9;10;2;11;17;18;6;4;13;15;19;24;5;12;1;26;14;8;22
16;18;25;7;21;23;3;9;10;2;11;17;20;6;4;13;15;19;24;5;12;1;26;14;8;22;3;6296931
3;6296931;16;18;25;7;21;23;3;9;10;2;11;17;20;6;4;13;15;19;24;5;12;1;26;14;8;22
16;18;25;7;21;23;3;9;22;2;11;17;20;6;4;13;15;19;24;5;12;1;26;14;8;10;3;6289764
4;6289764;16;18;25;7;21;23;3;9;22;2;11;17;20;6;4;13;15;19;24;5;12;1;26;14;8;10
16;18;25;7;21;23;3;9;22;2;11;13;20;6;4;17;15;19;24;5;12;1;26;14;8;10;4;6295968
4;6295968;16;18;25;7;21;23;3;9;22;2;11;13;20;6;4;17;15;19;24;5;12;1;26;14;8;10
16;18;5;7;21;23;3;9;22;2;11;13;20;6;4;17;15;19;24;25;12;1;26;14;8;10;4;6220624
4;6220624;16;18;5;7;21;23;3;9;22;2;11;13;20;6;4;17;15;19;24;25;12;1;26;14;8;10
16;18;6;7;21;23;3;9;22;2;11;13;20;5;4;17;15;19;24;25;12;1;26;14;8;10;4;6172455
4;6172455;16;18;6;7;21;23;3;9;22;2;11;13;20;5;4;17;15;19;24;25;12;1;26;14;8;10
16;18;6;7;21;23;3;9;22;2;11;13;20;5;4;17;15;19;24;14;12;1;26;25;8;10;4;6117276
4;6117276;16;18;6;7;21;23;3;9;22;2;11;13;20;5;4;17;15;19;24;14;12;1;26;25;8;10
16;18;6;7;21;23;3;9;22;2;11;13;20;5;19;17;15;4;24;14;12;1;26;25;8;10;4;6090313
4;6090313;16;18;6;7;21;23;3;9;22;2;11;13;20;5;19;17;15;4;24;14;12;1;26;25;8;10
16;18;6;7;21;2;3;9;22;23;11;13;20;5;19;17;15;4;24;14;12;1;26;25;8;10;4;6087958
4;6087958;16;18;6;7;21;2;3;9;22;23;11;13;20;5;19;17;15;4;24;14;12;1;26;25;8;10
15;18;6;7;21;2;3;9;22;23;11;13;20;5;19;17;16;4;24;14;12;1;26;25;8;10;4;6131803
4;6131803;15;18;6;7;21;2;3;9;22;23;11;13;20;5;19;17;16;4;24;14;12;1;26;25;8;10
15;18;6;7;21;5;3;9;22;23;11;13;20;2;19;17;16;4;24;14;12;1;26;25;8;10;4;6056197
4;6056197;15;18;6;7;21;5;3;9;22;23;11;13;20;2;19;17;16;4;24;14;12;1;26;25;8;10
15;18;6;7;21;5;3;9;22;23;11;13;20;2;19;17;16;4;24;14;10;1;26;25;8;12;4;6067538
4;6067538;15;18;6;7;21;5;3;9;22;23;11;13;20;2;19;17;16;4;24;14;10;1;26;25;8;12
15;18;6;7;21;5;20;9;22;23;11;13;3;2;19;17;16;4;24;14;10;1;26;25;8;12;4;6012380
4;6012380;15;18;6;7;21;5;20;9;22;23;11;13;3;2;19;17;16;4;24;14;10;1;26;25;8;12
15;18;6;7;21;5;20;9;22;23;11;25;3;2;19;17;16;4;24;14;10;1;26;13;8;12;4;6036905
4;6036905;15;18;6;7;21;5;20;9;22;23;11;25;3;2;19;17;16;4;24;14;10;1;26;13;8;12
15;18;22;7;21;5;20;9;6;23;11;25;3;2;19;17;16;4;24;14;10;1;26;13;8;12;4;6024791
4;6024791;15;18;22;7;21;5;20;9;6;23;11;25;3;2;19;17;16;4;24;14;10;1;26;13;8;12
15;17;22;7;21;5;20;9;6;23;11;25;3;2;19;18;16;4;24;14;10;1;26;13;8;12;4;6113535
4;6113535;15;17;22;7;21;5;20;9;6;23;11;25;3;2;19;18;16;4;24;14;10;1;26;13;8;12
2;17;22;7;21;5;20;9;6;23;11;25;3;15;19;18;16;4;24;14;10;1;26;13;8;12;4;6094491
4;6094491;2;17;22;7;21;5;20;9;6;23;11;25;3;15;19;18;16;4;24;14;10;1;26;13;8;12
2;17;22;7;21;5;20;9;6;23;11;4;3;15;19;18;16;25;24;14;10;1;26;13;8;12;4;6052603
4;6052603;2;17;22;7;21;5;20;9;6;23;11;4;3;15;19;18;16;25;24;14;10;1;26;13;8;12
2;17;22;7;21;5;20;9;6;23;11;4;3;15;19;18;16;25;24;14;8;1;26;13;10;12;4;6054729
4;6054729;2;17;22;7;21;5;20;9;6;23;11;4;3;15;19;18;16;25;24;14;8;1;26;13;10;12
2;23;22;7;21;5;20;9;6;17;11;4;3;15;19;18;16;25;24;14;8;1;26;13;10;12;4;6049672
4;6049672;2;23;22;7;21;5;20;9;6;17;11;4;3;15;19;18;16;25;24;14;8;1;26;13;10;12
2;23;22;7;21;5;11;9;6;17;20;4;3;15;19;18;16;25;24;14;8;1;26;13;10;12;4;6003415
4;6003415;2;23;22;7;21;5;11;9;6;17;20;4;3;15;19;18;16;25;24;14;8;1;26;13;10;12
2;23;22;18;21;5;11;9;6;17;20;4;3;15;19;7;16;25;24;14;8;1;26;13;10;12;4;5966245
4;5966245;2;23;22;18;21;5;11;9;6;17;20;4;3;15;19;7;16;25;24;14;8;1;26;13;10;12
2;23;8;18;21;5;11;9;6;17;20;4;3;15;19;7;16;25;24;14;22;1;26;13;10;12;4;5951207
5;5951207;2;23;8;18;21;5;11;9;6;17;20;4;3;15;19;7;16;25;24;14;22;1;26;13;10;12
2;23;8;18;21;5;11;9;6;17;20;4;3;15;19;7;16;25;24;14;13;1;26;22;10;12;5;5950567
5;5950567;2;23;8;18;21;5;11;9;6;17;20;4;3;15;19;7;16;25;24;14;13;1;26;22;10;12
2;23;8;18;6;5;11;9;21;17;20;4;3;15;19;7;16;25;24;14;13;1;26;22;10;12;5;5867369
5;5867369;2;23;8;18;6;5;11;9;21;17;20;4;3;15;19;7;16;25;24;14;13;1;26;22;10;12
2;23;8;18;6;5;11;9;21;17;20;4;12;15;19;7;16;25;24;14;13;1;26;22;10;3;5;5809486
5;5809486;2;23;8;18;6;5;11;9;21;17;20;4;12;15;19;7;16;25;24;14;13;1;26;22;10;3
2;23;8;18;6;5;11;9;21;17;20;4;14;15;19;7;16;25;24;12;13;1;26;22;10;3;5;5801632
5;5801632;2;23;8;18;6;5;11;9;21;17;20;4;14;15;19;7;16;25;24;12;13;1;26;22;10;3
2;23;8;18;6;5;24;9;21;17;20;4;14;15;19;7;16;25;11;12;13;1;26;22;10;3;5;5791704
5;5791704;2;23;8;18;6;5;24;9;21;17;20;4;14;15;19;7;16;25;11;12;13;1;26;22;10;3
2;23;8;18;6;5;24;9;21;17;20;4;12;15;19;7;16;25;11;14;13;1;26;22;10;3;5;5799558
5;5799558;2;23;8;18;6;5;24;9;21;17;20;4;12;15;19;7;16;25;11;14;13;1;26;22;10;3
2;23;8;18;6;5;24;9;20;17;21;4;12;15;19;7;16;25;11;14;13;1;26;22;10;3;5;5870758
5;5870758;2;23;8;18;6;5;24;9;20;17;21;4;12;15;19;7;16;25;11;14;13;1;26;22;10;3
2;23;4;18;6;5;24;9;20;17;21;8;12;15;19;7;16;25;11;14;13;1;26;22;10;3;5;5881509
5;5881509;2;23;4;18;6;5;24;9;20;17;21;8;12;15;19;7;16;25;11;14;13;1;26;22;10;3
2;23;4;18;6;5;24;9;20;17;21;8;12;15;19;7;16;25;3;14;13;1;26;22;10;11;5;5873267
5;5873267;2;23;4;18;6;5;24;9;20;17;21;8;12;15;19;7;16;25;3;14;13;1;26;22;10;11
2;20;4;18;6;5;24;9;23;17;21;8;12;15;19;7;16;25;3;14;13;1;26;22;10;11;5;5908643
5;5908643;2;20;4;18;6;5;24;9;23;17;21;8;12;15;19;7;16;25;3;14;13;1;26;22;10;11
2;20;4;18;6;5;24;9;23;17;8;21;12;15;19;7;16;25;3;14;13;1;26;22;10;11;5;5907906
5;5907906;2;20;4;18;6;5;24;9;23;17;8;21;12;15;19;7;16;25;3;14;13;1;26;22;10;11
2;20;23;18;6;5;24;9;4;17;8;21;12;15;19;7;16;25;3;14;13;1;26;22;10;11;5;5911175
5;5911175;2;20;23;18;6;5;24;9;4;17;8;21;12;15;19;7;16;25;3;14;13;1;26;22;10;11
2;20;11;18;6;5;24;9;4;17;8;21;12;15;19;7;16;25;3;14;13;1;26;22;10;23;5;5928766
5;5928766;2;20;11;18;6;5;24;9;4;17;8;21;12;15;19;7;16;25;3;14;13;1;26;22;10;23
2;20;11;18;6;5;24;9;4;17;8;21;12;15;19;7;16;25;3;23;13;1;26;22;10;14;5;6071266
5;6071266;2;20;11;18;6;5;24;9;4;17;8;21;12;15;19;7;16;25;3;23;13;1;26;22;10;14
2;20;11;18;6;5;24;9;17;4;8;21;12;15;19;7;16;25;3;23;13;1;26;22;10;14;5;6071166
5;6071166;2;20;11;18;6;5;24;9;17;4;8;21;12;15;19;7;16;25;3;23;13;1;26;22;10;14
2;20;18;11;6;5;24;9;17;4;8;21;12;15;19;7;16;25;3;23;13;1;26;22;10;14;5;6080559
5;6080559;2;20;18;11;6;5;24;9;17;4;8;21;12;15;19;7;16;25;3;23;13;1;26;22;10;14
2;20;18;11;6;5;24;9;17;4;8;14;12;15;19;7;16;25;3;23;13;1;26;22;10;21;5;5833270
5;5833270;2;20;18;11;6;5;24;9;17;4;8;14;12;15;19;7;16;25;3;23;13;1;26;22;10;21
2;20;18;11;6;5;24;9;17;4;16;14;12;15;19;7;8;25;3;23;13;1;26;22;10;21;5;5832299
5;5832299;2;20;18;11;6;5;24;9;17;4;16;14;12;15;19;7;8;25;3;23;13;1;26;22;10;21
2;20;18;11;6;5;24;9;17;4;16;14;12;15;19;7;25;8;3;23;13;1;26;22;10;21;5;5827320
5;5827320;2;20;18;11;6;5;24;9;17;4;16;14;12;15;19;7;25;8;3;23;13;1;26;22;10;21
2;20;6;11;18;5;24;9;17;4;16;14;12;15;19;7;25;8;3;23;13;1;26;22;10;21;5;5815205
6;5815205;2;20;6;11;18;5;24;9;17;4;16;14;12;15;19;7;25;8;3;23;13;1;26;22;10;21
2;4;6;11;18;5;24;9;17;20;16;14;12;15;19;7;25;8;3;23;13;1;26;22;10;21;6;5787953
6;5787953;2;4;6;11;18;5;24;9;17;20;16;14;12;15;19;7;25;8;3;23;13;1;26;22;10;21
2;4;6;11;18;5;24;25;17;20;16;14;12;15;19;7;9;8;3;23;13;1;26;22;10;21;6;5790870
6;5790870;2;4;6;11;18;5;24;25;17;20;16;14;12;15;19;7;9;8;3;23;13;1;26;22;10;21
2;4;6;11;18;5;24;25;17;20;16;14;3;15;19;7;9;8;12;23;13;1;26;22;10;21;6;5789721
6;5789721;2;4;6;11;18;5;24;25;17;20;16;14;3;15;19;7;9;8;12;23;13;1;26;22;10;21
2;4;6;11;18;5;24;25;17;21;16;14;3;15;19;7;9;8;12;23;13;1;26;22;10;20;6;5851285
6;5851285;2;4;6;11;18;5;24;25;17;21;16;14;3;15;19;7;9;8;12;23;13;1;26;22;10;20
2;4;6;11;18;5;24;25;17;21;16;14;3;15;19;7;9;8;12;23;13;1;26;20;10;22;6;5840904
6;5840904;2;4;6;11;18;5;24;25;17;21;16;14;3;15;19;7;9;8;12;23;13;1;26;20;10;22
2;4;6;11;18;5;24;25;17;21;16;14;12;15;19;7;9;8;3;23;13;1;26;20;10;22;6;5853725
6;5853725;2;4;6;11;18;5;24;25;17;21;16;14;12;15;19;7;9;8;3;23;13;1;26;20;10;22
2;4;6;11;18;5;24;25;17;19;16;14;12;15;21;7;9;8;3;23;13;1;26;20;10;22;6;5879748
6;5879748;2;4;6;11;18;5;24;25;17;19;16;14;12;15;21;7;9;8;3;23;13;1;26;20;10;22
2;4;6;11;18;5;24;20;17;19;16;14;12;15;21;7;9;8;3;23;13;1;26;25;10;22;6;5860948
6;5860948;2;4;6;11;18;5;24;20;17;19;16;14;12;15;21;7;9;8;3;23;13;1;26;25;10;22
2;4;6;11;18;5;24;20;8;19;16;14;12;15;21;7;9;17;3;23;13;1;26;25;10;22;6;5908546
6;5908546;2;4;6;11;18;5;24;20;8;19;16;14;12;15;21;7;9;17;3;23;13;1;26;25;10;22
2;4;6;11;18;5;24;21;8;19;16;14;12;15;20;7;9;17;3;23;13;1;26;25;10;22;6;5851295
6;5851295;2;4;6;11;18;5;24;21;8;19;16;14;12;15;20;7;9;17;3;23;13;1;26;25;10;22
2;4;6;11;18;5;24;12;8;19;16;14;21;15;20;7;9;17;3;23;13;1;26;25;10;22;6;5873612
6;5873612;2;4;6;11;18;5;24;12;8;19;16;14;21;15;20;7;9;17;3;23;13;1;26;25;10;22
2;4;6;11;18;5;24;12;8;19;16;14;21;15;20;7;9;23;3;17;13;1;26;25;10;22;6;5867265
6;5867265;2;4;6;11;18;5;24;12;8;19;16;14;21;15;20;7;9;23;3;17;13;1;26;25;10;22
2;4;6;11;18;5;24;12;8;19;20;14;21;15;16;7;9;23;3;17;13;1;26;25;10;22;6;5829179
6;5829179;2;4;6;11;18;5;24;12;8;19;20;14;21;15;16;7;9;23;3;17;13;1;26;25;10;22
2;4;6;11;15;5;24;12;8;19;20;14;21;18;16;7;9;23;3;17;13;1;26;25;10;22;6;5811602
6;5811602;2;4;6;11;15;5;24;12;8;19;20;14;21;18;16;7;9;23;3;17;13;1;26;25;10;22
2;4;6;11;15;7;24;12;8;19;20;14;21;18;16;5;9;23;3;17;13;1;26;25;10;22;6;5794181
6;5794181;2;4;6;11;15;7;24;12;8;19;20;14;21;18;16;5;9;23;3;17;13;1;26;25;10;22
2;4;6;11;15;7;24;12;8;19;20;14;21;18;16;5;22;23;3;17;13;1;26;25;10;9;6;5862989
6;5862989;2;4;6;11;15;7;24;12;8;19;20;14;21;18;16;5;22;23;3;17;13;1;26;25;10;9
2;4;6;11;15;7;24;12;8;19;20;14;21;25;16;5;22;23;3;17;13;1;26;18;10;9;6;5932496
6;5932496;2;4;6;11;15;7;24;12;8;19;20;14;21;25;16;5;22;23;3;17;13;1;26;18;10;9
2;4;6;11;15;7;24;12;8;19;20;14;21;25;16;3;22;23;5;17;13;1;26;18;10;9;6;5867625
6;5867625;2;4;6;11;15;7;24;12;8;19;20;14;21;25;16;3;22;23;5;17;13;1;26;18;10;9
