"X1";"X282";"X20";"X26";"X7";"X42";"X60";"X17";"X56";"X34";"X23";"X14";"X30";"X41";"X21";"X57";"X64";"X15";"X29";"X46";"X27";"X8";"X22";"X38";"X11";"X9";"X32";"X47";"X62";"X12";"X53";"X13";"X49";"X2";"X28";"X40";"X33";"X48";"X18";"X35";"X51";"X61";"X50";"X39";"X25";"X5";"X6";"X55";"X1.1";"X43";"X24";"X59";"X44";"X4";"X37";"X45";"X16";"X58";"X19";"X3";"X63";"X36";"X52";"X31";"X10";"X54"
1;270;31;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;2;47;25;37;48;18;35;59;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;36;52;20;10;54
31;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;2;47;59;37;48;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;36;52;20;10;54;1;270
1;270;31;26;7;42;60;17;56;34;23;14;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;2;47;59;37;48;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;36;52;20;10;54
31;26;7;42;60;17;56;34;23;2;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;14;47;59;37;48;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;36;52;20;10;54;1;270
1;270;31;26;7;42;60;17;56;34;23;2;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;14;47;59;37;48;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;36;52;20;10;54
31;26;7;42;60;17;56;34;23;2;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;48;52;20;10;54;1;270
1;270;31;26;7;42;60;17;56;34;23;2;30;41;21;57;64;15;29;46;27;8;22;38;9;11;32;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;48;52;20;10;54
31;32;7;42;60;17;56;34;23;2;30;41;21;57;64;15;29;46;27;8;22;38;9;11;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;48;52;20;10;54;1;270
1;270;31;32;7;42;60;17;56;34;23;2;30;41;21;57;64;15;29;46;27;8;22;38;9;11;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;48;52;20;10;54
31;32;7;42;60;17;56;34;23;2;11;41;21;57;64;15;29;46;27;8;22;38;9;30;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;48;52;20;10;54;1;278
1;278;31;32;7;42;60;17;56;34;23;2;11;41;21;57;64;15;29;46;27;8;22;38;9;30;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;48;52;20;10;54
31;32;7;34;60;17;56;42;23;2;11;41;21;57;64;15;29;46;27;8;22;38;9;30;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;48;52;20;10;54;1;274
1;274;31;32;7;34;60;17;56;42;23;2;11;41;21;57;64;15;29;46;27;8;22;38;9;30;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;58;19;3;63;48;52;20;10;54
31;32;7;34;60;17;56;42;23;2;11;41;21;57;64;15;29;46;27;58;22;38;9;30;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;8;19;3;63;48;52;20;10;54;1;272
1;272;31;32;7;34;60;17;56;42;23;2;11;41;21;57;64;15;29;46;27;58;22;38;9;30;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;50;39;40;5;6;55;1;43;24;51;44;4;33;62;16;8;19;3;63;48;52;20;10;54
31;32;7;34;60;17;56;42;23;50;11;41;21;57;64;15;29;46;27;58;22;38;9;30;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;2;39;40;5;6;55;1;43;24;51;44;4;33;62;16;8;19;3;63;48;52;20;10;54;1;264
1;264;31;32;7;34;60;17;56;42;23;50;11;41;21;57;64;15;29;46;27;58;22;38;9;30;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;2;39;40;5;6;55;1;43;24;51;44;4;33;62;16;8;19;3;63;48;52;20;10;54
31;32;7;34;60;17;56;42;1;50;11;41;21;57;64;15;29;46;27;58;22;38;9;30;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;2;39;40;5;6;55;23;43;24;51;44;4;33;62;16;8;19;3;63;48;52;20;10;54;1;264
1;264;31;32;7;34;60;17;56;42;1;50;11;41;21;57;64;15;29;46;27;58;22;38;9;30;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;2;39;40;5;6;55;23;43;24;51;44;4;33;62;16;8;19;3;63;48;52;20;10;54
31;32;7;34;60;17;56;42;1;50;11;41;21;57;64;15;29;46;27;58;22;38;9;30;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;2;39;40;5;6;55;23;33;24;51;44;4;43;62;16;8;19;3;63;48;52;20;10;54;1;264
1;264;31;32;7;34;60;17;56;42;1;50;11;41;21;57;64;15;29;46;27;58;22;38;9;30;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;2;39;40;5;6;55;23;33;24;51;44;4;43;62;16;8;19;3;63;48;52;20;10;54
31;32;7;34;60;17;56;42;1;50;11;41;21;57;64;15;29;46;27;58;22;38;9;19;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;2;39;40;5;6;55;23;33;24;51;44;4;43;62;16;8;30;3;63;48;52;20;10;54;1;264
1;264;31;32;7;34;60;17;56;42;1;50;11;41;21;57;64;15;29;46;27;58;22;38;9;19;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;2;39;40;5;6;55;23;33;24;51;44;4;43;62;16;8;30;3;63;48;52;20;10;54
31;32;7;34;60;17;56;42;1;50;11;41;21;57;64;15;29;46;27;58;22;38;9;19;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;2;39;40;5;6;55;23;33;24;51;44;4;43;62;30;8;16;3;63;48;52;20;10;54;1;264
1;264;31;32;7;34;60;17;56;42;1;50;11;41;21;57;64;15;29;46;27;58;22;38;9;19;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;2;39;40;5;6;55;23;33;24;51;44;4;43;62;30;8;16;3;63;48;52;20;10;54
31;32;7;34;60;17;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;38;9;19;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;2;39;40;5;6;55;23;33;24;51;44;4;43;62;30;8;16;3;63;48;52;20;10;50;1;272
2;272;31;32;7;34;60;17;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;38;9;19;26;28;45;12;53;13;49;14;47;59;37;36;18;35;25;61;2;39;40;5;6;55;23;33;24;51;44;4;43;62;30;8;16;3;63;48;52;20;10;50
31;32;7;34;60;17;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;14;47;38;37;36;18;35;25;61;2;39;40;5;6;55;23;33;24;51;44;4;43;62;30;8;16;3;63;48;52;20;10;50;2;266
2;266;31;32;7;34;60;17;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;14;47;38;37;36;18;35;25;61;2;39;40;5;6;55;23;33;24;51;44;4;43;62;30;8;16;3;63;48;52;20;10;50
31;32;7;34;60;17;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;14;47;38;37;4;18;35;25;61;2;39;40;5;6;55;23;33;24;51;44;36;43;62;30;8;16;3;63;48;52;20;10;50;2;266
2;266;31;32;7;34;60;17;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;14;47;38;37;4;18;35;25;61;2;39;40;5;6;55;23;33;24;51;44;36;43;62;30;8;16;3;63;48;52;20;10;50
31;32;7;34;60;17;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;14;47;38;37;4;18;35;25;61;2;39;16;5;6;55;23;33;24;51;44;36;43;62;30;8;40;3;63;48;52;20;10;50;2;266
2;266;31;32;7;34;60;17;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;14;47;38;37;4;18;35;25;61;2;39;16;5;6;55;23;33;24;51;44;36;43;62;30;8;40;3;63;48;52;20;10;50
35;32;7;34;60;17;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;14;47;38;37;4;18;31;25;61;2;39;16;5;6;55;23;33;24;51;44;36;43;62;30;8;40;3;63;48;52;20;10;50;2;266
2;266;35;32;7;34;60;17;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;14;47;38;37;4;18;31;25;61;2;39;16;5;6;55;23;33;24;51;44;36;43;62;30;8;40;3;63;48;52;20;10;50
35;32;7;34;60;52;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;14;47;38;37;4;18;31;25;61;2;39;16;5;6;55;23;33;24;51;44;36;43;62;30;8;40;3;63;48;17;20;10;50;2;274
2;274;35;32;7;34;60;52;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;14;47;38;37;4;18;31;25;61;2;39;16;5;6;55;23;33;24;51;44;36;43;62;30;8;40;3;63;48;17;20;10;50
35;32;7;34;60;52;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;24;47;38;37;4;18;31;25;61;2;39;16;5;6;55;23;33;14;51;44;36;43;62;30;8;40;3;63;48;17;20;10;50;2;276
2;276;35;32;7;34;60;52;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;24;47;38;37;4;18;31;25;61;2;39;16;5;6;55;23;33;14;51;44;36;43;62;30;8;40;3;63;48;17;20;10;50
35;32;7;34;60;52;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;24;47;38;37;4;18;31;25;61;2;39;16;5;6;55;23;33;14;51;43;36;44;62;30;8;40;3;63;48;17;20;10;50;2;276
2;276;35;32;7;34;60;52;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;19;26;28;45;12;53;13;49;24;47;38;37;4;18;31;25;61;2;39;16;5;6;55;23;33;14;51;43;36;44;62;30;8;40;3;63;48;17;20;10;50
35;32;7;34;60;52;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;47;26;28;45;12;53;13;49;24;19;38;37;4;18;31;25;61;2;39;16;5;6;55;23;33;14;51;43;36;44;62;30;8;40;3;63;48;17;20;10;50;2;280
2;280;35;32;7;34;60;52;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;47;26;28;45;12;53;13;49;24;19;38;37;4;18;31;25;61;2;39;16;5;6;55;23;33;14;51;43;36;44;62;30;8;40;3;63;48;17;20;10;50
35;37;7;34;60;52;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;47;26;28;45;12;53;13;49;24;19;38;32;4;18;31;25;61;2;39;16;5;6;55;23;33;14;51;43;36;44;62;30;8;40;3;63;48;17;20;10;50;2;278
2;278;35;37;7;34;60;52;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;47;26;28;45;12;53;13;49;24;19;38;32;4;18;31;25;61;2;39;16;5;6;55;23;33;14;51;43;36;44;62;30;8;40;3;63;48;17;20;10;50
35;37;7;34;60;52;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;47;26;28;45;12;53;13;49;24;19;38;32;51;18;31;25;61;2;39;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;3;63;48;17;20;10;50;2;278
2;278;35;37;7;34;60;52;56;42;1;54;11;41;21;57;64;15;29;46;27;58;22;59;9;47;26;28;45;12;53;13;49;24;19;38;32;51;18;31;25;61;2;39;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;3;63;48;17;20;10;50
35;37;7;34;60;52;56;42;1;54;11;41;21;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;38;32;51;18;31;25;61;2;39;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;3;63;48;17;20;10;50;2;280
2;280;35;37;7;34;60;52;56;42;1;54;11;41;21;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;38;32;51;18;31;25;61;2;39;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;3;63;48;17;20;10;50
35;10;7;34;60;52;56;42;1;54;11;41;21;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;38;32;51;18;31;25;61;2;39;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;3;63;48;17;20;37;50;2;280
2;280;35;10;7;34;60;52;56;42;1;54;11;41;21;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;38;32;51;18;31;25;61;2;39;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;3;63;48;17;20;37;50
35;10;7;34;60;52;56;42;1;54;11;41;21;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;38;32;51;63;31;25;61;2;39;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;3;18;48;17;20;37;50;2;272
2;272;35;10;7;34;60;52;56;42;1;54;11;41;21;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;38;32;51;63;31;25;61;2;39;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;3;18;48;17;20;37;50
35;10;7;34;60;52;56;42;1;54;11;41;21;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;38;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;3;18;48;17;20;37;50;2;272
2;272;35;10;7;34;60;52;56;42;1;54;11;41;21;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;38;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;3;18;48;17;20;37;50
35;10;7;34;60;52;56;42;1;54;11;41;21;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;38;18;48;17;20;37;50;2;272
2;272;35;10;7;34;60;52;56;42;1;54;11;41;21;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;38;18;48;17;20;37;50
35;10;7;34;60;52;56;42;1;54;11;41;17;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;38;18;48;21;20;37;50;2;272
2;272;35;10;7;34;60;52;56;42;1;54;11;41;17;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;43;36;44;62;30;8;40;38;18;48;21;20;37;50
35;10;7;34;60;52;56;42;1;54;11;41;17;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;8;36;44;62;30;43;40;38;18;48;21;20;37;50;2;272
2;272;35;10;7;34;60;52;56;42;1;54;11;41;17;58;64;15;29;46;27;57;22;59;9;47;26;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;8;36;44;62;30;43;40;38;18;48;21;20;37;50
35;10;7;34;60;52;56;42;1;54;11;41;17;58;64;15;29;46;27;57;47;59;9;22;26;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;8;36;44;62;30;43;40;38;18;48;21;20;37;50;2;272
2;272;35;10;7;34;60;52;56;42;1;54;11;41;17;58;64;15;29;46;27;57;47;59;9;22;26;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;8;36;44;62;30;43;40;38;18;48;21;20;37;50
35;10;7;34;60;52;56;42;1;54;11;41;17;58;64;15;29;46;27;57;47;59;9;22;26;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;44;36;8;62;30;43;40;38;18;48;21;20;37;50;2;272
2;272;35;10;7;34;60;52;56;42;1;54;11;41;17;58;64;15;29;46;27;57;47;59;9;22;26;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;44;36;8;62;30;43;40;38;18;48;21;20;37;50
35;10;7;34;60;52;56;42;1;54;11;41;17;58;64;15;29;46;27;57;47;59;43;22;26;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;44;36;8;62;30;9;40;38;18;48;21;20;37;50;2;272
3;272;35;10;7;34;60;52;56;42;1;54;11;41;17;58;64;15;29;46;27;57;47;59;43;22;26;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;51;16;5;6;55;23;33;14;4;44;36;8;62;30;9;40;38;18;48;21;20;37;50
35;10;7;34;60;52;56;42;1;54;11;41;17;58;64;15;29;46;27;57;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;26;16;5;6;55;23;33;14;4;44;36;8;62;30;9;40;38;18;48;21;20;37;50;3;272
3;272;35;10;7;34;60;52;56;42;1;54;11;41;17;58;64;15;29;46;27;57;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;26;16;5;6;55;23;33;14;4;44;36;8;62;30;9;40;38;18;48;21;20;37;50
35;10;7;34;60;52;56;42;1;54;46;41;17;58;64;15;29;11;27;57;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;26;16;5;6;55;23;33;14;4;44;36;8;62;30;9;40;38;18;48;21;20;37;50;3;260
3;260;35;10;7;34;60;52;56;42;1;54;46;41;17;58;64;15;29;11;27;57;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;63;31;25;61;2;26;16;5;6;55;23;33;14;4;44;36;8;62;30;9;40;38;18;48;21;20;37;50
35;10;7;34;61;52;56;42;1;54;46;41;17;58;64;15;29;11;27;57;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;63;31;25;60;2;26;16;5;6;55;23;33;14;4;44;36;8;62;30;9;40;38;18;48;21;20;37;50;3;260
3;260;35;10;7;34;61;52;56;42;1;54;46;41;17;58;64;15;29;11;27;57;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;63;31;25;60;2;26;16;5;6;55;23;33;14;4;44;36;8;62;30;9;40;38;18;48;21;20;37;50
35;10;7;34;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;63;31;25;60;2;26;16;5;6;55;23;33;14;4;44;36;8;62;30;9;40;38;18;48;21;20;37;50;3;258
3;258;35;10;7;34;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;63;31;25;60;2;26;16;5;6;55;23;33;14;4;44;36;8;62;30;9;40;38;18;48;21;20;37;50
35;10;7;34;61;52;56;42;1;8;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;63;31;25;60;2;26;16;5;6;55;23;33;14;4;44;36;57;62;30;9;40;38;18;48;21;20;37;50;3;278
3;258;35;10;7;34;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;63;31;25;60;2;26;16;5;6;55;23;33;14;4;44;36;8;62;30;9;40;38;18;48;21;20;37;50
35;10;7;44;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;63;31;25;60;2;26;16;5;6;55;23;33;14;4;34;36;8;62;30;9;40;38;18;48;21;20;37;50;3;262
3;262;35;10;7;44;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;63;31;25;60;2;26;16;5;6;55;23;33;14;4;34;36;8;62;30;9;40;38;18;48;21;20;37;50
35;10;7;44;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;26;31;25;60;2;63;16;5;6;55;23;33;14;4;34;36;8;62;30;9;40;38;18;48;21;20;37;50;3;266
3;266;35;10;7;44;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;3;32;39;26;31;25;60;2;63;16;5;6;55;23;33;14;4;34;36;8;62;30;9;40;38;18;48;21;20;37;50
35;10;7;44;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;39;32;3;26;31;25;60;2;63;16;5;6;55;23;33;14;4;34;36;8;62;30;9;40;38;18;48;21;20;37;50;3;266
3;266;35;10;7;44;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;39;32;3;26;31;25;60;2;63;16;5;6;55;23;33;14;4;34;36;8;62;30;9;40;38;18;48;21;20;37;50
35;10;7;44;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;39;32;3;26;31;25;60;2;63;16;5;6;55;23;33;14;4;34;36;8;62;30;9;40;18;38;48;21;20;37;50;3;266
3;266;35;10;7;44;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;39;32;3;26;31;25;60;2;63;16;5;6;55;23;33;14;4;34;36;8;62;30;9;40;18;38;48;21;20;37;50
35;10;7;44;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;39;32;3;26;5;25;60;2;63;16;31;6;55;23;33;14;4;34;36;8;62;30;9;40;18;38;48;21;20;37;50;3;246
3;246;35;10;7;44;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;22;51;28;45;12;53;13;49;24;19;39;32;3;26;5;25;60;2;63;16;31;6;55;23;33;14;4;34;36;8;62;30;9;40;18;38;48;21;20;37;50
35;10;7;22;61;52;56;42;1;57;46;41;17;58;64;15;29;11;27;54;47;59;43;44;51;28;45;12;53;13;49;24;19;39;32;3;26;5;25;60;2;63;16;31;6;55;23;33;14;4;34;36;8;62;30;9;40;18;38;48;21;20;37;50;3;242
