"X1";"X286";"X23";"X31";"X36";"X60";"X3";"X35";"X46";"X58";"X25";"X39";"X63";"X51";"X29";"X28";"X55";"X49";"X33";"X45";"X21";"X20";"X7";"X18";"X56";"X59";"X37";"X62";"X54";"X14";"X57";"X16";"X4";"X13";"X64";"X27";"X24";"X11";"X44";"X43";"X9";"X8";"X41";"X32";"X22";"X50";"X53";"X2";"X15";"X10";"X47";"X26";"X30";"X42";"X38";"X61";"X19";"X17";"X5";"X12";"X34";"X1.1";"X52";"X6";"X40";"X48"
23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;26;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;24;15;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48;1;294
1;294;23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;26;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;24;15;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48
23;31;36;60;3;35;46;58;25;39;63;51;24;11;55;49;33;26;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;15;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48;1;294
1;294;23;31;36;60;3;35;46;58;25;39;63;51;24;11;55;49;33;26;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;15;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48
23;31;36;60;3;35;46;58;25;39;63;51;15;11;55;49;33;26;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;24;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48;1;294
1;294;23;31;36;60;3;35;46;58;25;39;63;51;15;11;55;49;33;26;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;24;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48
23;31;36;60;3;35;46;58;55;39;63;51;15;11;25;49;33;26;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;24;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48;1;294
1;294;23;31;36;60;3;35;46;58;55;39;63;51;15;11;25;49;33;26;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;24;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48
23;31;36;60;3;35;46;58;55;39;63;51;15;11;25;49;33;13;21;20;7;18;56;59;62;37;54;14;57;28;4;26;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;24;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48;1;296
1;296;23;31;36;60;3;35;46;58;55;39;63;51;15;11;25;49;33;13;21;20;7;18;56;59;62;37;54;14;57;28;4;26;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;24;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48
23;31;36;60;3;35;46;58;55;39;63;51;15;11;25;49;33;13;21;20;7;18;56;59;62;37;54;14;57;28;4;26;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;17;47;30;42;38;61;19;24;5;41;34;40;52;6;1;48;1;296
1;296;23;31;36;60;3;35;46;58;55;39;63;51;15;11;25;49;33;13;21;20;7;18;56;59;62;37;54;14;57;28;4;26;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;17;47;30;42;38;61;19;24;5;41;34;40;52;6;1;48
23;31;36;60;3;35;46;58;55;39;63;51;15;11;25;49;33;13;21;20;7;18;56;59;62;37;34;14;57;28;4;26;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;17;47;30;42;38;61;19;24;5;41;54;40;52;6;1;48;1;284
1;284;23;31;36;60;3;35;46;58;55;39;63;51;15;11;25;49;33;13;21;20;7;18;56;59;62;37;34;14;57;28;4;26;64;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;17;47;30;42;38;61;19;24;5;41;54;40;52;6;1;48
23;31;36;60;3;35;46;58;55;39;64;51;15;11;25;49;33;13;21;20;7;18;56;59;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;17;47;30;42;38;61;19;24;5;41;54;40;52;6;1;48;1;290
1;290;23;31;36;60;3;35;46;58;55;39;64;51;15;11;25;49;33;13;21;20;7;18;56;59;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;17;47;30;42;38;61;19;24;5;41;54;40;52;6;1;48
23;31;36;60;3;35;46;58;55;39;64;54;15;11;25;49;33;13;21;20;7;18;56;59;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;17;47;30;42;38;61;19;24;5;41;51;40;52;6;1;48;1;290
1;290;23;31;36;60;3;35;46;58;55;39;64;54;15;11;25;49;33;13;21;20;7;18;56;59;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;27;22;50;53;2;45;29;17;47;30;42;38;61;19;24;5;41;51;40;52;6;1;48
23;31;36;60;3;35;46;58;55;39;64;54;15;11;25;49;33;13;21;20;7;18;53;59;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;27;22;50;56;2;45;29;17;47;30;42;38;61;19;24;5;41;51;40;52;6;1;48;1;290
1;290;23;31;36;60;3;35;46;58;55;39;64;54;15;11;25;49;33;13;21;20;7;18;53;59;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;27;22;50;56;2;45;29;17;47;30;42;38;61;19;24;5;41;51;40;52;6;1;48
23;31;36;60;3;35;46;49;55;39;64;54;15;11;25;58;33;13;21;20;7;18;53;59;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;27;22;50;56;2;45;29;17;47;30;42;38;61;19;24;5;41;51;40;52;6;1;48;1;282
2;282;23;31;36;60;3;35;46;49;55;39;64;54;15;11;25;58;33;13;21;20;7;18;53;59;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;27;22;50;56;2;45;29;17;47;30;42;38;61;19;24;5;41;51;40;52;6;1;48
23;31;36;60;3;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;27;22;50;56;2;45;29;17;47;30;42;38;61;19;24;5;41;51;40;52;6;1;48;2;274
2;274;23;31;36;60;3;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;27;22;50;56;2;45;29;17;47;30;42;38;61;19;24;5;41;51;40;52;6;1;48
23;31;36;60;3;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;2;22;50;56;27;45;29;17;47;30;42;38;61;19;24;5;41;51;40;52;6;1;48;2;266
2;266;23;31;36;60;3;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;2;22;50;56;27;45;29;17;47;30;42;38;61;19;24;5;41;51;40;52;6;1;48
23;31;36;60;22;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;2;3;50;56;27;45;29;17;47;30;42;38;61;19;24;5;41;51;40;52;6;1;48;2;266
2;266;23;31;36;60;22;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;2;3;50;56;27;45;29;17;47;30;42;38;61;19;24;5;41;51;40;52;6;1;48
23;31;36;60;22;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;2;3;50;56;27;45;40;17;47;30;42;38;61;19;24;5;41;51;29;52;6;1;48;2;266
2;266;23;31;36;60;22;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;2;3;50;56;27;45;40;17;47;30;42;38;61;19;24;5;41;51;29;52;6;1;48
23;31;36;60;22;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;2;3;50;56;27;45;40;17;47;30;42;24;61;19;38;5;41;51;29;52;6;1;48;2;266
2;266;23;31;36;60;22;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;14;57;28;4;26;63;32;10;16;44;43;9;8;12;2;3;50;56;27;45;40;17;47;30;42;24;61;19;38;5;41;51;29;52;6;1;48
23;31;36;60;22;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;14;57;28;4;26;63;44;10;16;32;43;9;8;12;2;3;50;56;27;45;40;17;47;30;42;24;61;19;38;5;41;51;29;52;6;1;48;2;274
2;274;23;31;36;60;22;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;14;57;28;4;26;63;44;10;16;32;43;9;8;12;2;3;50;56;27;45;40;17;47;30;42;24;61;19;38;5;41;51;29;52;6;1;48
23;31;36;60;22;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;1;57;28;4;26;63;44;10;16;32;43;9;8;12;2;3;50;56;27;45;40;17;47;30;42;24;61;19;38;5;41;51;29;52;6;14;48;2;278
2;278;23;31;36;60;22;35;46;49;55;39;64;54;15;59;25;58;33;13;21;20;7;18;53;11;62;37;34;1;57;28;4;26;63;44;10;16;32;43;9;8;12;2;3;50;56;27;45;40;17;47;30;42;24;61;19;38;5;41;51;29;52;6;14;48
23;31;36;60;22;35;21;49;55;39;64;54;15;59;25;58;33;13;46;20;7;18;53;11;62;37;34;1;57;28;4;26;63;44;10;16;32;43;9;8;12;2;3;50;56;27;45;40;17;47;30;42;24;61;19;38;5;41;51;29;52;6;14;48;2;286
2;286;23;31;36;60;22;35;21;49;55;39;64;54;15;59;25;58;33;13;46;20;7;18;53;11;62;37;34;1;57;28;4;26;63;44;10;16;32;43;9;8;12;2;3;50;56;27;45;40;17;47;30;42;24;61;19;38;5;41;51;29;52;6;14;48
23;31;36;60;22;35;21;49;55;39;64;54;15;59;25;58;33;13;46;20;7;18;53;11;62;37;34;1;57;28;4;26;63;44;10;16;32;43;9;8;12;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;6;14;48;2;286
2;286;23;31;36;60;22;35;21;49;55;39;64;54;15;59;25;58;33;13;46;20;7;18;53;11;62;37;34;1;57;28;4;26;63;44;10;16;32;43;9;8;12;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;6;14;48
23;31;36;60;22;35;21;49;55;39;64;54;15;59;25;58;33;13;46;20;7;18;53;11;62;37;34;1;57;28;4;26;63;44;10;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;48;2;286
2;286;23;31;36;60;22;35;21;49;55;39;64;54;15;59;25;58;33;13;46;20;7;18;53;11;62;37;34;1;57;28;4;26;63;44;10;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;48
23;31;36;60;22;35;21;49;55;39;64;54;15;59;25;58;33;13;46;20;48;18;53;11;62;37;34;1;57;28;4;26;63;44;10;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;7;2;286
2;286;23;31;36;60;22;35;21;49;55;39;64;54;15;59;25;58;33;13;46;20;48;18;53;11;62;37;34;1;57;28;4;26;63;44;10;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;7
23;31;36;60;22;35;21;49;55;39;64;54;15;59;25;58;33;13;46;20;48;18;53;11;63;37;34;1;57;28;4;26;62;44;10;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;7;2;282
2;282;23;31;36;60;22;35;21;49;55;39;64;54;15;59;25;58;33;13;46;20;48;18;53;11;63;37;34;1;57;28;4;26;62;44;10;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;7
23;31;36;60;22;35;21;49;55;39;64;54;15;59;33;58;25;13;46;20;48;18;53;11;63;37;34;1;57;28;4;26;62;44;10;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;7;2;284
2;284;23;31;36;60;22;35;21;49;55;39;64;54;15;59;33;58;25;13;46;20;48;18;53;11;63;37;34;1;57;28;4;26;62;44;10;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;7
23;31;36;60;22;35;21;49;55;39;64;54;15;59;33;58;25;13;46;20;48;18;53;11;63;37;34;10;57;28;4;26;62;44;1;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;7;2;280
2;280;23;31;36;60;22;35;21;49;55;39;64;54;15;59;33;58;25;13;46;20;48;18;53;11;63;37;34;10;57;28;4;26;62;44;1;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;7
23;31;36;60;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;11;63;37;34;10;57;28;4;26;62;44;1;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;7;2;280
2;280;23;31;36;60;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;11;63;37;34;10;57;28;4;26;62;44;1;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;7
23;60;36;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;11;63;37;34;10;57;28;4;26;62;44;1;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;7;2;280
2;280;23;60;36;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;11;63;37;34;10;57;28;4;26;62;44;1;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;12;14;7
23;60;36;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;11;63;12;34;10;57;28;4;26;62;44;1;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;37;14;7;2;280
2;280;23;60;36;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;11;63;12;34;10;57;28;4;26;62;44;1;16;32;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;37;14;7
23;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;11;63;12;34;10;57;28;4;26;62;44;1;16;36;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;37;14;7;2;260
2;260;23;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;11;63;12;34;10;57;28;4;26;62;44;1;16;36;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;51;19;52;37;14;7
23;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;11;63;12;34;10;57;28;4;26;62;44;1;16;36;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;37;19;52;51;14;7;2;260
2;260;23;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;11;63;12;34;10;57;28;4;26;62;44;1;16;36;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;38;5;41;37;19;52;51;14;7
38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;11;63;12;34;10;57;28;4;26;62;44;1;16;36;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;23;5;41;37;19;52;51;14;7;2;260
3;260;38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;11;63;12;34;10;57;28;4;26;62;44;1;16;36;43;9;8;6;2;3;50;56;27;45;40;17;47;30;42;24;61;29;23;5;41;37;19;52;51;14;7
38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;47;63;12;34;10;57;28;4;26;62;44;1;16;36;43;9;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;23;5;41;37;19;52;51;14;7;3;260
3;260;38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;48;18;53;47;63;12;34;10;57;28;4;26;62;44;1;16;36;43;9;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;23;5;41;37;19;52;51;14;7
38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;23;18;53;47;63;12;34;10;57;28;4;26;62;44;1;16;36;43;9;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;48;5;41;37;19;52;51;14;7;3;260
3;260;38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;23;18;53;47;63;12;34;10;57;28;4;26;62;44;1;16;36;43;9;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;48;5;41;37;19;52;51;14;7
38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;23;18;53;47;63;12;7;10;57;28;4;26;62;44;1;16;36;43;9;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;48;5;41;37;19;52;51;14;34;3;260
3;260;38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;23;18;53;47;63;12;7;10;57;28;4;26;62;44;1;16;36;43;9;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;48;5;41;37;19;52;51;14;34
38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;23;18;53;47;63;12;7;10;57;28;4;26;62;44;1;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;48;5;41;37;19;52;9;14;34;3;260
3;260;38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;23;18;53;47;63;12;7;10;57;28;4;26;62;44;1;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;48;5;41;37;19;52;9;14;34
38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;23;18;53;47;63;12;7;10;57;28;4;26;62;44;1;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;52;5;41;37;19;48;9;14;34;3;260
3;260;38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;20;23;18;53;47;63;12;7;10;57;28;4;26;62;44;1;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;52;5;41;37;19;48;9;14;34
38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;1;23;18;53;47;63;12;7;10;57;28;4;26;62;44;20;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;52;5;41;37;19;48;9;14;34;3;256
3;256;38;60;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;1;23;18;53;47;63;12;7;10;57;28;4;26;62;44;20;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;52;5;41;37;19;48;9;14;34
38;37;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;1;23;18;53;47;63;12;7;10;57;28;4;26;62;44;20;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;52;5;41;60;19;48;9;14;34;3;256
3;256;38;37;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;1;23;18;53;47;63;12;7;10;57;28;4;26;62;44;20;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;52;5;41;60;19;48;9;14;34
38;37;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;1;23;18;53;47;63;12;7;10;57;26;4;28;62;44;20;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;52;5;41;60;19;48;9;14;34;3;258
3;258;38;37;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;1;23;18;53;47;63;12;7;10;57;26;4;28;62;44;20;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;30;42;24;61;29;52;5;41;60;19;48;9;14;34
38;37;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;1;23;18;53;47;63;12;7;10;57;26;4;28;62;44;20;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;9;42;24;61;29;52;5;41;60;19;48;30;14;34;3;258
3;258;38;37;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;1;23;18;53;47;63;12;7;10;57;26;4;28;62;44;20;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;9;42;24;61;29;52;5;41;60;19;48;30;14;34
38;37;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;1;23;18;42;47;63;12;7;10;57;26;4;28;62;44;20;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;9;53;24;61;29;52;5;41;60;19;48;30;14;34;3;258
3;258;38;37;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;1;23;18;42;47;63;12;7;10;57;26;4;28;62;44;20;16;36;43;51;8;6;2;3;50;56;27;45;40;17;11;9;53;24;61;29;52;5;41;60;19;48;30;14;34
38;37;32;31;22;35;21;49;15;39;64;54;55;59;33;58;25;13;46;1;23;18;42;47;63;12;7;10;57;26;4;28;62;44;20;16;36;43;51;8;6;2;14;50;56;27;45;40;17;11;9;53;24;61;29;52;5;41;60;19;48;30;3;34;3;258
