"X1";"X304";"X30";"X64";"X40";"X45";"X57";"X49";"X51";"X1.1";"X21";"X53";"X12";"X8";"X43";"X14";"X46";"X58";"X47";"X54";"X59";"X20";"X4";"X5";"X39";"X42";"X27";"X61";"X63";"X52";"X36";"X17";"X56";"X16";"X7";"X15";"X25";"X23";"X55";"X24";"X34";"X11";"X2";"X22";"X6";"X41";"X18";"X3";"X9";"X38";"X37";"X13";"X48";"X50";"X29";"X33";"X35";"X26";"X31";"X19";"X10";"X62";"X60";"X28";"X44";"X32"
1;302;30;64;3;45;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;63;52;33;17;56;16;7;15;25;23;55;24;34;11;2;22;35;41;18;40;9;38;37;13;48;50;29;36;6;58;53;19;10;62;60;28;44;32
30;64;3;45;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;63;52;25;17;56;16;7;15;33;23;55;24;34;11;2;22;35;41;18;40;9;38;37;13;48;50;29;36;6;58;53;19;10;62;60;28;44;32;1;300
1;300;30;64;3;45;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;63;52;25;17;56;16;7;15;33;23;55;24;34;11;2;22;35;41;18;40;9;38;37;13;48;50;29;36;6;58;53;19;10;62;60;28;44;32
30;64;3;56;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;63;52;25;17;45;16;7;15;33;23;55;24;34;11;2;22;35;41;18;40;9;38;37;13;48;50;29;36;6;58;53;19;10;62;60;28;44;32;1;292
1;292;30;64;3;56;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;63;52;25;17;45;16;7;15;33;23;55;24;34;11;2;22;35;41;18;40;9;38;37;13;48;50;29;36;6;58;53;19;10;62;60;28;44;32
30;64;3;56;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;58;52;25;17;45;16;7;15;33;23;55;24;34;11;2;22;35;41;18;40;9;38;37;13;48;50;29;36;6;63;53;19;10;62;60;28;44;32;1;272
1;272;30;64;3;56;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;58;52;25;17;45;16;7;15;33;23;55;24;34;11;2;22;35;41;18;40;9;38;37;13;48;50;29;36;6;63;53;19;10;62;60;28;44;32
30;64;3;56;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;58;52;25;17;45;16;7;15;33;23;55;24;34;35;2;22;11;41;18;40;9;38;37;13;48;50;29;36;6;63;53;19;10;62;60;28;44;32;1;272
1;272;30;64;3;56;57;49;51;1;21;31;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;58;52;25;17;45;16;7;15;33;23;55;24;34;35;2;22;11;41;18;40;9;38;37;13;48;50;29;36;6;63;53;19;10;62;60;28;44;32
30;64;3;56;57;49;51;1;21;15;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;18;40;9;38;37;13;48;50;29;36;6;63;53;19;10;62;60;28;44;32;1;268
1;268;30;64;3;56;57;49;51;1;21;15;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;18;40;9;38;37;13;48;50;29;36;6;63;53;19;10;62;60;28;44;32
30;64;3;56;57;49;51;1;21;15;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;18;40;9;38;37;13;48;50;29;53;6;63;36;19;10;62;60;28;44;32;1;268
1;268;30;64;3;56;57;49;51;1;21;15;12;8;43;14;46;26;47;54;59;20;4;5;39;42;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;18;40;9;38;37;13;48;50;29;53;6;63;36;19;10;62;60;28;44;32
30;64;3;56;57;49;51;1;21;15;12;8;43;14;46;26;47;54;59;20;4;5;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;42;40;9;38;37;13;48;50;29;53;6;63;36;19;10;62;60;28;44;32;1;268
1;268;30;64;3;56;57;49;51;1;21;15;12;8;43;14;46;26;47;54;59;20;4;5;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;42;40;9;38;37;13;48;50;29;53;6;63;36;19;10;62;60;28;44;32
30;64;3;56;57;49;51;1;21;15;38;8;43;14;46;26;47;54;59;20;4;5;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;42;40;9;12;37;13;48;50;29;53;6;63;36;19;10;62;60;28;44;32;1;260
1;260;30;64;3;56;57;49;51;1;21;15;38;8;43;14;46;26;47;54;59;20;4;5;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;42;40;9;12;37;13;48;50;29;53;6;63;36;19;10;62;60;28;44;32
30;64;3;56;57;49;51;1;21;15;38;8;43;14;46;26;47;6;59;20;4;5;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;42;40;9;12;37;13;48;50;29;53;54;63;36;19;10;62;60;28;44;32;1;260
1;260;30;64;3;56;57;49;51;1;21;15;38;8;43;14;46;26;47;6;59;20;4;5;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;42;40;9;12;37;13;48;50;29;53;54;63;36;19;10;62;60;28;44;32
30;64;3;56;57;49;51;1;21;15;38;8;43;14;46;26;47;6;59;20;4;12;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;42;40;9;5;37;13;48;50;29;53;54;63;36;19;10;62;60;28;44;32;1;260
1;260;30;64;3;56;57;49;51;1;21;15;38;8;43;14;46;26;47;6;59;20;4;12;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;42;40;9;5;37;13;48;50;29;53;54;63;36;19;10;62;60;28;44;32
30;64;3;56;57;49;51;1;21;40;38;8;43;14;46;26;47;6;59;20;4;12;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;42;15;9;5;37;13;48;50;29;53;54;63;36;19;10;62;60;28;44;32;1;252
1;252;30;64;3;56;57;49;51;1;21;40;38;8;43;14;46;26;47;6;59;20;4;12;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;2;22;11;41;42;15;9;5;37;13;48;50;29;53;54;63;36;19;10;62;60;28;44;32
30;64;3;56;57;49;51;1;21;40;38;8;43;14;46;26;47;6;59;20;4;12;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;42;15;2;5;37;13;48;50;29;53;54;63;36;19;10;62;60;28;44;32;1;252
1;252;30;64;3;56;57;49;51;1;21;40;38;8;43;14;46;26;47;6;59;20;4;12;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;42;15;2;5;37;13;48;50;29;53;54;63;36;19;10;62;60;28;44;32
30;64;19;56;57;49;51;1;21;40;38;8;43;14;46;26;47;6;59;20;4;12;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;42;15;2;5;37;13;48;50;29;53;54;63;36;3;10;62;60;28;44;32;1;250
1;250;30;64;19;56;57;49;51;1;21;40;38;8;43;14;46;26;47;6;59;20;4;12;39;18;27;61;58;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;42;15;2;5;37;13;48;50;29;53;54;63;36;3;10;62;60;28;44;32
30;64;19;56;57;49;51;1;21;40;38;8;43;14;46;26;47;6;59;20;4;12;39;18;27;61;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;42;15;2;5;37;13;48;50;29;53;54;63;36;3;10;62;58;28;44;32;1;254
1;254;30;64;19;56;57;49;51;1;21;40;38;8;43;14;46;26;47;6;59;20;4;12;39;18;27;61;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;42;15;2;5;37;13;48;50;29;53;54;63;36;3;10;62;58;28;44;32
30;64;19;56;57;49;51;1;21;40;38;8;43;14;46;26;47;6;59;20;37;12;39;18;27;61;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;42;15;2;5;4;13;48;50;29;53;54;63;36;3;10;62;58;28;44;32;1;254
2;254;30;64;19;56;57;49;51;1;21;40;38;8;43;14;46;26;47;6;59;20;37;12;39;18;27;61;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;42;15;2;5;4;13;48;50;29;53;54;63;36;3;10;62;58;28;44;32
30;64;19;56;57;49;51;1;21;40;38;8;43;14;46;26;47;6;59;20;37;12;39;18;61;27;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;42;15;2;5;4;13;48;50;29;53;54;63;36;3;10;62;58;28;44;32;2;254
2;254;30;64;19;56;57;49;51;1;21;40;38;8;43;14;46;26;47;6;59;20;37;12;39;18;61;27;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;42;15;2;5;4;13;48;50;29;53;54;63;36;3;10;62;58;28;44;32
30;64;19;56;57;49;51;1;21;40;54;8;43;14;46;26;47;6;59;20;37;12;39;18;61;27;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;42;15;2;5;4;13;48;50;29;53;38;63;36;3;10;62;58;28;44;32;2;262
2;262;30;64;19;56;57;49;51;1;21;40;54;8;43;14;46;26;47;6;59;20;37;12;39;18;61;27;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;42;15;2;5;4;13;48;50;29;53;38;63;36;3;10;62;58;28;44;32
30;64;19;42;57;49;51;1;21;40;54;8;43;14;46;26;47;6;59;20;37;12;39;18;61;27;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;56;15;2;5;4;13;48;50;29;53;38;63;36;3;10;62;58;28;44;32;2;270
2;270;30;64;19;42;57;49;51;1;21;40;54;8;43;14;46;26;47;6;59;20;37;12;39;18;61;27;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;56;15;2;5;4;13;48;50;29;53;38;63;36;3;10;62;58;28;44;32
30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;20;37;12;39;18;61;27;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;56;15;2;5;4;13;48;50;29;53;43;63;36;3;10;62;58;28;44;32;2;270
2;270;30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;20;37;12;39;18;61;27;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;56;15;2;5;4;13;48;50;29;53;43;63;36;3;10;62;58;28;44;32
30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;20;37;12;39;18;61;27;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;56;15;2;5;4;13;3;50;29;53;43;63;36;48;10;62;58;28;44;32;2;270
2;270;30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;20;37;12;39;18;61;27;60;52;25;17;45;16;7;31;33;23;55;24;34;35;9;22;11;41;56;15;2;5;4;13;3;50;29;53;43;63;36;48;10;62;58;28;44;32
30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;20;37;12;39;18;61;27;7;52;25;17;45;16;60;31;33;23;55;24;34;35;9;22;11;41;56;15;2;5;4;13;3;50;29;53;43;63;36;48;10;62;58;28;44;32;2;280
2;280;30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;20;37;12;39;18;61;27;7;52;25;17;45;16;60;31;33;23;55;24;34;35;9;22;11;41;56;15;2;5;4;13;3;50;29;53;43;63;36;48;10;62;58;28;44;32
30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;20;37;12;39;18;61;27;7;52;25;17;45;16;60;31;33;23;55;24;34;35;9;22;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;48;10;62;58;28;44;32;2;280
2;280;30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;20;37;12;39;18;61;27;7;52;25;17;45;16;60;31;33;23;55;24;34;35;9;22;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;48;10;62;58;28;44;32
30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;20;37;12;39;18;61;27;7;52;25;17;45;16;60;31;33;23;55;24;34;35;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;22;10;62;58;28;44;32;2;280
2;280;30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;20;37;12;39;18;61;27;7;52;25;17;45;16;60;31;33;23;55;24;34;35;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;22;10;62;58;28;44;32
30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;20;37;12;39;18;24;27;7;52;25;17;45;16;60;31;33;23;55;61;34;35;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;22;10;62;58;28;44;32;2;280
2;280;30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;20;37;12;39;18;24;27;7;52;25;17;45;16;60;31;33;23;55;61;34;35;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;22;10;62;58;28;44;32
30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;22;37;12;39;18;24;27;7;52;25;17;45;16;60;31;33;23;55;61;34;35;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;20;10;62;58;28;44;32;2;280
2;280;30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;22;37;12;39;18;24;27;7;52;25;17;45;16;60;31;33;23;55;61;34;35;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;20;10;62;58;28;44;32
30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;22;35;12;39;18;24;27;7;52;25;17;45;16;60;31;33;23;55;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;20;10;62;58;28;44;32;2;280
2;280;30;64;19;42;57;49;51;1;21;40;54;8;38;14;46;26;47;6;59;22;35;12;39;18;24;27;7;52;25;17;45;16;60;31;33;23;55;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;20;10;62;58;28;44;32
30;64;46;42;57;49;51;1;21;40;54;8;38;14;19;26;47;6;59;22;35;12;39;18;24;27;7;52;25;17;45;16;60;31;33;23;55;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;20;10;62;58;28;44;32;2;304
2;304;30;64;46;42;57;49;51;1;21;40;54;8;38;14;19;26;47;6;59;22;35;12;39;18;24;27;7;52;25;17;45;16;60;31;33;23;55;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;20;10;62;58;28;44;32
30;64;46;42;57;49;51;1;21;40;54;8;38;14;19;26;55;6;59;22;35;12;39;18;24;27;7;52;25;17;45;16;60;31;33;23;47;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;20;10;62;58;28;44;32;2;304
2;304;30;64;46;42;57;49;51;1;21;40;54;8;38;14;19;26;55;6;59;22;35;12;39;18;24;27;7;52;25;17;45;16;60;31;33;23;47;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;20;10;62;58;28;44;32
30;64;46;42;57;49;51;1;21;40;33;8;38;14;19;26;55;6;59;22;35;12;39;18;24;27;7;52;25;17;45;16;60;31;54;23;47;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;20;10;62;58;28;44;32;2;286
2;286;30;64;46;42;57;49;51;1;21;40;33;8;38;14;19;26;55;6;59;22;35;12;39;18;24;27;7;52;25;17;45;16;60;31;54;23;47;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;20;10;62;58;28;44;32
30;64;46;42;57;49;51;1;21;40;33;8;38;14;19;26;55;6;59;22;35;12;39;18;24;27;7;52;25;17;45;16;60;31;54;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;20;10;47;58;28;44;32;2;302
2;302;30;64;46;42;57;49;51;1;21;40;33;8;38;14;19;26;55;6;59;22;35;12;39;18;24;27;7;52;25;17;45;16;60;31;54;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;20;10;47;58;28;44;32
30;64;46;42;57;49;51;1;21;40;33;8;38;14;19;26;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;54;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;24;10;47;58;28;44;32;2;302
2;302;30;64;46;42;57;49;51;1;21;40;33;8;38;14;19;26;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;54;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;24;10;47;58;28;44;32
30;64;46;42;57;49;54;1;21;40;33;8;38;14;19;26;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;24;10;47;58;28;44;32;2;300
2;300;30;64;46;42;57;49;54;1;21;40;33;8;38;14;19;26;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;29;53;11;63;36;24;10;47;58;28;44;32
30;64;46;42;57;49;54;1;21;40;33;8;38;14;19;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;63;36;24;10;47;58;28;44;32;2;300
2;300;30;64;46;42;57;49;54;1;21;40;33;8;38;14;19;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;63;36;24;10;47;58;28;44;32
30;64;46;42;57;49;54;1;21;40;33;8;38;10;19;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;63;36;24;14;47;58;28;44;32;2;292
2;292;30;64;46;42;57;49;54;1;21;40;33;8;38;10;19;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;63;36;24;14;47;58;28;44;32
30;64;46;42;57;49;54;1;21;40;33;8;38;10;47;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;63;36;24;14;19;58;28;44;32;2;284
3;284;30;64;46;42;57;49;54;1;21;40;33;8;38;10;47;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;63;36;24;14;19;58;28;44;32
30;1;46;42;57;49;54;64;21;40;33;8;38;10;47;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;63;36;24;14;19;58;28;44;32;3;280
3;280;30;1;46;42;57;49;54;64;21;40;33;8;38;10;47;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;63;36;24;14;19;58;28;44;32
8;1;46;42;57;49;54;64;21;40;33;30;38;10;47;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;63;36;24;14;19;58;28;44;32;3;280
3;280;8;1;46;42;57;49;54;64;21;40;33;30;38;10;47;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;63;36;24;14;19;58;28;44;32
8;1;46;42;57;49;54;64;21;40;63;30;38;10;47;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;28;44;32;3;264
3;264;8;1;46;42;57;49;54;64;21;40;63;30;38;10;47;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;16;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;28;44;32
8;1;46;42;57;49;16;64;21;40;63;30;38;10;47;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;54;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;28;44;32;3;260
3;260;8;1;46;42;57;49;16;64;21;40;63;30;38;10;47;29;55;6;59;22;35;12;39;18;20;27;7;52;25;17;45;54;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;28;44;32
8;1;46;42;57;49;16;52;21;40;63;30;38;10;47;29;55;6;59;22;35;12;39;18;20;27;7;64;25;17;45;54;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;28;44;32;3;276
3;276;8;1;46;42;57;49;16;52;21;40;63;30;38;10;47;29;55;6;59;22;35;12;39;18;20;27;7;64;25;17;45;54;60;31;51;23;62;61;34;37;9;48;43;41;56;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;28;44;32
8;1;46;42;57;49;16;52;21;40;63;30;56;10;47;29;55;6;59;22;35;12;39;18;20;27;7;64;25;17;45;54;60;31;51;23;62;61;34;37;9;48;43;41;38;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;28;44;32;3;276
3;276;8;1;46;42;57;49;16;52;21;40;63;30;56;10;47;29;55;6;59;22;35;12;39;18;20;27;7;64;25;17;45;54;60;31;51;23;62;61;34;37;9;48;43;41;38;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;28;44;32
8;1;46;42;57;49;16;52;21;40;63;30;56;10;47;29;55;6;59;22;35;12;39;18;20;27;7;64;25;17;45;54;60;31;51;23;62;61;34;37;9;48;43;38;41;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;28;44;32;3;280
3;280;8;1;46;42;57;49;16;52;21;40;63;30;56;10;47;29;55;6;59;22;35;12;39;18;20;27;7;64;25;17;45;54;60;31;51;23;62;61;34;37;9;48;43;38;41;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;28;44;32
8;1;46;42;57;49;16;52;21;40;63;30;56;10;47;29;55;6;59;22;35;12;39;18;20;27;7;64;25;17;28;54;60;31;51;23;62;61;34;37;9;48;43;38;41;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;45;44;32;3;280
3;280;8;1;46;42;57;49;16;52;21;40;63;30;56;10;47;29;55;6;59;22;35;12;39;18;20;27;7;64;25;17;28;54;60;31;51;23;62;61;34;37;9;48;43;38;41;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;45;44;32
8;1;46;42;57;49;16;52;21;40;63;30;56;10;47;29;55;6;59;22;35;12;45;18;20;27;7;64;25;17;28;54;60;31;51;23;62;61;34;37;9;48;43;38;41;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;39;44;32;3;280
3;280;8;1;46;42;57;49;16;52;21;40;63;30;56;10;47;29;55;6;59;22;35;12;45;18;20;27;7;64;25;17;28;54;60;31;51;23;62;61;34;37;9;48;43;38;41;15;2;5;4;13;3;50;26;53;11;33;36;24;14;19;58;39;44;32
8;1;46;42;57;49;16;52;21;40;63;30;56;10;47;29;55;6;59;22;35;12;45;18;20;27;7;64;25;17;28;54;60;31;51;23;62;61;34;37;9;48;43;38;41;15;2;5;4;13;3;50;26;14;11;33;36;24;53;19;58;39;44;32;3;280
3;280;8;1;46;42;57;49;16;52;21;40;63;30;56;10;47;29;55;6;59;22;35;12;45;18;20;27;7;64;25;17;28;54;60;31;51;23;62;61;34;37;9;48;43;38;41;15;2;5;4;13;3;50;26;14;11;33;36;24;53;19;58;39;44;32
8;1;46;42;57;49;16;52;21;40;63;30;56;10;47;29;55;6;59;22;23;12;45;18;20;27;7;64;25;17;28;54;60;31;51;35;62;61;34;37;9;48;43;38;41;15;2;5;4;13;3;50;26;14;11;33;36;24;53;19;58;39;44;32;3;280
