"X1";"X280";"X39";"X21";"X42";"X46";"X43";"X28";"X9";"X6";"X3";"X22";"X1.1";"X49";"X52";"X53";"X4";"X2";"X51";"X18";"X32";"X33";"X31";"X14";"X54";"X34";"X48";"X61";"X38";"X58";"X37";"X44";"X63";"X29";"X7";"X24";"X26";"X59";"X27";"X55";"X15";"X62";"X23";"X47";"X10";"X17";"X30";"X35";"X36";"X25";"X56";"X19";"X41";"X64";"X50";"X11";"X20";"X8";"X60";"X16";"X5";"X40";"X13";"X57";"X12";"X45"
39;10;42;46;40;36;9;6;43;22;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;41;58;37;44;63;29;50;24;26;1;27;55;34;62;23;47;21;17;19;20;28;25;56;45;38;64;53;11;35;8;60;16;5;3;59;57;12;61;1;252
1;252;39;10;42;46;40;36;9;6;43;22;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;41;58;37;44;63;29;50;24;26;1;27;55;34;62;23;47;21;17;19;20;28;25;56;45;38;64;53;11;35;8;60;16;5;3;59;57;12;61
39;10;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;41;58;37;44;63;29;50;24;26;1;27;55;34;62;23;47;21;17;19;20;28;25;56;45;38;64;53;11;35;8;60;16;5;3;59;57;12;61;1;256
1;256;39;10;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;41;58;37;44;63;29;50;24;26;1;27;55;34;62;23;47;21;17;19;20;28;25;56;45;38;64;53;11;35;8;60;16;5;3;59;57;12;61
39;10;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;58;41;37;44;63;29;50;24;26;1;27;55;34;62;23;47;21;17;19;20;28;25;56;45;38;64;53;11;35;8;60;16;5;3;59;57;12;61;1;260
1;260;39;10;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;58;41;37;44;63;29;50;24;26;1;27;55;34;62;23;47;21;17;19;20;28;25;56;45;38;64;53;11;35;8;60;16;5;3;59;57;12;61
39;10;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;58;41;37;44;63;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;28;25;56;45;38;64;53;11;35;8;60;16;5;3;59;57;12;61;1;260
1;260;39;10;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;58;41;37;44;63;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;28;25;56;45;38;64;53;11;35;8;60;16;5;3;59;57;12;61
39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;58;41;37;44;63;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;28;25;56;45;38;64;53;11;35;8;60;16;5;3;59;57;12;10;1;260
1;260;39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;58;41;37;44;63;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;28;25;56;45;38;64;53;11;35;8;60;16;5;3;59;57;12;10
39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;58;41;37;44;63;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;10;25;56;45;38;64;53;11;35;8;60;16;5;3;59;57;12;28;1;260
2;260;39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;58;41;37;44;63;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;10;25;56;45;38;64;53;11;35;8;60;16;5;3;59;57;12;28
39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;58;41;37;44;63;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;10;25;56;45;38;64;53;11;60;8;35;16;5;3;59;57;12;28;2;260
2;260;39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;58;41;37;44;63;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;10;25;56;45;38;64;53;11;60;8;35;16;5;3;59;57;12;28
39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;58;41;37;44;12;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;10;25;56;45;38;64;53;11;60;8;35;16;5;3;59;57;63;28;2;260
2;260;39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;32;33;7;14;54;15;48;30;58;41;37;44;12;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;10;25;56;45;38;64;53;11;60;8;35;16;5;3;59;57;63;28
39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;25;33;7;14;54;15;48;30;58;41;37;44;12;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;10;32;56;45;38;64;53;11;60;8;35;16;5;3;59;57;63;28;2;256
2;256;39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;25;33;7;14;54;15;48;30;58;41;37;44;12;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;10;32;56;45;38;64;53;11;60;8;35;16;5;3;59;57;63;28
39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;15;33;7;14;54;25;48;30;58;41;37;44;12;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;10;32;56;45;38;64;53;11;60;8;35;16;5;3;59;57;63;28;2;256
2;256;39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;15;33;7;14;54;25;48;30;58;41;37;44;12;29;50;24;26;1;27;55;34;21;23;47;62;17;19;20;10;32;56;45;38;64;53;11;60;8;35;16;5;3;59;57;63;28
39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;15;33;7;14;54;25;48;30;58;41;37;44;12;29;50;24;26;1;27;55;34;21;23;47;59;17;19;20;10;32;56;45;38;64;53;11;60;8;35;16;5;3;62;57;63;28;2;256
2;256;39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;15;33;7;14;54;25;48;30;58;41;37;44;12;29;50;24;26;1;27;55;34;21;23;47;59;17;19;20;10;32;56;45;38;64;53;11;60;8;35;16;5;3;62;57;63;28
39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;15;33;7;14;54;25;48;30;58;41;37;44;12;24;50;29;26;1;27;55;34;21;23;47;59;17;19;20;10;32;56;45;38;64;53;11;60;8;35;16;5;3;62;57;63;28;2;262
2;262;39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;15;33;7;14;54;25;48;30;58;41;37;44;12;24;50;29;26;1;27;55;34;21;23;47;59;17;19;20;10;32;56;45;38;64;53;11;60;8;35;16;5;3;62;57;63;28
39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;15;33;7;14;54;25;48;30;58;41;37;44;12;24;50;29;26;1;60;55;34;21;23;47;59;17;19;20;10;32;56;45;38;64;53;11;27;8;35;16;5;3;62;57;63;28;2;274
2;274;39;61;42;46;40;36;9;6;22;43;13;49;52;31;4;2;51;18;15;33;7;14;54;25;48;30;58;41;37;44;12;24;50;29;26;1;60;55;34;21;23;47;59;17;19;20;10;32;56;45;38;64;53;11;27;8;35;16;5;3;62;57;63;28
39;36;42;46;40;61;9;6;22;43;13;49;52;31;4;2;51;18;15;33;7;14;54;25;48;30;58;41;37;44;12;24;50;29;26;1;60;55;34;21;23;47;59;17;19;20;10;32;56;45;38;64;53;11;27;8;35;16;5;3;62;57;63;28;2;282
2;282;39;36;42;46;40;61;9;6;22;43;13;49;52;31;4;2;51;18;15;33;7;14;54;25;48;30;58;41;37;44;12;24;50;29;26;1;60;55;34;21;23;47;59;17;19;20;10;32;56;45;38;64;53;11;27;8;35;16;5;3;62;57;63;28
39;36;42;46;40;61;9;6;22;43;13;49;52;31;4;2;51;18;15;32;7;14;54;25;48;30;58;41;37;44;12;24;50;29;26;1;60;55;34;21;23;47;59;17;19;20;10;33;56;45;38;64;53;11;27;8;35;16;5;3;62;57;63;28;2;286
2;286;39;36;42;46;40;61;9;6;22;43;13;49;52;31;4;2;51;18;15;32;7;14;54;25;48;30;58;41;37;44;12;24;50;29;26;1;60;55;34;21;23;47;59;17;19;20;10;33;56;45;38;64;53;11;27;8;35;16;5;3;62;57;63;28
39;36;42;46;40;61;9;6;22;43;13;49;52;31;4;2;51;18;15;32;7;14;54;25;48;30;58;41;37;44;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;45;38;64;53;11;27;8;35;16;5;3;62;57;17;28;2;278
2;278;39;36;42;46;40;61;9;6;22;43;13;49;52;31;4;2;51;18;15;32;7;14;54;25;48;30;58;41;37;44;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;45;38;64;53;11;27;8;35;16;5;3;62;57;17;28
39;36;42;46;40;61;9;6;22;43;13;49;52;31;4;2;51;18;15;32;7;14;54;25;48;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;44;38;64;53;11;27;8;35;16;5;3;62;57;17;28;2;278
2;278;39;36;42;46;40;61;9;6;22;43;13;49;52;31;4;2;51;18;15;32;7;14;54;25;48;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;44;38;64;53;11;27;8;35;16;5;3;62;57;17;28
39;36;42;46;40;61;9;6;48;43;13;49;52;31;4;2;51;18;15;32;7;14;54;25;22;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;44;38;64;53;11;27;8;35;16;5;3;62;57;17;28;2;278
2;278;39;36;42;46;40;61;9;6;48;43;13;49;52;31;4;2;51;18;15;32;7;14;54;25;22;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;44;38;64;53;11;27;8;35;16;5;3;62;57;17;28
46;36;42;39;40;61;9;6;48;43;13;49;52;31;4;2;51;18;15;32;7;14;54;25;22;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;44;38;64;53;11;27;8;35;16;5;3;62;57;17;28;2;278
2;278;46;36;42;39;40;61;9;6;48;43;13;49;52;31;4;2;51;18;15;32;7;14;54;25;22;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;44;38;64;53;11;27;8;35;16;5;3;62;57;17;28
46;36;42;39;40;61;9;6;48;43;13;49;52;31;4;2;51;18;15;32;7;14;54;25;22;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;44;38;64;57;11;27;8;35;16;5;3;62;53;17;28;2;278
2;278;46;36;42;39;40;61;9;6;48;43;13;49;52;31;4;2;51;18;15;32;7;14;54;25;22;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;44;38;64;57;11;27;8;35;16;5;3;62;53;17;28
46;36;42;39;40;61;9;6;48;43;13;49;52;31;4;2;51;18;15;32;7;62;54;25;22;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;44;38;64;57;11;27;8;35;16;5;3;14;53;17;28;2;278
2;278;46;36;42;39;40;61;9;6;48;43;13;49;52;31;4;2;51;18;15;32;7;62;54;25;22;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;44;38;64;57;11;27;8;35;16;5;3;14;53;17;28
46;36;42;39;40;61;9;6;48;43;13;49;52;31;4;2;8;18;15;32;7;62;54;25;22;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28;2;274
2;274;46;36;42;39;40;61;9;6;48;43;13;49;52;31;4;2;8;18;15;32;7;62;54;25;22;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;20;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28
46;36;42;39;40;61;9;6;48;43;13;49;52;31;4;20;8;18;15;32;7;62;54;25;22;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;2;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28;2;278
2;278;46;36;42;39;40;61;9;6;48;43;13;49;52;31;4;20;8;18;15;32;7;62;54;25;22;30;58;41;37;45;12;24;50;29;26;1;60;55;34;21;23;47;59;63;19;2;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28
46;36;42;39;40;61;9;6;48;43;13;49;52;31;4;60;8;18;15;32;7;62;54;25;22;30;58;41;37;45;12;24;50;29;26;1;20;55;34;21;23;47;59;63;19;2;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28;2;274
2;274;46;36;42;39;40;61;9;6;48;43;13;49;52;31;4;60;8;18;15;32;7;62;54;25;22;30;58;41;37;45;12;24;50;29;26;1;20;55;34;21;23;47;59;63;19;2;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28
46;12;42;39;40;61;9;6;48;43;13;49;52;31;4;60;8;18;15;32;7;62;54;25;22;30;58;41;37;45;36;24;50;29;26;1;20;55;34;21;23;47;59;63;19;2;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28;2;274
2;274;46;12;42;39;40;61;9;6;48;43;13;49;52;31;4;60;8;18;15;32;7;62;54;25;22;30;58;41;37;45;36;24;50;29;26;1;20;55;34;21;23;47;59;63;19;2;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28
46;12;42;39;40;61;9;6;48;43;13;30;52;31;4;60;8;18;15;32;7;62;54;25;22;49;58;41;37;45;36;24;50;29;26;1;20;55;34;21;23;47;59;63;19;2;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28;2;274
3;274;46;12;42;39;40;61;9;6;48;43;13;30;52;31;4;60;8;18;15;32;7;62;54;25;22;49;58;41;37;45;36;24;50;29;26;1;20;55;34;21;23;47;59;63;19;2;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28
46;12;42;39;40;61;9;6;48;43;13;30;52;31;4;41;8;18;15;32;7;62;54;25;22;49;58;60;37;45;36;24;50;29;26;1;20;55;34;21;23;47;59;63;19;2;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28;3;274
3;274;46;12;42;39;40;61;9;6;48;43;13;30;52;31;4;41;8;18;15;32;7;62;54;25;22;49;58;60;37;45;36;24;50;29;26;1;20;55;34;21;23;47;59;63;19;2;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28
46;12;42;39;40;62;9;6;48;43;13;30;52;31;4;41;8;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;50;29;26;1;20;55;34;21;23;47;59;63;19;2;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28;3;272
3;272;46;12;42;39;40;62;9;6;48;43;13;30;52;31;4;41;8;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;50;29;26;1;20;55;34;21;23;47;59;63;19;2;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28
46;12;42;39;40;62;9;6;48;43;13;30;52;2;4;41;8;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;50;29;26;1;20;55;34;21;23;47;59;63;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28;3;272
3;272;46;12;42;39;40;62;9;6;48;43;13;30;52;2;4;41;8;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;50;29;26;1;20;55;34;21;23;47;59;63;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;17;28
46;12;42;39;40;62;9;6;48;43;13;30;52;2;4;41;8;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;50;29;26;1;20;55;34;21;23;47;59;17;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28;3;268
3;268;46;12;42;39;40;62;9;6;48;43;13;30;52;2;4;41;8;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;50;29;26;1;20;55;34;21;23;47;59;17;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28
46;12;42;39;40;62;9;6;48;43;13;30;52;2;4;20;8;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;50;29;26;1;41;55;34;21;23;47;59;17;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28;3;272
3;272;46;12;42;39;40;62;9;6;48;43;13;30;52;2;4;20;8;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;50;29;26;1;41;55;34;21;23;47;59;17;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28
46;12;42;39;40;62;9;6;48;43;13;30;52;2;4;20;59;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;50;29;26;1;41;55;34;21;23;47;8;17;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28;3;280
3;280;46;12;42;39;40;62;9;6;48;43;13;30;52;2;4;20;59;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;50;29;26;1;41;55;34;21;23;47;8;17;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28
46;12;42;39;40;62;9;6;48;43;13;30;52;2;50;20;59;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;4;29;26;1;41;55;34;21;23;47;8;17;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28;3;288
3;288;46;12;42;39;40;62;9;6;48;43;13;30;52;2;50;20;59;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;4;29;26;1;41;55;34;21;23;47;8;17;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28
46;12;42;39;40;62;9;6;48;43;13;30;52;2;50;20;59;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;26;29;4;1;41;55;34;21;23;47;8;17;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28;3;288
3;288;46;12;42;39;40;62;9;6;48;43;13;30;52;2;50;20;59;18;15;32;7;61;54;25;22;49;58;60;37;45;36;24;26;29;4;1;41;55;34;21;23;47;8;17;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28
46;25;42;39;40;62;9;6;48;43;13;30;52;2;50;20;59;18;15;32;7;61;54;12;22;49;58;60;37;45;36;24;26;29;4;1;41;55;34;21;23;47;8;17;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28;3;288
3;288;46;25;42;39;40;62;9;6;48;43;13;30;52;2;50;20;59;18;15;32;7;61;54;12;22;49;58;60;37;45;36;24;26;29;4;1;41;55;34;21;23;47;8;17;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28
46;25;42;39;40;62;9;6;48;43;13;30;52;2;50;20;59;18;15;32;7;61;54;12;22;49;58;60;37;45;36;24;26;17;4;1;41;55;34;21;23;47;8;29;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28;3;280
3;280;46;25;42;39;40;62;9;6;48;43;13;30;52;2;50;20;59;18;15;32;7;61;54;12;22;49;58;60;37;45;36;24;26;17;4;1;41;55;34;21;23;47;8;29;19;31;10;33;56;44;38;64;57;11;27;51;35;16;5;3;14;53;63;28
46;25;42;39;40;62;9;6;48;43;13;30;52;2;50;20;44;18;15;32;7;61;54;12;22;49;58;60;37;45;36;24;26;17;4;1;41;55;34;21;23;47;8;29;19;31;10;33;56;59;38;64;57;11;27;51;35;16;5;3;14;53;63;28;3;280
