"X1";"X280";"X53";"X62";"X20";"X58";"X27";"X12";"X48";"X33";"X21";"X59";"X36";"X15";"X25";"X46";"X57";"X47";"X28";"X52";"X18";"X24";"X56";"X29";"X37";"X54";"X32";"X22";"X26";"X40";"X2";"X8";"X16";"X11";"X44";"X19";"X51";"X45";"X3";"X17";"X49";"X42";"X50";"X13";"X60";"X55";"X30";"X63";"X14";"X4";"X9";"X35";"X7";"X1.1";"X6";"X31";"X10";"X38";"X39";"X64";"X43";"X23";"X34";"X5";"X41";"X61"
53;62;20;58;46;12;48;47;24;59;40;57;25;27;15;11;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;33;9;50;51;4;3;17;49;42;19;13;60;55;30;63;14;45;44;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61;1;212
1;212;53;62;20;58;46;12;48;47;24;59;40;57;25;27;15;11;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;33;9;50;51;4;3;17;49;42;19;13;60;55;30;63;14;45;44;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61
53;62;20;58;46;12;48;47;24;59;40;57;25;27;15;11;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;33;9;50;51;30;3;17;49;42;19;13;60;55;4;63;14;45;44;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61;1;212
1;212;53;62;20;58;46;12;48;47;24;59;40;57;25;27;15;11;28;52;31;21;56;29;37;54;32;22;26;36;2;8;16;33;9;50;51;30;3;17;49;42;19;13;60;55;4;63;14;45;44;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61
53;62;20;58;46;12;37;47;24;59;40;57;25;27;15;11;28;52;31;21;56;29;48;54;32;22;26;36;2;8;16;33;9;50;51;30;3;17;49;42;19;13;60;55;4;63;14;45;44;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61;1;212
1;212;53;62;20;58;46;12;37;47;24;59;40;57;25;27;15;11;28;52;31;21;56;29;48;54;32;22;26;36;2;8;16;33;9;50;51;30;3;17;49;42;19;13;60;55;4;63;14;45;44;35;7;1;6;18;10;38;39;64;43;23;34;5;41;61
53;62;20;58;46;12;37;47;24;59;40;57;25;27;15;11;28;52;31;21;56;29;48;54;32;22;26;36;2;8;16;33;9;50;51;30;3;17;49;42;19;13;60;55;4;63;14;45;44;35;7;1;6;18;41;38;39;64;43;23;34;5;10;61;1;212
1;212;53;62;20;58;46;12;37;47;24;59;40;57;25;27;15;11;28;52;31;21;56;29;48;54;32;22;26;36;2;8;16;33;9;50;51;30;3;17;49;42;19;13;60;55;4;63;14;45;44;35;7;1;6;18;41;38;39;64;43;23;34;5;10;61
53;62;20;58;46;12;37;47;24;59;40;57;25;27;15;11;28;52;31;21;56;29;48;54;32;22;26;36;2;8;16;33;9;50;51;30;3;17;49;42;19;13;60;55;4;63;14;45;44;35;7;1;61;18;41;38;39;64;43;23;34;5;10;6;1;212
1;212;53;62;20;58;46;12;37;47;24;59;40;57;25;27;15;11;28;52;31;21;56;29;48;54;32;22;26;36;2;8;16;33;9;50;51;30;3;17;49;42;19;13;60;55;4;63;14;45;44;35;7;1;61;18;41;38;39;64;43;23;34;5;10;6
53;62;20;58;46;12;37;47;24;27;40;57;25;59;15;11;28;52;31;21;56;29;48;54;32;22;26;36;2;8;16;33;9;50;51;30;3;17;49;42;19;13;60;55;4;63;14;45;44;35;7;1;61;18;41;38;39;64;43;23;34;5;10;6;1;216
1;216;53;62;20;58;46;12;37;47;24;27;40;57;25;59;15;11;28;52;31;21;56;29;48;54;32;22;26;36;2;8;16;33;9;50;51;30;3;17;49;42;19;13;60;55;4;63;14;45;44;35;7;1;61;18;41;38;39;64;43;23;34;5;10;6
53;62;20;58;46;12;37;47;24;27;40;57;25;59;15;11;28;60;31;21;56;29;48;54;32;22;26;36;2;8;16;33;9;50;51;30;3;17;49;42;19;13;52;55;4;63;14;45;44;35;7;1;61;18;41;38;39;64;43;23;34;5;10;6;1;216
1;216;53;62;20;58;46;12;37;47;24;27;40;57;25;59;15;11;28;60;31;21;56;29;48;54;32;22;26;36;2;8;16;33;9;50;51;30;3;17;49;42;19;13;52;55;4;63;14;45;44;35;7;1;61;18;41;38;39;64;43;23;34;5;10;6
53;62;20;58;46;12;37;47;24;27;40;57;25;59;15;11;28;60;31;21;56;29;48;54;32;22;26;36;2;55;16;33;9;50;51;30;3;17;49;42;19;13;52;8;4;63;14;45;44;35;7;1;61;18;41;38;39;64;43;23;34;5;10;6;1;224
1;224;53;62;20;58;46;12;37;47;24;27;40;57;25;59;15;11;28;60;31;21;56;29;48;54;32;22;26;36;2;55;16;33;9;50;51;30;3;17;49;42;19;13;52;8;4;63;14;45;44;35;7;1;61;18;41;38;39;64;43;23;34;5;10;6
53;62;20;58;48;12;37;47;24;27;40;57;25;59;15;11;28;60;31;21;56;29;46;54;32;22;26;36;2;55;16;33;9;50;51;30;3;17;49;42;19;13;52;8;4;63;14;45;44;35;7;1;61;18;41;38;39;64;43;23;34;5;10;6;1;224
1;224;53;62;20;58;48;12;37;47;24;27;40;57;25;59;15;11;28;60;31;21;56;29;46;54;32;22;26;36;2;55;16;33;9;50;51;30;3;17;49;42;19;13;52;8;4;63;14;45;44;35;7;1;61;18;41;38;39;64;43;23;34;5;10;6
53;62;20;58;48;12;37;47;24;27;40;57;25;59;15;11;28;60;31;21;56;29;46;54;32;22;61;36;2;55;16;33;9;50;51;30;3;17;49;42;19;13;52;8;4;63;14;45;44;35;7;1;26;18;41;38;39;64;43;23;34;5;10;6;1;216
1;216;53;62;20;58;48;12;37;47;24;27;40;57;25;59;15;11;28;60;31;21;56;29;46;54;32;22;61;36;2;55;16;33;9;50;51;30;3;17;49;42;19;13;52;8;4;63;14;45;44;35;7;1;26;18;41;38;39;64;43;23;34;5;10;6
53;62;20;58;48;12;37;47;24;27;40;57;25;59;15;11;28;60;31;21;56;29;46;54;32;22;61;36;2;55;16;33;9;50;51;30;3;17;49;42;19;10;52;8;4;63;14;45;44;35;7;1;26;18;41;38;39;64;43;23;34;5;13;6;1;216
2;216;53;62;20;58;48;12;37;47;24;27;40;57;25;59;15;11;28;60;31;21;56;29;46;54;32;22;61;36;2;55;16;33;9;50;51;30;3;17;49;42;19;10;52;8;4;63;14;45;44;35;7;1;26;18;41;38;39;64;43;23;34;5;13;6
53;62;20;58;48;12;37;47;24;27;40;7;25;59;15;11;28;60;31;21;56;29;46;54;32;22;61;36;2;55;16;33;9;50;51;30;3;17;49;42;19;10;52;8;4;63;14;45;44;35;57;1;26;18;41;38;39;64;43;23;34;5;13;6;2;216
2;216;53;62;20;58;48;12;37;47;24;27;40;7;25;59;15;11;28;60;31;21;56;29;46;54;32;22;61;36;2;55;16;33;9;50;51;30;3;17;49;42;19;10;52;8;4;63;14;45;44;35;57;1;26;18;41;38;39;64;43;23;34;5;13;6
53;62;20;58;48;12;37;47;24;27;40;7;25;59;15;11;28;60;31;21;56;29;46;54;32;22;61;36;17;55;16;33;9;50;51;30;3;2;49;42;19;10;52;8;4;63;14;45;44;35;57;1;26;18;41;38;39;64;43;23;34;5;13;6;2;216
2;216;53;62;20;58;48;12;37;47;24;27;40;7;25;59;15;11;28;60;31;21;56;29;46;54;32;22;61;36;17;55;16;33;9;50;51;30;3;2;49;42;19;10;52;8;4;63;14;45;44;35;57;1;26;18;41;38;39;64;43;23;34;5;13;6
53;62;20;58;48;12;37;47;24;27;40;7;25;59;15;11;28;60;31;21;56;29;46;54;32;22;61;36;17;55;16;33;9;50;51;30;3;49;2;42;19;10;52;8;4;63;14;45;44;35;57;1;26;18;41;38;39;64;43;23;34;5;13;6;2;234
2;234;53;62;20;58;48;12;37;47;24;27;40;7;25;59;15;11;28;60;31;21;56;29;46;54;32;22;61;36;17;55;16;33;9;50;51;30;3;49;2;42;19;10;52;8;4;63;14;45;44;35;57;1;26;18;41;38;39;64;43;23;34;5;13;6
53;62;20;58;48;12;37;47;24;27;40;7;25;59;15;11;28;60;31;21;56;29;46;54;32;22;61;36;17;55;16;33;9;50;51;30;3;49;2;42;19;10;52;8;4;63;14;45;39;35;57;1;26;18;41;38;44;64;43;23;34;5;13;6;2;234
2;234;53;62;20;58;48;12;37;47;24;27;40;7;25;59;15;11;28;60;31;21;56;29;46;54;32;22;61;36;17;55;16;33;9;50;51;30;3;49;2;42;19;10;52;8;4;63;14;45;39;35;57;1;26;18;41;38;44;64;43;23;34;5;13;6
53;62;20;58;48;12;37;47;24;27;40;7;25;59;15;11;28;60;31;21;56;29;46;54;63;22;61;36;17;55;16;33;9;50;51;30;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;64;43;23;34;5;13;6;2;230
2;230;53;62;20;58;48;12;37;47;24;27;40;7;25;59;15;11;28;60;31;21;56;29;46;54;63;22;61;36;17;55;16;33;9;50;51;30;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;64;43;23;34;5;13;6
53;62;20;58;48;12;37;47;24;27;40;7;25;59;15;11;28;60;31;21;56;29;46;54;63;64;61;36;17;55;16;33;9;50;51;30;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;22;43;23;34;5;13;6;2;230
2;230;53;62;20;58;48;12;37;47;24;27;40;7;25;59;15;11;28;60;31;21;56;29;46;54;63;64;61;36;17;55;16;33;9;50;51;30;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;22;43;23;34;5;13;6
53;62;20;58;48;12;37;47;24;27;40;5;25;59;15;11;28;60;31;21;56;29;46;54;63;64;61;36;17;55;16;33;9;50;51;30;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;22;43;23;34;7;13;6;2;230
2;230;53;62;20;58;48;12;37;47;24;27;40;5;25;59;15;11;28;60;31;21;56;29;46;54;63;64;61;36;17;55;16;33;9;50;51;30;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;22;43;23;34;7;13;6
53;62;20;58;47;12;37;48;24;27;40;5;25;59;15;11;28;60;31;21;56;29;46;54;63;64;61;36;17;55;16;33;9;50;51;30;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;22;43;23;34;7;13;6;2;230
2;230;53;62;20;58;47;12;37;48;24;27;40;5;25;59;15;11;28;60;31;21;56;29;46;54;63;64;61;36;17;55;16;33;9;50;51;30;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;22;43;23;34;7;13;6
53;62;20;58;47;12;37;48;24;27;40;5;25;59;15;11;28;60;30;21;56;29;46;54;63;64;61;36;17;55;16;33;9;50;51;31;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;22;43;23;34;7;13;6;2;246
2;246;53;62;20;58;47;12;37;48;24;27;40;5;25;59;15;11;28;60;30;21;56;29;46;54;63;64;61;36;17;55;16;33;9;50;51;31;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;22;43;23;34;7;13;6
53;62;20;58;47;12;37;48;24;27;40;5;25;59;15;11;28;60;30;21;56;29;64;54;63;46;61;36;17;55;16;33;9;50;51;31;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;22;43;23;34;7;13;6;2;246
2;246;53;62;20;58;47;12;37;48;24;27;40;5;25;59;15;11;28;60;30;21;56;29;64;54;63;46;61;36;17;55;16;33;9;50;51;31;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;22;43;23;34;7;13;6
53;62;20;58;47;12;37;48;24;27;40;5;25;59;15;11;54;60;30;21;56;29;64;28;63;46;61;36;17;55;16;33;9;50;51;31;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;22;43;23;34;7;13;6;2;274
2;274;53;62;20;58;47;12;37;48;24;27;40;5;25;59;15;11;54;60;30;21;56;29;64;28;63;46;61;36;17;55;16;33;9;50;51;31;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;1;26;18;41;38;44;22;43;23;34;7;13;6
53;62;20;58;47;12;37;48;24;27;40;5;25;59;15;11;54;60;30;21;56;29;64;28;63;46;61;36;17;55;16;33;9;50;51;31;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;34;26;18;41;38;44;22;43;23;1;7;13;6;2;274
2;274;53;62;20;58;47;12;37;48;24;27;40;5;25;59;15;11;54;60;30;21;56;29;64;28;63;46;61;36;17;55;16;33;9;50;51;31;3;49;2;42;19;10;52;8;4;32;14;45;39;35;57;34;26;18;41;38;44;22;43;23;1;7;13;6
53;62;20;58;47;12;37;2;24;27;40;5;25;59;15;11;54;60;30;21;56;29;64;28;63;46;61;36;17;55;16;33;9;50;51;31;3;49;48;42;19;10;52;8;4;32;14;45;39;35;57;34;26;18;41;38;44;22;43;23;1;7;13;6;2;274
2;274;53;62;20;58;47;12;37;2;24;27;40;5;25;59;15;11;54;60;30;21;56;29;64;28;63;46;61;36;17;55;16;33;9;50;51;31;3;49;48;42;19;10;52;8;4;32;14;45;39;35;57;34;26;18;41;38;44;22;43;23;1;7;13;6
53;62;20;58;47;12;37;2;24;27;40;5;25;59;15;11;54;60;30;21;56;29;64;28;63;46;61;32;17;55;16;33;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;57;34;26;18;41;38;44;22;43;23;1;7;13;6;2;286
2;286;53;62;20;58;47;12;37;2;24;27;40;5;25;59;15;11;54;60;30;21;56;29;64;28;63;46;61;32;17;55;16;33;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;57;34;26;18;41;38;44;22;43;23;1;7;13;6
53;62;20;58;47;12;37;2;24;27;40;5;25;59;15;11;54;33;30;21;56;29;64;28;63;46;61;32;17;55;16;60;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;57;34;26;18;41;38;44;22;43;23;1;7;13;6;2;278
2;278;53;62;20;58;47;12;37;2;24;27;40;5;25;59;15;11;54;33;30;21;56;29;64;28;63;46;61;32;17;55;16;60;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;57;34;26;18;41;38;44;22;43;23;1;7;13;6
53;62;20;58;47;12;37;2;24;27;56;5;25;59;15;11;54;33;30;21;40;29;64;28;63;46;61;32;17;55;16;60;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;57;34;26;18;41;38;44;22;43;23;1;7;13;6;2;282
2;282;53;62;20;58;47;12;37;2;24;27;56;5;25;59;15;11;54;33;30;21;40;29;64;28;63;46;61;32;17;55;16;60;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;57;34;26;18;41;38;44;22;43;23;1;7;13;6
22;62;20;58;47;12;37;2;24;27;56;5;25;59;15;11;54;33;30;21;40;29;64;28;63;46;61;32;17;55;16;60;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;57;34;26;18;41;38;44;53;43;23;1;7;13;6;2;282
2;282;22;62;20;58;47;12;37;2;24;27;56;5;25;59;15;11;54;33;30;21;40;29;64;28;63;46;61;32;17;55;16;60;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;57;34;26;18;41;38;44;53;43;23;1;7;13;6
22;62;20;58;47;12;37;2;24;27;56;5;25;59;15;11;54;33;30;21;40;29;64;28;63;46;61;32;17;55;16;57;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;60;34;26;18;41;38;44;53;43;23;1;7;13;6;2;286
2;286;22;62;20;58;47;12;37;2;24;27;56;5;25;59;15;11;54;33;30;21;40;29;64;28;63;46;61;32;17;55;16;57;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;60;34;26;18;41;38;44;53;43;23;1;7;13;6
22;62;20;58;47;12;37;2;24;27;56;5;25;59;15;11;54;33;30;21;40;29;64;28;63;46;61;32;17;55;16;57;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;60;34;26;18;41;38;44;53;43;1;23;7;13;6;2;286
2;286;22;62;20;58;47;12;37;2;24;27;56;5;25;59;15;11;54;33;30;21;40;29;64;28;63;46;61;32;17;55;16;57;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;60;34;26;18;41;38;44;53;43;1;23;7;13;6
22;62;20;58;47;12;37;2;24;27;56;17;25;59;15;11;54;33;30;21;40;29;64;28;63;46;61;32;5;55;16;57;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;60;34;26;18;41;38;44;53;43;1;23;7;13;6;2;286
3;286;22;62;20;58;47;12;37;2;24;27;56;17;25;59;15;11;54;33;30;21;40;29;64;28;63;46;61;32;5;55;16;57;9;50;51;31;3;49;48;42;19;10;52;8;4;36;14;45;39;35;60;34;26;18;41;38;44;53;43;1;23;7;13;6
22;62;20;58;47;12;37;2;24;27;56;17;25;59;15;11;54;33;31;21;40;29;64;28;63;46;61;32;5;55;16;57;9;50;51;30;3;49;48;42;19;10;52;8;4;36;14;45;39;35;60;34;26;18;41;38;44;53;43;1;23;7;13;6;3;278
3;278;22;62;20;58;47;12;37;2;24;27;56;17;25;59;15;11;54;33;31;21;40;29;64;28;63;46;61;32;5;55;16;57;9;50;51;30;3;49;48;42;19;10;52;8;4;36;14;45;39;35;60;34;26;18;41;38;44;53;43;1;23;7;13;6
51;62;20;58;47;12;37;2;24;27;56;17;25;59;15;11;54;33;31;21;40;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;19;10;52;8;4;36;14;45;39;35;60;34;26;18;41;38;44;53;43;1;23;7;13;6;3;278
3;278;51;62;20;58;47;12;37;2;24;27;56;17;25;59;15;11;54;33;31;21;40;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;19;10;52;8;4;36;14;45;39;35;60;34;26;18;41;38;44;53;43;1;23;7;13;6
51;62;20;58;47;12;37;2;24;27;56;40;25;59;15;11;54;33;31;21;17;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;19;10;52;8;4;36;14;45;39;35;60;34;26;18;41;38;44;53;43;1;23;7;13;6;3;278
3;278;51;62;20;58;47;12;37;2;24;27;56;40;25;59;15;11;54;33;31;21;17;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;19;10;52;8;4;36;14;45;39;35;60;34;26;18;41;38;44;53;43;1;23;7;13;6
51;62;20;58;47;12;37;2;24;27;56;40;25;59;15;11;54;33;31;21;17;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;19;10;52;8;4;36;14;45;39;35;23;34;26;18;41;38;44;53;43;1;60;7;13;6;3;278
3;278;51;62;20;58;47;12;37;2;24;27;56;40;25;59;15;11;54;33;31;21;17;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;19;10;52;8;4;36;14;45;39;35;23;34;26;18;41;38;44;53;43;1;60;7;13;6
51;62;20;58;47;12;37;2;24;27;56;40;25;59;15;11;54;33;31;21;17;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;60;10;52;8;4;36;14;45;39;35;23;34;26;18;41;38;44;53;43;1;19;7;13;6;3;278
3;278;51;62;20;58;47;12;37;2;24;27;56;40;25;59;15;11;54;33;31;21;17;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;60;10;52;8;4;36;14;45;39;35;23;34;26;18;41;38;44;53;43;1;19;7;13;6
51;62;20;58;47;12;37;2;24;27;56;40;25;4;15;11;54;33;31;21;17;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;60;10;52;8;59;36;14;45;39;35;23;34;26;18;41;38;44;53;43;1;19;7;13;6;3;262
3;262;51;62;20;58;47;12;37;2;24;27;56;40;25;4;15;11;54;33;31;21;17;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;60;10;52;8;59;36;14;45;39;35;23;34;26;18;41;38;44;53;43;1;19;7;13;6
51;62;20;58;47;12;37;2;24;27;56;40;25;4;15;11;54;33;31;21;17;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;60;10;52;8;59;36;14;45;39;19;23;34;26;18;41;38;44;53;43;1;35;7;13;6;3;262
3;262;51;62;20;58;47;12;37;2;24;27;56;40;25;4;15;11;54;33;31;21;17;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;60;10;52;8;59;36;14;45;39;19;23;34;26;18;41;38;44;53;43;1;35;7;13;6
51;62;20;58;47;12;59;2;24;27;56;40;25;4;15;11;54;33;31;21;17;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;60;10;52;8;37;36;14;45;39;19;23;34;26;18;41;38;44;53;43;1;35;7;13;6;3;262
3;262;51;62;20;58;47;12;59;2;24;27;56;40;25;4;15;11;54;33;31;21;17;29;64;28;63;46;61;32;5;55;16;57;9;50;22;30;3;49;48;42;60;10;52;8;37;36;14;45;39;19;23;34;26;18;41;38;44;53;43;1;35;7;13;6
51;62;20;58;47;12;46;2;24;27;56;40;25;4;15;11;54;33;31;21;17;29;64;28;63;59;61;32;5;55;16;57;9;50;22;30;3;49;48;42;60;10;52;8;37;36;14;45;39;19;23;34;26;18;41;38;44;53;43;1;35;7;13;6;3;262
3;262;51;62;20;58;47;12;46;2;24;27;56;40;25;4;15;11;54;33;31;21;17;29;64;28;63;59;61;32;5;55;16;57;9;50;22;30;3;49;48;42;60;10;52;8;37;36;14;45;39;19;23;34;26;18;41;38;44;53;43;1;35;7;13;6
51;62;20;58;47;12;46;2;24;27;56;40;25;4;15;11;54;33;31;21;30;29;64;28;63;59;61;32;5;55;16;57;9;50;22;17;3;49;48;42;60;10;52;8;37;36;14;45;39;19;23;34;26;18;41;38;44;53;43;1;35;7;13;6;3;262
3;262;51;62;20;58;47;12;46;2;24;27;56;40;25;4;15;11;54;33;31;21;30;29;64;28;63;59;61;32;5;55;16;57;9;50;22;17;3;49;48;42;60;10;52;8;37;36;14;45;39;19;23;34;26;18;41;38;44;53;43;1;35;7;13;6
51;62;20;58;47;12;46;2;24;27;56;40;25;4;15;11;54;33;31;21;30;29;64;28;63;59;61;26;5;55;16;57;9;50;22;17;3;49;48;42;60;10;52;8;37;36;14;45;39;19;23;34;32;18;41;38;44;53;43;1;35;7;13;6;3;262
