"X1";"X27752";"X28";"X23";"X13";"X29";"X16";"X8";"X31";"X21";"X15";"X26";"X4";"X3";"X7";"X22";"X19";"X9";"X1.1";"X10";"X12";"X14";"X5";"X18";"X30";"X32";"X20";"X27";"X6";"X11";"X17";"X2";"X25";"X24"
1;26760;10;23;13;29;12;15;18;21;8;16;4;3;7;22;19;9;1;28;25;31;5;26;30;32;20;27;6;11;17;2;14;24
10;23;13;29;12;15;18;21;8;16;4;14;7;22;19;9;1;28;25;31;5;26;30;32;20;27;6;11;17;2;3;24;1;26560
1;26560;10;23;13;29;12;15;18;21;8;16;4;14;7;22;19;9;1;28;25;31;5;26;30;32;20;27;6;11;17;2;3;24
10;23;13;29;12;15;18;21;8;16;4;7;14;22;19;9;1;28;25;31;5;26;30;32;20;27;6;11;17;2;3;24;1;27240
1;27240;10;23;13;29;12;15;18;21;8;16;4;7;14;22;19;9;1;28;25;31;5;26;30;32;20;27;6;11;17;2;3;24
10;23;13;29;12;15;18;21;8;16;4;7;14;22;19;9;1;28;25;31;5;32;30;26;20;27;6;11;17;2;3;24;1;27460
1;27460;10;23;13;29;12;15;18;21;8;16;4;7;14;22;19;9;1;28;25;31;5;32;30;26;20;27;6;11;17;2;3;24
10;23;13;29;12;15;18;21;8;16;4;7;14;22;9;19;1;28;25;31;5;32;30;26;20;27;6;11;17;2;3;24;1;27846
1;27846;10;23;13;29;12;15;18;21;8;16;4;7;14;22;9;19;1;28;25;31;5;32;30;26;20;27;6;11;17;2;3;24
10;23;13;29;12;15;18;21;30;16;4;7;14;22;9;19;1;28;25;31;5;32;8;26;20;27;6;11;17;2;3;24;1;27514
1;27514;10;23;13;29;12;15;18;21;30;16;4;7;14;22;9;19;1;28;25;31;5;32;8;26;20;27;6;11;17;2;3;24
10;23;13;29;12;15;18;21;30;16;4;7;14;22;9;19;1;28;6;31;5;32;8;26;20;27;25;11;17;2;3;24;1;27422
1;27422;10;23;13;29;12;15;18;21;30;16;4;7;14;22;9;19;1;28;6;31;5;32;8;26;20;27;25;11;17;2;3;24
10;5;13;29;12;15;18;21;30;16;4;7;14;22;9;19;1;28;6;31;23;32;8;26;20;27;25;11;17;2;3;24;1;27558
1;27558;10;5;13;29;12;15;18;21;30;16;4;7;14;22;9;19;1;28;6;31;23;32;8;26;20;27;25;11;17;2;3;24
10;5;13;29;12;15;18;21;30;16;4;7;14;22;9;19;1;28;6;31;25;32;8;26;20;27;23;11;17;2;3;24;1;27538
1;27538;10;5;13;29;12;15;18;21;30;16;4;7;14;22;9;19;1;28;6;31;25;32;8;26;20;27;23;11;17;2;3;24
10;5;13;29;12;15;18;21;30;16;4;7;14;22;9;19;1;28;6;31;25;32;8;20;26;27;23;11;17;2;3;24;1;27698
1;27698;10;5;13;29;12;15;18;21;30;16;4;7;14;22;9;19;1;28;6;31;25;32;8;20;26;27;23;11;17;2;3;24
10;5;13;29;12;15;18;21;30;24;4;7;14;22;9;19;1;28;6;31;25;32;8;20;26;27;23;11;17;2;3;16;1;27624
1;27624;10;5;13;29;12;15;18;21;30;24;4;7;14;22;9;19;1;28;6;31;25;32;8;20;26;27;23;11;17;2;3;16
10;5;24;29;12;15;18;21;30;13;4;7;14;22;9;19;1;28;6;31;25;32;8;20;26;27;23;11;17;2;3;16;1;27768
1;27768;10;5;24;29;12;15;18;21;30;13;4;7;14;22;9;19;1;28;6;31;25;32;8;20;26;27;23;11;17;2;3;16
10;5;24;29;12;15;18;21;30;13;4;3;14;22;9;19;1;28;6;31;25;32;8;20;26;27;23;11;17;2;7;16;1;28048
2;28048;10;5;24;29;12;15;18;21;30;13;4;3;14;22;9;19;1;28;6;31;25;32;8;20;26;27;23;11;17;2;7;16
10;5;24;29;12;15;18;21;30;13;4;3;14;22;9;19;1;28;6;31;25;32;8;20;26;27;23;11;2;17;7;16;2;27994
2;27994;10;5;24;29;12;15;18;21;30;13;4;3;14;22;9;19;1;28;6;31;25;32;8;20;26;27;23;11;2;17;7;16
10;30;24;29;12;15;18;21;5;13;4;3;14;22;9;19;1;28;6;31;25;32;8;20;26;27;23;11;2;17;7;16;2;27998
2;27998;10;30;24;29;12;15;18;21;5;13;4;3;14;22;9;19;1;28;6;31;25;32;8;20;26;27;23;11;2;17;7;16
10;30;24;29;12;15;18;21;5;13;4;3;1;22;9;19;14;28;6;31;25;32;8;20;26;27;23;11;2;17;7;16;2;27198
2;27198;10;30;24;29;12;15;18;21;5;13;4;3;1;22;9;19;14;28;6;31;25;32;8;20;26;27;23;11;2;17;7;16
10;30;24;15;12;29;18;21;5;13;4;3;1;22;9;19;14;28;6;31;25;32;8;20;26;27;23;11;2;17;7;16;2;27490
2;27490;10;30;24;15;12;29;18;21;5;13;4;3;1;22;9;19;14;28;6;31;25;32;8;20;26;27;23;11;2;17;7;16
10;30;29;15;12;24;18;21;5;13;4;3;1;22;9;19;14;28;6;31;25;32;8;20;26;27;23;11;2;17;7;16;2;27490
2;27490;10;30;29;15;12;24;18;21;5;13;4;3;1;22;9;19;14;28;6;31;25;32;8;20;26;27;23;11;2;17;7;16
10;30;29;15;12;24;18;21;5;13;4;3;1;22;9;19;14;28;6;31;25;32;8;20;17;27;23;11;2;26;7;16;2;27570
2;27570;10;30;29;15;12;24;18;21;5;13;4;3;1;22;9;19;14;28;6;31;25;32;8;20;17;27;23;11;2;26;7;16
10;19;29;15;12;24;18;21;5;13;4;3;1;22;9;30;14;28;6;31;25;32;8;20;17;27;23;11;2;26;7;16;2;27610
2;27610;10;19;29;15;12;24;18;21;5;13;4;3;1;22;9;30;14;28;6;31;25;32;8;20;17;27;23;11;2;26;7;16
10;19;29;15;12;24;18;21;5;13;4;3;1;22;9;30;14;28;6;31;25;32;8;17;20;27;23;11;2;26;7;16;2;27410
2;27410;10;19;29;15;12;24;18;21;5;13;4;3;1;22;9;30;14;28;6;31;25;32;8;17;20;27;23;11;2;26;7;16
10;19;29;15;12;24;18;21;5;13;4;3;1;22;9;30;14;17;6;31;25;32;8;28;20;27;23;11;2;26;7;16;2;27870
2;27870;10;19;29;15;12;24;18;21;5;13;4;3;1;22;9;30;14;17;6;31;25;32;8;28;20;27;23;11;2;26;7;16
10;19;29;15;12;24;18;13;5;21;4;3;1;22;9;30;14;17;6;31;25;32;8;28;20;27;23;11;2;26;7;16;2;27860
2;27860;10;19;29;15;12;24;18;13;5;21;4;3;1;22;9;30;14;17;6;31;25;32;8;28;20;27;23;11;2;26;7;16
10;19;29;15;12;24;18;13;5;8;4;3;1;22;9;30;14;17;6;31;25;32;21;28;20;27;23;11;2;26;7;16;2;27884
2;27884;10;19;29;15;12;24;18;13;5;8;4;3;1;22;9;30;14;17;6;31;25;32;21;28;20;27;23;11;2;26;7;16
10;19;29;15;12;24;18;13;5;8;4;3;1;22;9;26;14;17;6;31;25;32;21;28;20;27;23;11;2;30;7;16;2;27684
2;27684;10;19;29;15;12;24;18;13;5;8;4;3;1;22;9;26;14;17;6;31;25;32;21;28;20;27;23;11;2;30;7;16
28;19;29;15;12;24;18;13;5;8;4;3;1;22;9;26;14;17;6;31;25;32;21;10;20;27;23;11;2;30;7;16;2;27780
2;27780;28;19;29;15;12;24;18;13;5;8;4;3;1;22;9;26;14;17;6;31;25;32;21;10;20;27;23;11;2;30;7;16
28;19;29;15;12;24;18;13;5;8;16;3;1;22;9;26;14;17;6;31;25;32;21;10;20;27;23;11;2;30;7;4;2;27780
2;27780;28;19;29;15;12;24;18;13;5;8;16;3;1;22;9;26;14;17;6;31;25;32;21;10;20;27;23;11;2;30;7;4
28;19;29;15;12;24;18;13;5;8;16;3;1;22;9;26;14;17;6;31;32;25;21;10;20;27;23;11;2;30;7;4;2;27940
2;27940;28;19;29;15;12;24;18;13;5;8;16;3;1;22;9;26;14;17;6;31;32;25;21;10;20;27;23;11;2;30;7;4
28;19;29;15;12;24;30;13;5;8;16;3;1;22;9;26;14;17;6;31;32;25;21;10;20;27;23;11;2;18;7;4;2;27280
2;27280;28;19;29;15;12;24;30;13;5;8;16;3;1;22;9;26;14;17;6;31;32;25;21;10;20;27;23;11;2;18;7;4
28;19;29;15;12;24;30;11;5;8;16;3;1;22;9;26;14;17;6;31;32;25;21;10;20;27;23;13;2;18;7;4;2;26920
2;26920;28;19;29;15;12;24;30;11;5;8;16;3;1;22;9;26;14;17;6;31;32;25;21;10;20;27;23;13;2;18;7;4
28;19;29;15;12;24;30;11;5;8;16;27;1;22;9;26;14;17;6;31;32;25;21;10;20;3;23;13;2;18;7;4;2;27456
2;27456;28;19;29;15;12;24;30;11;5;8;16;27;1;22;9;26;14;17;6;31;32;25;21;10;20;3;23;13;2;18;7;4
28;19;29;15;12;24;30;11;5;8;16;27;1;22;9;26;14;17;6;31;32;25;21;10;20;3;23;7;2;18;13;4;2;27216
2;27216;28;19;29;15;12;24;30;11;5;8;16;27;1;22;9;26;14;17;6;31;32;25;21;10;20;3;23;7;2;18;13;4
28;19;29;15;12;24;30;27;5;8;16;11;1;22;9;26;14;17;6;31;32;25;21;10;20;3;23;7;2;18;13;4;2;26848
3;26848;28;19;29;15;12;24;30;27;5;8;16;11;1;22;9;26;14;17;6;31;32;25;21;10;20;3;23;7;2;18;13;4
28;19;29;15;12;24;10;27;5;8;16;11;1;22;9;26;14;17;6;31;32;25;21;30;20;3;23;7;2;18;13;4;3;26650
3;26650;28;19;29;15;12;24;10;27;5;8;16;11;1;22;9;26;14;17;6;31;32;25;21;30;20;3;23;7;2;18;13;4
28;1;29;15;12;24;10;27;5;8;16;11;19;22;9;26;14;17;6;31;32;25;21;30;20;3;23;7;2;18;13;4;3;27264
3;27264;28;1;29;15;12;24;10;27;5;8;16;11;19;22;9;26;14;17;6;31;32;25;21;30;20;3;23;7;2;18;13;4
28;1;29;15;12;24;10;27;5;8;16;11;25;22;9;26;14;17;6;31;32;19;21;30;20;3;23;7;2;18;13;4;3;27224
3;27224;28;1;29;15;12;24;10;27;5;8;16;11;25;22;9;26;14;17;6;31;32;19;21;30;20;3;23;7;2;18;13;4
28;1;29;15;12;24;10;27;5;8;16;11;25;22;9;26;14;17;6;31;19;32;21;30;20;3;23;7;2;18;13;4;3;26864
3;26864;28;1;29;15;12;24;10;27;5;8;16;11;25;22;9;26;14;17;6;31;19;32;21;30;20;3;23;7;2;18;13;4
28;1;29;15;12;24;10;27;5;8;16;11;25;22;9;26;19;17;6;31;14;32;21;30;20;3;23;7;2;18;13;4;3;26874
3;26874;28;1;29;15;12;24;10;27;5;8;16;11;25;22;9;26;19;17;6;31;14;32;21;30;20;3;23;7;2;18;13;4
28;1;29;15;12;24;10;27;5;8;20;11;25;22;9;26;19;17;6;31;14;32;21;30;16;3;23;7;2;18;13;4;3;27250
3;27250;28;1;29;15;12;24;10;27;5;8;20;11;25;22;9;26;19;17;6;31;14;32;21;30;16;3;23;7;2;18;13;4
28;1;29;15;12;24;10;32;5;8;20;11;25;22;9;26;19;17;6;31;14;27;21;30;16;3;23;7;2;18;13;4;3;27250
3;27250;28;1;29;15;12;24;10;32;5;8;20;11;25;22;9;26;19;17;6;31;14;27;21;30;16;3;23;7;2;18;13;4
28;1;29;15;12;24;10;32;5;8;20;11;25;22;9;26;19;17;6;31;14;30;21;27;16;3;23;7;2;18;13;4;3;27530
3;27530;28;1;29;15;12;24;10;32;5;8;20;11;25;22;9;26;19;17;6;31;14;30;21;27;16;3;23;7;2;18;13;4
28;1;29;15;12;24;10;32;5;8;20;11;25;22;9;26;30;17;6;31;14;19;21;27;16;3;23;7;2;18;13;4;3;27530
3;27530;28;1;29;15;12;24;10;32;5;8;20;11;25;22;9;26;30;17;6;31;14;19;21;27;16;3;23;7;2;18;13;4
28;1;29;15;12;24;27;32;5;8;20;11;25;22;9;26;30;17;6;31;14;19;21;10;16;3;23;7;2;18;13;4;3;27148
3;27148;28;1;29;15;12;24;27;32;5;8;20;11;25;22;9;26;30;17;6;31;14;19;21;10;16;3;23;7;2;18;13;4
28;1;29;15;5;24;27;32;12;8;20;11;25;22;9;26;30;17;6;31;14;19;21;10;16;3;23;7;2;18;13;4;3;27108
3;27108;28;1;29;15;5;24;27;32;12;8;20;11;25;22;9;26;30;17;6;31;14;19;21;10;16;3;23;7;2;18;13;4
28;1;29;15;7;24;27;32;12;8;20;11;25;22;9;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4;3;26508
3;26508;28;1;29;15;7;24;27;32;12;8;20;11;25;22;9;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4
32;1;29;15;7;24;27;28;12;8;20;11;25;22;9;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4;3;26708
3;26708;32;1;29;15;7;24;27;28;12;8;20;11;25;22;9;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4
32;1;29;24;7;15;27;28;12;8;20;11;25;22;9;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4;3;26616
3;26616;32;1;29;24;7;15;27;28;12;8;20;11;25;22;9;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4
32;9;29;24;7;15;27;28;12;8;20;11;25;22;1;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4;3;26056
3;26056;32;9;29;24;7;15;27;28;12;8;20;11;25;22;1;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4
32;9;29;24;25;15;27;28;12;8;20;11;7;22;1;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4;3;25870
3;25870;32;9;29;24;25;15;27;28;12;8;20;11;7;22;1;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4
32;9;1;24;25;15;27;28;12;8;20;11;7;22;29;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4;3;26666
3;26666;32;9;1;24;25;15;27;28;12;8;20;11;7;22;29;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4
32;9;1;24;25;15;27;28;12;8;20;11;22;7;29;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4;3;26602
3;26602;32;9;1;24;25;15;27;28;12;8;20;11;22;7;29;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4
32;9;1;24;25;15;12;28;27;8;20;11;22;7;29;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4;3;26746
3;26746;32;9;1;24;25;15;12;28;27;8;20;11;22;7;29;26;30;17;6;31;14;19;21;10;16;3;23;5;2;18;13;4
32;9;1;24;25;15;12;28;5;8;20;11;22;7;29;26;30;17;6;31;14;19;21;10;16;3;23;27;2;18;13;4;3;27728
4;27728;32;9;1;24;25;15;12;28;5;8;20;11;22;7;29;26;30;17;6;31;14;19;21;10;16;3;23;27;2;18;13;4
32;9;1;24;25;26;12;28;5;8;20;11;22;7;29;15;30;17;6;31;14;19;21;10;16;3;23;27;2;18;13;4;4;28370
4;28370;32;9;1;24;25;26;12;28;5;8;20;11;22;7;29;15;30;17;6;31;14;19;21;10;16;3;23;27;2;18;13;4
32;9;1;24;25;26;12;28;5;8;20;11;22;7;29;15;30;17;27;31;14;19;21;10;16;3;23;6;2;18;13;4;4;28474
4;28474;32;9;1;24;25;26;12;28;5;8;20;11;22;7;29;15;30;17;27;31;14;19;21;10;16;3;23;6;2;18;13;4
32;9;1;24;25;26;12;28;5;8;20;14;22;7;29;15;30;17;27;31;11;19;21;10;16;3;23;6;2;18;13;4;4;28434
4;28434;32;9;1;24;25;26;12;28;5;8;20;14;22;7;29;15;30;17;27;31;11;19;21;10;16;3;23;6;2;18;13;4
32;9;1;24;25;26;12;28;5;8;20;14;22;7;29;15;30;17;27;31;11;19;21;2;16;3;23;6;10;18;13;4;4;28274
4;28274;32;9;1;24;25;26;12;28;5;8;20;14;22;7;29;15;30;17;27;31;11;19;21;2;16;3;23;6;10;18;13;4
32;9;1;24;25;26;12;28;5;8;20;14;22;7;29;15;4;17;27;31;11;19;21;2;16;3;23;6;10;18;13;30;4;28922
4;28922;32;9;1;24;25;26;12;28;5;8;20;14;22;7;29;15;4;17;27;31;11;19;21;2;16;3;23;6;10;18;13;30
32;15;1;24;25;26;12;28;5;8;20;14;22;7;29;9;4;17;27;31;11;19;21;2;16;3;23;6;10;18;13;30;4;28582
4;28582;32;15;1;24;25;26;12;28;5;8;20;14;22;7;29;9;4;17;27;31;11;19;21;2;16;3;23;6;10;18;13;30
32;15;1;24;25;26;12;28;5;8;20;14;22;7;27;9;4;17;29;31;11;19;21;2;16;3;23;6;10;18;13;30;4;28002
4;28002;32;15;1;24;25;26;12;28;5;8;20;14;22;7;27;9;4;17;29;31;11;19;21;2;16;3;23;6;10;18;13;30
32;31;1;24;25;26;12;28;5;8;20;14;22;7;27;9;4;17;29;15;11;19;21;2;16;3;23;6;10;18;13;30;4;28048
4;28048;32;31;1;24;25;26;12;28;5;8;20;14;22;7;27;9;4;17;29;15;11;19;21;2;16;3;23;6;10;18;13;30
32;31;1;24;25;26;12;28;5;8;13;14;22;7;27;9;4;17;29;15;11;19;21;2;16;3;23;6;10;18;20;30;4;28208
4;28208;32;31;1;24;25;26;12;28;5;8;13;14;22;7;27;9;4;17;29;15;11;19;21;2;16;3;23;6;10;18;20;30
32;31;1;24;25;26;12;28;5;8;13;14;22;7;6;9;4;17;29;15;11;19;21;2;16;3;23;27;10;18;20;30;4;28598
4;28598;32;31;1;24;25;26;12;28;5;8;13;14;22;7;6;9;4;17;29;15;11;19;21;2;16;3;23;27;10;18;20;30
32;31;1;24;25;26;12;28;5;8;13;14;22;7;6;9;4;23;29;15;11;19;21;2;16;3;17;27;10;18;20;30;4;28138
4;28138;32;31;1;24;25;26;12;28;5;8;13;14;22;7;6;9;4;23;29;15;11;19;21;2;16;3;17;27;10;18;20;30
32;31;1;24;25;26;12;28;5;8;18;14;22;7;6;9;4;23;29;15;11;19;21;2;16;3;17;27;10;13;20;30;4;27914
4;27914;32;31;1;24;25;26;12;28;5;8;18;14;22;7;6;9;4;23;29;15;11;19;21;2;16;3;17;27;10;13;20;30
32;31;1;24;25;26;12;10;5;8;18;14;22;7;6;9;4;23;29;15;11;19;21;2;16;3;17;27;28;13;20;30;4;28296
4;28296;32;31;1;24;25;26;12;10;5;8;18;14;22;7;6;9;4;23;29;15;11;19;21;2;16;3;17;27;28;13;20;30
32;31;1;24;25;26;12;10;5;8;18;14;22;7;6;28;4;23;29;15;11;19;21;2;16;3;17;27;9;13;20;30;4;27370
4;27370;32;31;1;24;25;26;12;10;5;8;18;14;22;7;6;28;4;23;29;15;11;19;21;2;16;3;17;27;9;13;20;30
32;31;1;6;25;26;12;10;5;8;18;14;22;7;24;28;4;23;29;15;11;19;21;2;16;3;17;27;9;13;20;30;4;27214
4;27214;32;31;1;6;25;26;12;10;5;8;18;14;22;7;24;28;4;23;29;15;11;19;21;2;16;3;17;27;9;13;20;30
32;31;1;6;25;26;12;10;5;16;18;14;22;7;24;28;4;23;29;15;11;19;21;2;8;3;17;27;9;13;20;30;4;26974
4;26974;32;31;1;6;25;26;12;10;5;16;18;14;22;7;24;28;4;23;29;15;11;19;21;2;8;3;17;27;9;13;20;30
32;31;1;6;25;26;8;10;5;16;18;14;22;7;24;28;4;23;29;15;11;19;21;2;12;3;17;27;9;13;20;30;4;27274
4;27274;32;31;1;6;25;26;8;10;5;16;18;14;22;7;24;28;4;23;29;15;11;19;21;2;12;3;17;27;9;13;20;30
30;31;1;6;25;26;8;10;5;16;18;14;22;7;24;28;4;23;29;15;11;19;21;2;12;3;17;27;9;13;20;32;4;26794
4;26794;30;31;1;6;25;26;8;10;5;16;18;14;22;7;24;28;4;23;29;15;11;19;21;2;12;3;17;27;9;13;20;32
30;31;1;6;25;26;9;10;5;16;18;14;22;7;24;28;4;23;29;15;11;19;21;2;12;3;17;27;8;13;20;32;4;26874
4;26874;30;31;1;6;25;26;9;10;5;16;18;14;22;7;24;28;4;23;29;15;11;19;21;2;12;3;17;27;8;13;20;32
30;31;1;6;26;25;9;10;5;16;18;14;22;7;24;28;4;23;29;15;11;19;21;2;12;3;17;27;8;13;20;32;4;26874
5;26874;30;31;1;6;26;25;9;10;5;16;18;14;22;7;24;28;4;23;29;15;11;19;21;2;12;3;17;27;8;13;20;32
30;31;1;6;26;25;9;10;5;16;18;14;22;11;24;28;4;23;29;15;7;19;21;2;12;3;17;27;8;13;20;32;5;27094
5;27094;30;31;1;6;26;25;9;10;5;16;18;14;22;11;24;28;4;23;29;15;7;19;21;2;12;3;17;27;8;13;20;32
30;31;1;6;13;25;9;10;5;16;18;14;22;11;24;28;4;23;29;15;7;19;21;2;12;3;17;27;8;26;20;32;5;27820
5;27820;30;31;1;6;13;25;9;10;5;16;18;14;22;11;24;28;4;23;29;15;7;19;21;2;12;3;17;27;8;26;20;32
30;31;1;6;13;25;9;10;5;16;27;14;22;11;24;28;4;23;29;15;7;19;21;2;12;3;17;18;8;26;20;32;5;27820
5;27820;30;31;1;6;13;25;9;10;5;16;27;14;22;11;24;28;4;23;29;15;7;19;21;2;12;3;17;18;8;26;20;32
30;20;1;6;13;25;9;10;5;16;27;14;22;11;24;28;4;23;29;15;7;19;21;2;12;3;17;18;8;26;31;32;5;28180
5;28180;30;20;1;6;13;25;9;10;5;16;27;14;22;11;24;28;4;23;29;15;7;19;21;2;12;3;17;18;8;26;31;32
30;20;1;6;13;25;9;10;5;16;27;14;22;15;24;28;4;23;29;11;7;19;21;2;12;3;17;18;8;26;31;32;5;28060
5;28060;30;20;1;6;13;25;9;10;5;16;27;14;22;15;24;28;4;23;29;11;7;19;21;2;12;3;17;18;8;26;31;32
30;20;1;6;2;25;9;10;5;16;27;14;22;15;24;28;4;23;29;11;7;19;21;13;12;3;17;18;8;26;31;32;5;27460
5;27460;30;20;1;6;2;25;9;10;5;16;27;14;22;15;24;28;4;23;29;11;7;19;21;13;12;3;17;18;8;26;31;32
30;20;1;6;2;25;9;10;5;16;27;14;18;15;24;28;4;23;29;11;7;19;21;13;12;3;17;22;8;26;31;32;5;27780
5;27780;30;20;1;6;2;25;9;10;5;16;27;14;18;15;24;28;4;23;29;11;7;19;21;13;12;3;17;22;8;26;31;32
30;20;1;6;2;25;9;10;5;16;27;14;18;15;24;22;4;23;29;11;7;19;21;13;12;3;17;28;8;26;31;32;5;26780
5;26780;30;20;1;6;2;25;9;10;5;16;27;14;18;15;24;22;4;23;29;11;7;19;21;13;12;3;17;28;8;26;31;32
16;20;1;6;2;25;9;10;5;30;27;14;18;15;24;22;4;23;29;11;7;19;21;13;12;3;17;28;8;26;31;32;5;26770
5;26770;16;20;1;6;2;25;9;10;5;30;27;14;18;15;24;22;4;23;29;11;7;19;21;13;12;3;17;28;8;26;31;32
16;20;1;6;2;25;8;10;5;30;27;14;18;15;24;22;4;23;29;11;7;19;21;13;12;3;17;28;9;26;31;32;5;26050
5;26050;16;20;1;6;2;25;8;10;5;30;27;14;18;15;24;22;4;23;29;11;7;19;21;13;12;3;17;28;9;26;31;32
31;20;1;6;2;25;8;10;5;30;27;14;18;15;24;22;4;23;29;11;7;19;21;13;12;3;17;28;9;26;16;32;5;26122
5;26122;31;20;1;6;2;25;8;10;5;30;27;14;18;15;24;22;4;23;29;11;7;19;21;13;12;3;17;28;9;26;16;32
31;28;1;6;2;25;8;10;5;30;27;14;18;15;24;22;4;23;29;11;7;19;21;13;12;3;17;20;9;26;16;32;5;26162
5;26162;31;28;1;6;2;25;8;10;5;30;27;14;18;15;24;22;4;23;29;11;7;19;21;13;12;3;17;20;9;26;16;32
31;28;1;6;2;25;8;10;5;19;27;14;18;15;24;22;4;23;29;11;7;30;21;13;12;3;17;20;9;26;16;32;5;25802
5;25802;31;28;1;6;2;25;8;10;5;19;27;14;18;15;24;22;4;23;29;11;7;30;21;13;12;3;17;20;9;26;16;32
31;28;1;6;2;25;8;10;5;19;27;14;24;15;18;22;4;23;29;11;7;30;21;13;12;3;17;20;9;26;16;32;5;25142
5;25142;31;28;1;6;2;25;8;10;5;19;27;14;24;15;18;22;4;23;29;11;7;30;21;13;12;3;17;20;9;26;16;32
31;28;1;6;2;17;8;10;5;19;27;14;24;15;18;22;4;23;29;11;7;30;21;13;12;3;25;20;9;26;16;32;5;25142
5;25142;31;28;1;6;2;17;8;10;5;19;27;14;24;15;18;22;4;23;29;11;7;30;21;13;12;3;25;20;9;26;16;32
31;28;1;6;2;17;8;10;5;19;27;14;24;15;18;22;4;23;16;11;7;30;21;13;12;3;25;20;9;26;29;32;5;25170
5;25170;31;28;1;6;2;17;8;10;5;19;27;14;24;15;18;22;4;23;16;11;7;30;21;13;12;3;25;20;9;26;29;32
31;8;1;6;2;17;28;10;5;19;27;14;24;15;18;22;4;23;16;11;7;30;21;13;12;3;25;20;9;26;29;32;5;25302
5;25302;31;8;1;6;2;17;28;10;5;19;27;14;24;15;18;22;4;23;16;11;7;30;21;13;12;3;25;20;9;26;29;32
31;8;1;6;2;17;28;10;5;19;27;14;24;25;18;22;4;23;16;11;7;30;21;13;12;3;15;20;9;26;29;32;5;25370
5;25370;31;8;1;6;2;17;28;10;5;19;27;14;24;25;18;22;4;23;16;11;7;30;21;13;12;3;15;20;9;26;29;32
31;8;1;6;2;17;28;10;5;19;27;14;24;25;18;22;4;23;16;11;7;26;21;13;12;3;15;20;9;30;29;32;5;25030
