"X1";"X306";"X61";"X59";"X7";"X24";"X21";"X20";"X54";"X63";"X9";"X19";"X38";"X27";"X44";"X15";"X50";"X51";"X28";"X5";"X12";"X48";"X4";"X39";"X42";"X29";"X31";"X32";"X11";"X2";"X1.1";"X13";"X43";"X25";"X14";"X57";"X47";"X46";"X17";"X36";"X53";"X26";"X30";"X33";"X58";"X41";"X60";"X55";"X10";"X22";"X23";"X40";"X56";"X49";"X6";"X62";"X37";"X18";"X35";"X3";"X45";"X8";"X64";"X34";"X16";"X52"
1;288;61;59;7;24;21;20;54;47;9;19;38;27;44;3;60;51;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;62;46;17;36;53;26;30;33;58;41;50;55;10;22;23;42;56;49;6;63;37;18;35;15;45;8;64;34;16;52
61;59;7;24;21;20;54;47;9;19;38;27;44;3;60;51;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;62;46;17;36;53;26;42;33;58;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;45;8;64;34;16;52;1;288
1;288;61;59;7;24;21;20;54;47;9;19;38;27;44;3;60;51;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;62;46;17;36;53;26;42;33;58;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;45;8;64;34;16;52
61;59;7;24;21;20;54;47;9;19;38;27;44;3;60;45;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;62;46;17;36;53;26;42;33;58;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;16;52;1;288
1;288;61;59;7;24;21;20;54;47;9;19;38;27;44;3;60;45;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;62;46;17;36;53;26;42;33;58;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;16;52
61;59;7;24;21;58;54;47;9;19;38;27;44;3;60;45;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;62;46;17;36;53;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;16;52;1;296
1;296;61;59;7;24;21;58;54;47;9;19;38;27;44;3;60;45;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;25;14;57;62;46;17;36;53;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;16;52
61;59;7;24;21;58;54;47;9;19;38;27;44;3;60;45;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;53;14;57;62;46;17;36;25;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;16;52;1;280
1;280;61;59;7;24;21;58;54;47;9;19;38;27;44;3;60;45;28;5;12;48;4;39;40;29;31;32;11;2;1;13;43;53;14;57;62;46;17;36;25;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;16;52
61;59;7;24;21;58;54;47;9;19;38;27;44;3;60;45;28;16;12;48;4;39;40;29;31;32;11;2;1;13;43;53;14;57;62;46;17;36;25;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52;1;280
1;280;61;59;7;24;21;58;54;47;9;19;38;27;44;3;60;45;28;16;12;48;4;39;40;29;31;32;11;2;1;13;43;53;14;57;62;46;17;36;25;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52
61;59;7;24;21;58;54;47;9;19;45;27;44;3;60;38;28;16;12;48;4;39;40;29;31;32;11;2;1;13;43;53;14;57;62;46;17;36;25;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52;1;272
1;272;61;59;7;24;21;58;54;47;9;19;45;27;44;3;60;38;28;16;12;48;4;39;40;29;31;32;11;2;1;13;43;53;14;57;62;46;17;36;25;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52
61;59;7;24;21;58;54;47;9;19;45;27;44;3;60;38;28;16;62;48;4;39;40;29;31;32;11;2;1;13;43;53;14;57;12;46;17;36;25;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52;1;276
1;276;61;59;7;24;21;58;54;47;9;19;45;27;44;3;60;38;28;16;62;48;4;39;40;29;31;32;11;2;1;13;43;53;14;57;12;46;17;36;25;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52
61;59;7;24;21;58;54;47;9;19;45;27;44;3;60;38;28;16;62;48;29;39;40;4;31;32;11;2;1;13;43;53;14;57;12;46;17;36;25;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52;1;276
1;276;61;59;7;24;21;58;54;47;9;19;45;27;44;3;60;38;28;16;62;48;29;39;40;4;31;32;11;2;1;13;43;53;14;57;12;46;17;36;25;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52
61;59;7;24;21;58;54;47;2;19;45;27;44;3;60;38;28;16;62;48;29;39;40;4;31;32;11;9;1;13;43;53;14;57;12;46;17;36;25;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52;1;272
1;272;61;59;7;24;21;58;54;47;2;19;45;27;44;3;60;38;28;16;62;48;29;39;40;4;31;32;11;9;1;13;43;53;14;57;12;46;17;36;25;26;42;33;20;41;50;55;10;22;23;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52
61;59;7;24;21;58;54;47;2;19;45;27;44;3;60;23;28;16;62;48;29;39;40;4;31;32;11;9;1;13;43;53;14;57;12;46;17;36;25;26;42;33;20;41;50;55;10;22;38;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52;1;272
1;272;61;59;7;24;21;58;54;47;2;19;45;27;44;3;60;23;28;16;62;48;29;39;40;4;31;32;11;9;1;13;43;53;14;57;12;46;17;36;25;26;42;33;20;41;50;55;10;22;38;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52
61;59;7;24;21;58;54;47;2;19;45;27;44;3;60;23;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;57;12;46;17;36;25;26;42;33;20;41;50;55;10;22;38;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52;1;272
1;272;61;59;7;24;21;58;54;47;2;19;45;27;44;3;60;23;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;57;12;46;17;36;25;26;42;33;20;41;50;55;10;22;38;30;56;49;6;63;37;18;35;15;51;8;64;34;5;52
61;59;7;24;21;58;54;47;2;19;45;27;44;3;60;49;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;57;12;46;17;36;25;26;42;33;20;41;50;55;10;22;38;30;56;23;6;63;37;18;35;15;51;8;64;34;5;52;1;272
1;272;61;59;7;24;21;58;54;47;2;19;45;27;44;3;60;49;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;57;12;46;17;36;25;26;42;33;20;41;50;55;10;22;38;30;56;23;6;63;37;18;35;15;51;8;64;34;5;52
61;59;7;24;21;58;54;47;2;19;12;27;44;3;60;49;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;57;45;46;17;36;25;26;42;33;20;41;50;55;10;22;38;30;56;23;6;63;37;18;35;15;51;8;64;34;5;52;1;268
1;268;61;59;7;24;21;58;54;47;2;19;12;27;44;3;60;49;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;57;45;46;17;36;25;26;42;33;20;41;50;55;10;22;38;30;56;23;6;63;37;18;35;15;51;8;64;34;5;52
61;59;7;24;21;58;54;47;2;19;12;27;44;3;60;49;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;57;45;46;17;55;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;15;51;8;64;34;5;52;1;260
1;260;61;59;7;24;21;58;54;47;2;19;12;27;44;3;60;49;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;57;45;46;17;55;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;15;51;8;64;34;5;52
61;59;7;24;21;58;54;47;2;57;12;27;44;3;60;49;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;19;45;46;17;55;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;15;51;8;64;34;5;52;1;256
2;256;61;59;7;24;21;58;54;47;2;57;12;27;44;3;60;49;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;19;45;46;17;55;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;15;51;8;64;34;5;52
61;59;17;24;21;58;54;47;2;57;12;27;44;3;60;49;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;19;45;46;7;55;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;15;51;8;64;34;5;52;2;266
2;266;61;59;17;24;21;58;54;47;2;57;12;27;44;3;60;49;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;19;45;46;7;55;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;15;51;8;64;34;5;52
61;59;17;24;21;58;54;47;2;57;12;27;44;3;60;49;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;19;45;46;7;15;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;55;51;8;64;34;5;52;2;266
2;266;61;59;17;24;21;58;54;47;2;57;12;27;44;3;60;49;28;16;62;48;29;39;40;1;31;32;11;9;4;13;43;53;14;19;45;46;7;15;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;55;51;8;64;34;5;52
61;59;17;24;21;58;54;47;2;57;12;27;44;3;60;49;28;16;62;48;29;39;40;8;31;32;11;9;4;13;43;53;14;19;45;46;7;15;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;55;51;1;64;34;5;52;2;266
2;266;61;59;17;24;21;58;54;47;2;57;12;27;44;3;60;49;28;16;62;48;29;39;40;8;31;32;11;9;4;13;43;53;14;19;45;46;7;15;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;55;51;1;64;34;5;52
61;59;17;24;21;58;54;47;2;57;12;27;44;64;60;49;28;16;62;48;29;39;40;8;31;32;11;9;4;13;43;53;14;19;45;46;7;15;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;55;51;1;3;34;5;52;2;246
2;246;61;59;17;24;21;58;54;47;2;57;12;27;44;64;60;49;28;16;62;48;29;39;40;8;31;32;11;9;4;13;43;53;14;19;45;46;7;15;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;55;51;1;3;34;5;52
61;59;17;24;21;58;54;47;2;8;12;27;44;64;60;49;28;16;62;48;29;39;40;57;31;32;11;9;4;13;43;53;14;19;45;46;7;15;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;55;51;1;3;34;5;52;2;242
2;242;61;59;17;24;21;58;54;47;2;8;12;27;44;64;60;49;28;16;62;48;29;39;40;57;31;32;11;9;4;13;43;53;14;19;45;46;7;15;25;26;42;33;20;41;50;36;10;22;38;30;56;23;6;63;37;18;35;55;51;1;3;34;5;52
61;59;17;24;21;58;54;47;2;8;12;27;44;64;60;49;28;16;62;48;29;39;40;57;31;32;11;9;4;13;43;53;14;19;45;46;22;15;25;26;42;33;20;41;50;36;10;7;38;30;56;23;6;63;37;18;35;55;51;1;3;34;5;52;2;238
2;238;61;59;17;24;21;58;54;47;2;8;12;27;44;64;60;49;28;16;62;48;29;39;40;57;31;32;11;9;4;13;43;53;14;19;45;46;22;15;25;26;42;33;20;41;50;36;10;7;38;30;56;23;6;63;37;18;35;55;51;1;3;34;5;52
61;59;17;24;21;58;54;47;2;8;12;27;44;64;60;49;28;16;62;48;29;39;40;57;31;32;11;9;4;13;43;53;14;19;45;46;22;15;25;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;18;35;55;10;1;3;34;5;52;2;238
2;238;61;59;17;24;21;58;54;47;2;8;12;27;44;64;60;49;28;16;62;48;29;39;40;57;31;32;11;9;4;13;43;53;14;19;45;46;22;15;25;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;18;35;55;10;1;3;34;5;52
61;59;17;24;21;58;54;47;2;8;12;27;44;64;60;49;15;16;62;48;29;39;40;57;31;32;11;9;4;13;43;53;14;19;45;46;22;28;25;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;18;35;55;10;1;3;34;5;52;2;250
2;250;61;59;17;24;21;58;54;47;2;8;12;27;44;64;60;49;15;16;62;48;29;39;40;57;31;32;11;9;4;13;43;53;14;19;45;46;22;28;25;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;18;35;55;10;1;3;34;5;52
61;59;17;24;21;58;54;47;2;8;12;27;44;64;60;49;15;16;62;48;29;39;40;57;34;32;11;9;4;13;43;53;14;19;45;46;22;28;25;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;18;35;55;10;1;3;31;5;52;2;250
2;250;61;59;17;24;21;58;54;47;2;8;12;27;44;64;60;49;15;16;62;48;29;39;40;57;34;32;11;9;4;13;43;53;14;19;45;46;22;28;25;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;18;35;55;10;1;3;31;5;52
61;59;17;24;21;58;54;47;2;8;12;27;44;64;60;49;15;16;62;48;29;39;40;57;34;32;11;9;4;13;43;53;14;19;18;46;22;28;25;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;10;1;3;31;5;52;2;252
2;252;61;59;17;24;21;58;54;47;2;8;12;27;44;64;60;49;15;16;62;48;29;39;40;57;34;32;11;9;4;13;43;53;14;19;18;46;22;28;25;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;10;1;3;31;5;52
61;59;17;19;21;58;54;47;2;8;12;27;44;64;60;49;15;16;62;48;29;39;40;57;34;32;11;9;4;13;43;53;14;24;18;46;22;28;25;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;10;1;3;31;5;52;2;260
2;260;61;59;17;19;21;58;54;47;2;8;12;27;44;64;60;49;15;16;62;48;29;39;40;57;34;32;11;9;4;13;43;53;14;24;18;46;22;28;25;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;10;1;3;31;5;52
61;59;17;19;21;58;54;47;2;8;12;27;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;13;43;53;14;24;18;46;22;28;25;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;10;1;3;31;5;52;2;260
2;260;61;59;17;19;21;58;54;47;2;8;12;27;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;13;43;53;14;24;18;46;22;28;25;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;10;1;3;31;5;52
61;59;17;19;21;58;54;47;2;8;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;13;43;53;14;24;18;46;22;28;27;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;10;1;3;31;5;52;2;254
2;254;61;59;17;19;21;58;54;47;2;8;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;13;43;53;14;24;18;46;22;28;27;26;42;33;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;10;1;3;31;5;52
61;59;17;19;21;58;54;47;2;8;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;13;43;53;14;24;33;46;22;28;27;26;42;18;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;10;1;3;31;5;52;2;256
2;256;61;59;17;19;21;58;54;47;2;8;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;13;43;53;14;24;33;46;22;28;27;26;42;18;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;10;1;3;31;5;52
61;59;17;19;21;58;54;47;2;13;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;8;43;53;14;24;33;46;22;28;27;26;42;18;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;10;1;3;31;5;52;2;252
2;252;61;59;17;19;21;58;54;47;2;13;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;8;43;53;14;24;33;46;22;28;27;26;42;18;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;10;1;3;31;5;52
61;59;17;19;21;58;54;47;2;13;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;8;43;53;14;24;33;46;22;28;27;26;42;18;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;31;1;3;10;5;52;2;252
2;252;61;59;17;19;21;58;54;47;2;13;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;8;43;53;14;24;33;46;22;28;27;26;42;18;20;41;50;36;51;7;38;30;56;23;6;63;37;45;35;55;31;1;3;10;5;52
61;59;17;19;21;58;54;47;2;13;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;8;43;53;14;24;33;46;22;28;27;26;42;18;20;41;50;36;51;7;38;30;56;23;37;63;6;45;35;55;31;1;3;10;5;52;2;252
2;252;61;59;17;19;21;58;54;47;2;13;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;8;43;53;14;24;33;46;22;28;27;26;42;18;20;41;50;36;51;7;38;30;56;23;37;63;6;45;35;55;31;1;3;10;5;52
61;59;17;19;6;58;54;47;2;13;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;8;43;53;14;24;33;46;22;28;27;26;42;18;20;41;50;36;51;7;38;30;56;23;37;63;21;45;35;55;31;1;3;10;5;52;2;252
2;252;61;59;17;19;6;58;54;47;2;13;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;8;43;53;14;24;33;46;22;28;27;26;42;18;20;41;50;36;51;7;38;30;56;23;37;63;21;45;35;55;31;1;3;10;5;52
61;59;17;19;6;58;54;47;2;13;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;8;43;53;14;24;33;46;22;28;27;26;42;18;20;41;50;36;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52;2;252
2;252;61;59;17;19;6;58;54;47;2;13;12;25;44;64;60;49;15;16;62;9;29;39;40;57;34;32;11;48;4;8;43;53;14;24;33;46;22;28;27;26;42;18;20;41;50;36;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52
61;59;17;19;6;58;54;47;2;13;12;25;44;64;60;49;15;16;62;9;29;24;40;57;34;32;11;48;4;8;43;53;14;39;33;46;22;28;27;26;42;18;20;41;50;36;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52;2;250
3;250;61;59;17;19;6;58;54;47;2;13;12;25;44;64;60;49;15;16;62;9;29;24;40;57;34;32;11;48;4;8;43;53;14;39;33;46;22;28;27;26;42;18;20;41;50;36;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52
61;59;17;19;6;58;54;47;2;13;12;25;44;4;60;49;15;16;62;9;29;24;40;57;34;32;11;48;64;8;43;53;14;39;33;46;22;28;27;26;42;18;20;41;50;36;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52;3;266
3;266;61;59;17;19;6;58;54;47;2;13;12;25;44;4;60;49;15;16;62;9;29;24;40;57;34;32;11;48;64;8;43;53;14;39;33;46;22;28;27;26;42;18;20;41;50;36;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52
61;59;36;19;6;58;54;47;2;13;12;25;44;4;60;49;15;16;62;9;29;24;40;57;34;32;11;48;64;8;43;53;14;39;33;46;22;28;27;26;42;18;20;41;50;17;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52;3;270
3;270;61;59;36;19;6;58;54;47;2;13;12;25;44;4;60;49;15;16;62;9;29;24;40;57;34;32;11;48;64;8;43;53;14;39;33;46;22;28;27;26;42;18;20;41;50;17;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52
61;17;36;19;6;58;54;47;2;13;12;25;44;4;60;49;15;16;62;9;29;24;40;57;34;32;11;48;64;8;43;53;14;39;33;46;22;28;27;26;42;18;20;41;50;59;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52;3;258
3;258;61;17;36;19;6;58;54;47;2;13;12;25;44;4;60;49;15;16;62;9;29;24;40;57;34;32;11;48;64;8;43;53;14;39;33;46;22;28;27;26;42;18;20;41;50;59;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52
61;17;36;19;6;58;54;47;2;13;12;25;44;4;60;49;15;16;62;9;29;24;40;57;34;32;11;48;64;8;43;50;14;39;33;46;22;28;27;26;42;18;20;41;53;59;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52;3;258
3;258;61;17;36;19;6;58;54;47;2;13;12;25;44;4;60;49;15;16;62;9;29;24;40;57;34;32;11;48;64;8;43;50;14;39;33;46;22;28;27;26;42;18;20;41;53;59;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52
61;17;36;19;6;58;54;47;2;13;12;25;44;49;60;4;15;16;62;9;29;24;40;57;34;32;11;48;64;8;43;50;14;39;33;46;22;28;27;26;42;18;20;41;53;59;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52;3;258
3;258;61;17;36;19;6;58;54;47;2;13;12;25;44;49;60;4;15;16;62;9;29;24;40;57;34;32;11;48;64;8;43;50;14;39;33;46;22;28;27;26;42;18;20;41;53;59;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52
61;17;36;19;6;58;54;47;2;13;12;25;44;49;60;4;15;16;62;9;29;46;40;57;34;32;11;48;64;8;43;50;14;39;33;24;22;28;27;26;42;18;20;41;53;59;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52;3;258
3;258;61;17;36;19;6;58;54;47;2;13;12;25;44;49;60;4;15;16;62;9;29;46;40;57;34;32;11;48;64;8;43;50;14;39;33;24;22;28;27;26;42;18;20;41;53;59;31;7;38;30;56;23;37;63;21;45;35;55;51;1;3;10;5;52
61;17;36;19;6;58;54;45;2;13;12;25;44;49;60;4;15;16;62;9;29;46;40;57;34;32;11;48;64;8;43;50;14;39;33;24;22;28;27;26;42;18;20;41;53;59;31;7;38;30;56;23;37;63;21;47;35;55;51;1;3;10;5;52;3;254
3;254;61;17;36;19;6;58;54;45;2;13;12;25;44;49;60;4;15;16;62;9;29;46;40;57;34;32;11;48;64;8;43;50;14;39;33;24;22;28;27;26;42;18;20;41;53;59;31;7;38;30;56;23;37;63;21;47;35;55;51;1;3;10;5;52
61;17;36;19;6;58;54;45;2;13;12;25;44;49;31;4;15;16;62;9;29;46;40;57;34;32;11;48;64;8;43;50;14;39;33;24;22;28;27;26;42;18;20;41;53;59;60;7;38;30;56;23;37;63;21;47;35;55;51;1;3;10;5;52;3;256
3;256;61;17;36;19;6;58;54;45;2;13;12;25;44;49;31;4;15;16;62;9;29;46;40;57;34;32;11;48;64;8;43;50;14;39;33;24;22;28;27;26;42;18;20;41;53;59;60;7;38;30;56;23;37;63;21;47;35;55;51;1;3;10;5;52
61;17;36;19;6;58;54;45;2;13;12;25;44;49;31;4;15;16;62;9;29;46;40;53;34;32;11;48;64;8;43;50;14;39;33;24;22;28;27;26;42;18;20;41;57;59;60;7;38;30;56;23;37;63;21;47;35;55;51;1;3;10;5;52;3;256
3;256;61;17;36;19;6;58;54;45;2;13;12;25;44;49;31;4;15;16;62;9;29;46;40;53;34;32;11;48;64;8;43;50;14;39;33;24;22;28;27;26;42;18;20;41;57;59;60;7;38;30;56;23;37;63;21;47;35;55;51;1;3;10;5;52
61;17;36;19;6;58;54;45;2;13;12;38;44;49;31;4;15;16;62;9;29;46;40;53;34;32;11;48;64;8;43;50;14;39;33;24;22;28;27;26;42;18;20;41;57;59;60;7;25;30;56;23;37;63;21;47;35;55;51;1;3;10;5;52;3;256
3;256;61;17;36;19;6;58;54;45;2;13;12;38;44;49;31;4;15;16;62;9;29;46;40;53;34;32;11;48;64;8;43;50;14;39;33;24;22;28;27;26;42;18;20;41;57;59;60;7;25;30;56;23;37;63;21;47;35;55;51;1;3;10;5;52
61;17;36;19;6;58;54;45;2;13;12;38;44;49;31;4;15;16;62;8;29;46;40;53;34;32;11;48;64;9;43;50;14;39;33;24;22;28;27;26;42;18;20;41;57;59;60;7;25;30;56;23;37;63;21;47;35;55;51;1;3;10;5;52;3;272
