"X1";"X258";"X13";"X57";"X15";"X18";"X8";"X38";"X62";"X24";"X50";"X54";"X12";"X11";"X33";"X3";"X61";"X32";"X22";"X59";"X16";"X34";"X21";"X9";"X55";"X31";"X63";"X30";"X42";"X46";"X51";"X26";"X48";"X52";"X60";"X43";"X56";"X14";"X7";"X28";"X36";"X20";"X37";"X47";"X41";"X23";"X39";"X10";"X25";"X64";"X49";"X1.1";"X2";"X6";"X35";"X19";"X27";"X45";"X17";"X44";"X5";"X58";"X4";"X53";"X29";"X40"
2;284;43;28;6;18;55;29;31;35;36;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;7;32;56;20;37;47;41;38;39;57;25;64;49;48;60;15;13;19;12;45;17;44;5;4;1;62;30;24
43;28;6;18;55;29;31;35;36;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;7;32;56;20;37;47;41;38;25;57;39;64;49;48;60;15;13;19;12;45;17;44;5;4;1;62;30;24;2;284
2;284;43;28;6;18;55;29;31;35;36;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;7;32;56;20;37;47;41;38;25;57;39;64;49;48;60;15;13;19;12;45;17;44;5;4;1;62;30;24
43;28;6;18;55;29;31;15;36;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;7;32;56;20;37;47;41;38;25;57;39;64;49;48;60;35;13;19;12;45;17;44;5;4;1;62;30;24;2;280
2;280;43;28;6;18;55;29;31;15;36;54;27;11;33;3;61;53;26;16;59;34;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;7;32;56;20;37;47;41;38;25;57;39;64;49;48;60;35;13;19;12;45;17;44;5;4;1;62;30;24
43;28;6;18;55;29;31;15;36;54;27;11;33;3;61;53;26;16;59;7;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;34;32;56;20;37;47;41;38;25;57;39;64;49;48;60;35;13;19;12;45;17;44;5;4;1;62;30;24;2;300
2;300;43;28;6;18;55;29;31;15;36;54;27;11;33;3;61;53;26;16;59;7;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;34;32;56;20;37;47;41;38;25;57;39;64;49;48;60;35;13;19;12;45;17;44;5;4;1;62;30;24
43;28;6;18;55;29;31;15;36;54;27;11;33;3;61;53;26;16;59;7;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;34;32;30;20;37;47;41;38;25;57;39;64;49;48;60;35;13;19;12;45;17;44;5;4;1;62;56;24;2;294
2;294;43;28;6;18;55;29;31;15;36;54;27;11;33;3;61;53;26;16;59;7;21;40;23;14;63;8;42;46;51;22;58;52;10;9;50;2;34;32;30;20;37;47;41;38;25;57;39;64;49;48;60;35;13;19;12;45;17;44;5;4;1;62;56;24
43;28;6;18;55;29;31;15;36;54;27;58;33;3;61;53;26;16;59;7;21;40;23;14;63;8;42;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;57;39;64;49;48;60;35;13;19;12;45;17;44;5;4;1;62;56;24;2;294
2;294;43;28;6;18;55;29;31;15;36;54;27;58;33;3;61;53;26;16;59;7;21;40;23;14;63;8;42;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;57;39;64;49;48;60;35;13;19;12;45;17;44;5;4;1;62;56;24
43;28;6;18;55;29;31;15;36;54;27;58;33;3;61;53;26;16;59;7;21;40;23;14;63;8;42;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;57;39;64;49;48;60;35;13;19;12;45;17;44;1;4;5;62;56;24;2;294
2;294;43;28;6;18;55;29;31;15;36;54;27;58;33;3;61;53;26;16;59;7;21;40;23;14;63;8;42;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;57;39;64;49;48;60;35;13;19;12;45;17;44;1;4;5;62;56;24
43;28;6;18;55;29;31;15;36;54;27;58;33;3;61;53;26;16;59;7;21;40;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;57;39;64;49;48;60;35;13;19;12;45;17;44;1;4;5;62;56;42;2;282
2;282;43;28;6;18;55;29;31;15;36;54;27;58;33;3;61;53;26;16;59;7;21;40;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;57;39;64;49;48;60;35;13;19;12;45;17;44;1;4;5;62;56;42
43;28;6;18;55;29;31;15;36;54;27;58;33;3;61;53;26;39;59;7;21;40;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;57;16;64;49;48;60;35;13;19;12;45;17;44;1;4;5;62;56;42;2;282
2;282;43;28;6;18;55;29;31;15;36;54;27;58;33;3;61;53;26;39;59;7;21;40;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;57;16;64;49;48;60;35;13;19;12;45;17;44;1;4;5;62;56;42
43;28;6;18;55;29;31;15;36;54;27;58;33;3;61;53;26;39;59;7;21;48;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;57;16;64;49;40;60;35;13;19;12;45;17;44;1;4;5;62;56;42;2;284
2;284;43;28;6;18;55;29;31;15;36;54;27;58;33;3;61;53;26;39;59;7;21;48;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;57;16;64;49;40;60;35;13;19;12;45;17;44;1;4;5;62;56;42
43;28;6;18;55;29;31;15;36;54;27;58;33;3;61;53;26;39;59;7;21;48;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;64;49;40;60;35;13;19;12;45;17;44;1;4;5;62;57;42;2;296
2;296;43;28;6;18;55;29;31;15;36;54;27;58;33;3;61;53;26;39;59;7;21;48;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;64;49;40;60;35;13;19;12;45;17;44;1;4;5;62;57;42
43;28;6;18;55;26;31;15;36;54;27;58;33;3;61;53;29;39;59;7;21;48;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;64;49;40;60;35;13;19;12;45;17;44;1;4;5;62;57;42;2;296
2;296;43;28;6;18;55;26;31;15;36;54;27;58;33;3;61;53;29;39;59;7;21;48;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;64;49;40;60;35;13;19;12;45;17;44;1;4;5;62;57;42
43;28;6;18;55;48;31;15;36;54;27;58;33;3;61;53;29;39;59;7;21;26;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;64;49;40;60;35;13;19;12;45;17;44;1;4;5;62;57;42;2;292
3;292;43;28;6;18;55;48;31;15;36;54;27;58;33;3;61;53;29;39;59;7;21;26;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;64;49;40;60;35;13;19;12;45;17;44;1;4;5;62;57;42
43;28;6;18;55;48;31;15;36;54;27;58;33;3;61;53;29;39;59;7;21;26;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;44;1;4;5;62;57;42;3;292
3;292;43;28;6;18;55;48;31;15;36;54;27;58;33;3;61;53;29;39;59;7;21;26;23;14;63;8;24;46;51;22;11;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;44;1;4;5;62;57;42
43;28;6;18;55;48;31;15;36;54;27;58;33;3;61;53;29;39;59;7;21;26;23;14;63;8;24;46;51;22;44;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;11;1;4;5;62;57;42;3;292
3;292;43;28;6;18;55;48;31;15;36;54;27;58;33;3;61;53;29;39;59;7;21;26;23;14;63;8;24;46;51;22;44;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;11;1;4;5;62;57;42
43;28;6;18;55;48;31;15;36;54;27;58;33;59;61;53;29;39;3;7;21;26;23;14;63;8;24;46;51;22;44;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;11;1;4;5;62;57;42;3;284
3;284;43;28;6;18;55;48;31;15;36;54;27;58;33;59;61;53;29;39;3;7;21;26;23;14;63;8;24;46;51;22;44;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;11;1;4;5;62;57;42
33;28;6;18;55;48;31;15;36;54;27;58;43;59;61;53;29;39;3;7;21;26;23;14;63;8;24;46;51;22;44;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;11;1;4;5;62;57;42;3;284
3;284;33;28;6;18;55;48;31;15;36;54;27;58;43;59;61;53;29;39;3;7;21;26;23;14;63;8;24;46;51;22;44;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;11;1;4;5;62;57;42
33;11;6;18;55;48;31;15;36;54;27;58;43;59;61;53;29;39;3;7;21;26;23;14;63;8;24;46;51;22;44;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;28;1;4;5;62;57;42;3;284
3;284;33;11;6;18;55;48;31;15;36;54;27;58;43;59;61;53;29;39;3;7;21;26;23;14;63;8;24;46;51;22;44;52;10;9;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;28;1;4;5;62;57;42
33;11;6;18;55;48;31;15;36;54;27;58;43;59;61;53;29;9;3;7;21;26;23;14;63;8;24;46;51;22;44;52;10;39;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;28;1;4;5;62;57;42;3;284
3;284;33;11;6;18;55;48;31;15;36;54;27;58;43;59;61;53;29;9;3;7;21;26;23;14;63;8;24;46;51;22;44;52;10;39;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;28;1;4;5;62;57;42
33;11;6;18;55;48;31;15;36;54;27;58;43;59;7;53;29;9;3;61;21;26;23;14;63;8;24;46;51;22;44;52;10;39;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;28;1;4;5;62;57;42;3;288
3;288;33;11;6;18;55;48;31;15;36;54;27;58;43;59;7;53;29;9;3;61;21;26;23;14;63;8;24;46;51;22;44;52;10;39;50;2;34;32;30;20;37;47;41;38;25;56;16;19;49;40;60;35;13;64;12;45;17;28;1;4;5;62;57;42
33;11;6;18;55;48;31;15;36;54;27;58;43;59;7;53;29;9;3;61;21;26;23;14;63;8;24;46;51;22;38;52;10;39;50;2;34;32;30;20;37;47;41;44;25;56;16;19;49;40;60;35;13;64;12;45;17;28;1;4;5;62;57;42;3;284
3;284;33;11;6;18;55;48;31;15;36;54;27;58;43;59;7;53;29;9;3;61;21;26;23;14;63;8;24;46;51;22;38;52;10;39;50;2;34;32;30;20;37;47;41;44;25;56;16;19;49;40;60;35;13;64;12;45;17;28;1;4;5;62;57;42
33;11;6;18;55;48;31;15;36;54;27;58;43;59;7;53;29;9;3;61;21;26;23;14;63;8;24;46;51;22;38;52;10;39;50;2;34;32;30;20;37;47;41;44;25;56;16;19;49;4;60;35;13;64;12;45;17;28;1;40;5;62;57;42;3;284
3;284;33;11;6;18;55;48;31;15;36;54;27;58;43;59;7;53;29;9;3;61;21;26;23;14;63;8;24;46;51;22;38;52;10;39;50;2;34;32;30;20;37;47;41;44;25;56;16;19;49;4;60;35;13;64;12;45;17;28;1;40;5;62;57;42
33;11;6;18;61;48;31;15;36;54;27;58;43;59;7;53;29;9;3;55;21;26;23;14;63;8;24;46;51;22;38;52;10;39;50;2;34;32;30;20;37;47;41;44;25;56;16;19;49;4;60;35;13;64;12;45;17;28;1;40;5;62;57;42;3;280
3;280;33;11;6;18;61;48;31;15;36;54;27;58;43;59;7;53;29;9;3;55;21;26;23;14;63;8;24;46;51;22;38;52;10;39;50;2;34;32;30;20;37;47;41;44;25;56;16;19;49;4;60;35;13;64;12;45;17;28;1;40;5;62;57;42
33;11;6;18;61;48;31;15;36;54;27;58;43;59;7;53;29;9;3;55;21;8;23;14;63;26;24;46;51;22;38;52;10;39;50;2;34;32;30;20;37;47;41;44;25;56;16;19;49;4;60;35;13;64;12;45;17;28;1;40;5;62;57;42;3;284
