"X1";"X27374";"X8";"X18";"X22";"X6";"X30";"X32";"X13";"X17";"X26";"X21";"X10";"X9";"X23";"X7";"X11";"X20";"X4";"X5";"X29";"X25";"X31";"X28";"X3";"X16";"X12";"X24";"X15";"X2";"X27";"X19";"X14";"X1.1"
27;26;20;29;10;16;15;17;19;30;21;14;8;32;5;4;11;6;7;3;25;12;9;18;31;24;2;13;1;22;28;23;2;27968
2;27968;27;26;20;29;10;16;15;17;19;30;21;14;8;32;5;4;11;6;7;3;25;12;9;18;31;24;2;13;1;22;28;23
27;26;20;29;10;16;15;17;19;30;21;14;8;32;5;4;11;6;28;3;25;12;9;18;31;24;2;13;1;22;7;23;2;28140
2;28140;27;26;20;29;10;16;15;17;19;30;21;14;8;32;5;4;11;6;28;3;25;12;9;18;31;24;2;13;1;22;7;23
27;26;20;29;10;16;15;30;19;17;21;14;8;32;5;4;11;6;28;3;25;12;9;18;31;24;2;13;1;22;7;23;2;27900
2;27900;27;26;20;29;10;16;15;30;19;17;21;14;8;32;5;4;11;6;28;3;25;12;9;18;31;24;2;13;1;22;7;23
27;26;20;29;10;16;15;30;19;17;21;14;8;22;5;4;11;6;28;3;25;12;9;18;31;24;2;13;1;32;7;23;2;27620
3;27620;27;26;20;29;10;16;15;30;19;17;21;14;8;22;5;4;11;6;28;3;25;12;9;18;31;24;2;13;1;32;7;23
27;26;20;29;10;16;15;30;19;17;21;14;8;22;5;4;11;12;28;3;25;6;9;18;31;24;2;13;1;32;7;23;3;27580
3;27580;27;26;20;29;10;16;15;30;19;17;21;14;8;22;5;4;11;12;28;3;25;6;9;18;31;24;2;13;1;32;7;23
27;26;20;29;10;16;15;30;19;17;21;14;4;22;5;8;11;12;28;3;25;6;9;18;31;24;2;13;1;32;7;23;3;27380
3;27380;27;26;20;29;10;16;15;30;19;17;21;14;4;22;5;8;11;12;28;3;25;6;9;18;31;24;2;13;1;32;7;23
27;26;20;29;10;16;15;30;19;17;11;14;4;22;5;8;21;12;28;3;25;6;9;18;31;24;2;13;1;32;7;23;3;27304
3;27304;27;26;20;29;10;16;15;30;19;17;11;14;4;22;5;8;21;12;28;3;25;6;9;18;31;24;2;13;1;32;7;23
27;26;20;29;10;16;15;30;19;17;11;14;1;22;5;8;21;12;28;3;25;6;9;18;31;24;2;13;4;32;7;23;3;27444
3;27444;27;26;20;29;10;16;15;30;19;17;11;14;1;22;5;8;21;12;28;3;25;6;9;18;31;24;2;13;4;32;7;23
27;26;20;29;10;16;15;30;19;9;11;14;1;22;5;8;21;12;28;3;25;6;17;18;31;24;2;13;4;32;7;23;3;27100
3;27100;27;26;20;29;10;16;15;30;19;9;11;14;1;22;5;8;21;12;28;3;25;6;17;18;31;24;2;13;4;32;7;23
27;26;20;29;10;16;15;30;19;9;11;14;1;22;5;8;3;12;28;21;25;6;17;18;31;24;2;13;4;32;7;23;3;26864
3;26864;27;26;20;29;10;16;15;30;19;9;11;14;1;22;5;8;3;12;28;21;25;6;17;18;31;24;2;13;4;32;7;23
27;26;20;29;10;16;15;30;19;9;11;14;1;4;5;8;3;12;28;21;25;6;17;18;31;24;2;13;22;32;7;23;3;25266
3;25266;27;26;20;29;10;16;15;30;19;9;11;14;1;4;5;8;3;12;28;21;25;6;17;18;31;24;2;13;22;32;7;23
27;2;20;29;10;16;15;30;19;9;11;14;1;4;5;8;3;12;28;21;25;6;17;18;31;24;26;13;22;32;7;23;3;25500
3;25500;27;2;20;29;10;16;15;30;19;9;11;14;1;4;5;8;3;12;28;21;25;6;17;18;31;24;26;13;22;32;7;23
27;10;20;29;2;16;15;30;19;9;11;14;1;4;5;8;3;12;28;21;25;6;17;18;31;24;26;13;22;32;7;23;3;25500
3;25500;27;10;20;29;2;16;15;30;19;9;11;14;1;4;5;8;3;12;28;21;25;6;17;18;31;24;26;13;22;32;7;23
16;10;20;29;2;27;15;30;19;9;11;14;1;4;5;8;3;12;28;21;25;6;17;18;31;24;26;13;22;32;7;23;3;25718
3;25718;16;10;20;29;2;27;15;30;19;9;11;14;1;4;5;8;3;12;28;21;25;6;17;18;31;24;26;13;22;32;7;23
16;10;20;29;2;27;15;30;19;9;11;14;31;4;5;8;3;12;28;21;25;6;17;18;1;24;26;13;22;32;7;23;3;26330
3;26330;16;10;20;29;2;27;15;30;19;9;11;14;31;4;5;8;3;12;28;21;25;6;17;18;1;24;26;13;22;32;7;23
16;10;20;5;2;27;15;30;19;9;11;14;31;4;29;8;3;12;28;21;25;6;17;18;1;24;26;13;22;32;7;23;3;26026
3;26026;16;10;20;5;2;27;15;30;19;9;11;14;31;4;29;8;3;12;28;21;25;6;17;18;1;24;26;13;22;32;7;23
16;10;20;5;2;27;15;30;19;26;11;14;31;4;29;8;3;12;28;21;25;6;17;18;1;24;9;13;22;32;7;23;3;26264
3;26264;16;10;20;5;2;27;15;30;19;26;11;14;31;4;29;8;3;12;28;21;25;6;17;18;1;24;9;13;22;32;7;23
16;10;20;5;2;27;15;30;19;26;11;14;31;4;3;8;29;12;28;21;25;6;17;18;1;24;9;13;22;32;7;23;3;26782
3;26782;16;10;20;5;2;27;15;30;19;26;11;14;31;4;3;8;29;12;28;21;25;6;17;18;1;24;9;13;22;32;7;23
16;10;20;5;29;27;15;30;19;26;11;14;31;4;3;8;2;12;28;21;25;6;17;18;1;24;9;13;22;32;7;23;3;26856
3;26856;16;10;20;5;29;27;15;30;19;26;11;14;31;4;3;8;2;12;28;21;25;6;17;18;1;24;9;13;22;32;7;23
16;10;20;15;29;27;5;30;19;26;11;14;31;4;3;8;2;12;28;21;25;6;17;18;1;24;9;13;22;32;7;23;3;27216
3;27216;16;10;20;15;29;27;5;30;19;26;11;14;31;4;3;8;2;12;28;21;25;6;17;18;1;24;9;13;22;32;7;23
16;10;20;15;29;27;5;30;19;26;11;14;7;4;3;8;2;12;28;21;25;6;17;18;1;24;9;13;22;32;31;23;3;25788
3;25788;16;10;20;15;29;27;5;30;19;26;11;14;7;4;3;8;2;12;28;21;25;6;17;18;1;24;9;13;22;32;31;23
16;10;20;15;29;18;5;30;19;26;11;14;7;4;3;8;2;12;28;21;25;6;17;27;1;24;9;13;22;32;31;23;3;26048
3;26048;16;10;20;15;29;18;5;30;19;26;11;14;7;4;3;8;2;12;28;21;25;6;17;27;1;24;9;13;22;32;31;23
16;10;20;15;12;18;5;30;19;26;11;14;7;4;3;8;2;29;28;21;25;6;17;27;1;24;9;13;22;32;31;23;3;26180
3;26180;16;10;20;15;12;18;5;30;19;26;11;14;7;4;3;8;2;29;28;21;25;6;17;27;1;24;9;13;22;32;31;23
16;10;20;28;12;18;5;30;19;26;11;14;7;4;3;8;2;29;15;21;25;6;17;27;1;24;9;13;22;32;31;23;3;26458
4;26458;16;10;20;28;12;18;5;30;19;26;11;14;7;4;3;8;2;29;15;21;25;6;17;27;1;24;9;13;22;32;31;23
16;10;20;28;12;18;5;30;17;26;11;14;7;4;3;8;2;29;15;21;25;6;19;27;1;24;9;13;22;32;31;23;4;26458
4;26458;16;10;20;28;12;18;5;30;17;26;11;14;7;4;3;8;2;29;15;21;25;6;19;27;1;24;9;13;22;32;31;23
16;2;20;28;12;18;5;30;17;26;11;14;7;4;3;8;10;29;15;21;25;6;19;27;1;24;9;13;22;32;31;23;4;26378
4;26378;16;2;20;28;12;18;5;30;17;26;11;14;7;4;3;8;10;29;15;21;25;6;19;27;1;24;9;13;22;32;31;23
16;2;20;28;12;18;5;30;17;26;11;14;7;4;3;8;10;29;15;21;25;6;19;27;1;24;9;31;22;32;13;23;4;26230
4;26230;16;2;20;28;12;18;5;30;17;26;11;14;7;4;3;8;10;29;15;21;25;6;19;27;1;24;9;31;22;32;13;23
16;2;20;28;12;18;5;30;17;26;11;14;7;4;3;8;19;29;15;21;25;6;10;27;1;24;9;31;22;32;13;23;4;26384
4;26384;16;2;20;28;12;18;5;30;17;26;11;14;7;4;3;8;19;29;15;21;25;6;10;27;1;24;9;31;22;32;13;23
16;2;20;28;12;18;5;8;17;26;11;14;7;4;3;30;19;29;15;21;25;6;10;27;1;24;9;31;22;32;13;23;4;26880
4;26880;16;2;20;28;12;18;5;8;17;26;11;14;7;4;3;30;19;29;15;21;25;6;10;27;1;24;9;31;22;32;13;23
16;2;20;28;12;18;5;8;3;26;11;14;7;4;17;30;19;29;15;21;25;6;10;27;1;24;9;31;22;32;13;23;4;26584
4;26584;16;2;20;28;12;18;5;8;3;26;11;14;7;4;17;30;19;29;15;21;25;6;10;27;1;24;9;31;22;32;13;23
16;2;20;28;12;18;5;8;22;26;11;14;7;4;17;30;19;29;15;21;25;6;10;27;1;24;9;31;3;32;13;23;4;27256
4;27256;16;2;20;28;12;18;5;8;22;26;11;14;7;4;17;30;19;29;15;21;25;6;10;27;1;24;9;31;3;32;13;23
16;2;20;28;12;18;5;8;22;26;11;14;7;4;17;30;19;29;15;21;25;6;10;27;1;24;9;31;3;13;32;23;4;27680
4;27680;16;2;20;28;12;18;5;8;22;26;11;14;7;4;17;30;19;29;15;21;25;6;10;27;1;24;9;31;3;13;32;23
16;2;20;28;12;18;5;8;22;26;11;14;27;4;17;30;19;29;15;21;25;6;10;7;1;24;9;31;3;13;32;23;4;27324
4;27324;16;2;20;28;12;18;5;8;22;26;11;14;27;4;17;30;19;29;15;21;25;6;10;7;1;24;9;31;3;13;32;23
16;2;20;28;12;18;5;8;22;26;11;14;27;21;17;30;19;29;15;4;25;6;10;7;1;24;9;31;3;13;32;23;4;26200
4;26200;16;2;20;28;12;18;5;8;22;26;11;14;27;21;17;30;19;29;15;4;25;6;10;7;1;24;9;31;3;13;32;23
16;2;20;28;12;9;5;8;22;26;11;14;27;21;17;30;19;29;15;4;25;6;10;7;1;24;18;31;3;13;32;23;4;26722
4;26722;16;2;20;28;12;9;5;8;22;26;11;14;27;21;17;30;19;29;15;4;25;6;10;7;1;24;18;31;3;13;32;23
16;2;20;28;12;9;5;8;22;26;11;14;27;21;17;30;19;29;15;4;25;6;10;7;1;31;18;24;3;13;32;23;4;26682
4;26682;16;2;20;28;12;9;5;8;22;26;11;14;27;21;17;30;19;29;15;4;25;6;10;7;1;31;18;24;3;13;32;23
8;2;20;28;12;9;5;16;22;26;11;14;27;21;17;30;19;29;15;4;25;6;10;7;1;31;18;24;3;13;32;23;4;26642
4;26642;8;2;20;28;12;9;5;16;22;26;11;14;27;21;17;30;19;29;15;4;25;6;10;7;1;31;18;24;3;13;32;23
8;2;20;28;12;9;5;16;22;25;11;14;27;21;17;30;19;29;15;4;26;6;10;7;1;31;18;24;3;13;32;23;4;26482
4;26482;8;2;20;28;12;9;5;16;22;25;11;14;27;21;17;30;19;29;15;4;26;6;10;7;1;31;18;24;3;13;32;23
8;2;20;28;12;31;5;16;22;25;11;14;27;21;17;30;19;29;15;4;26;6;10;7;1;9;18;24;3;13;32;23;4;25960
4;25960;8;2;20;28;12;31;5;16;22;25;11;14;27;21;17;30;19;29;15;4;26;6;10;7;1;9;18;24;3;13;32;23
8;2;20;28;12;14;5;16;22;25;11;31;27;21;17;30;19;29;15;4;26;6;10;7;1;9;18;24;3;13;32;23;4;25906
4;25906;8;2;20;28;12;14;5;16;22;25;11;31;27;21;17;30;19;29;15;4;26;6;10;7;1;9;18;24;3;13;32;23
8;2;20;28;12;22;5;16;14;25;11;31;27;21;17;30;19;29;15;4;26;6;10;7;1;9;18;24;3;13;32;23;4;25786
4;25786;8;2;20;28;12;22;5;16;14;25;11;31;27;21;17;30;19;29;15;4;26;6;10;7;1;9;18;24;3;13;32;23
8;2;20;28;12;22;5;16;14;25;11;31;27;21;17;30;19;29;6;4;26;15;10;7;1;9;18;24;3;13;32;23;4;26006
4;25786;8;2;20;28;12;22;5;16;14;25;11;31;27;21;17;30;19;29;15;4;26;6;10;7;1;9;18;24;3;13;32;23
8;2;20;28;12;5;22;16;14;25;11;31;27;21;17;30;19;29;15;4;26;6;10;7;1;9;18;24;3;13;32;23;4;25730
4;25730;8;2;20;28;12;5;22;16;14;25;11;31;27;21;17;30;19;29;15;4;26;6;10;7;1;9;18;24;3;13;32;23
8;2;20;28;12;5;22;16;14;25;11;31;26;21;17;30;19;29;15;4;27;6;10;7;1;9;18;24;3;13;32;23;4;25670
5;25670;8;2;20;28;12;5;22;16;14;25;11;31;26;21;17;30;19;29;15;4;27;6;10;7;1;9;18;24;3;13;32;23
8;2;20;6;12;5;22;16;14;25;11;31;26;21;17;30;19;29;15;4;27;28;10;7;1;9;18;24;3;13;32;23;5;25338
5;25338;8;2;20;6;12;5;22;16;14;25;11;31;26;21;17;30;19;29;15;4;27;28;10;7;1;9;18;24;3;13;32;23
8;2;20;6;12;5;22;16;14;25;30;31;26;21;17;11;19;29;15;4;27;28;10;7;1;9;18;24;3;13;32;23;5;24998
5;24998;8;2;20;6;12;5;22;16;14;25;30;31;26;21;17;11;19;29;15;4;27;28;10;7;1;9;18;24;3;13;32;23
8;2;20;6;12;5;22;16;14;25;30;31;26;21;10;11;19;29;15;4;27;28;17;7;1;9;18;24;3;13;32;23;5;24722
5;24722;8;2;20;6;12;5;22;16;14;25;30;31;26;21;10;11;19;29;15;4;27;28;17;7;1;9;18;24;3;13;32;23
8;2;20;6;12;5;15;16;14;25;30;31;26;21;10;11;19;29;22;4;27;28;17;7;1;9;18;24;3;13;32;23;5;24512
5;24512;8;2;20;6;12;5;15;16;14;25;30;31;26;21;10;11;19;29;22;4;27;28;17;7;1;9;18;24;3;13;32;23
8;2;20;6;12;5;15;16;14;25;30;31;11;21;10;26;19;29;22;4;27;28;17;7;1;9;18;24;3;13;32;23;5;25444
5;25444;8;2;20;6;12;5;15;16;14;25;30;31;11;21;10;26;19;29;22;4;27;28;17;7;1;9;18;24;3;13;32;23
8;2;14;6;12;5;15;16;20;25;30;31;11;21;10;26;19;29;22;4;27;28;17;7;1;9;18;24;3;13;32;23;5;25256
5;25256;8;2;14;6;12;5;15;16;20;25;30;31;11;21;10;26;19;29;22;4;27;28;17;7;1;9;18;24;3;13;32;23
8;2;14;6;12;5;15;16;20;25;30;31;4;21;10;26;19;29;22;11;27;28;17;7;1;9;18;24;3;13;32;23;5;25576
5;25576;8;2;14;6;12;5;15;16;20;25;30;31;4;21;10;26;19;29;22;11;27;28;17;7;1;9;18;24;3;13;32;23
8;2;14;6;12;5;15;16;20;25;30;31;4;21;10;26;19;1;22;11;27;28;17;7;29;9;18;24;3;13;32;23;5;25926
5;25926;8;2;14;6;12;5;15;16;20;25;30;31;4;21;10;26;19;1;22;11;27;28;17;7;29;9;18;24;3;13;32;23
8;2;14;6;32;5;15;16;20;25;30;31;4;21;10;26;19;1;22;11;27;28;17;7;29;9;18;24;3;13;12;23;5;26772
5;26772;8;2;14;6;32;5;15;16;20;25;30;31;4;21;10;26;19;1;22;11;27;28;17;7;29;9;18;24;3;13;12;23
8;2;14;6;32;5;15;16;20;12;30;31;4;21;10;26;19;1;22;11;27;28;17;7;29;9;18;24;3;13;25;23;5;26610
5;26610;8;2;14;6;32;5;15;16;20;12;30;31;4;21;10;26;19;1;22;11;27;28;17;7;29;9;18;24;3;13;25;23
8;2;14;6;32;1;15;16;20;12;30;31;4;21;10;26;19;5;22;11;27;28;17;7;29;9;18;24;3;13;25;23;5;26890
5;26890;8;2;14;6;32;1;15;16;20;12;30;31;4;21;10;26;19;5;22;11;27;28;17;7;29;9;18;24;3;13;25;23
8;10;14;6;32;1;15;16;20;12;30;31;4;21;2;26;19;5;22;11;27;28;17;7;29;9;18;24;3;13;25;23;5;26450
5;26450;8;10;14;6;32;1;15;16;20;12;30;31;4;21;2;26;19;5;22;11;27;28;17;7;29;9;18;24;3;13;25;23
8;10;14;6;32;19;15;16;20;12;30;31;4;21;2;26;1;5;22;11;27;28;17;7;29;9;18;24;3;13;25;23;5;26368
5;26368;8;10;14;6;32;19;15;16;20;12;30;31;4;21;2;26;1;5;22;11;27;28;17;7;29;9;18;24;3;13;25;23
8;10;14;6;32;19;15;16;20;12;30;31;4;21;2;26;9;5;22;11;27;28;17;7;29;1;18;24;3;13;25;23;5;26408
5;26408;8;10;14;6;32;19;15;16;20;12;30;31;4;21;2;26;9;5;22;11;27;28;17;7;29;1;18;24;3;13;25;23
32;10;14;6;8;19;15;16;20;12;30;31;4;21;2;26;9;5;22;11;27;28;17;7;29;1;18;24;3;13;25;23;5;25994
5;25994;32;10;14;6;8;19;15;16;20;12;30;31;4;21;2;26;9;5;22;11;27;28;17;7;29;1;18;24;3;13;25;23
32;10;14;6;8;19;15;16;20;12;30;3;4;21;2;26;9;5;22;11;27;28;17;7;29;1;18;24;31;13;25;23;5;26288
5;26288;32;10;14;6;8;19;15;16;20;12;30;3;4;21;2;26;9;5;22;11;27;28;17;7;29;1;18;24;31;13;25;23
32;10;14;6;8;19;15;16;20;12;30;3;4;21;2;26;17;5;22;11;27;28;9;7;29;1;18;24;31;13;25;23;5;26914
5;26914;32;10;14;6;8;19;15;16;20;12;30;3;4;21;2;26;17;5;22;11;27;28;9;7;29;1;18;24;31;13;25;23
32;10;14;23;8;19;15;16;20;12;30;3;4;21;2;26;17;5;22;11;27;28;9;7;29;1;18;24;31;13;25;6;5;27296
5;27296;32;10;14;23;8;19;15;16;20;12;30;3;4;21;2;26;17;5;22;11;27;28;9;7;29;1;18;24;31;13;25;6
32;10;14;23;8;19;15;16;20;12;30;3;4;21;2;26;17;5;22;11;27;28;9;7;29;24;18;1;31;13;25;6;5;27424
