"X1";"X300";"X62";"X27";"X30";"X14";"X41";"X3";"X25";"X23";"X24";"X33";"X32";"X59";"X50";"X13";"X55";"X36";"X46";"X53";"X60";"X63";"X64";"X12";"X49";"X38";"X31";"X37";"X4";"X28";"X26";"X8";"X35";"X15";"X47";"X54";"X51";"X5";"X45";"X7";"X16";"X19";"X9";"X56";"X44";"X20";"X1.1";"X29";"X18";"X22";"X61";"X17";"X43";"X6";"X2";"X52";"X40";"X11";"X39";"X57";"X10";"X34";"X21";"X58";"X48";"X42"
62;27;30;14;34;3;25;23;44;33;32;59;50;13;37;36;46;26;39;63;64;12;49;38;31;7;4;28;18;8;35;20;47;54;51;5;45;55;16;19;9;56;24;15;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42;1;240
1;240;62;27;30;14;34;3;25;23;44;33;32;59;50;13;37;36;46;26;39;63;64;12;49;38;31;7;4;28;18;8;35;20;47;54;51;5;45;55;16;19;9;56;24;15;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42
62;27;30;14;34;3;25;23;44;33;32;59;50;13;37;36;46;26;39;63;64;12;49;38;31;7;4;28;18;8;35;20;47;54;51;5;45;55;16;19;9;15;24;56;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42;1;260
1;260;62;27;30;14;34;3;25;23;44;33;32;59;50;13;37;36;46;26;39;63;64;12;49;38;31;7;4;28;18;8;35;20;47;54;51;5;45;55;16;19;9;15;24;56;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42
62;27;30;14;34;3;25;23;44;33;32;59;50;13;37;36;46;26;39;63;64;12;49;5;31;7;4;28;18;8;35;20;47;54;51;38;45;55;16;19;9;15;24;56;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42;1;260
1;260;62;27;30;14;34;3;25;23;44;33;32;59;50;13;37;36;46;26;39;63;64;12;49;5;31;7;4;28;18;8;35;20;47;54;51;38;45;55;16;19;9;15;24;56;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42
62;27;30;59;34;3;25;23;44;33;32;14;50;13;37;36;46;26;39;63;64;12;49;5;31;7;4;28;18;8;35;20;47;54;51;38;45;55;16;19;9;15;24;56;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42;1;252
1;252;62;27;30;59;34;3;25;23;44;33;32;14;50;13;37;36;46;26;39;63;64;12;49;5;31;7;4;28;18;8;35;20;47;54;51;38;45;55;16;19;9;15;24;56;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42
62;27;30;59;34;3;25;23;44;33;32;14;50;13;37;36;46;26;39;63;64;12;49;5;31;56;4;28;18;8;35;20;47;54;51;38;45;55;16;19;9;15;24;7;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42;1;232
1;232;62;27;30;59;34;3;25;23;44;33;32;14;50;13;37;36;46;26;39;63;64;12;49;5;31;56;4;28;18;8;35;20;47;54;51;38;45;55;16;19;9;15;24;7;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42
62;27;30;59;34;3;25;23;44;33;32;14;50;13;37;36;46;26;63;39;64;12;49;5;31;56;4;28;18;8;35;20;47;54;51;38;45;55;16;19;9;15;24;7;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42;1;236
1;236;62;27;30;59;34;3;25;23;44;33;32;14;50;13;37;36;46;26;63;39;64;12;49;5;31;56;4;28;18;8;35;20;47;54;51;38;45;55;16;19;9;15;24;7;1;29;6;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42
62;27;30;59;34;3;25;23;44;33;32;14;50;13;37;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;47;54;51;38;45;55;16;19;9;15;24;7;1;29;28;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42;1;236
1;236;62;27;30;59;34;3;25;23;44;33;32;14;50;13;37;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;47;54;51;38;45;55;16;19;9;15;24;7;1;29;28;22;61;17;43;53;2;52;40;11;60;57;10;41;21;58;48;42
62;40;30;59;34;3;25;23;44;33;32;14;50;13;37;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;47;54;51;38;45;55;16;19;9;15;24;7;1;29;28;22;61;17;43;53;2;52;27;11;60;57;10;41;21;58;48;42;1;236
1;236;62;40;30;59;34;3;25;23;44;33;32;14;50;13;37;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;47;54;51;38;45;55;16;19;9;15;24;7;1;29;28;22;61;17;43;53;2;52;27;11;60;57;10;41;21;58;48;42
62;40;30;59;34;3;25;23;44;33;47;14;50;13;37;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;32;54;51;38;45;55;16;19;9;15;24;7;1;29;28;22;61;17;43;53;2;52;27;11;60;57;10;41;21;58;48;42;1;214
1;214;62;40;30;59;34;3;25;23;44;33;47;14;50;13;37;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;32;54;51;38;45;55;16;19;9;15;24;7;1;29;28;22;61;17;43;53;2;52;27;11;60;57;10;41;21;58;48;42
62;40;30;59;34;3;25;23;44;33;47;14;50;13;37;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;32;54;21;38;45;55;16;19;9;15;24;7;1;29;28;22;61;17;43;53;2;52;27;11;60;57;10;41;51;58;48;42;1;212
1;212;62;40;30;59;34;3;25;23;44;33;47;14;50;13;37;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;32;54;21;38;45;55;16;19;9;15;24;7;1;29;28;22;61;17;43;53;2;52;27;11;60;57;10;41;51;58;48;42
62;40;30;59;34;3;25;23;44;33;47;14;4;13;37;36;46;26;63;39;64;12;49;5;31;56;50;6;18;8;35;20;32;54;21;38;45;55;16;19;9;15;24;7;1;29;28;22;61;17;43;53;2;52;27;11;60;57;10;41;51;58;48;42;1;232
1;212;62;40;30;59;34;3;25;23;44;33;47;14;50;13;37;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;32;54;21;38;45;55;16;19;9;15;24;7;1;29;28;22;61;17;43;53;2;52;27;11;60;57;10;41;51;58;48;42
62;40;30;59;34;3;25;23;44;33;47;14;50;13;16;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;15;24;7;1;29;28;22;61;17;43;53;2;52;27;11;60;57;10;41;51;58;48;42;1;236
2;236;62;40;30;59;34;3;25;23;44;33;47;14;50;13;16;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;15;24;7;1;29;28;22;61;17;43;53;2;52;27;11;60;57;10;41;51;58;48;42
62;40;30;59;34;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;15;24;7;1;29;13;22;61;17;43;53;2;52;27;11;60;57;10;41;51;58;48;42;2;260
2;260;62;40;30;59;34;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;15;24;7;1;29;13;22;61;17;43;53;2;52;27;11;60;57;10;41;51;58;48;42
62;40;30;1;34;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;15;24;7;59;29;13;22;61;17;43;53;2;52;27;11;60;57;10;41;51;58;48;42;2;256
2;256;62;40;30;1;34;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;15;24;7;59;29;13;22;61;17;43;53;2;52;27;11;60;57;10;41;51;58;48;42
62;40;30;1;34;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;15;24;7;53;29;13;22;61;17;43;59;2;52;27;11;60;57;10;41;51;58;48;42;2;256
2;256;62;40;30;1;34;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;5;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;15;24;7;53;29;13;22;61;17;43;59;2;52;27;11;60;57;10;41;51;58;48;42
62;40;30;1;34;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;15;24;7;53;29;13;22;61;17;43;59;2;52;27;11;5;57;10;41;51;58;48;42;2;256
2;256;62;40;30;1;34;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;15;24;7;53;29;13;22;61;17;43;59;2;52;27;11;5;57;10;41;51;58;48;42
62;40;30;1;34;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;24;7;53;29;13;22;61;17;43;59;2;52;27;11;15;57;10;41;51;58;48;42;2;256
2;256;62;40;30;1;34;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;24;7;53;29;13;22;61;17;43;59;2;52;27;11;15;57;10;41;51;58;48;42
62;40;30;1;13;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;24;7;53;29;34;22;61;17;43;59;2;52;27;11;15;57;10;41;51;58;48;42;2;256
2;256;62;40;30;1;13;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;24;7;53;29;34;22;61;17;43;59;2;52;27;11;15;57;10;41;51;58;48;42
62;40;30;1;13;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;2;52;27;11;15;57;10;41;51;58;48;42;2;256
2;256;62;40;30;1;13;3;25;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;2;52;27;11;15;57;10;41;51;58;48;42
62;40;30;1;25;3;13;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;2;52;27;11;15;57;10;41;51;58;48;42;2;256
2;256;62;40;30;1;25;3;13;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;2;52;27;11;15;57;10;41;51;58;48;42
62;40;30;1;25;3;13;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;2;52;27;11;15;42;10;41;51;58;48;57;2;256
2;256;62;40;30;1;25;3;13;23;44;33;47;14;50;28;16;36;46;26;63;39;64;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;2;52;27;11;15;42;10;41;51;58;48;57
62;40;30;1;25;3;13;23;44;33;47;14;50;28;16;36;46;26;63;39;2;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;64;52;27;11;15;42;10;41;51;58;48;57;2;256
2;256;62;40;30;1;25;3;13;23;44;33;47;14;50;28;16;36;46;26;63;39;2;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;64;52;27;11;15;42;10;41;51;58;48;57
62;40;30;46;25;3;13;23;44;33;47;14;50;28;16;36;1;26;63;39;2;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;64;52;27;11;15;42;10;41;51;58;48;57;2;256
2;256;62;40;30;46;25;3;13;23;44;33;47;14;50;28;16;36;1;26;63;39;2;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;64;52;27;11;15;42;10;41;51;58;48;57
62;48;30;46;25;3;13;23;44;33;47;14;50;28;16;36;1;26;63;39;2;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;64;52;27;11;15;42;10;41;51;58;40;57;2;256
2;256;62;48;30;46;25;3;13;23;44;33;47;14;50;28;16;36;1;26;63;39;2;12;49;60;31;56;4;6;18;8;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;64;52;27;11;15;42;10;41;51;58;40;57
62;48;30;46;25;3;13;23;44;33;47;14;50;28;16;36;8;26;63;39;2;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;64;52;27;11;15;42;10;41;51;58;40;57;2;256
2;256;62;48;30;46;25;3;13;23;44;33;47;14;50;28;16;36;8;26;63;39;2;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;19;9;5;59;7;53;29;34;22;61;17;43;24;64;52;27;11;15;42;10;41;51;58;40;57
62;48;30;46;25;3;13;23;44;33;47;14;50;28;16;36;8;26;63;39;2;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;34;9;5;59;7;53;29;19;22;61;17;43;24;64;52;27;11;15;42;10;41;51;58;40;57;2;256
2;256;62;48;30;46;25;3;13;23;44;33;47;14;50;28;16;36;8;26;63;39;2;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;34;9;5;59;7;53;29;19;22;61;17;43;24;64;52;27;11;15;42;10;41;51;58;40;57
62;48;30;46;25;3;13;23;44;33;47;14;50;28;16;36;8;26;63;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;34;9;5;59;7;53;29;19;22;61;2;43;24;64;52;27;11;15;42;10;41;51;58;40;57;2;256
2;256;62;48;30;46;25;3;13;23;44;33;47;14;50;28;16;36;8;26;63;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;34;9;5;59;7;53;29;19;22;61;2;43;24;64;52;27;11;15;42;10;41;51;58;40;57
62;48;30;46;25;3;8;23;44;33;47;14;50;28;16;36;13;26;63;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;34;9;5;59;7;53;29;19;22;61;2;43;24;64;52;27;11;15;42;10;41;51;58;40;57;2;248
2;248;62;48;30;46;25;3;8;23;44;33;47;14;50;28;16;36;13;26;63;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;34;9;5;59;7;53;29;19;22;61;2;43;24;64;52;27;11;15;42;10;41;51;58;40;57
62;48;30;46;25;3;8;23;44;33;47;14;50;28;16;36;13;26;63;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;34;9;5;59;7;43;29;19;22;61;2;53;24;64;52;27;11;15;42;10;41;51;58;40;57;2;248
2;248;62;48;30;46;25;3;8;23;44;33;47;14;50;28;16;36;13;26;63;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;34;9;5;59;7;43;29;19;22;61;2;53;24;64;52;27;11;15;42;10;41;51;58;40;57
62;48;30;46;25;3;8;23;44;33;47;14;50;28;16;36;13;26;10;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;34;9;5;59;7;43;29;19;22;61;2;53;24;64;52;27;11;15;42;63;41;51;58;40;57;2;256
2;256;62;48;30;46;25;3;8;23;44;33;47;14;50;28;16;36;13;26;10;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;34;9;5;59;7;43;29;19;22;61;2;53;24;64;52;27;11;15;42;63;41;51;58;40;57
62;48;30;46;25;3;8;23;44;33;47;14;50;28;16;36;13;26;10;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;34;9;5;59;7;43;29;19;22;61;2;41;24;64;52;27;11;15;42;63;53;51;58;40;57;2;256
2;256;62;48;30;46;25;3;8;23;44;33;47;14;50;28;16;36;13;26;10;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;37;34;9;5;59;7;43;29;19;22;61;2;41;24;64;52;27;11;15;42;63;53;51;58;40;57
62;48;30;46;25;3;8;23;44;33;47;14;50;28;16;36;13;26;10;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;59;34;9;5;37;7;43;29;19;22;61;2;41;24;64;52;27;11;15;42;63;53;51;58;40;57;2;256
3;256;62;48;30;46;25;3;8;23;44;33;47;14;50;28;16;36;13;26;10;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;59;34;9;5;37;7;43;29;19;22;61;2;41;24;64;52;27;11;15;42;63;53;51;58;40;57
62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;59;34;9;5;37;7;43;29;19;22;23;2;41;24;64;52;27;11;15;42;63;53;51;58;40;57;3;256
3;256;62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;39;17;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;59;34;9;5;37;7;43;29;19;22;23;2;41;24;64;52;27;11;15;42;63;53;51;58;40;57
62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;39;22;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;59;34;9;5;37;7;43;29;19;17;23;2;41;24;64;52;27;11;15;42;63;53;51;58;40;57;3;256
3;256;62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;39;22;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;59;34;9;5;37;7;43;29;19;17;23;2;41;24;64;52;27;11;15;42;63;53;51;58;40;57
62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;58;22;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;59;34;9;5;37;7;43;29;19;17;23;2;41;24;64;52;27;11;15;42;63;53;51;39;40;57;3;258
3;258;62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;58;22;12;49;60;31;56;4;6;18;1;35;20;32;54;21;38;45;55;59;34;9;5;37;7;43;29;19;17;23;2;41;24;64;52;27;11;15;42;63;53;51;39;40;57
62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;58;22;12;49;60;31;56;4;17;18;1;35;20;32;54;21;38;45;55;59;34;9;5;37;7;43;29;19;6;23;2;41;24;64;52;27;11;15;42;63;53;51;39;40;57;3;254
3;254;62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;58;22;12;49;60;31;56;4;17;18;1;35;20;32;54;21;38;45;55;59;34;9;5;37;7;43;29;19;6;23;2;41;24;64;52;27;11;15;42;63;53;51;39;40;57
62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;58;22;12;49;60;31;56;19;17;18;1;35;20;32;54;21;38;45;55;59;34;9;5;37;7;43;29;4;6;23;2;41;24;64;52;27;11;15;42;63;53;51;39;40;57;3;242
3;242;62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;58;22;12;49;60;31;56;19;17;18;1;35;20;32;54;21;38;45;55;59;34;9;5;37;7;43;29;4;6;23;2;41;24;64;52;27;11;15;42;63;53;51;39;40;57
62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;58;22;12;49;60;31;56;19;17;18;1;35;20;32;54;21;38;45;55;59;34;9;5;42;7;43;29;4;6;23;2;41;24;64;52;27;11;15;37;63;53;51;39;40;57;3;242
3;242;62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;58;22;12;49;60;31;56;19;17;18;1;35;20;32;54;21;38;45;55;59;34;9;5;42;7;43;29;4;6;23;2;41;24;64;52;27;11;15;37;63;53;51;39;40;57
62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;58;22;12;49;60;31;20;19;17;18;1;35;56;32;54;21;38;45;55;59;34;9;5;42;7;43;29;4;6;23;2;41;24;64;52;27;11;15;37;63;53;51;39;40;57;3;246
3;246;62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;10;58;22;12;49;60;31;20;19;17;18;1;35;56;32;54;21;38;45;55;59;34;9;5;42;7;43;29;4;6;23;2;41;24;64;52;27;11;15;37;63;53;51;39;40;57
62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;31;58;22;12;49;60;10;20;19;17;18;1;35;56;32;54;21;38;45;55;59;34;9;5;42;7;43;29;4;6;23;2;41;24;64;52;27;11;15;37;63;53;51;39;40;57;3;234
3;234;62;48;30;46;25;3;8;61;44;33;47;14;50;28;16;36;13;26;31;58;22;12;49;60;10;20;19;17;18;1;35;56;32;54;21;38;45;55;59;34;9;5;42;7;43;29;4;6;23;2;41;24;64;52;27;11;15;37;63;53;51;39;40;57
62;16;30;46;25;3;8;61;44;33;47;14;50;28;48;36;13;26;31;58;22;12;49;60;10;20;19;17;18;1;35;56;32;54;21;38;45;55;59;34;9;5;42;7;43;29;4;6;23;2;41;24;64;52;27;11;15;37;63;53;51;39;40;57;3;240
3;240;62;16;30;46;25;3;8;61;44;33;47;14;50;28;48;36;13;26;31;58;22;12;49;60;10;20;19;17;18;1;35;56;32;54;21;38;45;55;59;34;9;5;42;7;43;29;4;6;23;2;41;24;64;52;27;11;15;37;63;53;51;39;40;57
62;34;30;46;25;3;8;61;44;33;47;14;50;28;48;36;13;26;31;58;22;12;49;60;10;20;19;17;18;1;35;56;32;54;21;38;45;55;59;16;9;5;42;7;43;29;4;6;23;2;41;24;64;52;27;11;15;37;63;53;51;39;40;57;3;240
3;240;62;34;30;46;25;3;8;61;44;33;47;14;50;28;48;36;13;26;31;58;22;12;49;60;10;20;19;17;18;1;35;56;32;54;21;38;45;55;59;16;9;5;42;7;43;29;4;6;23;2;41;24;64;52;27;11;15;37;63;53;51;39;40;57
62;1;30;46;25;3;8;61;44;33;47;14;50;28;48;36;13;26;31;58;22;12;49;60;10;20;19;17;18;34;35;56;32;54;21;38;45;55;59;16;9;5;42;7;43;29;4;6;23;2;41;24;64;52;27;11;15;37;63;53;51;39;40;57;3;244
