"X1";"X5819398";"X25";"X19";"X23";"X8";"X3";"X10";"X1.1";"X4";"X9";"X12";"X7";"X18";"X11";"X26";"X20";"X15";"X21";"X24";"X22";"X17";"X2";"X14";"X13";"X16";"X6";"X5"
25;2;18;14;16;26;15;19;5;3;17;11;22;12;20;1;21;13;23;7;4;24;6;8;10;9;1;5790711
1;5790711;25;2;18;14;16;26;15;19;5;3;17;11;22;12;20;1;21;13;23;7;4;24;6;8;10;9
25;23;18;14;16;26;15;19;5;3;17;11;22;12;20;1;21;13;2;7;4;24;6;8;10;9;1;5790352
1;5790352;25;23;18;14;16;26;15;19;5;3;17;11;22;12;20;1;21;13;2;7;4;24;6;8;10;9
25;23;18;14;16;26;15;19;5;3;17;11;22;12;20;1;21;13;6;7;4;24;2;8;10;9;1;5769118
1;5769118;25;23;18;14;16;26;15;19;5;3;17;11;22;12;20;1;21;13;6;7;4;24;2;8;10;9
25;23;18;14;16;26;15;19;5;3;17;11;22;12;20;1;21;13;24;7;4;6;2;8;10;9;1;5776284
2;5776284;25;23;18;14;16;26;15;19;5;3;17;11;22;12;20;1;21;13;24;7;4;6;2;8;10;9
25;23;18;14;16;26;15;19;5;8;17;11;22;12;20;1;21;13;24;7;4;6;2;3;10;9;2;5750371
2;5750371;25;23;18;14;16;26;15;19;5;8;17;11;22;12;20;1;21;13;24;7;4;6;2;3;10;9
25;12;18;14;16;26;15;19;5;8;17;11;22;23;20;1;21;13;24;7;4;6;2;3;10;9;2;5759594
2;5759594;25;12;18;14;16;26;15;19;5;8;17;11;22;23;20;1;21;13;24;7;4;6;2;3;10;9
25;12;18;14;16;19;15;26;5;8;17;11;22;23;20;1;21;13;24;7;4;6;2;3;10;9;2;5776435
2;5776435;25;12;18;14;16;19;15;26;5;8;17;11;22;23;20;1;21;13;24;7;4;6;2;3;10;9
7;12;18;14;16;19;15;26;5;8;17;11;22;23;20;1;21;13;24;25;4;6;2;3;10;9;2;5766733
2;5766733;7;12;18;14;16;19;15;26;5;8;17;11;22;23;20;1;21;13;24;25;4;6;2;3;10;9
7;12;18;14;16;19;15;17;5;8;26;11;22;23;20;1;21;13;24;25;4;6;2;3;10;9;2;5755330
2;5755330;7;12;18;14;16;19;15;17;5;8;26;11;22;23;20;1;21;13;24;25;4;6;2;3;10;9
7;22;18;14;16;19;15;17;5;8;26;11;12;23;20;1;21;13;24;25;4;6;2;3;10;9;2;5745132
2;5745132;7;22;18;14;16;19;15;17;5;8;26;11;12;23;20;1;21;13;24;25;4;6;2;3;10;9
11;22;18;14;16;19;15;17;5;8;26;7;12;23;20;1;21;13;24;25;4;6;2;3;10;9;2;5735120
2;5735120;11;22;18;14;16;19;15;17;5;8;26;7;12;23;20;1;21;13;24;25;4;6;2;3;10;9
11;22;18;14;16;19;15;17;5;8;26;7;12;2;20;1;21;13;24;25;4;6;23;3;10;9;2;5733720
2;5733720;11;22;18;14;16;19;15;17;5;8;26;7;12;2;20;1;21;13;24;25;4;6;23;3;10;9
11;22;18;14;16;19;15;17;5;8;26;7;12;2;20;1;21;13;24;25;4;6;3;23;10;9;2;5733720
2;5733720;11;22;18;14;16;19;15;17;5;8;26;7;12;2;20;1;21;13;24;25;4;6;3;23;10;9
11;22;18;14;16;19;15;17;5;8;26;7;4;2;20;1;21;13;24;25;12;6;3;23;10;9;2;5717502
2;5717502;11;22;18;14;16;19;15;17;5;8;26;7;4;2;20;1;21;13;24;25;12;6;3;23;10;9
11;22;18;14;16;19;15;17;5;8;26;7;4;2;20;23;21;13;24;25;12;6;3;1;10;9;2;5847306
2;5847306;11;22;18;14;16;19;15;17;5;8;26;7;4;2;20;23;21;13;24;25;12;6;3;1;10;9
11;22;18;14;13;19;15;17;5;8;26;7;4;2;20;23;21;16;24;25;12;6;3;1;10;9;2;5844930
2;5844930;11;22;18;14;13;19;15;17;5;8;26;7;4;2;20;23;21;16;24;25;12;6;3;1;10;9
11;22;18;14;13;19;15;17;5;8;26;7;4;2;20;23;21;16;24;25;12;1;3;6;10;9;2;5822112
2;5822112;11;22;18;14;13;19;15;17;5;8;26;7;4;2;20;23;21;16;24;25;12;1;3;6;10;9
11;7;18;14;13;19;15;17;5;8;26;22;4;2;20;23;21;16;24;25;12;1;3;6;10;9;2;5845997
2;5845997;11;7;18;14;13;19;15;17;5;8;26;22;4;2;20;23;21;16;24;25;12;1;3;6;10;9
11;7;18;14;13;19;8;17;5;15;26;22;4;2;20;23;21;16;24;25;12;1;3;6;10;9;2;5848665
2;5848665;11;7;18;14;13;19;8;17;5;15;26;22;4;2;20;23;21;16;24;25;12;1;3;6;10;9
11;7;18;14;13;19;8;23;5;15;26;22;4;2;20;17;21;16;24;25;12;1;3;6;10;9;2;5847211
2;5847211;11;7;18;14;13;19;8;23;5;15;26;22;4;2;20;17;21;16;24;25;12;1;3;6;10;9
11;7;18;5;13;19;8;23;14;15;26;22;4;2;20;17;21;16;24;25;12;1;3;6;10;9;2;6001779
2;6001779;11;7;18;5;13;19;8;23;14;15;26;22;4;2;20;17;21;16;24;25;12;1;3;6;10;9
11;7;18;5;13;19;8;23;14;15;26;22;4;2;20;17;21;12;24;25;16;1;3;6;10;9;2;5958569
2;5958569;11;7;18;5;13;19;8;23;14;15;26;22;4;2;20;17;21;12;24;25;16;1;3;6;10;9
11;7;18;5;25;19;8;23;14;15;26;22;4;2;20;17;21;12;24;13;16;1;3;6;10;9;2;5965128
2;5965128;11;7;18;5;25;19;8;23;14;15;26;22;4;2;20;17;21;12;24;13;16;1;3;6;10;9
11;7;18;19;25;5;8;23;14;15;26;22;4;2;20;17;21;12;24;13;16;1;3;6;10;9;2;6002154
3;6002154;11;7;18;19;25;5;8;23;14;15;26;22;4;2;20;17;21;12;24;13;16;1;3;6;10;9
11;7;18;19;25;5;8;23;14;15;26;22;4;2;13;17;21;12;24;20;16;1;3;6;10;9;3;6018517
3;6018517;11;7;18;19;25;5;8;23;14;15;26;22;4;2;13;17;21;12;24;20;16;1;3;6;10;9
11;7;18;19;25;5;8;23;14;15;26;22;2;4;13;17;21;12;24;20;16;1;3;6;10;9;3;6015540
3;6015540;11;7;18;19;25;5;8;23;14;15;26;22;2;4;13;17;21;12;24;20;16;1;3;6;10;9
11;7;18;19;25;5;8;23;14;15;26;22;2;4;12;17;21;13;24;20;16;1;3;6;10;9;3;6032570
3;6032570;11;7;18;19;25;5;8;23;14;15;26;22;2;4;12;17;21;13;24;20;16;1;3;6;10;9
12;7;18;19;25;5;8;23;14;15;26;22;2;4;11;17;21;13;24;20;16;1;3;6;10;9;3;6035925
3;6035925;12;7;18;19;25;5;8;23;14;15;26;22;2;4;11;17;21;13;24;20;16;1;3;6;10;9
12;7;11;19;25;5;8;23;14;15;26;22;2;4;18;17;21;13;24;20;16;1;3;6;10;9;3;6023373
3;6023373;12;7;11;19;25;5;8;23;14;15;26;22;2;4;18;17;21;13;24;20;16;1;3;6;10;9
12;7;11;19;25;23;8;5;14;15;26;22;2;4;18;17;21;13;24;20;16;1;3;6;10;9;3;5964061
3;5964061;12;7;11;19;25;23;8;5;14;15;26;22;2;4;18;17;21;13;24;20;16;1;3;6;10;9
12;7;11;19;25;9;8;5;14;15;26;22;2;4;18;17;21;13;24;20;16;1;3;6;10;23;3;5935086
3;5935086;12;7;11;19;25;9;8;5;14;15;26;22;2;4;18;17;21;13;24;20;16;1;3;6;10;23
12;7;11;19;25;9;26;5;14;15;8;22;2;4;18;17;21;13;24;20;16;1;3;6;10;23;3;5956561
3;5956561;12;7;11;19;25;9;26;5;14;15;8;22;2;4;18;17;21;13;24;20;16;1;3;6;10;23
12;7;11;19;25;9;26;5;14;15;8;22;2;4;18;17;21;13;24;20;16;1;3;6;23;10;3;5956561
3;5956561;12;7;11;19;25;9;26;5;14;15;8;22;2;4;18;17;21;13;24;20;16;1;3;6;23;10
12;9;11;19;25;7;26;5;14;15;8;22;2;4;18;17;21;13;24;20;16;1;3;6;23;10;3;5990422
3;5990422;12;9;11;19;25;7;26;5;14;15;8;22;2;4;18;17;21;13;24;20;16;1;3;6;23;10
12;9;10;19;25;7;26;5;14;15;8;22;2;4;18;17;21;13;24;20;16;1;3;6;23;11;3;5981437
3;5981437;12;9;10;19;25;7;26;5;14;15;8;22;2;4;18;17;21;13;24;20;16;1;3;6;23;11
12;9;10;19;25;16;26;5;14;15;8;22;2;4;18;17;21;13;24;20;7;1;3;6;23;11;3;5964938
3;5964938;12;9;10;19;25;16;26;5;14;15;8;22;2;4;18;17;21;13;24;20;7;1;3;6;23;11
12;17;10;19;25;16;26;5;14;15;8;22;2;4;18;9;21;13;24;20;7;1;3;6;23;11;3;5939441
3;5939441;12;17;10;19;25;16;26;5;14;15;8;22;2;4;18;9;21;13;24;20;7;1;3;6;23;11
12;17;10;19;25;16;26;5;14;15;8;22;2;4;18;9;21;13;24;20;7;6;3;1;23;11;3;5941836
3;5941836;12;17;10;19;25;16;26;5;14;15;8;22;2;4;18;9;21;13;24;20;7;6;3;1;23;11
12;17;10;19;25;16;26;5;14;15;8;22;2;9;18;4;21;13;24;20;7;6;3;1;23;11;3;5960676
3;5960676;12;17;10;19;25;16;26;5;14;15;8;22;2;9;18;4;21;13;24;20;7;6;3;1;23;11
20;17;10;19;25;16;26;5;14;15;8;22;2;9;18;4;21;13;24;12;7;6;3;1;23;11;3;5941952
3;5941952;20;17;10;19;25;16;26;5;14;15;8;22;2;9;18;4;21;13;24;12;7;6;3;1;23;11
20;17;10;19;11;16;26;5;14;15;8;22;2;9;18;4;21;13;24;12;7;6;3;1;23;25;3;5958797
3;5958797;20;17;10;19;11;16;26;5;14;15;8;22;2;9;18;4;21;13;24;12;7;6;3;1;23;25
1;17;10;19;11;16;26;5;14;15;8;22;2;9;18;4;21;13;24;12;7;6;3;20;23;25;3;6005797
3;6005797;1;17;10;19;11;16;26;5;14;15;8;22;2;9;18;4;21;13;24;12;7;6;3;20;23;25
1;17;10;19;11;16;13;5;14;15;8;22;2;9;18;4;21;26;24;12;7;6;3;20;23;25;3;5997788
3;5997788;1;17;10;19;11;16;13;5;14;15;8;22;2;9;18;4;21;26;24;12;7;6;3;20;23;25
1;17;10;19;11;16;12;5;14;15;8;22;2;9;18;4;21;26;24;13;7;6;3;20;23;25;3;5967457
4;5967457;1;17;10;19;11;16;12;5;14;15;8;22;2;9;18;4;21;26;24;13;7;6;3;20;23;25
1;17;10;19;11;16;12;5;2;15;8;22;14;9;18;4;21;26;24;13;7;6;3;20;23;25;4;5906868
4;5906868;1;17;10;19;11;16;12;5;2;15;8;22;14;9;18;4;21;26;24;13;7;6;3;20;23;25
1;17;10;19;11;16;12;5;22;15;8;2;14;9;18;4;21;26;24;13;7;6;3;20;23;25;4;5902867
4;5902867;1;17;10;19;11;16;12;5;22;15;8;2;14;9;18;4;21;26;24;13;7;6;3;20;23;25
1;17;10;16;11;19;12;5;22;15;8;2;14;9;18;4;21;26;24;13;7;6;3;20;23;25;4;5808121
4;5808121;1;17;10;16;11;19;12;5;22;15;8;2;14;9;18;4;21;26;24;13;7;6;3;20;23;25
1;17;10;16;11;19;12;5;22;15;8;2;14;9;6;4;21;26;24;13;7;18;3;20;23;25;4;5817998
4;5817998;1;17;10;16;11;19;12;5;22;15;8;2;14;9;6;4;21;26;24;13;7;18;3;20;23;25
1;17;10;16;11;19;12;5;4;15;8;2;14;9;6;22;21;26;24;13;7;18;3;20;23;25;4;5815490
4;5815490;1;17;10;16;11;19;12;5;4;15;8;2;14;9;6;22;21;26;24;13;7;18;3;20;23;25
1;17;19;16;11;10;12;5;4;15;8;2;14;9;6;22;21;26;24;13;7;18;3;20;23;25;4;5880007
4;5880007;1;17;19;16;11;10;12;5;4;15;8;2;14;9;6;22;21;26;24;13;7;18;3;20;23;25
1;17;19;16;11;10;12;5;24;15;8;2;14;9;6;22;21;26;4;13;7;18;3;20;23;25;4;5874170
4;5874170;1;17;19;16;11;10;12;5;24;15;8;2;14;9;6;22;21;26;4;13;7;18;3;20;23;25
1;17;19;16;11;10;12;5;24;15;8;2;14;9;6;25;21;26;4;13;7;18;3;20;23;22;4;5874265
4;5874265;1;17;19;16;11;10;12;5;24;15;8;2;14;9;6;25;21;26;4;13;7;18;3;20;23;22
1;17;19;16;9;10;12;5;24;15;8;2;14;11;6;25;21;26;4;13;7;18;3;20;23;22;4;5931057
4;5931057;1;17;19;16;9;10;12;5;24;15;8;2;14;11;6;25;21;26;4;13;7;18;3;20;23;22
1;17;19;16;9;10;12;5;24;15;8;2;14;11;21;25;6;26;4;13;7;18;3;20;23;22;4;5973664
4;5973664;1;17;19;16;9;10;12;5;24;15;8;2;14;11;21;25;6;26;4;13;7;18;3;20;23;22
1;17;19;16;9;10;12;5;24;15;8;2;14;11;21;25;18;26;4;13;7;6;3;20;23;22;4;5901106
4;5901106;1;17;19;16;9;10;12;5;24;15;8;2;14;11;21;25;18;26;4;13;7;6;3;20;23;22
1;17;19;16;9;25;12;5;24;15;8;2;14;11;21;10;18;26;4;13;7;6;3;20;23;22;4;5900691
4;5900691;1;17;19;16;9;25;12;5;24;15;8;2;14;11;21;10;18;26;4;13;7;6;3;20;23;22
1;17;19;16;11;25;12;5;24;15;8;2;14;9;21;10;18;26;4;13;7;6;3;20;23;22;4;5848054
4;5848054;1;17;19;16;11;25;12;5;24;15;8;2;14;9;21;10;18;26;4;13;7;6;3;20;23;22
13;17;19;16;11;25;12;5;24;15;8;2;14;9;21;10;18;26;4;1;7;6;3;20;23;22;4;5860213
4;5860213;13;17;19;16;11;25;12;5;24;15;8;2;14;9;21;10;18;26;4;1;7;6;3;20;23;22
11;17;19;16;13;25;12;5;24;15;8;2;14;9;21;10;18;26;4;1;7;6;3;20;23;22;4;5848200
4;5848200;11;17;19;16;13;25;12;5;24;15;8;2;14;9;21;10;18;26;4;1;7;6;3;20;23;22
11;17;19;16;13;25;12;15;24;5;8;2;14;9;21;10;18;26;4;1;7;6;3;20;23;22;4;5849280
4;5849280;11;17;19;16;13;25;12;15;24;5;8;2;14;9;21;10;18;26;4;1;7;6;3;20;23;22
11;17;19;16;13;25;12;15;6;5;8;2;14;9;21;10;18;26;4;1;7;24;3;20;23;22;4;5831018
4;5831018;11;17;19;16;13;25;12;15;6;5;8;2;14;9;21;10;18;26;4;1;7;24;3;20;23;22
11;17;19;16;13;25;12;15;6;5;8;26;14;9;21;10;18;2;4;1;7;24;3;20;23;22;4;5843198
4;5843198;11;17;19;16;13;25;12;15;6;5;8;26;14;9;21;10;18;2;4;1;7;24;3;20;23;22
11;17;19;16;13;25;12;15;6;5;8;26;14;24;21;10;18;2;4;1;7;9;3;20;23;22;4;5950236
4;5950236;11;17;19;16;13;25;12;15;6;5;8;26;14;24;21;10;18;2;4;1;7;9;3;20;23;22
11;17;19;15;13;25;12;16;6;5;8;26;14;24;21;10;18;2;4;1;7;9;3;20;23;22;4;5951012
5;5951012;11;17;19;15;13;25;12;16;6;5;8;26;14;24;21;10;18;2;4;1;7;9;3;20;23;22
11;17;19;15;13;25;12;16;6;5;8;26;14;24;4;10;18;2;21;1;7;9;3;20;23;22;5;5931235
5;5931235;11;17;19;15;13;25;12;16;6;5;8;26;14;24;4;10;18;2;21;1;7;9;3;20;23;22
11;17;19;5;13;25;12;16;6;15;8;26;14;24;4;10;18;2;21;1;7;9;3;20;23;22;5;6158526
5;6158526;11;17;19;5;13;25;12;16;6;15;8;26;14;24;4;10;18;2;21;1;7;9;3;20;23;22
14;17;19;5;13;25;12;16;6;15;8;26;11;24;4;10;18;2;21;1;7;9;3;20;23;22;5;6253990
5;6253990;14;17;19;5;13;25;12;16;6;15;8;26;11;24;4;10;18;2;21;1;7;9;3;20;23;22
14;17;19;5;13;25;12;16;6;15;8;26;11;24;4;10;18;2;3;1;7;9;21;20;23;22;5;6299375
5;6299375;14;17;19;5;13;25;12;16;6;15;8;26;11;24;4;10;18;2;3;1;7;9;21;20;23;22
14;17;19;5;13;25;12;11;6;15;8;26;16;24;4;10;18;2;3;1;7;9;21;20;23;22;5;6299265
5;6299265;14;17;19;5;13;25;12;11;6;15;8;26;16;24;4;10;18;2;3;1;7;9;21;20;23;22
3;17;19;5;13;25;12;11;6;15;8;26;16;24;4;10;18;2;14;1;7;9;21;20;23;22;5;6154493
5;6154493;3;17;19;5;13;25;12;11;6;15;8;26;16;24;4;10;18;2;14;1;7;9;21;20;23;22
3;17;19;5;13;25;12;11;6;15;8;26;16;22;4;10;18;2;14;1;7;9;21;20;23;24;5;6154590
5;6154590;3;17;19;5;13;25;12;11;6;15;8;26;16;22;4;10;18;2;14;1;7;9;21;20;23;24
3;17;19;5;13;25;12;11;6;15;8;26;16;22;4;10;18;2;14;1;7;9;24;20;23;21;5;6107742
5;6107742;3;17;19;5;13;25;12;11;6;15;8;26;16;22;4;10;18;2;14;1;7;9;24;20;23;21
3;17;19;5;13;25;12;11;6;15;7;26;16;22;4;10;18;2;14;1;8;9;24;20;23;21;5;6102045
5;6102045;3;17;19;5;13;25;12;11;6;15;7;26;16;22;4;10;18;2;14;1;8;9;24;20;23;21
3;17;19;5;13;25;12;11;6;15;7;26;16;22;1;10;18;2;14;4;8;9;24;20;23;21;5;6077198
5;6077198;3;17;19;5;13;25;12;11;6;15;7;26;16;22;1;10;18;2;14;4;8;9;24;20;23;21
3;17;19;5;13;25;12;11;6;15;1;26;16;22;7;10;18;2;14;4;8;9;24;20;23;21;5;6064578
5;6064578;3;17;19;5;13;25;12;11;6;15;1;26;16;22;7;10;18;2;14;4;8;9;24;20;23;21
3;17;19;5;23;25;12;11;6;15;1;26;16;22;7;10;18;2;14;4;8;9;24;20;13;21;5;6058192
5;6058192;3;17;19;5;23;25;12;11;6;15;1;26;16;22;7;10;18;2;14;4;8;9;24;20;13;21
3;17;19;5;23;25;12;11;6;15;1;26;16;18;7;10;22;2;14;4;8;9;24;20;13;21;5;6187076
5;6187076;3;17;19;5;23;25;12;11;6;15;1;26;16;18;7;10;22;2;14;4;8;9;24;20;13;21
3;17;19;5;23;25;12;11;6;15;1;26;16;18;7;22;10;2;14;4;8;9;24;20;13;21;5;6187362
5;6187362;3;17;19;5;23;25;12;11;6;15;1;26;16;18;7;22;10;2;14;4;8;9;24;20;13;21
3;17;19;5;23;25;18;11;6;15;1;26;16;12;7;22;10;2;14;4;8;9;24;20;13;21;5;6116867
5;6116867;3;17;19;5;23;25;18;11;6;15;1;26;16;12;7;22;10;2;14;4;8;9;24;20;13;21
3;17;19;5;23;25;18;11;6;15;1;12;16;26;7;22;10;2;14;4;8;9;24;20;13;21;5;6105770
5;6105770;3;17;19;5;23;25;18;11;6;15;1;12;16;26;7;22;10;2;14;4;8;9;24;20;13;21
26;17;19;5;23;25;18;11;6;15;1;12;16;3;7;22;10;2;14;4;8;9;24;20;13;21;5;6075449
5;6075449;26;17;19;5;23;25;18;11;6;15;1;12;16;3;7;22;10;2;14;4;8;9;24;20;13;21
26;17;19;23;5;25;18;11;6;15;1;12;16;3;7;22;10;2;14;4;8;9;24;20;13;21;5;6072149
5;6072149;26;17;19;23;5;25;18;11;6;15;1;12;16;3;7;22;10;2;14;4;8;9;24;20;13;21
26;17;19;23;5;25;18;11;6;15;1;13;16;3;7;22;10;2;14;4;8;9;24;20;12;21;5;6064119
5;6064119;26;17;19;23;5;25;18;11;6;15;1;13;16;3;7;22;10;2;14;4;8;9;24;20;12;21
26;17;19;23;18;25;5;11;6;15;1;13;16;3;7;22;10;2;14;4;8;9;24;20;12;21;5;5910897
6;5910897;26;17;19;23;18;25;5;11;6;15;1;13;16;3;7;22;10;2;14;4;8;9;24;20;12;21
26;9;19;23;18;25;5;11;6;15;1;13;16;3;7;22;10;2;14;4;8;17;24;20;12;21;6;5861690
6;5861690;26;9;19;23;18;25;5;11;6;15;1;13;16;3;7;22;10;2;14;4;8;17;24;20;12;21
26;9;19;23;18;25;5;11;21;15;1;13;16;3;7;22;10;2;14;4;8;17;24;20;12;6;6;5893660
6;5893660;26;9;19;23;18;25;5;11;21;15;1;13;16;3;7;22;10;2;14;4;8;17;24;20;12;6
26;9;19;18;23;25;5;11;21;15;1;13;16;3;7;22;10;2;14;4;8;17;24;20;12;6;6;5895160
6;5895160;26;9;19;18;23;25;5;11;21;15;1;13;16;3;7;22;10;2;14;4;8;17;24;20;12;6
12;9;19;18;23;25;5;11;21;15;1;13;16;3;7;22;10;2;14;4;8;17;24;20;26;6;6;5902647
6;5902647;12;9;19;18;23;25;5;11;21;15;1;13;16;3;7;22;10;2;14;4;8;17;24;20;26;6
12;9;19;18;23;25;5;10;21;15;1;13;16;3;7;22;11;2;14;4;8;17;24;20;26;6;6;5900579
6;5900579;12;9;19;18;23;25;5;10;21;15;1;13;16;3;7;22;11;2;14;4;8;17;24;20;26;6
12;9;22;18;23;25;5;10;21;15;1;13;16;3;7;19;11;2;14;4;8;17;24;20;26;6;6;5866826
6;5866826;12;9;22;18;23;25;5;10;21;15;1;13;16;3;7;19;11;2;14;4;8;17;24;20;26;6
12;9;22;18;23;25;5;10;21;15;1;13;16;3;20;19;11;2;14;4;8;17;24;7;26;6;6;5845538
6;5845538;12;9;22;18;23;25;5;10;21;15;1;13;16;3;20;19;11;2;14;4;8;17;24;7;26;6
18;9;22;12;23;25;5;10;21;15;1;13;16;3;20;19;11;2;14;4;8;17;24;7;26;6;6;5845490
6;5845490;18;9;22;12;23;25;5;10;21;15;1;13;16;3;20;19;11;2;14;4;8;17;24;7;26;6
18;9;22;12;23;25;5;10;21;15;1;13;16;3;20;19;11;2;8;4;14;17;24;7;26;6;6;5872675
6;5872675;18;9;22;12;23;25;5;10;21;15;1;13;16;3;20;19;11;2;8;4;14;17;24;7;26;6
18;9;22;12;23;4;5;10;21;15;1;13;16;3;20;19;11;2;8;25;14;17;24;7;26;6;6;5841014
6;5841014;18;9;22;12;23;4;5;10;21;15;1;13;16;3;20;19;11;2;8;25;14;17;24;7;26;6
18;9;22;12;23;4;5;10;21;25;1;13;16;3;20;19;11;2;8;15;14;17;24;7;26;6;6;5905849
6;5905849;18;9;22;12;23;4;5;10;21;25;1;13;16;3;20;19;11;2;8;15;14;17;24;7;26;6
18;9;22;12;23;4;5;10;21;25;1;13;2;3;20;19;11;16;8;15;14;17;24;7;26;6;6;5886696
6;5886696;18;9;22;12;23;4;5;10;21;25;1;13;2;3;20;19;11;16;8;15;14;17;24;7;26;6
18;9;7;12;23;4;5;10;21;25;1;13;2;3;20;19;11;16;8;15;14;17;24;22;26;6;6;5869261
6;5869261;18;9;7;12;23;4;5;10;21;25;1;13;2;3;20;19;11;16;8;15;14;17;24;22;26;6
18;9;26;12;23;4;5;10;21;25;1;13;2;3;20;19;11;16;8;15;14;17;24;22;7;6;6;5903611
6;5903611;18;9;26;12;23;4;5;10;21;25;1;13;2;3;20;19;11;16;8;15;14;17;24;22;7;6
18;9;26;12;23;4;17;10;21;25;1;13;2;3;20;19;11;16;8;15;14;5;24;22;7;6;6;6138637
6;6138637;18;9;26;12;23;4;17;10;21;25;1;13;2;3;20;19;11;16;8;15;14;5;24;22;7;6
18;9;3;12;23;4;17;10;21;25;1;13;2;26;20;19;11;16;8;15;14;5;24;22;7;6;6;6152820
6;6152820;18;9;3;12;23;4;17;10;21;25;1;13;2;26;20;19;11;16;8;15;14;5;24;22;7;6
18;9;3;12;23;4;17;10;21;25;1;13;2;26;20;19;11;15;8;16;14;5;24;22;7;6;6;6096309
6;6096309;18;9;3;12;23;4;17;10;21;25;1;13;2;26;20;19;11;15;8;16;14;5;24;22;7;6
18;9;3;1;23;4;17;10;21;25;12;13;2;26;20;19;11;15;8;16;14;5;24;22;7;6;6;6097946
6;6097946;18;9;3;1;23;4;17;10;21;25;12;13;2;26;20;19;11;15;8;16;14;5;24;22;7;6
