"X1";"X5835730";"X18";"X14";"X4";"X24";"X6";"X1.1";"X26";"X8";"X11";"X16";"X2";"X21";"X15";"X23";"X19";"X9";"X5";"X3";"X7";"X17";"X10";"X13";"X22";"X25";"X20";"X12"
12;5;13;14;3;22;6;19;16;15;17;21;1;18;9;8;24;10;11;25;26;2;7;23;20;4;2;5972942
2;5972942;12;5;13;14;3;22;6;19;16;15;17;21;1;18;9;8;24;10;11;25;26;2;7;23;20;4
12;5;13;14;3;22;6;19;16;15;17;21;1;18;9;8;24;10;11;25;26;2;4;23;20;7;2;6001224
2;6001224;12;5;13;14;3;22;6;19;16;15;17;21;1;18;9;8;24;10;11;25;26;2;4;23;20;7
12;20;13;14;3;22;6;19;16;15;17;21;1;18;9;8;24;10;11;25;26;2;4;23;5;7;2;5864066
2;5864066;12;20;13;14;3;22;6;19;16;15;17;21;1;18;9;8;24;10;11;25;26;2;4;23;5;7
12;20;8;14;3;22;6;19;16;15;17;21;1;18;9;13;24;10;11;25;26;2;4;23;5;7;2;5899790
2;5899790;12;20;8;14;3;22;6;19;16;15;17;21;1;18;9;13;24;10;11;25;26;2;4;23;5;7
12;20;8;14;3;22;6;19;16;15;17;21;1;18;9;23;24;10;11;25;26;2;4;13;5;7;2;5914889
2;5914889;12;20;8;14;3;22;6;19;16;15;17;21;1;18;9;23;24;10;11;25;26;2;4;13;5;7
12;20;8;14;3;22;26;19;16;15;17;21;1;18;9;23;24;10;11;25;6;2;4;13;5;7;2;5919012
2;5919012;12;20;8;14;3;22;26;19;16;15;17;21;1;18;9;23;24;10;11;25;6;2;4;13;5;7
12;20;19;14;3;22;26;8;16;15;17;21;1;18;9;23;24;10;11;25;6;2;4;13;5;7;2;5921484
2;5921484;12;20;19;14;3;22;26;8;16;15;17;21;1;18;9;23;24;10;11;25;6;2;4;13;5;7
12;20;19;14;3;22;26;1;16;15;17;21;8;18;9;23;24;10;11;25;6;2;4;13;5;7;2;5865654
2;5865654;12;20;19;14;3;22;26;1;16;15;17;21;8;18;9;23;24;10;11;25;6;2;4;13;5;7
12;20;19;14;3;22;26;1;16;15;17;21;8;18;9;23;24;10;11;25;6;2;5;13;4;7;2;6251390
2;6251390;12;20;19;14;3;22;26;1;16;15;17;21;8;18;9;23;24;10;11;25;6;2;5;13;4;7
12;20;19;14;3;22;26;1;16;15;17;21;4;18;9;23;24;10;11;25;6;2;5;13;8;7;2;6285990
2;6285990;12;20;19;14;3;22;26;1;16;15;17;21;4;18;9;23;24;10;11;25;6;2;5;13;8;7
12;20;21;14;3;22;26;1;16;15;17;19;4;18;9;23;24;10;11;25;6;2;5;13;8;7;2;6254982
2;6254982;12;20;21;14;3;22;26;1;16;15;17;19;4;18;9;23;24;10;11;25;6;2;5;13;8;7
12;20;21;14;3;1;26;22;16;15;17;19;4;18;9;23;24;10;11;25;6;2;5;13;8;7;2;6278174
3;6278174;12;20;21;14;3;1;26;22;16;15;17;19;4;18;9;23;24;10;11;25;6;2;5;13;8;7
12;20;21;14;3;1;26;22;16;15;17;19;4;18;9;23;24;10;11;25;6;2;7;13;8;5;3;5838004
3;5838004;12;20;21;14;3;1;26;22;16;15;17;19;4;18;9;23;24;10;11;25;6;2;7;13;8;5
12;20;21;14;3;1;26;22;16;15;17;19;4;6;9;23;24;10;11;25;18;2;7;13;8;5;3;5867251
3;5867251;12;20;21;14;3;1;26;22;16;15;17;19;4;6;9;23;24;10;11;25;18;2;7;13;8;5
12;20;15;14;3;1;26;22;16;21;17;19;4;6;9;23;24;10;11;25;18;2;7;13;8;5;3;5873499
3;5873499;12;20;15;14;3;1;26;22;16;21;17;19;4;6;9;23;24;10;11;25;18;2;7;13;8;5
12;20;15;14;3;1;26;22;16;21;17;19;4;6;13;23;24;10;11;25;18;2;7;9;8;5;3;5962285
3;5962285;12;20;15;14;3;1;26;22;16;21;17;19;4;6;13;23;24;10;11;25;18;2;7;9;8;5
12;20;15;14;3;1;26;22;2;21;17;19;4;6;13;23;24;10;11;25;18;16;7;9;8;5;3;5996361
3;5996361;12;20;15;14;3;1;26;22;2;21;17;19;4;6;13;23;24;10;11;25;18;16;7;9;8;5
13;20;15;14;3;1;26;22;2;21;17;19;4;6;12;23;24;10;11;25;18;16;7;9;8;5;3;5996925
3;5996925;13;20;15;14;3;1;26;22;2;21;17;19;4;6;12;23;24;10;11;25;18;16;7;9;8;5
13;20;15;14;3;1;26;22;2;21;17;19;4;6;12;23;24;10;16;25;18;11;7;9;8;5;3;5998640
3;5998640;13;20;15;14;3;1;26;22;2;21;17;19;4;6;12;23;24;10;16;25;18;11;7;9;8;5
13;20;15;14;3;1;26;22;2;21;17;19;4;6;9;23;24;10;16;25;18;11;7;12;8;5;3;5915705
3;5915705;13;20;15;14;3;1;26;22;2;21;17;19;4;6;9;23;24;10;16;25;18;11;7;12;8;5
13;20;15;14;3;1;26;22;2;21;17;19;4;6;9;23;24;10;16;25;8;11;7;12;18;5;3;6017590
3;6017590;13;20;15;14;3;1;26;22;2;21;17;19;4;6;9;23;24;10;16;25;8;11;7;12;18;5
13;20;15;14;3;1;26;22;2;21;17;19;4;6;7;23;24;10;16;25;8;11;9;12;18;5;3;6088158
3;6088158;13;20;15;14;3;1;26;22;2;21;17;19;4;6;7;23;24;10;16;25;8;11;9;12;18;5
13;20;15;14;3;1;26;22;2;21;18;19;4;6;7;23;24;10;16;25;8;11;9;12;17;5;3;5986885
3;5986885;13;20;15;14;3;1;26;22;2;21;18;19;4;6;7;23;24;10;16;25;8;11;9;12;17;5
13;20;15;14;3;25;26;22;2;21;18;19;4;6;7;23;24;10;16;1;8;11;9;12;17;5;3;6119405
3;6119405;13;20;15;14;3;25;26;22;2;21;18;19;4;6;7;23;24;10;16;1;8;11;9;12;17;5
13;20;15;14;3;25;26;22;2;21;8;19;4;6;7;23;24;10;16;1;18;11;9;12;17;5;3;6102400
3;6102400;13;20;15;14;3;25;26;22;2;21;8;19;4;6;7;23;24;10;16;1;18;11;9;12;17;5
13;20;15;14;3;25;26;22;2;6;8;19;4;21;7;23;24;10;16;1;18;11;9;12;17;5;3;6124546
3;6124546;13;20;15;14;3;25;26;22;2;6;8;19;4;21;7;23;24;10;16;1;18;11;9;12;17;5
13;20;15;3;14;25;26;22;2;6;8;19;4;21;7;23;24;10;16;1;18;11;9;12;17;5;3;6120686
3;6120686;13;20;15;3;14;25;26;22;2;6;8;19;4;21;7;23;24;10;16;1;18;11;9;12;17;5
13;20;15;3;14;25;26;6;2;22;8;19;4;21;7;23;24;10;16;1;18;11;9;12;17;5;3;6120726
3;6120726;13;20;15;3;14;25;26;6;2;22;8;19;4;21;7;23;24;10;16;1;18;11;9;12;17;5
20;13;15;3;14;25;26;6;2;22;8;19;4;21;7;23;24;10;16;1;18;11;9;12;17;5;3;6104744
3;6104744;20;13;15;3;14;25;26;6;2;22;8;19;4;21;7;23;24;10;16;1;18;11;9;12;17;5
20;13;15;3;14;17;26;6;2;22;8;19;4;21;7;23;24;10;16;1;18;11;9;12;25;5;3;6104528
3;6104528;20;13;15;3;14;17;26;6;2;22;8;19;4;21;7;23;24;10;16;1;18;11;9;12;25;5
20;13;15;3;14;17;26;24;2;22;8;19;4;21;7;23;6;10;16;1;18;11;9;12;25;5;3;6103815
3;6103815;20;13;15;3;14;17;26;24;2;22;8;19;4;21;7;23;6;10;16;1;18;11;9;12;25;5
20;13;15;3;14;17;26;24;2;22;8;19;4;21;7;23;6;5;16;1;18;11;9;12;25;10;3;6028992
4;6028992;20;13;15;3;14;17;26;24;2;22;8;19;4;21;7;23;6;5;16;1;18;11;9;12;25;10
20;11;15;3;14;17;26;24;2;22;8;19;4;21;7;23;6;5;16;1;18;13;9;12;25;10;4;6034369
4;6034369;20;11;15;3;14;17;26;24;2;22;8;19;4;21;7;23;6;5;16;1;18;13;9;12;25;10
20;11;15;3;14;17;26;24;2;22;8;19;4;21;13;23;6;5;16;1;18;7;9;12;25;10;4;6030613
4;6030613;20;11;15;3;14;17;26;24;2;22;8;19;4;21;13;23;6;5;16;1;18;7;9;12;25;10
20;11;15;3;14;17;26;24;2;22;8;19;4;21;12;23;6;5;16;1;18;7;9;13;25;10;4;6025007
4;6025007;20;11;15;3;14;17;26;24;2;22;8;19;4;21;12;23;6;5;16;1;18;7;9;13;25;10
20;11;21;3;14;17;26;24;2;22;8;19;4;15;12;23;6;5;16;1;18;7;9;13;25;10;4;6034219
4;6034219;20;11;21;3;14;17;26;24;2;22;8;19;4;15;12;23;6;5;16;1;18;7;9;13;25;10
20;11;21;3;14;17;26;24;2;22;8;19;4;15;9;23;6;5;16;1;18;7;12;13;25;10;4;5959502
4;5959502;20;11;21;3;14;17;26;24;2;22;8;19;4;15;9;23;6;5;16;1;18;7;12;13;25;10
20;11;21;3;14;17;26;24;2;22;8;19;4;15;9;23;6;5;16;1;10;7;12;13;25;18;4;5950734
4;5950734;20;11;21;3;14;17;26;24;2;22;8;19;4;15;9;23;6;5;16;1;10;7;12;13;25;18
20;11;21;3;14;17;26;24;2;22;13;19;4;15;9;23;6;5;16;1;10;7;12;8;25;18;4;6040168
4;6040168;20;11;21;3;14;17;26;24;2;22;13;19;4;15;9;23;6;5;16;1;10;7;12;8;25;18
20;11;21;3;14;17;26;24;2;6;13;19;4;15;9;23;22;5;16;1;10;7;12;8;25;18;4;6042325
4;6042325;20;11;21;3;14;17;26;24;2;6;13;19;4;15;9;23;22;5;16;1;10;7;12;8;25;18
20;11;21;3;14;17;26;24;2;6;1;19;4;15;9;23;22;5;16;13;10;7;12;8;25;18;4;5987869
4;5987869;20;11;21;3;14;17;26;24;2;6;1;19;4;15;9;23;22;5;16;13;10;7;12;8;25;18
23;11;21;3;14;17;26;24;2;6;1;19;4;15;9;20;22;5;16;13;10;7;12;8;25;18;4;5933390
4;5933390;23;11;21;3;14;17;26;24;2;6;1;19;4;15;9;20;22;5;16;13;10;7;12;8;25;18
23;11;21;3;14;9;26;24;2;6;1;19;4;15;17;20;22;5;16;13;10;7;12;8;25;18;4;5892846
4;5892846;23;11;21;3;14;9;26;24;2;6;1;19;4;15;17;20;22;5;16;13;10;7;12;8;25;18
7;11;21;3;14;9;26;24;2;6;1;19;4;15;17;20;22;5;16;13;10;23;12;8;25;18;4;5878750
4;5878750;7;11;21;3;14;9;26;24;2;6;1;19;4;15;17;20;22;5;16;13;10;23;12;8;25;18
7;11;21;3;14;5;26;24;2;6;1;19;4;15;17;20;22;9;16;13;10;23;12;8;25;18;4;5991238
4;5991238;7;11;21;3;14;5;26;24;2;6;1;19;4;15;17;20;22;9;16;13;10;23;12;8;25;18
7;11;21;3;14;5;1;24;2;6;26;19;4;15;17;20;22;9;16;13;10;23;12;8;25;18;4;5984259
4;5984259;7;11;21;3;14;5;1;24;2;6;26;19;4;15;17;20;22;9;16;13;10;23;12;8;25;18
7;11;21;3;14;5;1;24;2;6;26;19;4;15;17;20;22;9;16;13;10;8;12;23;25;18;4;5945825
4;5945825;7;11;21;3;14;5;1;24;2;6;26;19;4;15;17;20;22;9;16;13;10;8;12;23;25;18
7;11;21;3;14;5;1;6;2;24;26;19;4;15;17;20;22;9;16;13;10;8;12;23;25;18;4;5947345
4;5947345;7;11;21;3;14;5;1;6;2;24;26;19;4;15;17;20;22;9;16;13;10;8;12;23;25;18
7;11;21;3;14;5;1;6;2;24;26;19;4;15;17;20;10;9;16;13;22;8;12;23;25;18;4;5943921
4;5943921;7;11;21;3;14;5;1;6;2;24;26;19;4;15;17;20;10;9;16;13;22;8;12;23;25;18
7;11;21;3;19;5;1;6;2;24;26;14;4;15;17;20;10;9;16;13;22;8;12;23;25;18;4;5934741
4;5934741;7;11;21;3;19;5;1;6;2;24;26;14;4;15;17;20;10;9;16;13;22;8;12;23;25;18
7;11;21;3;19;5;1;6;2;24;26;14;4;15;17;20;10;9;16;13;22;8;25;23;12;18;4;6010740
4;6010740;7;11;21;3;19;5;1;6;2;24;26;14;4;15;17;20;10;9;16;13;22;8;25;23;12;18
7;11;21;3;19;5;1;6;2;24;26;14;4;15;13;20;10;9;16;17;22;8;25;23;12;18;4;6006750
5;6006750;7;11;21;3;19;5;1;6;2;24;26;14;4;15;13;20;10;9;16;17;22;8;25;23;12;18
7;11;21;3;19;5;1;6;2;24;26;14;4;16;13;20;10;9;15;17;22;8;25;23;12;18;5;6002499
5;6002499;7;11;21;3;19;5;1;6;2;24;26;14;4;16;13;20;10;9;15;17;22;8;25;23;12;18
7;11;21;3;19;5;1;6;9;24;26;14;4;16;13;20;10;2;15;17;22;8;25;23;12;18;5;6049739
5;6049739;7;11;21;3;19;5;1;6;9;24;26;14;4;16;13;20;10;2;15;17;22;8;25;23;12;18
7;11;21;3;19;5;1;6;9;24;20;14;4;16;13;26;10;2;15;17;22;8;25;23;12;18;5;5968648
5;5968648;7;11;21;3;19;5;1;6;9;24;20;14;4;16;13;26;10;2;15;17;22;8;25;23;12;18
7;11;21;22;19;5;1;6;9;24;20;14;4;16;13;26;10;2;15;17;3;8;25;23;12;18;5;5981769
5;5981769;7;11;21;22;19;5;1;6;9;24;20;14;4;16;13;26;10;2;15;17;3;8;25;23;12;18
7;11;21;22;19;5;1;6;9;24;20;14;4;16;13;26;10;2;15;17;3;8;23;25;12;18;5;5981769
5;5981769;7;11;21;22;19;5;1;6;9;24;20;14;4;16;13;26;10;2;15;17;3;8;23;25;12;18
7;11;21;22;19;5;1;6;9;24;20;14;4;18;13;26;10;2;15;17;3;8;23;25;12;16;5;5762059
5;5762059;7;11;21;22;19;5;1;6;9;24;20;14;4;18;13;26;10;2;15;17;3;8;23;25;12;16
7;11;21;22;19;5;1;6;26;24;20;14;4;18;13;9;10;2;15;17;3;8;23;25;12;16;5;5774019
5;5774019;7;11;21;22;19;5;1;6;26;24;20;14;4;18;13;9;10;2;15;17;3;8;23;25;12;16
7;11;21;22;19;5;1;6;26;24;20;14;4;18;13;9;10;12;15;17;3;8;23;25;2;16;5;5737197
5;5737197;7;11;21;22;19;5;1;6;26;24;20;14;4;18;13;9;10;12;15;17;3;8;23;25;2;16
7;11;21;22;19;5;1;6;26;24;20;14;25;18;13;9;10;12;15;17;3;8;23;4;2;16;5;5776528
5;5776528;7;11;21;22;19;5;1;6;26;24;20;14;25;18;13;9;10;12;15;17;3;8;23;4;2;16
7;11;21;22;19;5;1;3;26;24;20;14;25;18;13;9;10;12;15;17;6;8;23;4;2;16;5;5701455
5;5701455;7;11;21;22;19;5;1;3;26;24;20;14;25;18;13;9;10;12;15;17;6;8;23;4;2;16
7;11;21;22;19;5;1;3;26;24;20;14;25;18;12;9;10;13;15;17;6;8;23;4;2;16;5;5707249
5;5707249;7;11;21;22;19;5;1;3;26;24;20;14;25;18;12;9;10;13;15;17;6;8;23;4;2;16
7;11;21;22;19;5;1;3;26;24;20;14;25;18;10;9;12;13;15;17;6;8;23;4;2;16;5;5744699
5;5744699;7;11;21;22;19;5;1;3;26;24;20;14;25;18;10;9;12;13;15;17;6;8;23;4;2;16
7;11;21;22;19;5;1;3;26;24;2;14;25;18;10;9;12;13;15;17;6;8;23;4;20;16;5;5817853
5;5817853;7;11;21;22;19;5;1;3;26;24;2;14;25;18;10;9;12;13;15;17;6;8;23;4;20;16
7;11;21;22;19;5;1;3;26;24;2;14;25;18;10;9;12;13;15;17;6;20;23;4;8;16;5;5893725
5;5893725;7;11;21;22;19;5;1;3;26;24;2;14;25;18;10;9;12;13;15;17;6;20;23;4;8;16
7;11;21;22;13;5;1;3;26;24;2;14;25;18;10;9;12;19;15;17;6;20;23;4;8;16;5;5864724
5;5864724;7;11;21;22;13;5;1;3;26;24;2;14;25;18;10;9;12;19;15;17;6;20;23;4;8;16
7;1;21;22;13;5;11;3;26;24;2;14;25;18;10;9;12;19;15;17;6;20;23;4;8;16;5;5908258
5;5908258;7;1;21;22;13;5;11;3;26;24;2;14;25;18;10;9;12;19;15;17;6;20;23;4;8;16
7;1;21;22;13;5;11;3;26;25;2;14;24;18;10;9;12;19;15;17;6;20;23;4;8;16;5;5908019
5;5908019;7;1;21;22;13;5;11;3;26;25;2;14;24;18;10;9;12;19;15;17;6;20;23;4;8;16
7;1;21;22;13;5;11;24;26;25;2;14;3;18;10;9;12;19;15;17;6;20;23;4;8;16;5;5815752
5;5815752;7;1;21;22;13;5;11;24;26;25;2;14;3;18;10;9;12;19;15;17;6;20;23;4;8;16
7;1;21;22;13;5;11;24;26;25;2;14;3;18;10;9;20;19;15;17;6;12;23;4;8;16;5;5818438
5;5818438;7;1;21;22;13;5;11;24;26;25;2;14;3;18;10;9;20;19;15;17;6;12;23;4;8;16
7;1;21;22;13;5;11;24;26;20;2;14;3;18;10;9;25;19;15;17;6;12;23;4;8;16;5;5834125
6;5834125;7;1;21;22;13;5;11;24;26;20;2;14;3;18;10;9;25;19;15;17;6;12;23;4;8;16
7;1;21;22;13;5;11;24;26;20;2;19;3;18;10;9;25;14;15;17;6;12;23;4;8;16;6;5764273
6;5764273;7;1;21;22;13;5;11;24;26;20;2;19;3;18;10;9;25;14;15;17;6;12;23;4;8;16
7;1;21;22;13;5;11;26;24;20;2;19;3;18;10;9;25;14;15;17;6;12;23;4;8;16;6;5764093
6;5764093;7;1;21;22;13;5;11;26;24;20;2;19;3;18;10;9;25;14;15;17;6;12;23;4;8;16
7;1;21;22;13;5;11;26;24;20;2;18;3;19;10;9;25;14;15;17;6;12;23;4;8;16;6;5770096
6;5770096;7;1;21;22;13;5;11;26;24;20;2;18;3;19;10;9;25;14;15;17;6;12;23;4;8;16
7;1;21;22;13;4;11;26;24;20;2;18;3;19;10;9;25;14;15;17;6;12;23;5;8;16;6;5838522
6;5838522;7;1;21;22;13;4;11;26;24;20;2;18;3;19;10;9;25;14;15;17;6;12;23;5;8;16
7;1;21;22;13;4;11;26;24;20;2;18;3;19;10;9;25;14;15;5;6;12;23;17;8;16;6;5837253
6;5837253;7;1;21;22;13;4;11;26;24;20;2;18;3;19;10;9;25;14;15;5;6;12;23;17;8;16
7;1;21;22;13;4;11;26;24;20;2;18;3;19;17;9;25;14;15;5;6;12;23;10;8;16;6;5837533
6;5837533;7;1;21;22;13;4;11;26;24;20;2;18;3;19;17;9;25;14;15;5;6;12;23;10;8;16
7;1;21;22;13;4;11;26;24;9;2;18;3;19;17;20;25;14;15;5;6;12;23;10;8;16;6;5830728
6;5830728;7;1;21;22;13;4;11;26;24;9;2;18;3;19;17;20;25;14;15;5;6;12;23;10;8;16
7;1;21;22;13;4;11;18;24;9;2;26;3;19;17;20;25;14;15;5;6;12;23;10;8;16;6;5835409
6;5835409;7;1;21;22;13;4;11;18;24;9;2;26;3;19;17;20;25;14;15;5;6;12;23;10;8;16
7;1;21;22;13;4;11;18;24;9;2;26;3;19;17;20;25;14;12;5;6;15;23;10;8;16;6;5806104
6;5806104;7;1;21;22;13;4;11;18;24;9;2;26;3;19;17;20;25;14;12;5;6;15;23;10;8;16
7;1;21;22;13;4;11;18;24;9;2;26;3;19;17;20;25;14;12;5;6;15;10;23;8;16;6;5806104
6;5806104;7;1;21;22;13;4;11;18;24;9;2;26;3;19;17;20;25;14;12;5;6;15;10;23;8;16
7;1;21;22;13;4;11;18;24;9;2;26;3;19;17;20;15;14;12;5;6;25;10;23;8;16;6;5795491
6;5795491;7;1;21;22;13;4;11;18;24;9;2;26;3;19;17;20;15;14;12;5;6;25;10;23;8;16
7;1;21;22;13;4;11;18;24;9;2;17;3;19;26;20;15;14;12;5;6;25;10;23;8;16;6;5796972
6;5796972;7;1;21;22;13;4;11;18;24;9;2;17;3;19;26;20;15;14;12;5;6;25;10;23;8;16
21;1;7;22;13;4;11;18;24;9;2;17;3;19;26;20;15;14;12;5;6;25;10;23;8;16;6;5771624
6;5771624;21;1;7;22;13;4;11;18;24;9;2;17;3;19;26;20;15;14;12;5;6;25;10;23;8;16
21;1;7;23;13;4;11;18;24;9;2;17;3;19;26;20;15;14;12;5;6;25;10;22;8;16;6;5770651
6;5770651;21;1;7;23;13;4;11;18;24;9;2;17;3;19;26;20;15;14;12;5;6;25;10;22;8;16
21;1;7;23;13;4;11;18;24;9;2;17;3;19;26;20;15;14;12;5;6;25;10;16;8;22;6;5773371
6;5773371;21;1;7;23;13;4;11;18;24;9;2;17;3;19;26;20;15;14;12;5;6;25;10;16;8;22
21;1;7;23;13;4;11;18;24;9;2;17;3;19;26;20;15;16;12;5;6;25;10;14;8;22;6;5931022
6;5931022;21;1;7;23;13;4;11;18;24;9;2;17;3;19;26;20;15;16;12;5;6;25;10;14;8;22
21;1;7;23;13;4;11;18;24;9;22;17;3;19;26;20;15;16;12;5;6;25;10;14;8;2;6;5910810
6;5910810;21;1;7;23;13;4;11;18;24;9;22;17;3;19;26;20;15;16;12;5;6;25;10;14;8;2
21;1;7;23;13;4;11;18;24;9;22;17;3;19;26;20;15;16;12;5;2;25;10;14;8;6;6;5933960
6;5933960;21;1;7;23;13;4;11;18;24;9;22;17;3;19;26;20;15;16;12;5;2;25;10;14;8;6
