"X1";"X29438";"X32";"X6";"X27";"X16";"X31";"X24";"X12";"X18";"X3";"X20";"X9";"X5";"X14";"X8";"X23";"X29";"X17";"X2";"X21";"X19";"X26";"X28";"X13";"X25";"X15";"X1.1";"X22";"X10";"X4";"X7";"X11";"X30"
1;29204;22;13;12;16;8;24;27;18;3;20;9;11;14;31;23;29;17;1;21;19;26;28;6;25;15;2;32;10;4;7;5;30
22;13;12;16;8;24;15;18;3;20;9;11;14;31;23;29;17;1;21;19;26;28;6;25;27;2;32;10;4;7;5;30;1;29614
1;29614;22;13;12;16;8;24;15;18;3;20;9;11;14;31;23;29;17;1;21;19;26;28;6;25;27;2;32;10;4;7;5;30
20;13;12;16;8;24;15;18;3;22;9;11;14;31;23;29;17;1;21;19;26;28;6;25;27;2;32;10;4;7;5;30;1;29874
1;29874;20;13;12;16;8;24;15;18;3;22;9;11;14;31;23;29;17;1;21;19;26;28;6;25;27;2;32;10;4;7;5;30
20;13;12;16;8;24;15;18;3;5;9;11;14;31;23;29;17;1;21;19;26;28;6;25;27;2;32;10;4;7;22;30;1;29732
1;29732;20;13;12;16;8;24;15;18;3;5;9;11;14;31;23;29;17;1;21;19;26;28;6;25;27;2;32;10;4;7;22;30
20;13;12;16;8;24;15;18;3;28;9;11;14;31;23;29;17;1;21;19;26;5;6;25;27;2;32;10;4;7;22;30;1;30024
1;30024;20;13;12;16;8;24;15;18;3;28;9;11;14;31;23;29;17;1;21;19;26;5;6;25;27;2;32;10;4;7;22;30
20;13;12;16;30;24;15;18;3;28;9;11;14;31;23;29;17;1;21;19;26;5;6;25;27;2;32;10;4;7;22;8;1;29870
1;29870;20;13;12;16;30;24;15;18;3;28;9;11;14;31;23;29;17;1;21;19;26;5;6;25;27;2;32;10;4;7;22;8
20;3;12;16;30;24;15;18;13;28;9;11;14;31;23;29;17;1;21;19;26;5;6;25;27;2;32;10;4;7;22;8;1;29630
1;29630;20;3;12;16;30;24;15;18;13;28;9;11;14;31;23;29;17;1;21;19;26;5;6;25;27;2;32;10;4;7;22;8
20;3;12;18;30;24;15;16;13;28;9;11;14;31;23;29;17;1;21;19;26;5;6;25;27;2;32;10;4;7;22;8;1;29256
1;29256;20;3;12;18;30;24;15;16;13;28;9;11;14;31;23;29;17;1;21;19;26;5;6;25;27;2;32;10;4;7;22;8
20;3;21;18;30;24;15;16;13;28;9;11;14;31;23;29;17;1;12;19;26;5;6;25;27;2;32;10;4;7;22;8;1;28070
1;28070;20;3;21;18;30;24;15;16;13;28;9;11;14;31;23;29;17;1;12;19;26;5;6;25;27;2;32;10;4;7;22;8
20;3;21;18;30;24;15;16;13;28;9;11;14;31;23;29;17;1;12;26;19;5;6;25;27;2;32;10;4;7;22;8;1;28010
1;28010;20;3;21;18;30;24;15;16;13;28;9;11;14;31;23;29;17;1;12;26;19;5;6;25;27;2;32;10;4;7;22;8
20;3;21;18;30;24;15;16;13;28;9;11;14;31;23;29;17;1;12;19;26;5;6;25;27;2;32;10;4;7;22;8;1;28070
1;28070;20;3;21;18;30;24;15;16;13;28;9;11;14;31;23;29;17;1;12;19;26;5;6;25;27;2;32;10;4;7;22;8
20;3;21;18;30;24;15;16;13;28;9;11;14;31;23;29;17;1;12;19;26;7;6;25;27;2;32;10;4;5;22;8;1;27830
1;27830;20;3;21;18;30;24;15;16;13;28;9;11;14;31;23;29;17;1;12;19;26;7;6;25;27;2;32;10;4;5;22;8
20;3;21;11;30;24;15;16;13;28;9;18;14;31;23;29;17;1;12;19;26;7;6;25;27;2;32;10;4;5;22;8;1;28568
1;28568;20;3;21;11;30;24;15;16;13;28;9;18;14;31;23;29;17;1;12;19;26;7;6;25;27;2;32;10;4;5;22;8
20;3;21;11;30;24;15;16;13;28;9;18;14;31;23;29;17;1;12;19;26;7;6;25;27;2;32;10;5;4;22;8;1;28128
1;28128;20;3;21;11;30;24;15;16;13;28;9;18;14;31;23;29;17;1;12;19;26;7;6;25;27;2;32;10;5;4;22;8
20;3;21;11;30;24;15;16;13;28;9;18;14;31;27;29;17;1;12;19;26;7;6;25;23;2;32;10;5;4;22;8;1;28108
2;28108;20;3;21;11;30;24;15;16;13;28;9;18;14;31;27;29;17;1;12;19;26;7;6;25;23;2;32;10;5;4;22;8
20;3;21;11;30;24;15;1;13;28;9;18;14;31;27;29;17;16;12;19;26;7;6;25;23;2;32;10;5;4;22;8;2;27588
2;27588;20;3;21;11;30;24;15;1;13;28;9;18;14;31;27;29;17;16;12;19;26;7;6;25;23;2;32;10;5;4;22;8
20;3;21;11;30;24;15;1;13;28;9;10;14;31;27;29;17;16;12;19;26;7;6;25;23;2;32;18;5;4;22;8;2;27460
2;27460;20;3;21;11;30;24;15;1;13;28;9;10;14;31;27;29;17;16;12;19;26;7;6;25;23;2;32;18;5;4;22;8
20;3;21;11;30;24;15;1;13;28;9;29;14;31;27;10;17;16;12;19;26;7;6;25;23;2;32;18;5;4;22;8;2;27260
2;27260;20;3;21;11;30;24;15;1;13;28;9;29;14;31;27;10;17;16;12;19;26;7;6;25;23;2;32;18;5;4;22;8
20;3;21;11;30;24;15;1;13;28;9;29;14;31;27;10;17;16;12;19;26;7;6;25;23;32;2;18;5;4;22;8;2;27240
2;27240;20;3;21;11;30;24;15;1;13;28;9;29;14;31;27;10;17;16;12;19;26;7;6;25;23;32;2;18;5;4;22;8
22;3;21;11;30;24;15;1;13;28;9;29;14;31;27;10;17;16;12;19;26;7;6;25;23;32;2;18;5;4;20;8;2;26120
2;26120;22;3;21;11;30;24;15;1;13;28;9;29;14;31;27;10;17;16;12;19;26;7;6;25;23;32;2;18;5;4;20;8
22;3;10;11;30;24;15;1;13;28;9;29;14;31;27;21;17;16;12;19;26;7;6;25;23;32;2;18;5;4;20;8;2;26982
2;26982;22;3;10;11;30;24;15;1;13;28;9;29;14;31;27;21;17;16;12;19;26;7;6;25;23;32;2;18;5;4;20;8
22;3;10;11;30;24;15;1;13;28;9;29;14;31;27;21;17;16;12;19;26;7;6;5;23;32;2;18;25;4;20;8;2;27008
2;27008;22;3;10;11;30;24;15;1;13;28;9;29;14;31;27;21;17;16;12;19;26;7;6;5;23;32;2;18;25;4;20;8
22;3;10;11;30;24;15;1;13;28;27;29;14;31;9;21;17;16;12;19;26;7;6;5;23;32;2;18;25;4;20;8;2;27150
2;27150;22;3;10;11;30;24;15;1;13;28;27;29;14;31;9;21;17;16;12;19;26;7;6;5;23;32;2;18;25;4;20;8
22;3;10;11;30;24;15;1;13;28;27;29;14;21;9;31;17;16;12;19;26;7;6;5;23;32;2;18;25;4;20;8;2;27630
2;27630;22;3;10;11;30;24;15;1;13;28;27;29;14;21;9;31;17;16;12;19;26;7;6;5;23;32;2;18;25;4;20;8
22;31;10;11;30;24;15;1;13;28;27;29;14;21;9;3;17;16;12;19;26;7;6;5;23;32;2;18;25;4;20;8;2;27740
2;27740;22;31;10;11;30;24;15;1;13;28;27;29;14;21;9;3;17;16;12;19;26;7;6;5;23;32;2;18;25;4;20;8
22;31;10;11;30;24;15;1;13;28;27;29;14;21;9;3;26;16;12;19;17;7;6;5;23;32;2;18;25;4;20;8;2;27040
2;27040;22;31;10;11;30;24;15;1;13;28;27;29;14;21;9;3;26;16;12;19;17;7;6;5;23;32;2;18;25;4;20;8
22;31;10;11;30;24;15;1;13;28;27;29;14;21;9;16;26;3;12;19;17;7;6;5;23;32;2;18;25;4;20;8;2;26440
2;26440;22;31;10;11;30;24;15;1;13;28;27;29;14;21;9;16;26;3;12;19;17;7;6;5;23;32;2;18;25;4;20;8
22;31;10;11;30;28;15;1;13;24;27;29;14;21;9;16;26;3;12;19;17;7;6;5;23;32;2;18;25;4;20;8;2;26080
2;26080;22;31;10;11;30;28;15;1;13;24;27;29;14;21;9;16;26;3;12;19;17;7;6;5;23;32;2;18;25;4;20;8
22;31;10;11;23;28;15;1;13;24;27;29;14;21;9;16;26;3;12;19;17;7;6;5;30;32;2;18;25;4;20;8;2;26100
2;26100;22;31;10;11;23;28;15;1;13;24;27;29;14;21;9;16;26;3;12;19;17;7;6;5;30;32;2;18;25;4;20;8
22;31;10;11;23;28;15;1;13;24;27;29;14;21;9;16;26;3;8;19;17;7;6;5;30;32;2;18;25;4;20;12;2;26140
2;26140;22;31;10;11;23;28;15;1;13;24;27;29;14;21;9;16;26;3;8;19;17;7;6;5;30;32;2;18;25;4;20;12
22;31;10;11;23;28;15;1;13;24;27;25;14;21;9;16;26;3;8;19;17;7;6;5;30;32;2;18;29;4;20;12;2;26240
2;26240;22;31;10;11;23;28;15;1;13;24;27;25;14;21;9;16;26;3;8;19;17;7;6;5;30;32;2;18;29;4;20;12
22;31;10;11;23;28;15;1;13;24;27;29;14;21;9;16;26;3;8;19;17;7;6;5;30;32;2;18;25;4;20;12;2;26140
2;26140;22;31;10;11;23;28;15;1;13;24;27;29;14;21;9;16;26;3;8;19;17;7;6;5;30;32;2;18;25;4;20;12
22;31;21;11;23;28;15;1;13;24;27;29;14;10;9;16;26;3;8;19;17;7;6;5;30;32;2;18;25;4;20;12;2;25718
2;25718;22;31;21;11;23;28;15;1;13;24;27;29;14;10;9;16;26;3;8;19;17;7;6;5;30;32;2;18;25;4;20;12
22;31;21;11;23;28;15;1;13;24;27;29;14;18;9;16;26;3;8;19;17;7;6;5;30;32;2;10;25;4;20;12;2;25782
2;25782;22;31;21;11;23;28;15;1;13;24;27;29;14;18;9;16;26;3;8;19;17;7;6;5;30;32;2;10;25;4;20;12
22;31;21;11;23;28;15;1;13;24;27;29;14;18;9;16;26;3;8;19;20;7;6;5;30;32;2;10;25;4;17;12;2;25962
3;25962;22;31;21;11;23;28;15;1;13;24;27;29;14;18;9;16;26;3;8;19;20;7;6;5;30;32;2;10;25;4;17;12
22;31;21;11;23;28;15;1;27;24;13;29;14;18;9;16;26;3;8;19;20;7;6;5;30;32;2;10;25;4;17;12;3;26676
3;26676;22;31;21;11;23;28;15;1;27;24;13;29;14;18;9;16;26;3;8;19;20;7;6;5;30;32;2;10;25;4;17;12
22;26;21;11;23;28;15;1;27;24;13;29;14;18;9;16;31;3;8;19;20;7;6;5;30;32;2;10;25;4;17;12;3;26716
3;26716;22;26;21;11;23;28;15;1;27;24;13;29;14;18;9;16;31;3;8;19;20;7;6;5;30;32;2;10;25;4;17;12
22;26;21;11;23;28;15;1;27;24;13;29;14;18;9;16;31;3;8;19;20;7;6;5;25;32;2;10;30;4;17;12;3;26956
3;26956;22;26;21;11;23;28;15;1;27;24;13;29;14;18;9;16;31;3;8;19;20;7;6;5;25;32;2;10;30;4;17;12
22;26;21;11;23;28;15;1;27;24;13;29;14;18;9;16;31;3;8;19;20;7;6;5;30;32;2;10;25;4;17;12;3;26716
3;26716;22;26;21;11;23;28;15;1;27;24;13;29;14;18;9;16;31;3;8;19;20;7;6;5;30;32;2;10;25;4;17;12
22;26;21;3;23;28;15;1;27;24;13;29;14;18;9;16;31;11;8;19;20;7;6;5;30;32;2;10;25;4;17;12;3;27396
3;27396;22;26;21;3;23;28;15;1;27;24;13;29;14;18;9;16;31;11;8;19;20;7;6;5;30;32;2;10;25;4;17;12
22;28;21;3;23;26;15;1;27;24;13;29;14;18;9;16;31;11;8;19;20;7;6;5;30;32;2;10;25;4;17;12;3;27396
3;27396;22;28;21;3;23;26;15;1;27;24;13;29;14;18;9;16;31;11;8;19;20;7;6;5;30;32;2;10;25;4;17;12
22;28;21;3;29;26;15;1;27;24;13;23;14;18;9;16;31;11;8;19;20;7;6;5;30;32;2;10;25;4;17;12;3;27836
3;27836;22;28;21;3;29;26;15;1;27;24;13;23;14;18;9;16;31;11;8;19;20;7;6;5;30;32;2;10;25;4;17;12
22;28;11;3;29;26;15;1;27;24;13;23;14;18;9;16;31;21;8;19;20;7;6;5;30;32;2;10;25;4;17;12;3;27648
3;27648;22;28;11;3;29;26;15;1;27;24;13;23;14;18;9;16;31;21;8;19;20;7;6;5;30;32;2;10;25;4;17;12
22;28;11;3;29;26;15;7;27;24;13;23;14;18;9;16;31;21;8;19;20;1;6;5;30;32;2;10;25;4;17;12;3;27388
3;27388;22;28;11;3;29;26;15;7;27;24;13;23;14;18;9;16;31;21;8;19;20;1;6;5;30;32;2;10;25;4;17;12
22;28;11;3;29;26;15;7;27;24;13;23;14;18;12;16;31;21;8;19;20;1;6;5;30;32;2;10;25;4;17;9;3;27208
3;27208;22;28;11;3;29;26;15;7;27;24;13;23;14;18;12;16;31;21;8;19;20;1;6;5;30;32;2;10;25;4;17;9
22;28;11;3;29;26;15;7;27;24;13;23;14;18;12;16;31;21;8;19;20;1;6;10;30;32;2;5;25;4;17;9;3;27248
3;27248;22;28;11;3;29;26;15;7;27;24;13;23;14;18;12;16;31;21;8;19;20;1;6;10;30;32;2;5;25;4;17;9
22;28;11;3;29;26;15;7;27;24;13;23;14;18;12;16;31;20;8;19;21;1;6;10;30;32;2;5;25;4;17;9;3;26528
3;26528;22;28;11;3;29;26;15;7;27;24;13;23;14;18;12;16;31;20;8;19;21;1;6;10;30;32;2;5;25;4;17;9
22;28;11;3;29;26;15;7;27;24;13;23;14;18;10;16;31;20;8;19;21;1;6;12;30;32;2;5;25;4;17;9;3;26768
3;26768;22;28;11;3;29;26;15;7;27;24;13;23;14;18;10;16;31;20;8;19;21;1;6;12;30;32;2;5;25;4;17;9
22;28;11;3;29;26;15;7;27;24;13;23;14;18;10;16;31;20;8;19;21;1;6;25;30;32;2;5;12;4;17;9;3;26730
3;26730;22;28;11;3;29;26;15;7;27;24;13;23;14;18;10;16;31;20;8;19;21;1;6;25;30;32;2;5;12;4;17;9
22;28;11;3;29;26;15;7;27;24;13;23;14;18;10;19;31;20;8;16;21;1;6;25;30;32;2;5;12;4;17;9;3;26482
3;26482;22;28;11;3;29;26;15;7;27;24;13;23;14;18;10;19;31;20;8;16;21;1;6;25;30;32;2;5;12;4;17;9
22;28;11;3;29;26;15;7;27;24;13;23;14;18;10;19;31;20;8;25;21;1;6;16;30;32;2;5;12;4;17;9;3;26586
3;26586;22;28;11;3;29;26;15;7;27;24;13;23;14;18;10;19;31;20;8;25;21;1;6;16;30;32;2;5;12;4;17;9
22;28;21;3;29;26;15;7;27;24;13;23;14;18;10;19;31;20;8;25;11;1;6;16;30;32;2;5;12;4;17;9;3;25614
3;25614;22;28;21;3;29;26;15;7;27;24;13;23;14;18;10;19;31;20;8;25;11;1;6;16;30;32;2;5;12;4;17;9
22;28;21;3;29;26;15;7;27;24;13;23;14;18;10;5;31;20;8;25;11;1;6;16;30;32;2;19;12;4;17;9;3;26086
3;26086;22;28;21;3;29;26;15;7;27;24;13;23;14;18;10;5;31;20;8;25;11;1;6;16;30;32;2;19;12;4;17;9
22;28;21;3;29;26;15;7;27;24;13;23;14;18;10;5;31;20;8;25;11;1;6;30;16;32;2;19;12;4;17;9;3;26162
3;26162;22;28;21;3;29;26;15;7;27;24;13;23;14;18;10;5;31;20;8;25;11;1;6;30;16;32;2;19;12;4;17;9
22;28;21;27;29;26;15;7;3;24;13;23;14;18;10;5;31;20;8;25;11;1;6;30;16;32;2;19;12;4;17;9;3;25406
4;25406;22;28;21;27;29;26;15;7;3;24;13;23;14;18;10;5;31;20;8;25;11;1;6;30;16;32;2;19;12;4;17;9
30;28;21;27;29;26;15;7;3;24;13;23;14;18;10;5;31;20;8;25;11;1;6;22;16;32;2;19;12;4;17;9;4;25566
4;25566;30;28;21;27;29;26;15;7;3;24;13;23;14;18;10;5;31;20;8;25;11;1;6;22;16;32;2;19;12;4;17;9
30;28;21;27;29;26;15;1;3;24;13;23;14;18;10;5;31;20;8;25;11;7;6;22;16;32;2;19;12;4;17;9;4;25586
4;25586;30;28;21;27;29;26;15;1;3;24;13;23;14;18;10;5;31;20;8;25;11;7;6;22;16;32;2;19;12;4;17;9
9;28;21;27;29;26;15;1;3;24;13;23;14;18;10;5;31;20;8;25;11;7;6;22;16;32;2;19;12;4;17;30;4;25730
4;25730;9;28;21;27;29;26;15;1;3;24;13;23;14;18;10;5;31;20;8;25;11;7;6;22;16;32;2;19;12;4;17;30
9;28;21;27;29;26;5;1;3;24;13;23;14;18;10;15;31;20;8;25;11;7;6;22;16;32;2;19;12;4;17;30;4;25690
4;25690;9;28;21;27;29;26;5;1;3;24;13;23;14;18;10;15;31;20;8;25;11;7;6;22;16;32;2;19;12;4;17;30
9;28;21;27;29;26;5;1;3;24;13;23;14;18;10;15;31;20;8;25;11;7;17;22;16;32;2;19;12;4;6;30;4;26296
4;26296;9;28;21;27;29;26;5;1;3;24;13;23;14;18;10;15;31;20;8;25;11;7;17;22;16;32;2;19;12;4;6;30
9;28;21;27;29;26;5;1;3;24;13;23;14;18;10;4;31;20;8;25;11;7;17;22;16;32;2;19;12;15;6;30;4;27296
4;27296;9;28;21;27;29;26;5;1;3;24;13;23;14;18;10;4;31;20;8;25;11;7;17;22;16;32;2;19;12;15;6;30
9;28;18;27;29;26;5;1;3;24;13;23;14;21;10;4;31;20;8;25;11;7;17;22;16;32;2;19;12;15;6;30;4;27656
4;27656;9;28;18;27;29;26;5;1;3;24;13;23;14;21;10;4;31;20;8;25;11;7;17;22;16;32;2;19;12;15;6;30
9;28;18;27;29;26;5;1;3;24;13;23;14;21;10;4;31;20;8;25;11;7;17;22;16;15;2;19;12;32;6;30;4;27876
4;27876;9;28;18;27;29;26;5;1;3;24;13;23;14;21;10;4;31;20;8;25;11;7;17;22;16;15;2;19;12;32;6;30
9;28;18;3;29;26;5;1;27;24;13;23;14;21;10;4;31;20;8;25;11;7;17;22;16;15;2;19;12;32;6;30;4;28340
4;28340;9;28;18;3;29;26;5;1;27;24;13;23;14;21;10;4;31;20;8;25;11;7;17;22;16;15;2;19;12;32;6;30
9;28;18;3;29;26;5;1;27;24;13;23;14;21;10;4;31;20;8;25;11;7;17;32;16;15;2;19;12;22;6;30;4;28340
4;28340;9;28;18;3;29;26;5;1;27;24;13;23;14;21;10;4;31;20;8;25;11;7;17;32;16;15;2;19;12;22;6;30
9;28;18;3;29;26;5;1;27;24;13;23;14;21;22;4;31;20;8;25;11;7;17;32;16;15;2;19;12;10;6;30;4;28010
4;28010;9;28;18;3;29;26;5;1;27;24;13;23;14;21;22;4;31;20;8;25;11;7;17;32;16;15;2;19;12;10;6;30
9;28;18;3;29;26;5;1;27;24;13;23;6;21;22;4;31;20;8;25;11;7;17;32;16;15;2;19;12;10;14;30;4;27490
4;27490;9;28;18;3;29;26;5;1;27;24;13;23;6;21;22;4;31;20;8;25;11;7;17;32;16;15;2;19;12;10;14;30
9;28;18;3;29;26;15;1;27;24;13;23;6;21;22;4;31;20;8;25;11;7;17;32;16;5;2;19;12;10;14;30;4;27570
4;27570;9;28;18;3;29;26;15;1;27;24;13;23;6;21;22;4;31;20;8;25;11;7;17;32;16;5;2;19;12;10;14;30
9;28;3;18;29;26;15;1;27;24;13;23;6;21;22;4;31;20;8;25;11;7;17;32;16;5;2;19;12;10;14;30;4;27754
4;27754;9;28;3;18;29;26;15;1;27;24;13;23;6;21;22;4;31;20;8;25;11;7;17;32;16;5;2;19;12;10;14;30
9;28;3;18;29;26;15;1;27;24;13;23;6;21;22;4;31;20;11;25;8;7;17;32;16;5;2;19;12;10;14;30;4;28114
4;28114;9;28;3;18;29;26;15;1;27;24;13;23;6;21;22;4;31;20;11;25;8;7;17;32;16;5;2;19;12;10;14;30
9;28;19;18;29;26;15;1;27;24;13;23;6;21;22;4;31;20;11;25;8;7;17;32;16;5;2;3;12;10;14;30;4;27884
4;27884;9;28;19;18;29;26;15;1;27;24;13;23;6;21;22;4;31;20;11;25;8;7;17;32;16;5;2;3;12;10;14;30
9;28;19;18;29;11;15;1;27;24;13;23;6;21;22;4;31;20;26;25;8;7;17;32;16;5;2;3;12;10;14;30;4;28318
4;28318;9;28;19;18;29;11;15;1;27;24;13;23;6;21;22;4;31;20;26;25;8;7;17;32;16;5;2;3;12;10;14;30
9;28;19;18;29;11;15;1;27;24;13;23;6;21;22;4;31;3;26;25;8;7;17;32;16;5;2;20;12;10;14;30;4;27724
4;27724;9;28;19;18;29;11;15;1;27;24;13;23;6;21;22;4;31;3;26;25;8;7;17;32;16;5;2;20;12;10;14;30
9;28;19;18;29;11;15;1;27;24;13;23;6;21;22;4;31;3;26;25;17;7;8;32;16;5;2;20;12;10;14;30;4;27932
4;27932;9;28;19;18;29;11;15;1;27;24;13;23;6;21;22;4;31;3;26;25;17;7;8;32;16;5;2;20;12;10;14;30
9;28;19;32;29;11;15;1;27;24;13;23;6;21;22;4;31;3;26;25;17;7;8;18;16;5;2;20;12;10;14;30;4;28712
5;28712;9;28;19;32;29;11;15;1;27;24;13;23;6;21;22;4;31;3;26;25;17;7;8;18;16;5;2;20;12;10;14;30
9;28;15;32;29;11;19;1;27;24;13;23;6;21;22;4;31;3;26;25;17;7;8;18;16;5;2;20;12;10;14;30;5;28264
5;28264;9;28;15;32;29;11;19;1;27;24;13;23;6;21;22;4;31;3;26;25;17;7;8;18;16;5;2;20;12;10;14;30
9;28;15;32;29;11;19;1;27;24;13;23;6;21;22;4;31;3;26;25;17;7;8;18;16;5;14;20;12;10;2;30;5;28504
5;28504;9;28;15;32;29;11;19;1;27;24;13;23;6;21;22;4;31;3;26;25;17;7;8;18;16;5;14;20;12;10;2;30
9;28;15;18;29;11;19;1;27;24;13;23;6;21;22;4;31;3;26;25;17;7;8;32;16;5;14;20;12;10;2;30;5;27484
5;27484;9;28;15;18;29;11;19;1;27;24;13;23;6;21;22;4;31;3;26;25;17;7;8;32;16;5;14;20;12;10;2;30
9;4;15;18;29;11;19;1;27;24;13;23;6;21;22;28;31;3;26;25;17;7;8;32;16;5;14;20;12;10;2;30;5;27818
5;27818;9;4;15;18;29;11;19;1;27;24;13;23;6;21;22;28;31;3;26;25;17;7;8;32;16;5;14;20;12;10;2;30
9;4;15;18;29;11;19;1;27;24;13;23;6;21;22;2;31;3;26;25;17;7;8;32;16;5;14;20;12;10;28;30;5;26958
5;26958;9;4;15;18;29;11;19;1;27;24;13;23;6;21;22;2;31;3;26;25;17;7;8;32;16;5;14;20;12;10;28;30
9;4;15;18;29;11;19;1;21;24;13;23;6;27;22;2;31;3;26;25;17;7;8;32;16;5;14;20;12;10;28;30;5;27138
5;27138;9;4;15;18;29;11;19;1;21;24;13;23;6;27;22;2;31;3;26;25;17;7;8;32;16;5;14;20;12;10;28;30
9;4;15;18;29;11;19;1;21;24;13;23;6;27;22;2;31;7;26;25;17;3;8;32;16;5;14;20;12;10;28;30;5;27098
5;27098;9;4;15;18;29;11;19;1;21;24;13;23;6;27;22;2;31;7;26;25;17;3;8;32;16;5;14;20;12;10;28;30
9;4;15;18;29;11;19;1;21;24;13;23;6;27;22;2;31;7;16;25;17;3;8;32;26;5;14;20;12;10;28;30;5;26990
5;26990;9;4;15;18;29;11;19;1;21;24;13;23;6;27;22;2;31;7;16;25;17;3;8;32;26;5;14;20;12;10;28;30
9;4;15;18;29;11;19;1;21;24;13;23;6;25;22;2;31;7;16;27;17;3;8;32;26;5;14;20;12;10;28;30;5;26990
5;26990;9;4;15;18;29;11;19;1;21;24;13;23;6;25;22;2;31;7;16;27;17;3;8;32;26;5;14;20;12;10;28;30
9;4;15;18;29;11;19;12;21;24;13;23;6;25;22;2;31;7;16;27;17;3;8;32;26;5;14;20;1;10;28;30;5;27690
5;27690;9;4;15;18;29;11;19;12;21;24;13;23;6;25;22;2;31;7;16;27;17;3;8;32;26;5;14;20;1;10;28;30
9;4;15;18;29;25;19;12;21;24;13;23;6;11;22;2;31;7;16;27;17;3;8;32;26;5;14;20;1;10;28;30;5;27436
5;27436;9;4;15;18;29;25;19;12;21;24;13;23;6;11;22;2;31;7;16;27;17;3;8;32;26;5;14;20;1;10;28;30
9;4;15;18;29;25;19;12;21;24;13;23;6;11;22;17;31;7;16;27;2;3;8;32;26;5;14;20;1;10;28;30;5;27490
5;27490;9;4;15;18;29;25;19;12;21;24;13;23;6;11;22;17;31;7;16;27;2;3;8;32;26;5;14;20;1;10;28;30
9;4;15;18;29;25;19;12;21;24;13;23;6;11;22;17;30;7;16;27;2;3;8;32;26;5;14;20;1;10;28;31;5;27250
5;27250;9;4;15;18;29;25;19;12;21;24;13;23;6;11;22;17;30;7;16;27;2;3;8;32;26;5;14;20;1;10;28;31
13;4;15;18;29;25;19;12;21;24;9;23;6;11;22;17;30;7;16;27;2;3;8;32;26;5;14;20;1;10;28;31;5;27290
5;27290;13;4;15;18;29;25;19;12;21;24;9;23;6;11;22;17;30;7;16;27;2;3;8;32;26;5;14;20;1;10;28;31
2;4;15;18;29;25;19;12;21;24;9;23;6;11;22;17;30;7;16;27;13;3;8;32;26;5;14;20;1;10;28;31;5;27650
5;27650;2;4;15;18;29;25;19;12;21;24;9;23;6;11;22;17;30;7;16;27;13;3;8;32;26;5;14;20;1;10;28;31
2;4;15;18;29;25;19;12;22;24;9;23;6;11;21;17;30;7;16;27;13;3;8;32;26;5;14;20;1;10;28;31;5;27450
5;27450;2;4;15;18;29;25;19;12;22;24;9;23;6;11;21;17;30;7;16;27;13;3;8;32;26;5;14;20;1;10;28;31
2;4;19;18;29;25;15;12;22;24;9;23;6;11;21;17;30;7;16;27;13;3;8;32;26;5;14;20;1;10;28;31;5;26962
5;26962;2;4;19;18;29;25;15;12;22;24;9;23;6;11;21;17;30;7;16;27;13;3;8;32;26;5;14;20;1;10;28;31
10;4;19;18;29;25;15;12;22;24;9;23;6;11;21;17;30;7;16;27;13;3;8;32;26;5;14;20;1;2;28;31;5;26682
5;26682;10;4;19;18;29;25;15;12;22;24;9;23;6;11;21;17;30;7;16;27;13;3;8;32;26;5;14;20;1;2;28;31
10;4;19;18;29;25;15;12;22;24;9;23;6;11;21;17;30;7;16;27;13;3;8;20;26;5;14;32;1;2;28;31;5;26602
