"X1";"X26600";"X9";"X14";"X25";"X7";"X23";"X26";"X22";"X12";"X3";"X13";"X5";"X16";"X2";"X6";"X27";"X28";"X32";"X21";"X10";"X20";"X8";"X24";"X31";"X29";"X17";"X18";"X19";"X1.1";"X4";"X11";"X15";"X30"
2;28948;9;7;23;18;20;26;22;6;5;31;3;1;12;25;15;28;29;30;10;16;8;24;32;13;2;14;27;17;19;21;4;11
9;7;23;18;20;26;22;11;5;31;3;1;12;25;15;28;29;30;10;16;8;24;32;13;2;14;27;17;19;21;4;6;2;28988
2;28988;9;7;23;18;20;26;22;11;5;31;3;1;12;25;15;28;29;30;10;16;8;24;32;13;2;14;27;17;19;21;4;6
9;7;3;18;20;26;22;11;5;31;23;1;12;25;15;28;29;30;10;16;8;24;32;13;2;14;27;17;19;21;4;6;2;28962
2;28962;9;7;3;18;20;26;22;11;5;31;23;1;12;25;15;28;29;30;10;16;8;24;32;13;2;14;27;17;19;21;4;6
9;7;25;18;20;26;22;11;5;31;23;1;12;3;15;28;29;30;10;16;8;24;32;13;2;14;27;17;19;21;4;6;2;28772
2;28772;9;7;25;18;20;26;22;11;5;31;23;1;12;3;15;28;29;30;10;16;8;24;32;13;2;14;27;17;19;21;4;6
9;7;25;18;20;26;22;11;5;31;23;1;12;3;15;28;29;16;10;30;8;24;32;13;2;14;27;17;19;21;4;6;2;28514
2;28514;9;7;25;18;20;26;22;11;5;31;23;1;12;3;15;28;29;16;10;30;8;24;32;13;2;14;27;17;19;21;4;6
9;7;25;18;20;15;22;11;5;31;23;1;12;3;26;28;29;16;10;30;8;24;32;13;2;14;27;17;19;21;4;6;2;28514
2;28514;9;7;25;18;20;15;22;11;5;31;23;1;12;3;26;28;29;16;10;30;8;24;32;13;2;14;27;17;19;21;4;6
9;7;25;18;20;15;22;11;5;31;23;1;12;3;32;28;29;16;10;30;8;24;26;13;2;14;27;17;19;21;4;6;2;28714
2;28714;9;7;25;18;20;15;22;11;5;31;23;1;12;3;32;28;29;16;10;30;8;24;26;13;2;14;27;17;19;21;4;6
9;7;25;18;14;15;22;11;5;31;23;1;12;3;32;28;29;16;10;30;8;24;26;13;2;20;27;17;19;21;4;6;2;28960
2;28960;9;7;25;18;14;15;22;11;5;31;23;1;12;3;32;28;29;16;10;30;8;24;26;13;2;20;27;17;19;21;4;6
9;7;25;18;14;15;22;11;5;31;23;1;12;3;32;28;26;16;10;30;8;24;29;13;2;20;27;17;19;21;4;6;2;28400
2;28400;9;7;25;18;14;15;22;11;5;31;23;1;12;3;32;28;26;16;10;30;8;24;29;13;2;20;27;17;19;21;4;6
9;7;25;18;14;15;22;11;27;31;23;1;12;3;32;28;26;16;10;30;8;24;29;13;2;20;5;17;19;21;4;6;2;28058
2;28058;9;7;25;18;14;15;22;11;27;31;23;1;12;3;32;28;26;16;10;30;8;24;29;13;2;20;5;17;19;21;4;6
9;7;25;18;14;15;22;11;27;31;23;1;12;3;32;28;26;30;10;16;8;24;29;13;2;20;5;17;19;21;4;6;2;28292
2;28292;9;7;25;18;14;15;22;11;27;31;23;1;12;3;32;28;26;30;10;16;8;24;29;13;2;20;5;17;19;21;4;6
9;7;25;18;14;15;22;11;27;31;23;1;12;3;32;28;26;30;10;16;8;4;29;13;2;20;5;17;19;21;24;6;2;28718
2;28718;9;7;25;18;14;15;22;11;27;31;23;1;12;3;32;28;26;30;10;16;8;4;29;13;2;20;5;17;19;21;24;6
9;7;25;18;14;15;22;11;27;31;23;1;12;3;32;28;26;30;10;16;8;4;29;13;2;24;5;17;19;21;20;6;2;28278
2;28278;9;7;25;18;14;15;22;11;27;31;23;1;12;3;32;28;26;30;10;16;8;4;29;13;2;24;5;17;19;21;20;6
9;7;25;18;14;15;22;29;27;31;23;1;12;3;32;28;26;30;10;16;8;4;11;13;2;24;5;17;19;21;20;6;2;28252
2;28252;9;7;25;18;14;15;22;29;27;31;23;1;12;3;32;28;26;30;10;16;8;4;11;13;2;24;5;17;19;21;20;6
9;7;25;11;14;15;22;29;27;31;23;1;12;3;32;28;26;30;10;16;8;4;18;13;2;24;5;17;19;21;20;6;2;27912
2;27912;9;7;25;11;14;15;22;29;27;31;23;1;12;3;32;28;26;30;10;16;8;4;18;13;2;24;5;17;19;21;20;6
9;7;25;11;14;15;28;29;27;31;23;1;12;3;32;22;26;30;10;16;8;4;18;13;2;24;5;17;19;21;20;6;2;27452
2;27452;9;7;25;11;14;15;28;29;27;31;23;1;12;3;32;22;26;30;10;16;8;4;18;13;2;24;5;17;19;21;20;6
9;7;25;11;14;15;28;6;27;31;23;1;12;3;32;22;26;30;10;16;8;4;18;13;2;24;5;17;19;21;20;29;2;26788
2;26788;9;7;25;11;14;15;28;6;27;31;23;1;12;3;32;22;26;30;10;16;8;4;18;13;2;24;5;17;19;21;20;29
9;7;25;30;14;15;28;6;27;31;23;1;12;3;32;22;26;11;10;16;8;4;18;13;2;24;5;17;19;21;20;29;2;26460
2;26460;9;7;25;30;14;15;28;6;27;31;23;1;12;3;32;22;26;11;10;16;8;4;18;13;2;24;5;17;19;21;20;29
22;7;25;30;14;15;28;6;27;31;23;1;12;3;32;9;26;11;10;16;8;4;18;13;2;24;5;17;19;21;20;29;2;26288
2;26288;22;7;25;30;14;15;28;6;27;31;23;1;12;3;32;9;26;11;10;16;8;4;18;13;2;24;5;17;19;21;20;29
22;7;25;30;14;15;28;6;24;31;23;1;12;3;32;9;26;11;10;16;8;4;18;13;2;27;5;17;19;21;20;29;2;25608
3;25608;22;7;25;30;14;15;28;6;24;31;23;1;12;3;32;9;26;11;10;16;8;4;18;13;2;27;5;17;19;21;20;29
17;7;25;30;14;15;28;6;24;31;23;1;12;3;32;9;26;11;10;16;8;4;18;13;2;27;5;22;19;21;20;29;3;26208
3;26208;17;7;25;30;14;15;28;6;24;31;23;1;12;3;32;9;26;11;10;16;8;4;18;13;2;27;5;22;19;21;20;29
17;7;25;30;14;15;28;6;24;31;23;1;12;3;32;9;26;11;10;29;8;4;18;13;2;27;5;22;19;21;20;16;3;26356
3;26356;17;7;25;30;14;15;28;6;24;31;23;1;12;3;32;9;26;11;10;29;8;4;18;13;2;27;5;22;19;21;20;16
17;7;25;30;14;15;28;6;11;31;23;1;12;3;32;9;26;24;10;29;8;4;18;13;2;27;5;22;19;21;20;16;3;26896
3;26896;17;7;25;30;14;15;28;6;11;31;23;1;12;3;32;9;26;24;10;29;8;4;18;13;2;27;5;22;19;21;20;16
17;7;25;30;14;15;28;6;11;20;23;1;12;3;32;9;26;24;10;29;8;4;18;13;2;27;5;22;19;21;31;16;3;26776
3;26776;17;7;25;30;14;15;28;6;11;20;23;1;12;3;32;9;26;24;10;29;8;4;18;13;2;27;5;22;19;21;31;16
17;7;25;30;14;15;28;6;11;31;23;1;12;3;32;9;26;24;10;29;8;4;18;13;2;27;5;22;19;21;20;16;3;26896
3;26896;17;7;25;30;14;15;28;6;11;31;23;1;12;3;32;9;26;24;10;29;8;4;18;13;2;27;5;22;19;21;20;16
17;7;25;30;18;15;28;6;11;31;23;1;12;3;32;9;26;24;10;29;8;4;14;13;2;27;5;22;19;21;20;16;3;27300
3;27300;17;7;25;30;18;15;28;6;11;31;23;1;12;3;32;9;26;24;10;29;8;4;14;13;2;27;5;22;19;21;20;16
17;7;25;30;18;15;28;6;11;31;2;1;12;3;32;9;26;24;10;29;8;4;14;13;23;27;5;22;19;21;20;16;3;27116
3;27116;17;7;25;30;18;15;28;6;11;31;2;1;12;3;32;9;26;24;10;29;8;4;14;13;23;27;5;22;19;21;20;16
17;7;25;30;18;15;28;6;11;31;21;1;12;3;32;9;26;24;10;29;8;4;14;13;23;27;5;22;19;2;20;16;3;27260
3;27260;17;7;25;30;18;15;28;6;11;31;21;1;12;3;32;9;26;24;10;29;8;4;14;13;23;27;5;22;19;2;20;16
17;7;25;16;18;15;28;6;11;31;21;1;12;3;32;9;26;24;10;29;8;4;14;13;23;27;5;22;19;2;20;30;3;28074
3;28074;17;7;25;16;18;15;28;6;11;31;21;1;12;3;32;9;26;24;10;29;8;4;14;13;23;27;5;22;19;2;20;30
17;28;25;16;18;15;7;6;11;31;21;1;12;3;32;9;26;24;10;29;8;4;14;13;23;27;5;22;19;2;20;30;3;27654
3;27654;17;28;25;16;18;15;7;6;11;31;21;1;12;3;32;9;26;24;10;29;8;4;14;13;23;27;5;22;19;2;20;30
17;28;25;16;18;15;7;13;11;31;21;1;12;3;32;9;26;24;10;29;8;4;14;6;23;27;5;22;19;2;20;30;3;27654
3;27654;17;28;25;16;18;15;7;13;11;31;21;1;12;3;32;9;26;24;10;29;8;4;14;6;23;27;5;22;19;2;20;30
17;28;25;16;6;15;7;13;11;31;21;1;12;3;32;9;26;24;10;29;8;4;14;18;23;27;5;22;19;2;20;30;3;26924
3;26924;17;28;25;16;6;15;7;13;11;31;21;1;12;3;32;9;26;24;10;29;8;4;14;18;23;27;5;22;19;2;20;30
17;28;25;16;6;15;7;13;11;27;21;1;12;3;32;9;26;24;10;29;8;4;14;18;23;31;5;22;19;2;20;30;3;27264
3;27264;17;28;25;16;6;15;7;13;11;27;21;1;12;3;32;9;26;24;10;29;8;4;14;18;23;31;5;22;19;2;20;30
17;28;25;16;6;12;7;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;14;18;23;31;5;22;19;2;20;30;3;27264
3;27264;17;28;25;16;6;12;7;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;14;18;23;31;5;22;19;2;20;30
17;28;25;16;6;12;7;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;14;18;20;31;5;22;19;2;23;30;3;27424
3;27424;17;28;25;16;6;12;7;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;14;18;20;31;5;22;19;2;23;30
17;28;30;16;6;12;7;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;14;18;20;31;5;22;19;2;23;25;3;27464
3;27464;17;28;30;16;6;12;7;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;14;18;20;31;5;22;19;2;23;25
7;28;30;16;6;12;17;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;14;18;20;31;5;22;19;2;23;25;3;28286
3;28286;7;28;30;16;6;12;17;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;14;18;20;31;5;22;19;2;23;25
7;28;30;16;6;12;17;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;14;18;22;31;5;20;19;2;23;25;3;28326
3;28326;7;28;30;16;6;12;17;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;14;18;22;31;5;20;19;2;23;25
7;25;30;16;6;12;17;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;14;18;22;31;5;20;19;2;23;28;3;27986
3;27986;7;25;30;16;6;12;17;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;14;18;22;31;5;20;19;2;23;28
7;14;30;16;6;12;17;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;25;18;22;31;5;20;19;2;23;28;3;28210
4;28210;7;14;30;16;6;12;17;13;11;27;21;1;15;3;32;9;26;24;10;29;8;4;25;18;22;31;5;20;19;2;23;28
7;14;30;16;6;12;17;27;11;13;21;1;15;3;32;9;26;24;10;29;8;4;25;18;22;31;5;20;19;2;23;28;4;28976
4;28976;7;14;30;16;6;12;17;27;11;13;21;1;15;3;32;9;26;24;10;29;8;4;25;18;22;31;5;20;19;2;23;28
7;14;30;16;6;10;17;27;11;13;21;1;15;3;32;9;26;24;12;29;8;4;25;18;22;31;5;20;19;2;23;28;4;28416
4;28416;7;14;30;16;6;10;17;27;11;13;21;1;15;3;32;9;26;24;12;29;8;4;25;18;22;31;5;20;19;2;23;28
7;14;30;16;6;10;17;27;11;13;21;1;15;3;19;9;26;24;12;29;8;4;25;18;22;31;5;20;32;2;23;28;4;28896
4;28896;7;14;30;16;6;10;17;27;11;13;21;1;15;3;19;9;26;24;12;29;8;4;25;18;22;31;5;20;32;2;23;28
7;14;30;16;6;10;17;27;11;13;21;1;15;3;19;9;26;24;12;29;8;4;25;18;22;31;5;20;32;2;28;23;4;28896
4;28896;7;14;30;16;6;10;17;27;11;13;21;1;15;3;19;9;26;24;12;29;8;4;25;18;22;31;5;20;32;2;28;23
7;14;30;16;6;10;17;27;11;13;12;1;15;3;19;9;26;24;21;29;8;4;25;18;22;31;5;20;32;2;28;23;4;28480
4;28480;7;14;30;16;6;10;17;27;11;13;12;1;15;3;19;9;26;24;21;29;8;4;25;18;22;31;5;20;32;2;28;23
7;14;30;16;6;10;17;27;11;13;12;1;31;3;19;9;26;24;21;29;8;4;25;18;22;15;5;20;32;2;28;23;4;28296
4;28296;7;14;30;16;6;10;17;27;11;13;12;1;31;3;19;9;26;24;21;29;8;4;25;18;22;15;5;20;32;2;28;23
7;14;30;16;6;10;17;27;11;13;12;1;31;3;19;9;26;24;21;4;8;29;25;18;22;15;5;20;32;2;28;23;4;28830
4;28830;7;14;30;16;6;10;17;27;11;13;12;1;31;3;19;9;26;24;21;4;8;29;25;18;22;15;5;20;32;2;28;23
7;14;30;16;6;10;17;27;1;13;12;11;31;3;19;9;26;24;21;4;8;29;25;18;22;15;5;20;32;2;28;23;4;27990
4;27990;7;14;30;16;6;10;17;27;1;13;12;11;31;3;19;9;26;24;21;4;8;29;25;18;22;15;5;20;32;2;28;23
7;14;30;16;6;10;17;15;1;13;12;11;31;3;19;9;26;24;21;4;8;29;25;18;22;27;5;20;32;2;28;23;4;27922
4;27922;7;14;30;16;6;10;17;15;1;13;12;11;31;3;19;9;26;24;21;4;8;29;25;18;22;27;5;20;32;2;28;23
7;14;30;16;6;10;17;15;1;13;12;11;8;3;19;9;26;24;21;4;31;29;25;18;22;27;5;20;32;2;28;23;4;26796
4;26796;7;14;30;16;6;10;17;15;1;13;12;11;8;3;19;9;26;24;21;4;31;29;25;18;22;27;5;20;32;2;28;23
7;14;30;16;6;10;17;15;1;13;32;11;8;3;19;9;26;24;21;4;31;29;25;18;22;27;5;20;12;2;28;23;4;27810
4;26796;7;14;30;16;6;10;17;15;1;13;12;11;8;3;19;9;26;24;21;4;31;29;25;18;22;27;5;20;32;2;28;23
7;14;30;16;6;10;17;15;1;13;12;11;8;3;19;9;26;24;21;4;31;29;22;18;25;27;5;20;32;2;28;23;4;26916
4;26916;7;14;30;16;6;10;17;15;1;13;12;11;8;3;19;9;26;24;21;4;31;29;22;18;25;27;5;20;32;2;28;23
7;14;25;16;6;10;17;15;1;13;12;11;8;3;19;9;26;24;21;4;31;29;22;18;30;27;5;20;32;2;28;23;4;26996
4;26996;7;14;25;16;6;10;17;15;1;13;12;11;8;3;19;9;26;24;21;4;31;29;22;18;30;27;5;20;32;2;28;23
7;14;25;16;6;10;17;15;31;13;12;11;8;3;19;9;26;24;21;4;1;29;22;18;30;27;5;20;32;2;28;23;4;27884
4;27884;7;14;25;16;6;10;17;15;31;13;12;11;8;3;19;9;26;24;21;4;1;29;22;18;30;27;5;20;32;2;28;23
7;14;25;16;6;10;17;15;31;13;12;11;8;3;19;9;26;24;21;4;2;29;22;18;30;27;5;20;32;1;28;23;4;27784
4;27784;7;14;25;16;6;10;17;15;31;13;12;11;8;3;19;9;26;24;21;4;2;29;22;18;30;27;5;20;32;1;28;23
7;14;25;16;19;10;17;15;31;13;12;11;8;3;6;9;26;24;21;4;2;29;22;18;30;27;5;20;32;1;28;23;4;28300
4;28300;7;14;25;16;19;10;17;15;31;13;12;11;8;3;6;9;26;24;21;4;2;29;22;18;30;27;5;20;32;1;28;23
7;14;25;16;19;10;17;15;31;13;12;11;8;3;6;9;26;24;18;4;2;29;22;21;30;27;5;20;32;1;28;23;4;28300
4;28300;7;14;25;16;19;10;17;15;31;13;12;11;8;3;6;9;26;24;18;4;2;29;22;21;30;27;5;20;32;1;28;23
7;14;25;16;19;10;17;13;31;15;12;11;8;3;6;9;26;24;18;4;2;29;22;21;30;27;5;20;32;1;28;23;4;28380
4;28380;7;14;25;16;19;10;17;13;31;15;12;11;8;3;6;9;26;24;18;4;2;29;22;21;30;27;5;20;32;1;28;23
7;14;25;16;19;3;17;13;31;15;12;11;8;10;6;9;26;24;18;4;2;29;22;21;30;27;5;20;32;1;28;23;4;29160
4;29160;7;14;25;16;19;3;17;13;31;15;12;11;8;10;6;9;26;24;18;4;2;29;22;21;30;27;5;20;32;1;28;23
14;7;25;16;19;3;17;13;31;15;12;11;8;10;6;9;26;24;18;4;2;29;22;21;30;27;5;20;32;1;28;23;4;29020
5;29020;14;7;25;16;19;3;17;13;31;15;12;11;8;10;6;9;26;24;18;4;2;29;22;21;30;27;5;20;32;1;28;23
14;7;25;16;19;3;17;13;31;15;12;11;27;10;6;9;26;24;18;4;2;29;22;21;30;8;5;20;32;1;28;23;5;28600
5;28600;14;7;25;16;19;3;17;13;31;15;12;11;27;10;6;9;26;24;18;4;2;29;22;21;30;8;5;20;32;1;28;23
14;7;25;16;19;3;17;13;31;15;12;11;27;10;6;9;26;24;4;18;2;29;22;21;30;8;5;20;32;1;28;23;5;28280
5;28280;14;7;25;16;19;3;17;13;31;15;12;11;27;10;6;9;26;24;4;18;2;29;22;21;30;8;5;20;32;1;28;23
17;7;25;16;19;3;14;13;31;15;12;11;27;10;6;9;26;24;4;18;2;29;22;21;30;8;5;20;32;1;28;23;5;27834
5;27834;17;7;25;16;19;3;14;13;31;15;12;11;27;10;6;9;26;24;4;18;2;29;22;21;30;8;5;20;32;1;28;23
17;7;25;16;19;3;14;13;31;15;12;11;27;10;6;9;23;24;4;18;2;29;22;21;30;8;5;20;32;1;28;26;5;27834
5;27834;17;7;25;16;19;3;14;13;31;15;12;11;27;10;6;9;23;24;4;18;2;29;22;21;30;8;5;20;32;1;28;26
17;7;25;16;19;3;14;13;31;22;12;11;27;10;6;9;23;24;4;18;2;29;15;21;30;8;5;20;32;1;28;26;5;27714
5;27714;17;7;25;16;19;3;14;13;31;22;12;11;27;10;6;9;23;24;4;18;2;29;15;21;30;8;5;20;32;1;28;26
17;31;25;16;19;3;14;13;7;22;12;11;27;10;6;9;23;24;4;18;2;29;15;21;30;8;5;20;32;1;28;26;5;28546
5;28546;17;31;25;16;19;3;14;13;7;22;12;11;27;10;6;9;23;24;4;18;2;29;15;21;30;8;5;20;32;1;28;26
17;31;25;1;19;3;14;13;7;22;12;11;27;10;6;9;23;24;4;18;2;29;15;21;30;8;5;20;32;16;28;26;5;27986
5;27986;17;31;25;1;19;3;14;13;7;22;12;11;27;10;6;9;23;24;4;18;2;29;15;21;30;8;5;20;32;16;28;26
17;31;25;1;19;3;14;13;7;22;12;11;27;10;6;9;23;24;26;18;2;29;15;21;30;8;5;20;32;16;28;4;5;27894
5;27894;17;31;25;1;19;3;14;13;7;22;12;11;27;10;6;9;23;24;26;18;2;29;15;21;30;8;5;20;32;16;28;4
17;31;25;1;19;3;14;13;7;22;12;11;27;10;6;9;23;24;26;18;2;29;15;5;30;8;21;20;32;16;28;4;5;28078
5;28078;17;31;25;1;19;3;14;13;7;22;12;11;27;10;6;9;23;24;26;18;2;29;15;5;30;8;21;20;32;16;28;4
17;31;25;1;19;3;14;13;7;8;12;11;27;10;6;9;23;24;26;18;2;29;15;5;30;22;21;20;32;16;28;4;5;27592
5;27592;17;31;25;1;19;3;14;13;7;8;12;11;27;10;6;9;23;24;26;18;2;29;15;5;30;22;21;20;32;16;28;4
17;31;25;1;19;3;14;13;7;27;12;11;8;10;6;9;23;24;26;18;2;29;15;5;30;22;21;20;32;16;28;4;5;27342
5;27342;17;31;25;1;19;3;14;13;7;27;12;11;8;10;6;9;23;24;26;18;2;29;15;5;30;22;21;20;32;16;28;4
17;31;25;1;19;3;14;13;7;27;12;11;8;10;6;9;23;20;26;18;2;29;15;5;30;22;21;24;32;16;28;4;5;27522
5;27522;17;31;25;1;19;3;14;13;7;27;12;11;8;10;6;9;23;20;26;18;2;29;15;5;30;22;21;24;32;16;28;4
17;31;25;1;19;3;24;13;7;27;12;11;8;10;6;9;23;20;26;18;2;29;15;5;30;22;21;14;32;16;28;4;5;27872
5;27872;17;31;25;1;19;3;24;13;7;27;12;11;8;10;6;9;23;20;26;18;2;29;15;5;30;22;21;14;32;16;28;4
17;31;25;1;19;3;16;13;7;27;12;11;8;10;6;9;23;20;26;18;2;29;15;5;30;22;21;14;32;24;28;4;5;27886
5;27886;17;31;25;1;19;3;16;13;7;27;12;11;8;10;6;9;23;20;26;18;2;29;15;5;30;22;21;14;32;24;28;4
17;31;19;1;25;3;16;13;7;27;12;11;8;10;6;9;23;20;26;18;2;29;15;5;30;22;21;14;32;24;28;4;5;27646
5;27646;17;31;19;1;25;3;16;13;7;27;12;11;8;10;6;9;23;20;26;18;2;29;15;5;30;22;21;14;32;24;28;4
17;31;19;1;25;3;16;13;2;27;12;11;8;10;6;9;23;20;26;18;7;29;15;5;30;22;21;14;32;24;28;4;5;27486
5;27486;17;31;19;1;25;3;16;13;2;27;12;11;8;10;6;9;23;20;26;18;7;29;15;5;30;22;21;14;32;24;28;4
17;31;19;1;25;3;16;13;29;27;12;11;8;10;6;9;23;20;26;18;7;2;15;5;30;22;21;14;32;24;28;4;5;27274
5;27274;17;31;19;1;25;3;16;13;29;27;12;11;8;10;6;9;23;20;26;18;7;2;15;5;30;22;21;14;32;24;28;4
17;31;19;1;25;3;16;13;29;27;12;11;8;10;6;9;23;20;26;2;7;18;15;5;30;22;21;14;32;24;28;4;5;27504
5;27504;17;31;19;1;25;3;16;13;29;27;12;11;8;10;6;9;23;20;26;2;7;18;15;5;30;22;21;14;32;24;28;4
17;31;19;1;25;3;16;13;29;23;12;11;8;10;6;9;27;20;26;2;7;18;15;5;30;22;21;14;32;24;28;4;5;27644
