"X1";"X272";"X51";"X35";"X12";"X5";"X54";"X24";"X4";"X26";"X11";"X9";"X62";"X7";"X27";"X63";"X49";"X23";"X17";"X1.1";"X40";"X46";"X57";"X39";"X25";"X56";"X42";"X10";"X47";"X44";"X2";"X28";"X41";"X36";"X53";"X20";"X38";"X18";"X19";"X64";"X22";"X21";"X48";"X29";"X61";"X55";"X30";"X58";"X3";"X32";"X50";"X8";"X15";"X34";"X37";"X33";"X52";"X16";"X45";"X59";"X13";"X6";"X43";"X31";"X60";"X14"
51;35;12;5;21;30;4;26;11;37;48;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;50;55;28;41;36;53;52;38;18;19;64;22;61;20;29;54;2;32;58;15;27;44;8;3;34;49;33;9;16;45;59;13;6;43;31;10;14;1;288
1;288;51;35;12;5;21;30;4;26;11;37;48;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;50;55;28;41;36;53;52;38;18;19;64;22;61;20;29;54;2;32;58;15;27;44;8;3;34;49;33;9;16;45;59;13;6;43;31;10;14
51;35;12;5;21;30;4;26;11;37;48;7;62;63;24;23;13;1;40;46;57;39;25;56;42;60;47;50;55;28;41;36;53;52;38;18;19;64;22;61;20;29;54;2;32;58;15;27;44;8;3;34;49;33;9;16;45;59;17;6;43;31;10;14;1;288
1;288;51;35;12;5;21;30;4;26;11;37;48;7;62;63;24;23;13;1;40;46;57;39;25;56;42;60;47;50;55;28;41;36;53;52;38;18;19;64;22;61;20;29;54;2;32;58;15;27;44;8;3;34;49;33;9;16;45;59;17;6;43;31;10;14
51;35;12;5;21;30;4;26;11;37;48;7;62;63;24;23;13;1;40;46;57;39;25;56;42;60;47;50;55;28;16;36;53;52;38;18;19;64;22;61;20;29;54;2;32;58;15;27;44;8;3;34;49;33;9;41;45;59;17;6;43;31;10;14;1;288
1;288;51;35;12;5;21;30;4;26;11;37;48;7;62;63;24;23;13;1;40;46;57;39;25;56;42;60;47;50;55;28;16;36;53;52;38;18;19;64;22;61;20;29;54;2;32;58;15;27;44;8;3;34;49;33;9;41;45;59;17;6;43;31;10;14
51;35;12;5;21;30;4;26;11;37;48;7;62;63;24;23;13;1;40;46;57;39;32;56;42;60;47;50;55;28;16;36;53;52;38;18;19;64;22;61;20;29;54;2;25;58;15;27;44;8;3;34;49;33;9;41;45;59;17;6;43;31;10;14;1;288
1;288;51;35;12;5;21;30;4;26;11;37;48;7;62;63;24;23;13;1;40;46;57;39;32;56;42;60;47;50;55;28;16;36;53;52;38;18;19;64;22;61;20;29;54;2;25;58;15;27;44;8;3;34;49;33;9;41;45;59;17;6;43;31;10;14
51;35;12;5;21;30;4;26;11;44;48;7;62;63;24;23;13;1;40;46;57;39;32;56;42;60;47;50;55;28;16;36;53;52;38;18;19;64;22;61;20;29;54;2;25;58;15;27;37;8;3;34;49;33;9;41;45;59;17;6;43;31;10;14;1;288
2;288;51;35;12;5;21;30;4;26;11;44;48;7;62;63;24;23;13;1;40;46;57;39;32;56;42;60;47;50;55;28;16;36;53;52;38;18;19;64;22;61;20;29;54;2;25;58;15;27;37;8;3;34;49;33;9;41;45;59;17;6;43;31;10;14
51;35;12;5;21;30;4;26;11;44;48;7;62;63;24;23;13;1;40;46;57;39;32;56;42;60;47;50;55;28;16;36;53;52;38;18;19;64;22;61;20;29;54;2;25;45;15;27;37;8;3;34;49;33;9;41;58;59;17;6;43;31;10;14;2;292
2;292;51;35;12;5;21;30;4;26;11;44;48;7;62;63;24;23;13;1;40;46;57;39;32;56;42;60;47;50;55;28;16;36;53;52;38;18;19;64;22;61;20;29;54;2;25;45;15;27;37;8;3;34;49;33;9;41;58;59;17;6;43;31;10;14
5;35;12;51;21;30;4;26;11;44;48;7;62;63;24;23;13;1;40;46;57;39;32;56;42;60;47;50;55;28;16;36;53;52;38;18;19;64;22;61;20;29;54;2;25;45;15;27;37;8;3;34;49;33;9;41;58;59;17;6;43;31;10;14;2;292
2;292;5;35;12;51;21;30;4;26;11;44;48;7;62;63;24;23;13;1;40;46;57;39;32;56;42;60;47;50;55;28;16;36;53;52;38;18;19;64;22;61;20;29;54;2;25;45;15;27;37;8;3;34;49;33;9;41;58;59;17;6;43;31;10;14
5;35;12;51;21;30;4;26;11;44;48;7;62;63;24;23;13;1;40;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;38;18;19;64;22;61;20;29;54;28;25;45;15;27;37;8;3;34;49;33;9;41;58;59;17;6;43;31;10;14;2;280
2;280;5;35;12;51;21;30;4;26;11;44;48;7;62;63;24;23;13;1;40;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;38;18;19;64;22;61;20;29;54;28;25;45;15;27;37;8;3;34;49;33;9;41;58;59;17;6;43;31;10;14
5;35;12;51;21;30;4;26;11;44;48;7;1;63;24;23;13;62;40;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;38;18;19;64;22;61;20;29;54;28;25;45;15;27;37;8;3;34;49;33;9;41;58;59;17;6;43;31;10;14;2;280
2;280;5;35;12;51;21;30;4;26;11;44;48;7;1;63;24;23;13;62;40;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;38;18;19;64;22;61;20;29;54;28;25;45;15;27;37;8;3;34;49;33;9;41;58;59;17;6;43;31;10;14
41;35;12;51;21;30;4;26;11;44;48;7;1;63;24;23;13;62;40;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;38;18;19;64;22;61;20;29;54;28;25;45;15;27;37;8;3;34;49;33;9;5;58;59;17;6;43;31;10;14;2;280
2;280;41;35;12;51;21;30;4;26;11;44;48;7;1;63;24;23;13;62;40;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;38;18;19;64;22;61;20;29;54;28;25;45;15;27;37;8;3;34;49;33;9;5;58;59;17;6;43;31;10;14
53;35;12;51;21;30;4;26;11;44;48;7;1;63;24;23;13;62;40;46;57;39;32;56;42;60;47;50;55;2;16;36;41;52;38;18;19;64;22;61;20;29;54;28;25;45;15;27;37;8;3;34;49;33;9;5;58;59;17;6;43;31;10;14;2;282
2;280;41;35;12;51;21;30;4;26;11;44;48;7;1;63;24;23;13;62;40;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;38;18;19;64;22;61;20;29;54;28;25;45;15;27;37;8;3;34;49;33;9;5;58;59;17;6;43;31;10;14
41;35;12;51;21;30;4;26;11;44;48;7;1;63;24;23;13;62;19;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;38;18;40;64;22;61;20;29;54;28;25;45;15;27;37;8;3;34;49;33;9;5;58;59;17;6;43;31;10;14;2;280
2;280;41;35;12;51;21;30;4;26;11;44;48;7;1;63;24;23;13;62;19;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;38;18;40;64;22;61;20;29;54;28;25;45;15;27;37;8;3;34;49;33;9;5;58;59;17;6;43;31;10;14
41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;13;62;19;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;21;18;40;64;22;61;20;29;54;28;25;45;15;27;37;8;3;34;49;33;9;5;58;59;17;6;43;31;10;14;2;278
2;278;41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;13;62;19;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;21;18;40;64;22;61;20;29;54;28;25;45;15;27;37;8;3;34;49;33;9;5;58;59;17;6;43;31;10;14
41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;13;62;19;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;21;18;40;37;22;61;20;29;54;28;25;45;15;27;64;8;3;34;49;33;9;5;58;59;17;6;43;31;10;14;2;278
2;278;41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;13;62;19;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;21;18;40;37;22;61;20;29;54;28;25;45;15;27;64;8;3;34;49;33;9;5;58;59;17;6;43;31;10;14
41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;13;62;19;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;21;18;40;37;22;61;20;43;54;28;25;45;15;27;64;8;3;34;49;33;9;5;58;59;17;6;29;31;10;14;2;278
2;278;41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;13;62;19;46;57;39;32;56;42;60;47;50;55;2;16;36;53;52;21;18;40;37;22;61;20;43;54;28;25;45;15;27;64;8;3;34;49;33;9;5;58;59;17;6;29;31;10;14
41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;13;62;19;46;57;39;56;32;42;60;47;50;55;2;16;36;53;52;21;18;40;37;22;61;20;43;54;28;25;45;15;27;64;8;3;34;49;33;9;5;58;59;17;6;29;31;10;14;2;278
2;278;41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;13;62;19;46;57;39;56;32;42;60;47;50;55;2;16;36;53;52;21;18;40;37;22;61;20;43;54;28;25;45;15;27;64;8;3;34;49;33;9;5;58;59;17;6;29;31;10;14
41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;22;62;19;46;57;39;56;32;42;60;47;50;55;2;16;36;53;52;21;18;40;37;13;61;20;43;54;28;25;45;15;27;64;8;3;34;49;33;9;5;58;59;17;6;29;31;10;14;2;256
2;256;41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;22;62;19;46;57;39;56;32;42;60;47;50;55;2;16;36;53;52;21;18;40;37;13;61;20;43;54;28;25;45;15;27;64;8;3;34;49;33;9;5;58;59;17;6;29;31;10;14
41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;22;62;19;46;57;39;56;32;42;60;47;50;55;2;16;36;53;52;21;18;40;37;13;61;20;43;54;28;25;45;15;27;64;8;3;34;49;33;9;5;10;59;17;6;29;31;58;14;2;256
2;256;41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;22;62;19;46;57;39;56;32;42;60;47;50;55;2;16;36;53;52;21;18;40;37;13;61;20;43;54;28;25;45;15;27;64;8;3;34;49;33;9;5;10;59;17;6;29;31;58;14
41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;22;62;19;46;57;39;56;32;42;60;47;43;55;2;16;36;53;52;21;18;40;37;13;61;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;5;10;59;17;6;29;31;58;14;2;260
2;260;41;35;12;51;38;30;4;26;11;44;48;7;1;63;24;23;22;62;19;46;57;39;56;32;42;60;47;43;55;2;16;36;53;52;21;18;40;37;13;61;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;5;10;59;17;6;29;31;58;14
41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;62;19;46;57;39;56;32;42;48;47;43;55;2;16;36;53;52;21;18;40;37;13;61;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;5;10;59;17;6;29;31;58;14;2;256
2;256;41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;62;19;46;57;39;56;32;42;48;47;43;55;2;16;36;53;52;21;18;40;37;13;61;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;5;10;59;17;6;29;31;58;14
41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;62;19;46;57;39;56;32;42;48;47;43;55;2;16;36;53;52;21;18;40;37;13;61;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14;2;256
2;256;41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;62;19;46;57;39;56;32;42;48;47;43;55;2;16;36;53;52;21;18;40;37;13;61;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14
41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;62;19;46;39;57;56;32;42;48;47;43;55;2;16;36;53;52;21;18;40;37;13;61;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14;2;256
2;256;41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;62;19;46;39;57;56;32;42;48;47;43;55;2;16;36;53;52;21;18;40;37;13;61;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14
41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;18;19;46;39;57;56;32;42;48;47;43;55;2;16;36;53;52;21;62;40;37;13;61;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14;2;256
2;256;41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;18;19;46;39;57;56;32;42;48;47;43;55;2;16;36;53;52;21;62;40;37;13;61;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14
41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;43;55;2;16;36;53;52;21;62;40;56;13;61;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14;2;256
2;256;41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;43;55;2;16;36;53;52;21;62;40;56;13;61;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14
41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;43;55;2;16;36;61;52;21;62;40;56;13;53;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14;2;258
3;258;41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;43;55;2;16;36;61;52;21;62;40;56;13;53;20;50;54;28;25;45;15;27;64;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14
41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;43;55;2;16;36;61;52;21;62;40;56;13;53;20;50;54;64;25;45;15;27;28;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14;3;254
3;254;41;35;12;51;38;30;4;26;11;44;60;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;43;55;2;16;36;61;52;21;62;40;56;13;53;20;50;54;64;25;45;15;27;28;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14
41;35;12;43;38;30;4;26;11;44;60;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;51;55;2;16;36;61;52;21;62;40;56;13;53;20;50;54;64;25;45;15;27;28;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14;3;246
3;246;41;35;12;43;38;30;4;26;11;44;60;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;51;55;2;16;36;61;52;21;62;40;56;13;53;20;50;54;64;25;45;15;27;28;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14
41;35;12;43;60;30;4;26;11;44;38;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;51;55;2;16;36;61;52;21;62;40;56;13;53;20;50;54;64;25;45;15;27;28;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14;3;254
3;254;41;35;12;43;60;30;4;26;11;44;38;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;51;55;2;16;36;61;52;21;62;40;56;13;53;20;50;54;64;25;45;15;27;28;8;3;34;49;33;9;58;10;59;17;6;29;31;5;14
41;35;12;43;60;30;4;26;11;44;38;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;51;55;2;16;36;61;52;21;62;40;56;13;53;20;50;54;64;25;45;15;27;28;8;3;34;58;33;9;49;10;59;17;6;29;31;5;14;3;254
3;254;41;35;12;43;60;30;4;26;11;44;38;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;51;55;2;16;36;61;52;21;62;40;56;13;53;20;50;54;64;25;45;15;27;28;8;3;34;58;33;9;49;10;59;17;6;29;31;5;14
41;35;12;43;60;30;4;26;11;44;38;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;51;55;2;16;36;61;52;21;62;40;56;27;53;20;50;54;64;25;45;15;13;28;8;3;34;58;33;9;49;10;59;17;6;29;31;5;14;3;260
3;260;41;35;12;43;60;30;4;26;11;44;38;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;51;55;2;16;36;61;52;21;62;40;56;27;53;20;50;54;64;25;45;15;13;28;8;3;34;58;33;9;49;10;59;17;6;29;31;5;14
41;35;12;43;60;30;4;26;11;44;38;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;51;55;49;16;36;61;52;21;62;40;56;27;53;20;50;54;64;25;45;15;13;28;8;3;34;58;33;9;2;10;59;17;6;29;31;5;14;3;260
3;260;41;35;12;43;60;30;4;26;11;44;38;7;1;63;24;23;22;18;19;46;39;57;37;32;42;48;47;51;55;49;16;36;61;52;21;62;40;56;27;53;20;50;54;64;25;45;15;13;28;8;3;34;58;33;9;2;10;59;17;6;29;31;5;14
41;35;12;43;60;30;4;26;11;44;38;7;1;63;24;23;51;18;19;46;39;57;37;32;42;48;47;22;55;49;16;36;61;52;21;62;40;56;27;53;20;50;54;64;25;45;15;13;28;8;3;34;58;33;9;2;10;59;17;6;29;31;5;14;3;276
3;276;41;35;12;43;60;30;4;26;11;44;38;7;1;63;24;23;51;18;19;46;39;57;37;32;42;48;47;22;55;49;16;36;61;52;21;62;40;56;27;53;20;50;54;64;25;45;15;13;28;8;3;34;58;33;9;2;10;59;17;6;29;31;5;14
41;35;12;43;60;30;4;64;11;44;38;7;1;63;24;23;51;18;19;46;39;57;37;32;42;48;47;22;55;49;16;36;61;52;21;62;40;56;27;53;20;50;54;26;25;45;15;13;28;8;3;34;58;33;9;2;10;59;17;6;29;31;5;14;3;276
3;276;41;35;12;43;60;30;4;64;11;44;38;7;1;63;24;23;51;18;19;46;39;57;37;32;42;48;47;22;55;49;16;36;61;52;21;62;40;56;27;53;20;50;54;26;25;45;15;13;28;8;3;34;58;33;9;2;10;59;17;6;29;31;5;14
41;35;12;43;60;30;4;64;11;44;38;7;1;63;24;23;51;18;19;46;39;57;37;32;42;29;47;22;55;49;16;36;61;52;21;62;40;56;27;53;20;50;54;26;25;45;15;13;28;8;3;34;58;33;9;2;10;59;17;6;48;31;5;14;3;276
3;276;41;35;12;43;60;30;4;64;11;44;38;7;1;63;24;23;51;18;19;46;39;57;37;32;42;29;47;22;55;49;16;36;61;52;21;62;40;56;27;53;20;50;54;26;25;45;15;13;28;8;3;34;58;33;9;2;10;59;17;6;48;31;5;14
41;35;12;43;60;30;4;64;11;44;38;7;1;63;24;23;51;18;19;46;39;57;37;32;42;29;47;22;55;49;16;36;61;45;21;62;40;56;27;53;20;50;54;26;25;52;15;13;28;8;3;34;58;33;9;2;10;59;17;6;48;31;5;14;3;256
3;256;41;35;12;43;60;30;4;64;11;44;38;7;1;63;24;23;51;18;19;46;39;57;37;32;42;29;47;22;55;49;16;36;61;45;21;62;40;56;27;53;20;50;54;26;25;52;15;13;28;8;3;34;58;33;9;2;10;59;17;6;48;31;5;14
41;35;12;43;60;30;4;64;11;44;38;7;1;63;24;23;51;18;19;46;39;57;37;32;42;29;47;22;55;49;16;36;61;45;21;62;40;56;27;53;20;50;54;26;25;52;34;13;28;8;3;15;58;33;9;2;10;59;17;6;48;31;5;14;3;256
