"X1";"X234";"X7";"X1.1";"X27";"X45";"X39";"X46";"X25";"X58";"X19";"X42";"X14";"X22";"X54";"X34";"X33";"X15";"X55";"X20";"X62";"X36";"X64";"X4";"X56";"X12";"X40";"X13";"X41";"X47";"X44";"X43";"X10";"X5";"X6";"X18";"X35";"X57";"X30";"X53";"X26";"X23";"X37";"X59";"X63";"X8";"X28";"X2";"X48";"X60";"X52";"X24";"X29";"X51";"X38";"X61";"X49";"X16";"X11";"X50";"X17";"X21";"X32";"X9";"X31";"X3"
1;212;7;13;27;45;39;46;25;58;11;22;14;42;54;34;8;15;38;20;62;61;64;4;56;12;40;1;41;31;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;33;28;48;55;60;52;24;2;51;29;16;49;36;19;50;17;21;32;9;43;3
7;13;27;45;39;46;25;58;11;22;14;42;54;17;8;15;38;20;62;61;64;4;56;12;40;1;41;31;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;33;28;48;55;60;52;24;2;51;29;16;49;36;19;50;34;21;32;9;43;3;1;240
1;240;7;13;27;45;39;46;25;58;11;22;14;42;54;17;8;15;38;20;62;61;64;4;56;12;40;1;41;31;44;47;10;5;6;18;35;57;30;53;26;23;37;59;63;33;28;48;55;60;52;24;2;51;29;16;49;36;19;50;34;21;32;9;43;3
7;13;27;45;39;46;25;58;11;22;14;42;54;17;8;15;38;20;62;61;64;4;56;12;40;23;41;31;44;47;10;5;6;18;35;57;30;53;26;1;37;59;63;33;28;48;55;60;52;24;2;51;29;16;49;36;19;50;34;21;32;9;43;3;1;240
1;240;7;13;27;45;39;46;25;58;11;22;14;42;54;17;8;15;38;20;62;61;64;4;56;12;40;23;41;31;44;47;10;5;6;18;35;57;30;53;26;1;37;59;63;33;28;48;55;60;52;24;2;51;29;16;49;36;19;50;34;21;32;9;43;3
7;13;45;27;39;46;25;58;11;22;14;42;54;17;8;15;38;20;62;61;64;4;56;12;40;23;41;31;44;47;10;5;6;18;35;57;30;53;26;1;37;59;63;33;28;48;55;60;52;24;2;51;29;16;49;36;19;50;34;21;32;9;43;3;1;240
1;240;7;13;45;27;39;46;25;58;11;22;14;42;54;17;8;15;38;20;62;61;64;4;56;12;40;23;41;31;44;47;10;5;6;18;35;57;30;53;26;1;37;59;63;33;28;48;55;60;52;24;2;51;29;16;49;36;19;50;34;21;32;9;43;3
7;13;45;27;39;46;25;58;11;22;14;42;54;17;8;15;38;20;62;61;64;4;56;12;40;23;41;31;44;47;10;5;6;2;35;57;30;53;26;1;37;59;63;33;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3;1;240
1;240;7;13;45;27;39;46;25;58;11;22;14;42;54;17;8;15;38;20;62;61;64;4;56;12;40;23;41;31;44;47;10;5;6;2;35;57;30;53;26;1;37;59;63;33;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3
35;13;45;27;39;46;25;58;11;22;14;42;54;17;8;15;38;20;62;61;64;4;56;12;40;23;41;31;44;47;10;5;6;2;7;57;30;53;26;1;37;59;63;33;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3;1;236
1;236;35;13;45;27;39;46;25;58;11;22;14;42;54;17;8;15;38;20;62;61;64;4;56;12;40;23;41;31;44;47;10;5;6;2;7;57;30;53;26;1;37;59;63;33;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3
35;13;45;27;39;46;25;58;11;22;14;42;54;17;8;15;38;33;62;61;64;4;56;12;40;23;41;31;44;47;10;5;6;2;7;57;30;53;26;1;37;59;63;20;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3;1;232
1;232;35;13;45;27;39;46;25;58;11;22;14;42;54;17;8;15;38;33;62;61;64;4;56;12;40;23;41;31;44;47;10;5;6;2;7;57;30;53;26;1;37;59;63;20;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3
35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;38;33;62;61;64;4;56;12;40;23;41;31;44;47;10;5;6;2;7;57;30;53;26;1;13;59;63;20;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3;1;232
1;232;35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;38;33;62;61;64;4;56;12;40;23;41;31;44;47;10;5;6;2;7;57;30;53;26;1;13;59;63;20;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3
35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;6;33;62;61;64;4;56;12;40;23;41;31;44;47;10;5;38;2;7;57;30;53;26;1;13;59;63;20;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3;1;230
2;230;35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;6;33;62;61;64;4;56;12;40;23;41;31;44;47;10;5;38;2;7;57;30;53;26;1;13;59;63;20;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3
35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;6;33;62;61;23;4;56;12;40;64;41;31;44;47;10;5;38;2;7;57;30;53;26;1;13;59;63;20;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3;2;230
2;230;35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;6;33;62;61;23;4;56;12;40;64;41;31;44;47;10;5;38;2;7;57;30;53;26;1;13;59;63;20;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3
35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;6;33;62;61;23;4;56;12;40;64;41;31;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;20;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3;2;230
2;230;35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;6;33;62;61;23;4;56;12;40;64;41;31;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;20;28;48;55;60;52;24;18;51;29;16;49;36;19;50;34;21;32;9;43;3
35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;6;33;62;61;23;51;56;12;40;64;41;31;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;20;28;48;55;60;52;24;18;4;29;16;49;36;19;50;34;21;32;9;43;3;2;228
2;228;35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;6;33;62;61;23;51;56;12;40;64;41;31;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;20;28;48;55;60;52;24;18;4;29;16;49;36;19;50;34;21;32;9;43;3
35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;6;33;62;61;23;51;56;12;40;64;41;31;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;20;28;48;55;60;29;24;18;4;52;16;49;36;19;50;34;21;32;9;43;3;2;228
2;228;35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;6;33;62;61;23;51;56;12;40;64;41;31;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;20;28;48;55;60;29;24;18;4;52;16;49;36;19;50;34;21;32;9;43;3
35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;6;33;62;61;23;51;56;12;40;64;41;9;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;20;28;48;55;60;29;24;18;4;52;16;49;36;19;50;34;21;32;31;43;3;2;228
2;228;35;37;45;27;39;46;25;58;11;22;14;42;54;17;8;15;6;33;62;61;23;51;56;12;40;64;41;9;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;20;28;48;55;60;29;24;18;4;52;16;49;36;19;50;34;21;32;31;43;3
35;37;45;27;39;31;25;58;11;22;14;42;54;17;8;15;6;33;62;61;23;51;56;12;40;64;41;9;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;20;28;48;55;60;29;24;18;4;52;16;49;36;19;50;34;21;32;46;43;3;2;240
2;240;35;37;45;27;39;31;25;58;11;22;14;42;54;17;8;15;6;33;62;61;23;51;56;12;40;64;41;9;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;20;28;48;55;60;29;24;18;4;52;16;49;36;19;50;34;21;32;46;43;3
35;37;45;27;39;31;25;58;11;22;14;18;54;17;8;15;6;33;62;61;23;51;56;12;40;64;41;9;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;20;28;48;55;60;29;24;42;4;52;16;49;36;19;50;34;21;32;46;43;3;2;240
2;240;35;37;45;27;39;31;25;58;11;22;14;18;54;17;8;15;6;33;62;61;23;51;56;12;40;64;41;9;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;20;28;48;55;60;29;24;42;4;52;16;49;36;19;50;34;21;32;46;43;3
35;37;20;27;39;31;25;58;11;22;14;18;54;17;8;15;6;33;62;61;23;51;56;12;40;64;41;9;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;45;28;48;55;60;29;24;42;4;52;16;49;36;19;50;34;21;32;46;43;3;2;248
2;248;35;37;20;27;39;31;25;58;11;22;14;18;54;17;8;15;6;33;62;61;23;51;56;12;40;64;41;9;44;47;10;5;38;2;7;13;30;53;26;1;57;59;63;45;28;48;55;60;29;24;42;4;52;16;49;36;19;50;34;21;32;46;43;3
35;37;20;27;39;31;25;58;11;22;14;18;54;17;8;15;6;33;62;5;23;51;56;12;40;64;41;9;44;47;10;61;38;2;7;13;30;53;26;1;57;59;63;45;28;48;55;60;29;24;42;4;52;16;49;36;19;50;34;21;32;46;43;3;2;252
2;252;35;37;20;27;39;31;25;58;11;22;14;18;54;17;8;15;6;33;62;5;23;51;56;12;40;64;41;9;44;47;10;61;38;2;7;13;30;53;26;1;57;59;63;45;28;48;55;60;29;24;42;4;52;16;49;36;19;50;34;21;32;46;43;3
35;37;20;27;39;31;25;58;11;22;14;18;54;17;8;15;6;33;62;5;23;51;56;12;40;64;41;9;44;47;10;61;38;2;7;13;30;53;26;1;57;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;19;50;34;21;32;46;43;3;2;252
2;252;35;37;20;27;39;31;25;58;11;22;14;18;54;17;8;15;6;33;62;5;23;51;56;12;40;64;41;9;44;47;10;61;38;2;7;13;30;53;26;1;57;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;19;50;34;21;32;46;43;3
35;37;20;27;39;31;25;58;11;22;14;18;54;17;8;15;6;33;62;5;23;51;56;12;40;64;57;9;44;47;10;61;38;2;7;13;30;53;26;1;41;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;19;50;34;21;32;46;43;3;2;248
2;248;35;37;20;27;39;31;25;58;11;22;14;18;54;17;8;15;6;33;62;5;23;51;56;12;40;64;57;9;44;47;10;61;38;2;7;13;30;53;26;1;41;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;19;50;34;21;32;46;43;3
35;37;20;27;39;31;25;58;11;41;14;18;54;17;8;15;6;33;62;5;23;51;56;12;40;64;57;9;44;47;10;61;38;2;7;13;30;53;26;1;22;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;19;50;34;21;32;46;43;3;2;264
2;264;35;37;20;27;39;31;25;58;11;41;14;18;54;17;8;15;6;33;62;5;23;51;56;12;40;64;57;9;44;47;10;61;38;2;7;13;30;53;26;1;22;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;19;50;34;21;32;46;43;3
35;54;20;27;39;31;25;58;11;41;14;18;37;17;8;15;6;33;62;5;23;51;56;12;40;64;57;9;44;47;10;61;38;2;7;13;30;53;26;1;22;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;19;50;34;21;32;46;43;3;2;264
2;264;35;54;20;27;39;31;25;58;11;41;14;18;37;17;8;15;6;33;62;5;23;51;56;12;40;64;57;9;44;47;10;61;38;2;7;13;30;53;26;1;22;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;19;50;34;21;32;46;43;3
35;54;20;27;39;31;25;58;11;41;14;18;37;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;44;47;10;61;38;2;57;13;30;53;26;1;22;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;19;50;34;21;32;46;43;3;2;278
2;278;35;54;20;27;39;31;25;58;11;41;14;18;37;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;44;47;10;61;38;2;57;13;30;53;26;1;22;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;19;50;34;21;32;46;43;3
35;54;20;27;39;31;25;58;11;41;14;19;37;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;44;47;10;61;38;2;57;13;30;53;26;1;22;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3;2;278
2;278;35;54;20;27;39;31;25;58;11;41;14;19;37;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;44;47;10;61;38;2;57;13;30;53;26;1;22;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3
35;54;20;27;39;31;25;58;11;41;14;19;44;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;37;47;10;61;38;2;57;13;30;53;26;1;22;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3;2;278
2;278;35;54;20;27;39;31;25;58;11;41;14;19;44;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;37;47;10;61;38;2;57;13;30;53;26;1;22;59;63;45;28;48;55;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3
35;54;20;27;39;31;25;58;11;41;14;19;44;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;55;47;10;61;38;2;57;13;30;53;26;1;22;59;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3;2;278
2;278;35;54;20;27;39;31;25;58;11;41;14;19;44;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;55;47;10;61;38;2;57;13;30;53;26;1;22;59;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3
35;54;20;59;39;31;25;58;11;41;14;19;44;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;55;47;10;61;38;2;57;13;30;53;26;1;22;27;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3;2;278
2;278;35;54;20;59;39;31;25;58;11;41;14;19;44;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;55;47;10;61;38;2;57;13;30;53;26;1;22;27;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3
35;54;20;59;39;31;25;58;11;41;14;19;44;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;55;47;10;13;38;2;57;61;30;53;26;1;22;27;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3;2;274
2;274;35;54;20;59;39;31;25;58;11;41;14;19;44;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;55;47;10;13;38;2;57;61;30;53;26;1;22;27;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3
35;54;27;59;39;31;25;58;11;41;14;19;44;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;55;47;10;13;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3;2;270
3;270;35;54;27;59;39;31;25;58;11;41;14;19;44;17;8;15;6;33;62;5;23;51;56;12;40;64;7;9;55;47;10;13;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3
35;54;27;59;39;31;25;58;11;41;14;19;44;17;13;15;6;33;62;5;23;51;56;12;40;64;7;9;55;47;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3;3;254
3;254;35;54;27;59;39;31;25;58;11;41;14;19;44;17;13;15;6;33;62;5;23;51;56;12;40;64;7;9;55;47;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;50;34;21;32;46;43;3
35;54;27;50;39;31;25;58;11;41;14;19;44;17;13;15;6;33;62;5;23;51;56;12;40;64;7;9;55;47;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;59;34;21;32;46;43;3;3;254
3;254;35;54;27;50;39;31;25;58;11;41;14;19;44;17;13;15;6;33;62;5;23;51;56;12;40;64;7;9;55;47;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;59;34;21;32;46;43;3
35;54;27;50;39;31;25;58;11;41;14;19;44;17;13;15;6;33;62;5;64;51;56;12;40;23;7;9;55;47;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;59;34;21;32;46;43;3;3;254
3;254;35;54;27;50;39;31;25;58;11;41;14;19;44;17;13;15;6;33;62;5;64;51;56;12;40;23;7;9;55;47;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;59;34;21;32;46;43;3
35;54;27;50;39;31;25;58;11;41;14;19;44;17;13;62;6;33;15;5;64;51;56;12;40;23;7;9;55;47;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;59;34;21;32;46;43;3;3;258
3;258;35;54;27;50;39;31;25;58;11;41;14;19;44;17;13;62;6;33;15;5;64;51;56;12;40;23;7;9;55;47;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;59;34;21;32;46;43;3
35;54;27;50;39;31;25;58;11;41;14;19;44;17;13;62;6;33;15;5;64;51;56;12;40;23;7;9;55;3;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;59;34;21;32;46;43;47;3;254
3;254;35;54;27;50;39;31;25;58;11;41;14;19;44;17;13;62;6;33;15;5;64;51;56;12;40;23;7;9;55;3;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;59;34;21;32;46;43;47
35;54;27;50;39;31;25;58;11;41;21;19;44;17;13;62;6;33;15;5;64;51;56;12;40;23;7;9;55;3;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;59;34;14;32;46;43;47;3;266
3;266;35;54;27;50;39;31;25;58;11;41;21;19;44;17;13;62;6;33;15;5;64;51;56;12;40;23;7;9;55;3;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;60;29;24;42;49;52;16;4;36;18;59;34;14;32;46;43;47
35;54;27;50;39;31;25;58;11;41;21;19;44;17;13;62;6;60;15;5;64;51;56;12;40;23;7;9;55;3;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;33;29;24;42;49;52;16;4;36;18;59;34;14;32;46;43;47;3;266
3;266;35;54;27;50;39;31;25;58;11;41;21;19;44;17;13;62;6;60;15;5;64;51;56;12;40;23;7;9;55;3;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;33;29;24;42;49;52;16;4;36;18;59;34;14;32;46;43;47
35;54;27;50;39;31;25;58;11;41;21;19;44;17;13;62;6;60;15;5;64;51;56;12;40;23;7;9;55;3;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;33;29;24;42;49;36;16;4;52;18;59;34;14;32;46;43;47;3;266
3;266;35;54;27;50;39;31;25;58;11;41;21;19;44;17;13;62;6;60;15;5;64;51;56;12;40;23;7;9;55;3;10;8;38;2;57;61;30;53;26;1;22;20;63;45;28;48;37;33;29;24;42;49;36;16;4;52;18;59;34;14;32;46;43;47
35;54;27;50;39;31;25;58;11;41;21;19;44;17;13;62;6;60;15;5;64;51;56;12;40;23;7;38;55;3;10;8;9;2;57;61;30;53;26;1;22;20;63;45;28;48;37;33;29;24;42;49;36;16;4;52;18;59;34;14;32;46;43;47;3;262
3;262;35;54;27;50;39;31;25;58;11;41;21;19;44;17;13;62;6;60;15;5;64;51;56;12;40;23;7;38;55;3;10;8;9;2;57;61;30;53;26;1;22;20;63;45;28;48;37;33;29;24;42;49;36;16;4;52;18;59;34;14;32;46;43;47
35;54;27;50;39;31;25;58;11;41;21;19;44;17;13;62;6;60;15;5;64;51;56;12;40;23;7;36;55;3;10;8;9;2;57;61;30;53;26;1;22;20;63;45;28;48;37;33;29;24;42;49;38;16;4;52;18;59;34;14;32;46;43;47;3;258
3;258;35;54;27;50;39;31;25;58;11;41;21;19;44;17;13;62;6;60;15;5;64;51;56;12;40;23;7;36;55;3;10;8;9;2;57;61;30;53;26;1;22;20;63;45;28;48;37;33;29;24;42;49;38;16;4;52;18;59;34;14;32;46;43;47
35;59;27;50;39;31;25;58;11;41;21;19;44;17;13;62;6;60;15;5;64;51;56;12;40;23;7;36;55;3;10;8;9;2;57;61;30;53;26;1;22;20;63;45;28;48;37;33;29;24;42;49;38;16;4;52;18;54;34;14;32;46;43;47;3;258
