"X1";"X270";"X24";"X48";"X43";"X34";"X52";"X47";"X17";"X16";"X5";"X60";"X20";"X13";"X57";"X7";"X19";"X3";"X35";"X58";"X22";"X53";"X38";"X8";"X64";"X54";"X50";"X6";"X23";"X46";"X36";"X40";"X44";"X33";"X27";"X15";"X25";"X49";"X37";"X30";"X1.1";"X28";"X31";"X26";"X29";"X12";"X55";"X21";"X39";"X51";"X14";"X11";"X2";"X9";"X42";"X32";"X59";"X18";"X62";"X45";"X56";"X4";"X41";"X63";"X10";"X61"
1;294;24;48;43;34;52;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;23;46;36;40;44;33;27;1;25;49;37;30;15;28;31;26;29;12;55;21;39;51;14;11;2;9;42;32;56;18;38;45;59;4;41;63;10;61
24;48;43;34;52;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;23;46;36;40;44;33;27;1;25;49;37;30;15;28;31;26;29;21;55;12;39;51;14;11;2;9;42;32;56;18;38;45;59;4;41;63;10;61;1;294
1;294;24;48;43;34;52;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;23;46;36;40;44;33;27;1;25;49;37;30;15;28;31;26;29;21;55;12;39;51;14;11;2;9;42;32;56;18;38;45;59;4;41;63;10;61
24;48;43;34;52;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;37;46;36;40;44;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;39;51;14;11;2;9;42;32;56;18;38;45;59;4;41;63;10;61;1;286
1;286;24;48;43;34;52;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;37;46;36;40;44;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;39;51;14;11;2;9;42;32;56;18;38;45;59;4;41;63;10;61
24;48;52;34;43;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;37;46;36;40;44;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;39;51;14;11;2;9;42;32;56;18;38;45;59;4;41;63;10;61;1;284
1;284;24;48;52;34;43;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;37;46;36;40;44;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;39;51;14;11;2;9;42;32;56;18;38;45;59;4;41;63;10;61
24;48;52;34;43;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;37;46;36;40;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;2;9;42;32;56;18;38;45;59;4;41;63;10;61;1;284
1;284;24;48;52;34;43;47;19;16;5;60;20;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;37;46;36;40;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;2;9;42;32;56;18;38;45;59;4;41;63;10;61
24;48;52;34;43;47;19;16;5;60;32;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;37;46;36;40;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;2;9;42;20;56;18;38;45;59;4;41;63;10;61;1;284
1;284;24;48;52;34;43;47;19;16;5;60;32;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;37;46;36;40;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;2;9;42;20;56;18;38;45;59;4;41;63;10;61
24;48;52;34;43;47;19;16;5;60;32;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;37;40;36;46;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;2;9;42;20;56;18;38;45;59;4;41;63;10;61;1;288
1;288;24;48;52;34;43;47;19;16;5;60;32;13;7;57;17;3;35;58;22;53;62;8;64;54;50;6;37;40;36;46;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;2;9;42;20;56;18;38;45;59;4;41;63;10;61
24;48;52;34;43;47;19;16;5;60;32;13;7;57;17;61;35;58;22;53;62;8;64;54;50;6;37;40;36;46;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;2;9;42;20;56;18;38;45;59;4;41;63;10;3;1;288
1;288;24;48;52;34;43;47;19;16;5;60;32;13;7;57;17;61;35;58;22;53;62;8;64;54;50;6;37;40;36;46;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;2;9;42;20;56;18;38;45;59;4;41;63;10;3
24;48;52;38;43;47;19;16;5;60;32;13;7;57;17;61;35;58;22;53;62;8;64;54;50;6;37;40;36;46;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;2;9;42;20;56;18;34;45;59;4;41;63;10;3;1;288
1;288;24;48;52;38;43;47;19;16;5;60;32;13;7;57;17;61;35;58;22;53;62;8;64;54;50;6;37;40;36;46;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;2;9;42;20;56;18;34;45;59;4;41;63;10;3
24;48;52;38;43;47;19;16;5;60;32;13;7;57;17;61;2;58;22;53;62;8;64;54;50;6;37;40;36;46;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;35;9;42;20;56;18;34;45;59;4;41;63;10;3;1;284
1;284;24;48;52;38;43;47;19;16;5;60;32;13;7;57;17;61;2;58;22;53;62;8;64;54;50;6;37;40;36;46;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;35;9;42;20;56;18;34;45;59;4;41;63;10;3
24;48;46;38;43;47;19;16;5;60;32;13;7;57;17;61;2;58;22;53;62;8;64;54;50;6;37;40;36;52;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;35;9;42;20;56;18;34;45;59;4;41;63;10;3;1;284
1;284;24;48;46;38;43;47;19;16;5;60;32;13;7;57;17;61;2;58;22;53;62;8;64;54;50;6;37;40;36;52;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;14;11;35;9;42;20;56;18;34;45;59;4;41;63;10;3
24;48;46;38;43;47;19;16;5;14;32;13;7;57;17;61;2;58;22;53;62;8;64;54;50;6;37;40;36;52;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;60;11;35;9;42;20;56;18;34;45;59;4;41;63;10;3;1;268
1;268;24;48;46;38;43;47;19;16;5;14;32;13;7;57;17;61;2;58;22;53;62;8;64;54;50;6;37;40;36;52;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;60;11;35;9;42;20;56;18;34;45;59;4;41;63;10;3
24;48;46;38;43;47;19;16;5;14;32;13;7;57;17;61;2;58;22;53;62;8;64;54;50;6;37;40;36;52;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;60;11;35;9;42;20;3;18;34;45;59;4;41;63;10;56;1;268
1;268;24;48;46;38;43;47;19;16;5;14;32;13;7;57;17;61;2;58;22;53;62;8;64;54;50;6;37;40;36;52;39;33;27;1;25;49;23;30;15;28;31;26;29;21;55;12;44;51;60;11;35;9;42;20;3;18;34;45;59;4;41;63;10;56
24;48;46;38;43;47;19;16;5;14;32;13;7;57;17;61;2;58;22;53;62;8;64;54;50;6;37;40;36;52;39;33;27;1;25;49;23;30;15;28;31;26;21;29;55;12;44;51;60;11;35;9;42;20;3;18;34;45;59;4;41;63;10;56;1;264
1;264;24;48;46;38;43;47;19;16;5;14;32;13;7;57;17;61;2;58;22;53;62;8;64;54;50;6;37;40;36;52;39;33;27;1;25;49;23;30;15;28;31;26;21;29;55;12;44;51;60;11;35;9;42;20;3;18;34;45;59;4;41;63;10;56
50;48;46;38;43;47;19;16;5;14;32;13;7;57;17;61;2;58;22;53;62;8;64;54;24;6;37;40;36;52;39;33;27;1;25;49;23;30;15;28;31;26;21;29;55;12;44;51;60;11;35;9;42;20;3;18;34;45;59;4;41;63;10;56;1;264
1;264;50;48;46;38;43;47;19;16;5;14;32;13;7;57;17;61;2;58;22;53;62;8;64;54;24;6;37;40;36;52;39;33;27;1;25;49;23;30;15;28;31;26;21;29;55;12;44;51;60;11;35;9;42;20;3;18;34;45;59;4;41;63;10;56
50;48;46;38;43;47;19;16;5;14;32;13;7;57;17;61;2;58;22;53;62;8;64;15;24;6;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;21;29;55;12;44;51;60;11;35;9;42;20;3;18;34;45;59;4;41;63;10;56;1;258
2;258;50;48;46;38;43;47;19;16;5;14;32;13;7;57;17;61;2;58;22;53;62;8;64;15;24;6;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;21;29;55;12;44;51;60;11;35;9;42;20;3;18;34;45;59;4;41;63;10;56
50;48;46;38;43;47;19;16;5;14;32;13;7;35;17;61;2;58;22;53;62;8;64;15;24;6;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;21;29;55;12;44;51;60;11;57;9;42;20;3;18;34;45;59;4;41;63;10;56;2;258
2;258;50;48;46;38;43;47;19;16;5;14;32;13;7;35;17;61;2;58;22;53;62;8;64;15;24;6;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;21;29;55;12;44;51;60;11;57;9;42;20;3;18;34;45;59;4;41;63;10;56
50;48;46;38;43;47;19;16;5;14;32;13;7;35;17;61;2;58;22;53;62;8;64;15;21;6;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;55;12;44;51;60;11;57;9;42;20;3;18;34;45;59;4;41;63;10;56;2;258
2;258;50;48;46;38;43;47;19;16;5;14;32;13;7;35;17;61;2;58;22;53;62;8;64;15;21;6;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;55;12;44;51;60;11;57;9;42;20;3;18;34;45;59;4;41;63;10;56
55;48;46;38;43;47;19;16;5;14;32;13;7;35;17;61;2;58;22;53;62;8;64;15;21;6;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;42;20;3;18;34;45;59;4;41;63;10;56;2;258
2;258;55;48;46;38;43;47;19;16;5;14;32;13;7;35;17;61;2;58;22;53;62;8;64;15;21;6;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;42;20;3;18;34;45;59;4;41;63;10;56
55;48;46;38;43;47;19;16;5;58;32;13;7;35;17;61;2;14;22;53;62;8;64;15;21;6;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;42;20;3;18;34;45;59;4;41;63;10;56;2;274
2;274;55;48;46;38;43;47;19;16;5;58;32;13;7;35;17;61;2;14;22;53;62;8;64;15;21;6;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;42;20;3;18;34;45;59;4;41;63;10;56
55;48;46;38;43;47;19;16;5;58;32;13;7;35;17;61;2;14;22;53;62;8;64;15;21;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;42;20;3;18;34;45;59;4;41;6;10;56;2;274
2;274;55;48;46;38;43;47;19;16;5;58;32;13;7;35;17;61;2;14;22;53;62;8;64;15;21;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;42;20;3;18;34;45;59;4;41;6;10;56
55;48;46;38;21;47;19;16;5;58;32;13;7;35;17;61;2;14;22;53;62;8;64;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;42;20;3;18;34;45;59;4;41;6;10;56;2;274
2;274;55;48;46;38;21;47;19;16;5;58;32;13;7;35;17;61;2;14;22;53;62;8;64;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;42;20;3;18;34;45;59;4;41;6;10;56
55;48;46;59;21;47;19;16;5;58;32;13;7;35;17;61;2;14;22;53;62;8;64;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;42;20;3;18;34;45;38;4;41;6;10;56;2;274
2;274;55;48;46;59;21;47;19;16;5;58;32;13;7;35;17;61;2;14;22;53;62;8;64;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;42;20;3;18;34;45;38;4;41;6;10;56
55;48;46;59;21;47;19;16;5;58;32;13;22;35;17;61;2;14;7;53;62;8;64;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;42;20;3;18;34;45;38;4;41;6;10;56;2;270
2;270;55;48;46;59;21;47;19;16;5;58;32;13;22;35;17;61;2;14;7;53;62;8;64;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;42;20;3;18;34;45;38;4;41;6;10;56
55;48;46;59;21;47;19;16;5;58;32;13;22;35;17;61;2;14;7;53;62;8;64;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;3;20;42;18;34;45;38;4;41;6;10;56;2;270
2;270;55;48;46;59;21;47;19;16;5;58;32;13;22;35;17;61;2;14;7;53;62;8;64;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;24;29;50;12;44;51;60;11;57;9;3;20;42;18;34;45;38;4;41;6;10;56
55;48;46;59;21;47;19;16;5;58;32;13;22;35;17;61;24;14;7;53;62;8;64;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;60;11;57;9;3;20;42;18;34;45;38;4;41;6;10;56;2;258
2;258;55;48;46;59;21;47;19;16;5;58;32;13;22;35;17;61;24;14;7;53;62;8;64;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;60;11;57;9;3;20;42;18;34;45;38;4;41;6;10;56
55;48;46;59;21;47;19;64;5;58;32;13;22;35;17;61;24;14;7;53;62;8;16;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;60;11;57;9;3;20;42;18;34;45;38;4;41;6;10;56;2;262
2;262;55;48;46;59;21;47;19;64;5;58;32;13;22;35;17;61;24;14;7;53;62;8;16;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;60;11;57;9;3;20;42;18;34;45;38;4;41;6;10;56
55;48;46;59;21;47;19;64;5;58;32;13;22;35;17;61;24;14;7;53;62;8;16;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;60;11;57;9;3;20;42;41;34;45;38;4;18;6;10;56;2;262
2;262;55;48;46;59;21;47;19;64;5;58;32;13;22;35;17;61;24;14;7;53;62;8;16;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;60;11;57;9;3;20;42;41;34;45;38;4;18;6;10;56
24;48;46;59;21;47;19;64;5;58;32;13;22;35;17;61;55;14;7;53;62;8;16;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;60;11;57;9;3;20;42;41;34;45;38;4;18;6;10;56;2;262
2;262;24;48;46;59;21;47;19;64;5;58;32;13;22;35;17;61;55;14;7;53;62;8;16;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;60;11;57;9;3;20;42;41;34;45;38;4;18;6;10;56
24;48;46;59;21;47;19;64;5;58;32;13;22;35;17;61;55;14;7;53;62;8;16;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56;2;262
2;262;24;48;46;59;21;47;19;64;5;58;32;13;22;35;17;61;55;14;7;53;62;8;16;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56
24;48;46;59;21;14;19;64;5;58;32;13;22;35;17;61;55;47;7;53;62;8;16;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56;2;270
2;270;24;48;46;59;21;14;19;64;5;58;32;13;22;35;17;61;55;47;7;53;62;8;16;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56
24;48;46;59;21;14;19;64;5;58;32;13;22;35;17;61;55;47;7;16;62;8;53;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56;2;280
2;280;24;48;46;59;21;14;19;64;5;58;32;13;22;35;17;61;55;47;7;16;62;8;53;15;43;63;37;40;36;52;39;33;27;1;25;49;23;30;54;28;31;26;2;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56
24;48;46;59;21;14;19;64;5;58;32;13;22;35;17;61;55;47;7;16;62;8;53;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;2;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56;2;296
2;296;24;48;46;59;21;14;19;64;5;58;32;13;22;35;17;61;55;47;7;16;62;8;53;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;2;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56
24;48;46;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;62;8;53;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;61;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56;2;296
2;296;24;48;46;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;62;8;53;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;61;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56
24;48;62;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;53;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;61;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56;2;294
2;294;24;48;62;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;53;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;61;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56
24;48;62;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56;2;294
3;294;24;48;62;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;29;50;12;44;51;11;60;57;9;3;20;42;41;34;45;38;4;18;6;10;56
24;48;62;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;29;50;12;44;51;11;60;57;9;3;20;42;41;34;4;38;45;18;6;10;56;3;294
3;294;24;48;62;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;29;50;12;44;51;11;60;57;9;3;20;42;41;34;4;38;45;18;6;10;56
24;48;62;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;29;50;12;44;51;11;4;57;9;3;20;42;41;34;60;38;45;18;6;10;56;3;294
3;294;24;48;62;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;29;50;12;44;51;11;4;57;9;3;20;42;41;34;60;38;45;18;6;10;56
29;48;62;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;24;50;12;44;51;11;4;57;9;3;20;42;41;34;60;38;45;18;6;10;56;3;290
3;290;29;48;62;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;24;50;12;44;51;11;4;57;9;3;20;42;41;34;60;38;45;18;6;10;56
29;48;62;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;24;50;12;44;51;11;60;57;9;3;20;42;41;34;4;38;45;18;6;10;56;3;290
3;290;29;48;62;59;21;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;24;50;12;44;51;11;60;57;9;3;20;42;41;34;4;38;45;18;6;10;56
29;48;62;59;12;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;24;50;21;44;51;11;60;57;9;3;20;42;41;34;4;38;45;18;6;10;56;3;278
3;278;29;48;62;59;12;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;24;50;21;44;51;11;60;57;9;3;20;42;41;34;4;38;45;18;6;10;56
29;48;62;59;12;14;19;64;5;58;42;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;24;50;21;44;51;11;60;57;9;3;20;32;41;34;4;38;45;18;6;10;56;3;290
3;278;29;48;62;59;12;14;19;64;5;58;32;13;22;35;17;2;55;47;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;49;37;30;54;28;31;26;53;24;50;21;44;51;11;60;57;9;3;20;42;41;34;4;38;45;18;6;10;56
29;48;62;59;12;14;19;64;5;58;32;13;22;35;17;2;55;49;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;47;37;30;54;28;31;26;53;24;50;21;44;51;11;60;57;9;3;20;42;41;34;4;38;45;18;6;10;56;3;278
3;278;29;48;62;59;12;14;19;64;5;58;32;13;22;35;17;2;55;49;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;47;37;30;54;28;31;26;53;24;50;21;44;51;11;60;57;9;3;20;42;41;34;4;38;45;18;6;10;56
29;49;62;59;12;14;19;64;5;58;32;13;22;35;17;2;55;48;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;47;37;30;54;28;31;26;53;24;50;21;44;51;11;60;57;9;3;20;42;41;34;4;38;45;18;6;10;56;3;278
3;278;29;49;62;59;12;14;19;64;5;58;32;13;22;35;17;2;55;48;7;16;46;8;61;15;43;63;23;40;36;52;39;33;27;1;25;47;37;30;54;28;31;26;53;24;50;21;44;51;11;60;57;9;3;20;42;41;34;4;38;45;18;6;10;56
29;49;62;59;12;14;19;64;5;58;32;13;22;35;17;2;55;48;7;16;46;8;61;15;43;63;23;45;36;52;39;33;27;1;25;47;37;30;54;28;31;26;53;24;50;21;44;51;11;60;57;9;3;20;42;41;34;4;38;40;18;6;10;56;3;282
3;282;29;49;62;59;12;14;19;64;5;58;32;13;22;35;17;2;55;48;7;16;46;8;61;15;43;63;23;45;36;52;39;33;27;1;25;47;37;30;54;28;31;26;53;24;50;21;44;51;11;60;57;9;3;20;42;41;34;4;38;40;18;6;10;56
29;49;62;59;12;14;19;64;5;58;32;13;22;35;17;2;55;48;7;16;46;8;61;15;43;63;23;45;36;52;39;33;42;1;25;47;37;30;54;28;31;26;53;24;50;21;44;51;11;60;57;9;3;20;27;41;34;4;38;40;18;6;10;56;3;286
3;286;29;49;62;59;12;14;19;64;5;58;32;13;22;35;17;2;55;48;7;16;46;8;61;15;43;63;23;45;36;52;39;33;42;1;25;47;37;30;54;28;31;26;53;24;50;21;44;51;11;60;57;9;3;20;27;41;34;4;38;40;18;6;10;56
29;49;62;59;12;14;19;64;5;58;32;13;22;35;17;2;55;48;7;16;46;8;9;15;43;63;23;45;36;52;39;33;42;1;25;47;37;30;54;28;31;26;53;24;50;21;44;51;11;60;57;61;3;20;27;41;34;4;38;40;18;6;10;56;3;286
