"X1";"X270";"X24";"X61";"X1.1";"X43";"X44";"X37";"X35";"X59";"X27";"X64";"X63";"X60";"X17";"X23";"X25";"X32";"X22";"X46";"X12";"X56";"X28";"X14";"X3";"X16";"X54";"X2";"X11";"X45";"X8";"X47";"X58";"X42";"X49";"X53";"X29";"X10";"X40";"X57";"X15";"X52";"X50";"X7";"X20";"X18";"X19";"X31";"X36";"X5";"X21";"X38";"X30";"X33";"X51";"X62";"X9";"X41";"X6";"X39";"X13";"X55";"X26";"X34";"X4";"X48"
1;270;24;61;1;43;44;48;35;40;27;16;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;11;9;8;47;58;42;49;53;29;10;59;64;15;52;50;7;20;18;19;31;36;5;21;38;30;33;51;62;45;41;6;39;13;55;26;34;4;37
24;61;1;43;44;48;35;40;27;16;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;11;62;8;47;58;42;49;53;29;10;59;64;15;52;50;7;20;18;19;31;36;5;21;38;30;33;51;9;45;41;6;39;13;55;26;34;4;37;1;270
1;270;24;61;1;43;44;48;35;40;27;16;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;11;62;8;47;58;42;49;53;29;10;59;64;15;52;50;7;20;18;19;31;36;5;21;38;30;33;51;9;45;41;6;39;13;55;26;34;4;37
24;61;1;43;44;48;35;40;27;16;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;52;62;8;47;58;42;49;53;29;10;59;64;15;11;50;7;20;18;19;31;36;5;21;38;30;33;51;9;45;41;6;39;13;55;26;34;4;37;1;286
1;286;24;61;1;43;44;48;35;40;27;16;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;52;62;8;47;58;42;49;53;29;10;59;64;15;11;50;7;20;18;19;31;36;5;21;38;30;33;51;9;45;41;6;39;13;55;26;34;4;37
24;61;1;43;44;48;35;40;27;16;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;52;62;8;47;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;38;30;33;51;9;45;41;6;39;13;55;26;34;4;37;1;262
1;262;24;61;1;43;44;48;35;40;27;16;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;52;62;8;47;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;38;30;33;51;9;45;41;6;39;13;55;26;34;4;37
24;61;1;43;47;48;35;40;27;16;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;52;62;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;38;30;33;51;9;45;41;6;39;13;55;26;34;4;37;1;262
1;262;24;61;1;43;47;48;35;40;27;16;63;60;17;23;25;32;22;46;12;56;28;14;3;57;54;2;52;62;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;38;30;33;51;9;45;41;6;39;13;55;26;34;4;37
24;61;1;43;47;28;35;40;27;16;63;60;17;23;25;32;22;46;12;56;48;14;3;57;54;2;52;62;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;38;30;33;51;9;45;41;6;39;13;55;26;34;4;37;1;250
1;250;24;61;1;43;47;28;35;40;27;16;63;60;17;23;25;32;22;46;12;56;48;14;3;57;54;2;52;62;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;38;30;33;51;9;45;41;6;39;13;55;26;34;4;37
24;61;1;43;47;28;35;40;27;16;63;60;17;23;25;32;22;46;12;56;48;62;3;57;54;2;52;14;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;38;30;33;51;9;45;41;6;39;13;55;26;34;4;37;1;250
1;250;24;61;1;43;47;28;35;40;27;16;63;60;17;23;25;32;22;46;12;56;48;62;3;57;54;2;52;14;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;38;30;33;51;9;45;41;6;39;13;55;26;34;4;37
24;61;1;43;47;28;35;40;27;16;63;60;17;23;25;32;22;46;12;56;48;62;3;57;54;2;52;45;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;38;30;33;51;9;14;41;6;39;13;55;26;34;4;37;1;250
1;250;24;61;1;43;47;28;35;40;27;16;63;60;17;23;25;32;22;46;12;56;48;62;3;57;54;2;52;45;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;38;30;33;51;9;14;41;6;39;13;55;26;34;4;37
24;61;1;43;47;28;35;40;27;16;63;60;17;32;25;23;22;46;12;56;48;62;3;57;54;2;52;45;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;38;30;33;51;9;14;41;6;39;13;55;26;34;4;37;1;234
1;234;24;61;1;43;47;28;35;40;27;16;63;60;17;32;25;23;22;46;12;56;48;62;3;57;54;2;52;45;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;38;30;33;51;9;14;41;6;39;13;55;26;34;4;37
24;61;1;43;47;28;35;40;27;16;63;60;17;32;25;23;22;46;12;56;48;62;3;57;54;2;52;45;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;39;30;33;51;9;14;41;6;38;13;55;26;34;4;37;1;234
1;234;24;61;1;43;47;28;35;40;27;16;63;60;17;32;25;23;22;46;12;56;48;62;3;57;54;2;52;45;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;39;30;33;51;9;14;41;6;38;13;55;26;34;4;37
24;61;47;43;1;28;35;40;27;16;63;60;17;32;25;23;22;46;12;56;48;62;3;57;54;2;52;45;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;39;30;33;51;9;14;41;6;38;13;55;26;34;4;37;1;230
1;230;24;61;47;43;1;28;35;40;27;16;63;60;17;32;25;23;22;46;12;56;48;62;3;57;54;2;52;45;8;44;58;42;49;53;29;10;59;64;36;11;50;7;20;18;19;31;15;5;21;39;30;33;51;9;14;41;6;38;13;55;26;34;4;37
24;61;47;43;1;28;35;40;27;16;63;60;17;32;25;23;22;46;12;56;48;62;3;57;54;2;52;45;8;44;58;42;49;53;29;19;59;64;36;11;50;7;20;18;10;31;15;5;21;39;30;33;51;9;14;41;6;38;13;55;26;34;4;37;1;230
1;230;24;61;47;43;1;28;35;40;27;16;63;60;17;32;25;23;22;46;12;56;48;62;3;57;54;2;52;45;8;44;58;42;49;53;29;19;59;64;36;11;50;7;20;18;10;31;15;5;21;39;30;33;51;9;14;41;6;38;13;55;26;34;4;37
24;61;47;43;1;28;35;40;27;16;63;60;17;32;25;23;22;46;12;56;48;62;3;57;54;2;52;53;8;44;58;42;49;45;29;19;59;64;36;11;50;7;20;18;10;31;15;5;21;39;30;33;51;9;14;41;6;38;13;55;26;34;4;37;1;238
1;238;24;61;47;43;1;28;35;40;27;16;63;60;17;32;25;23;22;46;12;56;48;62;3;57;54;2;52;53;8;44;58;42;49;45;29;19;59;64;36;11;50;7;20;18;10;31;15;5;21;39;30;33;51;9;14;41;6;38;13;55;26;34;4;37
24;61;47;43;1;28;35;40;27;16;63;60;17;32;25;23;38;46;12;56;48;62;3;57;54;2;52;53;8;44;58;42;49;45;29;19;59;64;36;11;50;7;20;18;10;31;15;5;21;39;30;33;51;9;14;41;6;22;13;55;26;34;4;37;1;254
1;254;24;61;47;43;1;28;35;40;27;16;63;60;17;32;25;23;38;46;12;56;48;62;3;57;54;2;52;53;8;44;58;42;49;45;29;19;59;64;36;11;50;7;20;18;10;31;15;5;21;39;30;33;51;9;14;41;6;22;13;55;26;34;4;37
24;61;47;43;1;28;35;40;27;16;63;60;17;32;25;23;38;46;12;56;48;62;3;57;54;2;52;53;8;44;58;42;49;45;29;19;59;64;36;11;50;7;20;18;10;31;26;5;21;39;30;33;51;9;14;41;6;22;13;55;15;34;4;37;1;254
1;254;24;61;47;43;1;28;35;40;27;16;63;60;17;32;25;23;38;46;12;56;48;62;3;57;54;2;52;53;8;44;58;42;49;45;29;19;59;64;36;11;50;7;20;18;10;31;26;5;21;39;30;33;51;9;14;41;6;22;13;55;15;34;4;37
24;61;47;43;1;28;35;64;27;16;63;60;17;32;25;23;38;46;12;56;48;62;3;57;54;2;52;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;20;18;10;31;26;5;21;39;30;33;51;9;14;41;6;22;13;55;15;34;4;37;1;234
2;234;24;61;47;43;1;28;35;64;27;16;63;60;17;32;25;23;38;46;12;56;48;62;3;57;54;2;52;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;20;18;10;31;26;5;21;39;30;33;51;9;14;41;6;22;13;55;15;34;4;37
24;61;47;43;1;28;35;64;27;16;63;60;17;32;25;23;38;46;12;56;48;62;3;57;54;2;52;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;15;18;10;31;26;5;21;39;30;33;51;9;14;41;6;22;13;55;20;34;4;37;2;234
2;234;24;61;47;43;1;28;35;64;27;16;63;60;17;32;25;23;38;46;12;56;48;62;3;57;54;2;52;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;15;18;10;31;26;5;21;39;30;33;51;9;14;41;6;22;13;55;20;34;4;37
24;61;47;43;1;28;35;64;27;16;63;60;17;32;25;23;38;46;12;56;48;62;3;57;54;2;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;15;18;10;31;26;5;21;39;30;52;51;9;14;41;6;22;13;55;20;34;4;37;2;246
2;246;24;61;47;43;1;28;35;64;27;16;63;60;17;32;25;23;38;46;12;56;48;62;3;57;54;2;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;15;18;10;31;26;5;21;39;30;52;51;9;14;41;6;22;13;55;20;34;4;37
24;61;47;43;38;28;35;64;27;16;63;60;17;32;25;23;1;46;12;56;48;62;3;57;54;2;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;15;18;10;31;26;5;21;39;30;52;51;9;14;41;6;22;13;55;20;34;4;37;2;242
2;242;24;61;47;43;38;28;35;64;27;16;63;60;17;32;25;23;1;46;12;56;48;62;3;57;54;2;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;15;18;10;31;26;5;21;39;30;52;51;9;14;41;6;22;13;55;20;34;4;37
24;61;47;43;38;28;35;64;27;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;2;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;1;18;10;31;26;5;21;39;30;52;51;9;14;41;6;22;13;55;20;34;4;37;2;214
2;214;24;61;47;43;38;28;35;64;27;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;2;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;1;18;10;31;26;5;21;39;30;52;51;9;14;41;6;22;13;55;20;34;4;37
24;61;47;43;38;28;35;64;27;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;2;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;1;18;34;31;26;5;21;39;30;52;51;9;14;41;6;22;13;55;20;10;4;37;2;214
2;214;24;61;47;43;38;28;35;64;27;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;2;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;1;18;34;31;26;5;21;39;30;52;51;9;14;41;6;22;13;55;20;10;4;37
24;61;47;43;38;28;35;64;2;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;27;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;1;18;34;31;26;5;21;39;30;52;51;9;14;41;6;22;13;55;20;10;4;37;2;214
2;214;24;61;47;43;38;28;35;64;2;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;27;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;1;18;34;31;26;5;21;39;30;52;51;9;14;41;6;22;13;55;20;10;4;37
24;61;47;43;38;28;35;64;2;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;27;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;1;18;22;31;26;5;21;39;30;52;51;9;14;41;6;34;13;55;20;10;4;37;2;214
2;214;24;61;47;43;38;28;35;64;2;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;27;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;1;18;22;31;26;5;21;39;30;52;51;9;14;41;6;34;13;55;20;10;4;37
24;61;47;43;38;28;21;64;2;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;27;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;1;18;22;31;26;5;35;39;30;52;51;9;14;41;6;34;13;55;20;10;4;37;2;214
2;214;24;61;47;43;38;28;21;64;2;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;27;33;53;8;44;58;42;49;45;29;19;59;40;36;11;50;7;1;18;22;31;26;5;35;39;30;52;51;9;14;41;6;34;13;55;20;10;4;37
24;61;47;43;38;28;21;64;2;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;27;33;53;8;44;58;42;49;45;29;19;59;40;52;11;50;7;1;18;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37;2;220
2;220;24;61;47;43;38;28;21;64;2;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;27;33;53;8;44;58;42;49;45;29;19;59;40;52;11;50;7;1;18;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37
38;61;47;43;24;28;21;64;2;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;27;33;53;8;44;58;42;49;45;29;19;59;40;52;11;50;7;1;18;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37;2;220
2;220;38;61;47;43;24;28;21;64;2;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;27;33;53;8;44;58;42;49;45;29;19;59;40;52;11;50;7;1;18;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37
38;61;47;43;24;28;21;64;2;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;7;33;53;8;44;58;42;49;45;29;19;59;40;52;11;50;27;1;18;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37;2;220
2;220;38;61;47;43;24;28;21;64;2;16;63;60;17;32;25;23;15;46;12;56;48;62;3;57;54;7;33;53;8;44;58;42;49;45;29;19;59;40;52;11;50;27;1;18;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37
38;61;47;43;24;28;21;64;2;16;63;60;17;32;25;23;15;46;12;56;18;62;3;57;54;7;33;53;8;44;58;42;49;45;29;19;59;40;52;11;50;27;1;48;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37;2;196
2;196;38;61;47;43;24;28;21;64;2;16;63;60;17;32;25;23;15;46;12;56;18;62;3;57;54;7;33;53;8;44;58;42;49;45;29;19;59;40;52;11;50;27;1;48;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37
38;61;47;43;24;28;21;64;2;16;63;60;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;59;40;52;11;50;27;1;48;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37;2;196
2;196;38;61;47;43;24;28;21;64;2;16;63;60;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;59;40;52;11;50;27;1;48;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37
38;64;47;43;24;28;21;61;2;16;63;60;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;59;40;52;11;50;27;1;48;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37;2;212
2;212;38;64;47;43;24;28;21;61;2;16;63;60;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;59;40;52;11;50;27;1;48;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37
38;64;47;43;24;28;21;61;2;16;63;59;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;60;40;52;11;50;27;1;48;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37;2;212
2;212;38;64;47;43;24;28;21;61;2;16;63;59;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;60;40;52;11;50;27;1;48;22;31;26;5;35;39;30;36;51;9;14;41;6;34;13;55;20;10;4;37
38;64;47;43;24;28;21;61;2;16;63;59;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;36;51;1;14;41;6;34;13;55;20;10;4;37;2;212
2;212;38;64;47;43;24;28;21;61;2;16;63;59;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;36;51;1;14;41;6;34;13;55;20;10;4;37
38;64;37;43;24;28;21;61;2;16;63;59;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;36;51;1;14;41;6;34;13;55;20;10;4;47;2;216
2;216;38;64;37;43;24;28;21;61;2;16;63;59;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;36;51;1;14;41;6;34;13;55;20;10;4;47
38;64;37;43;24;28;21;47;2;16;63;59;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;36;51;1;14;41;6;34;13;55;20;10;4;61;2;204
2;204;38;64;37;43;24;28;21;47;2;16;63;59;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;36;51;1;14;41;6;34;13;55;20;10;4;61
38;64;37;43;24;28;21;61;2;16;63;59;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;36;51;1;14;41;6;34;13;55;20;10;4;47;2;216
2;216;38;64;37;43;24;28;21;61;2;16;63;59;17;32;25;23;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;36;51;1;14;41;6;34;13;55;20;10;4;47
38;23;37;43;24;28;21;61;2;16;63;59;17;32;25;64;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;36;51;1;14;41;6;34;13;55;20;10;4;47;2;216
3;216;38;23;37;43;24;28;21;61;2;16;63;59;17;32;25;64;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;19;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;36;51;1;14;41;6;34;13;55;20;10;4;47
38;23;37;43;24;28;21;61;2;16;63;59;17;32;25;64;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;36;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;19;51;1;14;41;6;34;13;55;20;10;4;47;3;216
3;216;38;23;37;43;24;28;21;61;2;16;63;59;17;32;25;64;15;7;12;56;18;62;3;57;54;46;33;53;8;44;58;42;49;45;29;36;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;19;51;1;14;41;6;34;13;55;20;10;4;47
38;23;37;43;24;28;21;61;2;16;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;42;49;45;29;36;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;19;51;1;14;41;6;34;13;3;20;10;4;47;3;216
3;216;38;23;37;43;24;28;21;61;2;16;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;42;49;45;29;36;60;40;52;11;50;27;9;48;22;31;26;5;35;39;30;19;51;1;14;41;6;34;13;3;20;10;4;47
38;23;37;43;24;28;21;61;2;16;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;42;49;45;29;36;3;40;52;11;50;27;9;48;22;31;26;5;35;39;30;19;51;1;14;41;6;34;13;60;20;10;4;47;3;232
3;232;38;23;37;43;24;28;21;61;2;16;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;42;49;45;29;36;3;40;52;11;50;27;9;48;22;31;26;5;35;39;30;19;51;1;14;41;6;34;13;60;20;10;4;47
38;23;37;43;24;28;21;61;2;16;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;42;49;45;29;36;3;40;52;11;50;27;9;48;22;31;26;5;14;39;30;19;51;1;35;41;6;34;13;60;20;10;4;47;3;232
3;232;38;23;37;43;24;28;21;61;2;16;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;42;49;45;29;36;3;40;52;11;50;27;9;48;22;31;26;5;14;39;30;19;51;1;35;41;6;34;13;60;20;10;4;47
38;23;37;43;24;28;21;61;45;16;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;42;49;2;29;36;3;40;52;11;50;27;9;48;22;31;26;5;14;39;30;19;51;1;35;41;6;34;13;60;20;10;4;47;3;232
3;232;38;23;37;43;24;28;21;61;45;16;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;42;49;2;29;36;3;40;52;11;50;27;9;48;22;31;26;5;14;39;30;19;51;1;35;41;6;34;13;60;20;10;4;47
38;23;37;43;24;28;21;61;45;16;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;42;9;2;29;36;3;40;52;11;50;27;49;48;22;31;26;5;14;39;30;19;51;1;35;41;6;34;13;60;20;10;4;47;3;230
3;230;38;23;37;43;24;28;21;61;45;16;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;42;9;2;29;36;3;40;52;11;50;27;49;48;22;31;26;5;14;39;30;19;51;1;35;41;6;34;13;60;20;10;4;47
38;23;37;43;24;28;21;61;45;16;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;11;9;2;29;36;3;40;52;42;50;27;49;48;22;31;26;5;14;39;30;19;51;1;35;41;6;34;13;60;20;10;4;47;3;232
3;232;38;23;37;43;24;28;21;61;45;16;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;11;9;2;29;36;3;40;52;42;50;27;49;48;22;31;26;5;14;39;30;19;51;1;35;41;6;34;13;60;20;10;4;47
38;23;37;43;24;28;21;61;45;42;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;11;9;2;29;36;3;40;52;16;50;27;49;48;22;31;26;5;14;39;30;19;51;1;35;41;6;34;13;60;20;10;4;47;3;256
3;256;38;23;37;43;24;28;21;61;45;42;63;59;17;32;25;64;15;7;12;56;18;62;55;57;54;46;33;53;8;44;58;11;9;2;29;36;3;40;52;16;50;27;49;48;22;31;26;5;14;39;30;19;51;1;35;41;6;34;13;60;20;10;4;47
38;23;37;43;24;28;21;61;45;42;63;59;17;32;25;64;15;7;12;56;18;62;9;57;54;46;33;53;8;44;58;11;55;2;29;36;3;40;52;16;50;27;49;48;22;31;26;5;14;39;30;19;51;1;35;41;6;34;13;60;20;10;4;47;3;258
3;258;38;23;37;43;24;28;21;61;45;42;63;59;17;32;25;64;15;7;12;56;18;62;9;57;54;46;33;53;8;44;58;11;55;2;29;36;3;40;52;16;50;27;49;48;22;31;26;5;14;39;30;19;51;1;35;41;6;34;13;60;20;10;4;47
38;23;37;35;24;28;21;61;45;42;63;59;17;32;25;64;15;7;12;56;18;62;9;57;54;46;33;53;8;44;58;11;55;2;29;36;3;40;52;16;50;27;49;48;22;31;26;5;14;39;30;19;51;1;43;41;6;34;13;60;20;10;4;47;3;258
3;258;38;23;37;35;24;28;21;61;45;42;63;59;17;32;25;64;15;7;12;56;18;62;9;57;54;46;33;53;8;44;58;11;55;2;29;36;3;40;52;16;50;27;49;48;22;31;26;5;14;39;30;19;51;1;43;41;6;34;13;60;20;10;4;47
38;23;37;35;24;28;21;61;45;42;63;59;17;32;25;64;15;7;12;56;18;62;9;57;54;46;33;53;8;44;58;11;55;2;29;51;3;40;52;16;50;27;49;48;22;31;26;5;14;39;30;19;36;1;43;41;6;34;13;60;20;10;4;47;3;258
