"X1";"X290";"X38";"X36";"X49";"X48";"X44";"X54";"X58";"X34";"X46";"X4";"X2";"X45";"X23";"X43";"X5";"X19";"X61";"X64";"X8";"X55";"X11";"X10";"X21";"X39";"X18";"X1.1";"X24";"X15";"X30";"X27";"X22";"X7";"X63";"X60";"X62";"X9";"X32";"X28";"X37";"X51";"X14";"X59";"X16";"X13";"X12";"X52";"X31";"X33";"X47";"X53";"X40";"X25";"X50";"X20";"X57";"X17";"X29";"X35";"X3";"X56";"X42";"X6";"X41";"X26"
1;294;38;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;61;4;8;55;11;15;16;39;18;1;14;10;30;27;22;7;63;60;62;9;32;28;37;51;24;59;21;13;12;52;31;33;47;53;40;25;50;20;57;17;29;35;3;56;42;6;41;26
17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;61;4;8;55;11;15;16;39;18;1;14;10;30;27;22;7;63;60;62;9;32;28;37;51;24;59;21;13;12;52;31;33;47;53;40;25;50;20;57;38;29;35;3;56;42;6;41;26;1;294
1;294;17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;61;4;8;55;11;15;16;39;18;1;14;10;30;27;22;7;63;60;62;9;32;28;37;51;24;59;21;13;12;52;31;33;47;53;40;25;50;20;57;38;29;35;3;56;42;6;41;26
17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;61;4;8;55;11;15;16;39;18;1;14;10;30;27;22;12;63;60;62;9;32;28;37;51;24;59;21;13;7;52;31;33;47;53;40;25;50;20;57;38;29;35;3;56;42;6;41;26;1;288
1;288;17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;61;4;8;55;11;15;16;39;18;1;14;10;30;27;22;12;63;60;62;9;32;28;37;51;24;59;21;13;7;52;31;33;47;53;40;25;50;20;57;38;29;35;3;56;42;6;41;26
17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;61;4;8;55;11;15;16;39;18;1;14;10;30;26;22;12;63;60;62;9;32;28;37;51;24;59;21;13;7;52;31;33;47;53;40;25;50;20;57;38;29;35;3;56;42;6;41;27;1;284
1;284;17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;61;4;8;55;11;15;16;39;18;1;14;10;30;26;22;12;63;60;62;9;32;28;37;51;24;59;21;13;7;52;31;33;47;53;40;25;50;20;57;38;29;35;3;56;42;6;41;27
17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;61;4;8;55;11;15;16;39;18;1;14;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;13;7;52;31;33;47;53;40;25;50;20;57;38;29;35;3;56;30;6;41;27;1;284
1;284;17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;61;4;8;55;11;15;16;39;18;1;14;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;13;7;52;31;33;47;53;40;25;50;20;57;38;29;35;3;56;30;6;41;27
17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;25;4;8;55;11;15;16;39;18;1;14;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;13;7;52;31;33;47;53;40;61;50;20;57;38;29;35;3;56;30;6;41;27;1;288
1;288;17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;25;4;8;55;11;15;16;39;18;1;14;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;13;7;52;31;33;47;53;40;61;50;20;57;38;29;35;3;56;30;6;41;27
17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;53;4;8;55;11;15;16;39;18;1;14;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;13;7;52;31;33;47;25;40;61;50;20;57;38;29;35;3;56;30;6;41;27;1;280
1;280;17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;53;4;8;55;11;15;16;39;18;1;14;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;13;7;52;31;33;47;25;40;61;50;20;57;38;29;35;3;56;30;6;41;27
17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;53;4;8;55;11;14;16;39;18;1;15;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;13;7;52;31;33;47;25;40;61;50;20;57;38;29;35;3;56;30;6;41;27;1;280
1;280;17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;53;4;8;55;11;14;16;39;18;1;15;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;13;7;52;31;33;47;25;40;61;50;20;57;38;29;35;3;56;30;6;41;27
17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;53;4;8;55;11;14;13;39;18;1;15;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;16;7;52;31;33;47;25;40;61;50;20;57;38;29;35;3;56;30;6;41;27;1;272
1;272;17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;53;4;8;55;11;14;13;39;18;1;15;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;16;7;52;31;33;47;25;40;61;50;20;57;38;29;35;3;56;30;6;41;27
17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;53;4;8;55;11;14;13;39;18;1;15;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;16;7;52;31;33;47;25;40;61;50;20;57;38;29;41;3;56;30;6;35;27;1;272
1;272;17;36;45;48;44;54;58;34;46;64;2;49;23;43;5;19;53;4;8;55;11;14;13;39;18;1;15;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;16;7;52;31;33;47;25;40;61;50;20;57;38;29;41;3;56;30;6;35;27
17;36;45;48;44;14;58;34;46;64;2;49;23;43;5;19;53;4;8;55;11;54;13;39;18;1;15;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;16;7;52;31;33;47;25;40;61;50;20;57;38;29;41;3;56;30;6;35;27;1;274
1;274;17;36;45;48;44;14;58;34;46;64;2;49;23;43;5;19;53;4;8;55;11;54;13;39;18;1;15;10;42;26;22;12;63;60;62;9;32;28;37;51;24;59;21;16;7;52;31;33;47;25;40;61;50;20;57;38;29;41;3;56;30;6;35;27
17;36;45;48;44;14;58;34;46;64;2;49;42;43;5;19;53;4;8;55;11;54;13;39;18;1;15;10;23;26;22;12;63;60;62;9;32;28;37;51;24;59;21;16;7;52;31;33;47;25;40;61;50;20;57;38;29;41;3;56;30;6;35;27;1;274
1;274;17;36;45;48;44;14;58;34;46;64;2;49;42;43;5;19;53;4;8;55;11;54;13;39;18;1;15;10;23;26;22;12;63;60;62;9;32;28;37;51;24;59;21;16;7;52;31;33;47;25;40;61;50;20;57;38;29;41;3;56;30;6;35;27
17;36;45;48;44;14;58;34;46;64;2;49;42;43;5;19;53;4;8;55;11;54;13;39;18;1;15;10;23;26;22;56;63;60;62;9;32;28;37;51;24;59;21;16;7;52;31;33;47;25;40;61;50;20;57;38;29;41;3;12;30;6;35;27;1;282
1;282;17;36;45;48;44;14;58;34;46;64;2;49;42;43;5;19;53;4;8;55;11;54;13;39;18;1;15;10;23;26;22;56;63;60;62;9;32;28;37;51;24;59;21;16;7;52;31;33;47;25;40;61;50;20;57;38;29;41;3;12;30;6;35;27
17;36;45;48;44;14;58;34;46;64;2;49;42;60;5;19;53;4;8;55;11;54;13;39;18;1;15;10;23;26;22;56;63;43;62;9;32;28;37;51;24;59;21;16;7;52;31;33;47;25;40;61;50;20;57;38;29;41;3;12;30;6;35;27;1;274
1;274;17;36;45;48;44;14;58;34;46;64;2;49;42;60;5;19;53;4;8;55;11;54;13;39;18;1;15;10;23;26;22;56;63;43;62;9;32;28;37;51;24;59;21;16;7;52;31;33;47;25;40;61;50;20;57;38;29;41;3;12;30;6;35;27
17;36;45;48;44;14;58;34;46;64;2;49;42;60;5;19;53;4;8;55;11;54;13;39;18;1;15;10;23;26;22;56;63;47;62;9;32;28;37;51;24;59;21;16;7;52;31;33;43;25;40;61;50;20;57;38;29;41;3;12;30;6;35;27;1;274
1;274;17;36;45;48;44;14;58;34;46;64;2;49;42;60;5;19;53;4;8;55;11;54;13;39;18;1;15;10;23;26;22;56;63;47;62;9;32;28;37;51;24;59;21;16;7;52;31;33;43;25;40;61;50;20;57;38;29;41;3;12;30;6;35;27
17;36;45;48;44;14;58;34;46;54;2;49;42;60;5;19;53;4;8;55;11;64;13;39;18;1;15;10;23;26;22;56;63;47;62;9;32;28;37;51;24;59;21;16;7;52;31;33;43;25;40;61;50;20;57;38;29;41;3;12;30;6;35;27;1;270
2;270;17;36;45;48;44;14;58;34;46;54;2;49;42;60;5;19;53;4;8;55;11;64;13;39;18;1;15;10;23;26;22;56;63;47;62;9;32;28;37;51;24;59;21;16;7;52;31;33;43;25;40;61;50;20;57;38;29;41;3;12;30;6;35;27
17;36;45;48;15;14;58;34;46;54;2;49;42;60;5;19;53;4;8;55;11;64;13;39;18;1;44;10;23;26;22;56;63;47;62;9;32;28;37;51;24;59;21;16;7;52;31;33;43;25;40;61;50;20;57;38;29;41;3;12;30;6;35;27;2;278
2;278;17;36;45;48;15;14;58;34;46;54;2;49;42;60;5;19;53;4;8;55;11;64;13;39;18;1;44;10;23;26;22;56;63;47;62;9;32;28;37;51;24;59;21;16;7;52;31;33;43;25;40;61;50;20;57;38;29;41;3;12;30;6;35;27
17;36;45;48;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;47;62;9;32;28;37;51;24;59;21;16;7;52;31;33;43;25;40;61;50;20;57;38;29;41;3;12;30;6;35;27;2;290
2;290;17;36;45;48;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;47;62;9;32;28;37;51;24;59;21;16;7;52;31;33;43;25;40;61;50;20;57;38;29;41;3;12;30;6;35;27
17;36;45;48;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;47;62;9;32;28;37;3;24;59;21;16;7;52;31;33;43;25;40;61;50;20;57;38;29;41;51;12;30;6;35;27;2;290
2;290;17;36;45;48;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;47;62;9;32;28;37;3;24;59;21;16;7;52;31;33;43;25;40;61;50;20;57;38;29;41;51;12;30;6;35;27
17;36;45;48;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;62;47;9;32;28;37;3;24;59;21;16;7;52;31;33;43;25;40;61;50;20;57;38;29;41;51;12;30;6;35;27;2;288
2;288;17;36;45;48;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;62;47;9;32;28;37;3;24;59;21;16;7;52;31;33;43;25;40;61;50;20;57;38;29;41;51;12;30;6;35;27
17;36;45;7;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;62;47;9;32;28;37;3;24;59;21;16;48;52;31;33;43;25;40;61;50;20;57;38;29;41;51;12;30;6;35;27;2;288
2;288;17;36;45;7;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;62;47;9;32;28;37;3;24;59;21;16;48;52;31;33;43;25;40;61;50;20;57;38;29;41;51;12;30;6;35;27
17;36;45;7;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;62;47;9;32;28;37;3;24;59;21;16;57;52;31;33;43;25;40;61;50;20;48;38;29;41;51;12;30;6;35;27;2;288
2;288;17;36;45;7;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;62;47;9;32;28;37;3;24;59;21;16;57;52;31;33;43;25;40;61;50;20;48;38;29;41;51;12;30;6;35;27
17;36;45;7;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;62;47;9;32;41;37;3;24;59;21;16;57;52;31;33;43;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27;2;288
2;288;17;36;45;7;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;62;47;9;32;41;37;3;24;59;21;16;57;52;31;33;43;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27
17;36;45;7;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;62;47;9;43;41;37;3;24;59;21;16;57;52;31;33;32;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27;2;292
2;292;17;36;45;7;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;22;56;63;62;47;9;43;41;37;3;24;59;21;16;57;52;31;33;32;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27
17;36;45;7;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;43;56;63;62;47;9;22;41;37;3;24;59;21;16;57;52;31;33;32;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27;2;272
2;272;17;36;45;7;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;43;56;63;62;47;9;22;41;37;3;24;59;21;16;57;52;31;33;32;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27
17;36;45;31;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;43;56;63;62;47;9;22;41;37;3;24;59;21;16;57;52;7;33;32;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27;2;272
2;272;17;36;45;31;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;10;23;26;43;56;63;62;47;9;22;41;37;3;24;59;21;16;57;52;7;33;32;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27
17;36;45;31;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;21;23;26;43;56;63;62;47;9;22;41;37;3;24;59;10;16;57;52;7;33;32;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27;2;272
2;272;17;36;45;31;15;14;58;34;46;54;2;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;21;23;26;43;56;63;62;47;9;22;41;37;3;24;59;10;16;57;52;7;33;32;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27
17;36;45;31;15;14;58;34;46;54;33;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;21;23;26;43;56;63;62;47;9;22;41;37;3;24;59;10;16;57;52;7;2;32;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27;2;280
2;280;17;36;45;31;15;14;58;34;46;54;33;49;42;60;5;19;53;4;1;55;11;64;13;39;18;8;44;21;23;26;43;56;63;62;47;9;22;41;37;3;24;59;10;16;57;52;7;2;32;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27
17;36;45;31;15;14;58;34;46;54;33;49;42;60;5;19;53;4;1;55;11;64;62;39;18;8;44;21;23;26;43;56;63;13;47;9;22;41;37;3;24;59;10;16;57;52;7;2;32;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27;2;280
2;280;17;36;45;31;15;14;58;34;46;54;33;49;42;60;5;19;53;4;1;55;11;64;62;39;18;8;44;21;23;26;43;56;63;13;47;9;22;41;37;3;24;59;10;16;57;52;7;2;32;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27
17;36;45;31;15;14;58;34;46;54;33;49;42;60;5;19;53;4;1;55;11;64;62;39;32;8;44;21;23;26;43;56;63;13;47;9;22;41;37;3;24;59;10;16;57;52;7;2;18;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27;2;280
2;280;17;36;45;31;15;14;58;34;46;54;33;49;42;60;5;19;53;4;1;55;11;64;62;39;32;8;44;21;23;26;43;56;63;13;47;9;22;41;37;3;24;59;10;16;57;52;7;2;18;25;40;61;50;20;48;38;29;28;51;12;30;6;35;27
17;36;45;31;15;14;35;34;46;54;33;49;42;60;5;19;53;4;1;55;11;64;62;39;32;8;44;21;23;26;43;56;63;13;47;9;22;41;37;3;24;59;10;16;57;52;7;2;18;25;40;61;50;20;48;38;29;28;51;12;30;6;58;27;2;280
2;280;17;36;45;31;15;14;35;34;46;54;33;49;42;60;5;19;53;4;1;55;11;64;62;39;32;8;44;21;23;26;43;56;63;13;47;9;22;41;37;3;24;59;10;16;57;52;7;2;18;25;40;61;50;20;48;38;29;28;51;12;30;6;58;27
17;36;45;31;15;14;35;34;46;54;33;49;42;60;5;19;53;4;1;55;11;64;62;39;32;8;44;21;23;26;43;56;63;13;47;9;22;41;37;3;24;59;10;16;29;52;7;2;18;25;40;61;50;20;48;38;57;28;51;12;30;6;58;27;2;280
2;280;17;36;45;31;15;14;35;34;46;54;33;49;42;60;5;19;53;4;1;55;11;64;62;39;32;8;44;21;23;26;43;56;63;13;47;9;22;41;37;3;24;59;10;16;29;52;7;2;18;25;40;61;50;20;48;38;57;28;51;12;30;6;58;27
17;36;45;31;15;14;35;34;46;54;33;49;42;41;5;19;53;4;1;55;11;64;62;39;32;8;44;21;23;26;43;56;63;13;47;9;22;60;37;3;24;59;10;16;29;52;7;2;18;25;40;61;50;20;48;38;57;28;51;12;30;6;58;27;2;268
2;268;17;36;45;31;15;14;35;34;46;54;33;49;42;41;5;19;53;4;1;55;11;64;62;39;32;8;44;21;23;26;43;56;63;13;47;9;22;60;37;3;24;59;10;16;29;52;7;2;18;25;40;61;50;20;48;38;57;28;51;12;30;6;58;27
17;36;45;31;15;14;35;34;46;54;33;49;42;41;5;19;53;4;1;55;11;64;62;39;32;18;44;21;23;26;43;56;63;13;47;9;22;60;37;3;24;59;10;16;29;52;7;2;8;25;40;61;50;20;48;38;57;28;51;12;30;6;58;27;2;268
2;268;17;36;45;31;15;14;35;34;46;54;33;49;42;41;5;19;53;4;1;55;11;64;62;39;32;18;44;21;23;26;43;56;63;13;47;9;22;60;37;3;24;59;10;16;29;52;7;2;8;25;40;61;50;20;48;38;57;28;51;12;30;6;58;27
17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;4;1;55;11;64;62;39;32;18;44;21;23;26;43;56;63;13;47;9;22;60;37;3;24;59;10;16;29;52;7;2;8;25;40;61;50;14;48;38;57;28;51;12;30;6;58;27;2;272
2;272;17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;4;1;55;11;64;62;39;32;18;44;21;23;26;43;56;63;13;47;9;22;60;37;3;24;59;10;16;29;52;7;2;8;25;40;61;50;14;48;38;57;28;51;12;30;6;58;27
17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;4;1;55;11;64;62;39;32;18;44;21;23;26;43;56;63;13;47;9;22;60;37;3;24;59;10;16;29;52;7;2;8;25;40;61;50;14;38;48;57;28;51;12;30;6;58;27;2;272
3;272;17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;4;1;55;11;64;62;39;32;18;44;21;23;26;43;56;63;13;47;9;22;60;37;3;24;59;10;16;29;52;7;2;8;25;40;61;50;14;38;48;57;28;51;12;30;6;58;27
17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;4;1;55;11;64;62;39;32;18;44;21;23;26;43;56;63;13;47;9;22;60;28;3;24;59;10;16;29;52;7;2;8;25;40;61;50;14;38;48;57;37;51;12;30;6;58;27;3;260
3;260;17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;4;1;55;11;64;62;39;32;18;44;21;23;26;43;56;63;13;47;9;22;60;28;3;24;59;10;16;29;52;7;2;8;25;40;61;50;14;38;48;57;37;51;12;30;6;58;27
17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;61;1;55;11;64;62;39;32;18;44;21;23;26;43;56;63;13;47;9;22;60;28;3;24;59;10;16;29;52;7;2;8;25;40;4;50;14;38;48;57;37;51;12;30;6;58;27;3;260
3;260;17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;61;1;55;11;64;62;39;32;18;44;21;23;26;43;56;63;13;47;9;22;60;28;3;24;59;10;16;29;52;7;2;8;25;40;4;50;14;38;48;57;37;51;12;30;6;58;27
17;36;45;31;15;20;35;34;46;54;33;49;44;41;5;19;53;61;1;55;11;64;62;39;32;18;42;21;23;26;43;56;63;13;47;9;22;60;28;3;24;59;10;16;29;52;7;2;8;25;40;4;50;14;38;48;57;37;51;12;30;6;58;27;3;268
3;260;17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;61;1;55;11;64;62;39;32;18;44;21;23;26;43;56;63;13;47;9;22;60;28;3;24;59;10;16;29;52;7;2;8;25;40;4;50;14;38;48;57;37;51;12;30;6;58;27
17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;12;1;55;11;64;62;39;32;18;44;21;23;26;43;56;63;13;47;9;22;60;28;3;24;59;10;16;29;52;7;2;8;25;40;4;50;14;38;48;57;37;51;61;30;6;58;27;3;260
3;260;17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;12;1;55;11;64;62;39;32;18;44;21;23;26;43;56;63;13;47;9;22;60;28;3;24;59;10;16;29;52;7;2;8;25;40;4;50;14;38;48;57;37;51;61;30;6;58;27
17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;12;1;55;11;64;62;39;32;18;40;21;23;26;43;56;63;13;47;9;22;60;28;3;24;59;10;16;29;52;7;2;8;25;44;4;50;14;38;48;57;37;51;61;30;6;58;27;3;268
3;268;17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;12;1;55;11;64;62;39;32;18;40;21;23;26;43;56;63;13;47;9;22;60;28;3;24;59;10;16;29;52;7;2;8;25;44;4;50;14;38;48;57;37;51;61;30;6;58;27
17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;12;1;55;11;64;62;39;32;18;40;21;23;26;43;56;63;13;47;9;22;60;28;3;61;59;10;16;29;52;7;2;8;25;44;4;50;14;38;48;57;37;51;24;30;6;58;27;3;268
3;268;17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;12;1;55;11;64;62;39;32;18;40;21;23;26;43;56;63;13;47;9;22;60;28;3;61;59;10;16;29;52;7;2;8;25;44;4;50;14;38;48;57;37;51;24;30;6;58;27
17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;12;1;55;11;64;62;39;32;18;40;21;23;26;43;56;63;13;47;14;22;60;28;3;61;59;10;16;29;52;7;2;8;25;44;4;50;9;38;48;57;37;51;24;30;6;58;27;3;268
3;268;17;36;45;31;15;20;35;34;46;54;33;49;42;41;5;19;53;12;1;55;11;64;62;39;32;18;40;21;23;26;43;56;63;13;47;14;22;60;28;3;61;59;10;16;29;52;7;2;8;25;44;4;50;9;38;48;57;37;51;24;30;6;58;27
17;36;45;31;15;20;35;34;46;54;33;49;42;52;5;19;53;12;1;55;11;64;62;39;32;18;40;21;23;26;43;56;63;13;47;14;22;60;28;3;61;59;10;16;29;41;7;2;8;25;44;4;50;9;38;48;57;37;51;24;30;6;58;27;3;268
3;268;17;36;45;31;15;20;35;34;46;54;33;49;42;52;5;19;53;12;1;55;11;64;62;39;32;18;40;21;23;26;43;56;63;13;47;14;22;60;28;3;61;59;10;16;29;41;7;2;8;25;44;4;50;9;38;48;57;37;51;24;30;6;58;27
17;36;7;31;15;20;35;34;46;54;33;49;42;52;5;19;53;12;1;55;11;64;62;39;32;18;40;21;23;26;43;56;63;13;47;14;22;60;28;3;61;59;10;16;29;41;45;2;8;25;44;4;50;9;38;48;57;37;51;24;30;6;58;27;3;270
3;270;17;36;7;31;15;20;35;34;46;54;33;49;42;52;5;19;53;12;1;55;11;64;62;39;32;18;40;21;23;26;43;56;63;13;47;14;22;60;28;3;61;59;10;16;29;41;45;2;8;25;44;4;50;9;38;48;57;37;51;24;30;6;58;27
17;36;7;31;15;20;35;34;46;54;33;49;42;52;5;19;53;12;1;55;11;64;62;39;32;18;40;21;23;26;43;56;63;13;47;14;22;60;28;3;16;59;10;61;29;41;45;2;8;25;44;4;50;9;38;48;57;37;51;24;30;6;58;27;3;254
3;254;17;36;7;31;15;20;35;34;46;54;33;49;42;52;5;19;53;12;1;55;11;64;62;39;32;18;40;21;23;26;43;56;63;13;47;14;22;60;28;3;16;59;10;61;29;41;45;2;8;25;44;4;50;9;38;48;57;37;51;24;30;6;58;27
17;36;7;31;15;20;35;34;46;54;33;49;42;52;5;19;53;12;1;55;11;64;62;39;32;18;40;21;23;26;43;56;63;13;47;14;22;60;28;45;16;59;10;61;29;41;3;2;8;25;44;4;50;9;38;48;57;37;51;24;30;6;58;27;3;254
