"X1";"X274";"X45";"X33";"X37";"X19";"X38";"X32";"X42";"X5";"X48";"X9";"X7";"X1.1";"X34";"X41";"X54";"X20";"X4";"X24";"X27";"X3";"X43";"X11";"X26";"X63";"X62";"X56";"X10";"X23";"X31";"X35";"X61";"X47";"X22";"X12";"X36";"X30";"X49";"X53";"X18";"X55";"X59";"X17";"X14";"X29";"X57";"X16";"X6";"X21";"X28";"X50";"X39";"X51";"X15";"X46";"X64";"X60";"X40";"X25";"X13";"X58";"X2";"X44";"X8";"X52"
1;270;45;33;37;19;38;32;42;22;48;9;7;1;34;41;29;20;4;46;27;54;43;11;26;63;62;56;10;23;31;35;61;47;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;21;28;50;39;51;15;24;64;60;40;25;13;58;2;44;5;52
45;33;37;19;38;32;21;22;48;9;7;1;34;41;29;20;4;46;27;54;43;11;26;63;62;56;10;23;31;35;61;47;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;42;28;50;39;51;15;24;64;60;40;25;13;58;2;44;5;52;1;270
1;270;45;33;37;19;38;32;21;22;48;9;7;1;34;41;29;20;4;46;27;54;43;11;26;63;62;56;10;23;31;35;61;47;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;42;28;50;39;51;15;24;64;60;40;25;13;58;2;44;5;52
45;33;37;19;38;32;21;13;48;9;7;1;34;41;29;20;4;46;27;54;43;11;26;63;62;56;10;23;31;35;61;47;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;42;28;50;39;51;15;24;64;60;40;25;22;58;2;44;5;52;1;254
1;254;45;33;37;19;38;32;21;13;48;9;7;1;34;41;29;20;4;46;27;54;43;11;26;63;62;56;10;23;31;35;61;47;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;42;28;50;39;51;15;24;64;60;40;25;22;58;2;44;5;52
45;33;37;19;38;32;21;13;48;9;62;1;34;41;29;20;4;46;27;54;43;11;26;63;7;56;10;23;31;35;61;47;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;42;28;50;39;51;15;24;64;60;40;25;22;58;2;44;5;52;1;270
1;270;45;33;37;19;38;32;21;13;48;9;62;1;34;41;29;20;4;46;27;54;43;11;26;63;7;56;10;23;31;35;61;47;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;42;28;50;39;51;15;24;64;60;40;25;22;58;2;44;5;52
50;33;37;19;38;32;21;13;48;9;62;1;34;41;29;20;4;46;27;54;43;11;26;63;7;56;10;23;31;35;61;47;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;42;28;45;39;51;15;24;64;60;40;25;22;58;2;44;5;52;1;270
1;270;50;33;37;19;38;32;21;13;48;9;62;1;34;41;29;20;4;46;27;54;43;11;26;63;7;56;10;23;31;35;61;47;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;42;28;45;39;51;15;24;64;60;40;25;22;58;2;44;5;52
50;33;37;19;38;32;21;13;48;9;62;1;34;41;29;20;4;46;27;54;47;11;26;63;7;56;10;23;31;35;61;43;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;42;28;45;39;51;15;24;64;60;40;25;22;58;2;44;5;52;1;272
1;272;50;33;37;19;38;32;21;13;48;9;62;1;34;41;29;20;4;46;27;54;47;11;26;63;7;56;10;23;31;35;61;43;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;42;28;45;39;51;15;24;64;60;40;25;22;58;2;44;5;52
50;33;37;19;38;32;21;42;48;9;62;1;34;41;29;20;4;46;27;54;47;11;26;63;7;56;10;23;31;35;61;43;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;13;28;45;39;51;15;24;64;60;40;25;22;58;2;44;5;52;1;280
1;280;50;33;37;19;38;32;21;42;48;9;62;1;34;41;29;20;4;46;27;54;47;11;26;63;7;56;10;23;31;35;61;43;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;13;28;45;39;51;15;24;64;60;40;25;22;58;2;44;5;52
50;33;37;19;38;1;21;42;48;9;62;32;34;41;29;20;4;46;27;54;47;11;26;63;7;56;10;23;31;35;61;43;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;13;28;45;39;51;15;24;64;60;40;25;22;58;2;44;5;52;1;268
1;268;50;33;37;19;38;1;21;42;48;9;62;32;34;41;29;20;4;46;27;54;47;11;26;63;7;56;10;23;31;35;61;43;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;13;28;45;39;51;15;24;64;60;40;25;22;58;2;44;5;52
50;33;37;19;38;1;21;42;48;9;62;32;34;41;29;20;4;46;27;54;47;11;26;63;7;56;10;23;31;35;61;28;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;13;43;45;39;51;15;24;64;60;40;25;22;58;2;44;5;52;1;266
1;266;50;33;37;19;38;1;21;42;48;9;62;32;34;41;29;20;4;46;27;54;47;11;26;63;7;56;10;23;31;35;61;28;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;13;43;45;39;51;15;24;64;60;40;25;22;58;2;44;5;52
50;33;37;19;38;1;21;42;48;9;62;32;34;41;29;20;4;46;27;54;47;11;26;63;7;56;10;23;31;35;61;28;8;12;36;30;6;53;18;55;59;17;14;3;57;16;49;13;43;45;39;51;15;24;64;60;40;25;22;58;2;44;5;52;1;262
1;262;50;33;37;19;38;1;21;42;48;9;62;32;34;41;29;20;4;46;27;54;47;11;26;63;7;56;10;23;31;35;61;28;8;12;36;30;6;53;18;55;59;17;14;3;57;16;49;13;43;45;39;51;15;24;64;60;40;25;22;58;2;44;5;52
50;5;37;19;38;1;21;42;48;9;62;32;34;41;29;20;4;46;27;54;47;11;26;63;7;56;10;23;31;35;61;28;8;12;36;30;6;53;18;55;59;17;14;3;57;16;49;13;43;45;39;51;15;24;64;60;40;25;22;58;2;44;33;52;1;262
1;262;50;5;37;19;38;1;21;42;48;9;62;32;34;41;29;20;4;46;27;54;47;11;26;63;7;56;10;23;31;35;61;28;8;12;36;30;6;53;18;55;59;17;14;3;57;16;49;13;43;45;39;51;15;24;64;60;40;25;22;58;2;44;33;52
50;5;37;19;38;1;21;42;48;9;62;32;34;41;29;20;4;46;27;54;47;11;26;55;7;56;10;23;31;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;16;49;13;43;45;39;51;15;24;64;60;40;25;22;58;2;44;33;52;1;262
1;262;50;5;37;19;38;1;21;42;48;9;62;32;34;41;29;20;4;46;27;54;47;11;26;55;7;56;10;23;31;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;16;49;13;43;45;39;51;15;24;64;60;40;25;22;58;2;44;33;52
50;5;37;19;38;1;21;42;48;9;62;32;34;41;29;20;4;46;27;54;47;11;26;55;7;45;10;23;31;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;16;49;13;43;56;39;51;15;24;64;60;40;25;22;58;2;44;33;52;1;262
1;262;50;5;37;19;38;1;21;42;48;9;62;32;34;41;29;20;4;46;27;54;47;11;26;55;7;45;10;23;31;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;16;49;13;43;56;39;51;15;24;64;60;40;25;22;58;2;44;33;52
50;5;37;19;38;1;21;42;29;9;62;32;34;41;48;20;4;46;27;54;47;11;26;55;7;45;10;23;31;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;16;49;13;43;56;39;51;15;24;64;60;40;25;22;58;2;44;33;52;1;262
1;262;50;5;37;19;38;1;21;42;29;9;62;32;34;41;48;20;4;46;27;54;47;11;26;55;7;45;10;23;31;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;16;49;13;43;56;39;51;15;24;64;60;40;25;22;58;2;44;33;52
50;5;37;19;38;1;21;42;29;9;62;31;34;41;48;20;4;46;27;54;47;11;26;55;7;45;10;23;32;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;16;49;13;43;56;39;51;15;24;64;60;40;25;22;58;2;44;33;52;1;262
1;262;50;5;37;19;38;1;21;42;29;9;62;31;34;41;48;20;4;46;27;54;47;11;26;55;7;45;10;23;32;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;16;49;13;43;56;39;51;15;24;64;60;40;25;22;58;2;44;33;52
50;5;37;19;38;1;21;42;29;9;62;31;16;41;48;20;4;46;27;54;47;11;26;55;7;45;10;23;32;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;34;49;13;43;56;39;51;15;24;64;60;40;25;22;58;2;44;33;52;1;258
2;258;50;5;37;19;38;1;21;42;29;9;62;31;16;41;48;20;4;46;27;54;47;11;26;55;7;45;10;23;32;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;34;49;13;43;56;39;51;15;24;64;60;40;25;22;58;2;44;33;52
50;5;37;19;38;1;21;42;29;9;62;31;16;41;48;20;4;46;27;54;47;11;26;55;7;45;10;23;32;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;39;49;13;43;56;34;51;15;24;64;60;40;25;22;58;2;44;33;52;2;270
2;270;50;5;37;19;38;1;21;42;29;9;62;31;16;41;48;20;4;46;27;54;47;11;26;55;7;45;10;23;32;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;39;49;13;43;56;34;51;15;24;64;60;40;25;22;58;2;44;33;52
50;5;37;19;38;1;21;42;29;9;62;31;16;41;48;20;4;46;27;54;47;11;26;55;7;51;10;23;32;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;2;44;33;52;2;270
2;270;50;5;37;19;38;1;21;42;29;9;62;31;16;41;48;20;4;46;27;54;47;11;26;55;7;51;10;23;32;35;61;28;8;12;36;30;6;53;18;63;59;17;14;3;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;2;44;33;52
50;5;37;19;38;1;21;42;29;9;62;31;16;41;48;20;4;46;27;54;47;11;26;55;7;51;10;23;32;35;61;28;8;12;2;30;6;53;18;63;59;17;14;3;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;36;44;33;52;2;270
2;270;50;5;37;19;38;1;21;42;29;9;62;31;16;41;48;20;4;46;27;54;47;11;26;55;7;51;10;23;32;35;61;28;8;12;2;30;6;53;18;63;59;17;14;3;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;36;44;33;52
50;5;37;19;33;1;21;42;29;9;62;31;16;41;48;20;4;46;27;54;47;11;26;55;7;51;10;23;32;35;61;28;8;12;2;30;6;53;18;63;59;17;14;3;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;36;44;38;52;2;270
2;270;50;5;37;19;33;1;21;42;29;9;62;31;16;41;48;20;4;46;27;54;47;11;26;55;7;51;10;23;32;35;61;28;8;12;2;30;6;53;18;63;59;17;14;3;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;36;44;38;52
50;27;37;19;33;1;21;42;29;9;62;31;16;41;48;20;4;46;5;54;47;11;26;55;7;51;10;23;32;35;61;28;8;12;2;30;6;53;18;63;59;17;14;3;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;36;44;38;52;2;254
2;254;50;27;37;19;33;1;21;42;29;9;62;31;16;41;48;20;4;46;5;54;47;11;26;55;7;51;10;23;32;35;61;28;8;12;2;30;6;53;18;63;59;17;14;3;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;36;44;38;52
50;27;37;19;33;1;21;42;29;9;62;31;16;41;48;20;4;46;5;54;47;11;26;55;7;51;10;23;32;35;61;28;8;12;2;30;6;53;18;63;44;17;14;3;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;36;59;38;52;2;254
2;254;50;27;37;19;33;1;21;42;29;9;62;31;16;41;48;20;4;46;5;54;47;11;26;55;7;51;10;23;32;35;61;28;8;12;2;30;6;53;18;63;44;17;14;3;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;36;59;38;52
50;27;37;19;33;1;21;42;29;9;62;31;16;41;48;20;4;46;3;54;47;11;26;55;7;51;10;23;32;35;61;28;8;12;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;36;59;38;52;2;254
2;254;50;27;37;19;33;1;21;42;29;9;62;31;16;41;48;20;4;46;3;54;47;11;26;55;7;51;10;23;32;35;61;28;8;12;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;36;59;38;52
50;27;37;19;33;1;21;42;29;9;23;31;16;41;48;20;4;46;3;54;47;11;26;55;7;51;10;62;32;35;61;28;8;12;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;36;59;38;52;2;250
2;250;50;27;37;19;33;1;21;42;29;9;23;31;16;41;48;20;4;46;3;54;47;11;26;55;7;51;10;62;32;35;61;28;8;12;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;45;15;24;64;60;40;25;22;58;36;59;38;52
50;27;37;19;33;1;21;42;29;9;23;31;16;41;48;20;4;46;3;54;47;11;26;55;7;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;45;15;24;12;60;40;25;22;58;36;59;38;52;2;250
2;250;50;27;37;19;33;1;21;42;29;9;23;31;16;41;48;20;4;46;3;54;47;11;26;55;7;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;45;15;24;12;60;40;25;22;58;36;59;38;52
50;27;37;19;33;1;21;24;29;9;23;31;16;41;48;20;4;46;3;54;47;11;26;55;7;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;45;15;42;12;60;40;25;22;58;36;59;38;52;2;250
2;250;50;27;37;19;33;1;21;24;29;9;23;31;16;41;48;20;4;46;3;54;47;11;26;55;7;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;45;15;42;12;60;40;25;22;58;36;59;38;52
50;27;37;19;33;1;21;24;29;9;23;31;16;41;48;20;4;46;3;54;47;11;26;55;40;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;45;15;42;12;60;7;25;22;58;36;59;38;52;2;250
2;250;50;27;37;19;33;1;21;24;29;9;23;31;16;41;48;20;4;46;3;54;47;11;26;55;40;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;45;15;42;12;60;7;25;22;58;36;59;38;52
50;27;37;19;33;1;45;24;29;9;23;31;16;41;48;20;4;46;3;54;47;11;26;55;40;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;21;15;42;12;60;7;25;22;58;36;59;38;52;2;250
2;250;50;27;37;19;33;1;45;24;29;9;23;31;16;41;48;20;4;46;3;54;47;11;26;55;40;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;21;15;42;12;60;7;25;22;58;36;59;38;52
50;27;37;19;33;1;45;24;29;9;52;31;16;41;48;20;4;46;3;54;47;11;26;55;40;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;21;15;42;12;60;7;25;22;58;36;59;38;23;2;262
2;262;50;27;37;19;33;1;45;24;29;9;52;31;16;41;48;20;4;46;3;54;47;11;26;55;40;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;44;17;14;5;57;39;49;13;43;56;34;21;15;42;12;60;7;25;22;58;36;59;38;23
50;27;37;19;33;1;45;24;29;9;52;31;16;41;48;20;4;46;3;54;47;11;26;55;40;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;12;60;7;25;22;58;36;59;38;23;2;262
2;262;50;27;37;19;33;1;45;24;29;9;52;31;16;41;48;20;4;46;3;54;47;11;26;55;40;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;12;60;7;25;22;58;36;59;38;23
50;27;37;19;33;1;45;24;29;9;52;12;16;41;48;20;4;46;3;54;47;11;26;55;40;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;31;60;7;25;22;58;36;59;38;23;2;262
2;262;50;27;37;19;33;1;45;24;29;9;52;12;16;41;48;20;4;46;3;54;47;11;26;55;40;51;10;62;32;35;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;31;60;7;25;22;58;36;59;38;23
51;27;37;19;33;1;45;24;29;9;52;12;16;41;48;20;4;46;3;54;47;11;26;55;40;50;10;62;32;35;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;31;60;7;25;22;58;36;59;38;23;2;262
2;262;51;27;37;19;33;1;45;24;29;9;52;12;16;41;48;20;4;46;3;54;47;11;26;55;40;50;10;62;32;35;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;31;60;7;25;22;58;36;59;38;23
51;27;37;19;33;1;45;24;29;9;52;12;16;41;48;20;4;46;3;54;47;11;26;55;31;50;10;62;32;35;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;36;59;38;23;2;262
2;262;51;27;37;19;33;1;45;24;29;9;52;12;16;41;48;20;4;46;3;54;47;11;26;55;31;50;10;62;32;35;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;36;59;38;23
51;27;37;19;33;1;45;24;29;9;52;12;16;41;48;20;4;46;3;54;47;35;26;55;31;50;10;62;32;11;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;36;59;38;23;2;266
2;266;51;27;37;19;33;1;45;24;29;9;52;12;16;41;48;20;4;46;3;54;47;35;26;55;31;50;10;62;32;11;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;36;59;38;23
51;27;37;19;33;1;45;24;29;9;52;12;16;41;23;20;4;46;3;54;47;35;26;55;31;50;10;62;32;11;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;36;59;38;48;2;258
2;258;51;27;37;19;33;1;45;24;29;9;52;12;16;41;23;20;4;46;3;54;47;35;26;55;31;50;10;62;32;11;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;36;59;38;48
51;27;37;19;33;1;45;24;29;9;52;12;16;41;23;20;4;46;3;54;47;35;32;55;31;50;10;62;26;11;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;36;59;38;48;2;258
3;258;51;27;37;19;33;1;45;24;29;9;52;12;16;41;23;20;4;46;3;54;47;35;32;55;31;50;10;62;26;11;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;36;59;38;48
51;27;37;19;33;1;45;24;29;9;52;12;16;41;23;20;4;46;3;54;47;35;36;55;31;50;10;62;26;11;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;32;59;38;48;3;258
3;258;51;27;37;19;33;1;45;24;29;9;52;12;16;41;23;20;4;46;3;54;47;35;36;55;31;50;10;62;26;11;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;32;59;38;48
51;27;37;19;33;1;45;24;29;9;52;12;16;41;23;20;4;46;3;54;47;35;36;55;31;32;10;62;26;11;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;50;59;38;48;3;258
3;258;51;27;37;19;33;1;45;24;29;9;52;12;16;41;23;20;4;46;3;54;47;35;36;55;31;32;10;62;26;11;61;28;8;64;2;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;50;59;38;48
51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;20;4;46;3;54;47;35;36;55;31;32;10;62;26;11;61;28;8;64;45;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;50;59;38;48;3;262
3;262;51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;20;4;46;3;54;47;35;36;55;31;32;10;62;26;11;61;28;8;64;45;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;15;44;40;60;7;25;22;58;50;59;38;48
51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;20;4;46;3;54;47;35;36;55;31;32;10;62;26;11;61;15;8;64;45;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;28;44;40;60;7;25;22;58;50;59;38;48;3;264
3;264;51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;20;4;46;3;54;47;35;36;55;31;32;10;62;26;11;61;15;8;64;45;30;6;53;18;63;42;17;14;5;57;39;49;13;43;56;34;21;28;44;40;60;7;25;22;58;50;59;38;48
51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;20;4;57;3;54;47;35;36;55;31;32;10;62;26;11;61;15;8;64;45;30;6;53;18;63;42;17;14;5;46;39;49;13;43;56;34;21;28;44;40;60;7;25;22;58;50;59;38;48;3;264
3;264;51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;20;4;57;3;54;47;35;36;55;31;32;10;62;26;11;61;15;8;64;45;30;6;53;18;63;42;17;14;5;46;39;49;13;43;56;34;21;28;44;40;60;7;25;22;58;50;59;38;48
51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;20;4;57;3;54;47;35;36;55;31;32;10;62;26;11;61;15;8;64;45;21;6;53;18;63;42;17;14;5;46;39;49;13;43;56;34;30;28;44;40;60;7;25;22;58;50;59;38;48;3;264
3;264;51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;20;4;57;3;54;47;35;36;55;31;32;10;62;26;11;61;15;8;64;45;21;6;53;18;63;42;17;14;5;46;39;49;13;43;56;34;30;28;44;40;60;7;25;22;58;50;59;38;48
51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;20;4;57;3;54;45;35;36;55;31;32;10;62;26;11;61;15;8;64;47;21;6;53;18;63;42;17;14;5;46;39;49;13;43;56;34;30;28;44;40;60;7;25;22;58;50;59;38;48;3;262
3;262;51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;20;4;57;3;54;45;35;36;55;31;32;10;62;26;11;61;15;8;64;47;21;6;53;18;63;42;17;14;5;46;39;49;13;43;56;34;30;28;44;40;60;7;25;22;58;50;59;38;48
51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;20;4;57;3;54;45;35;36;55;31;32;10;62;26;11;61;15;8;64;59;21;6;53;18;63;42;17;14;5;46;39;49;13;43;56;34;30;28;44;40;60;7;25;22;58;50;47;38;48;3;266
3;266;51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;20;4;57;3;54;45;35;36;55;31;32;10;62;26;11;61;15;8;64;59;21;6;53;18;63;42;17;14;5;46;39;49;13;43;56;34;30;28;44;40;60;7;25;22;58;50;47;38;48
51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;42;4;57;3;54;45;35;36;55;31;32;10;62;26;11;61;15;8;64;59;21;6;53;18;63;20;17;14;5;46;39;49;13;43;56;34;30;28;44;40;60;7;25;22;58;50;47;38;48;3;266
3;266;51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;42;4;57;3;54;45;35;36;55;31;32;10;62;26;11;61;15;8;64;59;21;6;53;18;63;20;17;14;5;46;39;49;13;43;56;34;30;28;44;40;60;7;25;22;58;50;47;38;48
51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;42;4;57;3;5;45;35;36;55;31;32;10;62;26;11;61;15;8;64;59;21;6;53;18;63;20;17;14;54;46;39;49;13;43;56;34;30;28;44;40;60;7;25;22;58;50;47;38;48;3;276
3;276;51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;42;4;57;3;5;45;35;36;55;31;32;10;62;26;11;61;15;8;64;59;21;6;53;18;63;20;17;14;54;46;39;49;13;43;56;34;30;28;44;40;60;7;25;22;58;50;47;38;48
51;27;37;19;33;1;2;24;29;9;52;12;16;41;23;42;4;57;3;5;45;35;36;55;31;32;10;62;26;11;61;15;8;64;59;21;6;53;18;63;20;17;14;54;46;13;49;39;43;56;34;30;28;44;40;60;7;25;22;58;50;47;38;48;3;280
