"X1";"X310";"X48";"X37";"X60";"X61";"X18";"X3";"X19";"X44";"X11";"X39";"X25";"X59";"X29";"X34";"X17";"X56";"X8";"X57";"X15";"X10";"X6";"X63";"X27";"X16";"X45";"X58";"X54";"X33";"X23";"X22";"X1.1";"X4";"X35";"X42";"X30";"X26";"X28";"X31";"X41";"X20";"X53";"X55";"X5";"X14";"X38";"X47";"X50";"X52";"X43";"X24";"X13";"X2";"X12";"X64";"X49";"X32";"X62";"X46";"X51";"X9";"X21";"X40";"X36";"X7"
1;294;48;37;8;7;18;3;19;44;11;39;23;59;32;34;17;56;52;45;40;10;6;63;27;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;47;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;58
48;37;8;7;18;3;19;44;11;39;47;59;32;34;17;56;52;45;40;10;6;63;27;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;23;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;58;1;294
1;294;48;37;8;7;18;3;19;44;11;39;47;59;32;34;17;56;52;45;40;10;6;63;27;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;20;54;55;5;14;38;23;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;58
48;20;8;7;18;3;19;44;11;39;47;59;32;34;17;56;52;45;40;10;6;63;27;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;58;1;294
1;294;48;20;8;7;18;3;19;44;11;39;47;59;32;34;17;56;52;45;40;10;6;63;27;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;58
48;20;8;7;18;45;19;44;11;39;47;59;32;34;17;56;52;3;40;10;6;63;27;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;58;1;294
1;294;48;20;8;7;18;45;19;44;11;39;47;59;32;34;17;56;52;3;40;10;6;63;27;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;50;60;43;24;13;2;12;64;49;29;62;46;51;9;25;15;36;58
48;20;8;7;18;45;19;44;11;39;47;59;32;34;17;56;52;3;40;10;6;63;27;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;29;62;46;50;9;25;15;36;58;1;294
1;294;48;20;8;7;18;45;19;44;11;39;47;59;32;34;17;56;52;3;40;10;6;63;27;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;29;62;46;50;9;25;15;36;58
48;20;8;7;18;45;19;44;11;39;47;59;32;34;17;56;52;3;40;10;6;63;27;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;36;62;46;50;9;25;15;29;58;1;294
1;294;48;20;8;7;18;45;19;44;11;39;47;59;32;34;17;56;52;3;40;10;6;63;27;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;36;62;46;50;9;25;15;29;58
48;20;8;7;18;45;19;27;11;39;47;59;32;34;17;56;52;3;40;10;6;63;44;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;36;62;46;50;9;25;15;29;58;1;302
1;302;48;20;8;7;18;45;19;27;11;39;47;59;32;34;17;56;52;3;40;10;6;63;44;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;36;62;46;50;9;25;15;29;58
48;20;8;7;18;45;19;27;11;39;47;59;32;34;44;56;52;3;40;10;6;63;17;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;36;62;46;50;9;25;15;29;58;1;292
1;292;48;20;8;7;18;45;19;27;11;39;47;59;32;34;44;56;52;3;40;10;6;63;17;16;57;61;28;33;21;22;1;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;36;62;46;50;9;25;15;29;58
48;20;8;7;18;1;19;27;11;39;47;59;32;34;44;56;52;3;40;10;6;63;17;16;57;61;28;33;21;22;45;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;36;62;46;50;9;25;15;29;58;1;300
1;300;48;20;8;7;18;1;19;27;11;39;47;59;32;34;44;56;52;3;40;10;6;63;17;16;57;61;28;33;21;22;45;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;36;62;46;50;9;25;15;29;58
48;20;8;7;18;1;19;27;11;39;47;59;32;34;44;56;52;3;57;10;6;63;17;16;40;61;28;33;21;22;45;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;36;62;46;50;9;25;15;29;58;1;308
2;308;48;20;8;7;18;1;19;27;11;39;47;59;32;34;44;56;52;3;57;10;6;63;17;16;40;61;28;33;21;22;45;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;36;62;46;50;9;25;15;29;58
48;20;56;7;18;1;19;27;11;39;47;59;32;34;44;8;52;3;57;10;6;63;17;16;40;61;28;33;21;22;45;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;36;62;46;50;9;25;15;29;58;2;308
2;308;48;20;56;7;18;1;19;27;11;39;47;59;32;34;44;8;52;3;57;10;6;63;17;16;40;61;28;33;21;22;45;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;64;49;36;62;46;50;9;25;15;29;58
48;20;56;7;18;1;19;27;11;39;47;59;32;34;44;8;64;3;57;10;6;63;17;16;40;61;28;33;21;22;45;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;52;49;36;62;46;50;9;25;15;29;58;2;308
2;308;48;20;56;7;18;1;19;27;11;39;47;59;32;34;44;8;64;3;57;10;6;63;17;16;40;61;28;33;21;22;45;4;35;42;30;26;53;31;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;52;49;36;62;46;50;9;25;15;29;58
48;20;56;7;18;1;19;31;11;39;47;59;32;34;44;8;64;3;57;10;6;63;17;16;40;61;28;33;21;22;45;4;35;42;30;26;53;27;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;52;49;36;62;46;50;9;25;15;29;58;2;304
2;304;48;20;56;7;18;1;19;31;11;39;47;59;32;34;44;8;64;3;57;10;6;63;17;16;40;61;28;33;21;22;45;4;35;42;30;26;53;27;41;37;54;55;5;14;38;23;51;60;43;24;13;2;12;52;49;36;62;46;50;9;25;15;29;58
48;20;55;7;18;1;19;31;11;39;47;59;32;34;44;8;64;3;57;10;6;63;17;16;40;61;28;33;21;22;45;4;35;42;30;26;53;27;41;37;54;56;5;14;38;23;51;60;43;24;13;2;12;52;49;36;62;46;50;9;25;15;29;58;2;306
2;306;48;20;55;7;18;1;19;31;11;39;47;59;32;34;44;8;64;3;57;10;6;63;17;16;40;61;28;33;21;22;45;4;35;42;30;26;53;27;41;37;54;56;5;14;38;23;51;60;43;24;13;2;12;52;49;36;62;46;50;9;25;15;29;58
48;20;55;7;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;16;32;61;28;33;21;22;45;4;35;42;30;26;53;27;41;37;54;56;5;14;38;23;51;60;43;24;13;2;12;52;49;36;62;46;50;9;25;15;29;58;2;306
2;306;48;20;55;7;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;16;32;61;28;33;21;22;45;4;35;42;30;26;53;27;41;37;54;56;5;14;38;23;51;60;43;24;13;2;12;52;49;36;62;46;50;9;25;15;29;58
48;20;55;7;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;16;32;61;28;33;21;22;45;4;35;42;30;26;53;27;41;37;54;56;49;14;38;23;51;60;43;24;13;2;12;52;5;36;62;46;50;9;25;15;29;58;2;306
2;306;48;20;55;7;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;16;32;61;28;33;21;22;45;4;35;42;30;26;53;27;41;37;54;56;49;14;38;23;51;60;43;24;13;2;12;52;5;36;62;46;50;9;25;15;29;58
48;20;55;7;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;62;32;61;28;33;21;22;45;4;35;42;30;26;53;27;41;37;54;56;49;14;38;23;51;60;43;24;13;2;12;52;5;36;16;46;50;9;25;15;29;58;2;306
2;306;48;20;55;7;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;62;32;61;28;33;21;22;45;4;35;42;30;26;53;27;41;37;54;56;49;14;38;23;51;60;43;24;13;2;12;52;5;36;16;46;50;9;25;15;29;58
48;20;55;7;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;56;49;14;38;23;51;35;43;24;13;2;12;52;5;36;16;46;50;9;25;15;29;58;2;300
2;300;48;20;55;7;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;56;49;14;38;23;51;35;43;24;13;2;12;52;5;36;16;46;50;9;25;15;29;58
48;20;55;7;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;56;49;14;58;23;51;35;43;24;13;2;12;52;5;36;16;46;50;9;25;15;29;38;2;300
2;300;48;20;55;7;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;56;49;14;58;23;51;35;43;24;13;2;12;52;5;36;16;46;50;9;25;15;29;38
48;20;55;7;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;51;35;43;24;13;2;12;52;56;36;16;46;50;9;25;15;29;38;2;300
2;300;48;20;55;7;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;51;35;43;24;13;2;12;52;56;36;16;46;50;9;25;15;29;38
48;20;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;43;24;13;2;12;52;56;36;16;46;50;9;25;15;29;38;2;304
2;304;48;20;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;57;10;6;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;43;24;13;2;12;52;56;36;16;46;50;9;25;15;29;38
48;20;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;6;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;43;24;13;2;12;52;56;36;16;46;50;9;25;57;29;38;2;292
2;292;48;20;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;6;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;43;24;13;2;12;52;56;36;16;46;50;9;25;57;29;38
48;20;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;43;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;6;24;13;2;12;52;56;36;16;46;50;9;25;57;29;38;2;292
2;292;48;20;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;43;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;6;24;13;2;12;52;56;36;16;46;50;9;25;57;29;38
48;29;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;43;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;6;24;13;2;12;52;56;36;16;46;50;9;25;57;20;38;2;292
2;292;48;29;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;43;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;6;24;13;2;12;52;56;36;16;46;50;9;25;57;20;38
48;29;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;43;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;6;24;13;2;12;9;56;36;16;46;50;52;25;57;20;38;2;292
2;292;48;29;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;43;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;6;24;13;2;12;9;56;36;16;46;50;52;25;57;20;38
48;29;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;43;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;36;16;46;50;52;25;57;20;38;2;292
2;292;48;29;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;43;63;17;62;32;61;28;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;36;16;46;50;52;25;57;20;38
48;29;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;43;63;17;28;32;61;62;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;36;16;46;50;52;25;57;20;38;2;288
2;288;48;29;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;43;63;17;28;32;61;62;33;21;22;45;4;60;42;30;26;53;27;41;37;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;36;16;46;50;52;25;57;20;38
48;29;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;43;63;17;28;32;61;62;33;21;22;45;4;60;42;30;26;53;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;37;16;46;50;52;25;57;20;38;2;288
2;288;48;29;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;43;63;17;28;32;61;62;33;21;22;45;4;60;42;30;26;53;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;37;16;46;50;52;25;57;20;38
48;29;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;60;63;17;28;32;61;62;33;21;22;45;4;43;42;30;26;53;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;37;16;46;50;52;25;57;20;38;2;292
2;292;48;29;55;51;18;1;19;31;11;39;47;59;40;34;44;8;64;3;15;10;60;63;17;28;32;61;62;33;21;22;45;4;43;42;30;26;53;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;37;16;46;50;52;25;57;20;38
48;29;55;51;18;1;19;31;63;39;47;59;40;34;44;8;64;3;15;10;60;11;17;28;32;61;62;33;21;22;45;4;43;42;30;26;53;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;37;16;46;50;52;25;57;20;38;2;290
3;290;48;29;55;51;18;1;19;31;63;39;47;59;40;34;44;8;64;3;15;10;60;11;17;28;32;61;62;33;21;22;45;4;43;42;30;26;53;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;37;16;46;50;52;25;57;20;38
48;29;55;51;18;1;19;31;63;39;47;59;40;34;44;8;64;3;15;10;60;11;17;28;32;61;62;33;21;22;45;4;43;42;30;26;53;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;37;20;46;50;52;25;57;16;38;3;290
3;290;48;29;55;51;18;1;19;31;63;39;47;59;40;34;44;8;64;3;15;10;60;11;17;28;32;61;62;33;21;22;45;4;43;42;30;26;53;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;37;20;46;50;52;25;57;16;38
48;29;55;51;18;1;19;31;63;39;47;59;40;34;44;38;64;3;15;10;60;11;17;28;32;61;62;33;21;22;45;4;43;42;30;26;53;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;37;20;46;50;52;25;57;16;8;3;290
3;290;48;29;55;51;18;1;19;31;63;39;47;59;40;34;44;38;64;3;15;10;60;11;17;28;32;61;62;33;21;22;45;4;43;42;30;26;53;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;37;20;46;50;52;25;57;16;8
48;29;55;51;18;1;19;31;63;39;47;59;40;34;44;38;64;3;15;10;60;11;17;28;32;61;62;33;21;22;45;4;43;42;30;26;53;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;52;20;46;50;37;25;57;16;8;3;290
3;290;48;29;55;51;18;1;19;31;63;39;47;59;40;34;44;38;64;3;15;10;60;11;17;28;32;61;62;33;21;22;45;4;43;42;30;26;53;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;52;20;46;50;37;25;57;16;8
48;29;55;51;18;1;19;31;63;39;47;59;40;34;44;38;64;3;15;10;60;11;17;28;32;61;62;33;21;22;45;4;53;42;30;26;43;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;52;20;46;50;37;25;57;16;8;3;274
3;274;48;29;55;51;18;1;19;31;63;39;47;59;40;34;44;38;64;3;15;10;60;11;17;28;32;61;62;33;21;22;45;4;53;42;30;26;43;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;52;20;46;50;37;25;57;16;8
48;29;55;51;18;1;19;31;63;39;38;59;40;34;44;47;64;3;15;10;60;11;17;28;32;61;62;33;21;22;45;4;53;42;30;26;43;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;52;20;46;50;37;25;57;16;8;3;290
3;290;48;29;55;51;18;1;19;31;63;39;38;59;40;34;44;47;64;3;15;10;60;11;17;28;32;61;62;33;21;22;45;4;53;42;30;26;43;27;41;36;54;5;49;14;58;23;7;35;6;12;13;2;24;9;56;52;20;46;50;37;25;57;16;8
48;29;55;51;18;1;19;31;63;39;38;59;40;34;44;47;64;3;15;10;54;11;17;28;32;61;62;33;21;22;45;4;53;42;30;26;43;27;41;36;60;5;49;14;58;23;7;35;6;12;13;2;24;9;56;52;20;46;50;37;25;57;16;8;3;290
3;290;48;29;55;51;18;1;19;31;63;39;38;59;40;34;44;47;64;3;15;10;54;11;17;28;32;61;62;33;21;22;45;4;53;42;30;26;43;27;41;36;60;5;49;14;58;23;7;35;6;12;13;2;24;9;56;52;20;46;50;37;25;57;16;8
48;29;55;51;18;1;19;31;63;39;38;59;40;34;44;47;64;3;15;10;54;11;17;28;32;61;62;33;21;22;45;4;53;42;30;26;43;27;41;36;60;5;49;14;58;23;7;35;6;20;13;2;24;9;56;52;12;46;50;37;25;57;16;8;3;290
3;290;48;29;55;51;18;1;19;31;63;39;38;59;40;34;44;47;64;3;15;10;54;11;17;28;32;61;62;33;21;22;45;4;53;42;30;26;43;27;41;36;60;5;49;14;58;23;7;35;6;20;13;2;24;9;56;52;12;46;50;37;25;57;16;8
48;29;55;51;18;1;19;31;63;39;38;59;53;34;44;47;64;3;15;10;54;11;17;28;32;61;62;33;21;22;45;4;40;42;30;26;43;27;41;36;60;5;49;14;58;23;7;35;6;20;13;2;24;9;56;52;12;46;50;37;25;57;16;8;3;292
3;292;48;29;55;51;18;1;19;31;63;39;38;59;53;34;44;47;64;3;15;10;54;11;17;28;32;61;62;33;21;22;45;4;40;42;30;26;43;27;41;36;60;5;49;14;58;23;7;35;6;20;13;2;24;9;56;52;12;46;50;37;25;57;16;8
48;29;55;51;18;1;19;31;63;39;38;59;53;34;44;47;64;3;15;10;54;11;17;28;13;61;62;33;21;22;45;4;40;42;30;26;43;27;41;36;60;5;49;14;58;23;7;35;6;20;32;2;24;9;56;52;12;46;50;37;25;57;16;8;3;292
3;292;48;29;55;51;18;1;19;31;63;39;38;59;53;34;44;47;64;3;15;10;54;11;17;28;13;61;62;33;21;22;45;4;40;42;30;26;43;27;41;36;60;5;49;14;58;23;7;35;6;20;32;2;24;9;56;52;12;46;50;37;25;57;16;8
48;42;55;51;18;1;19;31;63;39;38;59;53;34;44;47;64;3;15;10;54;11;17;28;13;61;62;33;21;22;45;4;40;29;30;26;43;27;41;36;60;5;49;14;58;23;7;35;6;20;32;2;24;9;56;52;12;46;50;37;25;57;16;8;3;292
3;292;48;42;55;51;18;1;19;31;63;39;38;59;53;34;44;47;64;3;15;10;54;11;17;28;13;61;62;33;21;22;45;4;40;29;30;26;43;27;41;36;60;5;49;14;58;23;7;35;6;20;32;2;24;9;56;52;12;46;50;37;25;57;16;8
48;42;55;51;18;1;19;31;63;39;38;59;53;34;10;47;64;3;15;44;54;11;17;28;13;61;62;33;21;22;45;4;40;29;30;26;43;27;41;36;60;5;49;14;58;23;7;35;6;20;32;2;24;9;56;52;12;46;50;37;25;57;16;8;3;288
