"X1";"X5645929";"X17";"X6";"X16";"X10";"X19";"X26";"X3";"X14";"X13";"X15";"X9";"X5";"X11";"X24";"X8";"X1.1";"X2";"X18";"X20";"X25";"X21";"X23";"X12";"X7";"X4";"X22"
13;17;12;10;19;26;22;2;6;5;9;15;11;3;8;1;14;18;20;16;7;23;25;21;4;24;1;5745183
1;5745183;13;17;12;10;19;26;22;2;6;5;9;15;11;3;8;1;14;18;20;16;7;23;25;21;4;24
13;4;12;10;19;26;22;2;6;5;9;15;11;3;8;1;14;18;20;16;7;23;25;21;17;24;1;5670296
1;5670296;13;4;12;10;19;26;22;2;6;5;9;15;11;3;8;1;14;18;20;16;7;23;25;21;17;24
13;4;12;10;19;26;22;2;6;5;9;16;11;3;8;1;14;18;20;15;7;23;25;21;17;24;1;5693250
1;5693250;13;4;12;10;19;26;22;2;6;5;9;16;11;3;8;1;14;18;20;15;7;23;25;21;17;24
13;4;12;10;19;26;22;2;6;5;20;16;11;3;8;1;14;18;9;15;7;23;25;21;17;24;1;5653511
1;5653511;13;4;12;10;19;26;22;2;6;5;20;16;11;3;8;1;14;18;9;15;7;23;25;21;17;24
13;4;12;10;19;26;22;2;6;5;20;16;11;3;8;25;14;18;9;15;7;23;1;21;17;24;1;5747981
1;5747981;13;4;12;10;19;26;22;2;6;5;20;16;11;3;8;25;14;18;9;15;7;23;1;21;17;24
13;4;12;10;19;26;22;8;6;5;20;16;11;3;2;25;14;18;9;15;7;23;1;21;17;24;1;5706714
1;5706714;13;4;12;10;19;26;22;8;6;5;20;16;11;3;2;25;14;18;9;15;7;23;1;21;17;24
13;4;12;10;19;26;22;23;6;5;20;16;11;3;2;25;14;18;9;15;7;8;1;21;17;24;1;5768766
1;5768766;13;4;12;10;19;26;22;23;6;5;20;16;11;3;2;25;14;18;9;15;7;8;1;21;17;24
13;4;12;10;19;26;22;23;6;5;20;16;11;3;2;25;15;18;9;14;7;8;1;21;17;24;1;5845809
1;5845809;13;4;12;10;19;26;22;23;6;5;20;16;11;3;2;25;15;18;9;14;7;8;1;21;17;24
13;4;12;10;19;26;22;3;6;5;20;16;11;23;2;25;15;18;9;14;7;8;1;21;17;24;1;5791402
1;5791402;13;4;12;10;19;26;22;3;6;5;20;16;11;23;2;25;15;18;9;14;7;8;1;21;17;24
13;4;12;10;19;26;22;3;6;5;20;14;11;23;2;25;15;18;9;16;7;8;1;21;17;24;1;5731075
1;5731075;13;4;12;10;19;26;22;3;6;5;20;14;11;23;2;25;15;18;9;16;7;8;1;21;17;24
13;4;12;24;19;26;22;3;6;5;20;14;11;23;2;25;15;18;9;16;7;8;1;21;17;10;1;5726026
1;5726026;13;4;12;24;19;26;22;3;6;5;20;14;11;23;2;25;15;18;9;16;7;8;1;21;17;10
13;4;12;24;19;26;22;3;9;5;20;14;11;23;2;25;15;18;6;16;7;8;1;21;17;10;1;5762615
2;5762615;13;4;12;24;19;26;22;3;9;5;20;14;11;23;2;25;15;18;6;16;7;8;1;21;17;10
13;4;12;24;19;26;22;3;9;5;20;17;11;23;2;25;15;18;6;16;7;8;1;21;14;10;2;5888375
2;5888375;13;4;12;24;19;26;22;3;9;5;20;17;11;23;2;25;15;18;6;16;7;8;1;21;14;10
13;24;12;4;19;26;22;3;9;5;20;17;11;23;2;25;15;18;6;16;7;8;1;21;14;10;2;5899094
2;5899094;13;24;12;4;19;26;22;3;9;5;20;17;11;23;2;25;15;18;6;16;7;8;1;21;14;10
13;16;12;4;19;26;22;3;9;5;20;17;11;23;2;25;15;18;6;24;7;8;1;21;14;10;2;5894088
2;5894088;13;16;12;4;19;26;22;3;9;5;20;17;11;23;2;25;15;18;6;24;7;8;1;21;14;10
13;26;12;4;19;16;22;3;9;5;20;17;11;23;2;25;15;18;6;24;7;8;1;21;14;10;2;5888528
2;5888528;13;26;12;4;19;16;22;3;9;5;20;17;11;23;2;25;15;18;6;24;7;8;1;21;14;10
19;26;12;4;13;16;22;3;9;5;20;17;11;23;2;25;15;18;6;24;7;8;1;21;14;10;2;5911643
2;5911643;19;26;12;4;13;16;22;3;9;5;20;17;11;23;2;25;15;18;6;24;7;8;1;21;14;10
19;26;12;4;13;16;22;3;9;5;21;17;11;23;2;25;15;18;6;24;7;8;1;20;14;10;2;5899428
2;5899428;19;26;12;4;13;16;22;3;9;5;21;17;11;23;2;25;15;18;6;24;7;8;1;20;14;10
19;26;12;4;17;16;22;3;9;5;21;13;11;23;2;25;15;18;6;24;7;8;1;20;14;10;2;5874437
2;5874437;19;26;12;4;17;16;22;3;9;5;21;13;11;23;2;25;15;18;6;24;7;8;1;20;14;10
19;14;12;4;17;16;22;3;9;5;21;13;11;23;2;25;15;18;6;24;7;8;1;20;26;10;2;5824354
2;5824354;19;14;12;4;17;16;22;3;9;5;21;13;11;23;2;25;15;18;6;24;7;8;1;20;26;10
19;14;12;4;17;16;22;21;9;5;3;13;11;23;2;25;15;18;6;24;7;8;1;20;26;10;2;5879484
2;5879484;19;14;12;4;17;16;22;21;9;5;3;13;11;23;2;25;15;18;6;24;7;8;1;20;26;10
20;14;12;4;17;16;22;21;9;5;3;13;11;23;2;25;15;18;6;24;7;8;1;19;26;10;2;5843804
2;5843804;20;14;12;4;17;16;22;21;9;5;3;13;11;23;2;25;15;18;6;24;7;8;1;19;26;10
6;14;12;4;17;16;22;21;9;5;3;13;11;23;2;25;15;18;20;24;7;8;1;19;26;10;2;5837388
2;5837388;6;14;12;4;17;16;22;21;9;5;3;13;11;23;2;25;15;18;20;24;7;8;1;19;26;10
6;14;12;4;17;16;22;21;9;5;3;13;11;23;2;19;15;18;20;24;7;8;1;25;26;10;2;5878580
2;5878580;6;14;12;4;17;16;22;21;9;5;3;13;11;23;2;19;15;18;20;24;7;8;1;25;26;10
6;14;12;4;17;16;22;21;9;5;3;13;11;23;2;18;15;19;20;24;7;8;1;25;26;10;2;5916657
2;5916657;6;14;12;4;17;16;22;21;9;5;3;13;11;23;2;18;15;19;20;24;7;8;1;25;26;10
6;14;12;4;10;16;22;21;9;5;3;13;11;23;2;18;15;19;20;24;7;8;1;25;26;17;2;5920155
2;5920155;6;14;12;4;10;16;22;21;9;5;3;13;11;23;2;18;15;19;20;24;7;8;1;25;26;17
6;14;12;4;10;16;22;21;9;5;11;13;3;23;2;18;15;19;20;24;7;8;1;25;26;17;2;5919716
2;5919716;6;14;12;4;10;16;22;21;9;5;11;13;3;23;2;18;15;19;20;24;7;8;1;25;26;17
6;14;12;4;10;16;22;21;9;5;25;13;3;23;2;18;15;19;20;24;7;8;1;11;26;17;2;5927548
2;5927548;6;14;12;4;10;16;22;21;9;5;25;13;3;23;2;18;15;19;20;24;7;8;1;11;26;17
6;14;12;4;10;16;22;21;9;5;25;13;3;23;2;18;15;19;20;8;7;24;1;11;26;17;2;5923311
2;5923311;6;14;12;4;10;16;22;21;9;5;25;13;3;23;2;18;15;19;20;8;7;24;1;11;26;17
6;14;19;4;10;16;22;21;9;5;25;13;3;23;2;18;15;12;20;8;7;24;1;11;26;17;2;5930124
2;5930124;6;14;19;4;10;16;22;21;9;5;25;13;3;23;2;18;15;12;20;8;7;24;1;11;26;17
6;14;19;4;21;16;22;10;9;5;25;13;3;23;2;18;15;12;20;8;7;24;1;11;26;17;2;5981257
2;5981257;6;14;19;4;21;16;22;10;9;5;25;13;3;23;2;18;15;12;20;8;7;24;1;11;26;17
6;14;19;4;21;16;22;10;9;5;25;13;3;23;2;18;15;12;11;8;7;24;1;20;26;17;2;6008020
3;6008020;6;14;19;4;21;16;22;10;9;5;25;13;3;23;2;18;15;12;11;8;7;24;1;20;26;17
6;14;19;4;21;16;22;10;9;5;25;13;3;1;2;18;15;12;11;8;7;24;23;20;26;17;3;5943708
3;5943708;6;14;19;4;21;16;22;10;9;5;25;13;3;1;2;18;15;12;11;8;7;24;23;20;26;17
6;14;19;24;21;16;22;10;9;5;25;13;3;1;2;18;15;12;11;8;7;4;23;20;26;17;3;5943863
3;5943863;6;14;19;24;21;16;22;10;9;5;25;13;3;1;2;18;15;12;11;8;7;4;23;20;26;17
6;14;19;24;21;16;22;10;9;5;25;13;3;1;2;18;15;12;11;8;7;4;17;20;26;23;3;5955027
3;5955027;6;14;19;24;21;16;22;10;9;5;25;13;3;1;2;18;15;12;11;8;7;4;17;20;26;23
6;14;19;24;21;16;1;10;9;5;25;13;3;22;2;18;15;12;11;8;7;4;17;20;26;23;3;5913125
3;5913125;6;14;19;24;21;16;1;10;9;5;25;13;3;22;2;18;15;12;11;8;7;4;17;20;26;23
6;14;19;24;21;1;16;10;9;5;25;13;3;22;2;18;15;12;11;8;7;4;17;20;26;23;3;5913125
3;5913125;6;14;19;24;21;1;16;10;9;5;25;13;3;22;2;18;15;12;11;8;7;4;17;20;26;23
6;20;19;24;21;1;16;10;9;5;25;13;3;22;2;18;15;12;11;8;7;4;17;14;26;23;3;5907321
3;5907321;6;20;19;24;21;1;16;10;9;5;25;13;3;22;2;18;15;12;11;8;7;4;17;14;26;23
21;20;19;24;6;1;16;10;9;5;25;13;3;22;2;18;15;12;11;8;7;4;17;14;26;23;3;5887824
3;5887824;21;20;19;24;6;1;16;10;9;5;25;13;3;22;2;18;15;12;11;8;7;4;17;14;26;23
21;20;19;24;6;10;16;1;9;5;25;13;3;22;2;18;15;12;11;8;7;4;17;14;26;23;3;5891063
3;5891063;21;20;19;24;6;10;16;1;9;5;25;13;3;22;2;18;15;12;11;8;7;4;17;14;26;23
21;20;19;24;6;10;16;1;9;5;25;13;3;22;2;18;15;12;11;4;7;8;17;14;26;23;3;5893998
3;5893998;21;20;19;24;6;10;16;1;9;5;25;13;3;22;2;18;15;12;11;4;7;8;17;14;26;23
21;1;19;24;6;10;16;20;9;5;25;13;3;22;2;18;15;12;11;4;7;8;17;14;26;23;3;5980805
3;5980805;21;1;19;24;6;10;16;20;9;5;25;13;3;22;2;18;15;12;11;4;7;8;17;14;26;23
21;1;19;24;15;10;16;20;9;5;25;13;3;22;2;18;6;12;11;4;7;8;17;14;26;23;3;6011612
3;6011612;21;1;19;24;15;10;16;20;9;5;25;13;3;22;2;18;6;12;11;4;7;8;17;14;26;23
21;1;19;24;15;10;16;20;9;5;25;13;3;22;2;18;6;12;7;4;11;8;17;14;26;23;3;6019845
3;6019845;21;1;19;24;15;10;16;20;9;5;25;13;3;22;2;18;6;12;7;4;11;8;17;14;26;23
21;1;19;24;15;10;16;20;9;5;25;13;3;22;2;18;6;12;7;23;11;8;17;14;26;4;3;6033554
3;6033554;21;1;19;24;15;10;16;20;9;5;25;13;3;22;2;18;6;12;7;23;11;8;17;14;26;4
21;1;19;24;15;10;16;20;9;5;25;13;3;22;2;7;6;12;18;23;11;8;17;14;26;4;3;5963984
3;5963984;21;1;19;24;15;10;16;20;9;5;25;13;3;22;2;7;6;12;18;23;11;8;17;14;26;4
21;1;19;24;15;10;16;20;8;5;25;13;3;22;2;7;6;12;18;23;11;9;17;14;26;4;3;5938596
3;5938596;21;1;19;24;15;10;16;20;8;5;25;13;3;22;2;7;6;12;18;23;11;9;17;14;26;4
21;1;19;24;15;10;16;20;8;5;25;13;2;22;3;7;6;12;18;23;11;9;17;14;26;4;3;5934529
3;5934529;21;1;19;24;15;10;16;20;8;5;25;13;2;22;3;7;6;12;18;23;11;9;17;14;26;4
21;1;19;24;15;10;4;20;8;5;25;13;2;22;3;7;6;12;18;23;11;9;17;14;26;16;3;5929516
3;5929516;21;1;19;24;15;10;4;20;8;5;25;13;2;22;3;7;6;12;18;23;11;9;17;14;26;16
8;1;19;24;15;10;4;20;21;5;25;13;2;22;3;7;6;12;18;23;11;9;17;14;26;16;3;5932590
3;5932590;8;1;19;24;15;10;4;20;21;5;25;13;2;22;3;7;6;12;18;23;11;9;17;14;26;16
8;1;19;24;15;10;4;20;21;5;25;13;2;14;3;7;6;12;18;23;11;9;17;22;26;16;3;5848187
3;5848187;8;1;19;24;15;10;4;20;21;5;25;13;2;14;3;7;6;12;18;23;11;9;17;22;26;16
8;1;19;24;15;10;26;20;21;5;25;13;2;14;3;7;6;12;18;23;11;9;17;22;4;16;3;5850470
4;5850470;8;1;19;24;15;10;26;20;21;5;25;13;2;14;3;7;6;12;18;23;11;9;17;22;4;16
8;1;19;24;15;10;26;20;21;5;25;13;2;14;3;7;6;23;18;12;11;9;17;22;4;16;4;5888085
4;5888085;8;1;19;24;15;10;26;20;21;5;25;13;2;14;3;7;6;23;18;12;11;9;17;22;4;16
8;1;19;15;24;10;26;20;21;5;25;13;2;14;3;7;6;23;18;12;11;9;17;22;4;16;4;5903465
4;5903465;8;1;19;15;24;10;26;20;21;5;25;13;2;14;3;7;6;23;18;12;11;9;17;22;4;16
8;1;19;22;24;10;26;20;21;5;25;13;2;14;3;7;6;23;18;12;11;9;17;15;4;16;4;5905968
4;5905968;8;1;19;22;24;10;26;20;21;5;25;13;2;14;3;7;6;23;18;12;11;9;17;15;4;16
8;1;19;22;24;10;26;20;17;5;25;13;2;14;3;7;6;23;18;12;11;9;21;15;4;16;4;5938010
4;5938010;8;1;19;22;24;10;26;20;17;5;25;13;2;14;3;7;6;23;18;12;11;9;21;15;4;16
8;1;19;22;15;10;26;20;17;5;25;13;2;14;3;7;6;23;18;12;11;9;21;24;4;16;4;5909072
4;5909072;8;1;19;22;15;10;26;20;17;5;25;13;2;14;3;7;6;23;18;12;11;9;21;24;4;16
8;1;19;22;15;10;26;20;17;5;25;9;2;14;3;7;6;23;18;12;11;13;21;24;4;16;4;5841537
4;5841537;8;1;19;22;15;10;26;20;17;5;25;9;2;14;3;7;6;23;18;12;11;13;21;24;4;16
8;1;19;22;15;10;26;20;17;5;25;9;2;14;11;7;6;23;18;12;3;13;21;24;4;16;4;5852462
4;5852462;8;1;19;22;15;10;26;20;17;5;25;9;2;14;11;7;6;23;18;12;3;13;21;24;4;16
8;1;7;22;15;10;26;20;17;5;25;9;2;14;11;19;6;23;18;12;3;13;21;24;4;16;4;5839346
4;5839346;8;1;7;22;15;10;26;20;17;5;25;9;2;14;11;19;6;23;18;12;3;13;21;24;4;16
8;1;7;16;15;10;26;20;17;5;25;9;2;14;11;19;6;23;18;12;3;13;21;24;4;22;4;5841419
4;5841419;8;1;7;16;15;10;26;20;17;5;25;9;2;14;11;19;6;23;18;12;3;13;21;24;4;22
8;1;7;16;15;10;26;20;24;5;25;9;2;14;11;19;6;23;18;12;3;13;21;17;4;22;4;5841266
4;5841266;8;1;7;16;15;10;26;20;24;5;25;9;2;14;11;19;6;23;18;12;3;13;21;17;4;22
8;1;7;19;15;10;26;20;24;5;25;9;2;14;11;16;6;23;18;12;3;13;21;17;4;22;4;5861314
4;5861314;8;1;7;19;15;10;26;20;24;5;25;9;2;14;11;16;6;23;18;12;3;13;21;17;4;22
8;1;7;19;15;10;26;20;24;5;16;9;2;14;11;25;6;23;18;12;3;13;21;17;4;22;4;5863479
4;5863479;8;1;7;19;15;10;26;20;24;5;16;9;2;14;11;25;6;23;18;12;3;13;21;17;4;22
8;1;7;19;15;10;26;5;24;20;16;9;2;14;11;25;6;23;18;12;3;13;21;17;4;22;4;5863739
4;5863739;8;1;7;19;15;10;26;5;24;20;16;9;2;14;11;25;6;23;18;12;3;13;21;17;4;22
8;1;7;19;15;10;26;5;23;20;16;9;2;14;11;25;6;24;18;12;3;13;21;17;4;22;4;5867072
4;5867072;8;1;7;19;15;10;26;5;23;20;16;9;2;14;11;25;6;24;18;12;3;13;21;17;4;22
8;1;7;19;15;10;26;5;23;4;16;9;2;14;11;25;6;24;18;12;3;13;21;17;20;22;4;5878516
4;5878516;8;1;7;19;15;10;26;5;23;4;16;9;2;14;11;25;6;24;18;12;3;13;21;17;20;22
8;1;7;19;15;10;26;5;23;4;16;9;2;14;11;25;6;24;18;3;12;13;21;17;20;22;4;5957896
4;5957896;8;1;7;19;15;10;26;5;23;4;16;9;2;14;11;25;6;24;18;3;12;13;21;17;20;22
8;1;7;12;15;10;26;5;23;4;16;9;2;14;11;25;6;24;18;3;19;13;21;17;20;22;4;5950241
4;5950241;8;1;7;12;15;10;26;5;23;4;16;9;2;14;11;25;6;24;18;3;19;13;21;17;20;22
8;1;7;12;15;10;26;5;4;23;16;9;2;14;11;25;6;24;18;3;19;13;21;17;20;22;4;5952281
4;5952281;8;1;7;12;15;10;26;5;4;23;16;9;2;14;11;25;6;24;18;3;19;13;21;17;20;22
8;1;7;12;15;10;26;5;4;23;16;21;2;14;11;25;6;24;18;3;19;13;9;17;20;22;4;6010481
4;6010481;8;1;7;12;15;10;26;5;4;23;16;21;2;14;11;25;6;24;18;3;19;13;9;17;20;22
8;1;7;25;15;10;26;5;4;23;16;21;2;14;11;12;6;24;18;3;19;13;9;17;20;22;4;5969639
5;5969639;8;1;7;25;15;10;26;5;4;23;16;21;2;14;11;12;6;24;18;3;19;13;9;17;20;22
8;1;7;25;15;10;26;5;4;23;16;21;2;14;24;12;6;11;18;3;19;13;9;17;20;22;5;5961572
5;5961572;8;1;7;25;15;10;26;5;4;23;16;21;2;14;24;12;6;11;18;3;19;13;9;17;20;22
8;1;7;25;23;10;26;5;4;15;16;21;2;14;24;12;6;11;18;3;19;13;9;17;20;22;5;5967250
5;5967250;8;1;7;25;23;10;26;5;4;15;16;21;2;14;24;12;6;11;18;3;19;13;9;17;20;22
8;1;18;25;23;10;26;5;4;15;16;21;2;14;24;12;6;11;7;3;19;13;9;17;20;22;5;5988074
5;5988074;8;1;18;25;23;10;26;5;4;15;16;21;2;14;24;12;6;11;7;3;19;13;9;17;20;22
8;1;18;25;23;10;26;5;4;15;16;2;21;14;24;12;6;11;7;3;19;13;9;17;20;22;5;5978890
5;5978890;8;1;18;25;23;10;26;5;4;15;16;2;21;14;24;12;6;11;7;3;19;13;9;17;20;22
8;1;18;25;23;10;26;5;4;15;16;2;21;20;24;12;6;11;7;3;19;13;9;17;14;22;5;6050067
5;6050067;8;1;18;25;23;10;26;5;4;15;16;2;21;20;24;12;6;11;7;3;19;13;9;17;14;22
8;1;18;25;23;10;26;5;4;15;16;2;22;20;24;12;6;11;7;3;19;13;9;17;14;21;5;6073446
5;6073446;8;1;18;25;23;10;26;5;4;15;16;2;22;20;24;12;6;11;7;3;19;13;9;17;14;21
9;1;18;25;23;10;26;5;4;15;16;2;22;20;24;12;6;11;7;3;19;13;8;17;14;21;5;6019538
5;6019538;9;1;18;25;23;10;26;5;4;15;16;2;22;20;24;12;6;11;7;3;19;13;8;17;14;21
9;1;18;25;23;10;26;5;4;13;16;2;22;20;24;12;6;11;7;3;19;15;8;17;14;21;5;6048146
5;6048146;9;1;18;25;23;10;26;5;4;13;16;2;22;20;24;12;6;11;7;3;19;15;8;17;14;21
9;1;18;25;23;10;26;5;4;13;8;2;22;20;24;12;6;11;7;3;19;15;16;17;14;21;5;6013047
5;6013047;9;1;18;25;23;10;26;5;4;13;8;2;22;20;24;12;6;11;7;3;19;15;16;17;14;21
9;1;18;25;23;26;10;5;4;13;8;2;22;20;24;12;6;11;7;3;19;15;16;17;14;21;5;6013047
5;6013047;9;1;18;25;23;26;10;5;4;13;8;2;22;20;24;12;6;11;7;3;19;15;16;17;14;21
9;1;18;25;23;26;10;5;4;13;8;2;22;20;24;12;19;11;7;3;6;15;16;17;14;21;5;5939711
5;5939711;9;1;18;25;23;26;10;5;4;13;8;2;22;20;24;12;19;11;7;3;6;15;16;17;14;21
9;1;18;16;23;26;10;5;4;13;8;2;22;20;24;12;19;11;7;3;6;15;25;17;14;21;5;5938631
5;5938631;9;1;18;16;23;26;10;5;4;13;8;2;22;20;24;12;19;11;7;3;6;15;25;17;14;21
12;1;18;16;23;26;10;5;4;13;8;2;22;20;24;9;19;11;7;3;6;15;25;17;14;21;5;6025769
5;6025769;12;1;18;16;23;26;10;5;4;13;8;2;22;20;24;9;19;11;7;3;6;15;25;17;14;21
5;1;18;16;23;26;10;12;4;13;8;2;22;20;24;9;19;11;7;3;6;15;25;17;14;21;5;5915282
5;5915282;5;1;18;16;23;26;10;12;4;13;8;2;22;20;24;9;19;11;7;3;6;15;25;17;14;21
5;1;18;16;23;26;10;12;4;13;8;2;22;20;24;9;19;11;7;3;15;6;25;17;14;21;5;5899449
5;5899449;5;1;18;16;23;26;10;12;4;13;8;2;22;20;24;9;19;11;7;3;15;6;25;17;14;21
5;1;18;16;25;26;10;12;4;13;8;2;22;20;24;9;19;11;7;3;15;6;23;17;14;21;5;5901976
5;5901976;5;1;18;16;25;26;10;12;4;13;8;2;22;20;24;9;19;11;7;3;15;6;23;17;14;21
5;23;18;16;25;26;10;12;4;13;8;2;22;20;24;9;19;11;7;3;15;6;1;17;14;21;5;5922384
5;5922384;5;23;18;16;25;26;10;12;4;13;8;2;22;20;24;9;19;11;7;3;15;6;1;17;14;21
5;23;12;16;25;26;10;18;4;13;8;2;22;20;24;9;19;11;7;3;15;6;1;17;14;21;5;5857428
5;5857428;5;23;12;16;25;26;10;18;4;13;8;2;22;20;24;9;19;11;7;3;15;6;1;17;14;21
17;23;12;16;25;26;10;18;4;13;8;2;22;20;24;9;19;11;7;3;15;6;1;5;14;21;5;5905361
5;5905361;17;23;12;16;25;26;10;18;4;13;8;2;22;20;24;9;19;11;7;3;15;6;1;5;14;21
17;23;12;16;25;26;10;18;4;13;8;2;22;20;24;5;19;11;7;3;15;6;1;9;14;21;5;6031569
6;6031569;17;23;12;16;25;26;10;18;4;13;8;2;22;20;24;5;19;11;7;3;15;6;1;9;14;21
17;23;12;16;25;26;10;18;4;8;13;2;22;20;24;5;19;11;7;3;15;6;1;9;14;21;6;6006875
6;6006875;17;23;12;16;25;26;10;18;4;8;13;2;22;20;24;5;19;11;7;3;15;6;1;9;14;21
17;23;12;16;25;26;10;18;4;8;6;2;22;20;24;5;19;11;7;3;15;13;1;9;14;21;6;6015619
6;6015619;17;23;12;16;25;26;10;18;4;8;6;2;22;20;24;5;19;11;7;3;15;13;1;9;14;21
17;23;12;16;25;26;10;18;4;8;2;6;22;20;24;5;19;11;7;3;15;13;1;9;14;21;6;6015495
6;6015495;17;23;12;16;25;26;10;18;4;8;2;6;22;20;24;5;19;11;7;3;15;13;1;9;14;21
17;23;12;15;25;26;10;18;4;8;2;6;22;20;24;5;19;11;7;3;16;13;1;9;14;21;6;6003930
6;6003930;17;23;12;15;25;26;10;18;4;8;2;6;22;20;24;5;19;11;7;3;16;13;1;9;14;21
17;23;12;25;15;26;10;18;4;8;2;6;22;20;24;5;19;11;7;3;16;13;1;9;14;21;6;6001670
6;6001670;17;23;12;25;15;26;10;18;4;8;2;6;22;20;24;5;19;11;7;3;16;13;1;9;14;21
17;23;12;25;15;26;10;18;4;22;2;6;8;20;24;5;19;11;7;3;16;13;1;9;14;21;6;5986733
6;5986733;17;23;12;25;15;26;10;18;4;22;2;6;8;20;24;5;19;11;7;3;16;13;1;9;14;21
17;23;12;25;15;22;10;18;4;26;2;6;8;20;24;5;19;11;7;3;16;13;1;9;14;21;6;5978476
6;5978476;17;23;12;25;15;22;10;18;4;26;2;6;8;20;24;5;19;11;7;3;16;13;1;9;14;21
17;23;12;25;15;22;10;18;6;26;2;4;8;20;24;5;19;11;7;3;16;13;1;9;14;21;6;5958247
6;5958247;17;23;12;25;15;22;10;18;6;26;2;4;8;20;24;5;19;11;7;3;16;13;1;9;14;21
17;23;12;11;15;22;10;18;6;26;2;4;8;20;24;5;19;25;7;3;16;13;1;9;14;21;6;5976566
6;5976566;17;23;12;11;15;22;10;18;6;26;2;4;8;20;24;5;19;25;7;3;16;13;1;9;14;21
17;23;12;11;15;22;10;18;14;26;2;4;8;20;24;5;19;25;7;3;16;13;1;9;6;21;6;5958844
6;5958844;17;23;12;11;15;22;10;18;14;26;2;4;8;20;24;5;19;25;7;3;16;13;1;9;6;21
17;23;12;11;15;22;10;18;14;8;2;4;26;20;24;5;19;25;7;3;16;13;1;9;6;21;6;5956828
6;5956828;17;23;12;11;15;22;10;18;14;8;2;4;26;20;24;5;19;25;7;3;16;13;1;9;6;21
17;23;12;11;15;22;10;18;14;8;5;4;26;20;24;2;19;25;7;3;16;13;1;9;6;21;6;5778948
6;5778948;17;23;12;11;15;22;10;18;14;8;5;4;26;20;24;2;19;25;7;3;16;13;1;9;6;21
17;23;12;11;15;22;10;18;14;8;5;4;26;20;9;2;19;25;7;3;16;13;1;24;6;21;6;5728495
6;5728495;17;23;12;11;15;22;10;18;14;8;5;4;26;20;9;2;19;25;7;3;16;13;1;24;6;21
17;23;12;11;15;22;10;18;1;8;5;4;26;20;9;2;19;25;7;3;16;13;14;24;6;21;6;5848719
6;5848719;17;23;12;11;15;22;10;18;1;8;5;4;26;20;9;2;19;25;7;3;16;13;14;24;6;21
17;23;12;11;15;22;10;18;1;8;5;4;26;20;9;2;19;25;7;16;3;13;14;24;6;21;6;5850096
6;5850096;17;23;12;11;15;22;10;18;1;8;5;4;26;20;9;2;19;25;7;16;3;13;14;24;6;21
17;23;22;11;15;12;10;18;1;8;5;4;26;20;9;2;19;25;7;16;3;13;14;24;6;21;6;5859842
6;5859842;17;23;22;11;15;12;10;18;1;8;5;4;26;20;9;2;19;25;7;16;3;13;14;24;6;21
17;23;22;11;15;12;10;18;7;8;5;4;26;20;9;2;19;25;1;16;3;13;14;24;6;21;6;5833344
6;5833344;17;23;22;11;15;12;10;18;7;8;5;4;26;20;9;2;19;25;1;16;3;13;14;24;6;21
17;23;22;11;15;12;10;18;7;8;5;4;26;20;9;14;19;25;1;16;3;13;2;24;6;21;6;5708725
6;5708725;17;23;22;11;15;12;10;18;7;8;5;4;26;20;9;14;19;25;1;16;3;13;2;24;6;21
