"X1";"X288";"X2";"X57";"X11";"X54";"X62";"X40";"X19";"X46";"X36";"X34";"X41";"X7";"X3";"X15";"X27";"X31";"X28";"X35";"X24";"X39";"X23";"X38";"X17";"X51";"X1.1";"X48";"X52";"X42";"X47";"X14";"X16";"X25";"X21";"X63";"X20";"X32";"X49";"X55";"X6";"X8";"X5";"X61";"X18";"X60";"X22";"X43";"X64";"X9";"X59";"X30";"X10";"X12";"X44";"X37";"X13";"X58";"X26";"X45";"X53";"X29";"X4";"X50";"X56";"X33"
1;280;2;57;11;54;62;40;19;46;29;34;41;6;35;10;27;31;28;1;24;39;23;38;17;51;3;48;52;42;47;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;12;44;37;13;58;26;45;53;36;4;50;56;33
2;57;11;54;62;40;19;46;29;34;41;6;35;10;27;31;28;1;47;39;23;38;17;51;3;48;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;12;44;37;13;58;26;45;53;36;4;50;56;33;1;264
1;264;2;57;11;54;62;40;19;46;29;34;41;6;35;10;27;31;28;1;47;39;23;38;17;51;3;48;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;12;44;37;13;58;26;45;53;36;4;50;56;33
2;57;11;48;62;40;19;46;29;34;41;6;35;10;27;31;28;1;47;39;23;38;17;51;3;54;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;12;44;37;13;58;26;45;53;36;4;50;56;33;1;264
1;264;2;57;11;48;62;40;19;46;29;34;41;6;35;10;27;31;28;1;47;39;23;38;17;51;3;54;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;12;44;37;13;58;26;45;53;36;4;50;56;33
2;57;11;48;62;40;19;46;29;34;41;6;35;10;27;31;28;1;47;39;23;38;17;51;3;54;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;26;44;37;13;58;12;45;53;36;4;50;56;33;1;264
1;264;2;57;11;48;62;40;19;46;29;34;41;6;35;10;27;31;28;1;47;39;23;38;17;51;3;54;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;26;44;37;13;58;12;45;53;36;4;50;56;33
2;57;11;48;62;40;19;46;29;34;33;6;35;10;27;31;28;1;47;39;23;38;17;51;3;54;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;26;44;37;13;58;12;45;53;36;4;50;56;41;1;272
1;272;2;57;11;48;62;40;19;46;29;34;33;6;35;10;27;31;28;1;47;39;23;38;17;51;3;54;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;26;44;37;13;58;12;45;53;36;4;50;56;41
2;57;11;48;62;40;19;10;29;34;33;6;35;46;27;31;28;1;47;39;23;38;17;51;3;54;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;26;44;37;13;58;12;45;53;36;4;50;56;41;1;272
1;272;2;57;11;48;62;40;19;10;29;34;33;6;35;46;27;31;28;1;47;39;23;38;17;51;3;54;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;26;44;37;13;58;12;45;53;36;4;50;56;41
2;57;11;48;62;40;19;10;29;34;33;6;35;46;27;31;28;1;47;36;23;38;17;51;3;54;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;26;44;37;13;58;12;45;53;39;4;50;56;41;1;264
1;264;2;57;11;48;62;40;19;10;29;34;33;6;35;46;27;31;28;1;47;36;23;38;17;51;3;54;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;26;44;37;13;58;12;45;53;39;4;50;56;41
2;57;11;48;62;40;19;10;29;34;33;6;35;46;27;31;28;1;47;36;23;38;17;51;3;54;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;41;30;15;26;44;37;13;58;12;45;53;39;4;50;56;59;1;264
1;264;2;57;11;48;62;40;19;10;29;34;33;6;35;46;27;31;28;1;47;36;23;38;17;51;3;54;52;42;24;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;41;30;15;26;44;37;13;58;12;45;53;39;4;50;56;59
2;57;11;48;62;40;19;10;29;34;33;6;35;46;27;31;28;1;47;36;23;38;17;51;3;54;52;42;24;14;16;25;55;63;20;32;49;21;7;8;5;61;18;60;22;43;64;9;41;30;15;26;44;37;13;58;12;45;53;39;4;50;56;59;1;264
1;264;2;57;11;48;62;40;19;10;29;34;33;6;35;46;27;31;28;1;47;36;23;38;17;51;3;54;52;42;24;14;16;25;55;63;20;32;49;21;7;8;5;61;18;60;22;43;64;9;41;30;15;26;44;37;13;58;12;45;53;39;4;50;56;59
2;57;11;48;62;40;19;10;29;34;33;6;35;46;27;31;28;1;47;36;23;38;17;51;3;54;52;42;24;14;16;25;55;63;20;32;49;21;7;8;5;61;18;60;22;43;64;9;41;15;30;26;44;37;13;58;12;45;53;39;4;50;56;59;1;264
1;264;2;57;11;48;62;40;19;10;29;34;33;6;35;46;27;31;28;1;47;36;23;38;17;51;3;54;52;42;24;14;16;25;55;63;20;32;49;21;7;8;5;61;18;60;22;43;64;9;41;15;30;26;44;37;13;58;12;45;53;39;4;50;56;59
2;57;11;48;12;40;19;10;29;34;33;6;35;46;27;31;28;1;47;36;23;38;17;51;3;54;52;42;24;14;16;25;55;63;20;32;49;21;7;8;5;61;18;60;22;43;64;9;41;15;30;26;44;37;13;58;62;45;53;39;4;50;56;59;1;264
1;264;2;57;11;48;12;40;19;10;29;34;33;6;35;46;27;31;28;1;47;36;23;38;17;51;3;54;52;42;24;14;16;25;55;63;20;32;49;21;7;8;5;61;18;60;22;43;64;9;41;15;30;26;44;37;13;58;62;45;53;39;4;50;56;59
2;57;11;48;12;40;19;10;29;34;33;6;35;46;27;31;51;1;47;36;23;38;17;28;3;54;52;42;24;14;16;25;55;63;20;32;49;21;7;8;5;61;18;60;22;43;64;9;41;15;30;26;44;37;13;58;62;45;53;39;4;50;56;59;1;256
1;256;2;57;11;48;12;40;19;10;29;34;33;6;35;46;27;31;51;1;47;36;23;38;17;28;3;54;52;42;24;14;16;25;55;63;20;32;49;21;7;8;5;61;18;60;22;43;64;9;41;15;30;26;44;37;13;58;62;45;53;39;4;50;56;59
2;57;11;48;12;40;19;10;29;34;33;6;35;46;21;31;51;1;47;36;23;38;17;28;3;54;52;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;18;60;22;43;64;9;41;15;30;26;44;37;13;58;62;45;53;39;4;50;56;59;1;262
1;262;2;57;11;48;12;40;19;10;29;34;33;6;35;46;21;31;51;1;47;36;23;38;17;28;3;54;52;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;18;60;22;43;64;9;41;15;30;26;44;37;13;58;62;45;53;39;4;50;56;59
2;57;11;48;12;40;19;10;29;34;33;6;35;46;21;31;51;1;47;22;23;38;17;28;3;54;52;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;18;60;36;43;64;9;41;15;30;26;44;37;13;58;62;45;53;39;4;50;56;59;1;274
1;274;2;57;11;48;12;40;19;10;29;34;33;6;35;46;21;31;51;1;47;22;23;38;17;28;3;54;52;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;18;60;36;43;64;9;41;15;30;26;44;37;13;58;62;45;53;39;4;50;56;59
2;57;11;48;12;40;19;10;29;34;33;6;35;46;21;31;51;1;47;22;23;38;17;28;3;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;18;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59;1;278
1;278;2;57;11;48;12;40;19;10;29;34;33;6;35;46;21;31;51;1;47;22;23;38;17;28;3;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;18;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59
2;57;11;48;12;40;19;10;29;34;33;6;38;46;21;31;51;1;47;22;23;35;17;28;3;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;18;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59;1;284
2;284;2;57;11;48;12;40;19;10;29;34;33;6;38;46;21;31;51;1;47;22;23;35;17;28;3;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;18;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59
2;57;11;48;33;40;19;10;29;34;12;6;38;46;21;31;51;1;47;22;23;35;17;28;3;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;18;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59;2;296
2;296;2;57;11;48;33;40;19;10;29;34;12;6;38;46;21;31;51;1;47;22;23;35;17;28;3;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;18;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59
2;57;11;48;33;18;19;10;29;34;12;6;38;46;21;31;51;1;47;22;23;35;17;28;3;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59;2;300
2;300;2;57;11;48;33;18;19;10;29;34;12;6;38;46;21;31;51;1;47;22;23;35;17;28;3;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59
2;57;11;48;33;21;19;10;29;34;12;6;38;46;18;31;51;1;47;22;23;35;17;28;3;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59;2;300
2;300;2;57;11;48;33;21;19;10;29;34;12;6;38;46;18;31;51;1;47;22;23;35;17;28;3;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59
2;57;11;48;33;21;19;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;23;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59;2;300
2;300;2;57;11;48;33;21;19;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;23;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59
33;57;11;48;2;21;19;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;23;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59;2;300
2;300;33;57;11;48;2;21;19;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;23;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;37;13;58;52;45;53;39;4;50;56;59
33;57;11;48;2;21;19;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;23;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;53;39;4;50;56;59;2;300
2;300;33;57;11;48;2;21;19;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;23;54;62;42;24;14;16;25;55;63;20;32;49;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;53;39;4;50;56;59
33;57;11;48;2;21;19;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;23;54;62;42;24;14;16;25;55;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;53;39;4;50;56;59;2;304
2;304;33;57;11;48;2;21;19;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;23;54;62;42;24;14;16;25;55;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;53;39;4;50;56;59
33;57;11;48;2;21;19;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;53;54;62;42;24;14;16;25;55;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;23;39;4;50;56;59;2;304
2;304;33;57;11;48;2;21;19;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;53;54;62;42;24;14;16;25;55;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;23;39;4;50;56;59
33;57;11;48;2;19;21;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;53;54;62;42;24;14;16;25;55;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;23;39;4;50;56;59;2;292
2;292;33;57;11;48;2;19;21;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;53;54;62;42;24;14;16;25;55;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;23;39;4;50;56;59
33;57;11;53;2;19;21;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;48;54;62;42;24;14;16;25;55;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;23;39;4;50;56;59;2;288
2;288;33;57;11;53;2;19;21;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;48;54;62;42;24;14;16;25;55;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;23;39;4;50;56;59
33;57;11;53;2;19;21;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;48;55;62;42;24;14;16;25;54;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;23;39;4;50;56;59;2;288
2;288;33;57;11;53;2;19;21;10;29;34;12;6;38;46;18;31;51;1;47;22;3;35;17;28;48;55;62;42;24;14;16;25;54;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;23;39;4;50;56;59
33;57;11;53;2;19;21;10;29;34;12;46;38;6;18;31;51;1;47;22;3;35;17;28;48;55;62;42;24;14;16;25;54;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;23;39;4;50;56;59;2;288
2;288;33;57;11;53;2;19;21;10;29;34;12;46;38;6;18;31;51;1;47;22;3;35;17;28;48;55;62;42;24;14;16;25;54;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;23;39;4;50;56;59
33;57;11;53;2;19;35;10;29;34;12;46;38;6;18;31;51;1;47;22;3;21;17;28;48;55;62;42;24;14;16;25;54;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;23;39;4;50;56;59;2;284
2;284;33;57;11;53;2;19;35;10;29;34;12;46;38;6;18;31;51;1;47;22;3;21;17;28;48;55;62;42;24;14;16;25;54;63;20;49;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;13;58;37;45;23;39;4;50;56;59
33;57;11;53;2;19;35;10;29;34;12;46;38;6;18;31;51;1;47;22;3;21;17;28;48;55;62;42;24;14;16;25;54;63;20;13;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;49;58;37;45;23;39;4;50;56;59;2;284
2;284;33;57;11;53;2;19;35;10;29;34;12;46;38;6;18;31;51;1;47;22;3;21;17;28;48;55;62;42;24;14;16;25;54;63;20;13;32;27;7;8;5;61;40;60;36;43;64;9;41;15;30;26;44;52;49;58;37;45;23;39;4;50;56;59
33;57;11;53;2;19;35;10;29;34;12;46;38;6;18;31;51;1;47;22;8;21;17;28;48;55;62;42;24;14;16;25;54;63;20;13;32;27;7;3;5;61;40;60;36;43;64;9;41;15;30;26;44;52;49;58;37;45;23;39;4;50;56;59;2;284
2;284;33;57;11;53;2;19;35;10;29;34;12;46;38;6;18;31;51;1;47;22;8;21;17;28;48;55;62;42;24;14;16;25;54;63;20;13;32;27;7;3;5;61;40;60;36;43;64;9;41;15;30;26;44;52;49;58;37;45;23;39;4;50;56;59
33;57;11;55;2;19;35;10;29;34;12;46;38;6;18;31;51;1;47;22;8;21;17;28;48;53;62;42;24;14;16;25;54;63;20;13;32;27;7;3;5;61;40;60;36;43;64;9;41;15;30;26;44;52;49;58;37;45;23;39;4;50;56;59;2;288
2;288;33;57;11;55;2;19;35;10;29;34;12;46;38;6;18;31;51;1;47;22;8;21;17;28;48;53;62;42;24;14;16;25;54;63;20;13;32;27;7;3;5;61;40;60;36;43;64;9;41;15;30;26;44;52;49;58;37;45;23;39;4;50;56;59
33;57;11;55;2;19;35;10;29;34;12;46;38;6;18;31;51;1;47;22;8;21;17;28;48;53;62;42;24;14;16;25;54;3;20;13;32;27;7;63;5;61;40;60;36;43;64;9;41;15;30;26;44;52;49;58;37;45;23;39;4;50;56;59;2;288
2;288;33;57;11;55;2;19;35;10;29;34;12;46;38;6;18;31;51;1;47;22;8;21;17;28;48;53;62;42;24;14;16;25;54;3;20;13;32;27;7;63;5;61;40;60;36;43;64;9;41;15;30;26;44;52;49;58;37;45;23;39;4;50;56;59
33;57;11;55;2;34;35;10;29;19;12;46;38;6;18;31;51;1;47;22;8;21;17;28;48;53;62;42;24;14;16;25;54;3;20;13;32;27;7;63;5;61;40;60;36;43;64;9;41;15;30;26;44;52;49;58;37;45;23;39;4;50;56;59;2;284
2;284;33;57;11;55;2;34;35;10;29;19;12;46;38;6;18;31;51;1;47;22;8;21;17;28;48;53;62;42;24;14;16;25;54;3;20;13;32;27;7;63;5;61;40;60;36;43;64;9;41;15;30;26;44;52;49;58;37;45;23;39;4;50;56;59
33;57;11;55;2;34;35;10;29;19;12;46;38;6;18;31;51;1;47;22;8;21;17;62;48;53;28;42;24;14;16;25;54;3;20;13;32;27;7;63;5;61;40;60;36;43;64;9;41;15;30;26;44;52;49;58;37;45;23;39;4;50;56;59;2;280
2;280;33;57;11;55;2;34;35;10;29;19;12;46;38;6;18;31;51;1;47;22;8;21;17;62;48;53;28;42;24;14;16;25;54;3;20;13;32;27;7;63;5;61;40;60;36;43;64;9;41;15;30;26;44;52;49;58;37;45;23;39;4;50;56;59
33;57;11;55;2;34;35;10;30;19;12;46;38;6;18;31;51;1;47;22;8;21;17;62;48;53;28;42;24;14;16;25;54;3;20;13;32;27;7;63;5;61;40;60;36;43;64;9;41;15;29;26;44;52;49;58;37;45;23;39;4;50;56;59;2;280
3;280;33;57;11;55;2;34;35;10;30;19;12;46;38;6;18;31;51;1;47;22;8;21;17;62;48;53;28;42;24;14;16;25;54;3;20;13;32;27;7;63;5;61;40;60;36;43;64;9;41;15;29;26;44;52;49;58;37;45;23;39;4;50;56;59
33;57;11;55;2;34;35;10;30;37;12;46;38;6;18;31;51;1;47;22;8;21;17;62;48;53;28;42;24;14;16;25;54;3;20;13;32;27;7;63;5;61;40;60;36;43;64;9;41;15;29;26;44;52;49;58;19;45;23;39;4;50;56;59;3;288
3;288;33;57;11;55;2;34;35;10;30;37;12;46;38;6;18;31;51;1;47;22;8;21;17;62;48;53;28;42;24;14;16;25;54;3;20;13;32;27;7;63;5;61;40;60;36;43;64;9;41;15;29;26;44;52;49;58;19;45;23;39;4;50;56;59
33;57;11;55;2;34;35;10;30;37;12;60;38;6;18;31;51;1;47;22;8;21;17;62;48;53;28;42;24;14;16;25;54;3;20;13;32;27;7;63;5;61;40;46;36;43;64;9;41;15;29;26;44;52;49;58;19;45;23;39;4;50;56;59;3;284
3;284;33;57;11;55;2;34;35;10;30;37;12;60;38;6;18;31;51;1;47;22;8;21;17;62;48;53;28;42;24;14;16;25;54;3;20;13;32;27;7;63;5;61;40;46;36;43;64;9;41;15;29;26;44;52;49;58;19;45;23;39;4;50;56;59
33;57;11;25;2;34;35;10;30;37;12;60;38;6;18;31;51;1;47;22;8;21;17;62;48;53;28;42;24;14;16;55;54;3;20;13;32;27;7;63;5;61;40;46;36;43;64;9;41;15;29;26;44;52;49;58;19;45;23;39;4;50;56;59;3;292
3;292;33;57;11;25;2;34;35;10;30;37;12;60;38;6;18;31;51;1;47;22;8;21;17;62;48;53;28;42;24;14;16;55;54;3;20;13;32;27;7;63;5;61;40;46;36;43;64;9;41;15;29;26;44;52;49;58;19;45;23;39;4;50;56;59
33;57;11;25;2;34;42;10;30;37;12;60;38;6;18;31;51;1;47;22;8;21;17;62;48;53;28;35;24;14;16;55;54;3;20;13;32;27;7;63;5;61;40;46;36;43;64;9;41;15;29;26;44;52;49;58;19;45;23;39;4;50;56;59;3;292
3;292;33;57;11;25;2;34;42;10;30;37;12;60;38;6;18;31;51;1;47;22;8;21;17;62;48;53;28;35;24;14;16;55;54;3;20;13;32;27;7;63;5;61;40;46;36;43;64;9;41;15;29;26;44;52;49;58;19;45;23;39;4;50;56;59
33;57;11;25;2;34;42;10;30;37;12;60;38;6;18;31;51;1;47;22;8;21;17;62;48;53;50;35;24;14;16;55;54;3;20;13;32;27;7;63;5;61;40;46;36;43;64;9;41;15;29;26;44;52;49;58;19;45;23;39;4;28;56;59;3;296
3;296;33;57;11;25;2;34;42;10;30;37;12;60;38;6;18;31;51;1;47;22;8;21;17;62;48;53;50;35;24;14;16;55;54;3;20;13;32;27;7;63;5;61;40;46;36;43;64;9;41;15;29;26;44;52;49;58;19;45;23;39;4;28;56;59
33;57;11;25;2;34;42;10;30;37;12;60;38;6;18;31;51;1;47;22;8;21;17;62;48;53;50;35;24;14;16;55;54;3;20;13;32;27;7;63;5;61;40;46;36;28;64;9;41;15;29;26;44;52;49;58;19;45;23;39;4;43;56;59;3;296
3;296;33;57;11;25;2;34;42;10;30;37;12;60;38;6;18;31;51;1;47;22;8;21;17;62;48;53;50;35;24;14;16;55;54;3;20;13;32;27;7;63;5;61;40;46;36;28;64;9;41;15;29;26;44;52;49;58;19;45;23;39;4;43;56;59
33;57;11;25;2;34;42;10;30;37;12;60;38;6;18;31;51;1;47;22;8;21;17;62;48;53;50;35;24;14;16;55;54;3;20;13;32;27;19;63;5;61;40;46;36;28;64;9;41;15;29;26;44;52;49;58;7;45;23;39;4;43;56;59;3;284
3;284;33;57;11;25;2;34;42;10;30;37;12;60;38;6;18;31;51;1;47;22;8;21;17;62;48;53;50;35;24;14;16;55;54;3;20;13;32;27;19;63;5;61;40;46;36;28;64;9;41;15;29;26;44;52;49;58;7;45;23;39;4;43;56;59
33;57;11;25;2;34;42;10;30;37;12;60;38;6;18;31;51;1;47;22;41;21;17;62;48;53;50;35;24;14;16;55;54;3;20;13;32;27;19;63;5;61;40;46;36;28;64;9;8;15;29;26;44;52;49;58;7;45;23;39;4;43;56;59;3;284
3;284;33;57;11;25;2;34;42;10;30;37;12;60;38;6;18;31;51;1;47;22;41;21;17;62;48;53;50;35;24;14;16;55;54;3;20;13;32;27;19;63;5;61;40;46;36;28;64;9;8;15;29;26;44;52;49;58;7;45;23;39;4;43;56;59
33;57;11;25;2;34;42;10;30;37;12;60;38;43;18;31;51;1;47;22;41;21;17;62;48;53;50;35;24;14;16;55;54;3;20;13;32;27;19;63;5;61;40;46;36;28;64;9;8;15;29;26;44;52;49;58;7;45;23;39;4;6;56;59;3;296
3;296;33;57;11;25;2;34;42;10;30;37;12;60;38;43;18;31;51;1;47;22;41;21;17;62;48;53;50;35;24;14;16;55;54;3;20;13;32;27;19;63;5;61;40;46;36;28;64;9;8;15;29;26;44;52;49;58;7;45;23;39;4;6;56;59
33;57;11;25;2;34;42;10;30;37;12;60;38;43;18;31;51;1;47;22;41;21;17;62;48;53;50;35;24;14;16;55;54;3;20;13;32;27;19;63;5;61;40;46;36;15;64;9;8;28;29;26;44;52;49;58;7;45;23;39;4;6;56;59;3;296
3;296;33;57;11;25;2;34;42;10;30;37;12;60;38;43;18;31;51;1;47;22;41;21;17;62;48;53;50;35;24;14;16;55;54;3;20;13;32;27;19;63;5;61;40;46;36;15;64;9;8;28;29;26;44;52;49;58;7;45;23;39;4;6;56;59
33;57;11;25;2;34;42;10;30;37;12;60;7;43;18;31;51;1;47;22;41;21;17;62;48;53;50;35;24;14;16;55;54;3;20;13;32;27;19;63;5;61;40;46;36;15;64;9;8;28;29;26;44;52;49;58;38;45;23;39;4;6;56;59;3;296
