"X1";"X264";"X56";"X43";"X30";"X4";"X14";"X19";"X58";"X7";"X52";"X9";"X17";"X2";"X13";"X5";"X23";"X26";"X42";"X18";"X20";"X6";"X35";"X45";"X46";"X3";"X10";"X62";"X33";"X64";"X61";"X38";"X48";"X21";"X34";"X32";"X39";"X53";"X51";"X50";"X60";"X41";"X8";"X47";"X15";"X31";"X16";"X40";"X55";"X59";"X49";"X24";"X25";"X63";"X37";"X44";"X22";"X12";"X54";"X27";"X1.1";"X11";"X28";"X36";"X29";"X57"
1;282;56;18;30;1;14;19;5;7;52;9;17;2;13;58;23;12;42;43;11;6;35;45;46;3;10;62;33;64;61;47;48;26;34;32;39;53;51;50;60;41;8;55;15;31;16;40;38;59;49;24;21;63;37;44;22;25;54;4;27;20;28;36;29;57
56;18;30;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;11;6;35;45;46;3;10;62;33;64;61;47;48;26;34;32;39;53;51;50;60;41;8;55;15;31;16;40;38;59;49;24;21;63;37;44;22;25;54;4;13;20;28;36;29;57;1;282
1;282;56;18;30;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;11;6;35;45;46;3;10;62;33;64;61;47;48;26;34;32;39;53;51;50;60;41;8;55;15;31;16;40;38;59;49;24;21;63;37;44;22;25;54;4;13;20;28;36;29;57
56;18;30;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;10;11;33;64;61;47;48;26;34;32;39;53;51;50;60;41;8;55;15;31;16;40;38;59;49;24;21;63;37;44;22;25;54;4;13;20;28;36;29;57;1;298
1;298;56;18;30;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;10;11;33;64;61;47;48;26;34;32;39;53;51;50;60;41;8;55;15;31;16;40;38;59;49;24;21;63;37;44;22;25;54;4;13;20;28;36;29;57
56;18;30;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;10;11;33;64;61;47;48;26;34;32;39;53;51;50;31;41;8;55;15;60;16;40;38;59;49;24;21;63;37;44;22;25;54;4;13;20;28;36;29;57;1;304
1;304;56;18;30;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;10;11;33;64;61;47;48;26;34;32;39;53;51;50;31;41;8;55;15;60;16;40;38;59;49;24;21;63;37;44;22;25;54;4;13;20;28;36;29;57
56;18;30;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;10;11;33;64;61;47;48;26;34;32;39;57;51;50;31;41;8;55;15;60;16;40;38;59;49;24;21;63;37;44;22;25;54;4;13;20;28;36;29;53;1;304
1;304;56;18;30;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;10;11;33;64;61;47;48;26;34;32;39;57;51;50;31;41;8;55;15;60;16;40;38;59;49;24;21;63;37;44;22;25;54;4;13;20;28;36;29;53
56;18;30;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;10;11;33;64;61;47;48;26;34;32;39;57;51;50;31;41;8;55;15;60;16;40;38;59;49;24;21;63;37;44;13;25;54;4;22;20;28;36;29;53;1;304
1;304;56;18;30;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;10;11;33;64;61;47;48;26;34;32;39;57;51;50;31;41;8;55;15;60;16;40;38;59;49;24;21;63;37;44;13;25;54;4;22;20;28;36;29;53
56;18;30;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;48;10;34;32;39;57;51;50;31;41;8;55;15;60;16;40;38;59;49;24;21;63;37;44;13;25;54;4;22;20;28;36;29;53;1;306
1;306;56;18;30;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;48;10;34;32;39;57;51;50;31;41;8;55;15;60;16;40;38;59;49;24;21;63;37;44;13;25;54;4;22;20;28;36;29;53
56;18;39;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;48;10;34;32;30;57;51;50;31;41;8;55;15;60;16;40;38;59;49;24;21;63;37;44;13;25;54;4;22;20;28;36;29;53;1;302
2;302;56;18;39;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;48;10;34;32;30;57;51;50;31;41;8;55;15;60;16;40;38;59;49;24;21;63;37;44;13;25;54;4;22;20;28;36;29;53
56;18;39;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;48;10;34;32;30;57;51;50;31;41;8;44;15;60;16;40;38;59;49;24;21;63;37;55;13;25;54;4;22;20;28;36;29;53;2;302
2;302;56;18;39;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;48;10;34;32;30;57;51;50;31;41;8;44;15;60;16;40;38;59;49;24;21;63;37;55;13;25;54;4;22;20;28;36;29;53
56;18;39;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;48;10;34;32;30;57;51;50;29;41;8;44;15;60;16;40;38;59;49;24;21;63;37;55;13;25;54;4;22;20;28;36;31;53;2;296
2;296;56;18;39;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;48;10;34;32;30;57;51;50;29;41;8;44;15;60;16;40;38;59;49;24;21;63;37;55;13;25;54;4;22;20;28;36;31;53
56;18;39;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;48;10;34;32;30;57;51;50;29;41;8;44;15;60;16;28;38;59;49;24;21;63;37;55;13;25;54;4;22;20;40;36;31;53;2;280
2;280;56;18;39;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;48;10;34;32;30;57;51;50;29;41;8;44;15;60;16;28;38;59;49;24;21;63;37;55;13;25;54;4;22;20;40;36;31;53
56;18;39;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;24;10;34;32;30;57;51;50;29;41;8;44;15;60;16;28;38;59;49;48;21;63;37;55;13;25;54;4;22;20;40;36;31;53;2;280
2;280;56;18;39;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;24;10;34;32;30;57;51;50;29;41;8;44;15;60;16;28;38;59;49;48;21;63;37;55;13;25;54;4;22;20;40;36;31;53
56;18;39;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;24;10;34;32;30;57;51;50;29;41;8;44;15;60;16;28;38;59;49;48;21;54;37;55;13;25;63;4;22;20;40;36;31;53;2;280
2;280;56;18;39;1;14;19;5;7;52;9;17;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;24;10;34;32;30;57;51;50;29;41;8;44;15;60;16;28;38;59;49;48;21;54;37;55;13;25;63;4;22;20;40;36;31;53
56;18;39;1;14;19;5;7;52;9;51;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;24;10;34;32;30;57;17;50;29;41;8;44;15;60;16;28;38;59;49;48;21;54;37;55;13;25;63;4;22;20;40;36;31;53;2;280
2;280;56;18;39;1;14;19;5;7;52;9;51;2;27;58;23;12;42;43;62;6;35;45;46;3;26;11;33;64;61;47;24;10;34;32;30;57;17;50;29;41;8;44;15;60;16;28;38;59;49;48;21;54;37;55;13;25;63;4;22;20;40;36;31;53
56;18;39;1;14;19;5;7;52;9;51;2;27;58;23;12;42;43;62;6;35;33;46;3;26;11;45;64;61;47;24;10;34;32;30;57;17;50;29;41;8;44;15;60;16;28;38;59;49;48;21;54;37;55;13;25;63;4;22;20;40;36;31;53;2;268
2;268;56;18;39;1;14;19;5;7;52;9;51;2;27;58;23;12;42;43;62;6;35;33;46;3;26;11;45;64;61;47;24;10;34;32;30;57;17;50;29;41;8;44;15;60;16;28;38;59;49;48;21;54;37;55;13;25;63;4;22;20;40;36;31;53
56;18;39;1;14;19;5;7;52;9;51;2;27;58;23;12;42;43;62;6;35;33;46;3;26;11;45;64;61;47;24;10;34;32;30;57;17;50;29;41;8;44;15;60;16;28;38;59;63;48;21;54;37;55;13;25;49;4;22;20;40;36;31;53;2;268
2;268;56;18;39;1;14;19;5;7;52;9;51;2;27;58;23;12;42;43;62;6;35;33;46;3;26;11;45;64;61;47;24;10;34;32;30;57;17;50;29;41;8;44;15;60;16;28;38;59;63;48;21;54;37;55;13;25;49;4;22;20;40;36;31;53
56;28;39;1;14;19;5;7;52;9;51;2;27;58;23;12;42;43;62;6;35;33;46;3;26;11;45;64;61;47;24;10;34;32;30;57;17;50;29;41;8;44;15;60;16;18;38;59;63;48;21;54;37;55;13;25;49;4;22;20;40;36;31;53;2;268
2;268;56;28;39;1;14;19;5;7;52;9;51;2;27;58;23;12;42;43;62;6;35;33;46;3;26;11;45;64;61;47;24;10;34;32;30;57;17;50;29;41;8;44;15;60;16;18;38;59;63;48;21;54;37;55;13;25;49;4;22;20;40;36;31;53
56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;62;6;35;33;46;3;26;11;45;64;61;47;24;10;34;32;30;57;17;50;29;41;8;44;15;60;16;18;38;59;63;48;21;54;37;55;13;25;49;4;22;20;40;36;31;53;2;268
2;268;56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;62;6;35;33;46;3;26;11;45;64;61;47;24;10;34;32;30;57;17;50;29;41;8;44;15;60;16;18;38;59;63;48;21;54;37;55;13;25;49;4;22;20;40;36;31;53
56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;62;6;35;33;46;3;26;11;45;64;61;47;24;10;34;32;30;57;17;50;20;41;8;44;15;60;16;18;38;59;63;48;21;54;37;55;13;25;49;4;22;29;40;36;31;53;2;292
2;292;56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;62;6;35;33;46;3;26;11;45;64;61;47;24;10;34;32;30;57;17;50;20;41;8;44;15;60;16;18;38;59;63;48;21;54;37;55;13;25;49;4;22;29;40;36;31;53
56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;62;6;35;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;41;8;44;15;60;16;18;38;59;63;10;21;54;37;55;13;25;49;4;22;29;40;36;31;53;2;286
2;286;56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;62;6;35;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;41;8;44;15;60;16;18;38;59;63;10;21;54;37;55;13;25;49;4;22;29;40;36;31;53
56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;62;6;49;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;41;8;44;15;60;16;18;38;59;63;10;21;54;37;55;13;25;35;4;22;29;40;36;31;53;2;286
2;286;56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;62;6;49;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;41;8;44;15;60;16;18;38;59;63;10;21;54;37;55;13;25;35;4;22;29;40;36;31;53
56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;8;6;49;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;41;62;44;15;60;16;18;38;59;63;10;21;54;37;55;13;25;35;4;22;29;40;36;31;53;2;286
2;286;56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;8;6;49;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;41;62;44;15;60;16;18;38;59;63;10;21;54;37;55;13;25;35;4;22;29;40;36;31;53
56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;8;6;49;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;41;62;44;13;60;16;18;38;59;63;10;21;54;37;55;15;25;35;4;22;29;40;36;31;53;2;286
2;286;56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;8;6;49;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;41;62;44;13;60;16;18;38;59;63;10;21;54;37;55;15;25;35;4;22;29;40;36;31;53
56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;8;6;49;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;41;62;44;13;60;53;18;38;59;63;10;21;54;37;55;15;25;35;4;22;29;40;36;31;16;2;286
2;286;56;28;39;1;52;19;5;7;14;9;51;2;27;58;23;12;42;43;8;6;49;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;41;62;44;13;60;53;18;38;59;63;10;21;54;37;55;15;25;35;4;22;29;40;36;31;16
56;28;39;12;52;19;5;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;41;62;44;13;60;53;18;38;59;63;10;21;54;37;55;15;25;35;4;22;29;40;36;31;16;2;290
2;290;56;28;39;12;52;19;5;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;41;62;44;13;60;53;18;38;59;63;10;21;54;37;55;15;25;35;4;22;29;40;36;31;16
56;28;39;12;52;19;5;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;63;62;44;13;60;53;18;38;59;41;10;21;54;37;55;15;25;35;4;22;29;40;36;31;16;2;290
2;290;56;28;39;12;52;19;5;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;46;3;26;11;45;64;61;47;24;48;34;32;30;57;17;50;20;63;62;44;13;60;53;18;38;59;41;10;21;54;37;55;15;25;35;4;22;29;40;36;31;16
56;28;39;34;52;19;5;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;46;3;26;11;45;64;61;47;24;48;12;32;30;57;17;50;20;63;62;44;13;60;53;18;38;59;41;10;21;54;37;55;15;25;35;4;22;29;40;36;31;16;2;288
2;288;56;28;39;34;52;19;5;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;46;3;26;11;45;64;61;47;24;48;12;32;30;57;17;50;20;63;62;44;13;60;53;18;38;59;41;10;21;54;37;55;15;25;35;4;22;29;40;36;31;16
56;28;39;34;52;19;5;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;53;3;26;11;45;64;61;47;24;48;12;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;21;54;37;55;15;25;35;4;22;29;40;36;31;16;2;288
3;288;56;28;39;34;52;19;5;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;53;3;26;11;45;64;61;47;24;48;12;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;21;54;37;55;15;25;35;4;22;29;40;36;31;16
56;28;39;34;52;19;5;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;53;15;26;11;45;64;61;47;24;48;12;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;21;54;37;55;3;25;35;4;22;29;40;36;31;16;3;288
3;288;56;28;39;34;52;19;5;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;53;15;26;11;45;64;61;47;24;48;12;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;21;54;37;55;3;25;35;4;22;29;40;36;31;16
56;28;39;34;31;19;5;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;53;15;26;11;45;64;61;47;24;48;12;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;21;54;37;55;3;25;35;4;22;29;40;36;52;16;3;288
3;288;56;28;39;34;31;19;5;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;53;15;26;11;45;64;61;47;24;48;12;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;21;54;37;55;3;25;35;4;22;29;40;36;52;16
56;28;39;34;5;19;31;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;53;15;26;11;45;64;61;47;24;48;12;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;21;54;37;55;3;25;35;4;22;29;40;36;52;16;3;288
3;288;56;28;39;34;5;19;31;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;53;15;26;11;45;64;61;47;24;48;12;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;21;54;37;55;3;25;35;4;22;29;40;36;52;16
56;28;39;34;5;19;31;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;53;15;26;11;45;3;61;47;24;48;12;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;21;54;37;55;64;25;35;4;22;29;40;36;52;16;3;296
3;296;56;28;39;34;5;19;31;7;14;9;51;2;27;58;23;1;42;43;8;6;49;33;53;15;26;11;45;3;61;47;24;48;12;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;21;54;37;55;64;25;35;4;22;29;40;36;52;16
56;28;39;34;5;19;31;7;12;9;51;2;27;58;23;1;42;43;8;6;49;33;53;15;26;11;45;3;61;47;24;48;14;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;21;54;37;55;64;25;35;4;22;29;40;36;52;16;3;292
3;292;56;28;39;34;5;19;31;7;12;9;51;2;27;58;23;1;42;43;8;6;49;33;53;15;26;11;45;3;61;47;24;48;14;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;21;54;37;55;64;25;35;4;22;29;40;36;52;16
56;28;39;34;5;19;21;7;12;9;51;2;27;58;23;1;42;43;8;6;49;33;53;15;26;11;45;3;61;47;24;48;14;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;31;54;37;55;64;25;35;4;22;29;40;36;52;16;3;292
3;292;56;28;39;34;5;19;21;7;12;9;51;2;27;58;23;1;42;43;8;6;49;33;53;15;26;11;45;3;61;47;24;48;14;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;31;54;37;55;64;25;35;4;22;29;40;36;52;16
56;28;39;34;5;19;21;7;12;9;51;2;27;58;23;1;42;43;33;6;49;8;53;15;26;11;45;3;61;47;24;48;14;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;31;54;37;55;64;25;35;4;22;29;40;36;52;16;3;284
3;284;56;28;39;34;5;19;21;7;12;9;51;2;27;58;23;1;42;43;33;6;49;8;53;15;26;11;45;3;61;47;24;48;14;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;31;54;37;55;64;25;35;4;22;29;40;36;52;16
56;28;39;34;5;19;21;7;12;9;51;2;27;26;23;1;42;43;33;6;49;8;53;15;58;11;45;3;61;47;24;48;14;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;31;54;37;55;64;25;35;4;22;29;40;36;52;16;3;276
3;276;56;28;39;34;5;19;21;7;12;9;51;2;27;26;23;1;42;43;33;6;49;8;53;15;58;11;45;3;61;47;24;48;14;32;30;57;17;50;20;63;62;44;13;60;46;18;38;59;41;10;31;54;37;55;64;25;35;4;22;29;40;36;52;16
56;28;39;34;5;19;21;7;12;9;51;2;27;26;23;1;42;43;33;6;49;8;53;15;58;11;45;3;61;47;24;48;14;32;30;57;17;50;18;63;62;44;13;60;46;20;38;59;41;10;31;54;37;55;64;25;35;4;22;29;40;36;52;16;3;270
3;270;56;28;39;34;5;19;21;7;12;9;51;2;27;26;23;1;42;43;33;6;49;8;53;15;58;11;45;3;61;47;24;48;14;32;30;57;17;50;18;63;62;44;13;60;46;20;38;59;41;10;31;54;37;55;64;25;35;4;22;29;40;36;52;16
56;28;39;34;5;19;21;7;12;9;51;2;27;26;23;1;42;44;33;6;49;8;53;15;58;11;45;3;61;47;24;48;14;32;30;57;17;50;18;63;62;43;13;60;46;20;38;59;41;10;31;54;37;55;64;25;35;4;22;29;40;36;52;16;3;270
3;270;56;28;39;34;5;19;21;7;12;9;51;2;27;26;23;1;42;44;33;6;49;8;53;15;58;11;45;3;61;47;24;48;14;32;30;57;17;50;18;63;62;43;13;60;46;20;38;59;41;10;31;54;37;55;64;25;35;4;22;29;40;36;52;16
56;28;39;34;5;19;21;7;12;9;51;2;27;26;23;1;42;44;33;6;49;8;53;15;58;11;45;3;61;47;24;48;14;32;30;57;17;50;18;59;62;43;13;60;46;20;38;63;41;10;31;54;37;55;64;25;35;4;22;29;40;36;52;16;3;270
