"X1";"X27344";"X3";"X11";"X20";"X22";"X1.1";"X26";"X12";"X5";"X14";"X4";"X29";"X25";"X7";"X27";"X28";"X19";"X13";"X31";"X30";"X18";"X8";"X9";"X16";"X6";"X32";"X21";"X23";"X10";"X17";"X24";"X2";"X15"
3;27894;19;15;26;22;23;24;32;11;29;4;17;30;14;21;1;28;9;20;2;12;3;16;5;18;27;10;7;8;13;6;31;25
19;6;26;22;23;24;32;11;29;4;17;30;14;21;1;28;9;20;2;12;3;16;5;18;27;10;7;8;13;15;31;25;3;27634
3;27634;19;6;26;22;23;24;32;11;29;4;17;30;14;21;1;28;9;20;2;12;3;16;5;18;27;10;7;8;13;15;31;25
19;6;26;22;23;24;32;11;14;4;17;30;29;21;1;28;9;20;2;12;3;16;5;18;27;10;7;8;13;15;31;25;3;27488
3;27488;19;6;26;22;23;24;32;11;14;4;17;30;29;21;1;28;9;20;2;12;3;16;5;18;27;10;7;8;13;15;31;25
19;6;26;22;23;24;32;11;14;4;17;30;16;21;1;28;9;20;2;12;3;29;5;18;27;10;7;8;13;15;31;25;3;27198
4;27198;19;6;26;22;23;24;32;11;14;4;17;30;16;21;1;28;9;20;2;12;3;29;5;18;27;10;7;8;13;15;31;25
23;6;26;22;19;24;32;11;14;4;17;30;16;21;1;28;9;20;2;12;3;29;5;18;27;10;7;8;13;15;31;25;4;27138
4;27138;23;6;26;22;19;24;32;11;14;4;17;30;16;21;1;28;9;20;2;12;3;29;5;18;27;10;7;8;13;15;31;25
23;6;26;22;19;24;32;11;14;4;17;30;16;21;1;28;9;20;8;12;3;29;5;18;27;10;7;2;13;15;31;25;4;27378
4;27378;23;6;26;22;19;24;32;11;14;4;17;30;16;21;1;28;9;20;8;12;3;29;5;18;27;10;7;2;13;15;31;25
23;6;26;22;19;24;32;11;14;4;17;30;16;21;1;28;9;20;8;12;3;29;5;18;15;10;7;2;13;27;31;25;4;27642
4;27642;23;6;26;22;19;24;32;11;14;4;17;30;16;21;1;28;9;20;8;12;3;29;5;18;15;10;7;2;13;27;31;25
23;6;26;22;19;24;4;11;14;32;17;30;16;21;1;28;9;20;8;12;3;29;5;18;15;10;7;2;13;27;31;25;4;27566
4;27566;23;6;26;22;19;24;4;11;14;32;17;30;16;21;1;28;9;20;8;12;3;29;5;18;15;10;7;2;13;27;31;25
23;6;26;22;19;24;4;11;14;32;17;30;13;21;1;28;9;20;8;12;3;29;5;18;15;10;7;2;16;27;31;25;4;27066
4;27066;23;6;26;22;19;24;4;11;14;32;17;30;13;21;1;28;9;20;8;12;3;29;5;18;15;10;7;2;16;27;31;25
23;6;26;22;19;24;4;11;14;32;17;30;13;21;1;28;9;20;8;10;3;29;5;18;15;12;7;2;16;27;31;25;4;27386
4;27386;23;6;26;22;19;24;4;11;14;32;17;30;13;21;1;28;9;20;8;10;3;29;5;18;15;12;7;2;16;27;31;25
23;6;26;22;19;24;4;11;14;32;17;30;13;21;1;18;9;20;8;10;3;29;5;28;15;12;7;2;16;27;31;25;4;26786
4;26786;23;6;26;22;19;24;4;11;14;32;17;30;13;21;1;18;9;20;8;10;3;29;5;28;15;12;7;2;16;27;31;25
23;6;26;22;19;24;4;11;14;32;16;30;13;21;1;18;9;20;8;10;3;29;5;28;15;12;7;2;17;27;31;25;4;27584
4;27584;23;6;26;22;19;24;4;11;14;32;16;30;13;21;1;18;9;20;8;10;3;29;5;28;15;12;7;2;17;27;31;25
23;6;26;22;19;24;4;11;14;32;16;1;13;21;30;18;9;20;8;10;3;29;5;28;15;12;7;2;17;27;31;25;4;27702
4;27702;23;6;26;22;19;24;4;11;14;32;16;1;13;21;30;18;9;20;8;10;3;29;5;28;15;12;7;2;17;27;31;25
23;6;26;22;19;24;4;11;1;32;16;14;13;21;30;18;9;20;8;10;3;29;5;28;15;12;7;2;17;27;31;25;4;27302
4;27302;23;6;26;22;19;24;4;11;1;32;16;14;13;21;30;18;9;20;8;10;3;29;5;28;15;12;7;2;17;27;31;25
23;6;26;22;19;24;4;11;1;32;16;14;13;21;30;18;9;20;25;10;3;29;5;28;15;12;7;2;17;27;31;8;4;27130
4;27130;23;6;26;22;19;24;4;11;1;32;16;14;13;21;30;18;9;20;25;10;3;29;5;28;15;12;7;2;17;27;31;8
23;6;26;22;19;24;4;11;1;32;16;14;13;21;30;2;9;20;25;10;3;29;5;28;15;12;7;18;17;27;31;8;4;26854
4;26854;23;6;26;22;19;24;4;11;1;32;16;14;13;21;30;2;9;20;25;10;3;29;5;28;15;12;7;18;17;27;31;8
23;6;26;22;19;24;4;11;1;32;16;14;13;21;30;2;9;20;25;10;3;29;31;28;15;12;7;18;17;27;5;8;4;26864
4;26864;23;6;26;22;19;24;4;11;1;32;16;14;13;21;30;2;9;20;25;10;3;29;31;28;15;12;7;18;17;27;5;8
23;6;26;22;19;24;16;11;1;32;4;14;13;21;30;2;9;20;25;10;3;29;31;28;15;12;7;18;17;27;5;8;4;27284
4;27284;23;6;26;22;19;24;16;11;1;32;4;14;13;21;30;2;9;20;25;10;3;29;31;28;15;12;7;18;17;27;5;8
23;6;26;22;19;24;16;11;1;32;4;14;28;21;30;2;9;20;25;10;3;29;31;13;15;12;7;18;17;27;5;8;4;28324
4;28324;23;6;26;22;19;24;16;11;1;32;4;14;28;21;30;2;9;20;25;10;3;29;31;13;15;12;7;18;17;27;5;8
23;6;26;22;19;24;16;11;1;32;4;14;28;21;30;25;9;20;2;10;3;29;31;13;15;12;7;18;17;27;5;8;4;28444
4;28444;23;6;26;22;19;24;16;11;1;32;4;14;28;21;30;25;9;20;2;10;3;29;31;13;15;12;7;18;17;27;5;8
23;6;26;22;19;24;16;11;1;32;4;14;28;21;5;25;9;20;2;10;3;29;31;13;15;12;7;18;17;27;30;8;4;28718
4;28718;23;6;26;22;19;24;16;11;1;32;4;14;28;21;5;25;9;20;2;10;3;29;31;13;15;12;7;18;17;27;30;8
23;6;26;32;19;24;16;11;1;22;4;14;28;21;5;25;9;20;2;10;3;29;31;13;15;12;7;18;17;27;30;8;4;29358
4;29358;23;6;26;32;19;24;16;11;1;22;4;14;28;21;5;25;9;20;2;10;3;29;31;13;15;12;7;18;17;27;30;8
23;6;26;32;19;24;16;11;1;8;4;14;28;21;5;25;9;20;2;10;3;29;31;13;15;12;7;18;17;27;30;22;4;29576
4;29576;23;6;26;32;19;24;16;11;1;8;4;14;28;21;5;25;9;20;2;10;3;29;31;13;15;12;7;18;17;27;30;22
23;6;26;32;19;24;16;11;1;8;4;14;28;21;5;18;9;20;2;10;3;29;31;13;15;12;7;25;17;27;30;22;4;29496
5;29496;23;6;26;32;19;24;16;11;1;8;4;14;28;21;5;18;9;20;2;10;3;29;31;13;15;12;7;25;17;27;30;22
23;6;26;32;19;24;16;11;1;8;4;14;28;21;12;18;9;20;2;10;3;29;31;13;15;5;7;25;17;27;30;22;5;29816
5;29816;23;6;26;32;19;24;16;11;1;8;4;14;28;21;12;18;9;20;2;10;3;29;31;13;15;5;7;25;17;27;30;22
23;6;26;32;19;24;16;11;1;8;4;14;28;21;12;18;9;20;25;10;3;29;31;13;15;5;7;2;17;27;30;22;5;29712
5;29712;23;6;26;32;19;24;16;11;1;8;4;14;28;21;12;18;9;20;25;10;3;29;31;13;15;5;7;2;17;27;30;22
23;6;26;32;19;24;16;11;1;8;4;14;28;22;12;18;9;20;25;10;3;29;31;13;15;5;7;2;17;27;30;21;5;29632
5;29632;23;6;26;32;19;24;16;11;1;8;4;14;28;22;12;18;9;20;25;10;3;29;31;13;15;5;7;2;17;27;30;21
23;6;26;32;19;24;16;11;1;8;4;14;28;22;12;18;9;10;25;20;3;29;31;13;15;5;7;2;17;27;30;21;5;28738
5;28738;23;6;26;32;19;24;16;11;1;8;4;14;28;22;12;18;9;10;25;20;3;29;31;13;15;5;7;2;17;27;30;21
23;6;26;32;14;24;16;11;1;8;4;19;28;22;12;18;9;10;25;20;3;29;31;13;15;5;7;2;17;27;30;21;5;28152
5;28152;23;6;26;32;14;24;16;11;1;8;4;19;28;22;12;18;9;10;25;20;3;29;31;13;15;5;7;2;17;27;30;21
23;6;26;32;14;24;16;11;1;8;4;19;28;22;12;18;9;10;7;20;3;29;31;13;15;5;25;2;17;27;30;21;5;28388
5;28388;23;6;26;32;14;24;16;11;1;8;4;19;28;22;12;18;9;10;7;20;3;29;31;13;15;5;25;2;17;27;30;21
23;6;28;32;14;24;16;11;1;8;4;19;26;22;12;18;9;10;7;20;3;29;31;13;15;5;25;2;17;27;30;21;5;28228
5;28228;23;6;28;32;14;24;16;11;1;8;4;19;26;22;12;18;9;10;7;20;3;29;31;13;15;5;25;2;17;27;30;21
23;6;28;32;14;24;16;11;1;8;4;19;22;26;12;18;9;10;7;20;3;29;31;13;15;5;25;2;17;27;30;21;5;27948
5;27948;23;6;28;32;14;24;16;11;1;8;4;19;22;26;12;18;9;10;7;20;3;29;31;13;15;5;25;2;17;27;30;21
27;6;28;32;14;24;16;11;1;8;4;19;22;26;12;18;9;10;7;20;3;29;31;13;15;5;25;2;17;23;30;21;5;27948
5;27948;27;6;28;32;14;24;16;11;1;8;4;19;22;26;12;18;9;10;7;20;3;29;31;13;15;5;25;2;17;23;30;21
27;6;5;32;14;24;16;11;1;8;4;19;22;26;12;18;9;10;7;20;3;29;31;13;15;28;25;2;17;23;30;21;5;27870
5;27870;27;6;5;32;14;24;16;11;1;8;4;19;22;26;12;18;9;10;7;20;3;29;31;13;15;28;25;2;17;23;30;21
27;6;5;32;14;24;16;11;1;8;4;19;22;26;12;18;29;10;7;20;3;9;31;13;15;28;25;2;17;23;30;21;5;28004
5;28004;27;6;5;32;14;24;16;11;1;8;4;19;22;26;12;18;29;10;7;20;3;9;31;13;15;28;25;2;17;23;30;21
27;6;5;32;14;24;16;11;19;8;4;1;22;26;12;18;29;10;7;20;3;9;31;13;15;28;25;2;17;23;30;21;5;27722
5;27722;27;6;5;32;14;24;16;11;19;8;4;1;22;26;12;18;29;10;7;20;3;9;31;13;15;28;25;2;17;23;30;21
11;6;5;32;14;24;16;27;19;8;4;1;22;26;12;18;29;10;7;20;3;9;31;13;15;28;25;2;17;23;30;21;5;27906
5;27906;11;6;5;32;14;24;16;27;19;8;4;1;22;26;12;18;29;10;7;20;3;9;31;13;15;28;25;2;17;23;30;21
11;6;5;32;14;24;16;27;19;8;4;1;22;26;13;18;29;10;7;20;3;9;31;12;15;28;25;2;17;23;30;21;5;28226
5;28226;11;6;5;32;14;24;16;27;19;8;4;1;22;26;13;18;29;10;7;20;3;9;31;12;15;28;25;2;17;23;30;21
11;6;5;32;14;24;16;7;19;8;4;1;22;26;13;18;29;10;27;20;3;9;31;12;15;28;25;2;17;23;30;21;5;28030
5;28030;11;6;5;32;14;24;16;7;19;8;4;1;22;26;13;18;29;10;27;20;3;9;31;12;15;28;25;2;17;23;30;21
11;6;5;32;14;24;16;7;19;8;4;1;22;26;13;18;29;10;27;25;3;9;31;12;15;28;20;2;17;23;30;21;5;28310
5;28310;11;6;5;32;14;24;16;7;19;8;4;1;22;26;13;18;29;10;27;25;3;9;31;12;15;28;20;2;17;23;30;21
11;18;5;32;14;24;16;7;19;8;4;1;22;26;13;6;29;10;27;25;3;9;31;12;15;28;20;2;17;23;30;21;5;28428
5;28428;11;18;5;32;14;24;16;7;19;8;4;1;22;26;13;6;29;10;27;25;3;9;31;12;15;28;20;2;17;23;30;21
11;18;5;32;14;24;16;7;19;8;4;1;12;26;13;6;29;10;27;25;3;9;31;22;15;28;20;2;17;23;30;21;5;28380
5;28380;11;18;5;32;14;24;16;7;19;8;4;1;12;26;13;6;29;10;27;25;3;9;31;22;15;28;20;2;17;23;30;21
11;18;5;32;14;24;16;7;19;8;4;1;12;26;13;6;29;10;27;25;3;9;2;22;15;28;20;31;17;23;30;21;5;27982
