"X1";"X27304";"X15";"X1.1";"X5";"X19";"X17";"X20";"X6";"X21";"X25";"X14";"X16";"X31";"X26";"X3";"X24";"X22";"X10";"X18";"X23";"X30";"X2";"X8";"X32";"X7";"X27";"X28";"X4";"X12";"X29";"X13";"X11";"X9"
15;3;10;28;32;8;30;21;25;9;26;2;5;27;1;23;4;6;17;31;14;29;12;7;20;22;24;16;18;13;11;19;2;28020
2;28020;15;3;10;28;32;8;30;21;25;9;26;2;5;27;1;23;4;6;17;31;14;29;12;7;20;22;24;16;18;13;11;19
15;3;10;28;32;8;30;21;25;9;26;2;5;27;1;23;4;6;17;31;14;24;12;7;20;22;29;16;18;13;11;19;2;27760
2;27760;15;3;10;28;32;8;30;21;25;9;26;2;5;27;1;23;4;6;17;31;14;24;12;7;20;22;29;16;18;13;11;19
15;3;10;28;32;5;30;21;25;9;26;2;8;27;1;23;4;6;17;31;14;24;12;7;20;22;29;16;18;13;11;19;2;27980
2;27980;15;3;10;28;32;5;30;21;25;9;26;2;8;27;1;23;4;6;17;31;14;24;12;7;20;22;29;16;18;13;11;19
4;3;10;28;32;5;30;21;25;9;26;2;8;27;1;23;15;6;17;31;14;24;12;7;20;22;29;16;18;13;11;19;2;28300
2;28300;4;3;10;28;32;5;30;21;25;9;26;2;8;27;1;23;15;6;17;31;14;24;12;7;20;22;29;16;18;13;11;19
4;3;10;28;32;5;30;21;25;9;26;2;8;27;1;23;15;6;17;31;14;24;12;7;20;22;29;11;18;13;16;19;2;28060
2;28060;4;3;10;28;32;5;30;21;25;9;26;2;8;27;1;23;15;6;17;31;14;24;12;7;20;22;29;11;18;13;16;19
4;3;10;28;25;5;30;21;32;9;26;2;8;27;1;23;15;6;17;31;14;24;12;7;20;22;29;11;18;13;16;19;2;27300
2;27300;4;3;10;28;25;5;30;21;32;9;26;2;8;27;1;23;15;6;17;31;14;24;12;7;20;22;29;11;18;13;16;19
4;3;10;28;25;5;30;27;32;9;26;2;8;21;1;23;15;6;17;31;14;24;12;7;20;22;29;11;18;13;16;19;2;26660
2;26660;4;3;10;28;25;5;30;27;32;9;26;2;8;21;1;23;15;6;17;31;14;24;12;7;20;22;29;11;18;13;16;19
4;3;10;28;25;5;30;27;32;9;26;2;12;21;1;23;15;6;17;31;14;24;8;7;20;22;29;11;18;13;16;19;2;26360
2;26360;4;3;10;28;25;5;30;27;32;9;26;2;12;21;1;23;15;6;17;31;14;24;8;7;20;22;29;11;18;13;16;19
4;3;10;28;25;5;30;27;32;24;26;2;12;21;1;23;15;6;17;31;14;9;8;7;20;22;29;11;18;13;16;19;2;26136
2;26136;4;3;10;28;25;5;30;27;32;24;26;2;12;21;1;23;15;6;17;31;14;9;8;7;20;22;29;11;18;13;16;19
4;3;11;28;25;5;30;27;32;24;26;2;12;21;1;23;15;6;17;31;14;9;8;7;20;22;29;10;18;13;16;19;2;26276
2;26276;4;3;11;28;25;5;30;27;32;24;26;2;12;21;1;23;15;6;17;31;14;9;8;7;20;22;29;10;18;13;16;19
4;3;11;21;25;5;30;27;32;24;26;2;12;28;1;23;15;6;17;31;14;9;8;7;20;22;29;10;18;13;16;19;2;25916
2;25916;4;3;11;21;25;5;30;27;32;24;26;2;12;28;1;23;15;6;17;31;14;9;8;7;20;22;29;10;18;13;16;19
4;3;11;21;25;5;30;27;32;24;13;2;12;28;1;23;15;6;17;31;14;9;8;7;20;22;29;10;18;26;16;19;2;25872
2;25872;4;3;11;21;25;5;30;27;32;24;13;2;12;28;1;23;15;6;17;31;14;9;8;7;20;22;29;10;18;26;16;19
4;7;11;21;25;5;30;27;32;24;13;2;12;28;1;23;15;6;17;31;14;9;8;3;20;22;29;10;18;26;16;19;2;25292
2;25292;4;7;11;21;25;5;30;27;32;24;13;2;12;28;1;23;15;6;17;31;14;9;8;3;20;22;29;10;18;26;16;19
4;7;11;21;25;5;30;27;32;24;13;2;12;28;1;23;15;6;17;8;14;9;31;3;20;22;29;10;18;26;16;19;2;25834
2;25834;4;7;11;21;25;5;30;27;32;24;13;2;12;28;1;23;15;6;17;8;14;9;31;3;20;22;29;10;18;26;16;19
4;30;11;21;25;5;7;27;32;24;13;2;12;28;1;23;15;6;17;8;14;9;31;3;20;22;29;10;18;26;16;19;2;26310
2;26310;4;30;11;21;25;5;7;27;32;24;13;2;12;28;1;23;15;6;17;8;14;9;31;3;20;22;29;10;18;26;16;19
4;30;11;21;25;5;7;17;32;24;13;2;12;28;1;23;15;6;27;8;14;9;31;3;20;22;29;10;18;26;16;19;2;27030
3;27030;4;30;11;21;25;5;7;17;32;24;13;2;12;28;1;23;15;6;27;8;14;9;31;3;20;22;29;10;18;26;16;19
4;30;11;21;25;5;7;17;32;24;13;2;12;28;1;23;15;6;27;8;14;26;31;3;20;22;29;10;18;9;16;19;3;27384
3;27384;4;30;11;21;25;5;7;17;32;24;13;2;12;28;1;23;15;6;27;8;14;26;31;3;20;22;29;10;18;9;16;19
4;30;11;21;25;5;7;16;32;24;13;2;12;28;1;23;15;6;27;8;14;26;31;3;20;22;29;10;18;9;17;19;3;26948
3;26948;4;30;11;21;25;5;7;16;32;24;13;2;12;28;1;23;15;6;27;8;14;26;31;3;20;22;29;10;18;9;17;19
4;30;11;21;25;5;19;16;32;24;13;2;12;28;1;23;15;6;27;8;14;26;31;3;20;22;29;10;18;9;17;7;3;27826
3;27826;4;30;11;21;25;5;19;16;32;24;13;2;12;28;1;23;15;6;27;8;14;26;31;3;20;22;29;10;18;9;17;7
4;30;11;18;25;5;19;16;32;24;13;2;12;28;1;23;15;6;27;8;14;26;31;3;20;22;29;10;21;9;17;7;3;27946
3;27946;4;30;11;18;25;5;19;16;32;24;13;2;12;28;1;23;15;6;27;8;14;26;31;3;20;22;29;10;21;9;17;7
4;30;11;25;18;5;19;16;32;24;13;2;12;28;1;23;15;6;27;8;14;26;31;3;20;22;29;10;21;9;17;7;3;28026
3;28026;4;30;11;25;18;5;19;16;32;24;13;2;12;28;1;23;15;6;27;8;14;26;31;3;20;22;29;10;21;9;17;7
4;30;11;25;18;5;19;16;32;24;13;2;12;26;1;23;15;6;27;8;14;28;31;3;20;22;29;10;21;9;17;7;3;28306
3;28306;4;30;11;25;18;5;19;16;32;24;13;2;12;26;1;23;15;6;27;8;14;28;31;3;20;22;29;10;21;9;17;7
4;30;11;25;18;5;22;16;32;24;13;2;12;26;1;23;15;6;27;8;14;28;31;3;20;19;29;10;21;9;17;7;3;28466
3;28466;4;30;11;25;18;5;22;16;32;24;13;2;12;26;1;23;15;6;27;8;14;28;31;3;20;19;29;10;21;9;17;7
4;10;11;25;18;5;22;16;32;24;13;2;12;26;1;23;15;6;27;8;14;28;31;3;20;19;29;30;21;9;17;7;3;28240
3;28240;4;10;11;25;18;5;22;16;32;24;13;2;12;26;1;23;15;6;27;8;14;28;31;3;20;19;29;30;21;9;17;7
4;10;11;25;18;5;7;16;32;24;13;2;12;26;1;23;15;6;27;8;14;28;31;3;20;19;29;30;21;9;17;22;3;27646
3;27646;4;10;11;25;18;5;7;16;32;24;13;2;12;26;1;23;15;6;27;8;14;28;31;3;20;19;29;30;21;9;17;22
4;10;11;25;18;5;7;16;32;24;13;2;12;26;1;14;15;6;27;8;23;28;31;3;20;19;29;30;21;9;17;22;3;26764
3;26764;4;10;11;25;18;5;7;16;32;24;13;2;12;26;1;14;15;6;27;8;23;28;31;3;20;19;29;30;21;9;17;22
4;10;11;25;18;5;7;16;32;24;13;2;12;26;1;14;15;6;27;8;23;3;31;28;20;19;29;30;21;9;17;22;3;26174
3;26174;4;10;11;25;18;5;7;16;32;24;13;2;12;26;1;14;15;6;27;8;23;3;31;28;20;19;29;30;21;9;17;22
4;10;11;25;18;5;7;16;32;24;13;2;12;26;1;14;15;6;27;8;23;3;31;20;28;19;29;30;21;9;17;22;3;26374
3;26374;4;10;11;25;18;5;7;16;32;24;13;2;12;26;1;14;15;6;27;8;23;3;31;20;28;19;29;30;21;9;17;22
4;10;11;25;18;5;7;16;32;24;13;8;12;26;1;14;15;6;27;2;23;3;31;20;28;19;29;30;21;9;17;22;3;26414
3;26414;4;10;11;25;18;5;7;16;32;24;13;8;12;26;1;14;15;6;27;2;23;3;31;20;28;19;29;30;21;9;17;22
4;10;11;25;18;5;7;16;32;24;13;8;12;26;1;14;15;6;27;2;23;3;31;20;22;19;29;30;21;9;17;28;3;26254
3;26254;4;10;11;25;18;5;7;16;32;24;13;8;12;26;1;14;15;6;27;2;23;3;31;20;22;19;29;30;21;9;17;28
4;10;11;25;18;5;7;16;32;24;13;8;12;26;1;27;15;6;14;2;23;3;31;20;22;19;29;30;21;9;17;28;3;26878
3;26878;4;10;11;25;18;5;7;16;32;24;13;8;12;26;1;27;15;6;14;2;23;3;31;20;22;19;29;30;21;9;17;28
4;10;11;25;18;5;7;16;32;24;13;8;12;26;1;27;15;6;14;2;23;3;30;20;22;19;29;31;21;9;17;28;3;26778
3;26778;4;10;11;25;18;5;7;16;32;24;13;8;12;26;1;27;15;6;14;2;23;3;30;20;22;19;29;31;21;9;17;28
4;10;11;25;18;5;7;16;32;24;13;8;12;26;1;14;15;6;27;2;23;3;30;20;22;19;29;31;21;9;17;28;3;26154
3;26154;4;10;11;25;18;5;7;16;32;24;13;8;12;26;1;14;15;6;27;2;23;3;30;20;22;19;29;31;21;9;17;28
4;10;11;25;18;5;7;16;32;29;13;8;12;26;1;14;15;6;27;2;23;3;30;20;22;19;24;31;21;9;17;28;3;26174
3;26174;4;10;11;25;18;5;7;16;32;29;13;8;12;26;1;14;15;6;27;2;23;3;30;20;22;19;24;31;21;9;17;28
4;10;11;25;32;5;7;16;18;29;13;8;12;26;1;14;15;6;27;2;23;3;30;20;22;19;24;31;21;9;17;28;3;26694
3;26694;4;10;11;25;32;5;7;16;18;29;13;8;12;26;1;14;15;6;27;2;23;3;30;20;22;19;24;31;21;9;17;28
4;10;20;25;32;5;7;16;18;29;13;8;12;26;1;14;15;6;27;2;23;3;30;11;22;19;24;31;21;9;17;28;3;27908
4;27908;4;10;20;25;32;5;7;16;18;29;13;8;12;26;1;14;15;6;27;2;23;3;30;11;22;19;24;31;21;9;17;28
4;10;20;25;32;5;7;16;18;15;13;8;12;26;1;14;29;6;27;2;23;3;30;11;22;19;24;31;21;9;17;28;4;28810
4;28810;4;10;20;25;32;5;7;16;18;15;13;8;12;26;1;14;29;6;27;2;23;3;30;11;22;19;24;31;21;9;17;28
4;10;20;25;31;5;7;16;18;15;13;8;12;26;1;14;29;6;27;2;23;3;30;11;22;19;24;32;21;9;17;28;4;28390
4;28390;4;10;20;25;31;5;7;16;18;15;13;8;12;26;1;14;29;6;27;2;23;3;30;11;22;19;24;32;21;9;17;28
4;10;20;25;31;5;7;16;30;15;13;8;12;26;1;14;29;6;27;2;23;3;18;11;22;19;24;32;21;9;17;28;4;28350
4;28350;4;10;20;25;31;5;7;16;30;15;13;8;12;26;1;14;29;6;27;2;23;3;18;11;22;19;24;32;21;9;17;28
4;10;20;8;31;5;7;16;30;15;13;25;12;26;1;14;29;6;27;2;23;3;18;11;22;19;24;32;21;9;17;28;4;28412
4;28412;4;10;20;8;31;5;7;16;30;15;13;25;12;26;1;14;29;6;27;2;23;3;18;11;22;19;24;32;21;9;17;28
4;10;20;8;31;5;7;16;30;15;13;25;12;26;1;14;29;6;11;2;23;3;18;27;22;19;24;32;21;9;17;28;4;28320
4;28320;4;10;20;8;31;5;7;16;30;15;13;25;12;26;1;14;29;6;11;2;23;3;18;27;22;19;24;32;21;9;17;28
4;10;20;8;31;5;7;16;30;15;13;25;12;26;1;14;29;6;11;2;27;3;18;23;22;19;24;32;21;9;17;28;4;28380
4;28380;4;10;20;8;31;5;7;16;30;15;13;25;12;26;1;14;29;6;11;2;27;3;18;23;22;19;24;32;21;9;17;28
4;10;20;8;31;5;7;16;18;15;13;25;12;26;1;14;29;6;11;2;27;3;30;23;22;19;24;32;21;9;17;28;4;28340
4;28340;4;10;20;8;31;5;7;16;18;15;13;25;12;26;1;14;29;6;11;2;27;3;30;23;22;19;24;32;21;9;17;28
4;10;20;8;31;5;7;16;18;15;13;25;28;26;1;14;29;6;11;2;27;3;30;23;22;19;24;32;21;9;17;12;4;28064
4;28064;4;10;20;8;31;5;7;16;18;15;13;25;28;26;1;14;29;6;11;2;27;3;30;23;22;19;24;32;21;9;17;12
4;10;20;8;31;5;7;16;18;15;13;25;28;26;1;14;29;6;11;12;27;3;30;23;22;19;24;32;21;9;17;2;4;27824
4;27824;4;10;20;8;31;5;7;16;18;15;13;25;28;26;1;14;29;6;11;12;27;3;30;23;22;19;24;32;21;9;17;2
4;10;20;8;31;27;7;16;18;15;13;25;28;26;1;14;29;6;11;12;5;3;30;23;22;19;24;32;21;9;17;2;4;27664
4;27664;4;10;20;8;31;27;7;16;18;15;13;25;28;26;1;14;29;6;11;12;5;3;30;23;22;19;24;32;21;9;17;2
4;10;20;8;31;27;7;16;18;15;13;25;28;26;1;14;29;6;11;5;12;3;30;23;22;19;24;32;21;9;17;2;4;28144
4;28144;4;10;20;8;31;27;7;16;18;15;13;25;28;26;1;14;29;6;11;5;12;3;30;23;22;19;24;32;21;9;17;2
4;10;20;8;31;27;7;16;18;15;13;25;28;26;1;14;29;6;11;5;12;3;30;23;17;19;24;32;21;9;22;2;4;28304
4;28304;4;10;20;8;31;27;7;16;18;15;13;25;28;26;1;14;29;6;11;5;12;3;30;23;17;19;24;32;21;9;22;2
4;10;20;8;31;27;30;16;18;15;13;25;28;26;1;14;29;6;11;5;12;3;7;23;17;19;24;32;21;9;22;2;4;28812
4;28812;4;10;20;8;31;27;30;16;18;15;13;25;28;26;1;14;29;6;11;5;12;3;7;23;17;19;24;32;21;9;22;2
4;10;20;8;31;27;30;16;18;15;12;25;28;26;1;14;29;6;11;5;13;3;7;23;17;19;24;32;21;9;22;2;4;28452
4;28452;4;10;20;8;31;27;30;16;18;15;12;25;28;26;1;14;29;6;11;5;13;3;7;23;17;19;24;32;21;9;22;2
4;10;20;8;31;27;30;16;18;15;12;25;28;26;1;14;29;21;11;5;13;3;7;23;17;19;24;32;6;9;22;2;4;27600
4;27600;4;10;20;8;31;27;30;16;18;15;12;25;28;26;1;14;29;21;11;5;13;3;7;23;17;19;24;32;6;9;22;2
4;10;20;8;31;27;30;16;18;15;12;24;28;26;1;14;29;21;11;5;13;3;7;23;17;19;25;32;6;9;22;2;4;26720
4;26720;4;10;20;8;31;27;30;16;18;15;12;24;28;26;1;14;29;21;11;5;13;3;7;23;17;19;25;32;6;9;22;2
4;10;20;12;31;27;30;16;18;15;8;24;28;26;1;14;29;21;11;5;13;3;7;23;17;19;25;32;6;9;22;2;4;26900
4;26900;4;10;20;12;31;27;30;16;18;15;8;24;28;26;1;14;29;21;11;5;13;3;7;23;17;19;25;32;6;9;22;2
4;10;20;12;31;14;30;16;18;15;8;24;28;26;1;27;29;21;11;5;13;3;7;23;17;19;25;32;6;9;22;2;4;26618
4;26618;4;10;20;12;31;14;30;16;18;15;8;24;28;26;1;27;29;21;11;5;13;3;7;23;17;19;25;32;6;9;22;2
4;10;20;12;31;14;30;16;18;15;8;24;28;26;1;27;29;21;11;19;13;3;7;23;17;5;25;32;6;9;22;2;4;26242
4;26242;4;10;20;12;31;14;30;16;18;15;8;24;28;26;1;27;29;21;11;19;13;3;7;23;17;5;25;32;6;9;22;2
4;15;20;12;31;14;30;16;18;10;8;24;28;26;1;27;29;21;11;19;13;3;7;23;17;5;25;32;6;9;22;2;4;26402
5;26402;4;15;20;12;31;14;30;16;18;10;8;24;28;26;1;27;29;21;11;19;13;3;7;23;17;5;25;32;6;9;22;2
4;15;20;28;31;14;30;16;18;10;8;24;12;26;1;27;29;21;11;19;13;3;7;23;17;5;25;32;6;9;22;2;5;27460
5;27460;4;15;20;28;31;14;30;16;18;10;8;24;12;26;1;27;29;21;11;19;13;3;7;23;17;5;25;32;6;9;22;2
4;15;20;28;31;14;30;16;18;10;8;24;21;26;1;27;29;12;11;19;13;3;7;23;17;5;25;32;6;9;22;2;5;27994
5;27994;4;15;20;28;31;14;30;16;18;10;8;24;21;26;1;27;29;12;11;19;13;3;7;23;17;5;25;32;6;9;22;2
4;15;20;28;31;14;30;16;18;10;8;24;21;26;1;27;29;12;23;19;13;3;7;11;17;5;25;32;6;9;22;2;5;28034
5;28034;4;15;20;28;31;14;30;16;18;10;8;24;21;26;1;27;29;12;23;19;13;3;7;11;17;5;25;32;6;9;22;2
4;15;20;28;31;14;30;16;18;10;8;24;21;26;1;2;29;12;23;19;13;3;7;11;17;5;25;32;6;9;22;27;5;28714
5;28714;4;15;20;28;31;14;30;16;18;10;8;24;21;26;1;2;29;12;23;19;13;3;7;11;17;5;25;32;6;9;22;27
4;15;20;28;31;18;30;16;14;10;8;24;21;26;1;2;29;12;23;19;13;3;7;11;17;5;25;32;6;9;22;27;5;29026
5;29026;4;15;20;28;31;18;30;16;14;10;8;24;21;26;1;2;29;12;23;19;13;3;7;11;17;5;25;32;6;9;22;27
4;15;20;28;31;18;30;16;14;8;10;24;21;26;1;2;29;12;23;19;13;3;7;11;17;5;25;32;6;9;22;27;5;28926
5;28926;4;15;20;28;31;18;30;16;14;8;10;24;21;26;1;2;29;12;23;19;13;3;7;11;17;5;25;32;6;9;22;27
4;15;20;3;31;18;30;16;14;8;10;24;21;26;1;2;29;12;23;19;13;28;7;11;17;5;25;32;6;9;22;27;5;28394
5;28394;4;15;20;3;31;18;30;16;14;8;10;24;21;26;1;2;29;12;23;19;13;28;7;11;17;5;25;32;6;9;22;27
4;15;18;3;31;20;30;16;14;8;10;24;21;26;1;2;29;12;23;19;13;28;7;11;17;5;25;32;6;9;22;27;5;28394
5;28394;4;15;18;3;31;20;30;16;14;8;10;24;21;26;1;2;29;12;23;19;13;28;7;11;17;5;25;32;6;9;22;27
4;15;18;3;31;20;30;16;14;8;10;24;21;26;1;2;29;12;23;19;13;28;7;11;32;5;25;17;6;9;22;27;5;28074
5;28074;4;15;18;3;31;20;30;16;14;8;10;24;21;26;1;2;29;12;23;19;13;28;7;11;32;5;25;17;6;9;22;27
4;15;18;3;31;20;30;16;14;8;10;24;21;26;1;2;29;12;23;19;13;28;7;11;32;5;25;17;6;22;9;27;5;28258
5;28258;4;15;18;3;31;20;30;16;14;8;10;24;21;26;1;2;29;12;23;19;13;28;7;11;32;5;25;17;6;22;9;27
4;15;18;3;31;20;30;1;14;8;10;24;21;26;16;2;29;12;23;19;13;28;7;11;32;5;25;17;6;22;9;27;5;28898
5;28898;4;15;18;3;31;20;30;1;14;8;10;24;21;26;16;2;29;12;23;19;13;28;7;11;32;5;25;17;6;22;9;27
4;15;18;3;31;20;30;8;14;1;10;24;21;26;16;2;29;12;23;19;13;28;7;11;32;5;25;17;6;22;9;27;5;28498
5;28498;4;15;18;3;31;20;30;8;14;1;10;24;21;26;16;2;29;12;23;19;13;28;7;11;32;5;25;17;6;22;9;27
4;15;18;3;31;20;30;8;14;1;10;12;21;26;16;2;29;24;23;19;13;28;7;11;32;5;25;17;6;22;9;27;5;28344
5;28344;4;15;18;3;31;20;30;8;14;1;10;12;21;26;16;2;29;24;23;19;13;28;7;11;32;5;25;17;6;22;9;27
4;15;18;1;31;20;30;8;14;3;10;12;21;26;16;2;29;24;23;19;13;28;7;11;32;5;25;17;6;22;9;27;5;28944
5;28944;4;15;18;1;31;20;30;8;14;3;10;12;21;26;16;2;29;24;23;19;13;28;7;11;32;5;25;17;6;22;9;27
4;15;18;1;31;3;30;8;14;20;10;12;21;26;16;2;29;24;23;19;13;28;7;11;32;5;25;17;6;22;9;27;5;28008
5;28008;4;15;18;1;31;3;30;8;14;20;10;12;21;26;16;2;29;24;23;19;13;28;7;11;32;5;25;17;6;22;9;27
4;15;18;1;31;3;30;8;14;20;10;12;21;26;23;2;29;24;16;19;13;28;7;11;32;5;25;17;6;22;9;27;5;27474
5;27474;4;15;18;1;31;3;30;8;14;20;10;12;21;26;23;2;29;24;16;19;13;28;7;11;32;5;25;17;6;22;9;27
4;15;18;1;31;3;30;8;14;20;10;12;21;26;23;2;29;28;16;19;13;24;7;11;32;5;25;17;6;22;9;27;5;27314
5;27314;4;15;18;1;31;3;30;8;14;20;10;12;21;26;23;2;29;28;16;19;13;24;7;11;32;5;25;17;6;22;9;27
4;15;18;1;31;3;30;23;14;20;10;12;21;26;8;2;29;28;16;19;13;24;7;11;32;5;25;17;6;22;9;27;5;27144
5;27144;4;15;18;1;31;3;30;23;14;20;10;12;21;26;8;2;29;28;16;19;13;24;7;11;32;5;25;17;6;22;9;27
4;32;18;1;31;3;30;23;14;20;10;12;21;26;8;2;29;28;16;19;13;24;7;11;15;5;25;17;6;22;9;27;5;27478
