"X1";"X298";"X17";"X56";"X9";"X40";"X53";"X20";"X41";"X60";"X6";"X3";"X22";"X54";"X44";"X38";"X16";"X28";"X26";"X62";"X1.1";"X43";"X4";"X45";"X15";"X51";"X32";"X36";"X34";"X27";"X42";"X24";"X13";"X46";"X30";"X49";"X2";"X63";"X11";"X57";"X23";"X5";"X55";"X19";"X14";"X64";"X21";"X50";"X59";"X39";"X12";"X25";"X35";"X48";"X18";"X58";"X33";"X29";"X8";"X7";"X52";"X10";"X31";"X47";"X37";"X61"
17;34;9;45;53;20;43;60;6;22;62;54;44;38;16;23;3;26;1;41;4;40;52;51;48;36;56;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;21;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61;1;300
1;300;17;34;9;45;53;20;43;60;6;22;62;54;44;38;16;23;3;26;1;41;4;40;52;51;48;36;56;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;21;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61
17;34;9;45;53;20;43;60;6;22;62;54;44;38;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;51;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61;1;300
1;300;17;34;9;45;53;20;43;60;6;22;62;54;44;38;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;2;63;11;57;28;5;55;19;14;64;51;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61
17;34;9;45;53;20;43;60;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;2;63;11;57;38;5;55;19;14;64;51;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61;1;282
1;282;17;34;9;45;53;20;43;60;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;2;63;11;57;38;5;55;19;14;64;51;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61
17;34;9;45;19;20;43;60;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;2;63;11;57;38;5;55;53;14;64;51;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61;1;282
1;282;17;34;9;45;19;20;43;60;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;2;63;11;57;38;5;55;53;14;64;51;50;59;39;12;25;35;32;18;58;33;29;8;7;15;10;31;47;37;61
17;34;9;45;19;20;43;33;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;2;63;11;57;38;5;55;53;14;64;51;50;59;39;12;25;35;32;18;58;60;29;8;7;15;10;31;47;37;61;1;298
1;298;17;34;9;45;19;20;43;33;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;2;63;11;57;38;5;55;53;14;64;51;50;59;39;12;25;35;32;18;58;60;29;8;7;15;10;31;47;37;61
17;34;9;45;19;20;43;33;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;2;63;11;57;38;5;25;53;14;64;51;50;59;39;12;55;35;32;18;58;60;29;8;7;15;10;31;47;37;61;1;298
1;298;17;34;9;45;19;20;43;33;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;2;63;11;57;38;5;25;53;14;64;51;50;59;39;12;55;35;32;18;58;60;29;8;7;15;10;31;47;37;61
17;34;9;25;19;20;43;33;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;2;63;11;57;38;5;45;53;14;64;51;50;59;39;12;55;35;32;18;58;60;29;8;7;15;10;31;47;37;61;1;298
1;298;17;34;9;25;19;20;43;33;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;2;63;11;57;38;5;45;53;14;64;51;50;59;39;12;55;35;32;18;58;60;29;8;7;15;10;31;47;37;61
17;34;9;25;19;20;43;33;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;10;63;11;57;38;5;45;53;14;64;51;50;59;39;12;55;35;32;18;58;60;29;8;7;15;2;31;47;37;61;1;296
1;296;17;34;9;25;19;20;43;33;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;10;63;11;57;38;5;45;53;14;64;51;50;59;39;12;55;35;32;18;58;60;29;8;7;15;2;31;47;37;61
17;34;50;25;19;20;43;33;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;10;63;11;57;38;5;45;53;14;64;51;9;59;39;12;55;35;32;18;58;60;29;8;7;15;2;31;47;37;61;1;288
1;288;17;34;50;25;19;20;43;33;6;22;62;54;44;28;16;23;3;26;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;10;63;11;57;38;5;45;53;14;64;51;9;59;39;12;55;35;32;18;58;60;29;8;7;15;2;31;47;37;61
17;26;50;25;19;20;43;33;6;22;62;54;44;28;16;23;3;34;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;10;63;11;57;38;5;45;53;14;64;51;9;59;39;12;55;35;32;18;58;60;29;8;7;15;2;31;47;37;61;1;288
1;288;17;26;50;25;19;20;43;33;6;22;62;54;44;28;16;23;3;34;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;10;63;11;57;38;5;45;53;14;64;51;9;59;39;12;55;35;32;18;58;60;29;8;7;15;2;31;47;37;61
17;26;50;25;19;20;43;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;10;63;23;57;38;5;45;53;14;64;51;9;59;39;12;55;35;32;18;58;60;29;8;7;15;2;31;47;37;61;1;292
1;292;17;26;50;25;19;20;43;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;10;63;23;57;38;5;45;53;14;64;51;9;59;39;12;55;35;32;18;58;60;29;8;7;15;2;31;47;37;61
17;26;50;25;19;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;10;63;23;43;38;5;45;53;14;64;51;9;59;39;12;55;35;32;18;58;60;29;8;7;15;2;31;47;37;61;1;292
2;292;17;26;50;25;19;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;10;63;23;43;38;5;45;53;14;64;51;9;59;39;12;55;35;32;18;58;60;29;8;7;15;2;31;47;37;61
17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;10;63;23;43;38;5;45;53;14;64;51;9;19;39;12;55;35;32;18;58;60;29;8;7;15;2;31;47;37;61;2;292
2;292;17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;48;36;56;27;42;24;13;46;30;49;10;63;23;43;38;5;45;53;14;64;51;9;19;39;12;55;35;32;18;58;60;29;8;7;15;2;31;47;37;61
17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;48;36;56;27;42;31;13;46;30;49;10;63;23;43;38;5;45;53;14;64;51;9;19;39;12;55;35;32;18;58;60;29;8;7;15;2;24;47;37;61;2;292
2;292;17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;48;36;56;27;42;31;13;46;30;49;10;63;23;43;38;5;45;53;14;64;51;9;19;39;12;55;35;32;18;58;60;29;8;7;15;2;24;47;37;61
17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;48;36;56;27;42;31;2;46;30;49;10;63;23;43;38;5;45;53;14;64;51;9;19;39;12;55;35;32;18;58;60;29;8;7;15;13;24;47;37;61;2;292
2;292;17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;48;36;56;27;42;31;2;46;30;49;10;63;23;43;38;5;45;53;14;64;51;9;19;39;12;55;35;32;18;58;60;29;8;7;15;13;24;47;37;61
17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;47;36;56;27;42;31;2;46;30;49;10;63;23;43;38;5;45;53;14;64;51;9;19;39;12;55;35;32;18;58;60;29;8;7;15;13;24;48;37;61;2;292
2;292;17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;47;36;56;27;42;31;2;46;30;49;10;63;23;43;38;5;45;53;14;64;51;9;19;39;12;55;35;32;18;58;60;29;8;7;15;13;24;48;37;61
17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;47;36;56;27;42;31;2;46;30;49;51;63;23;43;38;5;45;53;14;64;10;9;19;39;12;55;35;32;18;58;60;29;8;7;15;13;24;48;37;61;2;298
2;298;17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;47;36;56;27;42;31;2;46;30;49;51;63;23;43;38;5;45;53;14;64;10;9;19;39;12;55;35;32;18;58;60;29;8;7;15;13;24;48;37;61
17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;47;36;56;27;42;31;2;46;30;49;51;63;23;43;38;7;45;53;14;64;10;9;19;39;12;55;35;32;18;58;60;29;8;5;15;13;24;48;37;61;2;298
2;298;17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;11;3;34;1;41;4;40;52;21;47;36;56;27;42;31;2;46;30;49;51;63;23;43;38;7;45;53;14;64;10;9;19;39;12;55;35;32;18;58;60;29;8;5;15;13;24;48;37;61
17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;35;3;34;1;41;4;40;52;21;47;36;56;27;42;31;2;46;30;49;51;63;23;43;38;7;45;53;14;64;10;9;19;39;12;55;11;32;18;58;60;29;8;5;15;13;24;48;37;61;2;298
2;298;17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;35;3;34;1;41;4;40;52;21;47;36;56;27;42;31;2;46;30;49;51;63;23;43;38;7;45;53;14;64;10;9;19;39;12;55;11;32;18;58;60;29;8;5;15;13;24;48;37;61
17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;35;2;34;1;41;4;40;52;21;47;36;56;27;42;31;3;46;30;49;51;63;23;43;38;7;45;53;14;64;10;9;19;39;12;55;11;32;18;58;60;29;8;5;15;13;24;48;37;61;2;294
2;294;17;26;50;25;59;20;57;33;6;22;62;54;44;28;16;35;2;34;1;41;4;40;52;21;47;36;56;27;42;31;3;46;30;49;51;63;23;43;38;7;45;53;14;64;10;9;19;39;12;55;11;32;18;58;60;29;8;5;15;13;24;48;37;61
17;26;50;25;59;20;57;33;51;22;62;54;44;28;16;35;2;34;1;41;4;40;52;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;38;7;45;53;14;64;10;9;19;39;12;55;11;32;18;58;60;29;8;5;15;13;24;48;37;61;2;288
2;288;17;26;50;25;59;20;57;33;51;22;62;54;44;28;16;35;2;34;1;41;4;40;52;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;38;7;45;53;14;64;10;9;19;39;12;55;11;32;18;58;60;29;8;5;15;13;24;48;37;61
17;26;50;25;59;20;57;33;51;22;62;54;44;28;16;35;2;34;1;38;4;40;52;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;7;45;53;14;64;10;9;19;39;12;55;11;32;18;58;60;29;8;5;15;13;24;48;37;61;2;300
2;300;17;26;50;25;59;20;57;33;51;22;62;54;44;28;16;35;2;34;1;38;4;40;52;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;7;45;53;14;64;10;9;19;39;12;55;11;32;18;58;60;29;8;5;15;13;24;48;37;61
17;26;50;25;59;20;57;33;51;22;62;54;44;28;16;35;2;34;1;38;4;40;52;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;12;45;53;14;64;10;9;19;39;7;55;11;32;18;58;60;29;8;5;15;13;24;48;37;61;2;300
2;300;17;26;50;25;59;20;57;33;51;22;62;54;44;28;16;35;2;34;1;38;4;40;52;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;12;45;53;14;64;10;9;19;39;7;55;11;32;18;58;60;29;8;5;15;13;24;48;37;61
17;26;50;25;59;20;57;33;51;22;62;54;44;28;16;35;2;34;1;38;4;40;52;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;12;45;53;14;64;10;9;19;39;55;7;11;32;18;58;60;29;8;5;15;13;24;48;37;61;2;300
2;300;17;26;50;25;59;20;57;33;51;22;62;54;44;28;16;35;2;34;1;38;4;40;52;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;12;45;53;14;64;10;9;19;39;55;7;11;32;18;58;60;29;8;5;15;13;24;48;37;61
17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;52;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;12;45;53;14;64;10;9;19;39;55;7;11;32;18;58;60;29;8;5;15;13;24;48;37;61;2;308
2;308;17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;52;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;12;45;53;14;64;10;9;19;39;55;7;11;32;18;58;60;29;8;5;15;13;24;48;37;61
17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;52;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;12;45;14;53;64;10;9;19;39;55;7;11;32;18;58;60;29;8;5;15;13;24;48;37;61;2;308
2;308;17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;52;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;12;45;14;53;64;10;9;19;39;55;7;11;32;18;58;60;29;8;5;15;13;24;48;37;61
17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;55;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;12;45;14;53;64;10;9;19;39;52;7;11;32;18;58;60;29;8;5;15;13;24;48;37;61;2;308
2;308;17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;55;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;12;45;14;53;64;10;9;19;39;52;7;11;32;18;58;60;29;8;5;15;13;24;48;37;61
17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;55;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;12;45;14;53;64;10;5;19;39;52;7;11;32;18;58;60;29;8;9;15;13;24;48;37;61;2;308
2;308;17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;55;21;47;36;56;27;42;31;3;46;30;49;6;63;23;43;41;12;45;14;53;64;10;5;19;39;52;7;11;32;18;58;60;29;8;9;15;13;24;48;37;61
17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;49;21;47;36;56;27;42;31;3;46;30;55;6;63;23;43;41;12;45;14;53;64;10;5;19;39;52;7;11;32;18;58;60;29;8;9;15;13;24;48;37;61;2;308
2;308;17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;49;21;47;36;56;27;42;31;3;46;30;55;6;63;23;43;41;12;45;14;53;64;10;5;19;39;52;7;11;32;18;58;60;29;8;9;15;13;24;48;37;61
17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;49;21;47;36;56;27;42;31;3;46;30;55;6;63;23;43;41;12;45;14;53;64;10;5;19;39;52;7;11;32;18;58;60;13;8;9;15;29;24;48;37;61;2;308
2;308;17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;49;21;47;36;56;27;42;31;3;46;30;55;6;63;23;43;41;12;45;14;53;64;10;5;19;39;52;7;11;32;18;58;60;13;8;9;15;29;24;48;37;61
17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;42;21;47;36;56;27;49;31;3;46;30;55;6;63;23;43;41;12;45;14;53;64;10;5;19;39;52;7;11;32;18;58;60;13;8;9;15;29;24;48;37;61;2;308
2;308;17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;40;42;21;47;36;56;27;49;31;3;46;30;55;6;63;23;43;41;12;45;14;53;64;10;5;19;39;52;7;11;32;18;58;60;13;8;9;15;29;24;48;37;61
17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;55;6;63;23;43;41;12;45;14;53;64;10;5;19;39;52;7;11;32;18;58;60;13;8;9;40;29;24;48;37;61;2;306
3;306;17;26;50;25;59;20;2;33;51;22;62;54;44;28;16;35;57;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;55;6;63;23;43;41;12;45;14;53;64;10;5;19;39;52;7;11;32;18;58;60;13;8;9;40;29;24;48;37;61
17;26;50;25;59;20;2;33;51;22;62;54;44;55;16;35;57;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;45;14;53;64;10;5;19;39;52;7;11;32;18;58;60;13;8;9;40;29;24;48;37;61;3;306
3;306;17;26;50;25;59;20;2;33;51;22;62;54;44;55;16;35;57;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;45;14;53;64;10;5;19;39;52;7;11;32;18;58;60;13;8;9;40;29;24;48;37;61
17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;57;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;59;14;53;64;10;5;19;39;52;7;11;32;18;58;60;13;8;9;40;29;24;48;37;61;3;306
3;306;17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;57;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;59;14;53;64;10;5;19;39;52;7;11;32;18;58;60;13;8;9;40;29;24;48;37;61
17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;19;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;59;14;53;64;10;5;57;39;52;7;11;32;18;58;60;13;8;9;40;29;24;48;37;61;3;294
3;294;17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;19;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;59;14;53;64;10;5;57;39;52;7;11;32;18;58;60;13;8;9;40;29;24;48;37;61
17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;19;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;59;14;53;64;10;5;57;39;52;7;11;32;18;58;60;13;8;9;61;29;24;48;37;40;3;294
3;294;17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;19;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;59;14;53;64;10;5;57;39;52;7;11;32;18;58;60;13;8;9;61;29;24;48;37;40
17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;19;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;10;14;53;64;59;5;57;39;52;7;11;32;18;58;60;13;8;9;61;29;24;48;37;40;3;294
3;294;17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;19;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;10;14;53;64;59;5;57;39;52;7;11;32;18;58;60;13;8;9;61;29;24;48;37;40
17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;19;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;10;14;53;64;24;5;57;39;52;7;11;32;18;58;60;13;8;9;61;29;59;48;37;40;3;294
3;294;17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;19;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;10;14;53;64;24;5;57;39;52;7;11;32;18;58;60;13;8;9;61;29;59;48;37;40
17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;19;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;10;14;53;64;24;5;57;39;52;9;11;32;18;58;60;13;8;7;61;29;59;48;37;40;3;294
3;294;17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;19;34;1;38;4;15;42;21;47;36;56;27;49;31;3;46;30;28;6;63;23;43;41;12;10;14;53;64;24;5;57;39;52;9;11;32;18;58;60;13;8;7;61;29;59;48;37;40
17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;19;34;1;38;4;15;42;21;47;36;6;27;49;31;3;46;30;28;56;63;23;43;41;12;10;14;53;64;24;5;57;39;52;9;11;32;18;58;60;13;8;7;61;29;59;48;37;40;3;288
3;288;17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;35;19;34;1;38;4;15;42;21;47;36;6;27;49;31;3;46;30;28;56;63;23;43;41;12;10;14;53;64;24;5;57;39;52;9;11;32;18;58;60;13;8;7;61;29;59;48;37;40
17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;47;19;34;1;38;4;15;42;21;35;36;6;27;49;31;3;46;30;28;56;63;23;43;41;12;10;14;53;64;24;5;57;39;52;9;11;32;18;58;60;13;8;7;61;29;59;48;37;40;3;288
3;288;17;26;50;25;45;20;2;33;51;22;62;54;44;55;16;47;19;34;1;38;4;15;42;21;35;36;6;27;49;31;3;46;30;28;56;63;23;43;41;12;10;14;53;64;24;5;57;39;52;9;11;32;18;58;60;13;8;7;61;29;59;48;37;40
17;26;50;25;45;44;2;33;51;22;62;54;20;55;16;47;19;34;1;38;4;15;42;21;35;36;6;27;49;31;3;46;30;28;56;63;23;43;41;12;10;14;53;64;24;5;57;39;52;9;11;32;18;58;60;13;8;7;61;29;59;48;37;40;3;304
3;304;17;26;50;25;45;44;2;33;51;22;62;54;20;55;16;47;19;34;1;38;4;15;42;21;35;36;6;27;49;31;3;46;30;28;56;63;23;43;41;12;10;14;53;64;24;5;57;39;52;9;11;32;18;58;60;13;8;7;61;29;59;48;37;40
17;26;50;25;45;44;2;33;51;22;62;54;20;55;16;34;19;47;1;38;4;15;42;21;35;36;6;27;49;31;3;46;30;28;56;63;23;43;41;12;10;14;53;64;24;5;57;39;52;9;11;32;18;58;60;13;8;7;61;29;59;48;37;40;3;304
