"X1";"X290";"X28";"X13";"X18";"X10";"X31";"X51";"X36";"X54";"X11";"X52";"X56";"X58";"X37";"X34";"X47";"X38";"X4";"X12";"X7";"X24";"X43";"X48";"X21";"X1.1";"X55";"X32";"X8";"X3";"X57";"X45";"X46";"X63";"X19";"X22";"X16";"X42";"X62";"X60";"X17";"X29";"X6";"X23";"X49";"X2";"X50";"X61";"X27";"X39";"X15";"X64";"X44";"X14";"X5";"X59";"X53";"X41";"X35";"X30";"X9";"X40";"X20";"X33";"X26";"X25"
40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;24;43;56;21;1;55;38;8;48;57;45;46;63;19;22;16;42;62;60;58;29;6;23;49;2;50;15;27;39;61;9;44;14;64;59;53;41;35;3;5;18;20;33;26;37;1;308
1;308;40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;24;43;56;21;1;55;38;8;48;57;45;46;63;19;22;16;42;62;60;58;29;6;23;49;2;50;15;27;39;61;9;44;14;64;59;53;41;35;3;5;18;20;33;26;37
40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;21;1;55;38;8;48;57;45;46;24;19;22;16;42;62;60;58;29;6;23;49;2;50;15;27;39;61;9;44;14;64;59;53;41;35;3;5;18;20;33;26;37;1;320
1;320;40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;21;1;55;38;8;48;57;45;46;24;19;22;16;42;62;60;58;29;6;23;49;2;50;15;27;39;61;9;44;14;64;59;53;41;35;3;5;18;20;33;26;37
40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;21;1;55;38;8;48;57;45;46;24;19;22;16;42;62;60;58;29;6;23;9;2;50;15;27;39;61;49;44;14;64;59;53;41;35;3;5;18;20;33;26;37;1;320
1;320;40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;21;1;55;38;8;48;57;45;46;24;19;22;16;42;62;60;58;29;6;23;9;2;50;15;27;39;61;49;44;14;64;59;53;41;35;3;5;18;20;33;26;37
40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;35;1;55;38;8;48;57;45;46;24;19;22;16;42;62;60;58;29;6;23;9;2;50;15;27;39;61;49;44;14;64;59;53;41;21;3;5;18;20;33;26;37;1;320
1;320;40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;35;1;55;38;8;48;57;45;46;24;19;22;16;42;62;60;58;29;6;23;9;2;50;15;27;39;61;49;44;14;64;59;53;41;21;3;5;18;20;33;26;37
40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;35;1;55;50;8;48;57;45;46;24;19;22;16;42;62;60;58;29;6;23;9;2;38;15;27;39;61;49;44;14;64;59;53;41;21;3;5;18;20;33;26;37;1;320
1;320;40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;35;1;55;50;8;48;57;45;46;24;19;22;16;42;62;60;58;29;6;23;9;2;38;15;27;39;61;49;44;14;64;59;53;41;21;3;5;18;20;33;26;37
40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;35;1;55;50;8;48;57;45;46;24;19;22;16;42;62;60;58;29;6;23;9;2;38;15;27;39;61;33;44;14;64;59;53;41;21;3;5;18;20;49;26;37;1;320
1;320;40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;35;1;55;50;8;48;57;45;46;24;19;22;16;42;62;60;58;29;6;23;9;2;38;15;27;39;61;33;44;14;64;59;53;41;21;3;5;18;20;49;26;37
40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;35;1;55;50;8;48;57;45;46;24;19;22;16;42;62;60;58;29;6;15;9;2;38;23;27;39;61;33;44;14;64;59;53;41;21;3;5;18;20;49;26;37;1;312
2;312;40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;35;1;55;50;8;48;57;45;46;24;19;22;16;42;62;60;58;29;6;15;9;2;38;23;27;39;61;33;44;14;64;59;53;41;21;3;5;18;20;49;26;37
40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;35;1;55;50;8;59;57;45;46;24;19;22;16;42;62;60;58;29;6;15;9;2;38;23;27;39;61;33;44;14;64;48;53;41;21;3;5;18;20;49;26;37;2;316
2;316;40;13;28;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;43;56;35;1;55;50;8;59;57;45;46;24;19;22;16;42;62;60;58;29;6;15;9;2;38;23;27;39;61;33;44;14;64;48;53;41;21;3;5;18;20;49;26;37
40;13;43;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;28;56;35;1;55;50;8;59;57;45;46;24;19;22;16;42;62;60;58;29;6;15;9;2;38;23;27;39;61;33;44;14;64;48;53;41;21;3;5;18;20;49;26;37;2;310
2;310;40;13;43;10;31;51;36;54;25;52;30;17;11;34;47;32;4;12;7;63;28;56;35;1;55;50;8;59;57;45;46;24;19;22;16;42;62;60;58;29;6;15;9;2;38;23;27;39;61;33;44;14;64;48;53;41;21;3;5;18;20;49;26;37
40;13;43;10;31;51;36;54;25;52;15;17;11;34;47;32;4;12;7;63;28;56;35;1;55;50;8;59;57;45;46;24;19;22;16;42;62;60;58;29;6;30;9;2;38;23;27;39;61;33;44;14;64;48;53;41;21;3;5;18;20;49;26;37;2;310
2;310;40;13;43;10;31;51;36;54;25;52;15;17;11;34;47;32;4;12;7;63;28;56;35;1;55;50;8;59;57;45;46;24;19;22;16;42;62;60;58;29;6;30;9;2;38;23;27;39;61;33;44;14;64;48;53;41;21;3;5;18;20;49;26;37
40;13;43;10;31;51;36;54;25;52;15;17;11;34;47;32;4;12;7;41;28;56;35;1;55;50;8;59;57;45;46;24;19;22;16;42;62;60;58;29;6;30;9;2;38;23;27;39;61;33;44;14;64;48;53;63;21;3;5;18;20;49;26;37;2;308
2;308;40;13;43;10;31;51;36;54;25;52;15;17;11;34;47;32;4;12;7;41;28;56;35;1;55;50;8;59;57;45;46;24;19;22;16;42;62;60;58;29;6;30;9;2;38;23;27;39;61;33;44;14;64;48;53;63;21;3;5;18;20;49;26;37
40;13;43;10;31;51;36;54;25;52;15;17;11;34;47;32;4;12;7;41;28;56;35;1;55;50;8;59;57;45;46;24;19;22;16;42;62;60;58;29;6;30;9;2;38;23;27;64;61;33;44;14;39;48;53;63;21;3;5;18;20;49;26;37;2;308
2;308;40;13;43;10;31;51;36;54;25;52;15;17;11;34;47;32;4;12;7;41;28;56;35;1;55;50;8;59;57;45;46;24;19;22;16;42;62;60;58;29;6;30;9;2;38;23;27;64;61;33;44;14;39;48;53;63;21;3;5;18;20;49;26;37
40;13;43;10;31;51;36;54;25;52;15;17;11;34;47;32;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;42;62;60;58;29;6;30;9;2;38;23;27;64;61;33;44;14;59;48;53;63;21;3;5;18;20;49;26;37;2;304
2;304;40;13;43;10;31;51;36;54;25;52;15;17;11;34;47;32;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;42;62;60;58;29;6;30;9;2;38;23;27;64;61;33;44;14;59;48;53;63;21;3;5;18;20;49;26;37
40;13;43;10;31;51;36;54;25;52;15;17;11;34;47;32;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;42;3;60;58;29;6;30;9;2;38;23;27;64;61;33;44;14;59;48;53;63;21;62;5;18;20;49;26;37;2;280
2;280;40;13;43;10;31;51;36;54;25;52;15;17;11;34;47;32;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;42;3;60;58;29;6;30;9;2;38;23;27;64;61;33;44;14;59;48;53;63;21;62;5;18;20;49;26;37
40;13;43;10;31;51;36;54;25;52;15;17;11;34;47;32;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;42;3;60;48;29;6;30;9;2;38;23;27;64;61;33;44;14;59;58;53;63;21;62;5;18;20;49;26;37;2;262
2;262;40;13;43;10;31;51;36;54;25;52;15;17;11;34;47;32;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;42;3;60;48;29;6;30;9;2;38;23;27;64;61;33;44;14;59;58;53;63;21;62;5;18;20;49;26;37
40;13;43;10;31;51;36;54;25;52;15;17;11;34;42;32;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;47;3;60;48;29;6;30;9;2;38;23;27;64;61;33;44;14;59;58;53;63;21;62;5;18;20;49;26;37;2;260
2;260;40;13;43;10;31;51;36;54;25;52;15;17;11;34;42;32;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;47;3;60;48;29;6;30;9;2;38;23;27;64;61;33;44;14;59;58;53;63;21;62;5;18;20;49;26;37
40;13;43;10;31;51;36;54;25;52;15;17;11;34;42;30;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;47;3;60;48;29;6;32;9;2;38;23;27;64;61;33;44;14;59;58;53;63;21;62;5;18;20;49;26;37;2;260
2;260;40;13;43;10;31;51;36;54;25;52;15;17;11;34;42;30;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;47;3;60;48;29;6;32;9;2;38;23;27;64;61;33;44;14;59;58;53;63;21;62;5;18;20;49;26;37
40;13;43;10;31;51;36;54;25;52;15;17;11;34;42;30;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;61;3;60;48;29;6;32;9;2;38;23;27;64;47;33;44;14;59;58;53;63;21;62;5;18;20;49;26;37;2;260
2;260;40;13;43;10;31;51;36;54;25;52;15;17;11;34;42;30;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;61;3;60;48;29;6;32;9;2;38;23;27;64;47;33;44;14;59;58;53;63;21;62;5;18;20;49;26;37
40;13;43;10;31;51;36;54;25;52;15;17;11;34;20;30;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;61;3;60;48;29;6;32;9;2;38;23;27;64;47;33;44;14;59;58;53;63;21;62;5;18;42;49;26;37;2;240
2;240;40;13;43;10;31;51;36;54;25;52;15;17;11;34;20;30;4;12;7;41;28;56;35;1;55;50;8;39;57;45;46;24;19;22;16;61;3;60;48;29;6;32;9;2;38;23;27;64;47;33;44;14;59;58;53;63;21;62;5;18;42;49;26;37
40;13;43;10;31;51;36;54;25;52;15;17;11;34;20;30;4;12;7;41;28;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;60;48;29;6;32;9;2;38;23;27;64;47;33;44;14;59;58;35;63;21;62;5;18;42;49;26;37;2;240
2;240;40;13;43;10;31;51;36;54;25;52;15;17;11;34;20;30;4;12;7;41;28;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;60;48;29;6;32;9;2;38;23;27;64;47;33;44;14;59;58;35;63;21;62;5;18;42;49;26;37
40;13;43;10;31;51;36;54;25;52;15;17;11;34;20;30;4;12;7;27;28;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;60;48;29;6;32;9;2;38;23;41;64;47;33;44;14;59;58;35;63;21;62;5;18;42;49;26;37;2;238
2;238;40;13;43;10;31;51;36;54;25;52;15;17;11;34;20;30;4;12;7;27;28;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;60;48;29;6;32;9;2;38;23;41;64;47;33;44;14;59;58;35;63;21;62;5;18;42;49;26;37
40;13;43;10;31;51;36;54;25;52;15;17;11;34;20;30;4;12;7;27;28;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;6;32;9;2;38;23;41;64;47;33;44;60;59;58;35;63;21;62;5;18;42;49;26;37;2;238
2;238;40;13;43;10;31;51;36;54;25;52;15;17;11;34;20;30;4;12;7;27;28;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;6;32;9;2;38;23;41;64;47;33;44;60;59;58;35;63;21;62;5;18;42;49;26;37
40;13;43;28;31;51;36;54;25;52;15;17;11;34;20;30;4;12;7;27;10;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;6;32;9;2;38;23;41;64;47;33;44;60;59;58;35;63;21;62;5;18;42;49;26;37;2;230
2;230;40;13;43;28;31;51;36;54;25;52;15;17;11;34;20;30;4;12;7;27;10;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;6;32;9;2;38;23;41;64;47;33;44;60;59;58;35;63;21;62;5;18;42;49;26;37
40;13;43;28;21;51;36;54;25;52;15;17;11;34;20;30;4;12;7;27;10;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;6;32;9;2;38;23;41;64;47;33;44;60;59;58;35;63;31;62;5;18;42;49;26;37;2;230
2;230;40;13;43;28;21;51;36;54;25;52;15;17;11;34;20;30;4;12;7;27;10;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;6;32;9;2;38;23;41;64;47;33;44;60;59;58;35;63;31;62;5;18;42;49;26;37
40;13;43;28;21;18;36;54;25;52;15;17;11;34;20;30;4;12;7;27;10;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;6;32;9;2;38;23;41;64;47;33;44;60;59;58;35;63;31;62;5;51;42;49;26;37;2;226
2;226;40;13;43;28;21;18;36;54;25;52;15;17;11;34;20;30;4;12;7;27;10;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;6;32;9;2;38;23;41;64;47;33;44;60;59;58;35;63;31;62;5;51;42;49;26;37
40;13;43;28;21;18;36;54;25;52;15;17;11;6;20;30;4;12;7;27;10;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;64;47;33;44;60;59;58;35;63;31;62;5;51;42;49;26;37;2;218
2;218;40;13;43;28;21;18;36;54;25;52;15;17;11;6;20;30;4;12;7;27;10;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;64;47;33;44;60;59;58;35;63;31;62;5;51;42;49;26;37
40;13;43;28;21;18;36;54;25;52;15;17;11;6;20;30;4;12;7;27;10;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;33;44;60;59;58;35;63;31;62;64;51;42;49;26;37;2;218
3;218;40;13;43;28;21;18;36;54;25;52;15;17;11;6;20;30;4;12;7;27;10;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;33;44;60;59;58;35;63;31;62;64;51;42;49;26;37
40;13;43;28;21;18;36;54;25;52;15;17;11;6;20;30;33;12;7;27;10;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;4;44;60;59;58;35;63;31;62;64;51;42;49;26;37;3;238
3;238;40;13;43;28;21;18;36;54;25;52;15;17;11;6;20;30;33;12;7;27;10;56;53;1;55;50;8;39;57;45;46;24;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;4;44;60;59;58;35;63;31;62;64;51;42;49;26;37
40;13;43;28;21;18;36;54;25;52;15;17;11;6;20;30;33;12;7;27;10;56;8;1;55;50;53;39;57;45;46;24;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;4;44;60;59;58;35;63;31;62;64;51;42;49;26;37;3;250
3;250;40;13;43;28;21;18;36;54;25;52;15;17;11;6;20;30;33;12;7;27;10;56;8;1;55;50;53;39;57;45;46;24;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;4;44;60;59;58;35;63;31;62;64;51;42;49;26;37
40;13;43;28;21;18;36;54;25;52;15;31;11;6;20;30;33;12;7;27;10;56;8;1;55;50;53;39;57;45;46;24;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;4;44;60;59;58;35;63;17;62;64;51;42;49;26;37;3;250
3;250;40;13;43;28;21;18;36;54;25;52;15;31;11;6;20;30;33;12;7;27;10;56;8;1;55;50;53;39;57;45;46;24;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;4;44;60;59;58;35;63;17;62;64;51;42;49;26;37
40;13;43;28;21;18;36;26;25;52;15;31;11;6;20;30;33;12;7;27;10;56;8;1;55;50;53;39;57;45;46;24;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;4;44;60;59;58;35;63;17;62;64;51;42;49;54;37;3;250
3;250;40;13;43;28;21;18;36;26;25;52;15;31;11;6;20;30;33;12;7;27;10;56;8;1;55;50;53;39;57;45;46;24;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;4;44;60;59;58;35;63;17;62;64;51;42;49;54;37
40;13;43;28;21;18;36;26;25;52;15;31;11;6;20;30;33;12;7;27;10;56;8;1;55;50;53;39;57;45;46;44;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;4;24;60;59;58;35;63;17;62;64;51;42;49;54;37;3;250
3;250;40;13;43;28;21;18;36;26;25;52;15;31;11;6;20;30;33;12;7;27;10;56;8;1;55;50;53;39;57;45;46;44;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;4;24;60;59;58;35;63;17;62;64;51;42;49;54;37
40;13;43;28;21;18;36;26;25;52;15;31;11;6;59;30;33;12;7;27;10;56;8;1;55;50;53;39;57;45;46;44;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;4;24;60;20;58;35;63;17;62;64;51;42;49;54;37;3;280
3;280;40;13;43;28;21;18;36;26;25;52;15;31;11;6;59;30;33;12;7;27;10;56;8;1;55;50;53;39;57;45;46;44;19;22;16;61;3;14;48;29;34;32;9;2;38;23;41;5;47;4;24;60;20;58;35;63;17;62;64;51;42;49;54;37
40;13;43;28;21;18;36;26;25;52;15;31;11;6;59;30;33;12;7;27;10;56;8;1;55;50;29;39;57;45;46;44;19;22;16;61;3;14;48;53;34;32;9;2;38;23;41;5;47;4;24;60;20;58;35;63;17;62;64;51;42;49;54;37;3;276
3;276;40;13;43;28;21;18;36;26;25;52;15;31;11;6;59;30;33;12;7;27;10;56;8;1;55;50;29;39;57;45;46;44;19;22;16;61;3;14;48;53;34;32;9;2;38;23;41;5;47;4;24;60;20;58;35;63;17;62;64;51;42;49;54;37
40;13;43;28;21;18;36;26;25;52;15;31;11;56;59;30;33;12;7;27;10;6;8;1;55;50;29;39;57;45;46;44;19;22;16;61;3;14;48;53;34;32;9;2;38;23;41;5;47;4;24;60;20;58;35;63;17;62;64;51;42;49;54;37;3;274
3;274;40;13;43;28;21;18;36;26;25;52;15;31;11;56;59;30;33;12;7;27;10;6;8;1;55;50;29;39;57;45;46;44;19;22;16;61;3;14;48;53;34;32;9;2;38;23;41;5;47;4;24;60;20;58;35;63;17;62;64;51;42;49;54;37
40;13;43;28;21;18;36;26;25;52;15;31;11;56;59;55;33;12;7;27;10;6;8;1;30;50;29;39;57;45;46;44;19;22;16;61;3;14;48;53;34;32;9;2;38;23;41;5;47;4;24;60;20;58;35;63;17;62;64;51;42;49;54;37;3;274
3;274;40;13;43;28;21;18;36;26;25;52;15;31;11;56;59;55;33;12;7;27;10;6;8;1;30;50;29;39;57;45;46;44;19;22;16;61;3;14;48;53;34;32;9;2;38;23;41;5;47;4;24;60;20;58;35;63;17;62;64;51;42;49;54;37
40;13;43;28;21;18;36;26;25;52;15;31;11;56;59;55;33;12;7;27;10;6;8;1;30;50;29;39;46;45;57;44;19;22;16;61;3;14;48;53;34;32;9;2;38;23;41;5;47;4;24;60;20;58;35;63;17;62;64;51;42;49;54;37;3;274
3;274;40;13;43;28;21;18;36;26;25;52;15;31;11;56;59;55;33;12;7;27;10;6;8;1;30;50;29;39;46;45;57;44;19;22;16;61;3;14;48;53;34;32;9;2;38;23;41;5;47;4;24;60;20;58;35;63;17;62;64;51;42;49;54;37
40;13;43;28;21;18;36;26;25;52;15;31;11;56;59;55;33;12;7;27;10;6;8;1;30;61;29;39;46;45;57;44;19;22;16;50;3;14;48;53;34;32;9;2;38;23;41;5;47;4;24;60;20;58;35;63;17;62;64;51;42;49;54;37;3;274
