"X1";"X5869389";"X6";"X23";"X24";"X26";"X25";"X22";"X13";"X17";"X20";"X9";"X5";"X16";"X15";"X1.1";"X12";"X14";"X4";"X8";"X2";"X21";"X3";"X18";"X10";"X19";"X7";"X11"
1;5790783;13;20;24;10;21;22;18;17;23;11;5;16;15;1;12;14;25;8;2;3;6;26;4;19;7;9
13;20;4;10;21;22;18;17;23;11;5;16;15;1;12;14;25;8;2;3;6;26;24;19;7;9;1;5778520
1;5778520;13;20;4;10;21;22;18;17;23;11;5;16;15;1;12;14;25;8;2;3;6;26;24;19;7;9
13;20;4;10;21;22;18;17;23;11;5;16;15;1;12;14;25;3;2;8;6;26;24;19;7;9;1;5779563
1;5779563;13;20;4;10;21;22;18;17;23;11;5;16;15;1;12;14;25;3;2;8;6;26;24;19;7;9
13;20;4;10;21;22;18;17;25;11;5;16;15;1;12;14;23;3;2;8;6;26;24;19;7;9;1;5779875
1;5779875;13;20;4;10;21;22;18;17;25;11;5;16;15;1;12;14;23;3;2;8;6;26;24;19;7;9
13;20;4;10;21;22;18;17;25;11;5;16;19;1;12;14;23;3;2;8;6;26;24;15;7;9;1;5728945
1;5728945;13;20;4;10;21;22;18;17;25;11;5;16;19;1;12;14;23;3;2;8;6;26;24;15;7;9
13;20;4;10;21;22;18;17;23;11;5;16;19;1;12;14;25;3;2;8;6;26;24;15;7;9;1;5728633
1;5728633;13;20;4;10;21;22;18;17;23;11;5;16;19;1;12;14;25;3;2;8;6;26;24;15;7;9
13;20;4;10;21;22;18;17;23;11;2;16;19;1;12;14;25;3;5;8;6;26;24;15;7;9;1;5848363
1;5848363;13;20;4;10;21;22;18;17;23;11;2;16;19;1;12;14;25;3;5;8;6;26;24;15;7;9
13;20;4;10;21;3;18;17;23;11;2;16;19;1;12;14;25;22;5;8;6;26;24;15;7;9;1;5880742
1;5880742;13;20;4;10;21;3;18;17;23;11;2;16;19;1;12;14;25;22;5;8;6;26;24;15;7;9
13;20;4;10;21;3;18;17;23;11;2;16;19;1;12;14;25;22;5;8;24;26;6;15;7;9;1;5882473
2;5882473;13;20;4;10;21;3;18;17;23;11;2;16;19;1;12;14;25;22;5;8;24;26;6;15;7;9
13;20;4;10;21;3;18;17;23;5;2;16;19;1;12;14;25;22;11;8;24;26;6;15;7;9;2;5960418
2;5960418;13;20;4;10;21;3;18;17;23;5;2;16;19;1;12;14;25;22;11;8;24;26;6;15;7;9
13;20;4;10;21;3;18;17;23;5;26;16;19;1;12;14;25;22;11;8;24;2;6;15;7;9;2;5966138
2;5966138;13;20;4;10;21;3;18;17;23;5;26;16;19;1;12;14;25;22;11;8;24;2;6;15;7;9
13;20;4;10;21;3;18;17;23;5;26;16;19;22;12;14;25;1;11;8;24;2;6;15;7;9;2;5940404
2;5940404;13;20;4;10;21;3;18;17;23;5;26;16;19;22;12;14;25;1;11;8;24;2;6;15;7;9
13;20;4;10;21;3;18;17;23;5;26;16;8;22;12;14;25;1;11;19;24;2;6;15;7;9;2;5963087
2;5963087;13;20;4;10;21;3;18;17;23;5;26;16;8;22;12;14;25;1;11;19;24;2;6;15;7;9
13;20;4;10;24;3;18;17;23;5;26;16;8;22;12;14;25;1;11;19;21;2;6;15;7;9;2;5976534
2;5976534;13;20;4;10;24;3;18;17;23;5;26;16;8;22;12;14;25;1;11;19;21;2;6;15;7;9
13;1;4;10;24;3;18;17;23;5;26;16;8;22;12;14;25;20;11;19;21;2;6;15;7;9;2;6026453
2;6026453;13;1;4;10;24;3;18;17;23;5;26;16;8;22;12;14;25;20;11;19;21;2;6;15;7;9
13;1;4;10;24;19;18;17;23;5;26;16;8;22;12;14;25;20;11;3;21;2;6;15;7;9;2;6067471
2;6067471;13;1;4;10;24;19;18;17;23;5;26;16;8;22;12;14;25;20;11;3;21;2;6;15;7;9
13;1;4;22;24;19;18;17;23;5;26;16;8;10;12;14;25;20;11;3;21;2;6;15;7;9;2;6074467
2;6074467;13;1;4;22;24;19;18;17;23;5;26;16;8;10;12;14;25;20;11;3;21;2;6;15;7;9
19;1;4;22;24;13;18;17;23;5;26;16;8;10;12;14;25;20;11;3;21;2;6;15;7;9;2;6056604
2;6056604;19;1;4;22;24;13;18;17;23;5;26;16;8;10;12;14;25;20;11;3;21;2;6;15;7;9
21;1;4;22;24;13;18;17;23;5;26;16;8;10;12;14;25;20;11;3;19;2;6;15;7;9;2;6040690
2;6040690;21;1;4;22;24;13;18;17;23;5;26;16;8;10;12;14;25;20;11;3;19;2;6;15;7;9
21;1;4;22;24;13;20;17;23;5;26;16;8;10;12;14;25;18;11;3;19;2;6;15;7;9;2;6023852
2;6023852;21;1;4;22;24;13;20;17;23;5;26;16;8;10;12;14;25;18;11;3;19;2;6;15;7;9
9;1;4;22;24;13;20;17;23;5;26;16;8;10;12;14;25;18;11;3;19;2;6;15;7;21;2;5935756
2;5935756;9;1;4;22;24;13;20;17;23;5;26;16;8;10;12;14;25;18;11;3;19;2;6;15;7;21
9;1;4;22;24;13;6;17;23;5;26;16;8;10;12;14;25;18;11;3;19;2;20;15;7;21;2;5974986
2;5974986;9;1;4;22;24;13;6;17;23;5;26;16;8;10;12;14;25;18;11;3;19;2;20;15;7;21
9;8;4;22;24;13;6;17;23;5;26;16;1;10;12;14;25;18;11;3;19;2;20;15;7;21;2;5989664
2;5989664;9;8;4;22;24;13;6;17;23;5;26;16;1;10;12;14;25;18;11;3;19;2;20;15;7;21
9;8;4;22;24;13;6;17;23;5;26;16;1;10;12;14;25;19;11;3;18;2;20;15;7;21;2;5958872
2;5958872;9;8;4;22;24;13;6;17;23;5;26;16;1;10;12;14;25;19;11;3;18;2;20;15;7;21
23;8;4;22;24;13;6;17;9;5;26;16;1;10;12;14;25;19;11;3;18;2;20;15;7;21;2;5959048
2;5959048;23;8;4;22;24;13;6;17;9;5;26;16;1;10;12;14;25;19;11;3;18;2;20;15;7;21
23;8;3;22;24;13;6;17;9;5;26;16;1;10;12;14;25;19;11;4;18;2;20;15;7;21;2;5948811
2;5948811;23;8;3;22;24;13;6;17;9;5;26;16;1;10;12;14;25;19;11;4;18;2;20;15;7;21
23;8;3;22;24;13;6;17;9;5;26;16;1;10;12;14;25;19;11;4;18;2;20;21;7;15;2;5933212
2;5933212;23;8;3;22;24;13;6;17;9;5;26;16;1;10;12;14;25;19;11;4;18;2;20;21;7;15
23;8;3;22;24;13;6;17;9;5;26;16;1;10;12;14;25;19;11;18;4;2;20;21;7;15;2;5925787
2;5925787;23;8;3;22;24;13;6;17;9;5;26;16;1;10;12;14;25;19;11;18;4;2;20;21;7;15
23;8;3;22;24;13;6;17;9;5;26;16;1;10;12;14;25;19;11;18;15;2;20;21;7;4;2;6013834
3;6013834;23;8;3;22;24;13;6;17;9;5;26;16;1;10;12;14;25;19;11;18;15;2;20;21;7;4
23;9;3;22;24;13;6;17;8;5;26;16;1;10;12;14;25;19;11;18;15;2;20;21;7;4;3;5902365
3;5902365;23;9;3;22;24;13;6;17;8;5;26;16;1;10;12;14;25;19;11;18;15;2;20;21;7;4
23;9;3;22;24;13;6;17;8;5;26;16;19;10;12;14;25;1;11;18;15;2;20;21;7;4;3;5920149
3;5920149;23;9;3;22;24;13;6;17;8;5;26;16;19;10;12;14;25;1;11;18;15;2;20;21;7;4
23;9;3;22;24;13;6;17;8;5;26;16;19;10;18;14;25;1;11;12;15;2;20;21;7;4;3;5912228
3;5912228;23;9;3;22;24;13;6;17;8;5;26;16;19;10;18;14;25;1;11;12;15;2;20;21;7;4
23;9;24;22;3;13;6;17;8;5;26;16;19;10;18;14;25;1;11;12;15;2;20;21;7;4;3;5916210
3;5916210;23;9;24;22;3;13;6;17;8;5;26;16;19;10;18;14;25;1;11;12;15;2;20;21;7;4
23;10;24;22;3;13;6;17;8;5;26;16;19;9;18;14;25;1;11;12;15;2;20;21;7;4;3;5882627
3;5882627;23;10;24;22;3;13;6;17;8;5;26;16;19;9;18;14;25;1;11;12;15;2;20;21;7;4
23;10;24;22;3;13;6;16;8;5;26;17;19;9;18;14;25;1;11;12;15;2;20;21;7;4;3;5880134
3;5880134;23;10;24;22;3;13;6;16;8;5;26;17;19;9;18;14;25;1;11;12;15;2;20;21;7;4
23;10;24;22;3;13;6;19;8;5;26;17;16;9;18;14;25;1;11;12;15;2;20;21;7;4;3;5880577
3;5880577;23;10;24;22;3;13;6;19;8;5;26;17;16;9;18;14;25;1;11;12;15;2;20;21;7;4
23;10;24;22;3;13;6;19;8;5;26;17;16;9;18;14;25;2;11;12;15;1;20;21;7;4;3;5941240
3;5941240;23;10;24;22;3;13;6;19;8;5;26;17;16;9;18;14;25;2;11;12;15;1;20;21;7;4
23;10;24;22;15;13;6;19;8;5;26;17;16;9;18;14;25;2;11;12;3;1;20;21;7;4;3;5946074
3;5946074;23;10;24;22;15;13;6;19;8;5;26;17;16;9;18;14;25;2;11;12;3;1;20;21;7;4
23;10;24;12;15;13;6;19;8;5;26;17;16;9;18;14;25;2;11;22;3;1;20;21;7;4;3;5957360
3;5957360;23;10;24;12;15;13;6;19;8;5;26;17;16;9;18;14;25;2;11;22;3;1;20;21;7;4
23;15;24;12;10;13;6;19;8;5;26;17;16;9;18;14;25;2;11;22;3;1;20;21;7;4;3;5952204
3;5952204;23;15;24;12;10;13;6;19;8;5;26;17;16;9;18;14;25;2;11;22;3;1;20;21;7;4
23;15;8;12;10;13;6;19;24;5;26;17;16;9;18;14;25;2;11;22;3;1;20;21;7;4;3;6026910
3;6026910;23;15;8;12;10;13;6;19;24;5;26;17;16;9;18;14;25;2;11;22;3;1;20;21;7;4
23;15;8;12;10;13;6;19;24;5;21;17;16;9;18;14;25;2;11;22;3;1;20;26;7;4;3;5989310
3;5989310;23;15;8;12;10;13;6;19;24;5;21;17;16;9;18;14;25;2;11;22;3;1;20;26;7;4
23;15;8;4;10;13;6;19;24;5;21;17;16;9;18;14;25;2;11;22;3;1;20;26;7;12;3;5940170
3;5940170;23;15;8;4;10;13;6;19;24;5;21;17;16;9;18;14;25;2;11;22;3;1;20;26;7;12
23;15;8;4;10;13;6;19;24;5;21;17;16;9;26;14;25;2;11;22;3;1;20;18;7;12;3;5964536
3;5964536;23;15;8;4;10;13;6;19;24;5;21;17;16;9;26;14;25;2;11;22;3;1;20;18;7;12
23;15;8;4;10;13;6;19;24;5;21;17;16;9;18;14;25;2;11;22;3;1;20;26;7;12;3;5940170
3;5940170;23;15;8;4;10;13;6;19;24;5;21;17;16;9;18;14;25;2;11;22;3;1;20;26;7;12
23;15;8;4;10;13;6;19;24;5;21;17;16;9;20;14;25;2;11;22;3;1;18;26;7;12;3;5950840
3;5950840;23;15;8;4;10;13;6;19;24;5;21;17;16;9;20;14;25;2;11;22;3;1;18;26;7;12
23;15;8;4;10;13;6;19;24;5;21;17;14;9;20;16;25;2;11;22;3;1;18;26;7;12;3;5899761
3;5899761;23;15;8;4;10;13;6;19;24;5;21;17;14;9;20;16;25;2;11;22;3;1;18;26;7;12
23;15;8;4;13;10;6;19;24;5;21;17;14;9;20;16;25;2;11;22;3;1;18;26;7;12;3;5911001
3;5911001;23;15;8;4;13;10;6;19;24;5;21;17;14;9;20;16;25;2;11;22;3;1;18;26;7;12
23;15;8;4;13;10;6;19;24;5;21;17;14;9;20;16;25;12;11;22;3;1;18;26;7;2;3;5892448
4;5892448;23;15;8;4;13;10;6;19;24;5;21;17;14;9;20;16;25;12;11;22;3;1;18;26;7;2
23;15;8;4;13;14;6;19;24;5;21;17;10;9;20;16;25;12;11;22;3;1;18;26;7;2;4;5952674
4;5952674;23;15;8;4;13;14;6;19;24;5;21;17;10;9;20;16;25;12;11;22;3;1;18;26;7;2
23;15;8;4;13;14;6;19;24;5;21;17;10;9;20;16;25;12;2;22;3;1;18;26;7;11;4;5953198
4;5953198;23;15;8;4;13;14;6;19;24;5;21;17;10;9;20;16;25;12;2;22;3;1;18;26;7;11
23;15;8;4;13;14;6;19;24;5;7;17;10;9;20;16;25;12;2;22;3;1;18;26;21;11;4;5963608
4;5963608;23;15;8;4;13;14;6;19;24;5;7;17;10;9;20;16;25;12;2;22;3;1;18;26;21;11
23;15;8;4;13;25;6;19;24;5;7;17;10;9;20;16;14;12;2;22;3;1;18;26;21;11;4;5866474
4;5866474;23;15;8;4;13;25;6;19;24;5;7;17;10;9;20;16;14;12;2;22;3;1;18;26;21;11
23;15;8;4;13;25;6;19;17;5;7;24;10;9;20;16;14;12;2;22;3;1;18;26;21;11;4;5866166
4;5866166;23;15;8;4;13;25;6;19;17;5;7;24;10;9;20;16;14;12;2;22;3;1;18;26;21;11
23;13;8;4;15;25;6;19;17;5;7;24;10;9;20;16;14;12;2;22;3;1;18;26;21;11;4;5876964
4;5876964;23;13;8;4;15;25;6;19;17;5;7;24;10;9;20;16;14;12;2;22;3;1;18;26;21;11
23;13;8;5;15;25;6;19;17;4;7;24;10;9;20;16;14;12;2;22;3;1;18;26;21;11;4;6140732
4;6140732;23;13;8;5;15;25;6;19;17;4;7;24;10;9;20;16;14;12;2;22;3;1;18;26;21;11
23;13;8;12;15;25;6;19;17;4;7;24;10;9;20;16;14;5;2;22;3;1;18;26;21;11;4;5855188
4;5855188;23;13;8;12;15;25;6;19;17;4;7;24;10;9;20;16;14;5;2;22;3;1;18;26;21;11
23;13;8;12;15;24;6;19;17;4;7;25;10;9;20;16;14;5;2;22;3;1;18;26;21;11;4;5855437
4;5855437;23;13;8;12;15;24;6;19;17;4;7;25;10;9;20;16;14;5;2;22;3;1;18;26;21;11
23;13;8;12;15;24;6;19;17;4;7;25;10;9;20;16;21;5;2;22;3;1;18;26;14;11;4;5939728
4;5939728;23;13;8;12;15;24;6;19;17;4;7;25;10;9;20;16;21;5;2;22;3;1;18;26;14;11
23;4;8;12;15;24;6;19;17;13;7;25;10;9;20;16;21;5;2;22;3;1;18;26;14;11;4;5930432
4;5930432;23;4;8;12;15;24;6;19;17;13;7;25;10;9;20;16;21;5;2;22;3;1;18;26;14;11
23;4;8;12;15;25;6;19;17;13;7;24;10;9;20;16;21;5;2;22;3;1;18;26;14;11;4;5931096
4;5931096;23;4;8;12;15;25;6;19;17;13;7;24;10;9;20;16;21;5;2;22;3;1;18;26;14;11
23;4;8;12;6;25;15;19;17;13;7;24;10;9;20;16;21;5;2;22;3;1;18;26;14;11;4;5927592
4;5927592;23;4;8;12;6;25;15;19;17;13;7;24;10;9;20;16;21;5;2;22;3;1;18;26;14;11
26;4;8;12;6;25;15;19;17;13;7;24;10;9;20;16;21;5;2;22;3;1;18;23;14;11;4;5930428
4;5930428;26;4;8;12;6;25;15;19;17;13;7;24;10;9;20;16;21;5;2;22;3;1;18;23;14;11
26;4;8;12;6;25;15;19;17;13;7;24;9;10;20;16;21;5;2;22;3;1;18;23;14;11;4;5898522
4;5898522;26;4;8;12;6;25;15;19;17;13;7;24;9;10;20;16;21;5;2;22;3;1;18;23;14;11
26;4;8;12;6;25;15;19;17;13;11;24;9;10;20;16;21;5;2;22;3;1;18;23;14;7;4;5914432
4;5914432;26;4;8;12;6;25;15;19;17;13;11;24;9;10;20;16;21;5;2;22;3;1;18;23;14;7
26;4;8;12;6;18;15;19;17;13;11;24;9;10;20;16;21;5;2;22;3;1;25;23;14;7;4;5947421
4;5947421;26;4;8;12;6;18;15;19;17;13;11;24;9;10;20;16;21;5;2;22;3;1;25;23;14;7
26;4;1;12;6;18;15;19;17;13;11;24;9;10;20;16;21;5;2;22;3;8;25;23;14;7;4;5951908
4;5951908;26;4;1;12;6;18;15;19;17;13;11;24;9;10;20;16;21;5;2;22;3;8;25;23;14;7
26;4;1;12;6;5;15;19;17;13;11;24;9;10;20;16;21;18;2;22;3;8;25;23;14;7;4;6058757
4;6058757;26;4;1;12;6;5;15;19;17;13;11;24;9;10;20;16;21;18;2;22;3;8;25;23;14;7
26;4;1;12;6;5;15;19;17;13;11;24;9;10;20;16;22;18;2;21;3;8;25;23;14;7;4;6083855
5;6083855;26;4;1;12;6;5;15;19;17;13;11;24;9;10;20;16;22;18;2;21;3;8;25;23;14;7
26;5;1;12;6;4;15;19;17;13;11;24;9;10;20;16;22;18;2;21;3;8;25;23;14;7;5;5924707
5;5924707;26;5;1;12;6;4;15;19;17;13;11;24;9;10;20;16;22;18;2;21;3;8;25;23;14;7
26;5;1;12;6;4;15;19;17;13;11;24;2;10;20;16;22;18;9;21;3;8;25;23;14;7;5;5952408
5;5952408;26;5;1;12;6;4;15;19;17;13;11;24;2;10;20;16;22;18;9;21;3;8;25;23;14;7
26;5;1;12;6;4;15;19;17;13;11;24;2;10;20;22;16;18;9;21;3;8;25;23;14;7;5;5948638
5;5948638;26;5;1;12;6;4;15;19;17;13;11;24;2;10;20;22;16;18;9;21;3;8;25;23;14;7
26;5;1;12;6;4;15;19;17;13;25;24;2;10;20;22;16;18;9;21;3;8;11;23;14;7;5;5960578
5;5960578;26;5;1;12;6;4;15;19;17;13;25;24;2;10;20;22;16;18;9;21;3;8;11;23;14;7
26;5;1;12;6;4;15;19;17;13;25;3;2;10;20;22;16;18;9;21;24;8;11;23;14;7;5;5947973
5;5947973;26;5;1;12;6;4;15;19;17;13;25;3;2;10;20;22;16;18;9;21;24;8;11;23;14;7
26;5;24;12;6;4;15;19;17;13;25;3;2;10;20;22;16;18;9;21;1;8;11;23;14;7;5;5948648
5;5948648;26;5;24;12;6;4;15;19;17;13;25;3;2;10;20;22;16;18;9;21;1;8;11;23;14;7
26;5;24;12;3;4;15;19;17;13;25;6;2;10;20;22;16;18;9;21;1;8;11;23;14;7;5;5945694
5;5945694;26;5;24;12;3;4;15;19;17;13;25;6;2;10;20;22;16;18;9;21;1;8;11;23;14;7
26;5;24;12;3;4;15;19;17;13;25;6;2;10;20;22;16;11;9;21;1;8;18;23;14;7;5;6082040
5;6082040;26;5;24;12;3;4;15;19;17;13;25;6;2;10;20;22;16;11;9;21;1;8;18;23;14;7
26;5;24;12;3;4;15;19;17;13;11;6;2;10;20;22;16;25;9;21;1;8;18;23;14;7;5;6096770
5;6096770;26;5;24;12;3;4;15;19;17;13;11;6;2;10;20;22;16;25;9;21;1;8;18;23;14;7
26;5;24;12;3;4;15;19;17;13;11;6;2;10;20;22;16;25;9;21;18;8;1;23;14;7;5;6191422
5;6191422;26;5;24;12;3;4;15;19;17;13;11;6;2;10;20;22;16;25;9;21;18;8;1;23;14;7
26;5;24;12;3;4;15;19;23;13;11;6;2;10;20;22;16;25;9;21;18;8;1;17;14;7;5;6182712
5;6182712;26;5;24;12;3;4;15;19;23;13;11;6;2;10;20;22;16;25;9;21;18;8;1;17;14;7
26;5;24;12;3;14;15;19;23;13;11;6;2;10;20;22;16;25;9;21;18;8;1;17;4;7;5;6175564
5;6175564;26;5;24;12;3;14;15;19;23;13;11;6;2;10;20;22;16;25;9;21;18;8;1;17;4;7
26;5;10;12;3;14;15;19;23;13;11;6;2;24;20;22;16;25;9;21;18;8;1;17;4;7;5;6175328
5;6175328;26;5;10;12;3;14;15;19;23;13;11;6;2;24;20;22;16;25;9;21;18;8;1;17;4;7
26;5;10;12;3;14;15;19;23;13;20;6;2;24;11;22;16;25;9;21;18;8;1;17;4;7;5;6144443
5;6144443;26;5;10;12;3;14;15;19;23;13;20;6;2;24;11;22;16;25;9;21;18;8;1;17;4;7
26;5;10;12;3;14;15;19;23;1;20;6;2;24;11;22;16;25;9;21;18;8;13;17;4;7;5;6082056
5;6082056;26;5;10;12;3;14;15;19;23;1;20;6;2;24;11;22;16;25;9;21;18;8;13;17;4;7
26;5;7;12;3;14;15;19;23;1;20;6;2;24;11;22;16;25;9;21;18;8;13;17;4;10;5;6067236
5;6067236;26;5;7;12;3;14;15;19;23;1;20;6;2;24;11;22;16;25;9;21;18;8;13;17;4;10
26;5;7;12;3;14;15;19;23;1;20;6;9;24;11;22;16;25;2;21;18;8;13;17;4;10;5;6061782
5;6061782;26;5;7;12;3;14;15;19;23;1;20;6;9;24;11;22;16;25;2;21;18;8;13;17;4;10
26;5;7;12;3;14;15;19;23;1;20;6;9;16;11;22;24;25;2;21;18;8;13;17;4;10;5;6068272
5;6068272;26;5;7;12;3;14;15;19;23;1;20;6;9;16;11;22;24;25;2;21;18;8;13;17;4;10
5;26;7;12;3;14;15;19;23;1;20;6;9;16;11;22;24;25;2;21;18;8;13;17;4;10;5;5997989
5;5997989;5;26;7;12;3;14;15;19;23;1;20;6;9;16;11;22;24;25;2;21;18;8;13;17;4;10
5;26;7;12;14;3;15;19;23;1;20;6;9;16;11;22;24;25;2;21;18;8;13;17;4;10;5;6006062
6;6006062;5;26;7;12;14;3;15;19;23;1;20;6;9;16;11;22;24;25;2;21;18;8;13;17;4;10
1;26;7;12;14;3;15;19;23;5;20;6;9;16;11;22;24;25;2;21;18;8;13;17;4;10;6;5859028
6;5859028;1;26;7;12;14;3;15;19;23;5;20;6;9;16;11;22;24;25;2;21;18;8;13;17;4;10
1;26;7;12;14;3;15;19;23;5;20;6;9;16;11;22;24;25;2;4;18;8;13;17;21;10;6;5794234
6;5794234;1;26;7;12;14;3;15;19;23;5;20;6;9;16;11;22;24;25;2;4;18;8;13;17;21;10
1;26;7;12;14;3;10;19;23;5;20;6;9;16;11;22;24;25;2;4;18;8;13;17;21;15;6;5806214
6;5806214;1;26;7;12;14;3;10;19;23;5;20;6;9;16;11;22;24;25;2;4;18;8;13;17;21;15
1;26;7;12;14;3;10;19;23;5;20;6;9;16;4;22;24;25;2;11;18;8;13;17;21;15;6;5802360
6;5802360;1;26;7;12;14;3;10;19;23;5;20;6;9;16;4;22;24;25;2;11;18;8;13;17;21;15
1;26;25;12;14;3;10;19;23;5;20;6;9;16;4;22;24;7;2;11;18;8;13;17;21;15;6;5793332
6;5793332;1;26;25;12;14;3;10;19;23;5;20;6;9;16;4;22;24;7;2;11;18;8;13;17;21;15
1;26;25;12;21;3;10;19;23;5;20;6;9;16;4;22;24;7;2;11;18;8;13;17;14;15;6;5860080
6;5860080;1;26;25;12;21;3;10;19;23;5;20;6;9;16;4;22;24;7;2;11;18;8;13;17;14;15
1;26;20;12;21;3;10;19;23;5;25;6;9;16;4;22;24;7;2;11;18;8;13;17;14;15;6;5923239
6;5923239;1;26;20;12;21;3;10;19;23;5;25;6;9;16;4;22;24;7;2;11;18;8;13;17;14;15
1;26;16;12;21;3;10;19;23;5;25;6;9;20;4;22;24;7;2;11;18;8;13;17;14;15;6;5859813
6;5859813;1;26;16;12;21;3;10;19;23;5;25;6;9;20;4;22;24;7;2;11;18;8;13;17;14;15
1;26;16;12;21;3;10;19;23;5;25;6;9;20;2;22;24;7;4;11;18;8;13;17;14;15;6;5874621
6;5874621;1;26;16;12;21;3;10;19;23;5;25;6;9;20;2;22;24;7;4;11;18;8;13;17;14;15
1;26;16;12;21;3;10;19;23;5;25;6;9;20;2;22;24;13;4;11;18;8;7;17;14;15;6;5859486
6;5859486;1;26;16;12;21;3;10;19;23;5;25;6;9;20;2;22;24;13;4;11;18;8;7;17;14;15
1;26;16;12;21;3;10;7;23;5;25;6;9;20;2;22;24;13;4;11;18;8;19;17;14;15;6;5907452
6;5907452;1;26;16;12;21;3;10;7;23;5;25;6;9;20;2;22;24;13;4;11;18;8;19;17;14;15
1;26;16;14;21;3;10;7;23;5;25;6;9;20;2;22;24;13;4;11;18;8;19;17;12;15;6;5866381
6;5866381;1;26;16;14;21;3;10;7;23;5;25;6;9;20;2;22;24;13;4;11;18;8;19;17;12;15
1;26;16;14;21;3;10;7;11;5;25;6;9;20;2;22;24;13;4;23;18;8;19;17;12;15;6;5859240
6;5859240;1;26;16;14;21;3;10;7;11;5;25;6;9;20;2;22;24;13;4;23;18;8;19;17;12;15
11;26;16;14;21;3;10;7;1;5;25;6;9;20;2;22;24;13;4;23;18;8;19;17;12;15;6;5795798
6;5795798;11;26;16;14;21;3;10;7;1;5;25;6;9;20;2;22;24;13;4;23;18;8;19;17;12;15
11;26;16;14;21;3;10;7;1;5;25;6;9;20;2;22;24;19;4;23;18;8;13;17;12;15;6;5748639
6;5748639;11;26;16;14;21;3;10;7;1;5;25;6;9;20;2;22;24;19;4;23;18;8;13;17;12;15
11;15;16;14;21;3;10;7;1;5;25;6;9;20;2;22;24;19;4;23;18;8;13;17;12;26;6;5773343
6;5773343;11;15;16;14;21;3;10;7;1;5;25;6;9;20;2;22;24;19;4;23;18;8;13;17;12;26
11;15;16;14;21;3;10;7;1;5;25;6;18;20;2;22;24;19;4;23;9;8;13;17;12;26;6;5781233
6;5781233;11;15;16;14;21;3;10;7;1;5;25;6;18;20;2;22;24;19;4;23;9;8;13;17;12;26
11;15;16;14;21;3;10;1;7;5;25;6;18;20;2;22;24;19;4;23;9;8;13;17;12;26;6;5784493
6;5784493;11;15;16;14;21;3;10;1;7;5;25;6;18;20;2;22;24;19;4;23;9;8;13;17;12;26
