"X1";"X254";"X31";"X62";"X40";"X53";"X37";"X41";"X61";"X18";"X17";"X22";"X50";"X8";"X55";"X38";"X16";"X47";"X9";"X49";"X2";"X63";"X46";"X35";"X57";"X24";"X25";"X29";"X15";"X30";"X3";"X58";"X23";"X43";"X4";"X10";"X60";"X21";"X14";"X28";"X64";"X27";"X1.1";"X6";"X5";"X36";"X42";"X48";"X45";"X54";"X12";"X44";"X32";"X39";"X52";"X13";"X51";"X11";"X34";"X59";"X33";"X7";"X56";"X20";"X19";"X26"
1;250;31;62;40;53;37;41;61;18;17;22;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;33;4;10;60;21;42;28;64;27;1;6;55;36;14;48;45;54;12;44;32;39;52;13;51;11;34;20;43;7;56;59;19;26
31;62;40;53;37;60;61;18;17;22;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;33;4;10;41;21;42;28;64;27;1;6;55;36;14;48;45;54;12;44;32;39;52;13;51;11;34;20;43;7;56;59;19;26;1;252
1;252;31;62;40;53;37;60;61;18;17;22;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;33;4;10;41;21;42;28;64;27;1;6;55;36;14;48;45;54;12;44;32;39;52;13;51;11;34;20;43;7;56;59;19;26
31;62;40;53;37;60;61;18;17;43;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;33;4;10;41;21;42;28;64;27;1;6;55;36;14;48;45;54;12;44;32;39;52;13;51;11;34;20;22;7;56;59;19;26;1;252
1;252;31;62;40;53;37;60;61;18;17;43;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;33;4;10;41;21;42;28;64;27;1;6;55;36;14;48;45;54;12;44;32;39;52;13;51;11;34;20;22;7;56;59;19;26
31;62;40;53;37;60;61;18;17;43;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;33;4;10;41;21;42;28;64;27;1;6;55;36;19;48;45;54;12;44;32;39;52;13;51;11;34;20;22;7;56;59;14;26;1;252
1;252;31;62;40;53;37;60;61;18;17;43;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;33;4;10;41;21;42;28;64;27;1;6;55;36;19;48;45;54;12;44;32;39;52;13;51;11;34;20;22;7;56;59;14;26
31;62;40;53;37;19;61;18;17;43;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;33;4;10;41;21;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;52;13;51;11;34;20;22;7;56;59;14;26;1;268
1;268;31;62;40;53;37;19;61;18;17;43;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;33;4;10;41;21;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;52;13;51;11;34;20;22;7;56;59;14;26
35;62;40;53;37;19;61;18;17;43;50;8;5;9;16;47;38;49;2;63;46;31;57;24;25;29;15;30;3;58;23;33;4;10;41;21;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;52;13;51;11;34;20;22;7;56;59;14;26;1;268
1;268;35;62;40;53;37;19;61;18;17;43;50;8;5;9;16;47;38;49;2;63;46;31;57;24;25;29;15;30;3;58;23;33;4;10;41;21;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;52;13;51;11;34;20;22;7;56;59;14;26
35;62;21;53;37;19;61;18;17;43;50;8;5;9;16;47;38;49;2;63;46;31;57;24;25;29;15;30;3;58;23;33;4;10;41;40;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;52;13;51;11;34;20;22;7;56;59;14;26;1;268
1;268;35;62;21;53;37;19;61;18;17;43;50;8;5;9;16;47;38;49;2;63;46;31;57;24;25;29;15;30;3;58;23;33;4;10;41;40;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;52;13;51;11;34;20;22;7;56;59;14;26
35;62;21;53;37;52;61;18;17;43;50;8;5;9;16;47;38;49;2;63;46;31;57;24;25;29;15;30;3;58;23;33;4;10;41;40;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;19;13;51;11;34;20;22;7;56;59;14;26;1;252
1;252;35;62;21;53;37;52;61;18;17;43;50;8;5;9;16;47;38;49;2;63;46;31;57;24;25;29;15;30;3;58;23;33;4;10;41;40;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;19;13;51;11;34;20;22;7;56;59;14;26
35;62;21;53;37;52;61;18;17;43;50;8;5;9;16;47;38;15;2;63;46;31;57;24;25;29;49;30;3;58;23;33;4;10;41;40;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;19;13;51;11;34;20;22;7;56;59;14;26;1;260
1;260;35;62;21;53;37;52;61;18;17;43;50;8;5;9;16;47;38;15;2;63;46;31;57;24;25;29;49;30;3;58;23;33;4;10;41;40;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;19;13;51;11;34;20;22;7;56;59;14;26
35;62;21;53;37;52;16;18;17;43;50;8;5;9;61;47;38;15;2;63;46;31;57;24;25;29;49;30;3;58;23;33;4;10;41;40;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;19;13;51;11;34;20;22;7;56;59;14;26;1;268
1;268;35;62;21;53;37;52;16;18;17;43;50;8;5;9;61;47;38;15;2;63;46;31;57;24;25;29;49;30;3;58;23;33;4;10;41;40;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;19;13;51;11;34;20;22;7;56;59;14;26
35;62;21;53;37;52;16;18;17;43;50;8;5;9;61;47;38;15;2;63;46;31;57;24;25;40;49;30;3;58;23;33;4;10;41;29;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;19;13;51;11;34;20;22;7;56;59;14;26;1;268
1;268;35;62;21;53;37;52;16;18;17;43;50;8;5;9;61;47;38;15;2;63;46;31;57;24;25;40;49;30;3;58;23;33;4;10;41;29;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;19;13;51;11;34;20;22;7;56;59;14;26
35;62;21;53;37;52;16;18;17;43;50;8;5;9;61;47;38;15;2;63;46;31;57;24;25;40;49;30;3;58;23;33;22;10;41;29;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;19;13;51;11;34;20;4;7;56;59;14;26;1;270
1;270;35;62;21;53;37;52;16;18;17;43;50;8;5;9;61;47;38;15;2;63;46;31;57;24;25;40;49;30;3;58;23;33;22;10;41;29;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;19;13;51;11;34;20;4;7;56;59;14;26
35;62;21;53;37;52;20;18;17;43;50;8;5;9;61;47;38;15;2;63;46;31;57;24;25;40;49;30;3;58;23;33;22;10;41;29;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;19;13;51;11;34;16;4;7;56;59;14;26;1;270
1;270;35;62;21;53;37;52;20;18;17;43;50;8;5;9;61;47;38;15;2;63;46;31;57;24;25;40;49;30;3;58;23;33;22;10;41;29;42;28;64;27;1;6;55;36;60;48;45;54;12;44;32;39;19;13;51;11;34;16;4;7;56;59;14;26
35;62;21;53;37;52;20;18;17;43;50;8;54;9;61;47;38;15;2;63;46;31;57;24;25;40;49;30;3;58;23;33;22;10;41;29;42;28;64;27;1;6;55;36;60;48;45;5;12;44;32;39;19;13;51;11;34;16;4;7;56;59;14;26;1;270
1;270;35;62;21;53;37;52;20;18;17;43;50;8;54;9;61;47;38;15;2;63;46;31;57;24;25;40;49;30;3;58;23;33;22;10;41;29;42;28;64;27;1;6;55;36;60;48;45;5;12;44;32;39;19;13;51;11;34;16;4;7;56;59;14;26
35;62;21;53;37;52;20;18;17;43;50;8;54;9;61;47;38;15;2;63;46;31;57;24;25;40;49;16;3;58;23;33;22;10;41;29;42;28;64;27;1;6;55;36;60;48;45;5;12;44;32;39;19;13;51;11;34;30;4;7;56;59;14;26;1;274
1;274;35;62;21;53;37;52;20;18;17;43;50;8;54;9;61;47;38;15;2;63;46;31;57;24;25;40;49;16;3;58;23;33;22;10;41;29;42;28;64;27;1;6;55;36;60;48;45;5;12;44;32;39;19;13;51;11;34;30;4;7;56;59;14;26
35;62;21;53;37;52;20;18;17;43;50;8;54;9;61;47;38;15;2;63;46;31;57;24;25;40;49;16;3;58;23;33;22;10;41;29;42;28;64;27;7;6;55;36;60;48;45;5;12;44;32;39;19;13;51;11;34;30;4;1;56;59;14;26;1;274
2;274;35;62;21;53;37;52;20;18;17;43;50;8;54;9;61;47;38;15;2;63;46;31;57;24;25;40;49;16;3;58;23;33;22;10;41;29;42;28;64;27;7;6;55;36;60;48;45;5;12;44;32;39;19;13;51;11;34;30;4;1;56;59;14;26
35;62;21;53;37;52;20;18;17;43;50;48;54;9;61;47;38;15;2;63;46;31;57;24;25;40;49;16;3;58;23;33;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;4;1;56;59;14;26;2;278
2;278;35;62;21;53;37;52;20;18;17;43;50;48;54;9;61;47;38;15;2;63;46;31;57;24;25;40;49;16;3;58;23;33;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;4;1;56;59;14;26
35;62;21;53;37;52;20;18;17;43;50;48;49;9;61;47;38;15;2;63;46;31;57;24;25;40;54;16;3;58;23;33;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;4;1;56;59;14;26;2;266
2;266;35;62;21;53;37;52;20;18;17;43;50;48;49;9;61;47;38;15;2;63;46;31;57;24;25;40;54;16;3;58;23;33;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;4;1;56;59;14;26
35;62;21;53;37;52;20;18;17;43;50;48;49;9;61;47;38;3;2;63;46;31;57;24;25;40;54;16;15;58;23;33;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;4;1;56;59;14;26;2;266
2;266;35;62;21;53;37;52;20;18;17;43;50;48;49;9;61;47;38;3;2;63;46;31;57;24;25;40;54;16;15;58;23;33;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;4;1;56;59;14;26
35;62;21;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;46;31;57;24;25;40;54;16;15;58;23;33;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;4;1;56;59;14;26;2;270
2;270;35;62;21;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;46;31;57;24;25;40;54;16;15;58;23;33;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;4;1;56;59;14;26
35;62;21;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;46;31;57;24;25;40;54;16;15;26;23;33;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;4;1;56;59;14;58;2;266
2;266;35;62;21;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;46;31;57;24;25;40;54;16;15;26;23;33;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;4;1;56;59;14;58
35;62;21;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;46;31;57;24;25;40;54;16;15;26;23;4;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;33;1;56;59;14;58;2;260
2;260;35;62;21;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;46;31;57;24;25;40;54;16;15;26;23;4;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;33;1;56;59;14;58
35;62;25;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;46;31;57;24;21;40;54;16;15;26;23;4;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;33;1;56;59;14;58;2;256
2;256;35;62;25;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;46;31;57;24;21;40;54;16;15;26;23;4;22;10;41;29;42;28;64;27;7;6;55;36;60;8;45;5;12;44;32;39;19;13;51;11;34;30;33;1;56;59;14;58
35;62;25;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;46;31;57;24;21;40;54;16;15;26;23;4;22;10;41;29;42;28;64;27;7;6;55;36;60;8;14;5;12;44;32;39;19;13;51;11;34;30;33;1;56;59;45;58;2;256
2;256;35;62;25;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;46;31;57;24;21;40;54;16;15;26;23;4;22;10;41;29;42;28;64;27;7;6;55;36;60;8;14;5;12;44;32;39;19;13;51;11;34;30;33;1;56;59;45;58
35;62;25;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;46;31;27;24;21;40;54;16;15;26;23;4;22;10;41;29;42;28;64;57;7;6;55;36;60;8;14;5;12;44;32;39;19;13;51;11;34;30;33;1;56;59;45;58;2;256
2;256;35;62;25;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;46;31;27;24;21;40;54;16;15;26;23;4;22;10;41;29;42;28;64;57;7;6;55;36;60;8;14;5;12;44;32;39;19;13;51;11;34;30;33;1;56;59;45;58
35;62;25;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;59;31;27;24;21;40;54;16;15;26;23;4;22;10;41;29;42;28;64;57;7;6;55;36;60;8;14;5;12;44;32;39;19;13;51;11;34;30;33;1;56;46;45;58;2;256
2;256;35;62;25;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;59;31;27;24;21;40;54;16;15;26;23;4;22;10;41;29;42;28;64;57;7;6;55;36;60;8;14;5;12;44;32;39;19;13;51;11;34;30;33;1;56;46;45;58
35;62;25;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;28;31;27;24;21;40;54;16;15;26;23;4;22;10;41;29;42;59;64;57;7;6;55;36;60;8;14;5;12;44;32;39;19;13;51;11;34;30;33;1;56;46;45;58;2;256
2;256;35;62;25;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;28;31;27;24;21;40;54;16;15;26;23;4;22;10;41;29;42;59;64;57;7;6;55;36;60;8;14;5;12;44;32;39;19;13;51;11;34;30;33;1;56;46;45;58
35;62;25;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;28;31;27;24;21;40;54;16;15;26;23;36;22;10;41;29;42;59;64;57;7;6;55;4;60;8;14;5;12;44;32;39;19;13;51;11;34;30;33;1;56;46;45;58;2;266
2;266;35;62;25;53;37;52;20;18;17;43;50;48;2;9;61;47;38;3;49;63;28;31;27;24;21;40;54;16;15;26;23;36;22;10;41;29;42;59;64;57;7;6;55;4;60;8;14;5;12;44;32;39;19;13;51;11;34;30;33;1;56;46;45;58
35;62;25;53;37;52;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;24;21;40;54;16;15;26;23;36;22;10;41;29;42;59;64;57;7;6;55;4;60;8;14;5;12;50;32;39;19;13;51;11;34;30;33;1;56;46;45;58;2;270
2;270;35;62;25;53;37;52;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;24;21;40;54;16;15;26;23;36;22;10;41;29;42;59;64;57;7;6;55;4;60;8;14;5;12;50;32;39;19;13;51;11;34;30;33;1;56;46;45;58
35;62;25;12;37;52;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;24;21;40;54;16;15;26;23;36;22;10;41;29;42;59;64;57;7;6;55;4;60;8;14;5;53;50;32;39;19;13;51;11;34;30;33;1;56;46;45;58;2;270
2;270;35;62;25;12;37;52;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;24;21;40;54;16;15;26;23;36;22;10;41;29;42;59;64;57;7;6;55;4;60;8;14;5;53;50;32;39;19;13;51;11;34;30;33;1;56;46;45;58
35;62;25;6;37;52;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;24;21;40;54;16;15;26;23;36;22;10;41;29;42;59;64;57;7;12;55;4;60;8;14;5;53;50;32;39;19;13;51;11;34;30;33;1;56;46;45;58;2;278
2;278;35;62;25;6;37;52;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;24;21;40;54;16;15;26;23;36;22;10;41;29;42;59;64;57;7;12;55;4;60;8;14;5;53;50;32;39;19;13;51;11;34;30;33;1;56;46;45;58
35;62;25;6;37;52;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;29;21;40;54;16;15;26;23;36;22;10;41;24;42;59;64;57;7;12;55;4;60;8;14;5;53;50;32;39;19;13;51;11;34;30;33;1;56;46;45;58;2;278
2;278;35;62;25;6;37;52;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;29;21;40;54;16;15;26;23;36;22;10;41;24;42;59;64;57;7;12;55;4;60;8;14;5;53;50;32;39;19;13;51;11;34;30;33;1;56;46;45;58
35;62;25;6;37;52;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;29;21;40;54;16;15;26;23;36;22;10;41;24;42;59;64;57;7;12;55;4;51;8;14;5;53;50;32;39;19;13;60;11;34;30;33;1;56;46;45;58;2;278
2;278;35;62;25;6;37;52;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;29;21;40;54;16;15;26;23;36;22;10;41;24;42;59;64;57;7;12;55;4;51;8;14;5;53;50;32;39;19;13;60;11;34;30;33;1;56;46;45;58
35;62;25;6;37;11;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;29;21;40;54;16;15;26;23;36;22;10;41;24;42;59;64;57;7;12;55;4;51;8;14;5;53;50;32;39;19;13;60;52;34;30;33;1;56;46;45;58;2;278
2;278;35;62;25;6;37;11;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;29;21;40;54;16;15;26;23;36;22;10;41;24;42;59;64;57;7;12;55;4;51;8;14;5;53;50;32;39;19;13;60;52;34;30;33;1;56;46;45;58
35;62;25;6;37;11;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;29;21;40;54;16;15;26;23;36;22;10;41;24;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;52;12;30;33;1;56;46;45;58;2;278
2;278;35;62;25;6;37;11;20;18;17;43;44;48;2;9;61;47;38;3;49;63;28;31;27;29;21;40;54;16;15;26;23;36;22;10;41;24;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;52;12;30;33;1;56;46;45;58
35;62;25;6;37;11;20;18;21;43;44;48;2;9;61;47;38;3;49;63;28;31;27;29;17;40;54;16;15;26;23;36;22;10;41;24;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;52;12;30;33;1;56;46;45;58;2;278
3;278;35;62;25;6;37;11;20;18;21;43;44;48;2;9;61;47;38;3;49;63;28;31;27;29;17;40;54;16;15;26;23;36;22;10;41;24;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;52;12;30;33;1;56;46;45;58
35;62;25;6;37;11;20;18;21;43;44;48;2;9;61;47;38;3;49;63;28;45;27;29;17;40;54;16;15;26;23;36;22;10;41;24;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;52;12;30;33;1;56;46;31;58;3;276
3;276;35;62;25;6;37;11;20;18;21;43;44;48;2;9;61;47;38;3;49;63;28;45;27;29;17;40;54;16;15;26;23;36;22;10;41;24;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;52;12;30;33;1;56;46;31;58
35;62;25;6;37;11;20;18;21;43;44;48;23;9;61;47;38;3;49;63;28;45;27;29;17;40;54;16;15;26;2;36;22;10;41;24;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;52;12;30;33;1;56;46;31;58;3;276
3;276;35;62;25;6;37;11;20;18;21;43;44;48;23;9;61;47;38;3;49;63;28;45;27;29;17;40;54;16;15;26;2;36;22;10;41;24;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;52;12;30;33;1;56;46;31;58
35;62;25;6;37;11;20;18;21;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;3;10;41;24;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;52;12;30;33;1;56;46;31;58;3;272
3;272;35;62;25;6;37;11;20;18;21;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;3;10;41;24;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;52;12;30;33;1;56;46;31;58
35;62;25;6;37;11;20;18;21;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;10;41;24;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;3;12;30;33;1;56;46;31;58;3;274
3;274;35;62;25;6;37;11;20;18;21;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;10;41;24;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;3;12;30;33;1;56;46;31;58
35;62;25;6;37;11;20;18;24;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;10;41;21;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;3;12;30;33;1;56;46;31;58;3;274
3;274;35;62;25;6;37;11;20;18;24;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;10;41;21;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;3;12;30;33;1;56;46;31;58
35;62;25;6;37;11;20;18;24;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;1;41;21;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;3;12;30;33;10;56;46;31;58;3;274
3;274;35;62;25;6;37;11;20;18;24;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;1;41;21;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;3;12;30;33;10;56;46;31;58
35;62;25;6;37;11;20;18;24;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;1;41;21;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;3;12;31;33;10;56;46;30;58;3;274
3;274;35;62;25;6;37;11;20;18;24;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;1;41;21;42;59;64;57;7;34;55;4;51;8;14;5;53;50;32;39;19;13;60;3;12;31;33;10;56;46;30;58
35;62;25;6;37;11;20;18;24;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;1;41;21;42;59;64;57;7;34;55;4;51;8;14;5;3;50;32;39;19;13;60;53;12;31;33;10;56;46;30;58;3;274
3;274;35;62;25;6;37;11;20;18;24;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;1;41;21;42;59;64;57;7;34;55;4;51;8;14;5;3;50;32;39;19;13;60;53;12;31;33;10;56;46;30;58
35;62;25;6;37;11;20;55;24;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;1;41;21;42;59;64;57;7;34;18;4;51;8;14;5;3;50;32;39;19;13;60;53;12;31;33;10;56;46;30;58;3;278
3;278;35;62;25;6;37;11;20;55;24;43;44;48;23;9;61;47;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;1;41;21;42;59;64;57;7;34;18;4;51;8;14;5;3;50;32;39;19;13;60;53;12;31;33;10;56;46;30;58
35;47;25;6;37;11;20;55;24;43;44;48;23;9;61;62;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;1;41;21;42;59;64;57;7;34;18;4;51;8;14;5;3;50;32;39;19;13;60;53;12;31;33;10;56;46;30;58;3;278
3;278;35;47;25;6;37;11;20;55;24;43;44;48;23;9;61;62;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;36;52;1;41;21;42;59;64;57;7;34;18;4;51;8;14;5;3;50;32;39;19;13;60;53;12;31;33;10;56;46;30;58
35;47;25;6;37;11;20;55;24;43;44;48;23;9;61;62;38;22;49;63;28;45;27;29;17;40;54;16;15;26;2;57;52;1;41;21;42;59;64;36;7;34;18;4;51;8;14;5;3;50;32;39;19;13;60;53;12;31;33;10;56;46;30;58;3;282
