"X1";"X264";"X6";"X64";"X54";"X1.1";"X50";"X45";"X38";"X52";"X51";"X4";"X19";"X18";"X59";"X2";"X31";"X56";"X63";"X57";"X12";"X17";"X49";"X33";"X30";"X24";"X14";"X27";"X21";"X15";"X53";"X55";"X43";"X29";"X61";"X39";"X13";"X48";"X32";"X58";"X26";"X34";"X62";"X25";"X7";"X36";"X41";"X47";"X9";"X40";"X42";"X11";"X23";"X60";"X5";"X16";"X44";"X28";"X10";"X46";"X35";"X37";"X3";"X8";"X22";"X20"
6;31;54;23;29;40;64;52;51;4;19;18;46;2;38;56;63;57;13;17;49;21;30;24;14;8;33;32;53;55;43;41;61;39;12;47;15;58;26;34;62;25;7;36;9;48;50;45;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20;1;276
1;276;6;31;54;23;29;40;64;52;51;4;19;18;46;2;38;56;63;57;13;17;49;21;30;24;14;8;33;32;53;55;43;41;61;39;12;47;15;58;26;34;62;25;7;36;9;48;50;45;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20
6;31;54;23;26;40;64;52;51;4;19;18;46;2;38;56;63;57;13;17;49;21;30;24;14;8;33;32;53;55;43;41;61;39;12;47;15;58;29;34;62;25;7;36;9;48;50;45;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20;1;276
1;276;6;31;54;23;26;40;64;52;51;4;19;18;46;2;38;56;63;57;13;17;49;21;30;24;14;8;33;32;53;55;43;41;61;39;12;47;15;58;29;34;62;25;7;36;9;48;50;45;42;11;1;60;5;16;44;28;10;59;35;37;3;27;22;20
6;31;54;23;26;40;64;52;51;4;19;18;46;2;38;56;63;57;13;17;49;21;30;24;59;8;33;32;53;55;43;41;61;39;12;47;15;58;29;34;62;25;7;36;9;48;50;45;42;11;1;60;5;16;44;28;10;14;35;37;3;27;22;20;1;276
1;276;6;31;54;23;26;40;64;52;51;4;19;18;46;2;38;56;63;57;13;17;49;21;30;24;59;8;33;32;53;55;43;41;61;39;12;47;15;58;29;34;62;25;7;36;9;48;50;45;42;11;1;60;5;16;44;28;10;14;35;37;3;27;22;20
6;63;54;23;26;40;64;52;51;4;19;18;46;2;38;56;31;57;13;17;49;21;30;24;59;8;33;32;53;55;43;41;61;39;12;47;15;58;29;34;62;25;7;36;9;48;50;45;42;11;1;60;5;16;44;28;10;14;35;37;3;27;22;20;1;276
1;276;6;63;54;23;26;40;64;52;51;4;19;18;46;2;38;56;31;57;13;17;49;21;30;24;59;8;33;32;53;55;43;41;61;39;12;47;15;58;29;34;62;25;7;36;9;48;50;45;42;11;1;60;5;16;44;28;10;14;35;37;3;27;22;20
6;63;54;23;26;40;64;52;51;4;19;18;46;2;38;56;31;57;13;17;49;21;30;24;59;8;33;32;53;55;43;7;61;39;12;47;15;58;29;34;62;25;41;36;9;48;50;45;42;11;1;60;5;16;44;28;10;14;35;37;3;27;22;20;1;272
1;272;6;63;54;23;26;40;64;52;51;4;19;18;46;2;38;56;31;57;13;17;49;21;30;24;59;8;33;32;53;55;43;7;61;39;12;47;15;58;29;34;62;25;41;36;9;48;50;45;42;11;1;60;5;16;44;28;10;14;35;37;3;27;22;20
6;63;54;23;26;40;64;52;51;4;19;18;46;2;38;56;31;57;13;17;49;21;30;24;59;8;33;32;53;55;43;7;61;39;12;47;15;58;45;34;62;25;41;36;9;48;50;29;42;11;1;60;5;16;44;28;10;14;35;37;3;27;22;20;1;260
1;260;6;63;54;23;26;40;64;52;51;4;19;18;46;2;38;56;31;57;13;17;49;21;30;24;59;8;33;32;53;55;43;7;61;39;12;47;15;58;45;34;62;25;41;36;9;48;50;29;42;11;1;60;5;16;44;28;10;14;35;37;3;27;22;20
6;63;54;23;26;40;64;52;51;4;19;18;46;2;38;56;31;57;13;17;49;21;30;24;59;8;33;32;53;55;12;7;61;39;43;47;15;58;45;34;62;25;41;36;9;48;50;29;42;11;1;60;5;16;44;28;10;14;35;37;3;27;22;20;1;256
1;256;6;63;54;23;26;40;64;52;51;4;19;18;46;2;38;56;31;57;13;17;49;21;30;24;59;8;33;32;53;55;12;7;61;39;43;47;15;58;45;34;62;25;41;36;9;48;50;29;42;11;1;60;5;16;44;28;10;14;35;37;3;27;22;20
6;63;54;23;26;40;60;52;51;4;19;18;46;2;38;56;31;57;13;17;49;21;30;24;59;8;33;32;53;55;12;7;61;39;43;47;15;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;5;16;44;28;10;14;35;37;3;27;22;20;1;256
2;256;6;63;54;23;26;40;60;52;51;4;19;18;46;2;38;56;31;57;13;17;49;21;30;24;59;8;33;32;53;55;12;7;61;39;43;47;15;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;5;16;44;28;10;14;35;37;3;27;22;20
6;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;57;46;17;49;21;30;24;59;8;33;32;53;55;12;7;61;39;43;47;15;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;5;16;44;28;10;14;35;37;3;27;22;20;2;248
2;248;6;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;57;46;17;49;21;30;24;59;8;33;32;53;55;12;7;61;39;43;47;15;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;5;16;44;28;10;14;35;37;3;27;22;20
6;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;57;46;17;49;21;30;24;59;8;33;32;53;55;12;7;61;39;43;47;15;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;5;16;44;28;10;22;35;37;3;27;14;20;2;248
2;248;6;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;57;46;17;49;21;30;24;59;8;33;32;53;55;12;7;61;39;43;47;15;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;5;16;44;28;10;22;35;37;3;27;14;20
6;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;57;46;17;49;21;30;24;59;8;33;32;53;55;15;7;61;39;43;47;12;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;5;16;44;28;10;22;35;37;3;27;14;20;2;236
2;236;6;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;57;46;17;49;21;30;24;59;8;33;32;53;55;15;7;61;39;43;47;12;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;5;16;44;28;10;22;35;37;3;27;14;20
6;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;57;46;17;49;21;30;24;59;8;33;32;53;55;15;7;61;39;43;47;12;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;22;16;44;28;10;5;35;37;3;27;14;20;2;236
2;236;6;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;57;46;17;49;21;30;24;59;8;33;32;53;55;15;7;61;39;43;47;12;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;22;16;44;28;10;5;35;37;3;27;14;20
57;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;6;46;17;49;21;30;24;59;8;33;32;53;55;15;7;61;39;43;47;12;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;22;16;44;28;10;5;35;37;3;27;14;20;2;236
2;236;57;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;6;46;17;49;21;30;24;59;8;33;32;53;55;15;7;61;39;43;47;12;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;22;16;44;28;10;5;35;37;3;27;14;20
57;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;6;46;17;49;21;30;24;55;8;33;32;53;59;15;7;61;39;43;47;12;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;22;16;44;28;10;5;35;37;3;27;14;20;2;240
2;240;57;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;6;46;17;49;21;30;24;55;8;33;32;53;59;15;7;61;39;43;47;12;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;22;16;44;28;10;5;35;37;3;27;14;20
57;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;6;46;17;49;21;30;24;55;8;33;32;53;59;15;7;61;39;43;47;12;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;22;28;44;16;10;5;35;37;3;27;14;20;2;240
2;240;57;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;6;46;17;49;21;30;24;55;8;33;32;53;59;15;7;61;39;43;47;12;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;22;28;44;16;10;5;35;37;3;27;14;20
57;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;6;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;22;28;44;16;10;5;35;37;3;27;14;20;2;238
2;238;57;63;54;23;26;40;60;52;51;4;19;18;13;2;38;56;31;6;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;36;9;48;50;29;42;11;1;64;22;28;44;16;10;5;35;37;3;27;14;20
57;63;54;23;26;40;60;52;36;4;19;18;13;2;38;56;31;6;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;48;50;29;42;11;1;64;22;28;44;16;10;5;35;37;3;27;14;20;2;258
2;258;57;63;54;23;26;40;60;52;36;4;19;18;13;2;38;56;31;6;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;48;50;29;42;11;1;64;22;28;44;16;10;5;35;37;3;27;14;20
57;63;54;23;26;40;60;52;36;4;19;18;13;2;38;56;31;6;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;48;50;29;42;11;35;64;22;28;44;16;10;5;1;37;3;27;14;20;2;258
2;258;57;63;54;23;26;40;60;52;36;4;19;18;13;2;38;56;31;6;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;48;50;29;42;11;35;64;22;28;44;16;10;5;1;37;3;27;14;20
57;63;54;23;26;40;60;52;36;4;19;18;13;2;38;56;31;6;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;11;50;29;42;48;35;64;22;28;44;16;10;5;1;37;3;27;14;20;2;262
2;262;57;63;54;23;26;40;60;52;36;4;19;18;13;2;38;56;31;6;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;11;50;29;42;48;35;64;22;28;44;16;10;5;1;37;3;27;14;20
57;63;54;29;26;40;60;52;36;4;19;18;13;2;38;56;31;6;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;11;50;23;42;48;35;64;22;28;44;16;10;5;1;37;3;27;14;20;2;266
2;266;57;63;54;29;26;40;60;52;36;4;19;18;13;2;38;56;31;6;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;11;50;23;42;48;35;64;22;28;44;16;10;5;1;37;3;27;14;20
57;63;54;29;26;40;60;52;36;4;19;18;13;6;38;56;31;2;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;11;50;23;42;48;35;64;22;28;44;16;10;5;1;37;3;27;14;20;2;266
2;266;57;63;54;29;26;40;60;52;36;4;19;18;13;6;38;56;31;2;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;11;50;23;42;48;35;64;22;28;44;16;10;5;1;37;3;27;14;20
57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;2;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;11;50;23;42;48;40;64;22;28;44;16;10;5;1;37;3;27;14;20;2;266
2;266;57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;2;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;11;50;23;42;48;40;64;22;28;44;16;10;5;1;37;3;27;14;20
57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;11;50;23;42;48;40;64;22;28;44;16;10;2;1;37;3;27;14;20;2;266
2;266;57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;9;11;50;23;42;48;40;64;22;28;44;16;10;2;1;37;3;27;14;20
57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;14;11;50;23;42;48;40;64;22;28;44;16;10;2;1;37;3;27;9;20;2;266
2;266;57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;49;21;43;24;55;8;33;32;53;59;15;7;61;39;30;47;12;58;45;34;62;25;41;51;14;11;50;23;42;48;40;64;22;28;44;16;10;2;1;37;3;27;9;20
57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;49;21;43;24;55;8;33;32;53;59;62;7;61;39;30;47;12;58;45;34;15;25;41;51;14;11;50;23;42;48;40;64;22;28;44;16;10;2;1;37;3;27;9;20;2;266
2;266;57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;49;21;43;24;55;8;33;32;53;59;62;7;61;39;30;47;12;58;45;34;15;25;41;51;14;11;50;23;42;48;40;64;22;28;44;16;10;2;1;37;3;27;9;20
57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;49;21;43;24;55;8;33;32;53;61;62;7;59;39;30;47;12;58;45;34;15;25;41;51;14;11;50;23;42;48;40;64;22;28;44;16;10;2;1;37;3;27;9;20;2;266
2;266;57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;49;21;43;24;55;8;33;32;53;61;62;7;59;39;30;47;12;58;45;34;15;25;41;51;14;11;50;23;42;48;40;64;22;28;44;16;10;2;1;37;3;27;9;20
57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;21;43;24;55;8;33;32;53;61;62;7;59;39;30;47;49;58;45;34;15;25;41;51;14;11;50;23;42;48;40;64;22;28;44;16;10;2;1;37;3;27;9;20;2;270
2;270;57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;21;43;24;55;8;33;32;53;61;62;7;59;39;30;47;49;58;45;34;15;25;41;51;14;11;50;23;42;48;40;64;22;28;44;16;10;2;1;37;3;27;9;20
57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;21;43;24;55;8;33;32;53;61;62;7;59;39;30;47;49;58;45;14;15;25;41;51;34;11;50;23;42;48;40;64;22;28;44;16;10;2;1;37;3;27;9;20;2;270
3;270;57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;21;43;24;55;8;33;32;53;61;62;7;59;39;30;47;49;58;45;14;15;25;41;51;34;11;50;23;42;48;40;64;22;28;44;16;10;2;1;37;3;27;9;20
57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;21;43;24;55;8;33;32;53;61;62;7;59;39;44;47;49;58;45;14;15;25;41;51;34;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;27;9;20;3;266
3;266;57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;21;43;24;55;8;33;32;53;61;62;7;59;39;44;47;49;58;45;14;15;25;41;51;34;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;27;9;20
57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;21;43;24;55;8;33;32;53;61;62;7;15;39;44;47;49;58;45;14;59;25;41;51;34;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;27;9;20;3;268
3;268;57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;21;43;24;55;8;33;32;53;61;62;7;15;39;44;47;49;58;45;14;59;25;41;51;34;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;27;9;20
57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;21;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;45;14;59;25;41;51;34;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20;3;268
3;268;57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;21;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;45;14;59;25;41;51;34;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20
57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;45;14;59;21;41;51;34;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20;3;272
3;272;57;63;54;29;26;35;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;45;14;59;21;41;51;34;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20
57;63;54;29;26;34;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;45;14;59;21;41;51;35;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20;3;276
3;276;57;63;54;29;26;34;60;52;36;4;19;18;13;6;38;56;31;5;46;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;45;14;59;21;41;51;35;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20
57;63;54;29;26;34;60;45;36;4;19;18;13;6;38;56;31;5;46;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;52;14;59;21;41;51;35;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20;3;290
3;290;57;63;54;29;26;34;60;45;36;4;19;18;13;6;38;56;31;5;46;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;52;14;59;21;41;51;35;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20
57;63;54;29;26;34;60;45;36;59;19;18;13;6;38;56;31;5;46;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;52;14;4;21;41;51;35;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20;3;286
3;286;57;63;54;29;26;34;60;45;36;59;19;18;13;6;38;56;31;5;46;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;52;14;4;21;41;51;35;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20
57;63;54;29;26;34;60;45;36;59;19;46;13;6;38;56;31;5;18;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;52;14;4;21;41;51;35;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20;3;282
3;282;57;63;54;29;26;34;60;45;36;59;19;46;13;6;38;56;31;5;18;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;52;14;4;21;41;51;35;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20
41;63;54;29;26;34;60;45;36;59;19;46;13;6;38;56;31;5;18;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;52;14;4;21;57;51;35;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20;3;282
3;282;41;63;54;29;26;34;60;45;36;59;19;46;13;6;38;56;31;5;18;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;52;14;4;21;57;51;35;11;50;23;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20
41;63;54;29;26;34;60;45;36;59;19;46;13;6;38;56;23;5;18;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;52;14;4;21;57;51;35;11;50;31;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20;3;274
3;274;41;63;54;29;26;34;60;45;36;59;19;46;13;6;38;56;23;5;18;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;52;14;4;21;57;51;35;11;50;31;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20
41;63;54;29;26;34;60;45;51;59;19;46;13;6;38;56;23;5;18;17;12;25;43;24;55;8;33;32;27;61;62;7;15;39;44;47;49;58;52;14;4;21;57;36;35;11;50;31;42;48;40;64;22;28;30;16;10;2;1;37;3;53;9;20;3;278
