"X1";"X6049645";"X14";"X5";"X22";"X12";"X6";"X24";"X18";"X3";"X13";"X21";"X15";"X20";"X8";"X17";"X10";"X19";"X7";"X25";"X23";"X9";"X16";"X11";"X26";"X4";"X2";"X1.1"
2;5840296;21;5;16;10;6;24;7;3;2;1;26;18;19;22;13;14;12;9;8;4;15;25;11;17;23;20
23;5;16;10;6;24;7;3;2;1;26;18;19;22;13;14;12;9;8;4;15;25;11;17;21;20;2;5881241
2;5881241;23;5;16;10;6;24;7;3;2;1;26;18;19;22;13;14;12;9;8;4;15;25;11;17;21;20
23;5;16;10;6;24;7;3;2;1;17;18;19;22;13;14;12;9;8;4;15;25;11;26;21;20;2;5887897
2;5887897;23;5;16;10;6;24;7;3;2;1;17;18;19;22;13;14;12;9;8;4;15;25;11;26;21;20
23;17;16;10;6;24;7;3;2;1;5;18;19;22;13;14;12;9;8;4;15;25;11;26;21;20;2;5741906
2;5741906;23;17;16;10;6;24;7;3;2;1;5;18;19;22;13;14;12;9;8;4;15;25;11;26;21;20
5;17;16;10;6;24;7;3;2;1;23;18;19;22;13;14;12;9;8;4;15;25;11;26;21;20;2;5848450
2;5848450;5;17;16;10;6;24;7;3;2;1;23;18;19;22;13;14;12;9;8;4;15;25;11;26;21;20
5;17;16;10;6;24;7;3;2;21;23;18;19;22;13;14;12;9;8;4;15;25;11;26;1;20;2;5863210
2;5863210;5;17;16;10;6;24;7;3;2;21;23;18;19;22;13;14;12;9;8;4;15;25;11;26;1;20
5;21;16;10;6;24;7;3;2;17;23;18;19;22;13;14;12;9;8;4;15;25;11;26;1;20;2;5851876
2;5851876;5;21;16;10;6;24;7;3;2;17;23;18;19;22;13;14;12;9;8;4;15;25;11;26;1;20
5;21;16;12;6;24;7;3;2;17;23;18;19;22;13;14;10;9;8;4;15;25;11;26;1;20;2;5865611
2;5865611;5;21;16;12;6;24;7;3;2;17;23;18;19;22;13;14;10;9;8;4;15;25;11;26;1;20
5;21;16;12;6;24;7;3;2;17;23;18;19;22;13;14;10;9;8;4;25;15;11;26;1;20;2;5862314
2;5862314;5;21;16;12;6;24;7;3;2;17;23;18;19;22;13;14;10;9;8;4;25;15;11;26;1;20
5;21;16;24;6;12;7;3;2;17;23;18;19;22;13;14;10;9;8;4;25;15;11;26;1;20;2;5884738
2;5884738;5;21;16;24;6;12;7;3;2;17;23;18;19;22;13;14;10;9;8;4;25;15;11;26;1;20
5;21;16;24;6;12;7;3;18;17;23;2;19;22;13;14;10;9;8;4;25;15;11;26;1;20;2;5899369
3;5899369;5;21;16;24;6;12;7;3;18;17;23;2;19;22;13;14;10;9;8;4;25;15;11;26;1;20
3;21;16;24;6;12;7;5;18;17;23;2;19;22;13;14;10;9;8;4;25;15;11;26;1;20;3;6053146
3;6053146;3;21;16;24;6;12;7;5;18;17;23;2;19;22;13;14;10;9;8;4;25;15;11;26;1;20
3;21;16;24;6;20;7;5;18;17;23;2;19;22;13;14;10;9;8;4;25;15;11;26;1;12;3;6034635
3;6034635;3;21;16;24;6;20;7;5;18;17;23;2;19;22;13;14;10;9;8;4;25;15;11;26;1;12
6;21;16;24;3;20;7;5;18;17;23;2;19;22;13;14;10;9;8;4;25;15;11;26;1;12;3;6036787
3;6036787;6;21;16;24;3;20;7;5;18;17;23;2;19;22;13;14;10;9;8;4;25;15;11;26;1;12
6;21;16;24;3;20;7;5;18;17;23;2;19;22;9;14;10;13;8;4;25;15;11;26;1;12;3;5984520
3;5984520;6;21;16;24;3;20;7;5;18;17;23;2;19;22;9;14;10;13;8;4;25;15;11;26;1;12
6;21;16;24;3;20;7;4;18;17;23;2;19;22;9;14;10;13;8;5;25;15;11;26;1;12;3;5908965
3;5908965;6;21;16;24;3;20;7;4;18;17;23;2;19;22;9;14;10;13;8;5;25;15;11;26;1;12
6;21;16;24;3;20;7;4;18;17;23;2;19;22;8;14;10;13;9;5;25;15;11;26;1;12;3;5923444
3;5923444;6;21;16;24;3;20;7;4;18;17;23;2;19;22;8;14;10;13;9;5;25;15;11;26;1;12
6;21;16;24;14;20;7;4;18;17;23;2;19;22;8;3;10;13;9;5;25;15;11;26;1;12;3;5892708
3;5892708;6;21;16;24;14;20;7;4;18;17;23;2;19;22;8;3;10;13;9;5;25;15;11;26;1;12
6;21;16;24;14;20;7;4;18;17;23;2;19;22;11;3;10;13;9;5;25;15;8;26;1;12;3;5897428
3;5897428;6;21;16;24;14;20;7;4;18;17;23;2;19;22;11;3;10;13;9;5;25;15;8;26;1;12
6;21;16;3;14;20;7;4;18;17;23;2;19;22;11;24;10;13;9;5;25;15;8;26;1;12;3;6003814
3;6003814;6;21;16;3;14;20;7;4;18;17;23;2;19;22;11;24;10;13;9;5;25;15;8;26;1;12
6;21;16;3;14;23;7;4;18;17;20;2;19;22;11;24;10;13;9;5;25;15;8;26;1;12;3;5992840
3;5992840;6;21;16;3;14;23;7;4;18;17;20;2;19;22;11;24;10;13;9;5;25;15;8;26;1;12
6;21;16;3;14;23;22;4;18;17;20;2;19;7;11;24;10;13;9;5;25;15;8;26;1;12;3;5982260
3;5982260;6;21;16;3;14;23;22;4;18;17;20;2;19;7;11;24;10;13;9;5;25;15;8;26;1;12
6;21;16;3;14;23;22;13;18;17;20;2;19;7;11;24;10;4;9;5;25;15;8;26;1;12;3;5982719
3;5982719;6;21;16;3;14;23;22;13;18;17;20;2;19;7;11;24;10;4;9;5;25;15;8;26;1;12
6;21;16;3;14;23;22;13;18;17;20;11;19;7;2;24;10;4;9;5;25;15;8;26;1;12;3;5978332
3;5978332;6;21;16;3;14;23;22;13;18;17;20;11;19;7;2;24;10;4;9;5;25;15;8;26;1;12
6;15;16;3;14;23;22;13;18;17;20;11;19;7;2;24;10;4;9;5;25;21;8;26;1;12;3;5983710
3;5983710;6;15;16;3;14;23;22;13;18;17;20;11;19;7;2;24;10;4;9;5;25;21;8;26;1;12
6;15;16;3;14;23;22;10;18;17;20;11;19;7;2;24;13;4;9;5;25;21;8;26;1;12;3;5977781
3;5977781;6;15;16;3;14;23;22;10;18;17;20;11;19;7;2;24;13;4;9;5;25;21;8;26;1;12
6;15;16;3;22;23;14;10;18;17;20;11;19;7;2;24;13;4;9;5;25;21;8;26;1;12;3;5937745
3;5937745;6;15;16;3;22;23;14;10;18;17;20;11;19;7;2;24;13;4;9;5;25;21;8;26;1;12
6;15;16;3;22;23;14;26;18;17;20;11;19;7;2;24;13;4;9;5;25;21;8;10;1;12;3;5914951
3;5914951;6;15;16;3;22;23;14;26;18;17;20;11;19;7;2;24;13;4;9;5;25;21;8;10;1;12
6;15;16;3;22;23;14;26;18;17;20;11;19;7;2;13;24;4;9;5;25;21;8;10;1;12;3;5920892
3;5920892;6;15;16;3;22;23;14;26;18;17;20;11;19;7;2;13;24;4;9;5;25;21;8;10;1;12
6;15;16;3;22;23;17;26;18;14;20;11;19;7;2;13;24;4;9;5;25;21;8;10;1;12;3;5892157
3;5892157;6;15;16;3;22;23;17;26;18;14;20;11;19;7;2;13;24;4;9;5;25;21;8;10;1;12
6;15;16;3;25;23;17;26;18;14;20;11;19;7;2;13;24;4;9;5;22;21;8;10;1;12;3;5902598
4;5902598;6;15;16;3;25;23;17;26;18;14;20;11;19;7;2;13;24;4;9;5;22;21;8;10;1;12
6;15;16;3;11;23;17;26;18;14;20;25;19;7;2;13;24;4;9;5;22;21;8;10;1;12;4;5909374
4;5909374;6;15;16;3;11;23;17;26;18;14;20;25;19;7;2;13;24;4;9;5;22;21;8;10;1;12
6;15;16;3;11;4;17;26;18;14;20;25;19;7;2;13;24;23;9;5;22;21;8;10;1;12;4;5944295
4;5944295;6;15;16;3;11;4;17;26;18;14;20;25;19;7;2;13;24;23;9;5;22;21;8;10;1;12
6;15;16;3;11;4;17;26;18;14;20;25;19;23;2;13;24;7;9;5;22;21;8;10;1;12;4;5920924
4;5920924;6;15;16;3;11;4;17;26;18;14;20;25;19;23;2;13;24;7;9;5;22;21;8;10;1;12
6;15;16;10;11;4;17;26;18;14;20;25;19;23;2;13;24;7;9;5;22;21;8;3;1;12;4;5877655
4;5877655;6;15;16;10;11;4;17;26;18;14;20;25;19;23;2;13;24;7;9;5;22;21;8;3;1;12
6;15;16;10;11;4;17;26;18;14;20;25;19;23;1;13;24;7;9;5;22;21;8;3;2;12;4;5827109
4;5827109;6;15;16;10;11;4;17;26;18;14;20;25;19;23;1;13;24;7;9;5;22;21;8;3;2;12
6;15;16;10;11;4;17;26;18;14;20;25;19;23;1;7;24;13;9;5;22;21;8;3;2;12;4;5843630
4;5843630;6;15;16;10;11;4;17;26;18;14;20;25;19;23;1;7;24;13;9;5;22;21;8;3;2;12
6;20;16;10;11;4;17;26;18;14;15;25;19;23;1;7;24;13;9;5;22;21;8;3;2;12;4;5851420
4;5851420;6;20;16;10;11;4;17;26;18;14;15;25;19;23;1;7;24;13;9;5;22;21;8;3;2;12
6;20;16;10;26;4;17;11;18;14;15;25;19;23;1;7;24;13;9;5;22;21;8;3;2;12;4;5856213
4;5856213;6;20;16;10;26;4;17;11;18;14;15;25;19;23;1;7;24;13;9;5;22;21;8;3;2;12
6;20;16;10;26;4;17;3;18;14;15;25;19;23;1;7;24;13;9;5;22;21;8;11;2;12;4;5801703
4;5801703;6;20;16;10;26;4;17;3;18;14;15;25;19;23;1;7;24;13;9;5;22;21;8;11;2;12
6;12;16;10;26;4;17;3;18;14;15;25;19;23;1;7;24;13;9;5;22;21;8;11;2;20;4;5785029
4;5785029;6;12;16;10;26;4;17;3;18;14;15;25;19;23;1;7;24;13;9;5;22;21;8;11;2;20
6;12;16;10;26;4;17;9;18;14;15;25;19;23;1;7;24;13;3;5;22;21;8;11;2;20;4;5815526
4;5815526;6;12;16;10;26;4;17;9;18;14;15;25;19;23;1;7;24;13;3;5;22;21;8;11;2;20
6;12;16;10;24;4;17;9;18;14;15;25;19;23;1;7;26;13;3;5;22;21;8;11;2;20;4;5800119
4;5800119;6;12;16;10;24;4;17;9;18;14;15;25;19;23;1;7;26;13;3;5;22;21;8;11;2;20
6;12;16;10;24;4;17;9;18;14;15;25;19;23;1;7;5;13;3;26;22;21;8;11;2;20;4;5967319
4;5967319;6;12;16;10;24;4;17;9;18;14;15;25;19;23;1;7;5;13;3;26;22;21;8;11;2;20
6;12;16;19;24;4;17;9;18;14;15;25;10;23;1;7;5;13;3;26;22;21;8;11;2;20;4;5985866
4;5985866;6;12;16;19;24;4;17;9;18;14;15;25;10;23;1;7;5;13;3;26;22;21;8;11;2;20
7;12;16;19;24;4;17;9;18;14;15;25;10;23;1;6;5;13;3;26;22;21;8;11;2;20;4;5944996
4;5944996;7;12;16;19;24;4;17;9;18;14;15;25;10;23;1;6;5;13;3;26;22;21;8;11;2;20
7;12;16;19;24;8;17;9;18;14;15;25;10;23;1;6;5;13;3;26;22;21;4;11;2;20;4;5942372
4;5942372;7;12;16;19;24;8;17;9;18;14;15;25;10;23;1;6;5;13;3;26;22;21;4;11;2;20
7;12;16;19;24;8;17;9;18;14;10;25;15;23;1;6;5;13;3;26;22;21;4;11;2;20;4;5944338
4;5944338;7;12;16;19;24;8;17;9;18;14;10;25;15;23;1;6;5;13;3;26;22;21;4;11;2;20
7;12;4;19;24;8;17;9;18;14;10;25;15;23;1;6;5;13;3;26;22;21;16;11;2;20;4;5948400
4;5948400;7;12;4;19;24;8;17;9;18;14;10;25;15;23;1;6;5;13;3;26;22;21;16;11;2;20
7;12;4;19;24;8;17;9;18;14;10;25;15;23;1;6;5;2;3;26;22;21;16;11;13;20;4;5944253
4;5944253;7;12;4;19;24;8;17;9;18;14;10;25;15;23;1;6;5;2;3;26;22;21;16;11;13;20
7;12;4;19;24;8;17;9;20;14;10;25;15;23;1;6;5;2;3;26;22;21;16;11;13;18;4;5946976
5;5946976;7;12;4;19;24;8;17;9;20;14;10;25;15;23;1;6;5;2;3;26;22;21;16;11;13;18
7;12;4;19;24;8;17;9;20;14;10;25;15;23;1;6;5;2;3;26;11;21;16;22;13;18;5;5948538
5;5948538;7;12;4;19;24;8;17;9;20;14;10;25;15;23;1;6;5;2;3;26;11;21;16;22;13;18
7;12;4;19;24;8;17;9;20;14;10;25;1;23;15;6;5;2;3;26;11;21;16;22;13;18;5;5949115
5;5949115;7;12;4;19;24;8;17;9;20;14;10;25;1;23;15;6;5;2;3;26;11;21;16;22;13;18
7;4;12;19;24;8;17;9;20;14;10;25;1;23;15;6;5;2;3;26;11;21;16;22;13;18;5;5944688
5;5944688;7;4;12;19;24;8;17;9;20;14;10;25;1;23;15;6;5;2;3;26;11;21;16;22;13;18
7;4;12;19;24;8;17;9;20;14;10;25;1;23;5;6;15;2;3;26;11;21;16;22;13;18;5;5853629
5;5853629;7;4;12;19;24;8;17;9;20;14;10;25;1;23;5;6;15;2;3;26;11;21;16;22;13;18
7;4;12;19;24;8;17;9;20;14;10;25;1;23;5;6;15;2;3;26;11;21;16;13;22;18;5;5865674
5;5865674;7;4;12;19;24;8;17;9;20;14;10;25;1;23;5;6;15;2;3;26;11;21;16;13;22;18
7;4;12;19;25;8;17;9;20;14;10;24;1;23;5;6;15;2;3;26;11;21;16;13;22;18;5;5866124
5;5866124;7;4;12;19;25;8;17;9;20;14;10;24;1;23;5;6;15;2;3;26;11;21;16;13;22;18
7;4;12;20;25;8;17;9;19;14;10;24;1;23;5;6;15;2;3;26;11;21;16;13;22;18;5;5888705
5;5888705;7;4;12;20;25;8;17;9;19;14;10;24;1;23;5;6;15;2;3;26;11;21;16;13;22;18
7;4;12;20;25;8;17;9;19;14;10;24;1;23;5;3;15;2;6;26;11;21;16;13;22;18;5;5892597
5;5892597;7;4;12;20;25;8;17;9;19;14;10;24;1;23;5;3;15;2;6;26;11;21;16;13;22;18
16;4;12;20;25;8;17;9;19;14;10;24;1;23;5;3;15;2;6;26;11;21;7;13;22;18;5;5899795
5;5899795;16;4;12;20;25;8;17;9;19;14;10;24;1;23;5;3;15;2;6;26;11;21;7;13;22;18
16;4;12;20;19;8;17;9;25;14;10;24;1;23;5;3;15;2;6;26;11;21;7;13;22;18;5;5935924
5;5935924;16;4;12;20;19;8;17;9;25;14;10;24;1;23;5;3;15;2;6;26;11;21;7;13;22;18
16;8;12;20;19;4;17;9;25;14;10;24;1;23;5;3;15;2;6;26;11;21;7;13;22;18;5;5915212
5;5915212;16;8;12;20;19;4;17;9;25;14;10;24;1;23;5;3;15;2;6;26;11;21;7;13;22;18
16;8;12;20;19;4;17;9;25;14;10;24;1;23;5;3;15;2;6;26;11;18;7;13;22;21;5;6010463
5;6010463;16;8;12;20;19;4;17;9;25;14;10;24;1;23;5;3;15;2;6;26;11;18;7;13;22;21
16;8;12;20;19;4;17;9;25;13;10;24;1;23;5;3;15;2;6;26;11;18;7;14;22;21;5;6109157
5;6109157;16;8;12;20;19;4;17;9;25;13;10;24;1;23;5;3;15;2;6;26;11;18;7;14;22;21
16;8;12;20;19;4;17;9;25;13;10;15;1;23;5;3;24;2;6;26;11;18;7;14;22;21;5;6140233
5;6140233;16;8;12;20;19;4;17;9;25;13;10;15;1;23;5;3;24;2;6;26;11;18;7;14;22;21
16;8;12;20;19;4;17;9;25;13;5;15;1;23;10;3;24;2;6;26;11;18;7;14;22;21;5;5982622
5;5982622;16;8;12;20;19;4;17;9;25;13;5;15;1;23;10;3;24;2;6;26;11;18;7;14;22;21
16;8;12;20;19;4;17;9;25;13;5;15;1;23;18;3;24;2;6;26;11;10;7;14;22;21;5;5925795
5;5925795;16;8;12;20;19;4;17;9;25;13;5;15;1;23;18;3;24;2;6;26;11;10;7;14;22;21
16;8;12;20;19;4;17;9;25;13;5;15;1;23;18;3;2;24;6;26;11;10;7;14;22;21;5;5925868
5;5925868;16;8;12;20;19;4;17;9;25;13;5;15;1;23;18;3;2;24;6;26;11;10;7;14;22;21
16;8;12;20;19;4;17;9;25;13;21;15;1;23;18;3;2;24;6;26;11;10;7;14;22;5;5;5983564
5;5983564;16;8;12;20;19;4;17;9;25;13;21;15;1;23;18;3;2;24;6;26;11;10;7;14;22;5
16;8;12;21;19;4;17;9;25;13;20;15;1;23;18;3;2;24;6;26;11;10;7;14;22;5;5;5959017
5;5959017;16;8;12;21;19;4;17;9;25;13;20;15;1;23;18;3;2;24;6;26;11;10;7;14;22;5
16;8;12;21;19;4;17;9;25;13;20;15;1;23;18;3;2;26;6;24;11;10;7;14;22;5;5;5947698
6;5947698;16;8;12;21;19;4;17;9;25;13;20;15;1;23;18;3;2;26;6;24;11;10;7;14;22;5
16;8;12;21;19;4;17;9;25;13;2;15;1;23;18;3;20;26;6;24;11;10;7;14;22;5;6;5964370
6;5964370;16;8;12;21;19;4;17;9;25;13;2;15;1;23;18;3;20;26;6;24;11;10;7;14;22;5
21;8;12;16;19;4;17;9;25;13;2;15;1;23;18;3;20;26;6;24;11;10;7;14;22;5;6;5939122
6;5939122;21;8;12;16;19;4;17;9;25;13;2;15;1;23;18;3;20;26;6;24;11;10;7;14;22;5
21;8;12;16;19;4;17;9;25;13;2;15;1;23;18;3;20;26;10;24;11;6;7;14;22;5;6;5960447
6;5960447;21;8;12;16;19;4;17;9;25;13;2;15;1;23;18;3;20;26;10;24;11;6;7;14;22;5
21;17;12;16;19;4;8;9;25;13;2;15;1;23;18;3;20;26;10;24;11;6;7;14;22;5;6;6041151
6;6041151;21;17;12;16;19;4;8;9;25;13;2;15;1;23;18;3;20;26;10;24;11;6;7;14;22;5
21;17;12;16;19;4;8;9;25;13;2;15;1;23;18;3;20;26;10;24;5;6;7;14;22;11;6;6092569
6;6092569;21;17;12;16;19;4;8;9;25;13;2;15;1;23;18;3;20;26;10;24;5;6;7;14;22;11
15;17;12;16;19;4;8;9;25;13;2;21;1;23;18;3;20;26;10;24;5;6;7;14;22;11;6;6084813
6;6084813;15;17;12;16;19;4;8;9;25;13;2;21;1;23;18;3;20;26;10;24;5;6;7;14;22;11
15;17;12;16;19;4;8;9;25;13;24;21;1;23;18;3;20;26;10;2;5;6;7;14;22;11;6;6107731
6;6107731;15;17;12;16;19;4;8;9;25;13;24;21;1;23;18;3;20;26;10;2;5;6;7;14;22;11
15;17;12;16;19;4;8;6;25;13;24;21;1;23;18;3;20;26;10;2;5;9;7;14;22;11;6;6258545
6;6258545;15;17;12;16;19;4;8;6;25;13;24;21;1;23;18;3;20;26;10;2;5;9;7;14;22;11
15;17;25;16;19;4;8;6;12;13;24;21;1;23;18;3;20;26;10;2;5;9;7;14;22;11;6;6168457
6;6168457;15;17;25;16;19;4;8;6;12;13;24;21;1;23;18;3;20;26;10;2;5;9;7;14;22;11
15;17;10;16;19;4;8;6;12;13;24;21;1;23;18;3;20;26;25;2;5;9;7;14;22;11;6;6175058
6;6175058;15;17;10;16;19;4;8;6;12;13;24;21;1;23;18;3;20;26;25;2;5;9;7;14;22;11
21;17;10;16;19;4;8;6;12;13;24;15;1;23;18;3;20;26;25;2;5;9;7;14;22;11;6;6181711
6;6181711;21;17;10;16;19;4;8;6;12;13;24;15;1;23;18;3;20;26;25;2;5;9;7;14;22;11
21;17;10;16;19;6;8;4;12;13;24;15;1;23;18;3;20;26;25;2;5;9;7;14;22;11;6;6186014
6;6186014;21;17;10;16;19;6;8;4;12;13;24;15;1;23;18;3;20;26;25;2;5;9;7;14;22;11
21;17;10;16;19;6;8;4;12;13;24;15;26;23;18;3;20;1;25;2;5;9;7;14;22;11;6;6173693
6;6173693;21;17;10;16;19;6;8;4;12;13;24;15;26;23;18;3;20;1;25;2;5;9;7;14;22;11
21;17;10;16;19;6;8;4;12;13;24;15;26;20;18;3;23;1;25;2;5;9;7;14;22;11;6;6215385
6;6215385;21;17;10;16;19;6;8;4;12;13;24;15;26;20;18;3;23;1;25;2;5;9;7;14;22;11
21;17;10;16;19;6;8;5;12;13;24;15;26;20;18;3;23;1;25;2;4;9;7;14;22;11;6;5892804
6;5892804;21;17;10;16;19;6;8;5;12;13;24;15;26;20;18;3;23;1;25;2;4;9;7;14;22;11
21;22;10;16;19;6;8;5;12;13;24;15;26;20;18;3;23;1;25;2;4;9;7;14;17;11;6;5899217
6;5899217;21;22;10;16;19;6;8;5;12;13;24;15;26;20;18;3;23;1;25;2;4;9;7;14;17;11
21;22;10;14;19;6;8;5;12;13;24;15;26;20;18;3;23;1;25;2;4;9;7;16;17;11;6;5885839
6;5885839;21;22;10;14;19;6;8;5;12;13;24;15;26;20;18;3;23;1;25;2;4;9;7;16;17;11
21;22;10;14;19;3;8;5;12;13;24;15;26;20;18;6;23;1;25;2;4;9;7;16;17;11;6;5888198
6;5888198;21;22;10;14;19;3;8;5;12;13;24;15;26;20;18;6;23;1;25;2;4;9;7;16;17;11
