"X1";"X302";"X14";"X18";"X37";"X53";"X30";"X50";"X9";"X24";"X29";"X58";"X49";"X5";"X57";"X7";"X12";"X62";"X8";"X41";"X43";"X13";"X34";"X44";"X35";"X48";"X32";"X39";"X21";"X4";"X20";"X52";"X40";"X11";"X19";"X2";"X38";"X61";"X42";"X6";"X60";"X51";"X17";"X59";"X31";"X26";"X45";"X1.1";"X3";"X47";"X15";"X27";"X22";"X56";"X63";"X46";"X33";"X23";"X28";"X36";"X64";"X55";"X16";"X54";"X10";"X25"
14;18;37;47;55;50;9;24;29;58;49;5;16;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;26;45;51;3;53;15;27;21;56;63;46;33;23;28;36;64;30;22;54;10;25;1;288
1;288;14;18;37;47;55;50;9;24;29;58;49;5;16;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;26;45;51;3;53;15;27;21;56;63;46;33;23;28;36;64;30;22;54;10;25
14;18;37;47;55;50;9;24;29;58;49;5;16;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;26;54;51;3;53;15;27;21;56;63;46;33;23;28;36;64;30;22;45;10;25;1;288
1;288;14;18;37;47;55;50;9;24;29;58;49;5;16;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;26;54;51;3;53;15;27;21;56;63;46;33;23;28;36;64;30;22;45;10;25
14;18;37;47;55;50;9;24;29;58;49;5;26;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;63;46;33;23;28;36;64;30;22;45;10;25;1;292
1;292;14;18;37;47;55;50;9;24;29;58;49;5;26;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;63;46;33;23;28;36;64;30;22;45;10;25
14;18;37;47;55;50;9;24;29;58;49;5;26;35;12;62;10;41;43;13;34;44;7;48;32;39;11;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;63;46;33;23;28;36;64;30;22;45;8;25;1;292
1;292;14;18;37;47;55;50;9;24;29;58;49;5;26;35;12;62;10;41;43;13;34;44;7;48;32;39;11;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;63;46;33;23;28;36;64;30;22;45;8;25
14;18;37;47;55;50;9;24;29;58;49;5;26;35;12;62;10;41;43;13;34;44;11;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;63;46;33;23;28;36;64;30;22;45;8;25;1;304
1;304;14;18;37;47;55;50;9;24;29;58;49;5;26;35;12;62;10;41;43;13;34;44;11;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;63;46;33;23;28;36;64;30;22;45;8;25
49;18;37;47;55;50;9;24;29;58;14;5;26;35;12;62;10;41;43;13;34;44;11;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;63;46;33;23;28;36;64;30;22;45;8;25;1;300
1;300;49;18;37;47;55;50;9;24;29;58;14;5;26;35;12;62;10;41;43;13;34;44;11;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;63;46;33;23;28;36;64;30;22;45;8;25
49;18;37;47;55;50;9;24;29;58;14;5;33;35;12;62;10;41;43;13;34;44;11;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;63;46;26;23;28;36;64;30;22;45;8;25;1;300
1;300;49;18;37;47;55;50;9;24;29;58;14;5;33;35;12;62;10;41;43;13;34;44;11;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;63;46;26;23;28;36;64;30;22;45;8;25
49;18;37;47;55;50;9;24;29;58;14;5;33;35;12;62;63;41;43;13;34;44;11;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;10;46;26;23;28;36;64;30;22;45;8;25;1;312
1;312;49;18;37;47;55;50;9;24;29;58;14;5;33;35;12;62;63;41;43;13;34;44;11;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;10;46;26;23;28;36;64;30;22;45;8;25
49;18;37;47;55;50;9;24;29;58;14;5;33;35;12;11;63;41;43;13;34;44;62;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;10;46;26;23;28;36;64;30;22;45;8;25;1;312
1;312;49;18;37;47;55;50;9;24;29;58;14;5;33;35;12;11;63;41;43;13;34;44;62;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;16;54;51;3;53;15;27;21;56;10;46;26;23;28;36;64;30;22;45;8;25
49;18;37;47;55;50;9;24;29;58;14;5;33;35;12;11;63;41;43;13;34;44;62;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;45;54;51;3;53;15;27;21;56;10;46;26;23;28;36;64;30;22;16;8;25;1;316
1;316;49;18;37;47;55;50;9;24;29;58;14;5;33;35;12;11;63;41;43;13;34;44;62;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;45;54;51;3;53;15;27;21;56;10;46;26;23;28;36;64;30;22;16;8;25
49;18;37;47;55;50;9;24;29;44;14;5;33;35;12;11;63;41;43;13;34;58;62;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;45;54;51;3;53;15;27;21;56;10;46;26;23;28;36;64;30;22;16;8;25;1;308
2;308;49;18;37;47;55;50;9;24;29;44;14;5;33;35;12;11;63;41;43;13;34;58;62;48;32;39;7;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;45;54;51;3;53;15;27;21;56;10;46;26;23;28;36;64;30;22;16;8;25
49;18;37;47;2;50;9;24;29;44;14;5;33;35;12;11;63;41;43;13;34;58;62;48;32;39;7;4;40;52;20;57;19;55;38;61;6;42;60;1;17;59;31;45;54;51;3;53;15;27;21;56;10;46;26;23;28;36;64;30;22;16;8;25;2;308
2;308;49;18;37;47;2;50;9;24;29;44;14;5;33;35;12;11;63;41;43;13;34;58;62;48;32;39;7;4;40;52;20;57;19;55;38;61;6;42;60;1;17;59;31;45;54;51;3;53;15;27;21;56;10;46;26;23;28;36;64;30;22;16;8;25
49;18;37;47;2;50;9;24;29;44;14;5;33;35;12;11;25;41;43;13;34;58;62;48;32;39;7;4;40;52;20;57;19;55;38;61;6;42;60;1;17;59;31;45;54;51;3;53;15;27;21;56;10;46;26;23;28;36;64;30;22;16;8;63;2;312
2;312;49;18;37;47;2;50;9;24;29;44;14;5;33;35;12;11;25;41;43;13;34;58;62;48;32;39;7;4;40;52;20;57;19;55;38;61;6;42;60;1;17;59;31;45;54;51;3;53;15;27;21;56;10;46;26;23;28;36;64;30;22;16;8;63
49;18;37;47;2;50;9;24;29;44;14;5;33;35;12;11;25;41;43;13;34;58;62;48;32;39;7;4;40;52;20;57;19;55;38;61;6;42;60;1;17;59;31;45;54;51;3;53;15;23;21;56;10;46;26;27;28;36;64;30;22;16;8;63;2;312
2;312;49;18;37;47;2;50;9;24;29;44;14;5;33;35;12;11;25;41;43;13;34;58;62;48;32;39;7;4;40;52;20;57;19;55;38;61;6;42;60;1;17;59;31;45;54;51;3;53;15;23;21;56;10;46;26;27;28;36;64;30;22;16;8;63
49;18;37;47;2;50;9;24;29;44;14;5;33;35;12;11;25;41;43;13;34;58;62;48;32;39;7;4;40;52;20;57;19;55;38;61;6;42;60;1;17;59;31;45;54;51;3;30;15;23;21;56;10;46;26;27;28;36;64;53;22;16;8;63;2;312
2;312;49;18;37;47;2;50;9;24;29;44;14;5;33;35;12;11;25;41;43;13;34;58;62;48;32;39;7;4;40;52;20;57;19;55;38;61;6;42;60;1;17;59;31;45;54;51;3;30;15;23;21;56;10;46;26;27;28;36;64;53;22;16;8;63
49;18;37;47;2;50;9;24;29;44;14;5;33;1;12;11;25;41;43;13;34;58;62;48;32;39;7;4;40;52;20;57;19;55;38;61;6;42;60;35;17;59;31;45;54;51;3;30;15;23;21;56;10;46;26;27;28;36;64;53;22;16;8;63;2;312
2;312;49;18;37;47;2;50;9;24;29;44;14;5;33;1;12;11;25;41;43;13;34;58;62;48;32;39;7;4;40;52;20;57;19;55;38;61;6;42;60;35;17;59;31;45;54;51;3;30;15;23;21;56;10;46;26;27;28;36;64;53;22;16;8;63
49;18;37;47;2;50;9;24;29;44;14;5;33;1;12;11;25;41;43;13;34;58;61;48;32;39;7;4;40;52;20;57;19;55;38;62;6;42;60;35;17;59;31;45;54;51;3;30;15;23;21;56;10;46;26;27;28;36;64;53;22;16;8;63;2;312
2;312;49;18;37;47;2;50;9;24;29;44;14;5;33;1;12;11;25;41;43;13;34;58;61;48;32;39;7;4;40;52;20;57;19;55;38;62;6;42;60;35;17;59;31;45;54;51;3;30;15;23;21;56;10;46;26;27;28;36;64;53;22;16;8;63
49;18;37;47;2;50;9;24;29;44;14;5;33;1;12;11;25;41;43;13;34;58;61;48;32;39;7;4;40;52;20;57;19;55;38;62;6;42;60;35;17;59;31;45;54;51;3;30;15;64;21;56;10;46;26;27;28;36;23;53;22;16;8;63;2;312
2;312;49;18;37;47;2;50;9;24;29;44;14;5;33;1;12;11;25;41;43;13;34;58;61;48;32;39;7;4;40;52;20;57;19;55;38;62;6;42;60;35;17;59;31;45;54;51;3;30;15;64;21;56;10;46;26;27;28;36;23;53;22;16;8;63
49;18;37;47;2;36;9;24;29;44;14;5;33;1;12;11;25;41;43;13;34;58;61;48;32;39;7;4;40;52;20;57;19;55;38;62;6;42;60;35;17;59;31;45;54;51;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63;2;304
2;304;49;18;37;47;2;36;9;24;29;44;14;5;33;1;12;11;25;41;43;13;34;58;61;48;32;39;7;4;40;52;20;57;19;55;38;62;6;42;60;35;17;59;31;45;54;51;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;18;37;47;2;36;9;24;29;44;49;5;33;1;12;11;25;41;43;13;34;58;61;48;32;39;7;4;40;52;20;57;19;55;38;62;6;42;60;35;17;59;31;45;54;51;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63;2;304
2;304;14;18;37;47;2;36;9;24;29;44;49;5;33;1;12;11;25;41;43;13;34;58;61;48;32;39;7;4;40;52;20;57;19;55;38;62;6;42;60;35;17;59;31;45;54;51;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;48;32;39;7;4;40;52;20;57;19;55;38;62;6;42;60;35;17;59;31;45;54;51;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63;2;308
2;308;14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;48;32;39;7;4;40;52;20;57;19;55;38;62;6;42;60;35;17;59;31;45;54;51;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;59;32;39;7;4;40;52;20;57;19;55;38;62;6;42;60;35;17;48;31;45;54;51;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63;2;308
2;308;14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;59;32;39;7;4;40;52;20;57;19;55;38;62;6;42;60;35;17;48;31;45;54;51;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;59;32;39;7;4;40;48;20;57;19;55;38;62;6;42;60;35;17;52;31;45;54;51;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63;2;308
2;308;14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;59;32;39;7;4;40;48;20;57;19;55;38;62;6;42;60;35;17;52;31;45;54;51;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;18;37;47;2;36;9;24;29;49;30;5;33;1;12;11;25;41;43;13;34;58;61;59;32;39;7;4;40;48;20;57;19;55;38;62;6;42;60;35;17;52;31;45;54;51;3;44;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63;2;320
2;308;14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;59;32;39;7;4;40;48;20;57;19;55;38;62;6;42;60;35;17;52;31;45;54;51;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;59;32;39;7;4;40;48;20;57;54;55;38;62;6;42;60;35;17;52;31;45;19;51;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63;2;300
2;300;14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;59;32;39;7;4;40;48;20;57;54;55;38;62;6;42;60;35;17;52;31;45;19;51;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;59;32;39;7;4;40;48;20;57;54;55;38;62;6;42;60;51;17;52;31;45;19;35;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63;2;292
2;292;14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;59;32;39;7;4;40;48;20;57;54;55;38;62;6;42;60;51;17;52;31;45;19;35;3;30;15;64;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;64;32;39;7;4;40;48;20;57;54;55;38;62;6;42;60;51;17;52;31;45;19;35;3;30;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63;2;292
2;292;14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;64;32;39;7;4;40;48;20;57;54;55;38;62;6;42;60;51;17;52;31;45;19;35;3;30;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;64;32;39;7;4;40;48;20;57;54;55;38;62;6;42;60;51;30;52;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63;2;292
2;292;14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;64;32;39;7;4;40;48;20;57;54;55;38;62;6;42;60;51;30;52;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;64;32;39;7;4;40;54;20;57;48;55;38;62;6;42;60;51;30;52;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63;2;294
2;294;14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;64;32;39;7;4;40;54;20;57;48;55;38;62;6;42;60;51;30;52;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;64;32;39;7;4;40;62;20;57;48;55;38;54;6;42;60;51;30;52;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63;2;298
2;298;14;18;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;58;61;64;32;39;7;4;40;62;20;57;48;55;38;54;6;42;60;51;30;52;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;58;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;18;61;64;32;39;7;4;40;62;20;57;48;55;38;54;6;42;60;51;30;52;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63;2;294
3;294;14;58;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;18;61;64;32;39;7;4;40;62;20;57;48;55;38;54;6;42;60;51;30;52;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;58;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;18;61;64;32;39;7;4;40;62;20;57;52;55;38;54;6;42;60;51;30;48;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63;3;296
3;296;14;58;37;47;2;36;9;24;29;49;44;5;33;1;12;11;25;41;43;13;34;18;61;64;32;39;7;4;40;62;20;57;52;55;38;54;6;42;60;51;30;48;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;58;37;47;2;36;9;24;29;49;44;5;33;1;12;55;25;41;43;13;34;18;61;64;32;39;7;4;40;62;20;57;52;11;38;54;6;42;60;51;30;48;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63;3;296
3;296;14;58;37;47;2;36;9;24;29;49;44;5;33;1;12;55;25;41;43;13;34;18;61;64;32;39;7;4;40;62;20;57;52;11;38;54;6;42;60;51;30;48;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;58;37;47;2;36;9;24;29;49;44;5;33;1;12;55;25;41;54;13;34;18;61;64;32;39;7;4;40;62;20;57;52;11;38;43;6;42;60;51;30;48;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63;3;308
3;308;14;58;37;47;2;36;9;24;29;49;44;5;33;1;12;55;25;41;54;13;34;18;61;64;32;39;7;4;40;62;20;57;52;11;38;43;6;42;60;51;30;48;31;45;19;35;3;17;15;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;58;37;47;2;36;9;24;29;49;44;5;33;1;12;55;25;41;54;15;34;18;61;64;32;39;7;4;40;62;20;57;52;11;38;43;6;42;60;51;30;48;31;45;19;35;3;17;13;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63;3;306
3;306;14;58;37;47;2;36;9;24;29;49;44;5;33;1;12;55;25;41;54;15;34;18;61;64;32;39;7;4;40;62;20;57;52;11;38;43;6;42;60;51;30;48;31;45;19;35;3;17;13;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;58;37;47;2;36;9;24;29;49;44;5;33;38;12;55;25;41;54;15;34;18;61;64;32;39;7;4;40;62;20;57;52;11;1;43;6;42;60;51;30;48;31;45;19;35;3;17;13;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63;3;308
3;308;14;58;37;47;2;36;9;24;29;49;44;5;33;38;12;55;25;41;54;15;34;18;61;64;32;39;7;4;40;62;20;57;52;11;1;43;6;42;60;51;30;48;31;45;19;35;3;17;13;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;58;37;47;2;61;9;24;29;49;44;5;33;38;12;55;25;41;54;15;34;18;36;64;32;39;7;4;40;62;20;57;52;11;1;43;6;42;60;51;30;48;31;45;19;35;3;17;13;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63;3;316
3;316;14;58;37;47;2;61;9;24;29;49;44;5;33;38;12;55;25;41;54;15;34;18;36;64;32;39;7;4;40;62;20;57;52;11;1;43;6;42;60;51;30;48;31;45;19;35;3;17;13;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;58;37;47;2;61;9;15;29;49;44;5;33;38;12;55;25;41;54;24;34;18;36;64;32;39;7;4;40;62;20;57;52;11;1;43;6;42;60;51;30;48;31;45;19;35;3;17;13;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63;3;318
3;318;14;58;37;47;2;61;9;15;29;49;44;5;33;38;12;55;25;41;54;24;34;18;36;64;32;39;7;4;40;62;20;57;52;11;1;43;6;42;60;51;30;48;31;45;19;35;3;17;13;59;21;56;10;46;26;27;28;50;23;53;22;16;8;63
14;58;37;47;2;61;9;15;29;49;44;5;33;38;12;55;25;41;54;24;34;18;36;64;32;39;7;4;40;62;20;57;52;11;46;43;6;42;60;51;30;48;31;45;19;35;3;17;13;59;21;56;10;1;26;27;28;50;23;53;22;16;8;63;3;318
3;318;14;58;37;47;2;61;9;15;29;49;44;5;33;38;12;55;25;41;54;24;34;18;36;64;32;39;7;4;40;62;20;57;52;11;46;43;6;42;60;51;30;48;31;45;19;35;3;17;13;59;21;56;10;1;26;27;28;50;23;53;22;16;8;63
14;58;37;47;2;61;9;15;29;49;44;5;33;38;12;55;25;41;54;24;34;18;36;64;32;39;7;4;40;62;20;23;52;11;46;43;6;42;60;51;30;48;31;45;19;35;3;17;13;59;21;56;10;1;26;27;28;50;57;53;22;16;8;63;3;314
3;314;14;58;37;47;2;61;9;15;29;49;44;5;33;38;12;55;25;41;54;24;34;18;36;64;32;39;7;4;40;62;20;23;52;11;46;43;6;42;60;51;30;48;31;45;19;35;3;17;13;59;21;56;10;1;26;27;28;50;57;53;22;16;8;63
14;58;37;47;2;61;9;15;29;49;44;5;33;38;12;55;25;41;54;24;34;18;36;64;32;39;7;4;40;62;20;23;52;11;46;43;21;42;60;51;30;48;31;45;19;35;3;17;13;59;6;56;10;1;26;27;28;50;57;53;22;16;8;63;3;314
3;314;14;58;37;47;2;61;9;15;29;49;44;5;33;38;12;55;25;41;54;24;34;18;36;64;32;39;7;4;40;62;20;23;52;11;46;43;21;42;60;51;30;48;31;45;19;35;3;17;13;59;6;56;10;1;26;27;28;50;57;53;22;16;8;63
14;58;37;47;2;61;9;15;29;49;44;5;33;38;12;55;25;41;54;24;26;18;36;64;32;39;7;4;40;62;20;23;52;11;46;43;21;42;60;51;30;48;31;45;19;35;3;17;13;59;6;56;10;1;34;27;28;50;57;53;22;16;8;63;3;314
