"X1";"X5961385";"X11";"X24";"X20";"X22";"X8";"X25";"X14";"X19";"X21";"X7";"X26";"X17";"X3";"X4";"X6";"X10";"X23";"X5";"X15";"X16";"X13";"X12";"X9";"X2";"X1.1";"X18"
2;5902987;14;2;3;10;8;25;4;19;16;1;9;17;21;22;5;13;18;6;15;23;20;12;24;26;7;11
14;2;3;10;8;25;4;19;16;18;9;17;21;22;5;13;1;6;15;23;20;12;24;26;7;11;2;5915221
2;5915221;14;2;3;10;8;25;4;19;16;18;9;17;21;22;5;13;1;6;15;23;20;12;24;26;7;11
14;2;3;10;8;25;4;19;16;18;9;17;21;22;5;13;12;6;15;23;20;1;24;26;7;11;2;5921242
2;5921242;14;2;3;10;8;25;4;19;16;18;9;17;21;22;5;13;12;6;15;23;20;1;24;26;7;11
15;2;3;10;8;25;4;19;16;18;9;17;21;22;5;13;12;6;14;23;20;1;24;26;7;11;2;5801918
2;5801918;15;2;3;10;8;25;4;19;16;18;9;17;21;22;5;13;12;6;14;23;20;1;24;26;7;11
15;2;5;10;8;25;4;19;16;18;9;17;21;22;3;13;12;6;14;23;20;1;24;26;7;11;2;5793270
2;5793270;15;2;5;10;8;25;4;19;16;18;9;17;21;22;3;13;12;6;14;23;20;1;24;26;7;11
15;2;5;10;8;25;4;19;16;14;9;17;21;22;3;13;12;6;18;23;20;1;24;26;7;11;2;5792347
2;5792347;15;2;5;10;8;25;4;19;16;14;9;17;21;22;3;13;12;6;18;23;20;1;24;26;7;11
15;2;5;10;8;25;4;19;16;14;9;17;21;13;3;22;12;6;18;23;20;1;24;26;7;11;2;5791109
2;5791109;15;2;5;10;8;25;4;19;16;14;9;17;21;13;3;22;12;6;18;23;20;1;24;26;7;11
15;2;25;10;8;5;4;19;16;14;9;17;21;13;3;22;12;6;18;23;20;1;24;26;7;11;2;5930588
2;5930588;15;2;25;10;8;5;4;19;16;14;9;17;21;13;3;22;12;6;18;23;20;1;24;26;7;11
15;2;25;10;8;5;4;19;16;7;9;17;21;13;3;22;12;6;18;23;20;1;24;26;14;11;2;6018484
2;6018484;15;2;25;10;8;5;4;19;16;7;9;17;21;13;3;22;12;6;18;23;20;1;24;26;14;11
15;2;25;10;8;5;4;19;16;7;9;17;26;13;3;22;12;6;18;23;20;1;24;21;14;11;2;6046565
2;6046565;15;2;25;10;8;5;4;19;16;7;9;17;26;13;3;22;12;6;18;23;20;1;24;21;14;11
15;2;25;10;8;5;4;19;16;7;9;17;26;13;3;22;20;6;18;23;12;1;24;21;14;11;2;6052555
2;6052555;15;2;25;10;8;5;4;19;16;7;9;17;26;13;3;22;20;6;18;23;12;1;24;21;14;11
15;2;22;10;8;5;4;19;16;7;9;17;26;13;3;25;20;6;18;23;12;1;24;21;14;11;2;6054795
2;6054795;15;2;22;10;8;5;4;19;16;7;9;17;26;13;3;25;20;6;18;23;12;1;24;21;14;11
15;2;22;10;8;5;4;19;16;7;9;17;26;13;3;1;20;6;18;23;12;25;24;21;14;11;2;6046417
2;6046417;15;2;22;10;8;5;4;19;16;7;9;17;26;13;3;1;20;6;18;23;12;25;24;21;14;11
15;2;22;10;8;5;4;17;16;7;9;19;26;13;3;1;20;6;18;23;12;25;24;21;14;11;2;6009524
2;6009524;15;2;22;10;8;5;4;17;16;7;9;19;26;13;3;1;20;6;18;23;12;25;24;21;14;11
15;2;22;10;8;5;17;4;16;7;9;19;26;13;3;1;20;6;18;23;12;25;24;21;14;11;2;5976909
2;5976909;15;2;22;10;8;5;17;4;16;7;9;19;26;13;3;1;20;6;18;23;12;25;24;21;14;11
15;7;22;10;8;5;17;4;16;2;9;19;26;13;3;1;20;6;18;23;12;25;24;21;14;11;2;5958307
2;5958307;15;7;22;10;8;5;17;4;16;2;9;19;26;13;3;1;20;6;18;23;12;25;24;21;14;11
15;7;22;10;19;5;17;4;16;2;9;8;26;13;3;1;20;6;18;23;12;25;24;21;14;11;2;5951868
2;5951868;15;7;22;10;19;5;17;4;16;2;9;8;26;13;3;1;20;6;18;23;12;25;24;21;14;11
15;7;22;10;19;5;17;4;16;2;9;8;26;13;3;1;6;20;18;23;12;25;24;21;14;11;2;5930362
2;5930362;15;7;22;10;19;5;17;4;16;2;9;8;26;13;3;1;6;20;18;23;12;25;24;21;14;11
15;7;22;10;17;5;19;4;16;2;9;8;26;13;3;1;6;20;18;23;12;25;24;21;14;11;2;5937092
3;5937092;15;7;22;10;17;5;19;4;16;2;9;8;26;13;3;1;6;20;18;23;12;25;24;21;14;11
15;7;22;10;17;5;1;4;16;2;9;8;26;13;3;19;6;20;18;23;12;25;24;21;14;11;3;5964949
3;5964949;15;7;22;10;17;5;1;4;16;2;9;8;26;13;3;19;6;20;18;23;12;25;24;21;14;11
15;7;22;10;17;5;1;4;16;2;9;8;26;13;3;19;6;20;18;23;12;25;21;24;14;11;3;5964949
3;5964949;15;7;22;10;17;5;1;4;16;2;9;8;26;13;3;19;6;20;18;23;12;25;21;24;14;11
15;7;22;10;17;5;1;4;16;2;9;8;26;23;3;19;6;20;18;13;12;25;21;24;14;11;3;5977788
3;5977788;15;7;22;10;17;5;1;4;16;2;9;8;26;23;3;19;6;20;18;13;12;25;21;24;14;11
15;7;22;10;17;5;1;4;23;2;9;8;26;16;3;19;6;20;18;13;12;25;21;24;14;11;3;5978094
3;5978094;15;7;22;10;17;5;1;4;23;2;9;8;26;16;3;19;6;20;18;13;12;25;21;24;14;11
15;7;22;10;17;5;1;4;23;2;9;8;26;21;3;19;6;20;18;13;12;25;16;24;14;11;3;5959812
3;5959812;15;7;22;10;17;5;1;4;23;2;9;8;26;21;3;19;6;20;18;13;12;25;16;24;14;11
15;7;22;10;17;5;1;4;23;2;9;8;26;21;3;14;6;20;18;13;12;25;16;24;19;11;3;5911851
3;5911851;15;7;22;10;17;5;1;4;23;2;9;8;26;21;3;14;6;20;18;13;12;25;16;24;19;11
15;7;22;10;17;5;1;4;23;2;9;8;26;21;3;14;6;20;11;13;12;25;16;24;19;18;3;6101045
3;6101045;15;7;22;10;17;5;1;4;23;2;9;8;26;21;3;14;6;20;11;13;12;25;16;24;19;18
15;7;22;10;17;5;1;4;23;2;9;13;26;21;3;14;6;20;11;8;12;25;16;24;19;18;3;6146126
3;6146126;15;7;22;10;17;5;1;4;23;2;9;13;26;21;3;14;6;20;11;8;12;25;16;24;19;18
15;7;22;10;17;5;1;4;23;2;9;13;19;21;3;14;6;20;11;8;12;25;16;24;26;18;3;6076842
3;6076842;15;7;22;10;17;5;1;4;23;2;9;13;19;21;3;14;6;20;11;8;12;25;16;24;26;18
15;7;22;10;17;5;1;4;23;2;9;13;19;21;3;14;20;6;11;8;12;25;16;24;26;18;3;6105141
3;6105141;15;7;22;10;17;5;1;4;23;2;9;13;19;21;3;14;20;6;11;8;12;25;16;24;26;18
21;7;22;10;17;5;1;4;23;2;9;13;19;15;3;14;20;6;11;8;12;25;16;24;26;18;3;6092291
3;6092291;21;7;22;10;17;5;1;4;23;2;9;13;19;15;3;14;20;6;11;8;12;25;16;24;26;18
21;7;22;10;17;5;1;4;23;2;9;13;19;15;3;14;18;6;11;8;12;25;16;24;26;20;3;6062969
3;6062969;21;7;22;10;17;5;1;4;23;2;9;13;19;15;3;14;18;6;11;8;12;25;16;24;26;20
21;7;22;10;17;5;1;4;23;2;9;16;19;15;3;14;18;6;11;8;12;25;13;24;26;20;3;6071294
3;6071294;21;7;22;10;17;5;1;4;23;2;9;16;19;15;3;14;18;6;11;8;12;25;13;24;26;20
21;7;22;6;17;5;1;4;23;2;9;16;19;15;3;14;18;10;11;8;12;25;13;24;26;20;3;6075251
3;6075251;21;7;22;6;17;5;1;4;23;2;9;16;19;15;3;14;18;10;11;8;12;25;13;24;26;20
21;7;22;6;17;5;1;4;23;2;9;16;19;15;3;14;18;10;11;8;12;25;13;20;26;24;3;6020564
3;6020564;21;7;22;6;17;5;1;4;23;2;9;16;19;15;3;14;18;10;11;8;12;25;13;20;26;24
21;7;22;6;17;5;1;4;23;2;9;16;19;15;26;14;18;10;11;8;12;25;13;20;3;24;3;5935559
3;5935559;21;7;22;6;17;5;1;4;23;2;9;16;19;15;26;14;18;10;11;8;12;25;13;20;3;24
21;7;22;6;17;5;1;10;23;2;9;16;19;15;26;14;18;4;11;8;12;25;13;20;3;24;3;5907323
3;5907323;21;7;22;6;17;5;1;10;23;2;9;16;19;15;26;14;18;4;11;8;12;25;13;20;3;24
21;7;22;6;17;5;1;10;23;2;9;16;19;15;26;14;18;13;11;8;12;25;4;20;3;24;3;5866111
3;5866111;21;7;22;6;17;5;1;10;23;2;9;16;19;15;26;14;18;13;11;8;12;25;4;20;3;24
21;4;22;6;17;5;1;10;23;2;9;16;19;15;26;14;18;13;11;8;12;25;7;20;3;24;3;5867243
3;5867243;21;4;22;6;17;5;1;10;23;2;9;16;19;15;26;14;18;13;11;8;12;25;7;20;3;24
21;15;22;6;17;5;1;10;23;2;9;16;19;4;26;14;18;13;11;8;12;25;7;20;3;24;3;5887495
4;5887495;21;15;22;6;17;5;1;10;23;2;9;16;19;4;26;14;18;13;11;8;12;25;7;20;3;24
21;15;22;6;17;25;1;10;23;2;9;16;19;4;26;14;18;13;11;8;12;5;7;20;3;24;4;5957977
4;5957977;21;15;22;6;17;25;1;10;23;2;9;16;19;4;26;14;18;13;11;8;12;5;7;20;3;24
21;2;22;6;17;25;1;10;23;15;9;16;19;4;26;14;18;13;11;8;12;5;7;20;3;24;4;5970571
4;5970571;21;2;22;6;17;25;1;10;23;15;9;16;19;4;26;14;18;13;11;8;12;5;7;20;3;24
21;2;22;6;17;25;1;10;23;15;9;16;19;4;26;14;18;13;11;8;12;5;7;20;24;3;4;5970571
4;5970571;21;2;22;6;17;25;1;10;23;15;9;16;19;4;26;14;18;13;11;8;12;5;7;20;24;3
24;2;22;6;17;25;1;10;23;15;9;16;19;4;26;14;18;13;11;8;12;5;7;20;21;3;4;6003259
4;6003259;24;2;22;6;17;25;1;10;23;15;9;16;19;4;26;14;18;13;11;8;12;5;7;20;21;3
24;2;22;6;16;25;1;10;23;15;9;17;19;4;26;14;18;13;11;8;12;5;7;20;21;3;4;6008805
4;6008805;24;2;22;6;16;25;1;10;23;15;9;17;19;4;26;14;18;13;11;8;12;5;7;20;21;3
24;2;22;15;16;25;1;10;23;6;9;17;19;4;26;14;18;13;11;8;12;5;7;20;21;3;4;6019728
4;6019728;24;2;22;15;16;25;1;10;23;6;9;17;19;4;26;14;18;13;11;8;12;5;7;20;21;3
24;2;22;15;16;25;1;10;23;6;9;17;19;4;26;14;20;13;11;8;12;5;7;18;21;3;4;6072607
4;6072607;24;2;22;15;16;25;1;10;23;6;9;17;19;4;26;14;20;13;11;8;12;5;7;18;21;3
24;2;22;15;5;25;1;10;23;6;9;17;19;4;26;14;20;13;11;8;12;16;7;18;21;3;4;6073073
4;6073073;24;2;22;15;5;25;1;10;23;6;9;17;19;4;26;14;20;13;11;8;12;16;7;18;21;3
24;2;22;15;5;25;1;10;23;6;9;17;21;4;26;14;20;13;11;8;12;16;7;18;19;3;4;6059468
4;6059468;24;2;22;15;5;25;1;10;23;6;9;17;21;4;26;14;20;13;11;8;12;16;7;18;19;3
24;2;22;15;5;25;1;10;23;6;9;17;21;4;26;14;16;13;11;8;12;20;7;18;19;3;4;6118769
4;6118769;24;2;22;15;5;25;1;10;23;6;9;17;21;4;26;14;16;13;11;8;12;20;7;18;19;3
24;2;22;15;5;25;1;10;23;6;9;17;21;7;26;14;16;13;11;8;12;20;4;18;19;3;4;6124355
4;6124355;24;2;22;15;5;25;1;10;23;6;9;17;21;7;26;14;16;13;11;8;12;20;4;18;19;3
24;19;22;15;5;25;1;10;23;6;9;17;21;7;26;14;16;13;11;8;12;20;4;18;2;3;4;6163196
4;6163196;24;19;22;15;5;25;1;10;23;6;9;17;21;7;26;14;16;13;11;8;12;20;4;18;2;3
24;19;22;15;5;25;11;10;23;6;9;17;21;7;26;14;16;13;1;8;12;20;4;18;2;3;4;6131065
4;6131065;24;19;22;15;5;25;11;10;23;6;9;17;21;7;26;14;16;13;1;8;12;20;4;18;2;3
24;19;22;15;5;11;25;10;23;6;9;17;21;7;26;14;16;13;1;8;12;20;4;18;2;3;4;6131065
4;6131065;24;19;22;15;5;11;25;10;23;6;9;17;21;7;26;14;16;13;1;8;12;20;4;18;2;3
24;19;22;15;5;11;25;10;23;6;9;17;21;2;26;14;16;13;1;8;12;20;4;18;7;3;4;6140208
4;6140208;24;19;22;15;5;11;25;10;23;6;9;17;21;2;26;14;16;13;1;8;12;20;4;18;7;3
24;19;22;15;5;11;25;10;23;6;9;17;1;2;26;14;16;13;21;8;12;20;4;18;7;3;4;6167107
4;6167107;24;19;22;15;5;11;25;10;23;6;9;17;1;2;26;14;16;13;21;8;12;20;4;18;7;3
24;19;22;15;5;11;25;10;12;6;9;17;1;2;26;14;16;13;21;8;23;20;4;18;7;3;4;6112399
4;6112399;24;19;22;15;5;11;25;10;12;6;9;17;1;2;26;14;16;13;21;8;23;20;4;18;7;3
24;19;22;15;5;26;25;10;12;6;9;17;1;2;11;14;16;13;21;8;23;20;4;18;7;3;4;6109165
4;6109165;24;19;22;15;5;26;25;10;12;6;9;17;1;2;11;14;16;13;21;8;23;20;4;18;7;3
24;19;22;15;5;26;25;10;12;6;9;17;1;2;11;14;16;13;21;18;23;20;4;8;7;3;4;6055344
4;6055344;24;19;22;15;5;26;25;10;12;6;9;17;1;2;11;14;16;13;21;18;23;20;4;8;7;3
24;19;22;15;5;26;25;10;12;6;9;17;1;2;11;14;16;13;21;4;23;20;18;8;7;3;4;6094518
5;6094518;24;19;22;15;5;26;25;10;12;6;9;17;1;2;11;14;16;13;21;4;23;20;18;8;7;3
24;19;22;15;5;26;25;7;12;6;9;17;1;2;11;14;16;13;21;4;23;20;18;8;10;3;5;6085629
5;6085629;24;19;22;15;5;26;25;7;12;6;9;17;1;2;11;14;16;13;21;4;23;20;18;8;10;3
24;19;22;15;5;16;25;7;12;6;9;17;1;2;11;14;26;13;21;4;23;20;18;8;10;3;5;6086660
5;6086660;24;19;22;15;5;16;25;7;12;6;9;17;1;2;11;14;26;13;21;4;23;20;18;8;10;3
24;19;22;15;5;16;25;7;11;6;9;17;1;2;12;14;26;13;21;4;23;20;18;8;10;3;5;6129401
5;6129401;24;19;22;15;5;16;25;7;11;6;9;17;1;2;12;14;26;13;21;4;23;20;18;8;10;3
24;19;22;15;5;26;25;7;11;6;9;17;1;2;12;14;16;13;21;4;23;20;18;8;10;3;5;6128227
5;6128227;24;19;22;15;5;26;25;7;11;6;9;17;1;2;12;14;16;13;21;4;23;20;18;8;10;3
24;19;22;15;26;5;25;7;11;6;9;17;1;2;12;14;16;13;21;4;23;20;18;8;10;3;5;5880500
5;5880500;24;19;22;15;26;5;25;7;11;6;9;17;1;2;12;14;16;13;21;4;23;20;18;8;10;3
19;24;22;15;26;5;25;7;11;6;9;17;1;2;12;14;16;13;21;4;23;20;18;8;10;3;5;5893752
5;5893752;19;24;22;15;26;5;25;7;11;6;9;17;1;2;12;14;16;13;21;4;23;20;18;8;10;3
19;24;22;1;26;5;25;7;11;6;9;17;15;2;12;14;16;13;21;4;23;20;18;8;10;3;5;5941555
5;5941555;19;24;22;1;26;5;25;7;11;6;9;17;15;2;12;14;16;13;21;4;23;20;18;8;10;3
19;24;22;1;26;5;25;7;11;6;9;17;15;20;12;14;16;13;21;4;23;2;18;8;10;3;5;5882348
5;5882348;19;24;22;1;26;5;25;7;11;6;9;17;15;20;12;14;16;13;21;4;23;2;18;8;10;3
19;10;22;1;26;5;25;7;11;6;9;17;15;20;12;14;16;13;21;4;23;2;18;8;24;3;5;5882840
5;5882840;19;10;22;1;26;5;25;7;11;6;9;17;15;20;12;14;16;13;21;4;23;2;18;8;24;3
19;10;22;1;26;5;25;7;17;6;9;11;15;20;12;14;16;13;21;4;23;2;18;8;24;3;5;5877009
5;5877009;19;10;22;1;26;5;25;7;17;6;9;11;15;20;12;14;16;13;21;4;23;2;18;8;24;3
19;10;22;1;26;5;25;7;17;6;9;11;15;20;12;14;16;13;21;23;4;2;18;8;24;3;5;5867345
5;5867345;19;10;22;1;26;5;25;7;17;6;9;11;15;20;12;14;16;13;21;23;4;2;18;8;24;3
19;10;22;1;26;5;15;7;17;6;9;11;25;20;12;14;16;13;21;23;4;2;18;8;24;3;5;5861409
5;5861409;19;10;22;1;26;5;15;7;17;6;9;11;25;20;12;14;16;13;21;23;4;2;18;8;24;3
19;10;22;1;26;5;15;7;17;6;9;11;25;20;24;14;16;13;21;23;4;2;18;8;12;3;5;5886316
5;5886316;19;10;22;1;26;5;15;7;17;6;9;11;25;20;24;14;16;13;21;23;4;2;18;8;12;3
19;10;22;1;26;5;11;7;17;6;9;15;25;20;24;14;16;13;21;23;4;2;18;8;12;3;5;5876719
5;5876719;19;10;22;1;26;5;11;7;17;6;9;15;25;20;24;14;16;13;21;23;4;2;18;8;12;3
19;10;22;1;26;5;11;20;17;6;9;15;25;7;24;14;16;13;21;23;4;2;18;8;12;3;5;5860344
5;5860344;19;10;22;1;26;5;11;20;17;6;9;15;25;7;24;14;16;13;21;23;4;2;18;8;12;3
19;10;22;1;26;5;11;20;17;6;9;15;25;7;24;14;16;13;21;23;4;2;18;8;3;12;5;5860344
5;5860344;19;10;22;1;26;5;11;20;17;6;9;15;25;7;24;14;16;13;21;23;4;2;18;8;3;12
19;10;22;1;26;5;11;20;17;24;9;15;25;7;6;14;16;13;21;23;4;2;18;8;3;12;5;5856515
5;5856515;19;10;22;1;26;5;11;20;17;24;9;15;25;7;6;14;16;13;21;23;4;2;18;8;3;12
19;10;22;1;26;5;11;20;17;24;9;15;2;7;6;14;16;13;21;23;4;25;18;8;3;12;5;5842225
5;5842225;19;10;22;1;26;5;11;20;17;24;9;15;2;7;6;14;16;13;21;23;4;25;18;8;3;12
19;10;22;1;26;5;11;20;23;24;9;15;2;7;6;14;16;13;21;17;4;25;18;8;3;12;5;5835863
5;5835863;19;10;22;1;26;5;11;20;23;24;9;15;2;7;6;14;16;13;21;17;4;25;18;8;3;12
19;10;22;1;26;5;11;20;23;24;9;15;2;7;6;14;3;13;21;17;4;25;18;8;16;12;5;5830504
6;5830504;19;10;22;1;26;5;11;20;23;24;9;15;2;7;6;14;3;13;21;17;4;25;18;8;16;12
19;10;22;1;26;15;11;20;23;24;9;5;2;7;6;14;3;13;21;17;4;25;18;8;16;12;6;5796582
6;5796582;19;10;22;1;26;15;11;20;23;24;9;5;2;7;6;14;3;13;21;17;4;25;18;8;16;12
19;10;22;1;26;15;17;20;23;24;9;5;2;7;6;14;3;13;21;11;4;25;18;8;16;12;6;5802330
6;5802330;19;10;22;1;26;15;17;20;23;24;9;5;2;7;6;14;3;13;21;11;4;25;18;8;16;12
19;10;22;1;26;15;17;20;23;24;9;5;2;7;6;14;11;13;21;3;4;25;18;8;16;12;6;5916414
6;5916414;19;10;22;1;26;15;17;20;23;24;9;5;2;7;6;14;11;13;21;3;4;25;18;8;16;12
19;16;22;1;26;15;17;20;23;24;9;5;2;7;6;14;11;13;21;3;4;25;18;8;10;12;6;5920887
6;5920887;19;16;22;1;26;15;17;20;23;24;9;5;2;7;6;14;11;13;21;3;4;25;18;8;10;12
19;16;22;1;26;15;12;20;23;24;9;5;2;7;6;14;11;13;21;3;4;25;18;8;10;17;6;5909580
6;5909580;19;16;22;1;26;15;12;20;23;24;9;5;2;7;6;14;11;13;21;3;4;25;18;8;10;17
19;16;22;1;26;21;12;20;23;24;9;5;2;7;6;14;11;13;15;3;4;25;18;8;10;17;6;5917478
6;5917478;19;16;22;1;26;21;12;20;23;24;9;5;2;7;6;14;11;13;15;3;4;25;18;8;10;17
19;16;22;1;26;21;12;2;23;24;9;5;20;7;6;14;11;13;15;3;4;25;18;8;10;17;6;5911002
6;5911002;19;16;22;1;26;21;12;2;23;24;9;5;20;7;6;14;11;13;15;3;4;25;18;8;10;17
19;16;22;1;26;21;20;2;23;24;9;5;12;7;6;14;11;13;15;3;4;25;18;8;10;17;6;5912667
6;5912667;19;16;22;1;26;21;20;2;23;24;9;5;12;7;6;14;11;13;15;3;4;25;18;8;10;17
19;16;22;1;26;21;20;2;23;24;9;5;8;7;6;14;11;13;15;3;4;25;18;12;10;17;6;5888409
6;5888409;19;16;22;1;26;21;20;2;23;24;9;5;8;7;6;14;11;13;15;3;4;25;18;12;10;17
19;16;22;18;26;21;20;2;23;24;9;5;8;7;6;14;11;13;15;3;4;25;1;12;10;17;6;5839294
6;5839294;19;16;22;18;26;21;20;2;23;24;9;5;8;7;6;14;11;13;15;3;4;25;1;12;10;17
19;16;22;18;26;21;20;2;23;24;9;5;8;7;25;14;11;13;15;3;4;6;1;12;10;17;6;5842285
6;5842285;19;16;22;18;26;21;20;2;23;24;9;5;8;7;25;14;11;13;15;3;4;6;1;12;10;17
19;16;22;18;26;25;20;2;23;24;9;5;8;7;21;14;11;13;15;3;4;6;1;12;10;17;6;5863118
6;5863118;19;16;22;18;26;25;20;2;23;24;9;5;8;7;21;14;11;13;15;3;4;6;1;12;10;17
19;16;22;18;13;25;20;2;23;24;9;5;8;7;21;14;11;26;15;3;4;6;1;12;10;17;6;5894174
6;5894174;19;16;22;18;13;25;20;2;23;24;9;5;8;7;21;14;11;26;15;3;4;6;1;12;10;17
19;16;22;18;13;25;20;2;23;24;15;5;8;7;21;14;11;26;9;3;4;6;1;12;10;17;6;5895260
6;5895260;19;16;22;18;13;25;20;2;23;24;15;5;8;7;21;14;11;26;9;3;4;6;1;12;10;17
19;16;22;21;13;25;20;2;23;24;15;5;8;7;18;14;11;26;9;3;4;6;1;12;10;17;6;5895776
6;5895776;19;16;22;21;13;25;20;2;23;24;15;5;8;7;18;14;11;26;9;3;4;6;1;12;10;17
19;16;22;21;13;25;20;2;23;3;15;5;8;7;18;14;11;26;9;24;4;6;1;12;10;17;6;5853803
6;5853803;19;16;22;21;13;25;20;2;23;3;15;5;8;7;18;14;11;26;9;24;4;6;1;12;10;17
19;16;22;21;13;25;5;2;23;3;15;20;8;7;18;14;11;26;9;24;4;6;1;12;10;17;6;5884928
6;5884928;19;16;22;21;13;25;5;2;23;3;15;20;8;7;18;14;11;26;9;24;4;6;1;12;10;17
19;16;22;21;13;25;5;2;23;3;15;20;8;4;18;14;11;26;9;24;7;6;1;12;10;17;6;5887452
6;5887452;19;16;22;21;13;25;5;2;23;3;15;20;8;4;18;14;11;26;9;24;7;6;1;12;10;17
