"X1";"X256";"X21";"X39";"X58";"X8";"X31";"X61";"X6";"X25";"X15";"X24";"X29";"X56";"X60";"X42";"X32";"X51";"X9";"X11";"X63";"X19";"X35";"X64";"X62";"X3";"X7";"X54";"X30";"X52";"X17";"X45";"X5";"X10";"X27";"X44";"X33";"X49";"X53";"X1.1";"X14";"X40";"X26";"X2";"X36";"X48";"X57";"X28";"X43";"X50";"X18";"X47";"X16";"X23";"X55";"X13";"X34";"X38";"X46";"X4";"X41";"X37";"X20";"X12";"X22";"X59"
21;57;58;6;31;61;8;25;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;62;54;30;15;17;45;5;10;27;44;4;49;48;1;14;23;40;2;36;35;38;28;43;50;18;47;16;26;55;13;34;37;46;20;41;39;33;12;11;52;1;262
1;262;21;57;58;6;31;61;8;25;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;62;54;30;15;17;45;5;10;27;44;4;49;48;1;14;23;40;2;36;35;38;28;43;50;18;47;16;26;55;13;34;37;46;20;41;39;33;12;11;52
21;57;58;6;31;61;8;25;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;30;15;17;45;5;10;27;44;4;49;48;1;14;23;62;2;36;35;38;28;43;50;18;47;16;26;55;13;34;37;46;20;41;39;33;12;11;52;1;262
1;262;21;57;58;6;31;61;8;25;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;30;15;17;45;5;10;27;44;4;49;48;1;14;23;62;2;36;35;38;28;43;50;18;47;16;26;55;13;34;37;46;20;41;39;33;12;11;52
21;57;58;6;34;61;8;25;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;30;15;17;45;5;10;27;44;4;49;48;1;14;23;62;2;36;35;38;28;43;50;18;47;16;26;55;13;31;37;46;20;41;39;33;12;11;52;1;262
1;262;21;57;58;6;34;61;8;25;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;30;15;17;45;5;10;27;44;4;49;48;1;14;23;62;2;36;35;38;28;43;50;18;47;16;26;55;13;31;37;46;20;41;39;33;12;11;52
21;57;58;6;34;61;8;25;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;15;17;45;5;10;27;44;4;49;48;1;14;23;62;2;36;35;38;28;43;50;18;47;16;26;55;13;30;37;46;20;41;39;33;12;11;52;1;270
1;270;21;57;58;6;34;61;8;25;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;15;17;45;5;10;27;44;4;49;48;1;14;23;62;2;36;35;38;28;43;50;18;47;16;26;55;13;30;37;46;20;41;39;33;12;11;52
21;57;58;6;34;61;8;25;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;5;10;27;44;4;49;48;1;14;23;62;2;36;35;38;28;43;50;18;47;16;26;55;13;30;37;46;20;41;39;33;12;11;52;1;274
1;274;21;57;58;6;34;61;8;25;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;5;10;27;44;4;49;48;1;14;23;62;2;36;35;38;28;43;50;18;47;16;26;55;13;30;37;46;20;41;39;33;12;11;52
21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;5;10;27;44;4;25;48;1;14;23;62;2;36;35;38;28;43;50;18;47;16;26;55;13;30;37;46;20;41;39;33;12;11;52;1;286
2;286;21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;5;10;27;44;4;25;48;1;14;23;62;2;36;35;38;28;43;50;18;47;16;26;55;13;30;37;46;20;41;39;33;12;11;52
21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;5;10;27;44;4;25;48;1;14;36;62;2;23;35;38;28;43;50;18;47;16;26;55;13;30;37;46;20;41;39;33;12;11;52;2;286
2;286;21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;5;10;27;44;4;25;48;1;14;36;62;2;23;35;38;28;43;50;18;47;16;26;55;13;30;37;46;20;41;39;33;12;11;52
21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;5;10;27;44;4;25;48;38;14;36;62;2;23;35;1;28;43;50;18;47;16;26;55;13;30;37;46;20;41;39;33;12;11;52;2;286
2;286;21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;5;10;27;44;4;25;48;38;14;36;62;2;23;35;1;28;43;50;18;47;16;26;55;13;30;37;46;20;41;39;33;12;11;52
21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;5;10;27;44;4;25;48;38;14;36;62;2;23;35;1;28;43;33;18;47;16;26;55;13;30;37;46;20;41;39;50;12;11;52;2;286
2;286;21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;5;10;27;44;4;25;48;38;14;36;62;2;23;35;1;28;43;33;18;47;16;26;55;13;30;37;46;20;41;39;50;12;11;52
21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;5;10;27;44;2;25;48;38;14;36;62;4;23;35;1;28;43;33;18;47;16;26;55;13;30;37;46;20;41;39;50;12;11;52;2;288
2;288;21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;5;10;27;44;2;25;48;38;14;36;62;4;23;35;1;28;43;33;18;47;16;26;55;13;30;37;46;20;41;39;50;12;11;52
21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;4;10;27;44;2;25;48;38;14;36;62;5;23;35;1;28;43;33;18;47;16;26;55;13;30;37;46;20;41;39;50;12;11;52;2;288
2;288;21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;4;10;27;44;2;25;48;38;14;36;62;5;23;35;1;28;43;33;18;47;16;26;55;13;30;37;46;20;41;39;50;12;11;52
21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;4;10;27;44;2;25;48;38;14;36;62;5;35;23;1;28;43;33;18;47;16;26;55;13;30;37;46;20;41;39;50;12;11;52;2;276
2;276;21;57;58;6;34;61;8;49;51;24;29;56;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;4;10;27;44;2;25;48;38;14;36;62;5;35;23;1;28;43;33;18;47;16;26;55;13;30;37;46;20;41;39;50;12;11;52
21;57;58;6;34;61;8;49;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;56;10;27;44;2;25;48;38;14;36;62;5;35;23;1;28;43;33;18;47;16;26;55;13;30;37;46;20;41;39;50;12;11;52;2;276
2;276;21;57;58;6;34;61;8;49;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;56;10;27;44;2;25;48;38;14;36;62;5;35;23;1;28;43;33;18;47;16;26;55;13;30;37;46;20;41;39;50;12;11;52
21;57;58;6;23;61;8;49;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;56;10;27;44;2;25;48;38;14;36;62;5;35;34;1;28;43;33;18;47;16;26;55;13;30;37;46;20;41;39;50;12;11;52;2;288
2;288;21;57;58;6;23;61;8;49;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;56;10;27;44;2;25;48;38;14;36;62;5;35;34;1;28;43;33;18;47;16;26;55;13;30;37;46;20;41;39;50;12;11;52
21;57;58;6;23;61;8;49;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;56;10;27;44;2;25;48;38;41;36;62;5;35;34;1;28;43;33;18;47;16;26;55;13;30;37;46;20;14;39;50;12;11;52;2;294
2;294;21;57;58;6;23;61;8;49;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;15;45;56;10;27;44;2;25;48;38;41;36;62;5;35;34;1;28;43;33;18;47;16;26;55;13;30;37;46;20;14;39;50;12;11;52
21;57;58;6;23;61;8;15;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;49;45;56;10;27;44;2;25;48;38;41;36;62;5;35;34;1;28;43;33;18;47;16;26;55;13;30;37;46;20;14;39;50;12;11;52;2;282
2;282;21;57;58;6;23;61;8;15;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;49;45;56;10;27;44;2;25;48;38;41;36;62;5;35;34;1;28;43;33;18;47;16;26;55;13;30;37;46;20;14;39;50;12;11;52
21;57;58;6;23;61;8;15;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;49;45;56;10;27;44;2;25;48;38;41;36;62;5;35;34;1;28;18;33;43;47;16;26;55;13;30;37;46;20;14;39;50;12;11;52;2;282
2;282;21;57;58;6;23;61;8;15;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;3;40;54;31;17;49;45;56;10;27;44;2;25;48;38;41;36;62;5;35;34;1;28;18;33;43;47;16;26;55;13;30;37;46;20;14;39;50;12;11;52
21;57;58;6;23;61;8;15;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;40;54;31;17;49;45;56;10;27;44;2;25;48;38;41;3;62;5;35;34;1;28;18;33;43;47;16;26;55;13;30;37;46;20;14;39;50;12;11;52;2;282
2;282;21;57;58;6;23;61;8;15;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;40;54;31;17;49;45;56;10;27;44;2;25;48;38;41;3;62;5;35;34;1;28;18;33;43;47;16;26;55;13;30;37;46;20;14;39;50;12;11;52
21;57;58;6;23;61;8;15;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;40;54;31;17;49;45;56;10;27;44;2;25;48;38;41;3;62;5;35;34;1;28;18;33;43;14;16;26;55;13;30;37;46;20;47;39;50;12;11;52;2;282
2;282;21;57;58;6;23;61;8;15;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;40;54;31;17;49;45;56;10;27;44;2;25;48;38;41;3;62;5;35;34;1;28;18;33;43;14;16;26;55;13;30;37;46;20;47;39;50;12;11;52
21;57;58;6;23;61;8;1;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;40;54;31;17;49;45;56;10;27;44;2;25;48;38;41;3;62;5;35;34;15;28;18;33;43;14;16;26;55;13;30;37;46;20;47;39;50;12;11;52;2;298
2;298;21;57;58;6;23;61;8;1;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;40;54;31;17;49;45;56;10;27;44;2;25;48;38;41;3;62;5;35;34;15;28;18;33;43;14;16;26;55;13;30;37;46;20;47;39;50;12;11;52
21;57;58;6;23;61;8;1;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;31;54;40;17;49;45;56;10;27;44;2;25;48;38;41;3;62;5;35;34;15;28;18;33;43;14;16;26;55;13;30;37;46;20;47;39;50;12;11;52;2;302
2;302;21;57;58;6;23;61;8;1;51;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;31;54;40;17;49;45;56;10;27;44;2;25;48;38;41;3;62;5;35;34;15;28;18;33;43;14;16;26;55;13;30;37;46;20;47;39;50;12;11;52
21;57;58;6;23;61;8;1;48;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;31;54;40;17;49;45;56;10;27;44;2;25;51;38;41;3;62;5;35;34;15;28;18;33;43;14;16;26;55;13;30;37;46;20;47;39;50;12;11;52;2;306
2;306;21;57;58;6;23;61;8;1;48;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;31;54;40;17;49;45;56;10;27;44;2;25;51;38;41;3;62;5;35;34;15;28;18;33;43;14;16;26;55;13;30;37;46;20;47;39;50;12;11;52
21;57;58;6;23;61;8;1;48;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;44;54;40;17;49;45;56;10;27;31;2;25;51;38;41;3;62;5;35;34;15;28;18;33;43;14;16;26;55;13;30;37;46;20;47;39;50;12;11;52;2;306
2;306;21;57;58;6;23;61;8;1;48;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;44;54;40;17;49;45;56;10;27;31;2;25;51;38;41;3;62;5;35;34;15;28;18;33;43;14;16;26;55;13;30;37;46;20;47;39;50;12;11;52
21;57;58;6;23;61;8;1;48;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;44;54;40;17;49;45;56;10;27;31;2;62;51;38;41;3;25;5;35;34;15;28;18;33;43;14;16;26;55;13;30;37;46;20;47;39;50;12;11;52;2;306
2;306;21;57;58;6;23;61;8;1;48;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;44;54;40;17;49;45;56;10;27;31;2;62;51;38;41;3;25;5;35;34;15;28;18;33;43;14;16;26;55;13;30;37;46;20;47;39;50;12;11;52
21;57;58;6;23;61;8;1;48;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;44;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;25;5;35;34;15;28;18;33;43;14;16;26;55;56;30;37;46;20;47;39;50;12;11;52;2;306
2;306;21;57;58;6;23;61;8;1;48;24;29;4;60;42;32;59;9;22;63;19;53;64;7;36;44;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;25;5;35;34;15;28;18;33;43;14;16;26;55;56;30;37;46;20;47;39;50;12;11;52
21;57;58;6;23;61;8;1;48;24;29;4;60;42;32;59;9;22;33;19;53;64;7;36;44;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;25;5;35;34;15;28;18;63;43;14;16;26;55;56;30;37;46;20;47;39;50;12;11;52;2;306
3;306;21;57;58;6;23;61;8;1;48;24;29;4;60;42;32;59;9;22;33;19;53;64;7;36;44;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;25;5;35;34;15;28;18;63;43;14;16;26;55;56;30;37;46;20;47;39;50;12;11;52
21;57;58;6;23;61;8;1;48;24;29;4;33;42;32;59;9;22;60;19;53;64;7;36;44;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;25;5;35;34;15;28;18;63;43;14;16;26;55;56;30;37;46;20;47;39;50;12;11;52;3;302
3;302;21;57;58;6;23;61;8;1;48;24;29;4;33;42;32;59;9;22;60;19;53;64;7;36;44;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;25;5;35;34;15;28;18;63;43;14;16;26;55;56;30;37;46;20;47;39;50;12;11;52
21;57;58;6;23;61;8;1;44;24;29;4;33;42;32;59;9;22;60;19;53;64;7;36;48;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;25;5;35;34;15;28;18;63;43;14;16;26;55;56;30;37;46;20;47;39;50;12;11;52;3;302
3;302;21;57;58;6;23;61;8;1;44;24;29;4;33;42;32;59;9;22;60;19;53;64;7;36;48;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;25;5;35;34;15;28;18;63;43;14;16;26;55;56;30;37;46;20;47;39;50;12;11;52
21;57;58;6;23;61;8;1;44;24;29;4;33;42;32;59;9;22;60;19;53;64;7;36;48;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;25;5;12;34;15;28;18;63;43;14;16;26;55;56;30;37;46;20;47;39;50;35;11;52;3;302
3;302;21;57;58;6;23;61;8;1;44;24;29;4;33;42;32;59;9;22;60;19;53;64;7;36;48;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;25;5;12;34;15;28;18;63;43;14;16;26;55;56;30;37;46;20;47;39;50;35;11;52
21;57;58;6;23;61;8;1;44;24;29;4;33;42;32;59;9;22;60;19;53;64;7;36;48;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;20;5;12;34;15;28;18;63;43;14;16;26;55;56;30;37;46;25;47;39;50;35;11;52;3;302
3;302;21;57;58;6;23;61;8;1;44;24;29;4;33;42;32;59;9;22;60;19;53;64;7;36;48;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;20;5;12;34;15;28;18;63;43;14;16;26;55;56;30;37;46;25;47;39;50;35;11;52
21;57;58;6;11;61;8;1;44;24;29;4;33;42;32;59;9;22;60;19;53;64;7;36;48;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;20;5;12;34;15;28;18;63;43;14;16;26;55;56;30;37;46;25;47;39;50;35;23;52;3;302
3;302;21;57;58;6;11;61;8;1;44;24;29;4;33;42;32;59;9;22;60;19;53;64;7;36;48;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;20;5;12;34;15;28;18;63;43;14;16;26;55;56;30;37;46;25;47;39;50;35;23;52
21;57;58;6;11;61;8;1;44;43;29;4;33;42;32;59;9;22;60;19;53;64;7;36;48;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;20;5;12;34;15;28;18;63;24;14;16;26;55;56;30;37;46;25;47;39;50;35;23;52;3;298
3;298;21;57;58;6;11;61;8;1;44;43;29;4;33;42;32;59;9;22;60;19;53;64;7;36;48;54;40;17;49;45;13;10;27;31;2;62;51;38;41;3;20;5;12;34;15;28;18;63;24;14;16;26;55;56;30;37;46;25;47;39;50;35;23;52
21;57;58;6;11;61;8;1;44;43;29;4;33;42;32;59;9;22;60;19;53;64;7;36;48;54;40;17;49;45;13;10;27;31;2;34;51;38;41;3;20;5;12;62;15;28;18;63;24;14;16;26;55;56;30;37;46;25;47;39;50;35;23;52;3;290
3;290;21;57;58;6;11;61;8;1;44;43;29;4;33;42;32;59;9;22;60;19;53;64;7;36;48;54;40;17;49;45;13;10;27;31;2;34;51;38;41;3;20;5;12;62;15;28;18;63;24;14;16;26;55;56;30;37;46;25;47;39;50;35;23;52
21;57;58;6;11;61;8;1;44;43;29;4;7;42;32;59;9;22;60;19;53;64;33;36;48;54;40;17;49;45;13;10;27;31;2;34;51;38;41;3;20;5;12;62;15;28;18;63;24;14;16;26;55;56;30;37;46;25;47;39;50;35;23;52;3;290
3;290;21;57;58;6;11;61;8;1;44;43;29;4;7;42;32;59;9;22;60;19;53;64;33;36;48;54;40;17;49;45;13;10;27;31;2;34;51;38;41;3;20;5;12;62;15;28;18;63;24;14;16;26;55;56;30;37;46;25;47;39;50;35;23;52
21;57;58;6;11;61;8;1;44;43;29;4;7;42;32;59;9;22;60;19;53;64;33;36;48;54;40;17;49;45;13;10;27;31;2;34;51;38;41;3;20;5;39;62;15;28;18;63;24;14;16;26;55;56;30;37;46;25;47;12;50;35;23;52;3;290
3;290;21;57;58;6;11;61;8;1;44;43;29;4;7;42;32;59;9;22;60;19;53;64;33;36;48;54;40;17;49;45;13;10;27;31;2;34;51;38;41;3;20;5;39;62;15;28;18;63;24;14;16;26;55;56;30;37;46;25;47;12;50;35;23;52
21;57;58;6;11;61;8;13;44;43;29;4;7;42;32;59;9;22;60;19;53;64;33;36;48;54;40;17;49;45;1;10;27;31;2;34;51;38;41;3;20;5;39;62;15;28;18;63;24;14;16;26;55;56;30;37;46;25;47;12;50;35;23;52;3;278
3;278;21;57;58;6;11;61;8;13;44;43;29;4;7;42;32;59;9;22;60;19;53;64;33;36;48;54;40;17;49;45;1;10;27;31;2;34;51;38;41;3;20;5;39;62;15;28;18;63;24;14;16;26;55;56;30;37;46;25;47;12;50;35;23;52
13;57;58;6;11;61;8;21;44;43;29;4;7;42;32;59;9;22;60;19;53;64;33;36;48;54;40;17;49;45;1;10;27;31;2;34;51;38;41;3;20;5;39;62;15;28;18;63;24;14;16;26;55;56;30;37;46;25;47;12;50;35;23;52;3;286
