"X1";"X258";"X24";"X25";"X21";"X10";"X26";"X64";"X34";"X6";"X16";"X11";"X55";"X18";"X13";"X50";"X32";"X12";"X30";"X19";"X40";"X57";"X35";"X61";"X45";"X43";"X3";"X15";"X56";"X60";"X58";"X37";"X5";"X59";"X41";"X28";"X49";"X2";"X38";"X22";"X48";"X33";"X29";"X53";"X54";"X14";"X4";"X42";"X46";"X20";"X1.1";"X39";"X23";"X47";"X51";"X52";"X63";"X8";"X44";"X9";"X62";"X7";"X36";"X31";"X17";"X27"
24;46;21;10;26;17;41;6;16;11;55;18;13;50;32;12;30;19;40;62;35;61;45;43;3;15;56;60;58;37;5;59;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;57;7;36;31;64;27;1;296
1;296;24;46;21;10;26;17;41;6;16;11;55;18;13;50;32;12;30;19;40;62;35;61;45;43;3;15;56;60;58;37;5;59;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;57;7;36;31;64;27
24;46;21;10;26;17;41;6;16;11;55;59;13;50;32;12;30;19;40;62;35;61;45;43;3;15;56;60;58;37;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;57;7;36;31;64;27;1;300
1;300;24;46;21;10;26;17;41;6;16;11;55;59;13;50;32;12;30;19;40;62;35;61;45;43;3;15;56;60;58;37;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;57;7;36;31;64;27
24;46;21;10;26;17;41;56;16;11;55;59;13;50;32;12;30;19;40;62;35;61;45;43;3;15;6;60;58;37;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;57;7;36;31;64;27;1;288
1;288;24;46;21;10;26;17;41;56;16;11;55;59;13;50;32;12;30;19;40;62;35;61;45;43;3;15;6;60;58;37;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;57;7;36;31;64;27
24;46;21;10;15;17;41;56;16;11;55;59;13;50;32;12;30;19;40;62;35;61;45;43;3;26;6;60;58;37;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;57;7;36;31;64;27;1;288
1;288;24;46;21;10;15;17;41;56;16;11;55;59;13;50;32;12;30;19;40;62;35;61;45;43;3;26;6;60;58;37;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;57;7;36;31;64;27
24;46;21;10;15;17;41;56;16;11;55;59;13;50;32;12;30;19;40;62;35;61;45;43;3;26;6;60;57;37;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;27;1;288
1;288;24;46;21;10;15;17;41;56;16;11;55;59;13;50;32;12;30;19;40;62;35;61;45;43;3;26;6;60;57;37;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;27
24;46;21;10;15;17;41;56;16;11;55;57;13;50;32;12;30;19;40;62;35;61;45;43;3;26;6;60;59;37;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;27;1;288
1;288;24;46;21;10;15;17;41;56;16;11;55;57;13;50;32;12;30;19;40;62;35;61;45;43;3;26;6;60;59;37;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;27
24;46;21;10;15;17;41;56;16;11;55;57;13;50;32;12;30;19;40;62;35;61;45;43;3;26;6;60;59;27;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;37;1;284
1;284;24;46;21;10;15;17;41;56;16;11;55;57;13;50;32;12;30;19;40;62;35;61;45;43;3;26;6;60;59;27;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;37
24;46;21;10;30;17;41;56;16;11;55;57;13;50;32;12;15;19;40;62;35;61;45;43;3;26;6;60;59;27;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;37;1;292
1;292;24;46;21;10;30;17;41;56;16;11;55;57;13;50;32;12;15;19;40;62;35;61;45;43;3;26;6;60;59;27;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;37
24;46;21;10;30;17;41;56;16;43;55;57;13;50;32;12;15;19;40;62;35;61;45;11;3;26;6;60;59;27;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;37;1;288
1;288;24;46;21;10;30;17;41;56;16;43;55;57;13;50;32;12;15;19;40;62;35;61;45;11;3;26;6;60;59;27;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;37
24;46;21;10;30;40;41;56;16;43;55;57;13;50;32;12;15;19;17;62;35;61;45;11;3;26;6;60;59;27;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;37;1;288
1;288;24;46;21;10;30;40;41;56;16;43;55;57;13;50;32;12;15;19;17;62;35;61;45;11;3;26;6;60;59;27;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;37
24;46;21;10;30;40;41;56;16;43;55;57;13;50;32;12;15;37;17;62;35;61;45;11;3;26;6;60;59;27;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19;1;288
1;288;24;46;21;10;30;40;41;56;16;43;55;57;13;50;32;12;15;37;17;62;35;61;45;11;3;26;6;60;59;27;5;18;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19
24;46;21;10;30;40;41;56;16;43;55;57;13;50;32;12;15;37;17;62;35;61;45;11;3;26;6;60;59;4;5;18;28;34;49;8;38;22;1;23;29;53;54;14;27;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19;1;292
1;292;24;46;21;10;30;40;41;56;16;43;55;57;13;50;32;12;15;37;17;62;35;61;45;11;3;26;6;60;59;4;5;18;28;34;49;8;38;22;1;23;29;53;54;14;27;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19
24;46;21;10;30;40;17;56;16;43;55;57;13;50;32;12;15;37;41;62;35;61;45;11;3;26;6;60;59;4;5;18;28;34;49;8;38;22;1;23;29;53;54;14;27;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19;1;280
2;280;24;46;21;10;30;40;17;56;16;43;55;57;13;50;32;12;15;37;41;62;35;61;45;11;3;26;6;60;59;4;5;18;28;34;49;8;38;22;1;23;29;53;54;14;27;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19
24;46;21;10;30;40;17;56;16;43;55;57;13;50;32;38;15;37;41;62;35;61;45;11;3;26;6;60;59;4;5;18;28;34;49;8;12;22;1;23;29;53;54;14;27;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19;2;284
2;284;24;46;21;10;30;40;17;56;16;43;55;57;13;50;32;38;15;37;41;62;35;61;45;11;3;26;6;60;59;4;5;18;28;34;49;8;12;22;1;23;29;53;54;14;27;42;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19
24;46;21;42;30;40;17;56;16;43;55;57;13;50;32;38;15;37;41;62;35;61;45;11;3;26;6;60;59;4;5;18;28;34;49;8;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19;2;284
2;284;24;46;21;42;30;40;17;56;16;43;55;57;13;50;32;38;15;37;41;62;35;61;45;11;3;26;6;60;59;4;5;18;28;34;49;8;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19
24;46;21;42;30;40;17;56;16;43;55;57;13;50;32;38;15;37;41;62;35;61;45;11;3;8;6;60;59;4;5;18;28;34;49;26;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19;2;284
2;284;24;46;21;42;30;40;17;56;16;43;55;57;13;50;32;38;15;37;41;62;35;61;45;11;3;8;6;60;59;4;5;18;28;34;49;26;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19
24;46;21;42;30;40;17;56;16;43;45;57;13;50;32;38;15;37;41;62;35;61;55;11;3;8;6;60;59;4;5;18;28;34;49;26;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19;2;272
2;272;24;46;21;42;30;40;17;56;16;43;45;57;13;50;32;38;15;37;41;62;35;61;55;11;3;8;6;60;59;4;5;18;28;34;49;26;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19
24;46;21;42;30;40;17;56;16;43;45;59;13;50;32;38;15;37;41;62;35;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19;2;272
2;272;24;46;21;42;30;40;17;56;16;43;45;59;13;50;32;38;15;37;41;62;35;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19
32;46;21;42;30;40;17;56;16;43;45;59;13;50;24;38;15;37;41;62;35;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19;2;278
2;278;32;46;21;42;30;40;17;56;16;43;45;59;13;50;24;38;15;37;41;62;35;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;19
32;46;21;42;30;40;17;56;16;43;45;59;19;50;24;38;15;37;41;62;35;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;13;2;278
2;278;32;46;21;42;30;40;17;56;16;43;45;59;19;50;24;38;15;37;41;62;35;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;13
32;46;35;42;30;40;17;56;16;43;45;59;19;50;24;38;15;37;41;62;21;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;13;2;274
2;274;32;46;35;42;30;40;17;56;16;43;45;59;19;50;24;38;15;37;41;62;21;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;22;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;58;7;36;31;64;13
32;46;35;42;30;40;17;56;16;43;45;59;19;50;24;38;15;37;41;62;21;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;58;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;22;7;36;31;64;13;2;274
2;274;32;46;35;42;30;40;17;56;16;43;45;59;19;50;24;38;15;37;41;62;21;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;58;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;22;7;36;31;64;13
32;46;35;42;30;40;17;56;43;16;45;59;19;50;24;38;15;37;41;62;21;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;58;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;22;7;36;31;64;13;2;262
2;262;32;46;35;42;30;40;17;56;43;16;45;59;19;50;24;38;15;37;41;62;21;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;58;1;23;29;53;54;14;27;10;25;20;48;39;33;47;51;52;63;2;44;9;22;7;36;31;64;13
32;46;35;48;30;40;17;56;43;16;45;59;19;50;24;38;15;37;41;62;21;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;58;1;23;29;53;54;14;27;10;25;20;42;39;33;47;51;52;63;2;44;9;22;7;36;31;64;13;2;258
2;258;32;46;35;48;30;40;17;56;43;16;45;59;19;50;24;38;15;37;41;62;21;61;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;58;1;23;29;53;54;14;27;10;25;20;42;39;33;47;51;52;63;2;44;9;22;7;36;31;64;13
32;46;35;48;30;40;17;56;43;16;45;59;19;50;24;38;15;37;41;62;21;27;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;58;1;23;29;53;54;14;61;10;25;20;42;39;33;47;51;52;63;2;44;9;22;7;36;31;64;13;2;260
2;260;32;46;35;48;30;40;17;56;43;16;45;59;19;50;24;38;15;37;41;62;21;27;55;11;3;8;6;60;57;4;5;18;28;34;49;26;12;58;1;23;29;53;54;14;61;10;25;20;42;39;33;47;51;52;63;2;44;9;22;7;36;31;64;13
32;46;35;48;30;40;17;56;43;16;45;59;19;50;24;38;15;37;41;62;21;27;6;11;3;8;55;60;57;4;5;18;28;34;49;26;12;58;1;23;29;53;54;14;61;10;25;20;42;39;33;47;51;52;63;2;44;9;22;7;36;31;64;13;2;272
2;272;32;46;35;48;30;40;17;56;43;16;45;59;19;50;24;38;15;37;41;62;21;27;6;11;3;8;55;60;57;4;5;18;28;34;49;26;12;58;1;23;29;53;54;14;61;10;25;20;42;39;33;47;51;52;63;2;44;9;22;7;36;31;64;13
32;46;35;48;30;40;17;56;43;16;45;59;19;50;24;38;15;37;41;62;21;27;6;11;3;8;55;60;57;4;2;18;28;34;49;26;12;58;1;23;29;53;54;14;61;10;25;20;42;39;33;47;51;52;63;5;44;9;22;7;36;31;64;13;2;272
2;272;32;46;35;48;30;40;17;56;43;16;45;59;19;50;24;38;15;37;41;62;21;27;6;11;3;8;55;60;57;4;2;18;28;34;49;26;12;58;1;23;29;53;54;14;61;10;25;20;42;39;33;47;51;52;63;5;44;9;22;7;36;31;64;13
32;46;35;48;30;40;17;56;43;16;45;59;19;3;24;38;15;37;41;62;21;27;6;11;50;8;55;60;57;4;2;18;28;34;49;26;12;58;1;23;29;53;54;14;61;10;25;20;42;39;33;47;51;52;63;5;44;9;22;7;36;31;64;13;2;256
2;256;32;46;35;48;30;40;17;56;43;16;45;59;19;3;24;38;15;37;41;62;21;27;6;11;50;8;55;60;57;4;2;18;28;34;49;26;12;58;1;23;29;53;54;14;61;10;25;20;42;39;33;47;51;52;63;5;44;9;22;7;36;31;64;13
32;46;35;48;30;40;17;56;43;16;45;59;19;3;24;38;15;37;41;62;21;27;6;11;50;8;55;10;57;4;2;18;28;34;49;26;12;58;1;23;29;53;54;14;61;60;25;20;42;39;33;47;51;52;63;5;44;9;22;7;36;31;64;13;2;260
2;260;32;46;35;48;30;40;17;56;43;16;45;59;19;3;24;38;15;37;41;62;21;27;6;11;50;8;55;10;57;4;2;18;28;34;49;26;12;58;1;23;29;53;54;14;61;60;25;20;42;39;33;47;51;52;63;5;44;9;22;7;36;31;64;13
32;46;35;48;30;40;17;56;43;25;45;59;19;3;24;38;15;37;41;62;21;27;6;11;50;8;55;10;57;4;2;18;28;34;49;26;12;58;1;23;29;53;54;14;61;60;16;20;42;39;33;47;51;52;63;5;44;9;22;7;36;31;64;13;2;292
2;292;32;46;35;48;30;40;17;56;43;25;45;59;19;3;24;38;15;37;41;62;21;27;6;11;50;8;55;10;57;4;2;18;28;34;49;26;12;58;1;23;29;53;54;14;61;60;16;20;42;39;33;47;51;52;63;5;44;9;22;7;36;31;64;13
32;46;35;48;30;40;17;56;43;25;45;59;19;3;24;38;15;37;41;62;21;27;6;11;50;8;55;10;57;4;2;18;28;34;49;26;12;58;1;23;29;53;52;14;61;60;16;20;42;39;33;47;51;54;63;5;44;9;22;7;36;31;64;13;2;292
2;292;32;46;35;48;30;40;17;56;43;25;45;59;19;3;24;38;15;37;41;62;21;27;6;11;50;8;55;10;57;4;2;18;28;34;49;26;12;58;1;23;29;53;52;14;61;60;16;20;42;39;33;47;51;54;63;5;44;9;22;7;36;31;64;13
32;46;35;48;30;40;17;56;43;25;45;59;19;3;24;38;15;37;41;62;21;27;6;11;50;8;55;63;57;4;2;18;28;34;49;26;12;58;1;23;29;53;52;14;61;60;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13;2;304
2;304;32;46;35;48;30;40;17;56;43;25;45;59;19;3;24;38;15;37;41;62;21;27;6;11;50;8;55;63;57;4;2;18;28;34;49;26;12;58;1;23;29;53;52;14;61;60;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13
32;46;35;48;30;40;17;56;43;25;21;59;19;3;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;34;49;26;12;58;1;23;29;53;52;14;61;60;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13;2;308
3;308;32;46;35;48;30;40;17;56;43;25;21;59;19;3;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;34;49;26;12;58;1;23;29;53;52;14;61;60;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13
32;46;35;48;30;3;17;56;43;25;21;59;19;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;34;49;26;12;58;1;23;29;53;52;14;61;60;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13;3;312
3;312;32;46;35;48;30;3;17;56;43;25;21;59;19;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;34;49;26;12;58;1;23;29;53;52;14;61;60;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13
32;46;35;48;30;3;17;34;43;25;21;59;19;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;29;53;52;14;61;60;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13;3;312
3;312;32;46;35;48;30;3;17;34;43;25;21;59;19;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;29;53;52;14;61;60;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13
32;46;35;48;30;3;17;34;43;25;53;59;19;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;29;21;52;14;61;60;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13;3;316
3;316;32;46;35;48;30;3;17;34;43;25;53;59;19;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;29;21;52;14;61;60;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13
32;34;35;48;30;3;17;46;43;25;53;59;19;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;29;21;52;14;61;60;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13;3;312
3;312;32;34;35;48;30;3;17;46;43;25;53;59;19;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;29;21;52;14;61;60;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13
32;34;35;48;30;3;17;46;43;25;53;59;60;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;29;21;52;14;61;19;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13;3;312
3;312;32;34;35;48;30;3;17;46;43;25;53;59;60;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;29;21;52;14;61;19;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13
32;34;35;48;30;3;29;46;43;25;53;59;60;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;17;21;52;14;61;19;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13;3;312
3;312;32;34;35;48;30;3;29;46;43;25;53;59;60;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;17;21;52;14;61;19;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13
32;34;35;48;30;3;29;46;43;25;53;59;17;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;60;21;52;14;61;19;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13;3;312
3;312;32;34;35;48;30;3;29;46;43;25;53;59;17;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;60;21;52;14;61;19;16;20;42;39;33;47;51;54;10;5;44;9;22;7;36;31;64;13
32;34;35;48;30;3;29;46;43;25;53;5;17;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;60;21;52;14;61;19;16;20;42;39;33;47;51;54;10;59;44;9;22;7;36;31;64;13;3;312
3;312;32;34;35;48;30;3;29;46;43;25;53;5;17;40;24;38;15;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;60;21;52;14;61;19;16;20;42;39;33;47;51;54;10;59;44;9;22;7;36;31;64;13
32;34;35;48;30;3;29;46;43;25;53;5;17;15;24;38;40;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;60;21;52;14;61;19;16;20;42;39;33;47;51;54;10;59;44;9;22;7;36;31;64;13;3;308
3;308;32;34;35;48;30;3;29;46;43;25;53;5;17;15;24;38;40;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;60;21;52;14;61;19;16;20;42;39;33;47;51;54;10;59;44;9;22;7;36;31;64;13
17;34;35;48;30;3;29;46;43;25;53;5;32;15;24;38;40;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;60;21;52;14;61;19;16;20;42;39;33;47;51;54;10;59;44;9;22;7;36;31;64;13;3;308
3;308;17;34;35;48;30;3;29;46;43;25;53;5;32;15;24;38;40;37;41;62;45;27;6;11;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;60;21;52;14;61;19;16;20;42;39;33;47;51;54;10;59;44;9;22;7;36;31;64;13
17;34;35;48;30;3;29;46;43;25;53;11;32;15;24;38;40;37;41;62;45;27;6;5;50;8;55;63;57;4;2;18;28;56;49;26;12;58;1;23;60;21;52;14;61;19;16;20;42;39;33;47;51;54;10;59;44;9;22;7;36;31;64;13;3;308
