"X1";"X27040";"X10";"X11";"X15";"X1.1";"X19";"X13";"X22";"X6";"X23";"X14";"X7";"X25";"X9";"X20";"X8";"X24";"X31";"X29";"X27";"X18";"X4";"X17";"X28";"X2";"X30";"X26";"X32";"X5";"X3";"X12";"X21";"X16"
21;11;5;17;9;13;3;29;6;30;31;7;12;20;8;14;24;23;27;28;22;1;26;4;16;19;15;32;18;2;25;10;2;27772
2;27772;21;11;5;17;9;13;3;29;6;30;31;7;12;20;8;14;24;23;27;28;22;1;26;4;16;19;15;32;18;2;25;10
21;11;5;17;9;4;3;29;6;30;31;7;12;20;8;14;24;23;27;28;22;1;26;13;16;19;15;32;18;2;25;10;2;27692
2;27692;21;11;5;17;9;4;3;29;6;30;31;7;12;20;8;14;24;23;27;28;22;1;26;13;16;19;15;32;18;2;25;10
21;11;5;17;9;4;3;29;6;30;31;7;12;20;8;14;1;23;27;28;22;24;26;13;16;19;15;32;18;2;25;10;2;27342
2;27342;21;11;5;17;9;4;3;29;6;30;31;7;12;20;8;14;1;23;27;28;22;24;26;13;16;19;15;32;18;2;25;10
21;11;5;17;9;4;3;29;6;32;31;7;12;20;8;14;1;23;27;28;22;24;26;13;16;19;15;30;18;2;25;10;2;27582
2;27582;21;11;5;17;9;4;3;29;6;32;31;7;12;20;8;14;1;23;27;28;22;24;26;13;16;19;15;30;18;2;25;10
21;11;5;17;9;4;3;29;26;32;31;7;12;20;8;14;1;23;27;28;22;24;6;13;16;19;15;30;18;2;25;10;2;27922
2;27922;21;11;5;17;9;4;3;29;26;32;31;7;12;20;8;14;1;23;27;28;22;24;6;13;16;19;15;30;18;2;25;10
21;11;5;17;9;4;3;29;26;32;31;7;12;20;8;18;1;23;27;28;22;24;6;13;16;19;15;30;14;2;25;10;2;27492
2;27492;21;11;5;17;9;4;3;29;26;32;31;7;12;20;8;18;1;23;27;28;22;24;6;13;16;19;15;30;14;2;25;10
21;11;5;17;9;4;3;29;26;32;31;7;12;20;8;18;1;23;27;28;19;24;6;13;16;22;15;30;14;2;25;10;2;27572
2;27572;21;11;5;17;9;4;3;29;26;32;31;7;12;20;8;18;1;23;27;28;19;24;6;13;16;22;15;30;14;2;25;10
21;11;5;17;9;4;3;29;26;13;31;7;12;20;8;18;1;23;27;28;19;24;6;32;16;22;15;30;14;2;25;10;2;28126
2;28126;21;11;5;17;9;4;3;29;26;13;31;7;12;20;8;18;1;23;27;28;19;24;6;32;16;22;15;30;14;2;25;10
21;11;5;17;9;4;29;3;26;13;31;7;12;20;8;18;1;23;27;28;19;24;6;32;16;22;15;30;14;2;25;10;2;27636
2;27636;21;11;5;17;9;4;29;3;26;13;31;7;12;20;8;18;1;23;27;28;19;24;6;32;16;22;15;30;14;2;25;10
21;11;5;17;9;20;29;3;26;13;31;7;12;4;8;18;1;23;27;28;19;24;6;32;16;22;15;30;14;2;25;10;2;27682
2;27682;21;11;5;17;9;20;29;3;26;13;31;7;12;4;8;18;1;23;27;28;19;24;6;32;16;22;15;30;14;2;25;10
21;11;5;17;9;20;2;3;26;13;31;7;12;4;8;18;1;23;27;28;19;24;6;32;16;22;15;30;14;29;25;10;2;27236
2;27236;21;11;5;17;9;20;2;3;26;13;31;7;12;4;8;18;1;23;27;28;19;24;6;32;16;22;15;30;14;29;25;10
21;11;5;17;9;20;2;25;26;13;31;7;12;4;8;18;1;23;27;28;19;24;6;32;16;22;15;30;14;29;3;10;2;27568
2;27568;21;11;5;17;9;20;2;25;26;13;31;7;12;4;8;18;1;23;27;28;19;24;6;32;16;22;15;30;14;29;3;10
21;11;5;17;9;20;2;25;26;13;31;7;24;4;8;18;1;23;27;28;19;12;6;32;16;22;15;30;14;29;3;10;2;27438
2;27438;21;11;5;17;9;20;2;25;26;13;31;7;24;4;8;18;1;23;27;28;19;12;6;32;16;22;15;30;14;29;3;10
21;11;5;17;9;20;2;25;26;13;31;7;24;4;22;18;1;23;27;28;19;12;6;32;16;8;15;30;14;29;3;10;2;27656
2;27656;21;11;5;17;9;20;2;25;26;13;31;7;24;4;22;18;1;23;27;28;19;12;6;32;16;8;15;30;14;29;3;10
21;11;5;17;9;20;2;25;26;22;31;7;24;4;13;18;1;23;27;28;19;12;6;32;16;8;15;30;14;29;3;10;2;27884
2;27884;21;11;5;17;9;20;2;25;26;22;31;7;24;4;13;18;1;23;27;28;19;12;6;32;16;8;15;30;14;29;3;10
21;11;5;17;9;20;2;25;26;22;31;7;24;4;27;18;1;23;13;28;19;12;6;32;16;8;15;30;14;29;3;10;2;27550
2;27550;21;11;5;17;9;20;2;25;26;22;31;7;24;4;27;18;1;23;13;28;19;12;6;32;16;8;15;30;14;29;3;10
21;11;5;17;9;20;2;25;26;22;31;6;24;4;27;18;1;23;13;28;19;12;7;32;16;8;15;30;14;29;3;10;2;27610
3;27610;21;11;5;17;9;20;2;25;26;22;31;6;24;4;27;18;1;23;13;28;19;12;7;32;16;8;15;30;14;29;3;10
21;11;5;17;9;20;16;25;26;22;31;6;24;4;27;18;1;23;13;28;19;12;7;32;2;8;15;30;14;29;3;10;3;28750
3;28750;21;11;5;17;9;20;16;25;26;22;31;6;24;4;27;18;1;23;13;28;19;12;7;32;2;8;15;30;14;29;3;10
21;11;5;17;9;20;16;25;26;22;31;6;24;4;27;18;1;23;13;28;19;12;7;8;2;32;15;30;14;29;3;10;3;28958
3;28958;21;11;5;17;9;20;16;25;26;22;31;6;24;4;27;18;1;23;13;28;19;12;7;8;2;32;15;30;14;29;3;10
21;11;5;17;9;20;16;25;26;22;31;6;24;4;27;18;1;30;13;28;19;12;7;8;2;32;15;23;14;29;3;10;3;28818
3;28818;21;11;5;17;9;20;16;25;26;22;31;6;24;4;27;18;1;30;13;28;19;12;7;8;2;32;15;23;14;29;3;10
21;11;5;17;9;20;16;25;26;22;31;6;24;23;27;18;1;30;13;28;19;12;7;8;2;32;15;4;14;29;3;10;3;28898
3;28898;21;11;5;17;9;20;16;25;26;22;31;6;24;23;27;18;1;30;13;28;19;12;7;8;2;32;15;4;14;29;3;10
21;11;5;13;9;20;16;25;26;22;31;6;24;23;27;18;1;30;17;28;19;12;7;8;2;32;15;4;14;29;3;10;3;29188
3;29188;21;11;5;13;9;20;16;25;26;22;31;6;24;23;27;18;1;30;17;28;19;12;7;8;2;32;15;4;14;29;3;10
21;3;5;13;9;20;16;25;26;22;31;6;24;23;27;18;1;30;17;28;19;12;7;8;2;32;15;4;14;29;11;10;3;29668
3;29668;21;3;5;13;9;20;16;25;26;22;31;6;24;23;27;18;1;30;17;28;19;12;7;8;2;32;15;4;14;29;11;10
21;3;11;13;9;20;16;25;26;22;31;6;24;23;27;18;1;30;17;28;19;12;7;8;2;32;15;4;14;29;5;10;3;29328
3;29328;21;3;11;13;9;20;16;25;26;22;31;6;24;23;27;18;1;30;17;28;19;12;7;8;2;32;15;4;14;29;5;10
27;3;11;13;9;20;16;25;26;22;31;6;24;23;21;18;1;30;17;28;19;12;7;8;2;32;15;4;14;29;5;10;3;29028
3;29028;27;3;11;13;9;20;16;25;26;22;31;6;24;23;21;18;1;30;17;28;19;12;7;8;2;32;15;4;14;29;5;10
27;3;11;13;9;20;16;25;7;22;31;6;24;23;21;18;1;30;17;28;19;12;26;8;2;32;15;4;14;29;5;10;3;29196
3;29196;27;3;11;13;9;20;16;25;7;22;31;6;24;23;21;18;1;30;17;28;19;12;26;8;2;32;15;4;14;29;5;10
27;3;11;13;9;1;16;25;7;22;31;6;24;23;21;18;20;30;17;28;19;12;26;8;2;32;15;4;14;29;5;10;3;29330
3;29330;27;3;11;13;9;1;16;25;7;22;31;6;24;23;21;18;20;30;17;28;19;12;26;8;2;32;15;4;14;29;5;10
27;3;11;13;9;1;16;25;7;22;31;6;24;23;21;18;20;30;17;28;19;12;26;8;2;32;15;4;14;5;29;10;3;29674
3;29674;27;3;11;13;9;1;16;25;7;22;31;6;24;23;21;18;20;30;17;28;19;12;26;8;2;32;15;4;14;5;29;10
27;3;11;13;9;1;16;25;7;22;31;6;24;23;21;18;20;30;17;28;19;12;14;8;2;32;15;4;26;5;29;10;3;29266
3;29266;27;3;11;13;9;1;16;25;7;22;31;6;24;23;21;18;20;30;17;28;19;12;14;8;2;32;15;4;26;5;29;10
27;3;11;13;9;1;16;25;7;22;31;6;24;23;21;18;20;30;17;28;19;12;14;10;2;32;15;4;26;5;29;8;3;28826
3;28826;27;3;11;13;9;1;16;25;7;22;31;6;24;23;21;18;20;30;17;28;19;12;14;10;2;32;15;4;26;5;29;8
27;3;11;13;9;1;16;30;7;22;31;6;24;23;21;18;20;25;17;28;19;12;14;10;2;32;15;4;26;5;29;8;3;29066
3;29066;27;3;11;13;9;1;16;30;7;22;31;6;24;23;21;18;20;25;17;28;19;12;14;10;2;32;15;4;26;5;29;8
27;3;11;13;9;2;16;30;7;22;31;6;24;23;21;18;20;25;17;28;19;12;14;10;1;32;15;4;26;5;29;8;3;28726
3;28726;27;3;11;13;9;2;16;30;7;22;31;6;24;23;21;18;20;25;17;28;19;12;14;10;1;32;15;4;26;5;29;8
13;3;11;27;9;2;16;30;7;22;31;6;24;23;21;18;20;25;17;28;19;12;14;10;1;32;15;4;26;5;29;8;3;28756
3;28756;13;3;11;27;9;2;16;30;7;22;31;6;24;23;21;18;20;25;17;28;19;12;14;10;1;32;15;4;26;5;29;8
13;3;11;27;9;2;16;8;7;22;31;6;24;23;21;18;20;25;17;28;19;12;14;10;1;32;15;4;26;5;29;30;3;28384
3;28384;13;3;11;27;9;2;16;8;7;22;31;6;24;23;21;18;20;25;17;28;19;12;14;10;1;32;15;4;26;5;29;30
13;3;11;27;9;2;16;8;7;22;4;6;24;23;21;18;20;25;17;28;19;12;14;10;1;32;15;31;26;5;29;30;3;27860
3;27860;13;3;11;27;9;2;16;8;7;22;4;6;24;23;21;18;20;25;17;28;19;12;14;10;1;32;15;31;26;5;29;30
13;3;11;27;9;2;16;8;7;22;4;6;24;23;21;30;20;25;17;28;19;12;14;10;1;32;15;31;26;5;29;18;3;28180
3;28180;13;3;11;27;9;2;16;8;7;22;4;6;24;23;21;30;20;25;17;28;19;12;14;10;1;32;15;31;26;5;29;18
13;3;11;27;9;2;16;8;7;22;4;6;24;30;21;23;20;25;17;28;19;12;14;10;1;32;15;31;26;5;29;18;3;27340
4;27340;13;3;11;27;9;2;16;8;7;22;4;6;24;30;21;23;20;25;17;28;19;12;14;10;1;32;15;31;26;5;29;18
13;3;11;27;1;2;16;8;7;22;4;6;24;30;21;23;20;25;17;28;19;12;14;10;9;32;15;31;26;5;29;18;4;27300
4;27300;13;3;11;27;1;2;16;8;7;22;4;6;24;30;21;23;20;25;17;28;19;12;14;10;9;32;15;31;26;5;29;18
7;3;11;27;1;2;16;8;13;22;4;6;24;30;21;23;20;25;17;28;19;12;14;10;9;32;15;31;26;5;29;18;4;26540
4;26540;7;3;11;27;1;2;16;8;13;22;4;6;24;30;21;23;20;25;17;28;19;12;14;10;9;32;15;31;26;5;29;18
7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;28;24;12;14;10;9;32;15;31;26;5;29;18;4;26660
4;26660;7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;28;24;12;14;10;9;32;15;31;26;5;29;18
7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;28;24;12;14;29;9;32;15;31;26;5;10;18;4;27112
4;26660;7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;28;24;12;14;10;9;32;15;31;26;5;29;18
7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;28;24;12;10;14;9;32;15;31;26;5;29;18;4;26560
4;26560;7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;28;24;12;10;14;9;32;15;31;26;5;29;18
7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;28;24;12;10;14;9;32;15;26;31;5;29;18;4;26560
4;26560;7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;28;24;12;10;14;9;32;15;26;31;5;29;18
7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;14;24;12;10;28;9;32;15;26;31;5;29;18;4;26512
4;26512;7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;14;24;12;10;28;9;32;15;26;31;5;29;18
7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;14;24;12;10;31;9;32;15;26;28;5;29;18;4;26472
4;26472;7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;14;24;12;10;31;9;32;15;26;28;5;29;18
7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;14;24;12;10;31;29;32;15;26;28;5;9;18;4;26024
4;26024;7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;17;14;24;12;10;31;29;32;15;26;28;5;9;18
7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;29;14;24;12;10;31;17;32;15;26;28;5;9;18;4;26384
4;26384;7;3;11;27;1;2;16;8;13;22;4;6;19;30;21;23;20;25;29;14;24;12;10;31;17;32;15;26;28;5;9;18
7;3;11;27;1;2;16;8;13;22;4;6;19;30;14;23;20;25;29;21;24;12;10;31;17;32;15;26;28;5;9;18;4;26750
4;26750;7;3;11;27;1;2;16;8;13;22;4;6;19;30;14;23;20;25;29;21;24;12;10;31;17;32;15;26;28;5;9;18
7;3;11;27;1;2;16;8;13;22;4;6;19;30;14;23;20;25;28;21;24;12;10;31;17;32;15;26;29;5;9;18;4;26950
4;26950;7;3;11;27;1;2;16;8;13;22;4;6;19;30;14;23;20;25;28;21;24;12;10;31;17;32;15;26;29;5;9;18
7;3;11;27;1;2;16;5;13;22;4;6;19;30;14;23;20;25;28;21;24;12;10;31;17;32;15;26;29;8;9;18;4;27070
4;27070;7;3;11;27;1;2;16;5;13;22;4;6;19;30;14;23;20;25;28;21;24;12;10;31;17;32;15;26;29;8;9;18
7;3;11;27;1;2;16;5;13;22;4;6;19;30;14;23;20;25;28;21;15;12;10;31;17;32;24;26;29;8;9;18;4;26464
4;26464;7;3;11;27;1;2;16;5;13;22;4;6;19;30;14;23;20;25;28;21;15;12;10;31;17;32;24;26;29;8;9;18
7;3;11;27;1;2;16;29;13;22;4;6;19;30;14;23;20;25;28;21;15;12;10;31;17;32;24;26;5;8;9;18;4;27374
4;27374;7;3;11;27;1;2;16;29;13;22;4;6;19;30;14;23;20;25;28;21;15;12;10;31;17;32;24;26;5;8;9;18
7;3;11;27;1;2;16;29;13;15;4;6;19;30;14;23;20;25;28;21;22;12;10;31;17;32;24;26;5;8;9;18;4;27606
4;27606;7;3;11;27;1;2;16;29;13;15;4;6;19;30;14;23;20;25;28;21;22;12;10;31;17;32;24;26;5;8;9;18
7;3;11;27;1;2;16;29;13;15;4;30;19;6;14;23;20;25;28;21;22;12;10;31;17;32;24;26;5;8;9;18;4;28834
4;28834;7;3;11;27;1;2;16;29;13;15;4;30;19;6;14;23;20;25;28;21;22;12;10;31;17;32;24;26;5;8;9;18
7;3;11;27;1;2;16;29;13;15;4;30;19;6;14;23;20;26;28;21;22;12;10;31;17;32;24;25;5;8;9;18;4;28734
4;28734;7;3;11;27;1;2;16;29;13;15;4;30;19;6;14;23;20;26;28;21;22;12;10;31;17;32;24;25;5;8;9;18
7;3;11;27;1;2;16;29;13;15;12;30;19;6;14;23;20;26;28;21;22;4;10;31;17;32;24;25;5;8;9;18;4;29014
4;29014;7;3;11;27;1;2;16;29;13;15;12;30;19;6;14;23;20;26;28;21;22;4;10;31;17;32;24;25;5;8;9;18
7;3;11;27;1;2;14;29;13;15;12;30;19;6;16;23;20;26;28;21;22;4;10;31;17;32;24;25;5;8;9;18;4;28534
5;28534;7;3;11;27;1;2;14;29;13;15;12;30;19;6;16;23;20;26;28;21;22;4;10;31;17;32;24;25;5;8;9;18
7;3;11;27;1;2;14;29;13;15;12;30;18;6;16;23;20;26;28;21;22;4;10;31;17;32;24;25;5;8;9;19;5;28294
5;28294;7;3;11;27;1;2;14;29;13;15;12;30;18;6;16;23;20;26;28;21;22;4;10;31;17;32;24;25;5;8;9;19
7;3;11;27;1;2;14;29;9;15;12;30;18;6;16;23;20;26;28;21;22;4;10;31;17;32;24;25;5;8;13;19;5;28114
5;28114;7;3;11;27;1;2;14;29;9;15;12;30;18;6;16;23;20;26;28;21;22;4;10;31;17;32;24;25;5;8;13;19
7;3;25;27;1;2;14;29;9;15;12;30;18;6;16;23;20;26;28;21;22;4;10;31;17;32;24;11;5;8;13;19;5;28456
5;28456;7;3;25;27;1;2;14;29;9;15;12;30;18;6;16;23;20;26;28;21;22;4;10;31;17;32;24;11;5;8;13;19
18;3;25;27;1;2;14;29;9;15;12;30;7;6;16;23;20;26;28;21;22;4;10;31;17;32;24;11;5;8;13;19;5;27692
5;27692;18;3;25;27;1;2;14;29;9;15;12;30;7;6;16;23;20;26;28;21;22;4;10;31;17;32;24;11;5;8;13;19
18;3;25;27;1;2;14;31;9;15;12;30;7;6;16;23;20;26;28;21;22;4;10;29;17;32;24;11;5;8;13;19;5;27252
5;27252;18;3;25;27;1;2;14;31;9;15;12;30;7;6;16;23;20;26;28;21;22;4;10;29;17;32;24;11;5;8;13;19
18;3;25;27;2;1;14;31;9;15;12;30;7;6;16;23;20;26;28;21;22;4;10;29;17;32;24;11;5;8;13;19;5;27132
5;27132;18;3;25;27;2;1;14;31;9;15;12;30;7;6;16;23;20;26;28;21;22;4;10;29;17;32;24;11;5;8;13;19
18;3;25;27;2;1;14;31;9;15;12;32;7;6;16;23;20;26;28;21;22;4;10;29;17;30;24;11;5;8;13;19;5;26812
5;26812;18;3;25;27;2;1;14;31;9;15;12;32;7;6;16;23;20;26;28;21;22;4;10;29;17;30;24;11;5;8;13;19
18;3;25;27;2;1;14;22;9;15;12;32;7;6;16;23;20;26;28;21;31;4;10;29;17;30;24;11;5;8;13;19;5;26912
5;26912;18;3;25;27;2;1;14;22;9;15;12;32;7;6;16;23;20;26;28;21;31;4;10;29;17;30;24;11;5;8;13;19
10;3;25;27;2;1;14;22;9;15;12;32;7;6;16;23;20;26;28;21;31;4;18;29;17;30;24;11;5;8;13;19;5;27126
5;27126;10;3;25;27;2;1;14;22;9;15;12;32;7;6;16;23;20;26;28;21;31;4;18;29;17;30;24;11;5;8;13;19
10;3;25;27;2;1;14;22;9;19;12;32;7;6;16;23;20;26;28;21;31;4;18;29;17;30;24;11;5;8;13;15;5;27588
5;27588;10;3;25;27;2;1;14;22;9;19;12;32;7;6;16;23;20;26;28;21;31;4;18;29;17;30;24;11;5;8;13;15
10;28;25;27;2;1;14;22;9;19;12;32;7;6;16;23;20;26;3;21;31;4;18;29;17;30;24;11;5;8;13;15;5;27246
5;27246;10;28;25;27;2;1;14;22;9;19;12;32;7;6;16;23;20;26;3;21;31;4;18;29;17;30;24;11;5;8;13;15
14;28;25;27;2;1;10;22;9;19;12;32;7;6;16;23;20;26;3;21;31;4;18;29;17;30;24;11;5;8;13;15;5;27066
5;27066;14;28;25;27;2;1;10;22;9;19;12;32;7;6;16;23;20;26;3;21;31;4;18;29;17;30;24;11;5;8;13;15
14;28;25;27;2;1;7;22;9;19;12;32;10;6;16;23;20;26;3;21;31;4;18;29;17;30;24;11;5;8;13;15;5;27106
5;27106;14;28;25;27;2;1;7;22;9;19;12;32;10;6;16;23;20;26;3;21;31;4;18;29;17;30;24;11;5;8;13;15
21;28;25;27;2;1;7;22;9;19;12;32;10;6;16;23;20;26;3;14;31;4;18;29;17;30;24;11;5;8;13;15;5;26914
5;26914;21;28;25;27;2;1;7;22;9;19;12;32;10;6;16;23;20;26;3;14;31;4;18;29;17;30;24;11;5;8;13;15
21;28;25;20;2;1;7;22;9;19;12;32;10;6;16;23;27;26;3;14;31;4;18;29;17;30;24;11;5;8;13;15;5;26654
5;26654;21;28;25;20;2;1;7;22;9;19;12;32;10;6;16;23;27;26;3;14;31;4;18;29;17;30;24;11;5;8;13;15
21;28;10;20;2;1;7;22;9;19;12;32;25;6;16;23;27;26;3;14;31;4;18;29;17;30;24;11;5;8;13;15;5;27628
5;27628;21;28;10;20;2;1;7;22;9;19;12;32;25;6;16;23;27;26;3;14;31;4;18;29;17;30;24;11;5;8;13;15
21;28;10;20;2;1;7;22;9;19;12;32;25;6;16;23;27;26;3;8;31;4;18;29;17;30;24;11;5;14;13;15;5;27228
5;27228;21;28;10;20;2;1;7;22;9;19;12;32;25;6;16;23;27;26;3;8;31;4;18;29;17;30;24;11;5;14;13;15
21;28;10;20;2;1;7;22;9;19;12;32;13;6;16;23;27;26;3;8;31;4;18;29;17;30;24;11;5;14;25;15;5;27196
5;27196;21;28;10;20;2;1;7;22;9;19;12;32;13;6;16;23;27;26;3;8;31;4;18;29;17;30;24;11;5;14;25;15
12;28;10;20;2;1;7;22;9;19;21;32;13;6;16;23;27;26;3;8;31;4;18;29;17;30;24;11;5;14;25;15;5;27500
