"X1";"X278";"X48";"X43";"X2";"X45";"X41";"X46";"X17";"X61";"X10";"X20";"X58";"X38";"X11";"X31";"X37";"X15";"X1.1";"X51";"X32";"X49";"X24";"X23";"X39";"X22";"X28";"X13";"X35";"X50";"X9";"X26";"X40";"X25";"X21";"X30";"X14";"X27";"X57";"X54";"X19";"X62";"X18";"X8";"X7";"X60";"X3";"X34";"X33";"X52";"X16";"X44";"X64";"X4";"X36";"X47";"X59";"X42";"X6";"X29";"X56";"X12";"X53";"X5";"X63";"X55"
3;246;23;55;58;45;13;52;53;48;17;26;2;24;14;27;25;49;4;51;28;59;15;61;39;20;31;41;35;43;38;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;9;12;30;57;19;50
23;55;58;45;13;52;53;48;17;26;2;24;14;27;25;49;4;51;28;59;15;61;35;20;31;41;39;43;38;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;9;12;30;57;19;50;3;242
3;242;23;55;58;45;13;52;53;48;17;26;2;24;14;27;25;49;4;51;28;59;15;61;35;20;31;41;39;43;38;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;11;1;22;40;5;16;9;12;30;57;19;50
23;55;58;45;13;52;53;48;17;26;2;24;14;27;25;49;4;51;28;59;15;61;35;20;31;41;39;43;38;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;30;1;22;40;5;16;9;12;11;57;19;50;3;242
3;242;23;55;58;45;13;52;53;48;17;26;2;24;14;27;25;49;4;51;28;59;15;61;35;20;31;41;39;43;38;32;42;36;21;6;56;7;46;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;30;1;22;40;5;16;9;12;11;57;19;50
23;55;58;45;13;52;53;48;17;26;2;24;14;27;25;49;4;51;28;59;15;61;35;20;46;41;39;43;38;32;42;36;21;6;56;7;31;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;30;1;22;40;5;16;9;12;11;57;19;50;3;242
3;242;23;55;58;45;13;52;53;48;17;26;2;24;14;27;25;49;4;51;28;59;15;61;35;20;46;41;39;43;38;32;42;36;21;6;56;7;31;54;63;62;18;8;10;60;29;34;33;37;3;44;64;47;30;1;22;40;5;16;9;12;11;57;19;50
23;55;58;45;13;52;53;48;17;26;2;24;14;27;25;49;4;51;28;59;15;61;35;47;46;41;39;43;38;32;42;36;21;6;56;7;31;54;63;62;18;8;10;60;29;34;33;37;3;44;64;20;30;1;22;40;5;16;9;12;11;57;19;50;3;242
3;242;23;55;58;45;13;52;53;48;17;26;2;24;14;27;25;49;4;51;28;59;15;61;35;47;46;41;39;43;38;32;42;36;21;6;56;7;31;54;63;62;18;8;10;60;29;34;33;37;3;44;64;20;30;1;22;40;5;16;9;12;11;57;19;50
23;55;58;28;13;52;53;48;17;26;2;24;14;27;25;49;4;51;45;59;15;61;35;47;46;41;39;43;38;32;42;36;21;6;56;7;31;54;63;62;18;8;10;60;29;34;33;37;3;44;64;20;30;1;22;40;5;16;9;12;11;57;19;50;3;266
3;266;23;55;58;28;13;52;53;48;17;26;2;24;14;27;25;49;4;51;45;59;15;61;35;47;46;41;39;43;38;32;42;36;21;6;56;7;31;54;63;62;18;8;10;60;29;34;33;37;3;44;64;20;30;1;22;40;5;16;9;12;11;57;19;50
23;55;58;28;13;52;53;48;17;26;2;24;14;27;25;49;4;51;45;59;15;61;35;47;46;41;39;43;38;32;42;36;21;6;56;7;31;54;63;62;18;8;10;60;29;34;57;37;3;44;64;20;30;1;22;40;5;16;9;12;11;33;19;50;3;266
3;266;23;55;58;28;13;52;53;48;17;26;2;24;14;27;25;49;4;51;45;59;15;61;35;47;46;41;39;43;38;32;42;36;21;6;56;7;31;54;63;62;18;8;10;60;29;34;57;37;3;44;64;20;30;1;22;40;5;16;9;12;11;33;19;50
26;55;58;28;13;52;53;48;17;23;2;24;14;27;25;49;4;51;45;59;15;61;35;47;46;41;39;43;38;32;42;36;21;6;56;7;31;54;63;62;18;8;10;60;29;34;57;37;3;44;64;20;30;1;22;40;5;16;9;12;11;33;19;50;3;282
3;282;26;55;58;28;13;52;53;48;17;23;2;24;14;27;25;49;4;51;45;59;15;61;35;47;46;41;39;43;38;32;42;36;21;6;56;7;31;54;63;62;18;8;10;60;29;34;57;37;3;44;64;20;30;1;22;40;5;16;9;12;11;33;19;50
26;55;58;28;13;52;53;48;17;23;2;24;14;27;25;49;4;51;45;59;15;61;35;47;46;41;39;43;38;32;42;36;3;6;56;7;31;54;63;62;18;8;10;60;29;34;57;37;21;44;64;20;30;1;22;40;5;16;9;12;11;33;19;50;3;284
