"X1";"X304";"X47";"X9";"X51";"X42";"X54";"X35";"X28";"X5";"X43";"X16";"X60";"X24";"X55";"X63";"X12";"X62";"X46";"X37";"X13";"X1.1";"X20";"X38";"X7";"X44";"X34";"X53";"X4";"X11";"X61";"X52";"X32";"X41";"X50";"X58";"X8";"X30";"X33";"X48";"X45";"X64";"X49";"X57";"X18";"X29";"X10";"X17";"X27";"X6";"X2";"X40";"X15";"X56";"X39";"X21";"X3";"X36";"X59";"X23";"X19";"X25";"X22";"X31";"X26";"X14"
47;9;60;36;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;24;61;1;4;52;32;41;31;58;48;20;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;25;64;16;49;43;50;26;14;2;258
2;258;47;9;60;36;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;24;61;1;4;52;32;41;31;58;48;20;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;25;64;16;49;43;50;26;14
47;9;60;36;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;48;24;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;25;64;16;49;43;50;26;14;2;258
2;258;47;9;60;36;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;48;24;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;25;64;16;49;43;50;26;14
47;9;60;3;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;48;24;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;36;42;25;64;16;49;43;50;26;14;2;254
2;254;47;9;60;3;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;48;24;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;36;42;25;64;16;49;43;50;26;14
47;9;60;3;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;48;24;33;17;45;19;59;57;18;10;39;8;13;6;2;62;54;56;29;21;36;42;25;64;16;49;43;50;26;14;2;274
2;274;47;9;60;3;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;48;24;33;17;45;19;59;57;18;10;39;8;13;6;2;62;54;56;29;21;36;42;25;64;16;49;43;50;26;14
47;9;60;6;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;48;24;33;17;45;19;59;57;18;10;39;8;13;3;2;62;54;56;29;21;36;42;25;64;16;49;43;50;26;14;2;270
2;270;47;9;60;6;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;48;24;33;17;45;19;59;57;18;10;39;8;13;3;2;62;54;56;29;21;36;42;25;64;16;49;43;50;26;14
47;9;60;6;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;54;24;33;17;45;19;59;57;18;10;39;8;13;3;2;62;48;56;29;21;36;42;25;64;16;49;43;50;26;14;2;272
2;272;47;9;60;6;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;54;24;33;17;45;19;59;57;18;10;39;8;13;3;2;62;48;56;29;21;36;42;25;64;16;49;43;50;26;14
47;9;60;6;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;54;24;33;17;45;19;26;57;18;10;39;8;13;3;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14;2;272
2;272;47;9;60;6;15;63;28;5;11;23;46;53;55;35;12;40;51;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;54;24;33;17;45;19;26;57;18;10;39;8;13;3;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14
47;9;60;51;15;63;28;5;11;23;46;53;55;35;12;40;6;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;54;24;33;17;45;19;26;57;18;10;39;8;13;3;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14;2;272
2;272;47;9;60;51;15;63;28;5;11;23;46;53;55;35;12;40;6;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;54;24;33;17;45;19;26;57;18;10;39;8;13;3;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14
47;9;60;51;15;63;28;3;11;23;46;53;55;35;12;40;6;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;54;24;33;17;45;19;26;57;18;10;39;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14;2;268
2;268;47;9;60;51;15;63;28;3;11;23;46;53;55;35;12;40;6;37;27;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;54;24;33;17;45;19;26;57;18;10;39;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14
47;9;60;51;27;63;28;3;11;23;46;53;55;35;12;40;6;37;15;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;54;24;33;17;45;19;26;57;18;10;39;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14;2;256
2;256;47;9;60;51;27;63;28;3;11;23;46;53;55;35;12;40;6;37;15;30;22;38;7;44;34;20;61;1;4;52;32;41;31;58;54;24;33;17;45;19;26;57;18;10;39;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14
47;9;60;51;27;63;28;3;11;23;46;53;55;35;12;40;6;37;15;30;22;38;7;44;34;20;61;54;4;52;32;41;31;58;1;24;33;17;45;19;26;57;18;10;39;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14;2;256
2;256;47;9;60;51;27;63;28;3;11;23;46;53;55;35;12;40;6;37;15;30;22;38;7;44;34;20;61;54;4;52;32;41;31;58;1;24;33;17;45;19;26;57;18;10;39;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14
47;9;60;51;27;63;28;3;11;23;46;53;55;35;12;40;6;37;15;30;22;38;7;44;34;20;61;54;4;52;39;41;31;58;1;24;33;17;45;19;26;57;18;10;32;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14;2;256
2;256;47;9;60;51;27;63;28;3;11;23;46;53;55;35;12;40;6;37;15;30;22;38;7;44;34;20;61;54;4;52;39;41;31;58;1;24;33;17;45;19;26;57;18;10;32;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14
47;9;60;51;27;63;28;3;11;23;46;53;55;35;12;40;6;37;15;30;22;38;7;44;34;20;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;10;19;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14;2;256
2;256;47;9;60;51;27;63;28;3;11;23;46;53;55;35;12;40;6;37;15;30;22;38;7;44;34;20;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;10;19;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14
47;9;60;51;27;63;28;3;20;23;46;53;55;35;12;40;6;37;15;30;22;38;7;44;34;11;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;10;19;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14;2;256
2;256;47;9;60;51;27;63;28;3;20;23;46;53;55;35;12;40;6;37;15;30;22;38;7;44;34;11;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;10;19;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14
47;9;60;51;27;63;28;3;20;23;46;53;55;35;12;30;6;37;15;40;22;38;7;44;34;11;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;10;19;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14;2;256
3;256;47;9;60;51;27;63;28;3;20;23;46;53;55;35;12;30;6;37;15;40;22;38;7;44;34;11;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;10;19;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;59;14
47;9;60;51;27;63;28;3;20;23;46;53;55;35;12;30;6;37;15;40;22;38;7;44;34;11;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;59;19;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;10;14;3;260
3;260;47;9;60;51;27;63;28;3;20;23;46;53;55;35;12;30;6;37;15;40;22;38;7;44;34;11;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;59;19;8;13;5;2;62;48;56;29;21;36;42;25;64;16;49;43;50;10;14
47;9;60;51;27;63;28;3;20;23;46;53;55;35;12;30;6;37;15;40;22;38;7;44;34;11;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;59;19;8;13;5;2;62;48;56;29;21;42;36;25;64;16;49;43;50;10;14;3;260
3;260;47;9;60;51;27;63;28;3;20;23;46;53;55;35;12;30;6;37;15;40;22;38;7;44;34;11;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;59;19;8;13;5;2;62;48;56;29;21;42;36;25;64;16;49;43;50;10;14
47;9;60;51;27;63;28;3;20;23;46;53;55;35;12;30;6;37;15;40;22;38;7;44;34;11;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;59;19;43;13;5;2;62;48;56;29;21;42;36;25;64;16;49;8;50;10;14;3;252
3;252;47;9;60;51;27;63;28;3;20;23;46;53;55;35;12;30;6;37;15;40;22;38;7;44;34;11;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;59;19;43;13;5;2;62;48;56;29;21;42;36;25;64;16;49;8;50;10;14
47;9;60;51;27;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;22;38;7;44;34;11;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;59;19;43;13;5;12;62;48;56;29;21;42;36;25;64;16;49;8;50;10;14;3;260
3;260;47;9;60;51;27;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;22;38;7;44;34;11;61;54;4;52;39;41;31;58;1;24;33;17;45;32;26;57;18;59;19;43;13;5;12;62;48;56;29;21;42;36;25;64;16;49;8;50;10;14
47;9;60;51;58;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;22;38;7;44;34;11;61;54;4;52;39;41;31;27;1;24;33;17;45;32;26;57;18;59;19;43;13;5;12;62;48;56;29;21;42;36;25;64;16;49;8;50;10;14;3;260
3;260;47;9;60;51;58;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;22;38;7;44;34;11;61;54;4;52;39;41;31;27;1;24;33;17;45;32;26;57;18;59;19;43;13;5;12;62;48;56;29;21;42;36;25;64;16;49;8;50;10;14
47;9;60;51;58;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;42;38;7;44;34;11;61;54;4;52;39;41;31;27;1;24;33;17;45;32;26;57;18;59;19;43;13;5;12;62;48;56;29;21;22;36;25;64;16;49;8;50;10;14;3;260
3;260;47;9;60;51;58;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;42;38;7;44;34;11;61;54;4;52;39;41;31;27;1;24;33;17;45;32;26;57;18;59;19;43;13;5;12;62;48;56;29;21;22;36;25;64;16;49;8;50;10;14
47;9;60;51;58;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;42;38;7;44;34;11;61;54;4;52;39;41;31;27;1;24;33;17;8;32;26;57;18;59;19;43;13;5;12;62;48;56;29;21;22;36;25;64;16;49;45;50;10;14;3;284
3;284;47;9;60;51;58;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;42;38;7;44;34;11;61;54;4;52;39;41;31;27;1;24;33;17;8;32;26;57;18;59;19;43;13;5;12;62;48;56;29;21;22;36;25;64;16;49;45;50;10;14
47;9;49;51;58;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;42;38;7;44;34;11;61;54;4;52;39;41;31;27;1;24;33;17;8;32;26;57;18;59;19;43;13;5;12;62;48;56;29;21;22;36;25;64;16;60;45;50;10;14;3;286
3;286;47;9;49;51;58;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;42;38;7;44;34;11;61;54;4;52;39;41;31;27;1;24;33;17;8;32;26;57;18;59;19;43;13;5;12;62;48;56;29;21;22;36;25;64;16;60;45;50;10;14
47;9;49;51;58;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;42;38;7;44;34;11;61;54;4;52;39;41;31;27;1;24;33;17;8;59;26;57;18;32;19;43;13;5;12;62;48;56;29;21;22;36;25;64;16;60;45;50;10;14;3;294
3;294;47;9;49;51;58;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;42;38;7;44;34;11;61;54;4;52;39;41;31;27;1;24;33;17;8;59;26;57;18;32;19;43;13;5;12;62;48;56;29;21;22;36;25;64;16;60;45;50;10;14
47;9;49;51;58;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;42;38;7;44;34;11;61;8;4;52;39;41;31;27;1;24;33;17;54;59;26;57;18;32;19;43;13;5;12;62;48;56;29;21;22;36;25;64;16;60;45;50;10;14;3;280
3;280;47;9;49;51;58;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;42;38;7;44;34;11;61;8;4;52;39;41;31;27;1;24;33;17;54;59;26;57;18;32;19;43;13;5;12;62;48;56;29;21;22;36;25;64;16;60;45;50;10;14
47;9;49;51;58;63;28;3;20;23;46;53;55;35;2;30;6;37;15;40;42;38;7;44;34;11;61;8;4;52;39;41;31;27;1;24;33;25;54;59;26;57;18;32;19;43;13;5;12;62;48;56;29;21;22;36;17;64;16;60;45;50;10;14;3;280
