"X1";"X26024";"X11";"X6";"X32";"X26";"X25";"X20";"X2";"X13";"X4";"X21";"X27";"X31";"X9";"X5";"X29";"X3";"X7";"X14";"X15";"X24";"X18";"X8";"X1.1";"X23";"X10";"X30";"X28";"X12";"X19";"X17";"X22";"X16"
11;6;1;26;25;20;2;13;28;21;27;16;7;29;5;17;9;14;24;31;18;8;32;23;10;30;4;12;19;3;22;15;1;27208
1;27208;11;6;1;26;25;20;2;13;28;21;27;16;7;29;5;17;9;14;24;31;18;8;32;23;10;30;4;12;19;3;22;15
11;6;1;26;25;20;2;13;28;21;27;30;7;29;5;17;9;14;24;31;18;8;32;23;10;16;4;12;19;3;22;15;1;27840
1;27840;11;6;1;26;25;20;2;13;28;21;27;30;7;29;5;17;9;14;24;31;18;8;32;23;10;16;4;12;19;3;22;15
11;6;1;26;18;20;2;13;28;21;27;30;7;29;5;17;9;14;24;31;25;8;32;23;10;16;4;12;19;3;22;15;1;28360
1;28360;11;6;1;26;18;20;2;13;28;21;27;30;7;29;5;17;9;14;24;31;25;8;32;23;10;16;4;12;19;3;22;15
11;6;1;26;18;20;2;13;28;21;27;30;7;29;5;17;9;14;24;31;25;8;32;23;10;16;4;12;15;3;22;19;1;28762
1;28762;11;6;1;26;18;20;2;13;28;21;27;30;7;29;5;17;9;14;24;31;25;8;32;23;10;16;4;12;15;3;22;19
11;6;1;26;18;20;2;13;28;21;27;30;7;29;5;17;9;14;24;23;25;8;32;31;10;16;4;12;15;3;22;19;1;28482
1;28482;11;6;1;26;18;20;2;13;28;21;27;30;7;29;5;17;9;14;24;23;25;8;32;31;10;16;4;12;15;3;22;19
11;5;1;26;18;20;2;13;28;21;27;30;7;29;6;17;9;14;24;23;25;8;32;31;10;16;4;12;15;3;22;19;1;28522
1;28522;11;5;1;26;18;20;2;13;28;21;27;30;7;29;6;17;9;14;24;23;25;8;32;31;10;16;4;12;15;3;22;19
11;5;1;3;18;20;2;13;28;21;27;30;7;29;6;17;9;14;24;23;25;8;32;31;10;16;4;12;15;26;22;19;1;28564
1;28564;11;5;1;3;18;20;2;13;28;21;27;30;7;29;6;17;9;14;24;23;25;8;32;31;10;16;4;12;15;26;22;19
8;5;1;3;18;20;2;13;28;21;27;30;7;29;6;17;9;14;24;23;25;11;32;31;10;16;4;12;15;26;22;19;1;28684
1;28684;8;5;1;3;18;20;2;13;28;21;27;30;7;29;6;17;9;14;24;23;25;11;32;31;10;16;4;12;15;26;22;19
8;5;1;3;24;20;2;13;28;21;27;30;7;29;6;17;9;14;18;23;25;11;32;31;10;16;4;12;15;26;22;19;1;28944
1;28944;8;5;1;3;24;20;2;13;28;21;27;30;7;29;6;17;9;14;18;23;25;11;32;31;10;16;4;12;15;26;22;19
8;5;1;3;24;20;2;13;28;21;27;30;7;29;6;17;9;14;18;23;12;11;32;31;10;16;4;25;15;26;22;19;1;28202
1;28202;8;5;1;3;24;20;2;13;28;21;27;30;7;29;6;17;9;14;18;23;12;11;32;31;10;16;4;25;15;26;22;19
8;5;1;3;24;6;2;13;28;21;27;30;7;29;20;17;9;14;18;23;12;11;32;31;10;16;4;25;15;26;22;19;1;28146
1;28146;8;5;1;3;24;6;2;13;28;21;27;30;7;29;20;17;9;14;18;23;12;11;32;31;10;16;4;25;15;26;22;19
8;7;1;3;24;6;2;13;28;21;27;30;5;29;20;17;9;14;18;23;12;11;32;31;10;16;4;25;15;26;22;19;1;27666
1;27666;8;7;1;3;24;6;2;13;28;21;27;30;5;29;20;17;9;14;18;23;12;11;32;31;10;16;4;25;15;26;22;19
8;7;1;3;24;27;2;13;28;21;6;30;5;29;20;17;9;14;18;23;12;11;32;31;10;16;4;25;15;26;22;19;1;26800
2;26800;8;7;1;3;24;27;2;13;28;21;6;30;5;29;20;17;9;14;18;23;12;11;32;31;10;16;4;25;15;26;22;19
8;7;1;3;24;27;2;13;28;21;6;30;9;29;20;17;5;14;18;23;12;11;32;31;10;16;4;25;15;26;22;19;2;26480
2;26480;8;7;1;3;24;27;2;13;28;21;6;30;9;29;20;17;5;14;18;23;12;11;32;31;10;16;4;25;15;26;22;19
8;7;1;3;24;27;2;13;28;6;21;30;9;29;20;17;5;14;18;23;12;11;32;31;10;16;4;25;15;26;22;19;2;27350
2;27350;8;7;1;3;24;27;2;13;28;6;21;30;9;29;20;17;5;14;18;23;12;11;32;31;10;16;4;25;15;26;22;19
8;7;1;3;24;27;2;13;28;6;21;30;9;29;20;17;5;14;18;23;16;11;32;31;10;12;4;25;15;26;22;19;2;26930
2;26930;8;7;1;3;24;27;2;13;28;6;21;30;9;29;20;17;5;14;18;23;16;11;32;31;10;12;4;25;15;26;22;19
8;7;1;3;24;27;2;13;28;6;21;15;9;29;20;17;5;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19;2;26592
2;26592;8;7;1;3;24;27;2;13;28;6;21;15;9;29;20;17;5;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19
8;2;1;3;24;27;7;13;28;6;21;15;9;29;20;17;5;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19;2;26512
2;26512;8;2;1;3;24;27;7;13;28;6;21;15;9;29;20;17;5;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19
8;2;5;3;24;27;7;13;28;6;21;15;9;29;20;17;1;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19;2;26612
2;26612;8;2;5;3;24;27;7;13;28;6;21;15;9;29;20;17;1;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19
8;2;5;3;24;27;13;7;28;6;21;15;9;29;20;17;1;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19;2;27012
2;27012;8;2;5;3;24;27;13;7;28;6;21;15;9;29;20;17;1;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19
8;2;5;3;24;27;1;7;28;6;21;15;9;29;20;17;13;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19;2;27152
2;27152;8;2;5;3;24;27;1;7;28;6;21;15;9;29;20;17;13;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19
24;2;5;3;8;27;1;7;28;6;21;15;9;29;20;17;13;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19;2;27014
2;27014;24;2;5;3;8;27;1;7;28;6;21;15;9;29;20;17;13;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19
24;2;5;7;8;27;1;3;28;6;21;15;9;29;20;17;13;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19;2;26874
2;26874;24;2;5;7;8;27;1;3;28;6;21;15;9;29;20;17;13;14;18;23;16;11;32;31;10;12;4;25;30;26;22;19
24;2;5;7;8;27;1;3;28;10;21;15;9;29;20;17;13;14;18;23;16;11;32;31;6;12;4;25;30;26;22;19;2;26974
2;26974;24;2;5;7;8;27;1;3;28;10;21;15;9;29;20;17;13;14;18;23;16;11;32;31;6;12;4;25;30;26;22;19
24;2;5;7;8;27;1;14;28;10;21;15;9;29;20;17;13;3;18;23;16;11;32;31;6;12;4;25;30;26;22;19;2;27374
2;27374;24;2;5;7;8;27;1;14;28;10;21;15;9;29;20;17;13;3;18;23;16;11;32;31;6;12;4;25;30;26;22;19
24;2;5;7;8;27;1;14;21;10;28;15;9;29;20;17;13;3;18;23;16;11;32;31;6;12;4;25;30;26;22;19;2;27134
2;27134;24;2;5;7;8;27;1;14;21;10;28;15;9;29;20;17;13;3;18;23;16;11;32;31;6;12;4;25;30;26;22;19
24;2;5;7;8;27;1;14;21;10;22;15;9;29;20;17;13;3;18;23;16;11;32;31;6;12;4;25;30;26;28;19;2;26774
2;26774;24;2;5;7;8;27;1;14;21;10;22;15;9;29;20;17;13;3;18;23;16;11;32;31;6;12;4;25;30;26;28;19
24;2;5;27;8;7;1;14;21;10;22;15;9;29;20;17;13;3;18;23;16;11;32;31;6;12;4;25;30;26;28;19;2;26854
2;26854;24;2;5;27;8;7;1;14;21;10;22;15;9;29;20;17;13;3;18;23;16;11;32;31;6;12;4;25;30;26;28;19
24;2;5;27;8;7;1;14;21;10;22;15;9;29;20;17;13;3;18;23;16;32;11;31;6;12;4;25;30;26;28;19;2;27386
2;27386;24;2;5;27;8;7;1;14;21;10;22;15;9;29;20;17;13;3;18;23;16;32;11;31;6;12;4;25;30;26;28;19
24;2;5;27;8;7;1;14;21;10;22;15;30;29;20;17;13;3;18;23;16;32;11;31;6;12;4;25;9;26;28;19;2;27692
2;27692;24;2;5;27;8;7;1;14;21;10;22;15;30;29;20;17;13;3;18;23;16;32;11;31;6;12;4;25;9;26;28;19
24;3;5;27;8;7;1;14;21;10;22;15;30;29;20;17;13;2;18;23;16;32;11;31;6;12;4;25;9;26;28;19;2;27532
2;27532;24;3;5;27;8;7;1;14;21;10;22;15;30;29;20;17;13;2;18;23;16;32;11;31;6;12;4;25;9;26;28;19
24;3;23;27;8;7;1;14;21;10;22;15;30;29;20;17;13;2;18;5;16;32;11;31;6;12;4;25;9;26;28;19;2;26742
2;26742;24;3;23;27;8;7;1;14;21;10;22;15;30;29;20;17;13;2;18;5;16;32;11;31;6;12;4;25;9;26;28;19
24;3;23;27;8;7;1;14;20;10;22;15;30;29;21;17;13;2;18;5;16;32;11;31;6;12;4;25;9;26;28;19;2;27382
3;27382;24;3;23;27;8;7;1;14;20;10;22;15;30;29;21;17;13;2;18;5;16;32;11;31;6;12;4;25;9;26;28;19
24;3;23;27;8;7;1;32;20;10;22;15;30;29;21;17;13;2;18;5;16;14;11;31;6;12;4;25;9;26;28;19;3;28008
3;28008;24;3;23;27;8;7;1;32;20;10;22;15;30;29;21;17;13;2;18;5;16;14;11;31;6;12;4;25;9;26;28;19
24;3;23;27;8;7;19;32;20;10;22;15;30;29;21;17;13;2;18;5;16;14;11;31;6;12;4;25;9;26;28;1;3;27230
3;27230;24;3;23;27;8;7;19;32;20;10;22;15;30;29;21;17;13;2;18;5;16;14;11;31;6;12;4;25;9;26;28;1
24;3;23;27;8;7;19;32;20;10;22;15;30;29;21;17;2;13;18;5;16;14;11;31;6;12;4;25;9;26;28;1;3;26350
3;26350;24;3;23;27;8;7;19;32;20;10;22;15;30;29;21;17;2;13;18;5;16;14;11;31;6;12;4;25;9;26;28;1
24;3;23;17;8;7;19;32;20;10;22;15;30;29;21;27;2;13;18;5;16;14;11;31;6;12;4;25;9;26;28;1;3;26110
3;26110;24;3;23;17;8;7;19;32;20;10;22;15;30;29;21;27;2;13;18;5;16;14;11;31;6;12;4;25;9;26;28;1
24;11;23;17;8;7;19;32;20;10;22;15;30;29;21;27;2;13;18;5;16;14;3;31;6;12;4;25;9;26;28;1;3;26310
3;26310;24;11;23;17;8;7;19;32;20;10;22;15;30;29;21;27;2;13;18;5;16;14;3;31;6;12;4;25;9;26;28;1
24;11;23;22;8;7;19;32;20;10;17;15;30;29;21;27;2;13;18;5;16;14;3;31;6;12;4;25;9;26;28;1;3;26470
3;26310;24;11;23;17;8;7;19;32;20;10;22;15;30;29;21;27;2;13;18;5;16;14;3;31;6;12;4;25;9;26;28;1
24;11;23;17;8;7;19;32;20;10;22;15;30;29;21;27;2;13;18;5;16;25;3;31;6;12;4;14;9;26;28;1;3;26224
3;26224;24;11;23;17;8;7;19;32;20;10;22;15;30;29;21;27;2;13;18;5;16;25;3;31;6;12;4;14;9;26;28;1
24;28;23;17;8;7;19;32;20;10;22;15;30;29;21;27;2;13;18;5;16;25;3;31;6;12;4;14;9;26;11;1;3;26294
3;26294;24;28;23;17;8;7;19;32;20;10;22;15;30;29;21;27;2;13;18;5;16;25;3;31;6;12;4;14;9;26;11;1
24;28;23;17;8;7;19;32;20;27;22;15;30;29;21;10;2;13;18;5;16;25;3;31;6;12;4;14;9;26;11;1;3;27072
3;26294;24;28;23;17;8;7;19;32;20;10;22;15;30;29;21;27;2;13;18;5;16;25;3;31;6;12;4;14;9;26;11;1
24;28;23;17;8;7;19;20;32;10;22;15;30;29;21;27;2;13;18;5;16;25;3;31;6;12;4;14;9;26;11;1;3;26074
3;26074;24;28;23;17;8;7;19;20;32;10;22;15;30;29;21;27;2;13;18;5;16;25;3;31;6;12;4;14;9;26;11;1
24;16;23;17;8;7;19;20;32;10;22;15;30;29;21;27;2;13;18;5;28;25;3;31;6;12;4;14;9;26;11;1;3;26538
3;26538;24;16;23;17;8;7;19;20;32;10;22;15;30;29;21;27;2;13;18;5;28;25;3;31;6;12;4;14;9;26;11;1
24;16;23;17;8;30;19;20;32;10;22;15;7;29;21;27;2;13;18;5;28;25;3;31;6;12;4;14;9;26;11;1;3;27548
3;27548;24;16;23;17;8;30;19;20;32;10;22;15;7;29;21;27;2;13;18;5;28;25;3;31;6;12;4;14;9;26;11;1
24;16;23;17;8;7;19;20;32;10;22;15;30;29;21;27;2;13;18;5;28;25;3;31;6;12;4;14;9;26;11;1;3;26538
3;26538;24;16;23;17;8;7;19;20;32;10;22;15;30;29;21;27;2;13;18;5;28;25;3;31;6;12;4;14;9;26;11;1
24;16;23;17;8;7;19;20;32;10;11;15;30;29;21;27;2;13;18;5;28;25;3;31;6;12;4;14;9;26;22;1;3;26574
3;26574;24;16;23;17;8;7;19;20;32;10;11;15;30;29;21;27;2;13;18;5;28;25;3;31;6;12;4;14;9;26;22;1
24;16;23;17;8;7;19;20;32;10;11;15;30;29;21;27;2;13;18;5;28;25;3;4;6;12;31;14;9;26;22;1;3;26242
3;26242;24;16;23;17;8;7;19;20;32;10;11;15;30;29;21;27;2;13;18;5;28;25;3;4;6;12;31;14;9;26;22;1
24;16;23;17;8;7;19;20;32;10;11;15;30;29;21;27;2;13;22;5;28;25;3;4;6;12;31;14;9;26;18;1;3;26202
3;26202;24;16;23;17;8;7;19;20;32;10;11;15;30;29;21;27;2;13;22;5;28;25;3;4;6;12;31;14;9;26;18;1
24;16;23;17;8;7;19;20;32;10;11;15;30;29;21;27;2;13;22;5;1;25;3;4;6;12;31;14;9;26;18;28;3;26136
3;26136;24;16;23;17;8;7;19;20;32;10;11;15;30;29;21;27;2;13;22;5;1;25;3;4;6;12;31;14;9;26;18;28
24;16;23;17;8;7;19;20;32;10;11;15;30;29;21;27;2;26;22;5;1;25;3;4;6;12;31;14;9;13;18;28;3;25734
3;25734;24;16;23;17;8;7;19;20;32;10;11;15;30;29;21;27;2;26;22;5;1;25;3;4;6;12;31;14;9;13;18;28
24;16;23;17;27;7;19;20;32;10;11;15;30;29;21;8;2;26;22;5;1;25;3;4;6;12;31;14;9;13;18;28;3;26400
3;26400;24;16;23;17;27;7;19;20;32;10;11;15;30;29;21;8;2;26;22;5;1;25;3;4;6;12;31;14;9;13;18;28
24;16;23;17;27;7;19;20;32;10;11;15;30;29;2;8;21;26;22;5;1;25;3;4;6;12;31;14;9;13;18;28;3;26226
4;26226;24;16;23;17;27;7;19;20;32;10;11;15;30;29;2;8;21;26;22;5;1;25;3;4;6;12;31;14;9;13;18;28
24;16;23;17;27;7;11;20;32;10;19;15;30;29;2;8;21;26;22;5;1;25;3;4;6;12;31;14;9;13;18;28;4;26564
4;26564;24;16;23;17;27;7;11;20;32;10;19;15;30;29;2;8;21;26;22;5;1;25;3;4;6;12;31;14;9;13;18;28
24;16;1;17;27;7;11;20;32;10;19;15;30;29;2;8;21;26;22;5;23;25;3;4;6;12;31;14;9;13;18;28;4;26964
4;26964;24;16;1;17;27;7;11;20;32;10;19;15;30;29;2;8;21;26;22;5;23;25;3;4;6;12;31;14;9;13;18;28
24;16;1;17;27;7;11;20;32;26;19;15;30;29;2;8;21;10;22;5;23;25;3;4;6;12;31;14;9;13;18;28;4;27424
4;27424;24;16;1;17;27;7;11;20;32;26;19;15;30;29;2;8;21;10;22;5;23;25;3;4;6;12;31;14;9;13;18;28
24;18;1;17;27;7;11;20;32;26;19;15;30;29;2;8;21;10;22;5;23;25;3;4;6;12;31;14;9;13;16;28;4;26782
4;26782;24;18;1;17;27;7;11;20;32;26;19;15;30;29;2;8;21;10;22;5;23;25;3;4;6;12;31;14;9;13;16;28
24;18;1;17;27;7;11;20;32;26;19;23;30;29;2;8;21;10;22;5;15;25;3;4;6;12;31;14;9;13;16;28;4;25932
4;25932;24;18;1;17;27;7;11;20;32;26;19;23;30;29;2;8;21;10;22;5;15;25;3;4;6;12;31;14;9;13;16;28
24;4;1;17;27;7;11;20;32;26;19;23;30;29;2;8;21;10;22;5;15;25;3;18;6;12;31;14;9;13;16;28;4;25910
4;25910;24;4;1;17;27;7;11;20;32;26;19;23;30;29;2;8;21;10;22;5;15;25;3;18;6;12;31;14;9;13;16;28
24;4;1;17;27;7;11;20;32;26;19;23;30;29;2;8;21;10;22;3;15;25;5;18;6;12;31;14;9;13;16;28;4;25490
4;25490;24;4;1;17;27;7;11;20;32;26;19;23;30;29;2;8;21;10;22;3;15;25;5;18;6;12;31;14;9;13;16;28
21;4;1;17;27;7;11;20;32;26;19;23;30;29;2;8;24;10;22;3;15;25;5;18;6;12;31;14;9;13;16;28;4;25570
4;25570;21;4;1;17;27;7;11;20;32;26;19;23;30;29;2;8;24;10;22;3;15;25;5;18;6;12;31;14;9;13;16;28
13;4;1;17;27;7;11;20;32;26;19;23;30;29;2;8;24;10;22;3;15;25;5;18;6;12;31;14;9;21;16;28;4;26686
4;26686;13;4;1;17;27;7;11;20;32;26;19;23;30;29;2;8;24;10;22;3;15;25;5;18;6;12;31;14;9;21;16;28
13;4;1;17;27;7;11;20;32;26;19;23;30;29;2;8;24;10;22;3;15;25;16;18;6;12;31;14;9;21;5;28;4;27106
4;27106;13;4;1;17;27;7;11;20;32;26;19;23;30;29;2;8;24;10;22;3;15;25;16;18;6;12;31;14;9;21;5;28
13;19;1;17;27;7;11;20;32;26;4;23;30;29;2;8;24;10;22;3;15;25;16;18;6;12;31;14;9;21;5;28;4;27528
4;27528;13;19;1;17;27;7;11;20;32;26;4;23;30;29;2;8;24;10;22;3;15;25;16;18;6;12;31;14;9;21;5;28
13;19;1;17;27;7;11;20;32;5;4;23;30;29;2;8;24;10;22;3;15;25;16;18;6;12;31;14;9;21;26;28;4;27526
4;27526;13;19;1;17;27;7;11;20;32;5;4;23;30;29;2;8;24;10;22;3;15;25;16;18;6;12;31;14;9;21;26;28
13;19;1;17;27;7;11;20;32;5;4;23;30;29;2;8;24;14;22;3;15;25;16;18;6;12;31;10;9;21;26;28;4;27546
4;27546;13;19;1;17;27;7;11;20;32;5;4;23;30;29;2;8;24;14;22;3;15;25;16;18;6;12;31;10;9;21;26;28
13;19;1;17;27;7;11;20;32;5;4;23;22;29;2;8;24;14;30;3;15;25;16;18;6;12;31;10;9;21;26;28;4;27346
4;27346;13;19;1;17;27;7;11;20;32;5;4;23;22;29;2;8;24;14;30;3;15;25;16;18;6;12;31;10;9;21;26;28
13;19;1;17;27;7;11;20;32;5;4;23;22;29;2;8;24;14;30;3;10;25;16;18;6;12;31;15;9;21;26;28;4;27506
4;27506;13;19;1;17;27;7;11;20;32;5;4;23;22;29;2;8;24;14;30;3;10;25;16;18;6;12;31;15;9;21;26;28
13;19;1;17;27;7;11;20;32;5;4;23;22;29;2;8;24;14;30;3;10;25;16;21;6;12;31;15;9;18;26;28;4;27346
4;27346;13;19;1;17;27;7;11;20;32;5;4;23;22;29;2;8;24;14;30;3;10;25;16;21;6;12;31;15;9;18;26;28
13;19;1;17;27;7;11;20;32;5;4;23;22;29;2;8;24;14;30;3;10;25;16;21;12;6;31;15;9;18;26;28;4;26586
4;26586;13;19;1;17;27;7;11;20;32;5;4;23;22;29;2;8;24;14;30;3;10;25;16;21;12;6;31;15;9;18;26;28
8;19;1;17;27;7;11;20;32;5;4;23;22;29;2;13;24;14;30;3;10;25;16;21;12;6;31;15;9;18;26;28;4;26706
4;26706;8;19;1;17;27;7;11;20;32;5;4;23;22;29;2;13;24;14;30;3;10;25;16;21;12;6;31;15;9;18;26;28
8;19;1;17;27;7;11;24;32;5;4;23;22;29;2;13;20;14;30;3;10;25;16;21;12;6;31;15;9;18;26;28;4;26786
4;26786;8;19;1;17;27;7;11;24;32;5;4;23;22;29;2;13;20;14;30;3;10;25;16;21;12;6;31;15;9;18;26;28
8;19;1;17;30;7;11;24;32;5;4;23;22;29;2;13;20;14;27;3;10;25;16;21;12;6;31;15;9;18;26;28;4;27466
5;27466;8;19;1;17;30;7;11;24;32;5;4;23;22;29;2;13;20;14;27;3;10;25;16;21;12;6;31;15;9;18;26;28
8;19;1;17;30;7;11;12;32;5;4;23;22;29;2;13;20;14;27;3;10;25;16;21;24;6;31;15;9;18;26;28;5;27518
5;27518;8;19;1;17;30;7;11;12;32;5;4;23;22;29;2;13;20;14;27;3;10;25;16;21;24;6;31;15;9;18;26;28
8;19;1;17;13;7;11;12;32;5;4;23;22;29;2;30;20;14;27;3;10;25;16;21;24;6;31;15;9;18;26;28;5;27188
5;27188;8;19;1;17;13;7;11;12;32;5;4;23;22;29;2;30;20;14;27;3;10;25;16;21;24;6;31;15;9;18;26;28
8;19;1;17;13;7;11;12;32;5;25;23;22;29;2;30;20;14;27;3;10;4;16;21;24;6;31;15;9;18;26;28;5;27006
5;27006;8;19;1;17;13;7;11;12;32;5;25;23;22;29;2;30;20;14;27;3;10;4;16;21;24;6;31;15;9;18;26;28
8;19;24;17;13;7;11;12;32;5;25;23;22;29;2;30;20;14;27;3;10;4;16;21;1;6;31;15;9;18;26;28;5;26680
5;26680;8;19;24;17;13;7;11;12;32;5;25;23;22;29;2;30;20;14;27;3;10;4;16;21;1;6;31;15;9;18;26;28
8;19;24;17;13;7;31;12;32;5;25;23;22;29;2;30;20;14;27;3;10;4;16;21;1;6;11;15;9;18;26;28;5;26990
5;26990;8;19;24;17;13;7;31;12;32;5;25;23;22;29;2;30;20;14;27;3;10;4;16;21;1;6;11;15;9;18;26;28
8;19;24;17;13;7;31;12;32;5;29;23;22;25;2;30;20;14;27;3;10;4;16;21;1;6;11;15;9;18;26;28;5;27270
5;27270;8;19;24;17;13;7;31;12;32;5;29;23;22;25;2;30;20;14;27;3;10;4;16;21;1;6;11;15;9;18;26;28
8;19;24;17;13;7;31;12;32;5;29;4;22;25;2;30;20;14;27;3;10;23;16;21;1;6;11;15;9;18;26;28;5;27288
5;27288;8;19;24;17;13;7;31;12;32;5;29;4;22;25;2;30;20;14;27;3;10;23;16;21;1;6;11;15;9;18;26;28
8;19;24;17;13;7;31;12;15;5;29;4;22;25;2;30;20;14;27;3;10;23;16;21;1;6;11;32;9;18;26;28;5;27762
5;27762;8;19;24;17;13;7;31;12;15;5;29;4;22;25;2;30;20;14;27;3;10;23;16;21;1;6;11;32;9;18;26;28
26;19;24;17;13;7;31;12;15;5;29;4;22;25;2;30;20;14;27;3;10;23;16;21;1;6;11;32;9;18;8;28;5;27550
5;27550;26;19;24;17;13;7;31;12;15;5;29;4;22;25;2;30;20;14;27;3;10;23;16;21;1;6;11;32;9;18;8;28
26;16;24;17;13;7;31;12;15;5;29;4;22;25;2;30;20;14;27;3;10;23;19;21;1;6;11;32;9;18;8;28;5;28170
5;28170;26;16;24;17;13;7;31;12;15;5;29;4;22;25;2;30;20;14;27;3;10;23;19;21;1;6;11;32;9;18;8;28
26;16;24;17;13;7;11;12;15;5;29;4;22;25;2;30;20;14;27;3;10;23;19;21;1;6;31;32;9;18;8;28;5;27732
5;27732;26;16;24;17;13;7;11;12;15;5;29;4;22;25;2;30;20;14;27;3;10;23;19;21;1;6;31;32;9;18;8;28
26;16;24;17;13;7;11;29;15;5;12;4;22;25;2;30;20;14;27;3;10;23;19;21;1;6;31;32;9;18;8;28;5;27940
5;27940;26;16;24;17;13;7;11;29;15;5;12;4;22;25;2;30;20;14;27;3;10;23;19;21;1;6;31;32;9;18;8;28
26;16;24;17;13;7;11;29;15;5;12;4;22;25;2;30;20;14;23;3;10;27;19;21;1;6;31;32;9;18;8;28;5;27960
5;27960;26;16;24;17;13;7;11;29;15;5;12;4;22;25;2;30;20;14;23;3;10;27;19;21;1;6;31;32;9;18;8;28
26;16;24;17;13;7;11;29;15;5;12;4;22;25;2;30;20;14;23;3;10;27;19;8;1;6;31;32;9;18;21;28;5;28044
5;28044;26;16;24;17;13;7;11;29;15;5;12;4;22;25;2;30;20;14;23;3;10;27;19;8;1;6;31;32;9;18;21;28
26;16;24;17;13;7;11;29;15;5;23;4;22;25;2;30;20;14;12;3;10;27;19;8;1;6;31;32;9;18;21;28;5;27448
5;27448;26;16;24;17;13;7;11;29;15;5;23;4;22;25;2;30;20;14;12;3;10;27;19;8;1;6;31;32;9;18;21;28
26;16;24;17;13;5;11;29;15;7;23;4;22;25;2;30;20;14;12;3;10;27;19;8;1;6;31;32;9;18;21;28;5;27648
5;27648;26;16;24;17;13;5;11;29;15;7;23;4;22;25;2;30;20;14;12;3;10;27;19;8;1;6;31;32;9;18;21;28
26;16;24;17;13;5;11;29;15;7;23;28;22;25;2;30;20;14;12;3;10;27;19;8;1;6;31;32;9;18;21;4;5;26764
5;26764;26;16;24;17;13;5;11;29;15;7;23;28;22;25;2;30;20;14;12;3;10;27;19;8;1;6;31;32;9;18;21;4
26;16;24;17;3;5;11;29;15;7;23;28;22;25;2;30;20;14;12;13;10;27;19;8;1;6;31;32;9;18;21;4;5;25864
5;25864;26;16;24;17;3;5;11;29;15;7;23;28;22;25;2;30;20;14;12;13;10;27;19;8;1;6;31;32;9;18;21;4
1;16;24;17;3;5;11;29;15;7;23;28;22;25;2;30;20;14;12;13;10;27;19;8;26;6;31;32;9;18;21;4;5;26964
