"X1";"X256";"X30";"X35";"X6";"X51";"X48";"X39";"X57";"X27";"X49";"X24";"X13";"X64";"X20";"X12";"X19";"X41";"X14";"X55";"X7";"X33";"X63";"X29";"X17";"X5";"X28";"X25";"X42";"X43";"X23";"X59";"X36";"X9";"X8";"X44";"X61";"X56";"X11";"X53";"X16";"X54";"X45";"X62";"X32";"X4";"X52";"X37";"X22";"X38";"X46";"X2";"X1.1";"X58";"X60";"X26";"X40";"X10";"X50";"X34";"X47";"X15";"X3";"X21";"X31";"X18"
1;256;30;35;31;51;48;39;57;27;32;24;13;64;20;12;19;41;14;4;7;33;63;29;17;5;10;25;42;43;23;59;36;9;8;44;61;56;11;52;16;54;45;62;49;55;53;37;22;38;46;2;1;58;60;26;40;28;50;34;47;15;3;21;6;18
30;35;31;51;48;39;57;27;32;24;13;64;20;12;19;41;14;4;55;33;63;29;17;5;10;25;42;43;23;59;36;9;8;44;61;56;11;52;16;54;45;62;49;7;53;37;22;38;46;2;1;58;60;26;40;28;50;34;47;15;3;21;6;18;1;256
1;256;30;35;31;51;48;39;57;27;32;24;13;64;20;12;19;41;14;4;55;33;63;29;17;5;10;25;42;43;23;59;36;9;8;44;61;56;11;52;16;54;45;62;49;7;53;37;22;38;46;2;1;58;60;26;40;28;50;34;47;15;3;21;6;18
30;35;31;51;48;39;57;27;32;49;13;64;20;12;19;41;14;4;55;33;63;29;17;5;10;25;42;43;23;59;36;9;8;44;61;56;11;52;16;54;45;62;24;7;53;37;22;38;46;2;1;58;60;26;40;28;50;34;47;15;3;21;6;18;1;252
1;252;30;35;31;51;48;39;57;27;32;49;13;64;20;12;19;41;14;4;55;33;63;29;17;5;10;25;42;43;23;59;36;9;8;44;61;56;11;52;16;54;45;62;24;7;53;37;22;38;46;2;1;58;60;26;40;28;50;34;47;15;3;21;6;18
30;35;31;51;48;39;57;27;32;49;6;64;20;12;19;41;14;4;55;33;63;29;17;5;10;25;42;43;23;59;36;9;8;44;61;56;11;52;16;54;45;62;24;7;53;37;22;38;46;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18;1;260
1;260;30;35;31;51;48;39;57;27;32;49;6;64;20;12;19;41;14;4;55;33;63;29;17;5;10;25;42;43;23;59;36;9;8;44;61;56;11;52;16;54;45;62;24;7;53;37;22;38;46;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18
30;35;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;4;55;33;63;29;17;5;10;25;42;43;23;59;36;9;8;44;61;56;11;52;16;54;45;62;24;7;53;37;22;38;46;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18;1;260
1;260;30;35;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;4;55;33;63;29;17;5;10;25;42;43;23;59;36;9;8;44;61;56;11;52;16;54;45;62;24;7;53;37;22;38;46;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18
30;35;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;4;55;33;63;46;17;5;10;25;42;43;23;59;36;9;8;44;61;56;11;52;16;54;45;62;24;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18;1;258
1;258;30;35;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;4;55;33;63;46;17;5;10;25;42;43;23;59;36;9;8;44;61;56;11;52;16;54;45;62;24;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18
30;35;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;4;55;33;63;46;17;5;10;25;42;43;23;59;36;56;8;44;61;9;11;52;16;54;45;62;24;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18;1;262
1;262;30;35;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;4;55;33;63;46;17;5;10;25;42;43;23;59;36;56;8;44;61;9;11;52;16;54;45;62;24;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18
30;35;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;8;55;33;63;46;17;5;10;25;42;43;23;59;36;56;4;44;61;9;11;52;16;54;45;62;24;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18;1;264
1;264;30;35;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;8;55;33;63;46;17;5;10;25;42;43;23;59;36;56;4;44;61;9;11;52;16;54;45;62;24;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18
30;24;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;8;55;33;63;46;17;5;10;25;42;43;23;59;36;56;4;44;61;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18;1;264
1;264;30;24;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;8;55;33;63;46;17;5;10;25;42;43;23;59;36;56;4;44;61;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18
30;24;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;8;55;33;63;46;17;5;10;25;42;43;23;59;36;56;4;44;61;9;11;52;16;54;45;62;35;7;37;53;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18;1;268
1;264;30;24;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;8;55;33;63;46;17;5;10;25;42;43;23;59;36;56;4;44;61;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18
30;24;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;8;55;33;63;46;17;5;10;25;42;43;61;59;36;56;4;44;23;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18;1;258
1;258;30;24;31;51;48;39;57;27;32;20;6;64;49;12;19;41;14;8;55;33;63;46;17;5;10;25;42;43;61;59;36;56;4;44;23;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18
30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;41;14;8;55;33;63;46;17;5;10;25;42;20;61;59;36;56;4;44;23;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18;1;250
1;250;30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;41;14;8;55;33;63;46;17;5;10;25;42;20;61;59;36;56;4;44;23;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18
30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;41;14;8;55;33;63;23;17;5;10;25;42;20;61;59;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18;1;254
1;254;30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;41;14;8;55;33;63;23;17;5;10;25;42;20;61;59;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;1;58;60;26;40;28;50;34;47;15;3;21;13;18
30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;41;14;8;55;33;63;23;17;5;10;25;1;20;61;59;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;58;60;26;40;28;50;34;47;15;3;21;13;18;1;258
1;258;30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;41;14;8;55;33;63;23;17;5;10;25;1;20;61;59;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;58;60;26;40;28;50;34;47;15;3;21;13;18
30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;58;14;8;55;33;63;23;17;5;10;25;1;20;61;59;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;41;60;26;40;28;50;34;47;15;3;21;13;18;1;258
1;258;30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;58;14;8;55;33;63;23;17;5;10;25;1;20;61;59;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;41;60;26;40;28;50;34;47;15;3;21;13;18
30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;58;14;8;55;33;63;23;17;5;10;25;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;41;60;26;40;28;50;34;59;15;3;21;13;18;1;262
2;262;30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;58;14;8;55;33;63;23;17;5;10;25;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;41;60;26;40;28;50;34;59;15;3;21;13;18
30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;58;14;8;55;33;63;23;17;5;10;3;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;41;60;26;40;28;50;34;59;15;25;21;13;18;2;262
2;262;30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;58;14;8;55;33;63;23;17;5;10;3;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;41;60;26;40;28;50;34;59;15;25;21;13;18
30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;58;14;8;55;33;63;23;17;21;10;3;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;41;60;26;40;28;50;34;59;15;25;5;13;18;2;262
2;262;30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;58;14;8;55;33;63;23;17;21;10;3;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;41;60;26;40;28;50;34;59;15;25;5;13;18
30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;55;60;26;40;28;50;34;59;15;25;5;13;18;2;258
2;258;30;24;31;51;48;39;57;27;32;43;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;55;60;26;40;28;50;34;59;15;25;5;13;18
30;24;31;51;48;39;57;5;32;43;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;55;60;26;40;28;50;34;59;15;25;27;13;18;2;246
2;246;30;24;31;51;48;39;57;5;32;43;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;22;38;29;2;42;55;60;26;40;28;50;34;59;15;25;27;13;18
30;24;31;51;48;39;57;5;32;43;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;29;38;22;2;42;55;60;26;40;28;50;34;59;15;25;27;13;18;2;246
2;246;30;24;31;51;48;39;57;5;32;43;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;29;38;22;2;42;55;60;26;40;28;50;34;59;15;25;27;13;18
30;24;31;43;48;39;57;5;32;51;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;29;38;22;2;42;55;60;26;40;28;50;34;59;15;25;27;13;18;2;258
2;258;30;24;31;43;48;39;57;5;32;51;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;56;4;44;46;9;11;52;16;54;45;62;35;7;53;37;29;38;22;2;42;55;60;26;40;28;50;34;59;15;25;27;13;18
30;24;31;43;48;39;57;5;32;51;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;38;4;44;46;9;11;52;16;54;45;62;35;7;53;37;29;56;22;2;42;55;60;26;40;28;50;34;59;15;25;27;13;18;2;262
2;262;30;24;31;43;48;39;57;5;32;51;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;38;4;44;46;9;11;52;16;54;45;62;35;7;53;37;29;56;22;2;42;55;60;26;40;28;50;34;59;15;25;27;13;18
30;24;31;43;39;48;57;5;32;51;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;38;4;44;46;9;11;52;16;54;45;62;35;7;53;37;29;56;22;2;42;55;60;26;40;28;50;34;59;15;25;27;13;18;2;274
2;274;30;24;31;43;39;48;57;5;32;51;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;38;4;44;46;9;11;52;16;54;45;62;35;7;53;37;29;56;22;2;42;55;60;26;40;28;50;34;59;15;25;27;13;18
30;24;31;43;39;48;57;5;32;51;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;38;4;44;46;9;11;52;16;54;45;62;35;7;34;37;29;56;22;2;42;55;60;26;40;28;50;53;59;15;25;27;13;18;2;274
2;274;30;24;31;43;39;48;57;5;32;51;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;38;4;44;46;9;11;52;16;54;45;62;35;7;34;37;29;56;22;2;42;55;60;26;40;28;50;53;59;15;25;27;13;18
30;24;31;43;39;48;57;5;32;51;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;38;4;44;46;9;11;52;16;18;45;62;35;7;34;37;29;56;22;2;42;55;60;26;40;28;50;53;59;15;25;27;13;54;2;274
2;274;30;24;31;43;39;48;57;5;32;51;6;64;49;12;19;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;38;4;44;46;9;11;52;16;18;45;62;35;7;34;37;29;56;22;2;42;55;60;26;40;28;50;53;59;15;25;27;13;54
30;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;38;4;44;46;9;11;52;16;18;45;62;35;7;34;37;29;56;22;2;42;55;60;26;40;28;50;53;59;15;25;27;13;54;2;274
2;274;30;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;41;33;63;23;17;21;10;3;1;20;61;47;36;38;4;44;46;9;11;52;16;18;45;62;35;7;34;37;29;56;22;2;42;55;60;26;40;28;50;53;59;15;25;27;13;54
30;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;41;33;63;23;17;21;10;3;1;20;61;35;36;38;4;44;46;9;11;52;16;18;45;62;47;7;34;37;29;56;22;2;42;55;60;26;40;28;50;53;59;15;25;27;13;54;2;274
2;274;30;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;41;33;63;23;17;21;10;3;1;20;61;35;36;38;4;44;46;9;11;52;16;18;45;62;47;7;34;37;29;56;22;2;42;55;60;26;40;28;50;53;59;15;25;27;13;54
30;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;20;61;35;36;38;4;44;46;9;11;52;16;18;45;62;47;7;34;37;29;56;41;2;42;55;60;26;40;28;50;53;59;15;25;27;13;54;2;274
2;274;30;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;20;61;35;36;38;4;44;46;9;11;52;16;18;45;62;47;7;34;37;29;56;41;2;42;55;60;26;40;28;50;53;59;15;25;27;13;54
4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;20;61;35;36;38;30;44;46;9;11;52;16;18;45;62;47;7;34;37;29;56;41;2;42;55;60;26;40;28;50;53;59;15;25;27;13;54;2;270
2;270;4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;20;61;35;36;38;30;44;46;9;11;52;16;18;45;62;47;7;34;37;29;56;41;2;42;55;60;26;40;28;50;53;59;15;25;27;13;54
4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;25;61;35;36;38;30;44;46;9;11;52;16;18;45;62;47;7;34;37;29;56;41;2;42;55;60;26;40;28;50;53;59;15;20;27;13;54;2;274
2;274;4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;25;61;35;36;38;30;44;46;9;11;52;16;18;45;62;47;7;34;37;29;56;41;2;42;55;60;26;40;28;50;53;59;15;20;27;13;54
4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;25;61;35;62;38;30;44;46;9;11;52;16;18;45;36;47;7;34;37;29;56;41;2;42;55;60;26;40;28;50;53;59;15;20;27;13;54;2;274
2;274;4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;25;61;35;62;38;30;44;46;9;11;52;16;18;45;36;47;7;34;37;29;56;41;2;42;55;60;26;40;28;50;53;59;15;20;27;13;54
4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;25;61;35;62;38;30;44;46;9;11;52;16;18;45;36;47;7;34;55;29;56;41;2;42;37;60;26;40;28;50;53;59;15;20;27;13;54;2;278
2;278;4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;25;61;35;62;38;30;44;46;9;11;52;16;18;45;36;47;7;34;55;29;56;41;2;42;37;60;26;40;28;50;53;59;15;20;27;13;54
4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;25;61;35;18;38;30;44;46;9;11;52;16;62;45;36;47;7;34;55;29;56;41;2;42;37;60;26;40;28;50;53;59;15;20;27;13;54;2;278
2;278;4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;25;61;35;18;38;30;44;46;9;11;52;16;62;45;36;47;7;34;55;29;56;41;2;42;37;60;26;40;28;50;53;59;15;20;27;13;54
4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;25;61;35;18;38;30;44;46;9;11;52;20;62;45;36;47;7;34;55;29;56;41;2;42;37;60;26;40;28;50;53;59;15;16;27;13;54;2;272
2;272;4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;8;22;33;63;23;17;21;10;3;1;25;61;35;18;38;30;44;46;9;11;52;20;62;45;36;47;7;34;55;29;56;41;2;42;37;60;26;40;28;50;53;59;15;16;27;13;54
4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;15;22;33;63;23;17;21;10;3;1;25;61;35;18;38;30;44;46;9;11;52;20;62;45;36;47;7;34;55;29;56;41;2;42;37;60;26;40;28;50;53;59;8;16;27;13;54;2;272
3;272;4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;15;22;33;63;23;17;21;10;3;1;25;61;35;18;38;30;44;46;9;11;52;20;62;45;36;47;7;34;55;29;56;41;2;42;37;60;26;40;28;50;53;59;8;16;27;13;54
4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;15;22;33;63;23;54;21;10;3;1;25;61;35;18;38;30;44;46;9;11;52;20;62;45;36;47;7;34;55;29;56;41;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17;3;272
3;272;4;24;31;43;39;48;57;5;32;51;19;64;49;12;6;58;14;15;22;33;63;23;54;21;10;3;1;25;61;35;18;38;30;44;46;9;11;52;20;62;45;36;47;7;34;55;29;56;41;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17
4;24;31;41;39;48;57;5;32;51;19;64;49;12;6;58;14;15;22;33;63;23;54;21;10;3;1;25;61;35;18;38;30;44;46;9;11;52;20;62;45;36;47;7;34;55;29;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17;3;272
3;272;4;24;31;41;39;48;57;5;32;51;19;64;49;12;6;58;14;15;22;33;63;23;54;21;10;3;1;25;61;35;18;38;30;44;46;9;11;52;20;62;45;36;47;7;34;55;29;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17
4;29;31;41;39;48;57;5;32;51;19;64;49;12;6;58;14;15;22;33;63;23;54;21;10;3;1;25;61;35;18;38;30;44;46;9;11;52;20;62;45;36;47;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17;3;272
3;272;4;29;31;41;39;48;57;5;32;51;19;64;49;12;6;58;14;15;22;33;63;23;54;21;10;3;1;25;61;35;18;38;30;44;46;9;11;52;20;62;45;36;47;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17
4;29;31;41;39;48;57;5;32;51;19;64;49;12;6;58;14;15;22;33;63;23;54;21;10;3;1;25;61;35;18;11;30;44;46;9;38;52;20;62;45;36;47;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17;3;262
3;262;4;29;31;41;39;48;57;5;32;51;19;64;49;12;6;58;14;15;22;33;63;23;54;21;10;3;1;25;61;35;18;11;30;44;46;9;38;52;20;62;45;36;47;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17
4;29;31;41;39;48;57;5;32;51;19;64;49;12;6;58;63;15;22;33;14;23;54;21;10;3;1;25;61;35;18;11;30;44;46;9;38;52;20;62;45;36;47;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17;3;266
3;266;4;29;31;41;39;48;57;5;32;51;19;64;49;12;6;58;63;15;22;33;14;23;54;21;10;3;1;25;61;35;18;11;30;44;46;9;38;52;20;62;45;36;47;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17
4;29;31;41;39;48;19;5;32;51;57;64;49;12;6;58;63;15;22;33;14;23;54;21;10;3;1;25;61;35;18;11;30;44;46;9;38;52;20;62;45;36;47;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17;3;278
3;278;4;29;31;41;39;48;19;5;32;51;57;64;49;12;6;58;63;15;22;33;14;23;54;21;10;3;1;25;61;35;18;11;30;44;46;9;38;52;20;62;45;36;47;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17
4;29;31;41;39;48;19;5;32;51;57;64;49;12;6;58;47;15;22;33;14;23;54;21;10;3;1;25;61;35;18;11;30;44;46;9;38;52;20;62;45;36;63;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17;3;274
3;274;4;29;31;41;39;48;19;5;32;51;57;64;49;12;6;58;47;15;22;33;14;23;54;21;10;3;1;25;61;35;18;11;30;44;46;9;38;52;20;62;45;36;63;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17
4;29;31;41;39;48;19;5;32;51;57;64;49;12;14;58;47;15;22;33;6;23;54;21;10;3;1;25;61;35;18;11;30;44;46;9;38;52;20;62;45;36;63;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17;3;276
3;276;4;29;31;41;39;48;19;5;32;51;57;64;49;12;14;58;47;15;22;33;6;23;54;21;10;3;1;25;61;35;18;11;30;44;46;9;38;52;20;62;45;36;63;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;13;17
4;29;31;41;39;48;19;5;32;51;57;64;49;12;14;58;47;15;22;33;6;23;54;21;10;13;1;25;61;35;18;11;30;44;46;9;38;52;20;62;45;36;63;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;3;17;3;276
3;276;4;29;31;41;39;48;19;5;32;51;57;64;49;12;14;58;47;15;22;33;6;23;54;21;10;13;1;25;61;35;18;11;30;44;46;9;38;52;20;62;45;36;63;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;3;17
4;29;31;41;39;48;19;5;32;51;57;64;49;12;14;58;47;15;22;33;6;23;54;21;10;13;1;25;61;38;18;11;30;44;46;9;35;52;20;62;45;36;63;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;3;17;3;280
3;280;4;29;31;41;39;48;19;5;32;51;57;64;49;12;14;58;47;15;22;33;6;23;54;21;10;13;1;25;61;38;18;11;30;44;46;9;35;52;20;62;45;36;63;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;3;17
4;29;31;41;39;48;19;5;32;51;57;64;22;12;14;58;47;15;49;33;6;23;54;21;10;13;1;25;61;38;18;11;30;44;46;9;35;52;20;62;45;36;63;7;34;55;24;56;43;2;42;37;60;26;40;28;50;53;59;8;16;27;3;17;3;272
