"X1";"X25944";"X20";"X6";"X27";"X19";"X3";"X13";"X18";"X28";"X4";"X31";"X30";"X24";"X26";"X29";"X2";"X5";"X23";"X32";"X8";"X1.1";"X15";"X17";"X9";"X14";"X21";"X11";"X16";"X22";"X10";"X12";"X25";"X7"
1;25794;7;21;19;23;3;9;18;28;4;27;30;24;26;5;2;31;8;32;29;1;15;17;13;14;6;11;16;22;10;12;25;20
30;21;19;23;3;9;18;28;4;27;7;24;26;5;2;31;8;32;29;1;15;17;13;14;6;11;16;22;10;12;25;20;1;26506
1;26506;30;21;19;23;3;9;18;28;4;27;7;24;26;5;2;31;8;32;29;1;15;17;13;14;6;11;16;22;10;12;25;20
30;21;19;23;3;9;12;28;4;27;7;24;26;5;2;31;8;32;29;1;15;17;13;14;6;11;16;22;10;18;25;20;1;26788
1;26788;30;21;19;23;3;9;12;28;4;27;7;24;26;5;2;31;8;32;29;1;15;17;13;14;6;11;16;22;10;18;25;20
30;21;19;23;3;9;12;28;4;27;13;24;26;5;2;31;8;32;29;1;15;17;7;14;6;11;16;22;10;18;25;20;1;27388
1;27388;30;21;19;23;3;9;12;28;4;27;13;24;26;5;2;31;8;32;29;1;15;17;7;14;6;11;16;22;10;18;25;20
30;2;19;23;3;9;12;28;4;27;13;24;26;5;21;31;8;32;29;1;15;17;7;14;6;11;16;22;10;18;25;20;1;26968
1;26968;30;2;19;23;3;9;12;28;4;27;13;24;26;5;21;31;8;32;29;1;15;17;7;14;6;11;16;22;10;18;25;20
30;2;19;23;3;9;12;29;4;27;13;24;26;5;21;31;8;32;28;1;15;17;7;14;6;11;16;22;10;18;25;20;1;27568
1;27568;30;2;19;23;3;9;12;29;4;27;13;24;26;5;21;31;8;32;28;1;15;17;7;14;6;11;16;22;10;18;25;20
30;2;19;23;3;9;12;29;4;27;13;24;26;5;21;31;8;32;28;1;15;17;18;14;6;11;16;22;10;7;25;20;1;27430
1;27430;30;2;19;23;3;9;12;29;4;27;13;24;26;5;21;31;8;32;28;1;15;17;18;14;6;11;16;22;10;7;25;20
30;2;19;23;3;9;12;29;31;27;13;24;26;5;21;4;8;32;28;1;15;17;18;14;6;11;16;22;10;7;25;20;1;27744
1;27744;30;2;19;23;3;9;12;29;31;27;13;24;26;5;21;4;8;32;28;1;15;17;18;14;6;11;16;22;10;7;25;20
30;2;19;23;3;9;12;29;31;8;13;24;26;5;21;4;27;32;28;1;15;17;18;14;6;11;16;22;10;7;25;20;1;27230
1;27230;30;2;19;23;3;9;12;29;31;8;13;24;26;5;21;4;27;32;28;1;15;17;18;14;6;11;16;22;10;7;25;20
30;2;19;23;3;9;12;29;31;13;8;24;26;5;21;4;27;32;28;1;15;17;18;14;6;11;16;22;10;7;25;20;1;26650
1;26650;30;2;19;23;3;9;12;29;31;13;8;24;26;5;21;4;27;32;28;1;15;17;18;14;6;11;16;22;10;7;25;20
30;2;19;23;3;9;12;29;31;27;8;24;26;5;21;4;13;32;28;1;15;17;18;14;6;11;16;22;10;7;25;20;1;27464
1;27464;30;2;19;23;3;9;12;29;31;27;8;24;26;5;21;4;13;32;28;1;15;17;18;14;6;11;16;22;10;7;25;20
30;2;19;23;3;9;12;29;31;27;8;24;26;5;21;17;13;32;28;1;15;4;18;14;6;11;16;22;10;7;25;20;1;27502
2;27502;30;2;19;23;3;9;12;29;31;27;8;24;26;5;21;17;13;32;28;1;15;4;18;14;6;11;16;22;10;7;25;20
30;2;19;23;3;9;12;29;31;27;8;24;26;5;21;17;13;32;28;1;15;4;18;11;6;14;16;22;10;7;25;20;2;27822
2;27822;30;2;19;23;3;9;12;29;31;27;8;24;26;5;21;17;13;32;28;1;15;4;18;11;6;14;16;22;10;7;25;20
30;2;19;23;3;9;12;29;31;27;8;20;26;5;21;17;13;32;28;1;15;4;18;11;6;14;16;22;10;7;25;24;2;27942
2;27942;30;2;19;23;3;9;12;29;31;27;8;20;26;5;21;17;13;32;28;1;15;4;18;11;6;14;16;22;10;7;25;24
30;2;19;23;3;9;12;29;31;27;8;22;26;5;21;17;13;32;28;1;15;4;18;11;6;14;16;20;10;7;25;24;2;27902
2;27902;30;2;19;23;3;9;12;29;31;27;8;22;26;5;21;17;13;32;28;1;15;4;18;11;6;14;16;20;10;7;25;24
30;2;19;23;25;9;12;29;31;27;8;22;26;5;21;17;13;32;28;1;15;4;18;11;6;14;16;20;10;7;3;24;2;28024
2;28024;30;2;19;23;25;9;12;29;31;27;8;22;26;5;21;17;13;32;28;1;15;4;18;11;6;14;16;20;10;7;3;24
30;2;19;23;5;9;12;29;31;27;8;22;26;25;21;17;13;32;28;1;15;4;18;11;6;14;16;20;10;7;3;24;2;27258
2;27258;30;2;19;23;5;9;12;29;31;27;8;22;26;25;21;17;13;32;28;1;15;4;18;11;6;14;16;20;10;7;3;24
30;16;19;23;5;9;12;29;31;27;8;22;26;25;21;17;13;32;28;1;15;4;18;11;6;14;2;20;10;7;3;24;2;28358
2;28358;30;16;19;23;5;9;12;29;31;27;8;22;26;25;21;17;13;32;28;1;15;4;18;11;6;14;2;20;10;7;3;24
30;16;19;23;5;9;12;29;31;27;8;22;26;25;21;17;13;32;28;1;15;4;18;11;3;14;2;20;10;7;6;24;2;28518
2;28518;30;16;19;23;5;9;12;29;31;27;8;22;26;25;21;17;13;32;28;1;15;4;18;11;3;14;2;20;10;7;6;24
30;16;19;23;5;9;29;12;31;27;8;22;26;25;21;17;13;32;28;1;15;4;18;11;3;14;2;20;10;7;6;24;2;28940
2;28940;30;16;19;23;5;9;29;12;31;27;8;22;26;25;21;17;13;32;28;1;15;4;18;11;3;14;2;20;10;7;6;24
30;16;19;23;5;9;31;12;29;27;8;22;26;25;21;17;13;32;28;1;15;4;18;11;3;14;2;20;10;7;6;24;2;28300
2;28300;30;16;19;23;5;9;31;12;29;27;8;22;26;25;21;17;13;32;28;1;15;4;18;11;3;14;2;20;10;7;6;24
30;16;19;23;5;9;2;12;29;27;8;22;26;25;21;17;13;32;28;1;15;4;18;11;3;14;31;20;10;7;6;24;2;28166
2;28166;30;16;19;23;5;9;2;12;29;27;8;22;26;25;21;17;13;32;28;1;15;4;18;11;3;14;31;20;10;7;6;24
30;16;19;23;5;9;2;12;29;6;8;22;26;25;21;17;13;32;28;1;15;4;18;11;3;14;31;20;10;7;27;24;2;28052
2;28052;30;16;19;23;5;9;2;12;29;6;8;22;26;25;21;17;13;32;28;1;15;4;18;11;3;14;31;20;10;7;27;24
30;25;19;23;5;9;2;12;29;6;8;22;26;16;21;17;13;32;28;1;15;4;18;11;3;14;31;20;10;7;27;24;2;27542
2;27542;30;25;19;23;5;9;2;12;29;6;8;22;26;16;21;17;13;32;28;1;15;4;18;11;3;14;31;20;10;7;27;24
30;25;19;23;5;9;2;12;29;6;8;22;26;16;21;17;13;32;28;1;15;4;10;11;3;14;31;20;18;7;27;24;2;28122
2;28122;30;25;19;23;5;9;2;12;29;6;8;22;26;16;21;17;13;32;28;1;15;4;10;11;3;14;31;20;18;7;27;24
30;25;19;23;5;9;2;12;29;6;4;22;26;16;21;17;13;32;28;1;15;8;10;11;3;14;31;20;18;7;27;24;2;28062
2;28062;30;25;19;23;5;9;2;12;29;6;4;22;26;16;21;17;13;32;28;1;15;8;10;11;3;14;31;20;18;7;27;24
30;25;19;23;5;1;2;12;29;6;4;22;26;16;21;17;13;32;28;9;15;8;10;11;3;14;31;20;18;7;27;24;2;28102
2;28102;30;25;19;23;5;1;2;12;29;6;4;22;26;16;21;17;13;32;28;9;15;8;10;11;3;14;31;20;18;7;27;24
30;25;19;23;5;1;2;12;29;6;4;22;26;16;21;17;13;32;28;9;15;27;10;11;3;14;31;20;18;7;8;24;2;27684
2;27684;30;25;19;23;5;1;2;12;29;6;4;22;26;16;21;17;13;32;28;9;15;27;10;11;3;14;31;20;18;7;8;24
30;25;19;23;5;1;2;29;12;6;4;22;26;16;21;17;13;32;28;9;15;27;10;11;3;14;31;20;18;7;8;24;2;27674
2;27674;30;25;19;23;5;1;2;29;12;6;4;22;26;16;21;17;13;32;28;9;15;27;10;11;3;14;31;20;18;7;8;24
30;25;19;23;5;18;2;29;12;6;4;22;26;16;21;17;13;32;28;9;15;27;10;11;3;14;31;20;1;7;8;24;2;27058
2;27058;30;25;19;23;5;18;2;29;12;6;4;22;26;16;21;17;13;32;28;9;15;27;10;11;3;14;31;20;1;7;8;24
30;25;19;23;5;18;2;29;12;6;4;22;26;16;21;17;13;32;28;1;15;27;10;11;3;14;31;20;9;7;8;24;2;26698
2;26698;30;25;19;23;5;18;2;29;12;6;4;22;26;16;21;17;13;32;28;1;15;27;10;11;3;14;31;20;9;7;8;24
30;25;19;23;5;18;2;29;12;6;4;22;26;16;21;17;13;32;1;28;15;27;10;11;3;14;31;20;9;7;8;24;2;26622
3;26622;30;25;19;23;5;18;2;29;12;6;4;22;26;16;21;17;13;32;1;28;15;27;10;11;3;14;31;20;9;7;8;24
30;25;19;23;5;18;2;29;12;6;4;22;26;16;21;32;13;17;1;28;15;27;10;11;3;14;31;20;9;7;8;24;3;28142
3;28142;30;25;19;23;5;18;2;29;12;6;4;22;26;16;21;32;13;17;1;28;15;27;10;11;3;14;31;20;9;7;8;24
30;25;19;23;5;12;2;29;18;6;4;22;26;16;21;32;13;17;1;28;15;27;10;11;3;14;31;20;9;7;8;24;3;27942
3;27942;30;25;19;23;5;12;2;29;18;6;4;22;26;16;21;32;13;17;1;28;15;27;10;11;3;14;31;20;9;7;8;24
30;25;19;23;17;12;2;29;18;6;4;22;26;16;21;32;13;5;1;28;15;27;10;11;3;14;31;20;9;7;8;24;3;27642
3;27642;30;25;19;23;17;12;2;29;18;6;4;22;26;16;21;32;13;5;1;28;15;27;10;11;3;14;31;20;9;7;8;24
30;25;19;23;17;12;2;15;18;6;4;22;26;16;21;32;13;5;1;28;29;27;10;11;3;14;31;20;9;7;8;24;3;28200
3;28200;30;25;19;23;17;12;2;15;18;6;4;22;26;16;21;32;13;5;1;28;29;27;10;11;3;14;31;20;9;7;8;24
30;25;4;23;17;12;2;15;18;6;19;22;26;16;21;32;13;5;1;28;29;27;10;11;3;14;31;20;9;7;8;24;3;27922
3;27922;30;25;4;23;17;12;2;15;18;6;19;22;26;16;21;32;13;5;1;28;29;27;10;11;3;14;31;20;9;7;8;24
30;25;4;23;17;12;2;15;18;6;26;22;19;16;21;32;13;5;1;28;29;27;10;11;3;14;31;20;9;7;8;24;3;27482
3;27482;30;25;4;23;17;12;2;15;18;6;26;22;19;16;21;32;13;5;1;28;29;27;10;11;3;14;31;20;9;7;8;24
30;25;4;23;17;12;2;28;18;6;26;22;19;16;21;32;13;5;1;15;29;27;10;11;3;14;31;20;9;7;8;24;3;27578
3;27578;30;25;4;23;17;12;2;28;18;6;26;22;19;16;21;32;13;5;1;15;29;27;10;11;3;14;31;20;9;7;8;24
30;25;28;23;17;12;2;4;18;6;26;22;19;16;21;32;13;5;1;15;29;27;10;11;3;14;31;20;9;7;8;24;3;26880
3;26880;30;25;28;23;17;12;2;4;18;6;26;22;19;16;21;32;13;5;1;15;29;27;10;11;3;14;31;20;9;7;8;24
30;25;28;23;17;12;2;4;18;6;26;22;19;16;21;32;13;5;1;15;29;27;10;11;3;9;31;20;14;7;8;24;3;26640
3;26640;30;25;28;23;17;12;2;4;18;6;26;22;19;16;21;32;13;5;1;15;29;27;10;11;3;9;31;20;14;7;8;24
30;25;28;23;17;12;2;4;22;6;26;18;19;16;21;32;13;5;1;15;29;27;10;11;3;9;31;20;14;7;8;24;3;26820
3;26820;30;25;28;23;17;12;2;4;22;6;26;18;19;16;21;32;13;5;1;15;29;27;10;11;3;9;31;20;14;7;8;24
30;2;28;23;17;12;25;4;22;6;26;18;19;16;21;32;13;5;1;15;29;27;10;11;3;9;31;20;14;7;8;24;3;27132
3;27132;30;2;28;23;17;12;25;4;22;6;26;18;19;16;21;32;13;5;1;15;29;27;10;11;3;9;31;20;14;7;8;24
30;2;28;23;17;12;25;4;22;6;26;18;19;16;21;32;13;5;1;15;29;9;10;11;3;27;31;20;14;7;8;24;3;27410
3;27410;30;2;28;23;17;12;25;4;22;6;26;18;19;16;21;32;13;5;1;15;29;9;10;11;3;27;31;20;14;7;8;24
1;2;28;23;17;12;25;4;22;6;26;18;19;16;21;32;13;5;30;15;29;9;10;11;3;27;31;20;14;7;8;24;3;28350
3;28350;1;2;28;23;17;12;25;4;22;6;26;18;19;16;21;32;13;5;30;15;29;9;10;11;3;27;31;20;14;7;8;24
1;2;28;23;17;12;25;4;22;6;26;18;19;16;21;32;14;5;30;15;29;9;10;11;3;27;31;20;13;7;8;24;3;28170
3;28170;1;2;28;23;17;12;25;4;22;6;26;18;19;16;21;32;14;5;30;15;29;9;10;11;3;27;31;20;13;7;8;24
1;2;28;23;17;12;25;4;22;6;26;18;19;16;21;32;31;5;30;15;29;9;10;11;3;27;14;20;13;7;8;24;3;27354
3;27354;1;2;28;23;17;12;25;4;22;6;26;18;19;16;21;32;31;5;30;15;29;9;10;11;3;27;14;20;13;7;8;24
1;8;28;23;17;12;25;4;22;6;26;18;19;16;21;32;31;5;30;15;29;9;10;11;3;27;14;20;13;7;2;24;3;27254
3;27254;1;8;28;23;17;12;25;4;22;6;26;18;19;16;21;32;31;5;30;15;29;9;10;11;3;27;14;20;13;7;2;24
14;8;28;23;17;12;25;4;22;6;26;18;19;16;21;32;31;5;30;15;29;9;10;11;3;27;1;20;13;7;2;24;3;26254
3;26254;14;8;28;23;17;12;25;4;22;6;26;18;19;16;21;32;31;5;30;15;29;9;10;11;3;27;1;20;13;7;2;24
17;8;28;23;14;12;25;4;22;6;26;18;19;16;21;32;31;5;30;15;29;9;10;11;3;27;1;20;13;7;2;24;3;26196
3;26196;17;8;28;23;14;12;25;4;22;6;26;18;19;16;21;32;31;5;30;15;29;9;10;11;3;27;1;20;13;7;2;24
17;8;28;23;14;12;25;4;22;6;26;18;19;16;21;7;31;5;30;15;29;9;10;11;3;27;1;20;13;32;2;24;3;25724
3;25724;17;8;28;23;14;12;25;4;22;6;26;18;19;16;21;7;31;5;30;15;29;9;10;11;3;27;1;20;13;32;2;24
17;8;28;23;19;12;25;4;22;6;26;18;14;16;21;7;31;5;30;15;29;9;10;11;3;27;1;20;13;32;2;24;3;25766
4;25766;17;8;28;23;19;12;25;4;22;6;26;18;14;16;21;7;31;5;30;15;29;9;10;11;3;27;1;20;13;32;2;24
17;8;28;23;19;12;9;4;22;6;26;18;14;16;21;7;31;5;30;15;29;25;10;11;3;27;1;20;13;32;2;24;4;25582
4;25582;17;8;28;23;19;12;9;4;22;6;26;18;14;16;21;7;31;5;30;15;29;25;10;11;3;27;1;20;13;32;2;24
17;8;28;23;19;12;9;4;22;6;26;18;14;16;21;7;31;5;30;15;29;25;32;11;3;27;1;20;13;10;2;24;4;26060
4;26060;17;8;28;23;19;12;9;4;22;6;26;18;14;16;21;7;31;5;30;15;29;25;32;11;3;27;1;20;13;10;2;24
17;8;28;23;19;12;15;4;22;6;26;18;14;16;21;7;31;5;30;9;29;25;32;11;3;27;1;20;13;10;2;24;4;26080
4;26080;17;8;28;23;19;12;15;4;22;6;26;18;14;16;21;7;31;5;30;9;29;25;32;11;3;27;1;20;13;10;2;24
17;8;28;23;19;12;15;4;22;6;26;18;14;16;21;7;31;5;30;9;11;25;32;29;3;27;1;20;13;10;2;24;4;26014
4;26014;17;8;28;23;19;12;15;4;22;6;26;18;14;16;21;7;31;5;30;9;11;25;32;29;3;27;1;20;13;10;2;24
17;8;28;23;26;12;15;4;22;6;19;18;14;16;21;7;31;5;30;9;11;25;32;29;3;27;1;20;13;10;2;24;4;26074
4;26074;17;8;28;23;26;12;15;4;22;6;19;18;14;16;21;7;31;5;30;9;11;25;32;29;3;27;1;20;13;10;2;24
17;8;28;23;26;12;15;4;22;6;19;18;14;16;21;7;10;5;30;9;11;25;32;29;3;27;1;20;13;31;2;24;4;25542
4;25542;17;8;28;23;26;12;15;4;22;6;19;18;14;16;21;7;10;5;30;9;11;25;32;29;3;27;1;20;13;31;2;24
17;8;28;23;26;6;15;4;22;12;19;18;14;16;21;7;10;5;30;9;11;25;32;29;3;27;1;20;13;31;2;24;4;25022
4;25022;17;8;28;23;26;6;15;4;22;12;19;18;14;16;21;7;10;5;30;9;11;25;32;29;3;27;1;20;13;31;2;24
17;8;28;23;26;6;15;4;22;16;19;18;14;12;21;7;10;5;30;9;11;25;32;29;3;27;1;20;13;31;2;24;4;24962
4;24962;17;8;28;23;26;6;15;4;22;16;19;18;14;12;21;7;10;5;30;9;11;25;32;29;3;27;1;20;13;31;2;24
17;8;28;1;26;6;15;4;22;16;19;18;14;12;21;7;10;5;30;9;11;25;32;29;3;27;23;20;13;31;2;24;4;26144
4;26144;17;8;28;1;26;6;15;4;22;16;19;18;14;12;21;7;10;5;30;9;11;25;32;29;3;27;23;20;13;31;2;24
17;8;28;7;26;6;15;4;22;16;19;18;14;12;21;1;10;5;30;9;11;25;32;29;3;27;23;20;13;31;2;24;4;26284
4;26284;17;8;28;7;26;6;15;4;22;16;19;18;14;12;21;1;10;5;30;9;11;25;32;29;3;27;23;20;13;31;2;24
17;8;28;7;26;6;15;4;22;16;12;18;14;19;21;1;10;5;30;9;11;25;32;29;3;27;23;20;13;31;2;24;4;26392
4;26392;17;8;28;7;26;6;15;4;22;16;12;18;14;19;21;1;10;5;30;9;11;25;32;29;3;27;23;20;13;31;2;24
17;8;28;7;26;6;15;4;22;16;24;18;14;19;21;1;10;5;30;9;11;25;32;29;3;27;23;20;13;31;2;12;4;26748
4;26748;17;8;28;7;26;6;15;4;22;16;24;18;14;19;21;1;10;5;30;9;11;25;32;29;3;27;23;20;13;31;2;12
17;8;28;7;26;6;15;4;22;16;24;18;14;19;21;1;10;5;30;9;11;23;32;29;3;27;25;20;13;31;2;12;4;26168
4;26168;17;8;28;7;26;6;15;4;22;16;24;18;14;19;21;1;10;5;30;9;11;23;32;29;3;27;25;20;13;31;2;12
17;8;28;7;26;6;15;4;22;16;24;18;14;19;21;1;2;5;30;9;11;23;32;29;3;27;25;20;13;31;10;12;4;26248
4;26248;17;8;28;7;26;6;15;4;22;16;24;18;14;19;21;1;2;5;30;9;11;23;32;29;3;27;25;20;13;31;10;12
17;8;28;7;26;6;15;4;22;16;24;18;14;19;21;1;20;5;30;9;11;23;32;29;3;27;25;2;13;31;10;12;4;26476
4;26476;17;8;28;7;26;6;15;4;22;16;24;18;14;19;21;1;20;5;30;9;11;23;32;29;3;27;25;2;13;31;10;12
28;8;17;7;26;6;15;4;22;16;24;18;14;19;21;1;20;5;30;9;11;23;32;29;3;27;25;2;13;31;10;12;4;26176
4;26176;28;8;17;7;26;6;15;4;22;16;24;18;14;19;21;1;20;5;30;9;11;23;32;29;3;27;25;2;13;31;10;12
28;8;17;7;26;6;15;31;22;16;24;18;14;19;21;1;20;5;30;9;11;23;32;29;3;27;25;2;13;4;10;12;4;26664
4;26664;28;8;17;7;26;6;15;31;22;16;24;18;14;19;21;1;20;5;30;9;11;23;32;29;3;27;25;2;13;4;10;12
28;8;17;7;26;6;15;25;22;16;24;18;14;19;21;1;20;5;30;9;11;23;32;29;3;27;31;2;13;4;10;12;4;26904
4;26904;28;8;17;7;26;6;15;25;22;16;24;18;14;19;21;1;20;5;30;9;11;23;32;29;3;27;31;2;13;4;10;12
28;8;19;7;26;6;15;25;22;16;24;18;14;17;21;1;20;5;30;9;11;23;32;29;3;27;31;2;13;4;10;12;4;26504
4;26504;28;8;19;7;26;6;15;25;22;16;24;18;14;17;21;1;20;5;30;9;11;23;32;29;3;27;31;2;13;4;10;12
28;8;19;7;26;6;15;25;22;16;24;18;14;17;21;1;20;5;30;9;2;23;32;29;3;27;31;11;13;4;10;12;4;26844
5;26844;28;8;19;7;26;6;15;25;22;16;24;18;14;17;21;1;20;5;30;9;2;23;32;29;3;27;31;11;13;4;10;12
28;8;19;7;26;6;15;25;22;16;24;18;14;17;21;1;4;5;30;9;2;23;32;29;3;27;31;11;13;20;10;12;5;26752
5;26752;28;8;19;7;26;6;15;25;22;16;24;18;14;17;21;1;4;5;30;9;2;23;32;29;3;27;31;11;13;20;10;12
28;8;19;7;26;6;15;25;22;16;24;18;14;17;21;1;29;5;30;9;2;23;32;4;3;27;31;11;13;20;10;12;5;26744
5;26744;28;8;19;7;26;6;15;25;22;16;24;18;14;17;21;1;29;5;30;9;2;23;32;4;3;27;31;11;13;20;10;12
28;8;19;7;26;6;3;25;22;16;24;18;14;17;21;1;29;5;30;9;2;23;32;4;15;27;31;11;13;20;10;12;5;26964
5;26964;28;8;19;7;26;6;3;25;22;16;24;18;14;17;21;1;29;5;30;9;2;23;32;4;15;27;31;11;13;20;10;12
28;8;19;7;26;6;3;25;22;16;24;18;14;17;21;1;29;5;30;9;2;23;32;4;15;27;10;11;13;20;31;12;5;26620
5;26620;28;8;19;7;26;6;3;25;22;16;24;18;14;17;21;1;29;5;30;9;2;23;32;4;15;27;10;11;13;20;31;12
28;8;19;7;26;6;3;25;22;1;24;18;14;17;21;16;29;5;30;9;2;23;32;4;15;27;10;11;13;20;31;12;5;26940
5;26940;28;8;19;7;26;6;3;25;22;1;24;18;14;17;21;16;29;5;30;9;2;23;32;4;15;27;10;11;13;20;31;12
28;8;19;7;26;6;3;25;22;1;24;14;18;17;21;16;29;5;30;9;2;23;32;4;15;27;10;11;13;20;31;12;5;27108
5;27108;28;8;19;7;26;6;3;25;22;1;24;14;18;17;21;16;29;5;30;9;2;23;32;4;15;27;10;11;13;20;31;12
28;8;21;7;26;6;3;25;22;1;24;14;18;17;19;16;29;5;30;9;2;23;32;4;15;27;10;11;13;20;31;12;5;26948
5;26948;28;8;21;7;26;6;3;25;22;1;24;14;18;17;19;16;29;5;30;9;2;23;32;4;15;27;10;11;13;20;31;12
28;8;21;7;26;6;3;25;22;1;4;14;18;17;19;16;29;5;30;9;2;23;32;24;15;27;10;11;13;20;31;12;5;27436
5;27436;28;8;21;7;26;6;3;25;22;1;4;14;18;17;19;16;29;5;30;9;2;23;32;24;15;27;10;11;13;20;31;12
28;8;31;7;26;6;3;25;22;1;4;14;18;17;19;16;29;5;30;9;2;23;32;24;15;27;10;11;13;20;21;12;5;27076
5;27076;28;8;31;7;26;6;3;25;22;1;4;14;18;17;19;16;29;5;30;9;2;23;32;24;15;27;10;11;13;20;21;12
28;8;31;7;26;6;3;24;22;1;4;14;18;17;19;16;29;5;30;9;2;23;32;25;15;27;10;11;13;20;21;12;5;26916
5;26916;28;8;31;7;26;6;3;24;22;1;4;14;18;17;19;16;29;5;30;9;2;23;32;25;15;27;10;11;13;20;21;12
29;8;31;7;26;6;3;24;22;1;4;14;18;17;19;16;28;5;30;9;2;23;32;25;15;27;10;11;13;20;21;12;5;26676
5;26676;29;8;31;7;26;6;3;24;22;1;4;14;18;17;19;16;28;5;30;9;2;23;32;25;15;27;10;11;13;20;21;12
29;8;31;7;26;6;18;24;22;1;4;14;3;17;19;16;28;5;30;9;2;23;32;25;15;27;10;11;13;20;21;12;5;26662
5;26662;29;8;31;7;26;6;18;24;22;1;4;14;3;17;19;16;28;5;30;9;2;23;32;25;15;27;10;11;13;20;21;12
29;8;31;7;26;6;18;24;22;1;4;9;3;17;19;16;28;5;30;14;2;23;32;25;15;27;10;11;13;20;21;12;5;26782
5;26782;29;8;31;7;26;6;18;24;22;1;4;9;3;17;19;16;28;5;30;14;2;23;32;25;15;27;10;11;13;20;21;12
29;23;31;7;26;6;18;24;22;1;4;9;3;17;19;16;28;5;30;14;2;8;32;25;15;27;10;11;13;20;21;12;5;26454
5;26454;29;23;31;7;26;6;18;24;22;1;4;9;3;17;19;16;28;5;30;14;2;8;32;25;15;27;10;11;13;20;21;12
29;23;1;7;26;6;18;24;22;31;4;9;3;17;19;16;28;5;30;14;2;8;32;25;15;27;10;11;13;20;21;12;5;27094
5;27094;29;23;1;7;26;6;18;24;22;31;4;9;3;17;19;16;28;5;30;14;2;8;32;25;15;27;10;11;13;20;21;12
29;23;1;7;26;6;18;14;22;31;4;9;3;17;19;16;28;5;30;24;2;8;32;25;15;27;10;11;13;20;21;12;5;27610
5;27610;29;23;1;7;26;6;18;14;22;31;4;9;3;17;19;16;28;5;30;24;2;8;32;25;15;27;10;11;13;20;21;12
29;23;1;7;26;6;18;14;22;31;13;9;3;17;19;16;28;5;30;24;2;8;32;25;15;27;10;11;4;20;21;12;5;27930
5;27930;29;23;1;7;26;6;18;14;22;31;13;9;3;17;19;16;28;5;30;24;2;8;32;25;15;27;10;11;4;20;21;12
29;23;1;7;26;25;18;14;22;31;13;9;3;17;19;16;28;5;30;24;2;8;32;6;15;27;10;11;4;20;21;12;5;27608
5;27608;29;23;1;7;26;25;18;14;22;31;13;9;3;17;19;16;28;5;30;24;2;8;32;6;15;27;10;11;4;20;21;12
29;23;1;7;26;25;18;14;22;30;13;9;3;17;19;16;28;5;31;24;2;8;32;6;15;27;10;11;4;20;21;12;5;27628
