"X1";"X27586";"X11";"X7";"X10";"X22";"X31";"X9";"X1.1";"X19";"X2";"X5";"X4";"X23";"X18";"X32";"X14";"X30";"X24";"X17";"X27";"X29";"X15";"X13";"X8";"X26";"X16";"X25";"X28";"X12";"X3";"X21";"X20";"X6"
2;27930;11;18;3;7;16;9;27;19;6;5;23;15;32;20;21;30;24;14;28;29;2;13;17;26;1;25;10;31;22;4;12;8
11;18;3;7;16;9;27;19;6;12;23;15;32;20;21;30;24;14;28;29;2;13;17;26;1;25;10;31;22;4;5;8;2;27770
2;27770;11;18;3;7;16;9;27;19;6;12;23;15;32;20;21;30;24;14;28;29;2;13;17;26;1;25;10;31;22;4;5;8
11;18;3;7;16;9;27;19;6;1;23;15;32;20;21;30;24;14;28;29;2;13;17;26;12;25;10;31;22;4;5;8;2;28070
2;28070;11;18;3;7;16;9;27;19;6;1;23;15;32;20;21;30;24;14;28;29;2;13;17;26;12;25;10;31;22;4;5;8
11;18;3;7;16;9;27;19;6;1;23;15;32;20;21;30;24;14;28;29;2;13;17;26;25;12;10;31;22;4;5;8;2;27222
2;27222;11;18;3;7;16;9;27;19;6;1;23;15;32;20;21;30;24;14;28;29;2;13;17;26;25;12;10;31;22;4;5;8
11;6;3;7;16;9;27;19;18;1;23;15;32;20;21;30;24;14;28;29;2;13;17;26;25;12;10;31;22;4;5;8;2;26734
2;26734;11;6;3;7;16;9;27;19;18;1;23;15;32;20;21;30;24;14;28;29;2;13;17;26;25;12;10;31;22;4;5;8
11;6;3;7;22;9;27;19;18;1;23;15;32;20;21;30;24;14;28;29;2;13;17;26;25;12;10;31;16;4;5;8;2;26982
2;26982;11;6;3;7;22;9;27;19;18;1;23;15;32;20;21;30;24;14;28;29;2;13;17;26;25;12;10;31;16;4;5;8
11;6;3;7;9;22;27;19;18;1;23;15;32;20;21;30;24;14;28;29;2;13;17;26;25;12;10;31;16;4;5;8;2;27338
2;27338;11;6;3;7;9;22;27;19;18;1;23;15;32;20;21;30;24;14;28;29;2;13;17;26;25;12;10;31;16;4;5;8
11;6;3;7;9;22;27;19;18;1;23;15;32;20;21;30;24;14;28;29;2;13;17;26;25;31;10;12;16;4;5;8;2;27734
2;27734;11;6;3;7;9;22;27;19;18;1;23;15;32;20;21;30;24;14;28;29;2;13;17;26;25;31;10;12;16;4;5;8
11;6;3;7;9;22;27;19;18;8;23;15;32;20;21;30;24;14;28;29;2;13;17;26;25;31;10;12;16;4;5;1;2;27414
2;27414;11;6;3;7;9;22;27;19;18;8;23;15;32;20;21;30;24;14;28;29;2;13;17;26;25;31;10;12;16;4;5;1
11;6;3;7;9;22;27;19;18;8;23;15;4;20;21;30;24;14;28;29;2;13;17;26;25;31;10;12;16;32;5;1;2;27686
2;27686;11;6;3;7;9;22;27;19;18;8;23;15;4;20;21;30;24;14;28;29;2;13;17;26;25;31;10;12;16;32;5;1
11;6;3;7;9;22;27;19;18;8;24;15;4;20;21;30;23;14;28;29;2;13;17;26;25;31;10;12;16;32;5;1;2;27486
2;27486;11;6;3;7;9;22;27;19;18;8;24;15;4;20;21;30;23;14;28;29;2;13;17;26;25;31;10;12;16;32;5;1
28;6;3;7;9;22;27;19;18;8;24;15;4;20;21;30;23;14;11;29;2;13;17;26;25;31;10;12;16;32;5;1;2;27522
2;27522;28;6;3;7;9;22;27;19;18;8;24;15;4;20;21;30;23;14;11;29;2;13;17;26;25;31;10;12;16;32;5;1
28;6;3;7;9;22;27;19;13;8;24;15;4;20;21;30;23;14;11;29;2;18;17;26;25;31;10;12;16;32;5;1;2;27330
2;27330;28;6;3;7;9;22;27;19;13;8;24;15;4;20;21;30;23;14;11;29;2;18;17;26;25;31;10;12;16;32;5;1
28;6;3;7;9;22;27;19;13;8;24;15;4;20;21;30;23;14;11;29;32;18;17;26;25;31;10;12;16;2;5;1;2;27636
2;27636;28;6;3;7;9;22;27;19;13;8;24;15;4;20;21;30;23;14;11;29;32;18;17;26;25;31;10;12;16;2;5;1
28;6;3;7;9;2;27;19;13;8;24;15;4;20;21;30;23;14;11;29;32;18;17;26;25;31;10;12;16;22;5;1;2;28298
2;28298;28;6;3;7;9;2;27;19;13;8;24;15;4;20;21;30;23;14;11;29;32;18;17;26;25;31;10;12;16;22;5;1
28;6;3;7;9;2;30;19;13;8;24;15;4;20;21;27;23;14;11;29;32;18;17;26;25;31;10;12;16;22;5;1;2;28138
2;28138;28;6;3;7;9;2;30;19;13;8;24;15;4;20;21;27;23;14;11;29;32;18;17;26;25;31;10;12;16;22;5;1
28;6;3;7;9;2;30;19;13;8;24;15;4;20;21;27;23;14;11;29;32;18;17;22;25;31;10;12;16;26;5;1;2;28138
2;28138;28;6;3;7;9;2;30;19;13;8;24;15;4;20;21;27;23;14;11;29;32;18;17;22;25;31;10;12;16;26;5;1
28;6;3;7;9;2;30;19;13;23;24;15;4;20;21;27;8;14;11;29;32;18;17;22;25;31;10;12;16;26;5;1;2;28368
2;28368;28;6;3;7;9;2;30;19;13;23;24;15;4;20;21;27;8;14;11;29;32;18;17;22;25;31;10;12;16;26;5;1
28;6;3;7;9;2;30;19;13;23;24;21;4;20;15;27;8;14;11;29;32;18;17;22;25;31;10;12;16;26;5;1;2;27634
3;27634;28;6;3;7;9;2;30;19;13;23;24;21;4;20;15;27;8;14;11;29;32;18;17;22;25;31;10;12;16;26;5;1
28;6;3;7;9;2;30;19;13;23;27;21;4;20;15;24;8;14;11;29;32;18;17;22;25;31;10;12;16;26;5;1;3;27834
3;27834;28;6;3;7;9;2;30;19;13;23;27;21;4;20;15;24;8;14;11;29;32;18;17;22;25;31;10;12;16;26;5;1
9;6;3;7;28;2;30;19;13;23;27;21;4;20;15;24;8;14;11;29;32;18;17;22;25;31;10;12;16;26;5;1;3;27660
3;27660;9;6;3;7;28;2;30;19;13;23;27;21;4;20;15;24;8;14;11;29;32;18;17;22;25;31;10;12;16;26;5;1
9;6;3;7;28;2;30;22;13;23;27;21;4;20;15;24;8;14;11;29;32;18;17;19;25;31;10;12;16;26;5;1;3;27260
3;27260;9;6;3;7;28;2;30;22;13;23;27;21;4;20;15;24;8;14;11;29;32;18;17;19;25;31;10;12;16;26;5;1
9;6;3;7;28;2;30;22;17;23;27;21;4;20;15;24;8;14;11;29;32;18;13;19;25;31;10;12;16;26;5;1;3;27036
3;27036;9;6;3;7;28;2;30;22;17;23;27;21;4;20;15;24;8;14;11;29;32;18;13;19;25;31;10;12;16;26;5;1
9;6;3;7;10;2;30;22;17;23;27;21;4;20;15;24;8;14;11;29;32;18;13;19;25;31;28;12;16;26;5;1;3;27078
3;27078;9;6;3;7;10;2;30;22;17;23;27;21;4;20;15;24;8;14;11;29;32;18;13;19;25;31;28;12;16;26;5;1
9;6;3;7;10;2;30;22;17;18;27;21;4;20;15;24;8;14;11;29;32;23;13;19;25;31;28;12;16;26;5;1;3;26998
3;26998;9;6;3;7;10;2;30;22;17;18;27;21;4;20;15;24;8;14;11;29;32;23;13;19;25;31;28;12;16;26;5;1
9;6;3;5;10;2;30;22;17;18;27;21;4;20;15;24;8;14;11;29;32;23;13;19;25;31;28;12;16;26;7;1;3;27598
3;27598;9;6;3;5;10;2;30;22;17;18;27;21;4;20;15;24;8;14;11;29;32;23;13;19;25;31;28;12;16;26;7;1
9;6;3;5;10;2;30;22;17;18;27;21;4;20;26;24;8;14;11;29;32;23;13;19;25;31;28;12;16;15;7;1;3;27756
3;27756;9;6;3;5;10;2;30;22;17;18;27;21;4;20;26;24;8;14;11;29;32;23;13;19;25;31;28;12;16;15;7;1
9;6;24;5;10;2;30;22;17;18;27;21;4;20;26;3;8;14;11;29;32;23;13;19;25;31;28;12;16;15;7;1;3;27302
3;27302;9;6;24;5;10;2;30;22;17;18;27;21;4;20;26;3;8;14;11;29;32;23;13;19;25;31;28;12;16;15;7;1
9;6;24;5;10;2;30;22;17;18;27;21;4;20;11;3;8;14;26;29;32;23;13;19;25;31;28;12;16;15;7;1;3;27092
3;27092;9;6;24;5;10;2;30;22;17;18;27;21;4;20;11;3;8;14;26;29;32;23;13;19;25;31;28;12;16;15;7;1
28;6;24;5;10;2;30;22;17;18;27;21;4;20;11;3;8;14;26;29;32;23;13;19;25;31;9;12;16;15;7;1;3;26660
3;26660;28;6;24;5;10;2;30;22;17;18;27;21;4;20;11;3;8;14;26;29;32;23;13;19;25;31;9;12;16;15;7;1
28;6;24;5;7;2;30;22;17;18;27;21;4;20;11;3;8;14;26;29;32;23;13;19;25;31;9;12;16;15;10;1;3;26460
3;26460;28;6;24;5;7;2;30;22;17;18;27;21;4;20;11;3;8;14;26;29;32;23;13;19;25;31;9;12;16;15;10;1
28;6;24;5;7;2;30;22;17;18;27;21;4;20;11;3;8;14;26;29;32;23;13;19;25;31;9;12;1;15;10;16;3;26780
3;26780;28;6;24;5;7;2;30;22;17;18;27;21;4;20;11;3;8;14;26;29;32;23;13;19;25;31;9;12;1;15;10;16
28;6;24;5;7;2;30;22;17;18;27;21;4;20;11;3;8;14;26;29;32;23;31;19;25;13;9;12;1;15;10;16;3;26994
3;26994;28;6;24;5;7;2;30;22;17;18;27;21;4;20;11;3;8;14;26;29;32;23;31;19;25;13;9;12;1;15;10;16
28;6;24;5;7;2;30;22;17;18;27;21;4;16;11;3;8;14;26;29;32;23;31;19;25;13;9;12;1;15;10;20;3;26374
3;26374;28;6;24;5;7;2;30;22;17;18;27;21;4;16;11;3;8;14;26;29;32;23;31;19;25;13;9;12;1;15;10;20
28;6;24;5;7;2;30;22;17;18;27;21;4;16;8;3;11;14;26;29;32;23;31;19;25;13;9;12;1;15;10;20;3;26294
3;26294;28;6;24;5;7;2;30;22;17;18;27;21;4;16;8;3;11;14;26;29;32;23;31;19;25;13;9;12;1;15;10;20
28;6;24;5;7;2;30;22;17;18;27;21;4;16;8;3;11;14;26;29;32;23;31;19;25;13;9;20;1;15;10;12;3;26066
3;26066;28;6;24;5;7;2;30;22;17;18;27;21;4;16;8;3;11;14;26;29;32;23;31;19;25;13;9;20;1;15;10;12
28;6;24;5;7;2;30;22;17;18;27;21;4;16;8;9;11;14;26;29;32;23;31;19;25;13;3;20;1;15;10;12;3;26426
3;26066;28;6;24;5;7;2;30;22;17;18;27;21;4;16;8;3;11;14;26;29;32;23;31;19;25;13;9;20;1;15;10;12
28;6;24;5;7;2;30;22;17;18;27;21;4;16;8;3;1;14;26;29;32;23;31;19;25;13;9;20;11;15;10;12;3;25866
3;25866;28;6;24;5;7;2;30;22;17;18;27;21;4;16;8;3;1;14;26;29;32;23;31;19;25;13;9;20;11;15;10;12
28;6;24;5;7;2;30;22;17;23;27;21;4;16;8;3;1;14;26;29;32;18;31;19;25;13;9;20;11;15;10;12;3;26186
4;26186;28;6;24;5;7;2;30;22;17;23;27;21;4;16;8;3;1;14;26;29;32;18;31;19;25;13;9;20;11;15;10;12
28;6;24;21;7;2;30;22;17;23;27;5;4;16;8;3;1;14;26;29;32;18;31;19;25;13;9;20;11;15;10;12;4;26508
4;26508;28;6;24;21;7;2;30;22;17;23;27;5;4;16;8;3;1;14;26;29;32;18;31;19;25;13;9;20;11;15;10;12
28;6;24;21;17;2;30;22;7;23;27;5;4;16;8;3;1;14;26;29;32;18;31;19;25;13;9;20;11;15;10;12;4;26656
4;26656;28;6;24;21;17;2;30;22;7;23;27;5;4;16;8;3;1;14;26;29;32;18;31;19;25;13;9;20;11;15;10;12
28;6;24;21;17;2;30;22;7;18;27;5;4;16;8;3;1;14;26;29;32;23;31;19;25;13;9;20;11;15;10;12;4;26416
4;26416;28;6;24;21;17;2;30;22;7;18;27;5;4;16;8;3;1;14;26;29;32;23;31;19;25;13;9;20;11;15;10;12
28;6;24;21;17;16;30;22;7;18;27;5;4;2;8;3;1;14;26;29;32;23;31;19;25;13;9;20;11;15;10;12;4;27076
4;27076;28;6;24;21;17;16;30;22;7;18;27;5;4;2;8;3;1;14;26;29;32;23;31;19;25;13;9;20;11;15;10;12
28;6;24;25;17;16;30;22;7;18;27;5;4;2;8;3;1;14;26;29;32;23;31;19;21;13;9;20;11;15;10;12;4;27256
4;27256;28;6;24;25;17;16;30;22;7;18;27;5;4;2;8;3;1;14;26;29;32;23;31;19;21;13;9;20;11;15;10;12
28;6;24;25;17;16;30;22;7;18;27;5;4;2;8;3;1;14;26;29;11;23;31;19;21;13;9;20;32;15;10;12;4;27204
4;27204;28;6;24;25;17;16;30;22;7;18;27;5;4;2;8;3;1;14;26;29;11;23;31;19;21;13;9;20;32;15;10;12
28;5;24;25;17;16;30;22;7;18;27;6;4;2;8;3;1;14;26;29;11;23;31;19;21;13;9;20;32;15;10;12;4;27064
4;27064;28;5;24;25;17;16;30;22;7;18;27;6;4;2;8;3;1;14;26;29;11;23;31;19;21;13;9;20;32;15;10;12
28;5;24;25;17;16;30;22;7;18;27;6;4;2;8;3;1;14;26;29;11;23;31;19;21;20;9;13;32;15;10;12;4;28168
4;28168;28;5;24;25;17;16;30;22;7;18;27;6;4;2;8;3;1;14;26;29;11;23;31;19;21;20;9;13;32;15;10;12
11;5;24;25;17;16;30;22;7;18;27;6;4;2;8;3;1;14;26;29;28;23;31;19;21;20;9;13;32;15;10;12;4;27506
4;27506;11;5;24;25;17;16;30;22;7;18;27;6;4;2;8;3;1;14;26;29;28;23;31;19;21;20;9;13;32;15;10;12
11;5;24;25;17;7;30;22;16;18;27;6;4;2;8;3;1;14;26;29;28;23;31;19;21;20;9;13;32;15;10;12;4;26786
4;26786;11;5;24;25;17;7;30;22;16;18;27;6;4;2;8;3;1;14;26;29;28;23;31;19;21;20;9;13;32;15;10;12
11;5;24;25;17;7;30;22;16;18;27;6;4;2;8;3;1;14;26;29;28;23;32;19;21;20;9;13;31;15;10;12;4;26786
4;26786;11;5;24;25;17;7;30;22;16;18;27;6;4;2;8;3;1;14;26;29;28;23;32;19;21;20;9;13;31;15;10;12
11;5;24;25;12;7;30;22;16;18;27;6;4;2;8;3;1;14;26;29;28;23;32;19;21;20;9;13;31;15;10;17;4;26836
4;26836;11;5;24;25;12;7;30;22;16;18;27;6;4;2;8;3;1;14;26;29;28;23;32;19;21;20;9;13;31;15;10;17
11;5;24;25;12;7;30;22;16;18;27;6;4;2;8;3;1;14;26;29;28;15;32;19;21;20;9;13;31;23;10;17;4;26650
4;26650;11;5;24;25;12;7;30;22;16;18;27;6;4;2;8;3;1;14;26;29;28;15;32;19;21;20;9;13;31;23;10;17
11;5;24;25;12;31;30;22;16;18;27;6;4;2;8;3;1;14;26;29;28;15;32;19;21;20;9;13;7;23;10;17;4;28250
4;28250;11;5;24;25;12;31;30;22;16;18;27;6;4;2;8;3;1;14;26;29;28;15;32;19;21;20;9;13;7;23;10;17
11;5;24;25;12;31;30;22;16;18;27;6;4;2;8;3;1;14;26;29;28;15;32;19;21;10;9;13;7;23;20;17;4;27226
4;27226;11;5;24;25;12;31;30;22;16;18;27;6;4;2;8;3;1;14;26;29;28;15;32;19;21;10;9;13;7;23;20;17
11;5;24;25;12;31;30;22;16;18;27;4;6;2;8;3;1;14;26;29;28;15;32;19;21;10;9;13;7;23;20;17;4;26866
4;26866;11;5;24;25;12;31;30;22;16;18;27;4;6;2;8;3;1;14;26;29;28;15;32;19;21;10;9;13;7;23;20;17
11;17;24;25;12;31;30;22;16;18;27;4;6;2;8;3;1;14;26;29;28;15;32;19;21;10;9;13;7;23;20;5;4;27332
4;27332;11;17;24;25;12;31;30;22;16;18;27;4;6;2;8;3;1;14;26;29;28;15;32;19;21;10;9;13;7;23;20;5
11;17;24;25;12;31;30;22;16;18;27;4;6;2;8;3;1;14;26;29;28;15;32;19;21;10;23;13;7;9;20;5;4;27332
4;27332;11;17;24;25;12;31;30;22;16;18;27;4;6;2;8;3;1;14;26;29;28;15;32;19;21;10;23;13;7;9;20;5
11;17;24;25;12;31;30;22;16;18;27;4;6;23;8;3;1;14;26;29;28;15;32;19;21;10;2;13;7;9;20;5;4;27660
4;27660;11;17;24;25;12;31;30;22;16;18;27;4;6;23;8;3;1;14;26;29;28;15;32;19;21;10;2;13;7;9;20;5
31;17;24;25;12;11;30;22;16;18;27;4;6;23;8;3;1;14;26;29;28;15;32;19;21;10;2;13;7;9;20;5;4;27422
5;27422;31;17;24;25;12;11;30;22;16;18;27;4;6;23;8;3;1;14;26;29;28;15;32;19;21;10;2;13;7;9;20;5
31;17;24;25;11;12;30;22;16;18;27;4;6;23;8;3;1;14;26;29;28;15;32;19;21;10;2;13;7;9;20;5;5;27262
5;27262;31;17;24;25;11;12;30;22;16;18;27;4;6;23;8;3;1;14;26;29;28;15;32;19;21;10;2;13;7;9;20;5
31;17;24;25;11;13;30;22;16;18;27;4;6;23;8;3;1;14;26;29;28;15;32;19;21;10;2;12;7;9;20;5;5;27662
5;27662;31;17;24;25;11;13;30;22;16;18;27;4;6;23;8;3;1;14;26;29;28;15;32;19;21;10;2;12;7;9;20;5
24;17;31;25;11;13;30;22;16;18;27;4;6;23;8;3;1;14;26;29;28;15;32;19;21;10;2;12;7;9;20;5;5;27882
5;27882;24;17;31;25;11;13;30;22;16;18;27;4;6;23;8;3;1;14;26;29;28;15;32;19;21;10;2;12;7;9;20;5
24;17;31;25;11;13;30;22;16;18;27;4;6;23;8;3;29;14;26;1;28;15;32;19;21;10;2;12;7;9;20;5;5;28158
5;28158;24;17;31;25;11;13;30;22;16;18;27;4;6;23;8;3;29;14;26;1;28;15;32;19;21;10;2;12;7;9;20;5
24;17;31;25;11;13;30;22;16;18;27;4;6;23;29;3;8;14;26;1;28;15;32;19;21;10;2;12;7;9;20;5;5;27876
5;27876;24;17;31;25;11;13;30;22;16;18;27;4;6;23;29;3;8;14;26;1;28;15;32;19;21;10;2;12;7;9;20;5
24;17;31;25;26;13;30;22;16;18;27;4;6;23;29;3;8;14;11;1;28;15;32;19;21;10;2;12;7;9;20;5;5;27494
5;27494;24;17;31;25;26;13;30;22;16;18;27;4;6;23;29;3;8;14;11;1;28;15;32;19;21;10;2;12;7;9;20;5
24;17;31;25;26;13;30;22;16;18;27;4;6;23;29;3;8;14;11;1;28;15;32;9;21;10;2;12;7;19;20;5;5;27850
5;27850;24;17;31;25;26;13;30;22;16;18;27;4;6;23;29;3;8;14;11;1;28;15;32;9;21;10;2;12;7;19;20;5
24;17;9;25;26;13;30;22;16;18;27;4;6;23;29;3;8;14;11;1;28;15;32;31;21;10;2;12;7;19;20;5;5;27680
5;27680;24;17;9;25;26;13;30;22;16;18;27;4;6;23;29;3;8;14;11;1;28;15;32;31;21;10;2;12;7;19;20;5
24;17;9;25;26;13;30;22;16;18;27;4;12;23;29;3;8;14;11;1;28;15;32;31;21;10;2;6;7;19;20;5;5;27160
5;27160;24;17;9;25;26;13;30;22;16;18;27;4;12;23;29;3;8;14;11;1;28;15;32;31;21;10;2;6;7;19;20;5
24;17;9;19;26;13;30;22;16;18;27;4;12;23;29;3;8;14;11;1;28;15;32;31;21;10;2;6;7;25;20;5;5;27440
5;27440;24;17;9;19;26;13;30;22;16;18;27;4;12;23;29;3;8;14;11;1;28;15;32;31;21;10;2;6;7;25;20;5
24;17;19;9;26;13;30;22;16;18;27;4;12;23;29;3;8;14;11;1;28;15;32;31;21;10;2;6;7;25;20;5;5;27528
5;27528;24;17;19;9;26;13;30;22;16;18;27;4;12;23;29;3;8;14;11;1;28;15;32;31;21;10;2;6;7;25;20;5
24;17;19;9;26;13;30;22;16;18;27;4;12;23;29;14;8;3;11;1;28;15;32;31;21;10;2;6;7;25;20;5;5;27128
5;27128;24;17;19;9;26;13;30;22;16;18;27;4;12;23;29;14;8;3;11;1;28;15;32;31;21;10;2;6;7;25;20;5
24;17;19;9;26;13;30;22;16;18;27;11;12;23;29;14;8;3;4;1;28;15;32;31;21;10;2;6;7;25;20;5;5;26528
5;26528;24;17;19;9;26;13;30;22;16;18;27;11;12;23;29;14;8;3;4;1;28;15;32;31;21;10;2;6;7;25;20;5
24;17;19;9;26;13;30;22;16;18;27;11;12;23;29;14;8;28;4;1;3;15;32;31;21;10;2;6;7;25;20;5;5;27268
5;27268;24;17;19;9;26;13;30;22;16;18;27;11;12;23;29;14;8;28;4;1;3;15;32;31;21;10;2;6;7;25;20;5
24;17;19;9;26;13;30;22;16;18;27;11;12;23;29;14;10;28;4;1;3;15;32;31;21;8;2;6;7;25;20;5;5;27348
5;27348;24;17;19;9;26;13;30;22;16;18;27;11;12;23;29;14;10;28;4;1;3;15;32;31;21;8;2;6;7;25;20;5
24;17;19;9;26;13;30;22;16;18;27;11;12;23;29;14;10;6;4;1;3;15;32;31;21;8;2;28;7;25;20;5;5;26554
5;26554;24;17;19;9;26;13;30;22;16;18;27;11;12;23;29;14;10;6;4;1;3;15;32;31;21;8;2;28;7;25;20;5
24;17;19;9;26;13;30;22;16;18;27;11;12;23;29;14;10;6;4;1;3;15;32;31;21;5;2;28;7;25;20;8;5;25474
5;25474;24;17;19;9;26;13;30;22;16;18;27;11;12;23;29;14;10;6;4;1;3;15;32;31;21;5;2;28;7;25;20;8
24;17;19;9;26;13;30;22;16;18;27;11;12;23;29;14;10;6;4;2;3;15;32;31;21;5;1;28;7;25;20;8;5;25274
5;25274;24;17;19;9;26;13;30;22;16;18;27;11;12;23;29;14;10;6;4;2;3;15;32;31;21;5;1;28;7;25;20;8
24;17;19;9;26;13;25;22;16;18;27;11;12;23;29;14;10;6;4;2;3;15;32;31;21;5;1;28;7;30;20;8;5;25474
