"X1";"X26418";"X14";"X2";"X25";"X18";"X27";"X31";"X3";"X12";"X4";"X30";"X9";"X23";"X11";"X21";"X20";"X13";"X29";"X26";"X6";"X16";"X8";"X32";"X22";"X5";"X28";"X24";"X17";"X7";"X10";"X1.1";"X19";"X15"
1;26824;14;16;13;18;27;23;3;1;4;29;9;31;15;21;26;19;2;20;25;11;8;32;17;30;28;24;22;7;10;12;5;6
15;16;13;18;27;23;3;1;4;29;9;31;14;21;26;19;2;20;25;11;8;32;17;30;28;24;22;7;10;12;5;6;1;26824
1;26824;15;16;13;18;27;23;3;1;4;29;9;31;14;21;26;19;2;20;25;11;8;32;17;30;28;24;22;7;10;12;5;6
15;16;13;8;27;23;3;1;4;29;9;31;14;21;26;19;2;20;25;11;18;32;17;30;28;24;22;7;10;12;5;6;1;27176
1;27176;15;16;13;8;27;23;3;1;4;29;9;31;14;21;26;19;2;20;25;11;18;32;17;30;28;24;22;7;10;12;5;6
15;19;13;8;27;23;3;1;4;29;9;31;14;21;26;16;2;20;25;11;18;32;17;30;28;24;22;7;10;12;5;6;1;26710
1;26710;15;19;13;8;27;23;3;1;4;29;9;31;14;21;26;16;2;20;25;11;18;32;17;30;28;24;22;7;10;12;5;6
15;19;8;13;27;23;3;1;4;29;9;31;14;21;26;16;2;20;25;11;18;32;17;30;28;24;22;7;10;12;5;6;1;26790
1;26790;15;19;8;13;27;23;3;1;4;29;9;31;14;21;26;16;2;20;25;11;18;32;17;30;28;24;22;7;10;12;5;6
19;15;8;13;27;23;3;1;4;29;9;31;14;21;26;16;2;20;25;11;18;32;17;30;28;24;22;7;10;12;5;6;1;26920
1;26920;19;15;8;13;27;23;3;1;4;29;9;31;14;21;26;16;2;20;25;11;18;32;17;30;28;24;22;7;10;12;5;6
19;15;8;13;4;23;3;1;27;29;9;31;14;21;26;16;2;20;25;11;18;32;17;30;28;24;22;7;10;12;5;6;1;27292
2;27292;19;15;8;13;4;23;3;1;27;29;9;31;14;21;26;16;2;20;25;11;18;32;17;30;28;24;22;7;10;12;5;6
19;15;8;13;4;23;3;1;27;29;9;31;14;21;26;16;22;20;25;11;18;32;17;30;28;24;2;7;10;12;5;6;2;27628
2;27628;19;15;8;13;4;23;3;1;27;29;9;31;14;21;26;16;22;20;25;11;18;32;17;30;28;24;2;7;10;12;5;6
19;15;8;13;4;23;3;1;27;29;9;31;14;21;26;16;22;20;25;30;18;32;17;11;28;24;2;7;10;12;5;6;2;28156
2;28156;19;15;8;13;4;23;3;1;27;29;9;31;14;21;26;16;22;20;25;30;18;32;17;11;28;24;2;7;10;12;5;6
19;15;8;13;4;23;3;1;27;29;9;7;14;21;26;16;22;20;25;30;18;32;17;11;28;24;2;31;10;12;5;6;2;27400
2;27400;19;15;8;13;4;23;3;1;27;29;9;7;14;21;26;16;22;20;25;30;18;32;17;11;28;24;2;31;10;12;5;6
19;15;8;13;4;27;3;1;23;29;9;7;14;21;26;16;22;20;25;30;18;32;17;11;28;24;2;31;10;12;5;6;2;27400
2;27400;19;15;8;13;4;27;3;1;23;29;9;7;14;21;26;16;22;20;25;30;18;32;17;11;28;24;2;31;10;12;5;6
19;15;8;13;4;27;3;1;23;29;9;6;14;21;26;16;22;20;25;30;18;32;17;11;28;24;2;31;10;12;5;7;2;27400
2;27400;19;15;8;13;4;27;3;1;23;29;9;6;14;21;26;16;22;20;25;30;18;32;17;11;28;24;2;31;10;12;5;7
19;15;8;13;4;27;1;3;23;29;9;6;14;21;26;16;22;20;25;30;18;32;17;11;28;24;2;31;10;12;5;7;2;27280
2;27280;19;15;8;13;4;27;1;3;23;29;9;6;14;21;26;16;22;20;25;30;18;32;17;11;28;24;2;31;10;12;5;7
19;15;8;13;4;27;1;3;23;12;9;6;14;21;26;16;22;20;25;30;18;32;17;11;28;24;2;31;10;29;5;7;2;27674
2;27674;19;15;8;13;4;27;1;3;23;12;9;6;14;21;26;16;22;20;25;30;18;32;17;11;28;24;2;31;10;29;5;7
19;15;8;13;4;27;1;3;23;12;9;6;14;21;26;16;22;20;25;30;18;32;17;11;29;24;2;31;10;28;5;7;2;27914
2;27914;19;15;8;13;4;27;1;3;23;12;9;6;14;21;26;16;22;20;25;30;18;32;17;11;29;24;2;31;10;28;5;7
19;15;8;32;4;27;1;3;23;12;9;6;14;21;26;16;22;20;25;30;18;13;17;11;29;24;2;31;10;28;5;7;2;27690
2;27690;19;15;8;32;4;27;1;3;23;12;9;6;14;21;26;16;22;20;25;30;18;13;17;11;29;24;2;31;10;28;5;7
19;15;8;32;4;27;1;3;23;12;9;13;14;21;26;16;22;20;25;30;18;6;17;11;29;24;2;31;10;28;5;7;2;27470
2;27470;19;15;8;32;4;27;1;3;23;12;9;13;14;21;26;16;22;20;25;30;18;6;17;11;29;24;2;31;10;28;5;7
19;15;8;32;4;27;22;3;23;12;9;13;14;21;26;16;1;20;25;30;18;6;17;11;29;24;2;31;10;28;5;7;2;27504
2;27504;19;15;8;32;4;27;22;3;23;12;9;13;14;21;26;16;1;20;25;30;18;6;17;11;29;24;2;31;10;28;5;7
19;15;8;32;4;27;22;3;23;12;9;13;14;21;20;16;1;26;25;30;18;6;17;11;29;24;2;31;10;28;5;7;2;27264
2;27264;19;15;8;32;4;27;22;3;23;12;9;13;14;21;20;16;1;26;25;30;18;6;17;11;29;24;2;31;10;28;5;7
19;15;8;32;4;27;22;3;23;14;9;13;12;21;20;16;1;26;25;30;18;6;17;11;29;24;2;31;10;28;5;7;2;27684
2;27684;19;15;8;32;4;27;22;3;23;14;9;13;12;21;20;16;1;26;25;30;18;6;17;11;29;24;2;31;10;28;5;7
19;15;8;32;4;27;22;3;23;14;9;13;12;21;20;16;1;26;25;30;2;6;17;11;29;24;18;31;10;28;5;7;2;27454
2;27454;19;15;8;32;4;27;22;3;23;14;9;13;12;21;20;16;1;26;25;30;2;6;17;11;29;24;18;31;10;28;5;7
29;15;8;32;4;27;22;3;23;14;9;13;12;21;20;16;1;26;25;30;2;6;17;11;19;24;18;31;10;28;5;7;2;27734
2;27734;29;15;8;32;4;27;22;3;23;14;9;13;12;21;20;16;1;26;25;30;2;6;17;11;19;24;18;31;10;28;5;7
29;15;8;32;4;27;26;3;23;14;9;13;12;21;20;16;1;22;25;30;2;6;17;11;19;24;18;31;10;28;5;7;2;27334
2;27334;29;15;8;32;4;27;26;3;23;14;9;13;12;21;20;16;1;22;25;30;2;6;17;11;19;24;18;31;10;28;5;7
29;15;8;32;4;27;26;3;23;14;9;13;22;21;20;16;1;12;25;30;2;6;17;11;19;24;18;31;10;28;5;7;2;27384
2;27384;29;15;8;32;4;27;26;3;23;14;9;13;22;21;20;16;1;12;25;30;2;6;17;11;19;24;18;31;10;28;5;7
29;26;8;32;4;27;15;3;23;14;9;13;22;21;20;16;1;12;25;30;2;6;17;11;19;24;18;31;10;28;5;7;2;27584
2;27384;29;15;8;32;4;27;26;3;23;14;9;13;22;21;20;16;1;12;25;30;2;6;17;11;19;24;18;31;10;28;5;7
29;15;8;32;4;27;26;3;23;14;9;13;22;2;20;16;1;12;25;30;21;6;17;11;19;24;18;31;10;28;5;7;2;27430
2;27430;29;15;8;32;4;27;26;3;23;14;9;13;22;2;20;16;1;12;25;30;21;6;17;11;19;24;18;31;10;28;5;7
1;15;8;32;4;27;26;3;23;14;9;13;22;2;20;16;29;12;25;30;21;6;17;11;19;24;18;31;10;28;5;7;2;27694
3;27694;1;15;8;32;4;27;26;3;23;14;9;13;22;2;20;16;29;12;25;30;21;6;17;11;19;24;18;31;10;28;5;7
1;15;8;32;4;27;26;3;23;14;9;13;22;2;31;16;29;12;25;30;21;6;17;11;19;24;18;20;10;28;5;7;3;27854
3;27854;1;15;8;32;4;27;26;3;23;14;9;13;22;2;31;16;29;12;25;30;21;6;17;11;19;24;18;20;10;28;5;7
1;18;8;32;4;27;26;3;23;14;9;13;22;2;31;16;29;12;25;30;21;6;17;11;19;24;15;20;10;28;5;7;3;27824
3;27824;1;18;8;32;4;27;26;3;23;14;9;13;22;2;31;16;29;12;25;30;21;6;17;11;19;24;15;20;10;28;5;7
1;18;8;32;4;27;26;3;23;14;29;13;22;2;31;16;9;12;25;30;21;6;17;11;19;24;15;20;10;28;5;7;3;27612
3;27612;1;18;8;32;4;27;26;3;23;14;29;13;22;2;31;16;9;12;25;30;21;6;17;11;19;24;15;20;10;28;5;7
1;32;8;18;4;27;26;3;23;14;29;13;22;2;31;16;9;12;25;30;21;6;17;11;19;24;15;20;10;28;5;7;3;27812
3;27812;1;32;8;18;4;27;26;3;23;14;29;13;22;2;31;16;9;12;25;30;21;6;17;11;19;24;15;20;10;28;5;7
1;32;8;18;4;27;26;3;23;14;29;13;22;2;31;17;9;12;25;30;21;6;16;11;19;24;15;20;10;28;5;7;3;27570
3;27570;1;32;8;18;4;27;26;3;23;14;29;13;22;2;31;17;9;12;25;30;21;6;16;11;19;24;15;20;10;28;5;7
1;24;8;18;4;27;26;3;23;14;29;13;22;2;31;17;9;12;25;30;21;6;16;11;19;32;15;20;10;28;5;7;3;27850
3;27850;1;24;8;18;4;27;26;3;23;14;29;13;22;2;31;17;9;12;25;30;21;6;16;11;19;32;15;20;10;28;5;7
1;24;8;18;4;27;26;3;23;14;29;13;22;2;25;17;9;12;31;30;21;6;16;11;19;32;15;20;10;28;5;7;3;28030
3;28030;1;24;8;18;4;27;26;3;23;14;29;13;22;2;25;17;9;12;31;30;21;6;16;11;19;32;15;20;10;28;5;7
4;24;8;18;1;27;26;3;23;14;29;13;22;2;25;17;9;12;31;30;21;6;16;11;19;32;15;20;10;28;5;7;3;28010
3;28010;4;24;8;18;1;27;26;3;23;14;29;13;22;2;25;17;9;12;31;30;21;6;16;11;19;32;15;20;10;28;5;7
4;24;8;18;1;27;26;3;23;14;29;13;22;2;25;17;9;12;31;30;21;6;15;11;19;32;16;20;10;28;5;7;3;27710
3;27710;4;24;8;18;1;27;26;3;23;14;29;13;22;2;25;17;9;12;31;30;21;6;15;11;19;32;16;20;10;28;5;7
4;24;8;18;1;27;26;3;23;14;29;13;22;2;25;17;9;19;31;30;21;6;15;11;12;32;16;20;10;28;5;7;3;27892
3;27892;4;24;8;18;1;27;26;3;23;14;29;13;22;2;25;17;9;19;31;30;21;6;15;11;12;32;16;20;10;28;5;7
4;24;8;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;31;30;21;6;15;11;12;32;16;20;10;28;3;7;3;27452
3;27452;4;24;8;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;31;30;21;6;15;11;12;32;16;20;10;28;3;7
4;24;8;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;11;30;21;6;15;31;12;32;16;20;10;28;3;7;3;27836
3;27836;4;24;8;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;11;30;21;6;15;31;12;32;16;20;10;28;3;7
4;24;8;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;11;30;21;6;28;31;12;32;16;20;10;15;3;7;3;28250
3;28250;4;24;8;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;11;30;21;6;28;31;12;32;16;20;10;15;3;7
4;24;8;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;11;30;21;3;28;31;12;32;16;20;10;15;6;7;3;28610
3;28610;4;24;8;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;11;30;21;3;28;31;12;32;16;20;10;15;6;7
11;24;8;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;4;30;21;3;28;31;12;32;16;20;10;15;6;7;3;27890
3;27890;11;24;8;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;4;30;21;3;28;31;12;32;16;20;10;15;6;7
11;24;4;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;8;30;21;3;28;31;12;32;16;20;10;15;6;7;3;28150
3;28150;11;24;4;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;8;30;21;3;28;31;12;32;16;20;10;15;6;7
11;24;4;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;8;30;21;20;28;31;12;32;16;3;10;15;6;7;3;28192
3;28192;11;24;4;18;1;27;26;5;23;14;29;13;22;2;25;17;9;19;8;30;21;20;28;31;12;32;16;3;10;15;6;7
11;24;4;18;1;27;26;5;23;14;30;13;22;2;25;17;9;19;8;29;21;20;28;31;12;32;16;3;10;15;6;7;3;28272
3;28272;11;24;4;18;1;27;26;5;23;14;30;13;22;2;25;17;9;19;8;29;21;20;28;31;12;32;16;3;10;15;6;7
11;24;4;18;1;27;26;5;23;14;30;13;22;2;25;17;9;19;8;29;21;20;16;31;12;32;28;3;10;15;6;7;3;28090
3;28090;11;24;4;18;1;27;26;5;23;14;30;13;22;2;25;17;9;19;8;29;21;20;16;31;12;32;28;3;10;15;6;7
11;24;4;18;1;27;26;5;23;3;30;13;22;2;25;17;9;19;8;29;21;20;16;31;12;32;28;14;10;15;6;7;3;28090
4;28090;11;24;4;18;1;27;26;5;23;3;30;13;22;2;25;17;9;19;8;29;21;20;16;31;12;32;28;14;10;15;6;7
11;24;4;21;1;27;26;5;23;3;30;13;22;2;25;17;9;19;8;29;18;20;16;31;12;32;28;14;10;15;6;7;4;27810
4;27810;11;24;4;21;1;27;26;5;23;3;30;13;22;2;25;17;9;19;8;29;18;20;16;31;12;32;28;14;10;15;6;7
11;24;4;21;1;5;26;27;23;3;30;13;22;2;25;17;9;19;8;29;18;20;16;31;12;32;28;14;10;15;6;7;4;28116
4;28116;11;24;4;21;1;5;26;27;23;3;30;13;22;2;25;17;9;19;8;29;18;20;16;31;12;32;28;14;10;15;6;7
11;24;4;21;1;5;26;27;23;3;30;13;22;2;25;17;9;19;8;16;18;20;29;31;12;32;28;14;10;15;6;7;4;28470
4;28470;11;24;4;21;1;5;26;27;23;3;30;13;22;2;25;17;9;19;8;16;18;20;29;31;12;32;28;14;10;15;6;7
11;24;4;21;1;15;26;27;23;3;30;13;22;2;25;17;9;19;8;16;18;20;29;31;12;32;28;14;10;5;6;7;4;28950
4;28950;11;24;4;21;1;15;26;27;23;3;30;13;22;2;25;17;9;19;8;16;18;20;29;31;12;32;28;14;10;5;6;7
11;24;4;21;1;15;26;27;23;3;30;13;22;31;25;17;9;19;8;16;18;20;29;2;12;32;28;14;10;5;6;7;4;28190
4;28190;11;24;4;21;1;15;26;27;23;3;30;13;22;31;25;17;9;19;8;16;18;20;29;2;12;32;28;14;10;5;6;7
11;24;4;21;1;15;26;27;23;3;30;13;22;31;25;17;9;19;8;16;18;20;29;2;28;32;12;14;10;5;6;7;4;28190
4;28190;11;24;4;21;1;15;26;27;23;3;30;13;22;31;25;17;9;19;8;16;18;20;29;2;28;32;12;14;10;5;6;7
11;24;4;21;1;15;26;27;23;3;30;13;22;31;25;10;9;19;8;16;18;20;29;2;28;32;12;14;17;5;6;7;4;27864
4;27864;11;24;4;21;1;15;26;27;23;3;30;13;22;31;25;10;9;19;8;16;18;20;29;2;28;32;12;14;17;5;6;7
11;24;4;6;1;15;26;27;23;3;30;13;22;31;25;10;9;19;8;16;18;20;29;2;28;32;12;14;17;5;21;7;4;27610
4;27610;11;24;4;6;1;15;26;27;23;3;30;13;22;31;25;10;9;19;8;16;18;20;29;2;28;32;12;14;17;5;21;7
11;24;4;6;1;15;26;27;23;3;13;30;22;31;25;10;9;19;8;16;18;20;29;2;28;32;12;14;17;5;21;7;4;27586
4;27586;11;24;4;6;1;15;26;27;23;3;13;30;22;31;25;10;9;19;8;16;18;20;29;2;28;32;12;14;17;5;21;7
11;1;4;6;24;15;26;27;23;3;13;30;22;31;25;10;9;19;8;16;18;20;29;2;28;32;12;14;17;5;21;7;4;27586
4;27586;11;1;4;6;24;15;26;27;23;3;13;30;22;31;25;10;9;19;8;16;18;20;29;2;28;32;12;14;17;5;21;7
11;1;4;6;17;15;26;27;23;3;13;30;22;31;25;10;9;19;8;16;18;20;29;2;28;32;12;14;24;5;21;7;4;27826
4;27826;11;1;4;6;17;15;26;27;23;3;13;30;22;31;25;10;9;19;8;16;18;20;29;2;28;32;12;14;24;5;21;7
11;1;4;6;17;15;26;27;23;3;13;30;22;31;25;10;9;19;8;16;18;20;29;2;28;32;12;21;24;5;14;7;4;27534
4;27534;11;1;4;6;17;15;26;27;23;3;13;30;22;31;25;10;9;19;8;16;18;20;29;2;28;32;12;21;24;5;14;7
11;1;4;6;17;15;26;27;23;3;13;30;22;2;25;10;9;19;8;16;18;20;29;31;28;32;12;21;24;5;14;7;4;27914
4;27914;11;1;4;6;17;15;26;27;23;3;13;30;22;2;25;10;9;19;8;16;18;20;29;31;28;32;12;21;24;5;14;7
11;1;4;6;17;15;26;27;9;3;13;30;22;2;25;10;23;19;8;16;18;20;29;31;28;32;12;21;24;5;14;7;4;28136
4;28136;11;1;4;6;17;15;26;27;9;3;13;30;22;2;25;10;23;19;8;16;18;20;29;31;28;32;12;21;24;5;14;7
11;1;4;6;17;15;26;27;9;3;13;30;22;2;25;10;23;19;8;5;18;20;29;31;28;32;12;21;24;16;14;7;4;27176
4;27176;11;1;4;6;17;15;26;27;9;3;13;30;22;2;25;10;23;19;8;5;18;20;29;31;28;32;12;21;24;16;14;7
11;1;4;6;17;15;26;27;9;13;3;30;22;2;25;10;23;19;8;5;18;20;29;31;28;32;12;21;24;16;14;7;4;26516
4;26516;11;1;4;6;17;15;26;27;9;13;3;30;22;2;25;10;23;19;8;5;18;20;29;31;28;32;12;21;24;16;14;7
11;1;4;6;17;15;26;27;18;13;3;30;22;2;25;10;23;19;8;5;9;20;29;31;28;32;12;21;24;16;14;7;4;26728
4;26728;11;1;4;6;17;15;26;27;18;13;3;30;22;2;25;10;23;19;8;5;9;20;29;31;28;32;12;21;24;16;14;7
11;1;4;6;17;15;21;27;18;13;3;30;22;2;25;10;23;19;8;5;9;20;29;31;28;32;12;26;24;16;14;7;4;26688
4;26688;11;1;4;6;17;15;21;27;18;13;3;30;22;2;25;10;23;19;8;5;9;20;29;31;28;32;12;26;24;16;14;7
11;1;25;6;17;15;21;27;18;13;3;30;22;2;4;10;23;19;8;5;9;20;29;31;28;32;12;26;24;16;14;7;4;26552
4;26552;11;1;25;6;17;15;21;27;18;13;3;30;22;2;4;10;23;19;8;5;9;20;29;31;28;32;12;26;24;16;14;7
11;1;25;6;17;15;21;27;18;13;2;30;22;3;4;10;23;19;8;5;9;20;29;31;28;32;12;26;24;16;14;7;4;26272
5;26272;11;1;25;6;17;15;21;27;18;13;2;30;22;3;4;10;23;19;8;5;9;20;29;31;28;32;12;26;24;16;14;7
10;1;25;6;17;15;21;27;18;13;2;30;22;3;4;11;23;19;8;5;9;20;29;31;28;32;12;26;24;16;14;7;5;26232
5;26232;10;1;25;6;17;15;21;27;18;13;2;30;22;3;4;11;23;19;8;5;9;20;29;31;28;32;12;26;24;16;14;7
10;1;25;6;17;15;21;27;18;13;2;30;22;3;4;11;23;19;8;5;9;20;29;14;28;32;12;26;24;16;31;7;5;26456
5;26456;10;1;25;6;17;15;21;27;18;13;2;30;22;3;4;11;23;19;8;5;9;20;29;14;28;32;12;26;24;16;31;7
10;1;9;6;17;15;21;27;18;13;2;30;22;3;4;11;23;19;8;5;25;20;29;14;28;32;12;26;24;16;31;7;5;25812
5;25812;10;1;9;6;17;15;21;27;18;13;2;30;22;3;4;11;23;19;8;5;25;20;29;14;28;32;12;26;24;16;31;7
10;1;9;6;27;15;21;17;18;13;2;30;22;3;4;11;23;19;8;5;25;20;29;14;28;32;12;26;24;16;31;7;5;25492
5;25492;10;1;9;6;27;15;21;17;18;13;2;30;22;3;4;11;23;19;8;5;25;20;29;14;28;32;12;26;24;16;31;7
10;1;9;6;31;15;21;17;18;13;2;30;22;3;4;11;23;19;8;5;25;20;29;14;28;32;12;26;24;16;27;7;5;25912
5;25912;10;1;9;6;31;15;21;17;18;13;2;30;22;3;4;11;23;19;8;5;25;20;29;14;28;32;12;26;24;16;27;7
10;1;9;22;31;15;21;17;18;13;2;30;6;3;4;11;23;19;8;5;25;20;29;14;28;32;12;26;24;16;27;7;5;26418
5;26418;10;1;9;22;31;15;21;17;18;13;2;30;6;3;4;11;23;19;8;5;25;20;29;14;28;32;12;26;24;16;27;7
10;19;9;22;31;15;21;17;18;13;2;30;6;3;4;11;23;1;8;5;25;20;29;14;28;32;12;26;24;16;27;7;5;26622
5;26622;10;19;9;22;31;15;21;17;18;13;2;30;6;3;4;11;23;1;8;5;25;20;29;14;28;32;12;26;24;16;27;7
10;19;9;22;31;15;21;17;18;13;2;30;6;24;4;11;23;1;8;5;25;20;29;14;28;32;12;26;3;16;27;7;5;26880
5;26880;10;19;9;22;31;15;21;17;18;13;2;30;6;24;4;11;23;1;8;5;25;20;29;14;28;32;12;26;3;16;27;7
10;19;9;22;31;15;21;17;18;13;2;30;6;24;4;11;23;1;8;5;25;20;29;14;28;32;3;26;12;16;27;7;5;26420
5;26420;10;19;9;22;31;15;21;17;18;13;2;30;6;24;4;11;23;1;8;5;25;20;29;14;28;32;3;26;12;16;27;7
10;19;9;22;31;15;21;17;18;13;2;30;6;24;4;8;23;1;11;5;25;20;29;14;28;32;3;26;12;16;27;7;5;26860
5;26860;10;19;9;22;31;15;21;17;18;13;2;30;6;24;4;8;23;1;11;5;25;20;29;14;28;32;3;26;12;16;27;7
10;19;9;22;31;15;21;17;18;13;2;30;6;24;4;8;23;1;11;5;25;20;29;14;28;3;32;26;12;16;27;7;5;26768
5;26768;10;19;9;22;31;15;21;17;18;13;2;30;6;24;4;8;23;1;11;5;25;20;29;14;28;3;32;26;12;16;27;7
10;19;9;22;31;15;21;17;18;13;2;30;6;24;4;8;23;16;11;5;25;20;29;14;28;3;32;26;12;1;27;7;5;25888
5;25888;10;19;9;22;31;15;21;17;18;13;2;30;6;24;4;8;23;16;11;5;25;20;29;14;28;3;32;26;12;1;27;7
18;19;9;22;31;15;21;17;10;13;2;30;6;24;4;8;23;16;11;5;25;20;29;14;28;3;32;26;12;1;27;7;5;25710
5;25710;18;19;9;22;31;15;21;17;10;13;2;30;6;24;4;8;23;16;11;5;25;20;29;14;28;3;32;26;12;1;27;7
18;19;9;22;31;15;1;17;10;13;2;30;6;24;4;8;23;16;11;5;25;20;29;14;28;3;32;26;12;21;27;7;5;26412
5;26412;18;19;9;22;31;15;1;17;10;13;2;30;6;24;4;8;23;16;11;5;25;20;29;14;28;3;32;26;12;21;27;7
18;19;26;22;31;15;1;17;10;13;2;30;6;24;4;8;23;16;11;5;25;20;29;14;28;3;32;9;12;21;27;7;5;25446
5;25446;18;19;26;22;31;15;1;17;10;13;2;30;6;24;4;8;23;16;11;5;25;20;29;14;28;3;32;9;12;21;27;7
18;19;26;22;31;15;1;17;10;27;2;30;6;24;4;8;23;16;11;5;25;20;29;14;28;3;32;9;12;21;13;7;5;25816
5;25816;18;19;26;22;31;15;1;17;10;27;2;30;6;24;4;8;23;16;11;5;25;20;29;14;28;3;32;9;12;21;13;7
18;19;26;22;25;15;1;17;10;27;2;30;6;24;4;8;23;16;11;5;31;20;29;14;28;3;32;9;12;21;13;7;5;26016
5;26016;18;19;26;22;25;15;1;17;10;27;2;30;6;24;4;8;23;16;11;5;31;20;29;14;28;3;32;9;12;21;13;7
18;19;26;11;25;15;1;17;10;27;2;30;6;24;4;8;23;16;22;5;31;20;29;14;28;3;32;9;12;21;13;7;5;26330
5;26330;18;19;26;11;25;15;1;17;10;27;2;30;6;24;4;8;23;16;22;5;31;20;29;14;28;3;32;9;12;21;13;7
18;19;26;11;25;15;1;17;10;27;2;30;6;24;4;8;23;16;22;5;28;20;29;14;31;3;32;9;12;21;13;7;5;26170
