"X1";"X260";"X54";"X31";"X27";"X63";"X61";"X14";"X26";"X5";"X30";"X19";"X33";"X10";"X34";"X13";"X41";"X64";"X11";"X49";"X12";"X37";"X1.1";"X18";"X62";"X8";"X23";"X16";"X40";"X32";"X58";"X51";"X4";"X50";"X48";"X36";"X24";"X28";"X42";"X46";"X3";"X21";"X25";"X45";"X17";"X53";"X22";"X29";"X56";"X57";"X55";"X15";"X52";"X47";"X2";"X39";"X35";"X7";"X38";"X43";"X59";"X60";"X20";"X9";"X44";"X6"
47;42;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;36;24;15;46;10;3;21;41;45;17;53;31;11;61;27;13;39;52;54;2;28;35;7;38;22;59;60;48;9;62;6;2;280
2;280;47;42;57;63;51;43;16;29;26;19;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;36;24;15;46;10;3;21;41;45;17;53;31;11;61;27;13;39;52;54;2;28;35;7;38;22;59;60;48;9;62;6
47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;36;24;15;46;10;3;21;41;45;17;53;31;11;19;27;13;39;52;54;2;28;35;7;38;22;59;60;48;9;62;6;2;260
2;260;47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;36;24;15;46;10;3;21;41;45;17;53;31;11;19;27;13;39;52;54;2;28;35;7;38;22;59;60;48;9;62;6
47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;36;24;15;46;10;3;39;41;45;17;53;31;11;19;27;13;21;52;54;2;28;35;7;38;22;59;60;48;9;62;6;2;260
2;260;47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;49;44;37;4;18;12;8;23;1;40;32;58;56;30;50;20;36;24;15;46;10;3;39;41;45;17;53;31;11;19;27;13;21;52;54;2;28;35;7;38;22;59;60;48;9;62;6
47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;49;44;37;23;18;12;8;4;1;40;32;58;56;30;50;20;36;24;15;46;10;3;39;41;45;17;53;31;11;19;27;13;21;52;54;2;28;35;7;38;22;59;60;48;9;62;6;2;260
2;260;47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;49;44;37;23;18;12;8;4;1;40;32;58;56;30;50;20;36;24;15;46;10;3;39;41;45;17;53;31;11;19;27;13;21;52;54;2;28;35;7;38;22;59;60;48;9;62;6
47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;12;8;4;1;40;32;58;56;30;50;20;36;24;15;46;10;3;39;41;45;17;53;31;11;19;27;13;21;52;54;2;28;35;7;38;22;59;60;48;49;62;6;2;260
2;260;47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;12;8;4;1;40;32;58;56;30;50;20;36;24;15;46;10;3;39;41;45;17;53;31;11;19;27;13;21;52;54;2;28;35;7;38;22;59;60;48;49;62;6
47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;32;58;56;30;12;20;36;24;15;46;10;3;39;41;45;17;53;31;11;19;27;13;21;52;54;2;28;35;7;38;22;59;60;48;49;62;6;2;256
2;256;47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;32;58;56;30;12;20;36;24;15;46;10;3;39;41;45;17;53;31;11;19;27;13;21;52;54;2;28;35;7;38;22;59;60;48;49;62;6
47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;32;58;56;30;12;20;36;24;15;46;10;3;39;41;38;17;53;31;11;19;27;13;21;52;54;2;28;35;7;45;22;59;60;48;49;62;6;2;256
2;256;47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;32;58;56;30;12;20;36;24;15;46;10;3;39;41;38;17;53;31;11;19;27;13;21;52;54;2;28;35;7;45;22;59;60;48;49;62;6
47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;32;58;56;30;12;20;36;24;15;46;10;3;39;52;38;17;53;31;11;19;27;13;21;41;54;2;28;35;7;45;22;59;60;48;49;62;6;2;256
2;256;47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;32;58;56;30;12;20;36;24;15;46;10;3;39;52;38;17;53;31;11;19;27;13;21;41;54;2;28;35;7;45;22;59;60;48;49;62;6
47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;32;58;38;30;12;20;36;24;15;46;10;3;39;52;56;17;53;31;11;19;27;13;21;41;54;2;28;35;7;45;22;59;60;48;49;62;6;2;260
2;260;47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;32;58;38;30;12;20;36;24;15;46;10;3;39;52;56;17;53;31;11;19;27;13;21;41;54;2;28;35;7;45;22;59;60;48;49;62;6
47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;35;58;38;30;12;20;36;24;15;46;10;3;39;52;56;17;53;31;11;19;27;13;21;41;54;2;28;32;7;45;22;59;60;48;49;62;6;2;260
2;260;47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;35;58;38;30;12;20;36;24;15;46;10;3;39;52;56;17;53;31;11;19;27;13;21;41;54;2;28;32;7;45;22;59;60;48;49;62;6
47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;35;58;38;30;12;20;28;24;15;46;10;3;39;52;56;17;53;31;11;19;27;13;21;41;54;2;36;32;7;45;22;59;60;48;49;62;6;2;260
2;260;47;42;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;35;58;38;30;12;20;28;24;15;46;10;3;39;52;56;17;53;31;11;19;27;13;21;41;54;2;36;32;7;45;22;59;60;48;49;62;6
47;52;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;35;58;38;30;12;20;28;24;15;46;10;3;39;42;56;17;53;31;11;19;27;13;21;41;54;2;36;32;7;45;22;59;60;48;49;62;6;2;260
2;260;47;52;57;63;51;43;16;29;26;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;35;58;38;30;12;20;28;24;15;46;10;3;39;42;56;17;53;31;11;19;27;13;21;41;54;2;36;32;7;45;22;59;60;48;49;62;6
47;52;57;63;51;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;35;58;38;30;12;20;28;24;15;46;10;3;39;42;56;17;53;31;11;19;27;13;21;41;54;2;36;32;7;45;22;59;60;48;26;62;6;2;260
2;260;47;52;57;63;51;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;4;1;40;35;58;38;30;12;20;28;24;15;46;10;3;39;42;56;17;53;31;11;19;27;13;21;41;54;2;36;32;7;45;22;59;60;48;26;62;6
47;52;57;63;51;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;58;1;40;35;4;38;30;12;20;28;24;15;46;10;3;39;42;56;17;53;31;11;19;27;13;21;41;54;2;36;32;7;45;22;59;60;48;26;62;6;2;260
2;260;47;52;57;63;51;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;58;1;40;35;4;38;30;12;20;28;24;15;46;10;3;39;42;56;17;53;31;11;19;27;13;21;41;54;2;36;32;7;45;22;59;60;48;26;62;6
47;52;57;63;62;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;58;1;40;35;4;38;30;12;20;28;24;15;46;10;3;39;42;56;17;53;31;11;19;27;13;21;41;54;2;36;32;7;45;22;59;60;48;26;51;6;2;260
2;260;47;52;57;63;62;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;58;1;40;35;4;38;30;12;20;28;24;15;46;10;3;39;42;56;17;53;31;11;19;27;13;21;41;54;2;36;32;7;45;22;59;60;48;26;51;6
47;52;57;63;62;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;58;1;40;35;4;38;30;12;20;28;24;15;46;10;3;39;42;56;17;53;31;11;6;27;13;21;41;54;2;36;32;7;45;22;59;60;48;26;51;19;2;260
3;260;47;52;57;63;62;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;23;18;50;8;58;1;40;35;4;38;30;12;20;28;24;15;46;10;3;39;42;56;17;53;31;11;6;27;13;21;41;54;2;36;32;7;45;22;59;60;48;26;51;19
47;52;57;63;62;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;23;40;35;4;38;30;12;20;28;24;15;46;10;3;39;42;56;17;53;31;11;6;27;13;21;41;54;2;36;32;7;45;22;59;60;48;26;51;19;3;260
3;260;47;52;57;63;62;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;23;40;35;4;38;30;12;20;28;24;15;46;10;3;39;42;56;17;53;31;11;6;27;13;21;41;54;2;36;32;7;45;22;59;60;48;26;51;19
47;52;57;63;62;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;23;40;35;4;38;30;12;20;28;24;15;46;10;3;39;21;56;17;53;31;11;6;27;13;42;41;54;2;36;32;7;45;22;59;60;48;26;51;19;3;260
3;260;47;52;57;63;62;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;23;40;35;4;38;30;12;20;28;24;15;46;10;3;39;21;56;17;53;31;11;6;27;13;42;41;54;2;36;32;7;45;22;59;60;48;26;51;19
47;52;57;63;62;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;23;40;35;4;38;30;12;20;28;24;15;46;10;3;39;21;56;17;11;31;53;6;27;13;42;41;54;2;36;32;7;45;22;59;60;48;26;51;19;3;260
3;260;47;52;57;63;62;43;16;29;49;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;23;40;35;4;38;30;12;20;28;24;15;46;10;3;39;21;56;17;11;31;53;6;27;13;42;41;54;2;36;32;7;45;22;59;60;48;26;51;19
47;52;57;63;62;43;16;30;49;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;23;40;35;4;38;29;12;20;28;24;15;46;10;3;39;21;56;17;11;31;53;6;27;13;42;41;54;2;36;32;7;45;22;59;60;48;26;51;19;3;272
3;272;47;52;57;63;62;43;16;30;49;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;23;40;35;4;38;29;12;20;28;24;15;46;10;3;39;21;56;17;11;31;53;6;27;13;42;41;54;2;36;32;7;45;22;59;60;48;26;51;19
47;52;57;63;62;43;49;30;16;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;23;40;35;4;38;29;12;20;28;24;15;46;10;3;39;21;56;17;11;31;53;6;27;13;42;41;54;2;36;32;7;45;22;59;60;48;26;51;19;3;272
3;272;47;52;57;63;62;43;49;30;16;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;23;40;35;4;38;29;12;20;28;24;15;46;10;3;39;21;56;17;11;31;53;6;27;13;42;41;54;2;36;32;7;45;22;59;60;48;26;51;19
47;52;57;63;62;43;49;30;16;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;59;40;35;4;38;29;12;20;28;24;15;46;10;3;39;21;56;17;11;31;53;6;27;13;42;41;54;2;36;32;7;45;22;23;60;48;26;51;19;3;272
3;272;47;52;57;63;62;43;49;30;16;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;59;40;35;4;38;29;12;20;28;24;15;46;10;3;39;21;56;17;11;31;53;6;27;13;42;41;54;2;36;32;7;45;22;23;60;48;26;51;19
47;52;57;63;62;43;49;30;16;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;59;40;35;4;29;38;12;20;28;24;15;46;10;3;39;21;56;17;11;31;53;6;27;13;42;41;54;2;36;32;7;45;22;23;60;48;26;51;19;3;272
3;272;47;52;57;63;62;43;49;30;16;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;59;40;35;4;29;38;12;20;28;24;15;46;10;3;39;21;56;17;11;31;53;6;27;13;42;41;54;2;36;32;7;45;22;23;60;48;26;51;19
47;52;57;63;32;43;49;30;16;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;59;40;35;4;29;38;12;20;28;24;15;46;10;3;39;21;56;17;11;31;53;6;27;13;42;41;54;2;36;62;7;45;22;23;60;48;26;51;19;3;272
3;272;47;52;57;63;32;43;49;30;16;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;59;40;35;4;29;38;12;20;28;24;15;46;10;3;39;21;56;17;11;31;53;6;27;13;42;41;54;2;36;62;7;45;22;23;60;48;26;51;19
47;52;57;63;32;43;49;30;16;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;59;40;35;4;29;38;12;20;28;24;15;46;10;21;39;3;56;17;11;31;53;6;27;13;42;41;54;2;36;62;7;45;22;23;60;48;26;51;19;3;278
3;278;47;52;57;63;32;43;49;30;16;61;33;14;34;55;25;64;5;9;44;37;1;18;50;8;58;59;40;35;4;29;38;12;20;28;24;15;46;10;21;39;3;56;17;11;31;53;6;27;13;42;41;54;2;36;62;7;45;22;23;60;48;26;51;19
47;52;57;63;32;43;49;30;16;61;33;14;34;55;25;64;5;9;44;37;1;50;18;8;58;59;40;35;4;29;38;12;20;28;24;15;46;10;21;39;3;56;17;11;31;53;6;27;13;42;41;54;2;36;62;7;45;22;23;60;48;26;51;19;3;276
3;276;47;52;57;63;32;43;49;30;16;61;33;14;34;55;25;64;5;9;44;37;1;50;18;8;58;59;40;35;4;29;38;12;20;28;24;15;46;10;21;39;3;56;17;11;31;53;6;27;13;42;41;54;2;36;62;7;45;22;23;60;48;26;51;19
47;52;57;63;32;43;49;30;16;61;33;14;34;55;25;64;5;9;44;37;1;50;18;27;58;59;40;35;4;29;38;12;20;28;24;15;46;10;21;39;3;56;17;11;31;53;6;8;13;42;41;54;2;36;62;7;45;22;23;60;48;26;51;19;3;276
