"X1";"X26142";"X2";"X20";"X26";"X28";"X4";"X31";"X7";"X15";"X19";"X24";"X8";"X13";"X11";"X5";"X17";"X16";"X22";"X10";"X21";"X12";"X3";"X27";"X18";"X29";"X25";"X30";"X32";"X14";"X1.1";"X6";"X9";"X23"
30;20;23;28;4;10;31;15;19;24;8;13;11;17;25;3;22;12;21;26;16;27;18;29;5;2;32;14;1;6;9;7;1;27078
1;27078;30;20;23;28;4;10;31;15;19;24;8;13;11;17;25;3;22;12;21;26;16;27;18;29;5;2;32;14;1;6;9;7
30;20;15;28;4;10;31;23;19;24;8;13;11;17;25;3;22;12;21;26;16;27;18;29;5;2;32;14;1;6;9;7;1;27116
1;27116;30;20;15;28;4;10;31;23;19;24;8;13;11;17;25;3;22;12;21;26;16;27;18;29;5;2;32;14;1;6;9;7
30;5;15;28;4;10;31;23;19;24;8;13;11;17;25;3;22;12;21;26;16;27;18;29;20;2;32;14;1;6;9;7;1;27398
1;27398;30;5;15;28;4;10;31;23;19;24;8;13;11;17;25;3;22;12;21;26;16;27;18;29;20;2;32;14;1;6;9;7
30;5;15;28;4;10;26;23;19;24;8;13;11;17;25;3;22;12;21;31;16;27;18;29;20;2;32;14;1;6;9;7;1;27518
1;27518;30;5;15;28;4;10;26;23;19;24;8;13;11;17;25;3;22;12;21;31;16;27;18;29;20;2;32;14;1;6;9;7
30;5;15;28;4;10;26;23;19;24;8;13;11;17;25;3;12;22;21;31;16;27;18;29;20;2;32;14;1;6;9;7;1;26848
1;26848;30;5;15;28;4;10;26;23;19;24;8;13;11;17;25;3;12;22;21;31;16;27;18;29;20;2;32;14;1;6;9;7
30;5;15;28;4;10;26;23;19;24;8;13;11;17;25;3;12;22;21;31;16;27;18;29;20;2;32;14;1;9;6;7;1;27008
1;27008;30;5;15;28;4;10;26;23;19;24;8;13;11;17;25;3;12;22;21;31;16;27;18;29;20;2;32;14;1;9;6;7
30;5;15;28;4;10;26;23;19;24;8;13;11;17;25;3;12;22;21;31;18;27;16;29;20;2;32;14;1;9;6;7;1;26652
1;26652;30;5;15;28;4;10;26;23;19;24;8;13;11;17;25;3;12;22;21;31;18;27;16;29;20;2;32;14;1;9;6;7
30;5;15;16;4;10;26;23;19;24;8;13;11;17;25;3;12;22;21;31;18;27;28;29;20;2;32;14;1;9;6;7;1;26984
1;26984;30;5;15;16;4;10;26;23;19;24;8;13;11;17;25;3;12;22;21;31;18;27;28;29;20;2;32;14;1;9;6;7
30;5;15;16;4;10;26;23;19;24;8;14;11;17;25;3;12;22;21;31;18;27;28;29;20;2;32;13;1;9;6;7;1;26664
1;26664;30;5;15;16;4;10;26;23;19;24;8;14;11;17;25;3;12;22;21;31;18;27;28;29;20;2;32;13;1;9;6;7
30;25;15;16;4;10;26;23;19;24;8;14;11;17;5;3;12;22;21;31;18;27;28;29;20;2;32;13;1;9;6;7;1;26296
1;26296;30;25;15;16;4;10;26;23;19;24;8;14;11;17;5;3;12;22;21;31;18;27;28;29;20;2;32;13;1;9;6;7
30;25;15;16;4;10;26;23;19;24;8;14;11;17;20;3;12;22;21;31;18;27;28;29;5;2;32;13;1;9;6;7;1;26654
1;26654;30;25;15;16;4;10;26;23;19;24;8;14;11;17;20;3;12;22;21;31;18;27;28;29;5;2;32;13;1;9;6;7
30;24;15;16;4;10;26;23;19;25;8;14;11;17;20;3;12;22;21;31;18;27;28;29;5;2;32;13;1;9;6;7;1;25654
2;25654;30;24;15;16;4;10;26;23;19;25;8;14;11;17;20;3;12;22;21;31;18;27;28;29;5;2;32;13;1;9;6;7
30;24;15;16;4;10;26;23;19;25;8;14;11;17;27;3;12;22;21;31;18;20;28;29;5;2;32;13;1;9;6;7;2;25934
2;25934;30;24;15;16;4;10;26;23;19;25;8;14;11;17;27;3;12;22;21;31;18;20;28;29;5;2;32;13;1;9;6;7
30;24;15;16;13;10;26;23;19;25;8;14;11;17;27;3;12;22;21;31;18;20;28;29;5;2;32;4;1;9;6;7;2;26814
2;26814;30;24;15;16;13;10;26;23;19;25;8;14;11;17;27;3;12;22;21;31;18;20;28;29;5;2;32;4;1;9;6;7
30;24;15;16;13;10;26;23;19;25;8;14;5;17;27;3;12;22;21;31;18;20;28;29;11;2;32;4;1;9;6;7;2;27534
2;27534;30;24;15;16;13;10;26;23;19;25;8;14;5;17;27;3;12;22;21;31;18;20;28;29;11;2;32;4;1;9;6;7
30;24;15;16;13;10;26;23;19;25;8;20;5;17;27;3;12;22;21;31;18;14;28;29;11;2;32;4;1;9;6;7;2;27596
2;27596;30;24;15;16;13;10;26;23;19;25;8;20;5;17;27;3;12;22;21;31;18;14;28;29;11;2;32;4;1;9;6;7
30;24;15;16;13;10;26;23;19;8;25;20;5;17;27;3;12;22;21;31;18;14;28;29;11;2;32;4;1;9;6;7;2;27810
2;27810;30;24;15;16;13;10;26;23;19;8;25;20;5;17;27;3;12;22;21;31;18;14;28;29;11;2;32;4;1;9;6;7
30;24;15;16;13;10;26;23;19;8;25;20;5;17;14;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7;2;26902
2;26902;30;24;15;16;13;10;26;23;19;8;25;20;5;17;14;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7
30;24;15;16;13;10;23;26;19;8;25;20;5;17;14;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7;2;26862
2;26862;30;24;15;16;13;10;23;26;19;8;25;20;5;17;14;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7
30;26;15;16;13;10;23;24;19;8;25;20;5;17;14;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7;2;26242
2;26242;30;26;15;16;13;10;23;24;19;8;25;20;5;17;14;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7
30;26;15;16;13;10;20;24;19;8;25;23;5;17;14;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7;2;26362
2;26362;30;26;15;16;13;10;20;24;19;8;25;23;5;17;14;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7
30;5;15;16;13;10;20;24;19;8;25;23;26;17;14;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7;2;26180
2;26180;30;5;15;16;13;10;20;24;19;8;25;23;26;17;14;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7
30;5;15;16;13;10;20;24;19;14;25;23;26;17;8;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7;2;26860
2;26860;30;5;15;16;13;10;20;24;19;14;25;23;26;17;8;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7
30;17;15;16;13;10;20;24;19;14;25;23;26;5;8;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7;2;27494
2;27494;30;17;15;16;13;10;20;24;19;14;25;23;26;5;8;3;12;22;21;31;18;27;28;29;11;2;32;4;1;9;6;7
30;17;15;16;13;10;20;24;19;11;25;23;26;5;8;3;12;22;21;31;18;27;28;29;14;2;32;4;1;9;6;7;2;27054
2;27054;30;17;15;16;13;10;20;24;19;11;25;23;26;5;8;3;12;22;21;31;18;27;28;29;14;2;32;4;1;9;6;7
14;17;15;16;13;10;20;24;19;11;25;23;26;5;8;3;12;22;21;31;18;27;28;29;30;2;32;4;1;9;6;7;2;27238
2;27238;14;17;15;16;13;10;20;24;19;11;25;23;26;5;8;3;12;22;21;31;18;27;28;29;30;2;32;4;1;9;6;7
14;17;15;16;13;10;20;24;19;11;25;23;26;12;8;3;5;22;21;31;18;27;28;29;30;2;32;4;1;9;6;7;2;27478
2;27478;14;17;15;16;13;10;20;24;19;11;25;23;26;12;8;3;5;22;21;31;18;27;28;29;30;2;32;4;1;9;6;7
14;17;15;16;13;10;20;24;19;3;25;23;26;12;8;11;5;22;21;31;18;27;28;29;30;2;32;4;1;9;6;7;2;26758
2;26758;14;17;15;16;13;10;20;24;19;3;25;23;26;12;8;11;5;22;21;31;18;27;28;29;30;2;32;4;1;9;6;7
14;17;15;16;13;10;20;24;19;3;25;23;26;12;32;11;5;22;21;31;18;27;28;29;30;2;8;4;1;9;6;7;2;27380
2;27380;14;17;15;16;13;10;20;24;19;3;25;23;26;12;32;11;5;22;21;31;18;27;28;29;30;2;8;4;1;9;6;7
14;17;15;16;13;10;20;24;19;3;25;23;26;12;32;11;5;22;21;31;18;9;28;29;30;2;8;4;1;27;6;7;2;27930
2;27930;14;17;15;16;13;10;20;24;19;3;25;23;26;12;32;11;5;22;21;31;18;9;28;29;30;2;8;4;1;27;6;7
14;13;15;16;17;10;20;24;19;3;25;23;26;12;32;11;5;22;21;31;18;9;28;29;30;2;8;4;1;27;6;7;2;27930
2;27930;14;13;15;16;17;10;20;24;19;3;25;23;26;12;32;11;5;22;21;31;18;9;28;29;30;2;8;4;1;27;6;7
25;13;15;16;17;10;20;24;19;3;14;23;26;12;32;11;5;22;21;31;18;9;28;29;30;2;8;4;1;27;6;7;2;27918
3;27918;25;13;15;16;17;10;20;24;19;3;14;23;26;12;32;11;5;22;21;31;18;9;28;29;30;2;8;4;1;27;6;7
25;13;15;16;17;10;20;24;19;3;14;30;26;12;32;11;5;22;21;31;18;9;28;29;23;2;8;4;1;27;6;7;3;27718
3;27718;25;13;15;16;17;10;20;24;19;3;14;30;26;12;32;11;5;22;21;31;18;9;28;29;23;2;8;4;1;27;6;7
25;13;15;16;17;10;20;24;19;3;14;30;26;6;32;11;5;22;21;31;18;9;28;29;23;2;8;4;1;27;12;7;3;27198
3;27198;25;13;15;16;17;10;20;24;19;3;14;30;26;6;32;11;5;22;21;31;18;9;28;29;23;2;8;4;1;27;12;7
25;13;15;21;17;10;20;24;19;3;14;30;26;6;32;11;5;22;16;31;18;9;28;29;23;2;8;4;1;27;12;7;3;27172
3;27172;25;13;15;21;17;10;20;24;19;3;14;30;26;6;32;11;5;22;16;31;18;9;28;29;23;2;8;4;1;27;12;7
25;13;15;21;17;10;20;24;19;3;14;30;26;6;32;23;5;22;16;31;18;9;28;29;11;2;8;4;1;27;12;7;3;27068
3;27068;25;13;15;21;17;10;20;24;19;3;14;30;26;6;32;23;5;22;16;31;18;9;28;29;11;2;8;4;1;27;12;7
25;13;15;14;17;10;20;24;19;3;21;30;26;6;32;23;5;22;16;31;18;9;28;29;11;2;8;4;1;27;12;7;3;26934
3;26934;25;13;15;14;17;10;20;24;19;3;21;30;26;6;32;23;5;22;16;31;18;9;28;29;11;2;8;4;1;27;12;7
25;13;15;14;17;10;20;30;19;3;21;24;26;6;32;23;5;22;16;31;18;9;28;29;11;2;8;4;1;27;12;7;3;27334
3;27334;25;13;15;14;17;10;20;30;19;3;21;24;26;6;32;23;5;22;16;31;18;9;28;29;11;2;8;4;1;27;12;7
25;13;15;14;17;10;20;30;19;3;5;24;26;6;32;23;21;22;16;31;18;9;28;29;11;2;8;4;1;27;12;7;3;27242
3;27242;25;13;15;14;17;10;20;30;19;3;5;24;26;6;32;23;21;22;16;31;18;9;28;29;11;2;8;4;1;27;12;7
6;13;15;14;17;10;20;30;19;3;5;24;26;25;32;23;21;22;16;31;18;9;28;29;11;2;8;4;1;27;12;7;3;27214
3;27214;6;13;15;14;17;10;20;30;19;3;5;24;26;25;32;23;21;22;16;31;18;9;28;29;11;2;8;4;1;27;12;7
6;13;28;14;17;10;20;30;19;3;5;24;26;25;32;23;21;22;16;31;18;9;15;29;11;2;8;4;1;27;12;7;3;27230
3;27230;6;13;28;14;17;10;20;30;19;3;5;24;26;25;32;23;21;22;16;31;18;9;15;29;11;2;8;4;1;27;12;7
6;13;28;14;17;10;20;12;19;3;5;24;26;25;32;23;21;22;16;31;18;9;15;29;11;2;8;4;1;27;30;7;3;27782
3;27782;6;13;28;14;17;10;20;12;19;3;5;24;26;25;32;23;21;22;16;31;18;9;15;29;11;2;8;4;1;27;30;7
6;13;28;14;17;10;20;12;19;22;5;24;26;25;32;23;21;3;16;31;18;9;15;29;11;2;8;4;1;27;30;7;3;28302
3;28302;6;13;28;14;17;10;20;12;19;22;5;24;26;25;32;23;21;3;16;31;18;9;15;29;11;2;8;4;1;27;30;7
6;13;28;14;17;10;20;12;19;22;5;24;26;25;32;23;21;3;16;31;18;9;15;29;11;4;8;2;1;27;30;7;3;28702
3;28702;6;13;28;14;17;10;20;12;19;22;5;24;26;25;32;23;21;3;16;31;18;9;15;29;11;4;8;2;1;27;30;7
6;13;28;14;17;10;20;12;19;22;5;24;18;25;32;23;21;3;16;31;26;9;15;29;11;4;8;2;1;27;30;7;3;28542
3;28542;6;13;28;14;17;10;20;12;19;22;5;24;18;25;32;23;21;3;16;31;26;9;15;29;11;4;8;2;1;27;30;7
6;13;28;18;17;10;20;12;19;22;5;24;14;25;32;23;21;3;16;31;26;9;15;29;11;4;8;2;1;27;30;7;3;29604
3;29604;6;13;28;18;17;10;20;12;19;22;5;24;14;25;32;23;21;3;16;31;26;9;15;29;11;4;8;2;1;27;30;7
6;13;28;18;22;10;20;12;19;17;5;24;14;25;32;23;21;3;16;31;26;9;15;29;11;4;8;2;1;27;30;7;3;28924
3;28924;6;13;28;18;22;10;20;12;19;17;5;24;14;25;32;23;21;3;16;31;26;9;15;29;11;4;8;2;1;27;30;7
13;6;28;18;22;10;20;12;19;17;5;24;14;25;32;23;21;3;16;31;26;9;15;29;11;4;8;2;1;27;30;7;3;29104
3;29104;13;6;28;18;22;10;20;12;19;17;5;24;14;25;32;23;21;3;16;31;26;9;15;29;11;4;8;2;1;27;30;7
13;6;28;18;22;10;27;12;19;17;5;24;14;25;32;23;21;3;16;31;26;9;15;29;11;4;8;2;1;20;30;7;3;27884
3;27884;13;6;28;18;22;10;27;12;19;17;5;24;14;25;32;23;21;3;16;31;26;9;15;29;11;4;8;2;1;20;30;7
13;6;28;18;22;10;27;12;19;17;5;24;14;25;32;23;21;3;1;31;26;9;15;29;11;4;8;2;16;20;30;7;3;27324
3;27324;13;6;28;18;22;10;27;12;19;17;5;24;14;25;32;23;21;3;1;31;26;9;15;29;11;4;8;2;16;20;30;7
13;6;18;28;22;10;27;12;19;17;5;24;14;25;32;23;21;3;1;31;26;9;15;29;11;4;8;2;16;20;30;7;3;27004
3;27004;13;6;18;28;22;10;27;12;19;17;5;24;14;25;32;23;21;3;1;31;26;9;15;29;11;4;8;2;16;20;30;7
13;6;27;28;22;10;18;12;19;17;5;24;14;25;32;23;21;3;1;31;26;9;15;29;11;4;8;2;16;20;30;7;3;26924
4;26924;13;6;27;28;22;10;18;12;19;17;5;24;14;25;32;23;21;3;1;31;26;9;15;29;11;4;8;2;16;20;30;7
13;6;27;28;22;10;18;12;19;17;5;24;14;25;32;23;21;3;1;31;26;9;15;29;7;4;8;2;16;20;30;11;4;26844
4;26844;13;6;27;28;22;10;18;12;19;17;5;24;14;25;32;23;21;3;1;31;26;9;15;29;7;4;8;2;16;20;30;11
13;6;27;28;22;10;18;1;19;17;5;24;14;25;32;23;21;3;12;31;26;9;15;29;7;4;8;2;16;20;30;11;4;26564
4;26564;13;6;27;28;22;10;18;1;19;17;5;24;14;25;32;23;21;3;12;31;26;9;15;29;7;4;8;2;16;20;30;11
13;6;27;28;17;10;18;1;19;22;5;24;14;25;32;23;21;3;12;31;26;9;15;29;7;4;8;2;16;20;30;11;4;27204
4;27204;13;6;27;28;17;10;18;1;19;22;5;24;14;25;32;23;21;3;12;31;26;9;15;29;7;4;8;2;16;20;30;11
13;6;27;28;17;10;18;1;19;22;5;24;14;25;32;23;21;3;12;31;26;9;15;29;7;4;8;2;30;20;16;11;4;26734
4;26734;13;6;27;28;17;10;18;1;19;22;5;24;14;25;32;23;21;3;12;31;26;9;15;29;7;4;8;2;30;20;16;11
13;6;27;28;11;10;18;1;19;22;5;24;14;25;32;23;21;3;12;31;26;9;15;29;7;4;8;2;30;20;16;17;4;26352
4;26352;13;6;27;28;11;10;18;1;19;22;5;24;14;25;32;23;21;3;12;31;26;9;15;29;7;4;8;2;30;20;16;17
13;6;27;28;11;31;18;1;19;22;5;24;14;25;32;23;21;3;12;10;26;9;15;29;7;4;8;2;30;20;16;17;4;26226
4;26226;13;6;27;28;11;31;18;1;19;22;5;24;14;25;32;23;21;3;12;10;26;9;15;29;7;4;8;2;30;20;16;17
13;6;27;28;11;31;5;1;19;22;18;24;14;25;32;23;21;3;12;10;26;9;15;29;7;4;8;2;30;20;16;17;4;26288
4;26288;13;6;27;28;11;31;5;1;19;22;18;24;14;25;32;23;21;3;12;10;26;9;15;29;7;4;8;2;30;20;16;17
13;6;27;28;11;31;5;1;19;22;25;24;14;18;32;23;21;3;12;10;26;9;15;29;7;4;8;2;30;20;16;17;4;25608
4;25608;13;6;27;28;11;31;5;1;19;22;25;24;14;18;32;23;21;3;12;10;26;9;15;29;7;4;8;2;30;20;16;17
13;6;27;28;11;31;5;29;19;22;25;24;14;18;32;23;21;3;12;10;26;9;15;1;7;4;8;2;30;20;16;17;4;26244
4;26244;13;6;27;28;11;31;5;29;19;22;25;24;14;18;32;23;21;3;12;10;26;9;15;1;7;4;8;2;30;20;16;17
13;6;27;28;11;31;5;29;19;22;25;24;14;18;20;23;21;3;12;10;26;9;15;1;7;4;8;2;30;32;16;17;4;26424
4;26424;13;6;27;28;11;31;5;29;19;22;25;24;14;18;20;23;21;3;12;10;26;9;15;1;7;4;8;2;30;32;16;17
13;6;27;10;11;31;5;29;19;22;25;24;14;18;20;23;21;3;12;28;26;9;15;1;7;4;8;2;30;32;16;17;4;26750
4;26750;13;6;27;10;11;31;5;29;19;22;25;24;14;18;20;23;21;3;12;28;26;9;15;1;7;4;8;2;30;32;16;17
13;6;27;10;11;31;5;29;19;21;25;24;14;18;20;23;22;3;12;28;26;9;15;1;7;4;8;2;30;32;16;17;4;26410
4;26410;13;6;27;10;11;31;5;29;19;21;25;24;14;18;20;23;22;3;12;28;26;9;15;1;7;4;8;2;30;32;16;17
6;13;27;10;11;31;5;29;19;21;25;24;14;18;20;23;22;3;12;28;26;9;15;1;7;4;8;2;30;32;16;17;4;26350
4;26350;6;13;27;10;11;31;5;29;19;21;25;24;14;18;20;23;22;3;12;28;26;9;15;1;7;4;8;2;30;32;16;17
6;13;27;10;11;31;5;29;19;21;25;24;14;18;20;23;22;3;8;28;26;9;15;1;7;4;12;2;30;32;16;17;4;26470
4;26470;6;13;27;10;11;31;5;29;19;21;25;24;14;18;20;23;22;3;8;28;26;9;15;1;7;4;12;2;30;32;16;17
6;13;27;10;11;31;5;29;19;21;25;24;14;23;20;18;22;3;8;28;26;9;15;1;7;4;12;2;30;32;16;17;4;26870
4;26870;6;13;27;10;11;31;5;29;19;21;25;24;14;23;20;18;22;3;8;28;26;9;15;1;7;4;12;2;30;32;16;17
6;13;24;10;11;31;5;29;19;21;25;27;14;23;20;18;22;3;8;28;26;9;15;1;7;4;12;2;30;32;16;17;4;26590
4;26590;6;13;24;10;11;31;5;29;19;21;25;27;14;23;20;18;22;3;8;28;26;9;15;1;7;4;12;2;30;32;16;17
6;13;24;10;11;31;5;29;19;21;25;27;14;23;20;18;22;3;8;28;26;9;15;1;17;4;12;2;30;32;16;7;4;26958
4;26958;6;13;24;10;11;31;5;29;19;21;25;27;14;23;20;18;22;3;8;28;26;9;15;1;17;4;12;2;30;32;16;7
6;13;24;10;2;31;5;29;19;21;25;27;14;23;20;18;22;3;8;28;26;9;15;1;17;4;12;11;30;32;16;7;4;27138
4;27138;6;13;24;10;2;31;5;29;19;21;25;27;14;23;20;18;22;3;8;28;26;9;15;1;17;4;12;11;30;32;16;7
28;13;24;10;2;31;5;29;19;21;25;27;14;23;20;18;22;3;8;6;26;9;15;1;17;4;12;11;30;32;16;7;4;27194
4;27194;28;13;24;10;2;31;5;29;19;21;25;27;14;23;20;18;22;3;8;6;26;9;15;1;17;4;12;11;30;32;16;7
10;13;24;28;2;31;5;29;19;21;25;27;14;23;20;18;22;3;8;6;26;9;15;1;17;4;12;11;30;32;16;7;4;27132
5;27132;10;13;24;28;2;31;5;29;19;21;25;27;14;23;20;18;22;3;8;6;26;9;15;1;17;4;12;11;30;32;16;7
10;13;24;28;2;31;5;29;19;21;25;27;14;23;20;18;22;3;8;15;26;9;6;1;17;4;12;11;30;32;16;7;5;27232
5;27232;10;13;24;28;2;31;5;29;19;21;25;27;14;23;20;18;22;3;8;15;26;9;6;1;17;4;12;11;30;32;16;7
10;13;24;28;2;31;5;29;19;21;25;20;14;23;27;18;22;3;8;15;26;9;6;1;17;4;12;11;30;32;16;7;5;27812
5;27812;10;13;24;28;2;31;5;29;19;21;25;20;14;23;27;18;22;3;8;15;26;9;6;1;17;4;12;11;30;32;16;7
10;13;24;28;25;31;5;29;19;21;2;20;14;23;27;18;22;3;8;15;26;9;6;1;17;4;12;11;30;32;16;7;5;27586
5;27586;10;13;24;28;25;31;5;29;19;21;2;20;14;23;27;18;22;3;8;15;26;9;6;1;17;4;12;11;30;32;16;7
10;13;24;28;25;31;5;12;19;21;2;20;14;23;27;18;22;3;8;15;26;9;6;1;17;4;29;11;30;32;16;7;5;28130
5;28130;10;13;24;28;25;31;5;12;19;21;2;20;14;23;27;18;22;3;8;15;26;9;6;1;17;4;29;11;30;32;16;7
10;13;24;28;25;31;5;12;19;21;2;20;14;23;27;26;22;3;8;15;18;9;6;1;17;4;29;11;30;32;16;7;5;28090
5;28090;10;13;24;28;25;31;5;12;19;21;2;20;14;23;27;26;22;3;8;15;18;9;6;1;17;4;29;11;30;32;16;7
10;13;24;28;25;31;5;12;1;21;2;20;14;23;27;26;22;3;8;15;18;9;6;19;17;4;29;11;30;32;16;7;5;27268
5;27268;10;13;24;28;25;31;5;12;1;21;2;20;14;23;27;26;22;3;8;15;18;9;6;19;17;4;29;11;30;32;16;7
10;13;24;28;25;31;5;12;1;21;2;20;14;23;27;26;18;3;8;15;22;9;6;19;17;4;29;11;30;32;16;7;5;27328
5;27328;10;13;24;28;25;31;5;12;1;21;2;20;14;23;27;26;18;3;8;15;22;9;6;19;17;4;29;11;30;32;16;7
10;13;24;28;25;31;22;12;1;21;2;20;14;23;27;26;18;3;8;15;5;9;6;19;17;4;29;11;30;32;16;7;5;27828
5;27828;10;13;24;28;25;31;22;12;1;21;2;20;14;23;27;26;18;3;8;15;5;9;6;19;17;4;29;11;30;32;16;7
10;13;24;28;25;31;22;12;1;21;2;20;14;23;27;26;18;3;8;5;15;9;6;19;17;4;29;11;30;32;16;7;5;28028
5;28028;10;13;24;28;25;31;22;12;1;21;2;20;14;23;27;26;18;3;8;5;15;9;6;19;17;4;29;11;30;32;16;7
10;13;19;28;25;31;22;12;1;21;2;20;14;23;27;26;18;3;8;5;15;9;6;24;17;4;29;11;30;32;16;7;5;27948
5;27948;10;13;19;28;25;31;22;12;1;21;2;20;14;23;27;26;18;3;8;5;15;9;6;24;17;4;29;11;30;32;16;7
10;13;19;28;25;31;22;12;21;1;2;20;14;23;27;26;18;3;8;5;15;9;6;24;17;4;29;11;30;32;16;7;5;27776
5;27776;10;13;19;28;25;31;22;12;21;1;2;20;14;23;27;26;18;3;8;5;15;9;6;24;17;4;29;11;30;32;16;7
10;13;19;28;25;5;22;12;21;1;2;20;14;23;27;26;18;3;8;31;15;9;6;24;17;4;29;11;30;32;16;7;5;27542
5;27542;10;13;19;28;25;5;22;12;21;1;2;20;14;23;27;26;18;3;8;31;15;9;6;24;17;4;29;11;30;32;16;7
14;13;19;28;25;5;22;12;21;1;2;20;10;23;27;26;18;3;8;31;15;9;6;24;17;4;29;11;30;32;16;7;5;27542
5;27542;14;13;19;28;25;5;22;12;21;1;2;20;10;23;27;26;18;3;8;31;15;9;6;24;17;4;29;11;30;32;16;7
14;13;19;28;25;5;22;12;21;1;2;20;10;23;27;26;18;3;30;31;15;9;6;24;17;4;29;11;8;32;16;7;5;27456
5;27456;14;13;19;28;25;5;22;12;21;1;2;20;10;23;27;26;18;3;30;31;15;9;6;24;17;4;29;11;8;32;16;7
14;13;19;28;25;5;22;12;17;1;2;20;10;23;27;26;18;3;30;31;15;9;6;24;21;4;29;11;8;32;16;7;5;27796
5;27796;14;13;19;28;25;5;22;12;17;1;2;20;10;23;27;26;18;3;30;31;15;9;6;24;21;4;29;11;8;32;16;7
14;13;8;28;25;5;22;12;17;1;2;20;10;23;27;26;18;3;30;31;15;9;6;24;21;4;29;11;19;32;16;7;5;28036
5;28036;14;13;8;28;25;5;22;12;17;1;2;20;10;23;27;26;18;3;30;31;15;9;6;24;21;4;29;11;19;32;16;7
14;13;8;28;25;5;22;12;17;1;2;20;10;23;27;30;18;3;26;31;15;9;6;24;21;4;29;11;19;32;16;7;5;28596
5;28596;14;13;8;28;25;5;22;12;17;1;2;20;10;23;27;30;18;3;26;31;15;9;6;24;21;4;29;11;19;32;16;7
14;13;8;28;25;5;22;12;17;1;2;20;10;23;26;30;18;3;27;31;15;9;6;24;21;4;29;11;19;32;16;7;5;28576
5;28576;14;13;8;28;25;5;22;12;17;1;2;20;10;23;26;30;18;3;27;31;15;9;6;24;21;4;29;11;19;32;16;7
14;13;8;28;25;5;22;12;17;1;2;20;10;23;26;11;18;3;27;31;15;9;6;24;21;4;29;30;19;32;16;7;5;28072
