"X1";"X290";"X17";"X56";"X22";"X16";"X49";"X48";"X57";"X6";"X43";"X19";"X63";"X64";"X54";"X41";"X9";"X11";"X52";"X12";"X55";"X53";"X60";"X46";"X62";"X36";"X47";"X21";"X4";"X14";"X51";"X27";"X32";"X29";"X44";"X38";"X13";"X33";"X18";"X34";"X20";"X31";"X2";"X1.1";"X5";"X39";"X7";"X24";"X8";"X25";"X10";"X40";"X59";"X50";"X23";"X45";"X35";"X15";"X28";"X30";"X58";"X37";"X26";"X61";"X42";"X3"
1;314;17;56;22;64;49;48;57;6;43;19;63;16;54;41;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;25;32;40;59;50;23;45;35;1;28;12;58;37;26;61;42;3
17;56;22;64;49;48;57;6;43;19;63;16;54;40;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;25;32;41;59;50;23;45;35;1;28;12;58;37;26;61;42;3;1;302
1;302;17;56;22;64;49;48;57;6;43;19;63;16;54;40;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;25;32;41;59;50;23;45;35;1;28;12;58;37;26;61;42;3
17;56;22;64;49;48;57;6;43;19;63;16;54;40;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;25;32;41;35;50;23;45;59;1;28;12;58;37;26;61;42;3;1;302
1;302;17;56;22;64;49;48;57;6;43;19;63;16;54;40;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;25;32;41;35;50;23;45;59;1;28;12;58;37;26;61;42;3
17;56;22;64;49;48;57;6;43;19;63;16;54;40;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;12;32;41;35;50;23;45;59;1;28;25;58;37;26;61;42;3;1;302
1;302;17;56;22;64;49;48;57;6;43;19;63;16;54;40;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;12;32;41;35;50;23;45;59;1;28;25;58;37;26;61;42;3
17;56;22;64;49;48;57;6;43;19;63;16;54;40;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;12;32;35;41;50;23;45;59;1;28;25;58;37;26;61;42;3;1;302
1;302;17;56;22;64;49;48;57;6;43;19;63;16;54;40;9;11;52;30;55;53;60;46;62;36;47;21;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;12;32;35;41;50;23;45;59;1;28;25;58;37;26;61;42;3
17;56;22;64;49;48;57;6;43;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;21;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;12;32;35;41;50;23;45;59;1;28;25;58;37;26;61;42;3;1;302
1;302;17;56;22;64;49;48;57;6;43;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;21;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;12;32;35;41;50;23;45;59;1;28;25;58;37;26;61;42;3
17;21;22;64;49;48;57;6;43;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;12;32;35;41;50;23;45;59;1;28;25;58;37;26;61;42;3;1;302
1;302;17;21;22;64;49;48;57;6;43;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;12;32;35;41;50;23;45;59;1;28;25;58;37;26;61;42;3
17;21;22;64;49;48;57;6;43;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;12;32;35;41;50;23;45;59;1;28;25;61;37;26;58;42;3;1;302
1;302;17;21;22;64;49;48;57;6;43;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;12;32;35;41;50;23;45;59;1;28;25;61;37;26;58;42;3
17;50;22;64;49;48;57;6;43;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;12;32;35;41;21;23;45;59;1;28;25;61;37;26;58;42;3;1;302
1;302;17;50;22;64;49;48;57;6;43;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;4;14;51;27;10;20;44;38;13;33;18;34;29;31;2;15;5;39;7;24;8;12;32;35;41;21;23;45;59;1;28;25;61;37;26;58;42;3
17;33;22;64;49;48;57;6;43;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;4;14;51;27;10;20;44;38;13;50;18;34;29;31;2;15;5;39;7;24;8;12;32;35;41;21;23;45;59;1;28;25;61;37;26;58;42;3;1;302
1;302;17;33;22;64;49;48;57;6;43;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;4;14;51;27;10;20;44;38;13;50;18;34;29;31;2;15;5;39;7;24;8;12;32;35;41;21;23;45;59;1;28;25;61;37;26;58;42;3
17;33;22;64;49;48;57;6;34;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;4;14;51;27;10;20;44;38;13;50;18;43;29;31;2;15;5;39;7;24;8;12;32;35;41;21;23;45;59;1;28;25;61;37;26;58;42;3;1;302
1;302;17;33;22;64;49;48;57;6;34;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;4;14;51;27;10;20;44;38;13;50;18;43;29;31;2;15;5;39;7;24;8;12;32;35;41;21;23;45;59;1;28;25;61;37;26;58;42;3
17;33;22;64;49;48;57;6;34;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;15;14;51;27;10;20;44;38;13;50;18;43;29;31;2;4;5;39;7;24;8;12;32;35;41;21;23;45;59;1;28;25;61;37;26;58;42;3;1;282
1;282;17;33;22;64;49;48;57;6;34;19;63;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;15;14;51;27;10;20;44;38;13;50;18;43;29;31;2;4;5;39;7;24;8;12;32;35;41;21;23;45;59;1;28;25;61;37;26;58;42;3
17;33;22;64;49;48;57;6;34;19;39;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;15;14;51;27;10;20;44;38;13;50;18;43;29;31;2;4;5;63;7;24;8;12;32;35;41;21;23;45;59;1;28;25;61;37;26;58;42;3;1;282
1;282;17;33;22;64;49;48;57;6;34;19;39;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;15;14;51;27;10;20;44;38;13;50;18;43;29;31;2;4;5;63;7;24;8;12;32;35;41;21;23;45;59;1;28;25;61;37;26;58;42;3
17;33;22;64;49;48;57;6;34;19;39;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;15;14;51;27;10;20;44;38;13;50;18;43;26;31;2;4;5;63;7;24;8;12;32;35;41;21;23;45;59;1;28;25;61;37;29;58;42;3;1;294
1;294;17;33;22;64;49;48;57;6;34;19;39;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;15;14;51;27;10;20;44;38;13;50;18;43;26;31;2;4;5;63;7;24;8;12;32;35;41;21;23;45;59;1;28;25;61;37;29;58;42;3
17;33;22;64;49;48;57;6;34;19;39;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;15;14;51;27;10;45;44;38;13;50;18;43;26;31;2;4;5;63;7;24;8;12;32;35;41;21;23;20;59;1;28;25;61;37;29;58;42;3;1;290
1;290;17;33;22;64;49;48;57;6;34;19;39;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;15;14;51;27;10;45;44;38;13;50;18;43;26;31;2;4;5;63;7;24;8;12;32;35;41;21;23;20;59;1;28;25;61;37;29;58;42;3
17;33;22;64;49;48;57;6;34;19;15;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;39;14;51;27;10;45;44;38;13;50;18;43;26;31;2;4;5;63;7;24;8;12;32;35;41;21;23;20;59;1;28;25;61;37;29;58;42;3;1;298
2;298;17;33;22;64;49;48;57;6;34;19;15;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;39;14;51;27;10;45;44;38;13;50;18;43;26;31;2;4;5;63;7;24;8;12;32;35;41;21;23;20;59;1;28;25;61;37;29;58;42;3
17;33;22;64;49;48;57;6;34;19;15;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;39;14;51;27;10;45;44;38;13;50;18;43;26;31;2;4;5;63;7;24;8;12;32;35;59;21;23;20;41;1;28;25;61;37;29;58;42;3;2;298
2;298;17;33;22;64;49;48;57;6;34;19;15;52;54;40;9;11;16;30;55;53;60;46;62;36;47;56;39;14;51;27;10;45;44;38;13;50;18;43;26;31;2;4;5;63;7;24;8;12;32;35;59;21;23;20;41;1;28;25;61;37;29;58;42;3
17;33;22;64;49;48;57;6;34;19;15;52;54;40;9;11;16;30;55;53;42;46;62;36;47;56;39;14;51;27;10;45;44;38;13;50;18;43;26;31;2;4;5;63;7;24;8;12;32;35;59;21;23;20;41;1;28;25;61;37;29;58;60;3;2;298
2;298;17;33;22;64;49;48;57;6;34;19;15;52;54;40;9;11;16;30;55;53;42;46;62;36;47;56;39;14;51;27;10;45;44;38;13;50;18;43;26;31;2;4;5;63;7;24;8;12;32;35;59;21;23;20;41;1;28;25;61;37;29;58;60;3
17;33;22;64;49;48;57;6;34;19;15;52;54;56;9;11;16;30;55;53;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;18;43;26;31;2;4;5;63;7;24;8;12;32;35;59;21;23;20;41;1;28;25;61;37;29;58;60;3;2;302
2;302;17;33;22;64;49;48;57;6;34;19;15;52;54;56;9;11;16;30;55;53;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;18;43;26;31;2;4;5;63;7;24;8;12;32;35;59;21;23;20;41;1;28;25;61;37;29;58;60;3
17;33;22;64;49;48;57;6;34;19;15;52;54;56;9;11;16;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;53;43;26;31;2;4;5;63;7;24;8;12;32;35;59;21;23;20;41;1;28;25;61;37;29;58;60;3;2;300
2;300;17;33;22;64;49;48;57;6;34;19;15;52;54;56;9;11;16;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;53;43;26;31;2;4;5;63;7;24;8;12;32;35;59;21;23;20;41;1;28;25;61;37;29;58;60;3
17;33;22;64;49;48;57;6;34;19;15;52;54;56;9;11;16;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;53;43;26;12;2;4;5;63;7;24;8;31;32;35;59;21;23;20;41;1;28;25;61;37;29;58;60;3;2;300
2;300;17;33;22;64;49;48;57;6;34;19;15;52;54;56;9;11;16;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;53;43;26;12;2;4;5;63;7;24;8;31;32;35;59;21;23;20;41;1;28;25;61;37;29;58;60;3
17;33;22;64;49;48;57;6;34;19;15;52;54;53;9;11;16;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;24;8;31;32;35;59;21;23;20;41;1;28;25;61;37;29;58;60;3;2;296
2;296;17;33;22;64;49;48;57;6;34;19;15;52;54;53;9;11;16;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;24;8;31;32;35;59;21;23;20;41;1;28;25;61;37;29;58;60;3
17;33;22;64;49;48;57;6;34;19;15;52;21;53;9;11;16;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;24;8;31;32;35;59;54;23;20;41;1;28;25;61;37;29;58;60;3;2;296
2;296;17;33;22;64;49;48;57;6;34;19;15;52;21;53;9;11;16;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;24;8;31;32;35;59;54;23;20;41;1;28;25;61;37;29;58;60;3
17;33;22;64;49;48;57;6;34;19;29;52;21;53;9;11;16;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;24;8;31;32;35;59;54;23;20;41;1;28;25;61;37;15;58;60;3;2;300
2;300;17;33;22;64;49;48;57;6;34;19;29;52;21;53;9;11;16;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;24;8;31;32;35;59;54;23;20;41;1;28;25;61;37;15;58;60;3
17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;16;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;24;8;31;32;35;59;54;23;20;41;1;28;25;61;37;15;58;60;3;2;296
2;296;17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;16;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;24;8;31;32;35;59;54;23;20;41;1;28;25;61;37;15;58;60;3
17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;16;8;31;32;35;59;54;23;20;41;1;28;25;61;37;15;58;60;3;2;296
2;296;17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;16;8;31;32;35;59;54;23;20;41;1;28;25;61;37;15;58;60;3
17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;20;8;31;32;35;59;54;23;16;41;1;28;25;61;37;15;58;60;3;2;296
2;296;17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;20;8;31;32;35;59;54;23;16;41;1;28;25;61;37;15;58;60;3
17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;20;8;31;32;28;59;54;23;16;41;1;35;25;61;37;15;58;60;3;2;296
2;296;17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;55;18;42;46;62;36;47;40;39;14;51;27;10;45;44;38;13;50;56;43;26;12;2;4;5;63;7;20;8;31;32;28;59;54;23;16;41;1;35;25;61;37;15;58;60;3
17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;38;18;42;46;62;36;47;40;39;14;51;27;10;45;44;55;13;50;56;43;26;12;2;4;5;63;7;20;8;31;32;28;59;54;23;16;41;1;35;25;61;37;15;58;60;3;2;308
2;308;17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;38;18;42;46;62;36;47;40;39;14;51;27;10;45;44;55;13;50;56;43;26;12;2;4;5;63;7;20;8;31;32;28;59;54;23;16;41;1;35;25;61;37;15;58;60;3
17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;38;18;42;46;62;36;47;40;39;14;51;32;10;45;44;55;13;50;56;43;26;12;2;4;5;63;7;20;8;31;27;28;59;54;23;16;41;1;35;25;61;37;15;58;60;3;2;300
2;300;17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;38;18;42;46;62;36;47;40;39;14;51;32;10;45;44;55;13;50;56;43;26;12;2;4;5;63;7;20;8;31;27;28;59;54;23;16;41;1;35;25;61;37;15;58;60;3
17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;55;13;50;56;43;26;12;2;4;5;63;7;20;8;31;27;47;59;54;23;16;41;1;35;25;61;37;15;58;60;3;2;300
2;300;17;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;55;13;50;56;43;26;12;2;4;5;63;7;20;8;31;27;47;59;54;23;16;41;1;35;25;61;37;15;58;60;3
12;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;55;13;50;56;43;26;17;2;4;5;63;7;20;8;31;27;47;59;54;23;16;41;1;35;25;61;37;15;58;60;3;2;300
2;300;12;33;22;64;49;48;57;6;34;19;9;52;21;53;29;11;24;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;55;13;50;56;43;26;17;2;4;5;63;7;20;8;31;27;47;59;54;23;16;41;1;35;25;61;37;15;58;60;3
12;33;22;64;49;48;57;6;34;47;9;52;21;53;29;11;24;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;55;13;50;56;43;26;17;2;4;5;63;7;20;8;31;27;19;59;54;23;16;41;1;35;25;61;37;15;58;60;3;2;300
2;300;12;33;22;64;49;48;57;6;34;47;9;52;21;53;29;11;24;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;55;13;50;56;43;26;17;2;4;5;63;7;20;8;31;27;19;59;54;23;16;41;1;35;25;61;37;15;58;60;3
12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;24;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;55;13;50;56;43;26;17;2;4;53;63;7;20;8;31;27;19;59;54;23;16;41;1;35;25;61;37;15;58;60;3;2;300
2;300;12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;24;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;55;13;50;56;43;26;17;2;4;53;63;7;20;8;31;27;19;59;54;23;16;41;1;35;25;61;37;15;58;60;3
12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;53;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;55;13;50;56;43;26;17;2;4;24;63;7;20;8;31;27;19;59;54;23;16;41;1;35;25;61;37;15;58;60;3;2;300
2;300;12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;53;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;55;13;50;56;43;26;17;2;4;24;63;7;20;8;31;27;19;59;54;23;16;41;1;35;25;61;37;15;58;60;3
12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;53;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;55;13;50;56;43;26;17;2;4;24;63;7;20;8;31;27;19;59;54;23;16;41;1;35;3;61;37;15;58;60;25;2;300
3;300;12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;53;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;55;13;50;56;43;26;17;2;4;24;63;7;20;8;31;27;19;59;54;23;16;41;1;35;3;61;37;15;58;60;25
12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;53;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;1;13;50;56;43;26;17;2;4;24;63;7;20;8;31;27;19;59;54;23;16;41;55;35;3;61;37;15;58;60;25;3;300
3;300;12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;53;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;1;13;50;56;43;26;17;2;4;24;63;7;20;8;31;27;19;59;54;23;16;41;55;35;3;61;37;15;58;60;25
12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;53;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;1;13;50;56;43;26;17;2;4;24;63;7;20;8;31;25;19;59;54;23;16;41;55;35;3;61;37;15;58;60;27;3;300
3;300;12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;53;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;1;13;50;56;43;26;17;2;4;24;63;7;20;8;31;25;19;59;54;23;16;41;55;35;3;61;37;15;58;60;27
12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;25;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;1;13;50;56;43;26;17;2;4;24;63;7;20;8;31;53;19;59;54;23;16;41;55;35;3;61;37;15;58;60;27;3;312
3;312;12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;25;30;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;1;13;50;56;43;26;17;2;4;24;63;7;20;8;31;53;19;59;54;23;16;41;55;35;3;61;37;15;58;60;27
12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;25;3;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;1;13;50;56;43;26;17;2;4;24;63;7;20;8;31;53;19;59;54;23;16;41;55;35;30;61;37;15;58;60;27;3;312
3;312;12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;25;3;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;1;13;50;56;43;26;17;2;4;24;63;7;20;8;31;53;19;59;54;23;16;41;55;35;30;61;37;15;58;60;27
12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;25;3;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;1;13;50;56;43;26;17;2;4;24;63;19;20;8;31;53;7;59;54;23;16;41;55;35;30;61;37;15;58;60;27;3;312
3;312;12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;25;3;38;18;42;46;62;36;28;40;39;14;51;32;10;45;44;1;13;50;56;43;26;17;2;4;24;63;19;20;8;31;53;7;59;54;23;16;41;55;35;30;61;37;15;58;60;27
12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;25;3;38;18;42;46;62;36;28;40;39;14;51;32;58;45;44;1;13;50;56;43;26;17;2;4;24;63;19;20;8;31;53;7;59;54;23;16;41;55;35;30;61;37;15;10;60;27;3;312
3;312;12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;25;3;38;18;42;46;62;36;28;40;39;14;51;32;58;45;44;1;13;50;56;43;26;17;2;4;24;63;19;20;8;31;53;7;59;54;23;16;41;55;35;30;61;37;15;10;60;27
12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;25;3;38;18;42;46;62;36;28;40;39;14;51;43;58;45;44;1;13;50;56;32;26;17;2;4;24;63;19;20;8;31;53;7;59;54;23;16;41;55;35;30;61;37;15;10;60;27;3;324
3;324;12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;25;3;38;18;42;46;62;36;28;40;39;14;51;43;58;45;44;1;13;50;56;32;26;17;2;4;24;63;19;20;8;31;53;7;59;54;23;16;41;55;35;30;61;37;15;10;60;27
12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;25;3;38;18;42;46;62;36;28;40;39;14;51;43;35;45;44;1;13;50;56;32;26;17;2;4;24;63;19;20;8;31;53;7;59;54;23;16;41;55;58;30;61;37;15;10;60;27;3;324
3;324;12;33;22;64;49;48;57;6;34;47;9;52;21;5;29;11;25;3;38;18;42;46;62;36;28;40;39;14;51;43;35;45;44;1;13;50;56;32;26;17;2;4;24;63;19;20;8;31;53;7;59;54;23;16;41;55;58;30;61;37;15;10;60;27
12;33;22;64;49;48;57;6;34;47;9;52;21;14;29;11;25;3;38;18;42;46;62;36;28;40;39;5;51;43;35;45;44;1;13;50;56;32;26;17;2;4;24;63;19;20;8;31;53;7;59;54;23;16;41;55;58;30;61;37;15;10;60;27;3;316
3;316;12;33;22;64;49;48;57;6;34;47;9;52;21;14;29;11;25;3;38;18;42;46;62;36;28;40;39;5;51;43;35;45;44;1;13;50;56;32;26;17;2;4;24;63;19;20;8;31;53;7;59;54;23;16;41;55;58;30;61;37;15;10;60;27
12;33;22;64;49;48;57;6;34;47;9;52;21;14;29;11;25;3;38;18;42;46;62;36;28;40;39;5;51;43;35;45;44;1;13;50;56;32;26;17;2;4;20;63;19;24;8;31;53;7;59;54;23;16;41;55;58;30;61;37;15;10;60;27;3;304
3;304;12;33;22;64;49;48;57;6;34;47;9;52;21;14;29;11;25;3;38;18;42;46;62;36;28;40;39;5;51;43;35;45;44;1;13;50;56;32;26;17;2;4;20;63;19;24;8;31;53;7;59;54;23;16;41;55;58;30;61;37;15;10;60;27
12;20;22;64;49;48;57;6;34;47;9;52;21;14;29;11;25;3;38;18;42;46;62;36;28;40;39;5;51;43;35;45;44;1;13;50;56;32;26;17;2;4;33;63;19;24;8;31;53;7;59;54;23;16;41;55;58;30;61;37;15;10;60;27;3;304
