"X1";"X5834049";"X2";"X12";"X14";"X4";"X23";"X19";"X11";"X21";"X18";"X17";"X10";"X20";"X15";"X9";"X7";"X26";"X3";"X25";"X1.1";"X24";"X8";"X22";"X13";"X16";"X5";"X6"
11;3;2;4;23;26;22;21;18;17;19;6;1;9;25;24;7;10;13;20;8;14;16;12;5;15;1;6026248
1;6026248;11;3;2;4;23;26;22;21;18;17;19;6;1;9;25;24;7;10;13;20;8;14;16;12;5;15
11;13;2;4;23;26;22;21;18;17;19;6;1;9;25;24;7;10;3;20;8;14;16;12;5;15;1;5896389
1;5896389;11;13;2;4;23;26;22;21;18;17;19;6;1;9;25;24;7;10;3;20;8;14;16;12;5;15
11;13;2;4;23;26;22;21;18;17;19;6;1;9;25;24;15;10;3;20;8;14;16;12;5;7;1;5872572
2;5872572;11;13;2;4;23;26;22;21;18;17;19;6;1;9;25;24;15;10;3;20;8;14;16;12;5;7
11;13;2;4;5;26;22;21;18;17;19;6;1;9;25;24;15;10;3;20;8;14;16;12;23;7;2;6069827
2;6069827;11;13;2;4;5;26;22;21;18;17;19;6;1;9;25;24;15;10;3;20;8;14;16;12;23;7
11;13;2;4;5;26;22;21;18;9;19;6;1;17;25;24;15;10;3;20;8;14;16;12;23;7;2;5959627
2;5959627;11;13;2;4;5;26;22;21;18;9;19;6;1;17;25;24;15;10;3;20;8;14;16;12;23;7
11;13;22;4;5;26;2;21;18;9;19;6;1;17;25;24;15;10;3;20;8;14;16;12;23;7;2;5933191
2;5933191;11;13;22;4;5;26;2;21;18;9;19;6;1;17;25;24;15;10;3;20;8;14;16;12;23;7
11;13;22;4;5;26;2;21;18;9;19;6;1;17;25;24;15;10;3;23;8;14;16;12;20;7;2;5866483
2;5866483;11;13;22;4;5;26;2;21;18;9;19;6;1;17;25;24;15;10;3;23;8;14;16;12;20;7
11;13;22;4;5;14;2;21;18;9;19;6;1;17;25;24;15;10;3;23;8;26;16;12;20;7;2;5815663
2;5815663;11;13;22;4;5;14;2;21;18;9;19;6;1;17;25;24;15;10;3;23;8;26;16;12;20;7
11;13;22;10;5;14;2;21;18;9;19;6;1;17;25;24;15;4;3;23;8;26;16;12;20;7;2;5791746
2;5791746;11;13;22;10;5;14;2;21;18;9;19;6;1;17;25;24;15;4;3;23;8;26;16;12;20;7
11;13;22;10;5;14;2;21;18;9;19;6;1;24;25;17;15;4;3;23;8;26;16;12;20;7;2;5791834
2;5791834;11;13;22;10;5;14;2;21;18;9;19;6;1;24;25;17;15;4;3;23;8;26;16;12;20;7
11;13;22;18;5;14;2;21;10;9;19;6;1;24;25;17;15;4;3;23;8;26;16;12;20;7;2;5856476
2;5856476;11;13;22;18;5;14;2;21;10;9;19;6;1;24;25;17;15;4;3;23;8;26;16;12;20;7
11;13;22;18;5;10;2;21;14;9;19;6;1;24;25;17;15;4;3;23;8;26;16;12;20;7;2;5831695
2;5831695;11;13;22;18;5;10;2;21;14;9;19;6;1;24;25;17;15;4;3;23;8;26;16;12;20;7
11;13;22;18;5;10;2;21;14;9;23;6;1;24;25;17;15;4;3;19;8;26;16;12;20;7;2;5878505
2;5878505;11;13;22;18;5;10;2;21;14;9;23;6;1;24;25;17;15;4;3;19;8;26;16;12;20;7
11;13;22;18;5;10;2;21;14;9;23;6;1;24;25;4;15;17;3;19;8;26;16;12;20;7;2;5902208
2;5902208;11;13;22;18;5;10;2;21;14;9;23;6;1;24;25;4;15;17;3;19;8;26;16;12;20;7
11;13;22;18;5;10;4;21;14;9;23;6;1;24;25;2;15;17;3;19;8;26;16;12;20;7;2;5901163
2;5901163;11;13;22;18;5;10;4;21;14;9;23;6;1;24;25;2;15;17;3;19;8;26;16;12;20;7
11;13;22;18;5;10;4;17;14;9;23;6;1;24;25;2;15;21;3;19;8;26;16;12;20;7;2;5889900
2;5889900;11;13;22;18;5;10;4;17;14;9;23;6;1;24;25;2;15;21;3;19;8;26;16;12;20;7
11;13;22;18;5;10;4;17;14;9;16;6;1;24;25;2;15;21;3;19;8;26;23;12;20;7;2;5893407
2;5893407;11;13;22;18;5;10;4;17;14;9;16;6;1;24;25;2;15;21;3;19;8;26;23;12;20;7
11;13;22;18;5;10;4;17;14;9;16;6;1;24;25;2;15;21;3;19;8;26;7;12;20;23;2;5939224
2;5939224;11;13;22;18;5;10;4;17;14;9;16;6;1;24;25;2;15;21;3;19;8;26;7;12;20;23
11;13;22;18;5;10;4;17;14;9;16;6;1;7;25;2;15;21;3;19;8;26;24;12;20;23;2;5877503
2;5877503;11;13;22;18;5;10;4;17;14;9;16;6;1;7;25;2;15;21;3;19;8;26;24;12;20;23
11;13;22;18;5;16;4;17;14;9;10;6;1;7;25;2;15;21;3;19;8;26;24;12;20;23;2;5873675
2;5873675;11;13;22;18;5;16;4;17;14;9;10;6;1;7;25;2;15;21;3;19;8;26;24;12;20;23
11;13;22;18;5;16;4;17;14;9;10;6;1;2;25;7;15;21;3;19;8;26;24;12;20;23;2;5881557
2;5881557;11;13;22;18;5;16;4;17;14;9;10;6;1;2;25;7;15;21;3;19;8;26;24;12;20;23
11;13;22;18;5;16;4;21;14;9;10;6;1;2;25;7;15;17;3;19;8;26;24;12;20;23;2;5891962
2;5891962;11;13;22;18;5;16;4;21;14;9;10;6;1;2;25;7;15;17;3;19;8;26;24;12;20;23
11;13;22;18;16;5;4;21;14;9;10;6;1;2;25;7;15;17;3;19;8;26;24;12;20;23;2;5974834
3;5891962;11;13;22;18;5;16;4;21;14;9;10;6;1;2;25;7;15;17;3;19;8;26;24;12;20;23
11;13;22;24;5;16;4;21;14;9;10;6;1;2;25;7;15;17;3;19;8;26;18;12;20;23;3;6007640
3;6007640;11;13;22;24;5;16;4;21;14;9;10;6;1;2;25;7;15;17;3;19;8;26;18;12;20;23
11;13;22;24;5;16;4;21;14;9;10;6;1;25;2;7;15;17;3;19;8;26;18;12;20;23;3;6018800
3;6018800;11;13;22;24;5;16;4;21;14;9;10;6;1;25;2;7;15;17;3;19;8;26;18;12;20;23
11;22;13;24;5;16;4;21;14;9;10;6;1;25;2;7;15;17;3;19;8;26;18;12;20;23;3;6023381
3;6023381;11;22;13;24;5;16;4;21;14;9;10;6;1;25;2;7;15;17;3;19;8;26;18;12;20;23
11;22;13;24;5;16;4;21;14;9;10;6;1;25;2;7;23;17;3;19;8;26;18;12;20;15;3;6037441
3;6037441;11;22;13;24;5;16;4;21;14;9;10;6;1;25;2;7;23;17;3;19;8;26;18;12;20;15
11;22;13;24;5;16;4;21;14;9;10;6;1;25;2;7;3;17;23;19;8;26;18;12;20;15;3;6037963
3;6037963;11;22;13;24;5;16;4;21;14;9;10;6;1;25;2;7;3;17;23;19;8;26;18;12;20;15
11;22;13;24;5;16;6;21;14;9;10;4;1;25;2;7;3;17;23;19;8;26;18;12;20;15;3;6044904
3;6044904;11;22;13;24;5;16;6;21;14;9;10;4;1;25;2;7;3;17;23;19;8;26;18;12;20;15
11;22;13;24;5;3;6;21;14;9;10;4;1;25;2;7;16;17;23;19;8;26;18;12;20;15;3;6060810
3;6060810;11;22;13;24;5;3;6;21;14;9;10;4;1;25;2;7;16;17;23;19;8;26;18;12;20;15
11;22;13;24;5;3;6;21;14;9;4;10;1;25;2;7;16;17;23;19;8;26;18;12;20;15;3;6060855
3;6060855;11;22;13;24;5;3;6;21;14;9;4;10;1;25;2;7;16;17;23;19;8;26;18;12;20;15
11;22;13;24;5;3;8;21;14;9;4;10;1;25;2;7;16;17;23;19;6;26;18;12;20;15;3;6082145
3;6082145;11;22;13;24;5;3;8;21;14;9;4;10;1;25;2;7;16;17;23;19;6;26;18;12;20;15
11;22;13;24;5;3;8;21;14;9;4;10;1;25;15;7;16;17;23;19;6;26;18;12;20;2;3;6063528
3;6063528;11;22;13;24;5;3;8;21;14;9;4;10;1;25;15;7;16;17;23;19;6;26;18;12;20;2
11;22;13;24;5;3;4;21;14;9;8;10;1;25;15;7;16;17;23;19;6;26;18;12;20;2;3;6029813
3;6029813;11;22;13;24;5;3;4;21;14;9;8;10;1;25;15;7;16;17;23;19;6;26;18;12;20;2
11;22;13;24;19;3;4;21;14;9;8;10;1;25;15;7;16;17;23;5;6;26;18;12;20;2;3;5978955
3;5978955;11;22;13;24;19;3;4;21;14;9;8;10;1;25;15;7;16;17;23;5;6;26;18;12;20;2
11;22;13;24;19;3;8;21;14;9;4;10;1;25;15;7;16;17;23;5;6;26;18;12;20;2;3;6022180
3;6022180;11;22;13;24;19;3;8;21;14;9;4;10;1;25;15;7;16;17;23;5;6;26;18;12;20;2
11;22;13;24;26;3;8;21;14;9;4;10;1;25;15;7;16;17;23;5;6;19;18;12;20;2;3;6028991
3;6028991;11;22;13;24;26;3;8;21;14;9;4;10;1;25;15;7;16;17;23;5;6;19;18;12;20;2
11;22;13;24;26;3;8;9;14;21;4;10;1;25;15;7;16;17;23;5;6;19;18;12;20;2;3;6029051
3;6029051;11;22;13;24;26;3;8;9;14;21;4;10;1;25;15;7;16;17;23;5;6;19;18;12;20;2
11;22;13;24;26;3;8;9;14;21;4;10;20;25;15;7;16;17;23;5;6;19;18;12;1;2;3;6085302
3;6085302;11;22;13;24;26;3;8;9;14;21;4;10;20;25;15;7;16;17;23;5;6;19;18;12;1;2
11;22;13;24;14;3;8;9;26;21;4;10;20;25;15;7;16;17;23;5;6;19;18;12;1;2;3;6105455
3;6105455;11;22;13;24;14;3;8;9;26;21;4;10;20;25;15;7;16;17;23;5;6;19;18;12;1;2
11;4;13;24;14;3;8;9;26;21;22;10;20;25;15;7;16;17;23;5;6;19;18;12;1;2;3;6131811
3;6131811;11;4;13;24;14;3;8;9;26;21;22;10;20;25;15;7;16;17;23;5;6;19;18;12;1;2
11;4;13;15;14;3;8;9;26;21;22;10;20;25;24;7;16;17;23;5;6;19;18;12;1;2;3;6151116
3;6151116;11;4;13;15;14;3;8;9;26;21;22;10;20;25;24;7;16;17;23;5;6;19;18;12;1;2
11;4;13;15;14;3;8;10;26;21;22;9;20;25;24;7;16;17;23;5;6;19;18;12;1;2;3;6247947
4;6247947;11;4;13;15;14;3;8;10;26;21;22;9;20;25;24;7;16;17;23;5;6;19;18;12;1;2
11;4;13;15;14;3;8;10;26;21;22;1;20;25;24;7;16;17;23;5;6;19;18;12;9;2;4;6175285
4;6175285;11;4;13;15;14;3;8;10;26;21;22;1;20;25;24;7;16;17;23;5;6;19;18;12;9;2
11;4;13;15;14;3;8;10;23;21;22;1;20;25;24;7;16;17;26;5;6;19;18;12;9;2;4;6174669
4;6174669;11;4;13;15;14;3;8;10;23;21;22;1;20;25;24;7;16;17;26;5;6;19;18;12;9;2
11;4;13;15;14;3;8;10;9;21;22;1;20;25;24;7;16;17;26;5;6;19;18;12;23;2;4;6144850
4;6144850;11;4;13;15;14;3;8;10;9;21;22;1;20;25;24;7;16;17;26;5;6;19;18;12;23;2
22;4;13;15;14;3;8;10;9;21;11;1;20;25;24;7;16;17;26;5;6;19;18;12;23;2;4;6139315
4;6139315;22;4;13;15;14;3;8;10;9;21;11;1;20;25;24;7;16;17;26;5;6;19;18;12;23;2
22;4;13;15;14;3;8;10;20;21;11;1;9;25;24;7;16;17;26;5;6;19;18;12;23;2;4;6174505
4;6174505;22;4;13;15;14;3;8;10;20;21;11;1;9;25;24;7;16;17;26;5;6;19;18;12;23;2
22;4;13;15;14;3;8;10;20;21;11;2;9;25;24;7;16;17;26;5;6;19;18;12;23;1;4;6215797
4;6215797;22;4;13;15;14;3;8;10;20;21;11;2;9;25;24;7;16;17;26;5;6;19;18;12;23;1
22;4;18;15;14;3;8;10;20;21;11;2;9;25;24;7;16;17;26;5;6;19;13;12;23;1;4;6174841
4;6174841;22;4;18;15;14;3;8;10;20;21;11;2;9;25;24;7;16;17;26;5;6;19;13;12;23;1
17;4;18;15;14;3;8;10;20;21;11;2;9;25;24;7;16;22;26;5;6;19;13;12;23;1;4;6148534
4;6148534;17;4;18;15;14;3;8;10;20;21;11;2;9;25;24;7;16;22;26;5;6;19;13;12;23;1
17;4;18;15;14;3;8;10;20;21;11;2;9;25;5;7;16;22;26;24;6;19;13;12;23;1;4;6075189
4;6075189;17;4;18;15;14;3;8;10;20;21;11;2;9;25;5;7;16;22;26;24;6;19;13;12;23;1
17;4;18;15;14;13;8;10;20;21;11;2;9;25;5;7;16;22;26;24;6;19;3;12;23;1;4;6071139
4;6071139;17;4;18;15;14;13;8;10;20;21;11;2;9;25;5;7;16;22;26;24;6;19;3;12;23;1
17;4;18;15;14;13;8;10;3;21;11;2;9;25;5;7;16;22;26;24;6;19;20;12;23;1;4;6181374
4;6181374;17;4;18;15;14;13;8;10;3;21;11;2;9;25;5;7;16;22;26;24;6;19;20;12;23;1
17;4;18;15;14;13;8;10;3;21;11;2;16;25;5;7;9;22;26;24;6;19;20;12;23;1;4;6111352
4;6111352;17;4;18;15;14;13;8;10;3;21;11;2;16;25;5;7;9;22;26;24;6;19;20;12;23;1
17;4;18;15;14;13;2;10;3;21;11;8;16;25;5;7;9;22;26;24;6;19;20;12;23;1;4;6076943
4;6076943;17;4;18;15;14;13;2;10;3;21;11;8;16;25;5;7;9;22;26;24;6;19;20;12;23;1
17;4;18;15;14;13;2;10;3;21;11;8;16;25;5;7;9;22;20;24;6;19;26;12;23;1;4;5947907
4;5947907;17;4;18;15;14;13;2;10;3;21;11;8;16;25;5;7;9;22;20;24;6;19;26;12;23;1
17;4;18;15;14;13;2;10;3;21;11;8;16;7;5;25;9;22;20;24;6;19;26;12;23;1;4;5969398
4;5969398;17;4;18;15;14;13;2;10;3;21;11;8;16;7;5;25;9;22;20;24;6;19;26;12;23;1
17;4;18;15;14;13;2;5;3;21;11;8;16;7;10;25;9;22;20;24;6;19;26;12;23;1;4;5753528
4;5753528;17;4;18;15;14;13;2;5;3;21;11;8;16;7;10;25;9;22;20;24;6;19;26;12;23;1
17;4;18;15;14;13;5;2;3;21;11;8;16;7;10;25;9;22;20;24;6;19;26;12;23;1;4;5800577
4;5800577;17;4;18;15;14;13;5;2;3;21;11;8;16;7;10;25;9;22;20;24;6;19;26;12;23;1
17;4;18;15;14;13;10;2;3;21;11;8;16;7;5;25;9;22;20;24;6;19;26;12;23;1;4;5959259
4;5959259;17;4;18;15;14;13;10;2;3;21;11;8;16;7;5;25;9;22;20;24;6;19;26;12;23;1
17;19;18;15;14;13;10;2;3;21;11;8;16;7;5;25;9;22;20;24;6;4;26;12;23;1;4;5953233
4;5953233;17;19;18;15;14;13;10;2;3;21;11;8;16;7;5;25;9;22;20;24;6;4;26;12;23;1
17;19;18;15;14;13;10;2;3;21;11;8;16;22;5;25;9;7;20;24;6;4;26;12;23;1;4;5932440
5;5932440;17;19;18;15;14;13;10;2;3;21;11;8;16;22;5;25;9;7;20;24;6;4;26;12;23;1
14;19;18;15;17;13;10;2;3;21;11;8;16;22;5;25;9;7;20;24;6;4;26;12;23;1;5;5924558
5;5924558;14;19;18;15;17;13;10;2;3;21;11;8;16;22;5;25;9;7;20;24;6;4;26;12;23;1
14;19;18;15;17;13;10;2;3;21;11;8;16;24;5;25;9;7;20;22;6;4;26;12;23;1;5;5926674
5;5926674;14;19;18;15;17;13;10;2;3;21;11;8;16;24;5;25;9;7;20;22;6;4;26;12;23;1
14;19;18;15;26;13;10;2;3;21;11;8;16;24;5;25;9;7;20;22;6;4;17;12;23;1;5;5924896
5;5924896;14;19;18;15;26;13;10;2;3;21;11;8;16;24;5;25;9;7;20;22;6;4;17;12;23;1
14;19;18;15;26;13;10;2;20;21;11;8;16;24;5;25;9;7;3;22;6;4;17;12;23;1;5;5931774
5;5931774;14;19;18;15;26;13;10;2;20;21;11;8;16;24;5;25;9;7;3;22;6;4;17;12;23;1
14;19;18;22;26;13;10;2;20;21;11;8;16;24;5;25;9;7;3;15;6;4;17;12;23;1;5;5961453
5;5961453;14;19;18;22;26;13;10;2;20;21;11;8;16;24;5;25;9;7;3;15;6;4;17;12;23;1
14;19;18;22;26;13;10;2;20;21;11;17;16;24;5;25;9;7;3;15;6;4;8;12;23;1;5;5975420
5;5975420;14;19;18;22;26;13;10;2;20;21;11;17;16;24;5;25;9;7;3;15;6;4;8;12;23;1
14;19;18;22;6;13;10;2;20;21;11;17;16;24;5;25;9;7;3;15;26;4;8;12;23;1;5;5974648
5;5974648;14;19;18;22;6;13;10;2;20;21;11;17;16;24;5;25;9;7;3;15;26;4;8;12;23;1
14;19;18;22;6;13;10;2;20;12;11;17;16;24;5;25;9;7;3;15;26;4;8;21;23;1;5;6007907
5;6007907;14;19;18;22;6;13;10;2;20;12;11;17;16;24;5;25;9;7;3;15;26;4;8;21;23;1
14;19;18;4;6;13;10;2;20;12;11;17;16;24;5;25;9;7;3;15;26;22;8;21;23;1;5;6003678
5;6003678;14;19;18;4;6;13;10;2;20;12;11;17;16;24;5;25;9;7;3;15;26;22;8;21;23;1
14;19;18;4;6;10;13;2;20;12;11;17;16;24;5;25;9;7;3;15;26;22;8;21;23;1;5;6003678
5;6003678;14;19;18;4;6;10;13;2;20;12;11;17;16;24;5;25;9;7;3;15;26;22;8;21;23;1
14;19;21;4;6;10;13;2;20;12;11;17;16;24;5;25;9;7;3;15;26;22;8;18;23;1;5;6037765
5;6037765;14;19;21;4;6;10;13;2;20;12;11;17;16;24;5;25;9;7;3;15;26;22;8;18;23;1
14;19;25;4;6;10;13;2;20;12;11;17;16;24;5;21;9;7;3;15;26;22;8;18;23;1;5;6001641
5;6001641;14;19;25;4;6;10;13;2;20;12;11;17;16;24;5;21;9;7;3;15;26;22;8;18;23;1
14;19;25;4;6;10;13;2;20;12;11;17;16;24;5;21;9;7;3;15;26;22;18;8;23;1;5;6001641
5;6001641;14;19;25;4;6;10;13;2;20;12;11;17;16;24;5;21;9;7;3;15;26;22;18;8;23;1
14;19;25;4;6;10;13;2;20;12;26;17;16;24;5;21;9;7;3;15;11;22;18;8;23;1;5;6007115
5;6007115;14;19;25;4;6;10;13;2;20;12;26;17;16;24;5;21;9;7;3;15;11;22;18;8;23;1
14;19;25;4;6;10;13;2;20;12;21;17;16;24;5;26;9;7;3;15;11;22;18;8;23;1;5;6021307
5;6021307;14;19;25;4;6;10;13;2;20;12;21;17;16;24;5;26;9;7;3;15;11;22;18;8;23;1
14;19;25;4;6;10;13;2;20;12;21;17;16;24;5;26;9;7;3;15;11;22;18;8;1;23;5;6021307
5;6021307;14;19;25;4;6;10;13;2;20;12;21;17;16;24;5;26;9;7;3;15;11;22;18;8;1;23
14;19;25;4;6;10;13;2;20;1;21;17;16;24;5;26;9;7;3;15;11;22;18;8;12;23;5;6015464
5;6015464;14;19;25;4;6;10;13;2;20;1;21;17;16;24;5;26;9;7;3;15;11;22;18;8;12;23
14;19;25;4;6;10;13;2;20;17;21;1;16;24;5;26;9;7;3;15;11;22;18;8;12;23;5;6011863
5;6011863;14;19;25;4;6;10;13;2;20;17;21;1;16;24;5;26;9;7;3;15;11;22;18;8;12;23
14;19;25;4;6;10;13;7;20;17;21;1;16;24;5;26;9;2;3;15;11;22;18;8;12;23;5;6016558
5;6016558;14;19;25;4;6;10;13;7;20;17;21;1;16;24;5;26;9;2;3;15;11;22;18;8;12;23
14;19;25;4;6;10;13;7;20;17;21;1;16;3;5;26;9;2;24;15;11;22;18;8;12;23;5;6085773
6;6085773;14;19;25;4;6;10;13;7;20;17;21;1;16;3;5;26;9;2;24;15;11;22;18;8;12;23
3;19;25;4;6;10;13;7;20;17;21;1;16;14;5;26;9;2;24;15;11;22;18;8;12;23;6;6046715
6;6046715;3;19;25;4;6;10;13;7;20;17;21;1;16;14;5;26;9;2;24;15;11;22;18;8;12;23
3;19;25;4;6;10;13;7;20;17;21;1;16;14;5;26;9;2;24;15;18;22;11;8;12;23;6;6046461
6;6046461;3;19;25;4;6;10;13;7;20;17;21;1;16;14;5;26;9;2;24;15;18;22;11;8;12;23
3;19;16;4;6;10;13;7;20;17;21;1;25;14;5;26;9;2;24;15;18;22;11;8;12;23;6;6053541
6;6053541;3;19;16;4;6;10;13;7;20;17;21;1;25;14;5;26;9;2;24;15;18;22;11;8;12;23
3;19;16;4;6;10;13;7;20;17;21;1;25;14;5;26;9;2;24;15;18;22;12;8;11;23;6;6071348
6;6071348;3;19;16;4;6;10;13;7;20;17;21;1;25;14;5;26;9;2;24;15;18;22;12;8;11;23
3;16;19;4;6;10;13;7;20;17;21;1;25;14;5;26;9;2;24;15;18;22;12;8;11;23;6;6066841
6;6066841;3;16;19;4;6;10;13;7;20;17;21;1;25;14;5;26;9;2;24;15;18;22;12;8;11;23
3;16;19;4;6;10;13;7;8;17;21;1;25;14;5;26;9;2;24;15;18;22;12;20;11;23;6;6066185
6;6066185;3;16;19;4;6;10;13;7;8;17;21;1;25;14;5;26;9;2;24;15;18;22;12;20;11;23
3;16;25;4;6;10;13;7;8;17;21;1;19;14;5;26;9;2;24;15;18;22;12;20;11;23;6;6013990
6;6013990;3;16;25;4;6;10;13;7;8;17;21;1;19;14;5;26;9;2;24;15;18;22;12;20;11;23
3;16;25;4;6;12;13;7;8;17;21;1;19;14;5;26;9;2;24;15;18;22;10;20;11;23;6;5975189
6;5975189;3;16;25;4;6;12;13;7;8;17;21;1;19;14;5;26;9;2;24;15;18;22;10;20;11;23
3;16;25;4;6;12;13;1;8;17;21;7;19;14;5;26;9;2;24;15;18;22;10;20;11;23;6;6013771
6;6013771;3;16;25;4;6;12;13;1;8;17;21;7;19;14;5;26;9;2;24;15;18;22;10;20;11;23
3;16;25;4;6;12;13;1;8;17;21;7;19;14;5;26;9;2;24;15;18;11;10;20;22;23;6;6017354
6;6017354;3;16;25;4;6;12;13;1;8;17;21;7;19;14;5;26;9;2;24;15;18;11;10;20;22;23
3;16;25;4;6;12;13;1;8;17;21;7;19;14;5;26;20;2;24;15;18;11;10;9;22;23;6;6075389
6;6075389;3;16;25;4;6;12;13;1;8;17;21;7;19;14;5;26;20;2;24;15;18;11;10;9;22;23
3;16;25;4;2;12;13;1;8;17;21;7;19;14;5;26;20;6;24;15;18;11;10;9;22;23;6;6090875
6;6090875;3;16;25;4;2;12;13;1;8;17;21;7;19;14;5;26;20;6;24;15;18;11;10;9;22;23
3;16;25;4;2;12;13;1;8;17;26;7;19;14;5;21;20;6;24;15;18;11;10;9;22;23;6;6110583
6;6110583;3;16;25;4;2;12;13;1;8;17;26;7;19;14;5;21;20;6;24;15;18;11;10;9;22;23
3;16;20;4;2;12;13;1;8;17;26;7;19;14;5;21;25;6;24;15;18;11;10;9;22;23;6;6211857
6;6211857;3;16;20;4;2;12;13;1;8;17;26;7;19;14;5;21;25;6;24;15;18;11;10;9;22;23
3;16;20;4;2;12;13;1;15;17;26;7;19;14;5;21;25;6;24;8;18;11;10;9;22;23;6;6307345
6;6307345;3;16;20;4;2;12;13;1;15;17;26;7;19;14;5;21;25;6;24;8;18;11;10;9;22;23
19;16;20;4;2;12;13;1;15;17;26;7;3;14;5;21;25;6;24;8;18;11;10;9;22;23;6;6287435
6;6287435;19;16;20;4;2;12;13;1;15;17;26;7;3;14;5;21;25;6;24;8;18;11;10;9;22;23
19;16;20;4;2;12;13;1;15;17;26;7;3;14;5;21;25;6;22;8;18;11;10;9;24;23;6;6286292
6;6286292;19;16;20;4;2;12;13;1;15;17;26;7;3;14;5;21;25;6;22;8;18;11;10;9;24;23
19;16;20;4;2;12;13;1;14;17;26;7;3;15;5;21;25;6;22;8;18;11;10;9;24;23;6;6182783
6;6182783;19;16;20;4;2;12;13;1;14;17;26;7;3;15;5;21;25;6;22;8;18;11;10;9;24;23
