"X1";"X288";"X31";"X12";"X61";"X4";"X54";"X16";"X39";"X36";"X7";"X10";"X21";"X48";"X15";"X63";"X60";"X37";"X47";"X26";"X27";"X50";"X18";"X32";"X44";"X62";"X5";"X6";"X9";"X34";"X43";"X25";"X56";"X13";"X51";"X19";"X24";"X57";"X49";"X52";"X46";"X41";"X20";"X17";"X40";"X58";"X23";"X53";"X33";"X1.1";"X35";"X64";"X42";"X45";"X55";"X22";"X2";"X38";"X28";"X11";"X8";"X3";"X59";"X29";"X14";"X30"
31;12;15;50;60;34;39;36;7;38;21;48;32;63;54;37;27;26;44;4;35;20;47;56;5;6;9;16;46;30;62;13;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;1;18;24;42;45;55;22;2;52;10;11;8;3;59;29;14;25;1;256
1;256;31;12;15;50;60;34;39;36;7;38;21;48;32;63;54;37;27;26;44;4;35;20;47;56;5;6;9;16;46;30;62;13;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;1;18;24;42;45;55;22;2;52;10;11;8;3;59;29;14;25
31;12;15;50;60;34;39;36;7;38;21;48;32;63;54;37;27;26;44;4;35;20;47;56;5;6;9;16;46;30;62;13;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;1;18;24;42;45;22;55;2;52;10;11;8;3;59;29;14;25;1;256
1;256;31;12;15;50;60;34;39;36;7;38;21;48;32;63;54;37;27;26;44;4;35;20;47;56;5;6;9;16;46;30;62;13;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;1;18;24;42;45;22;55;2;52;10;11;8;3;59;29;14;25
31;12;15;50;60;34;39;36;7;38;21;48;32;1;54;37;27;26;44;4;35;20;47;56;5;6;9;16;46;30;62;13;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;63;18;24;42;45;22;55;2;52;10;11;8;3;59;29;14;25;1;252
2;252;31;12;15;50;60;34;39;36;7;38;21;48;32;1;54;37;27;26;44;4;35;20;47;56;5;6;9;16;46;30;62;13;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;63;18;24;42;45;22;55;2;52;10;11;8;3;59;29;14;25
31;12;15;45;60;34;39;36;7;38;21;48;32;1;54;37;27;26;44;4;35;20;47;56;5;6;9;16;46;30;62;13;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;63;18;24;42;50;22;55;2;52;10;11;8;3;59;29;14;25;2;256
2;256;31;12;15;45;60;34;39;36;7;38;21;48;32;1;54;37;27;26;44;4;35;20;47;56;5;6;9;16;46;30;62;13;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;63;18;24;42;50;22;55;2;52;10;11;8;3;59;29;14;25
31;12;13;45;60;34;39;36;7;38;21;48;32;1;54;37;27;26;44;4;35;20;47;56;5;6;9;16;46;30;62;15;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;63;18;24;42;50;22;55;2;52;10;11;8;3;59;29;14;25;2;252
2;252;31;12;13;45;60;34;39;36;7;38;21;48;32;1;54;37;27;26;44;4;35;20;47;56;5;6;9;16;46;30;62;15;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;63;18;24;42;50;22;55;2;52;10;11;8;3;59;29;14;25
31;12;13;45;60;6;39;36;7;38;21;48;32;1;54;37;27;26;44;4;35;20;47;56;5;34;9;16;46;30;62;15;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;63;18;24;42;50;22;55;2;52;10;11;8;3;59;29;14;25;2;264
2;264;31;12;13;45;60;6;39;36;7;38;21;48;32;1;54;37;27;26;44;4;35;20;47;56;5;34;9;16;46;30;62;15;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;63;18;24;42;50;22;55;2;52;10;11;8;3;59;29;14;25
31;12;13;45;60;6;39;36;7;38;21;48;42;1;54;37;27;26;44;4;35;20;47;56;5;34;9;16;46;30;62;15;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;63;18;24;32;50;22;55;2;52;10;11;8;3;59;29;14;25;2;264
2;264;31;12;13;45;60;6;39;36;7;38;21;48;42;1;54;37;27;26;44;4;35;20;47;56;5;34;9;16;46;30;62;15;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;63;18;24;32;50;22;55;2;52;10;11;8;3;59;29;14;25
31;12;13;45;60;6;39;36;7;38;21;48;42;1;54;37;27;26;44;4;35;55;47;56;5;34;9;16;46;30;62;15;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25;2;266
2;266;31;12;13;45;60;6;39;36;7;38;21;48;42;1;54;37;27;26;44;4;35;55;47;56;5;34;9;16;46;30;62;15;51;40;64;57;49;28;43;41;61;17;19;58;23;53;33;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25
31;12;13;45;60;6;23;36;7;38;21;48;42;1;54;37;27;26;44;4;35;55;47;56;5;34;9;16;46;30;62;15;51;40;64;57;49;28;43;41;61;17;19;58;39;53;33;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25;2;266
2;266;31;12;13;45;60;6;23;36;7;38;21;48;42;1;54;37;27;26;44;4;35;55;47;56;5;34;9;16;46;30;62;15;51;40;64;57;49;28;43;41;61;17;19;58;39;53;33;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25
31;12;13;45;60;6;23;36;7;38;21;48;42;1;54;37;33;26;44;4;35;55;47;56;5;34;9;16;46;30;62;15;51;40;64;57;49;28;43;41;61;17;19;58;39;53;27;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25;2;234
2;234;31;12;13;45;60;6;23;36;7;38;21;48;42;1;54;37;33;26;44;4;35;55;47;56;5;34;9;16;46;30;62;15;51;40;64;57;49;28;43;41;61;17;19;58;39;53;27;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25
31;12;13;45;60;6;23;36;7;38;21;48;42;1;54;37;33;26;44;4;35;62;47;56;5;34;9;16;46;30;55;15;51;40;64;57;49;28;43;41;61;17;19;58;39;53;27;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25;2;236
2;236;31;12;13;45;60;6;23;36;7;38;21;48;42;1;54;37;33;26;44;4;35;62;47;56;5;34;9;16;46;30;55;15;51;40;64;57;49;28;43;41;61;17;19;58;39;53;27;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25
31;12;13;45;60;6;23;36;7;38;21;57;42;1;54;37;33;26;44;4;35;62;47;56;5;34;9;16;46;30;55;15;51;40;64;48;49;28;43;41;61;17;19;58;39;53;27;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25;2;236
2;236;31;12;13;45;60;6;23;36;7;38;21;57;42;1;54;37;33;26;44;4;35;62;47;56;5;34;9;16;46;30;55;15;51;40;64;48;49;28;43;41;61;17;19;58;39;53;27;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25
31;12;13;45;60;6;23;36;7;38;21;57;42;1;54;37;33;58;44;4;35;62;47;56;5;34;9;16;46;30;55;15;51;40;64;48;49;28;43;41;61;17;19;26;39;53;27;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25;2;244
2;244;31;12;13;45;60;6;23;36;7;38;21;57;42;1;54;37;33;58;44;4;35;62;47;56;5;34;9;16;46;30;55;15;51;40;64;48;49;28;43;41;61;17;19;26;39;53;27;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25
31;12;13;43;60;6;23;36;7;38;21;57;42;1;54;37;33;58;44;4;35;62;47;56;5;34;9;16;46;30;55;15;51;40;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25;2;244
2;244;31;12;13;43;60;6;23;36;7;38;21;57;42;1;54;37;33;58;44;4;35;62;47;56;5;34;9;16;46;30;55;15;51;40;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;24;32;50;22;20;2;52;10;11;8;3;59;29;14;25
31;12;13;43;60;6;23;36;7;38;21;57;42;1;54;37;33;58;44;4;35;62;47;56;5;34;9;16;46;30;55;15;51;40;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;24;32;50;52;20;2;22;10;11;8;3;59;29;14;25;2;244
2;244;31;12;13;43;60;6;23;36;7;38;21;57;42;1;54;37;33;58;44;4;35;62;47;56;5;34;9;16;46;30;55;15;51;40;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;24;32;50;52;20;2;22;10;11;8;3;59;29;14;25
31;12;13;43;60;6;23;36;7;38;21;57;42;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;40;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;24;32;50;52;20;2;22;10;11;8;3;59;29;14;25;2;248
2;248;31;12;13;43;60;6;23;36;7;38;21;57;42;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;40;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;24;32;50;52;20;2;22;10;11;8;3;59;29;14;25
31;12;13;43;60;6;23;36;40;38;21;57;42;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;24;32;50;52;20;2;22;10;11;8;3;59;29;14;25;2;248
2;248;31;12;13;43;60;6;23;36;40;38;21;57;42;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;24;32;50;52;20;2;22;10;11;8;3;59;29;14;25
31;12;13;43;60;6;23;24;40;38;21;57;42;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;36;32;50;52;20;2;22;10;11;8;3;59;29;14;25;2;252
2;252;31;12;13;43;60;6;23;24;40;38;21;57;42;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;36;32;50;52;20;2;22;10;11;8;3;59;29;14;25
31;12;13;43;60;6;23;24;40;38;21;57;42;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;36;32;50;52;20;2;29;10;11;8;3;59;22;14;25;2;252
2;252;31;12;13;43;60;6;23;24;40;38;21;57;42;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;36;32;50;52;20;2;29;10;11;8;3;59;22;14;25
31;42;13;43;60;6;23;24;40;38;21;57;12;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;36;32;50;52;20;2;29;10;11;8;3;59;22;14;25;2;252
2;252;31;42;13;43;60;6;23;24;40;38;21;57;12;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;45;41;61;17;19;26;39;53;27;63;18;36;32;50;52;20;2;29;10;11;8;3;59;22;14;25
18;42;13;43;60;6;23;24;40;38;21;57;12;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;45;41;61;17;19;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;8;3;59;22;14;25;2;252
2;252;18;42;13;43;60;6;23;24;40;38;21;57;12;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;45;41;61;17;19;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;8;3;59;22;14;25
18;42;13;43;60;6;23;24;40;38;21;57;12;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;45;41;61;17;19;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;14;3;59;22;8;25;2;252
2;252;18;42;13;43;60;6;23;24;40;38;21;57;12;1;54;37;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;45;41;61;17;19;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;14;3;59;22;8;25
18;42;13;43;60;6;23;24;40;38;21;57;12;1;54;45;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;37;41;61;17;19;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;14;3;59;22;8;25;2;258
3;258;18;42;13;43;60;6;23;24;40;38;21;57;12;1;54;45;33;58;44;4;35;62;16;56;5;34;9;47;46;30;55;15;51;7;64;48;49;28;37;41;61;17;19;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;14;3;59;22;8;25
18;42;13;43;60;6;23;24;40;38;21;57;12;1;54;45;33;58;44;4;35;62;16;56;5;19;9;47;46;30;55;15;51;7;64;48;49;28;37;41;61;17;34;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;14;3;59;22;8;25;3;258
3;258;18;42;13;43;60;6;23;24;40;38;21;57;12;1;54;45;33;58;44;4;35;62;16;56;5;19;9;47;46;30;55;15;51;7;64;48;49;28;37;41;61;17;34;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;14;3;59;22;8;25
18;42;13;43;60;6;23;24;40;38;21;57;12;1;54;45;33;58;44;4;35;62;16;56;5;19;9;47;46;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;14;3;59;49;8;25;3;250
3;250;18;42;13;43;60;6;23;24;40;38;21;57;12;1;54;45;33;58;44;4;35;62;16;56;5;19;9;47;46;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;14;3;59;49;8;25
18;42;13;43;60;6;23;24;40;38;44;57;12;1;54;45;33;58;21;4;35;62;16;56;5;19;9;47;46;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;14;3;59;49;8;25;3;250
3;250;18;42;13;43;60;6;23;24;40;38;44;57;12;1;54;45;33;58;21;4;35;62;16;56;5;19;9;47;46;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;14;3;59;49;8;25
18;42;13;43;60;6;23;24;40;38;44;57;12;1;56;45;33;58;21;4;35;62;16;54;5;19;9;47;46;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;14;3;59;49;8;25;3;264
3;264;18;42;13;43;60;6;23;24;40;38;44;57;12;1;56;45;33;58;21;4;35;62;16;54;5;19;9;47;46;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;14;3;59;49;8;25
18;42;13;14;60;6;23;24;40;38;44;57;12;1;56;45;33;58;21;4;35;62;16;54;5;19;9;47;46;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;43;3;59;49;8;25;3;260
3;260;18;42;13;14;60;6;23;24;40;38;44;57;12;1;56;45;33;58;21;4;35;62;16;54;5;19;9;47;46;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;27;63;31;36;32;50;52;20;2;29;10;11;43;3;59;49;8;25
18;42;13;14;60;6;23;24;40;38;44;57;12;1;56;45;33;58;21;4;35;62;16;54;5;19;9;47;27;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;46;63;31;36;32;50;52;20;2;29;10;11;43;3;59;49;8;25;3;260
3;260;18;42;13;14;60;6;23;24;40;38;44;57;12;1;56;45;33;58;21;4;35;62;16;54;5;19;9;47;27;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;46;63;31;36;32;50;52;20;2;29;10;11;43;3;59;49;8;25
18;42;13;14;60;6;23;24;40;38;44;57;12;52;56;45;33;58;21;4;35;62;16;54;5;19;9;47;27;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;46;63;31;36;32;50;1;20;2;29;10;11;43;3;59;49;8;25;3;244
3;244;18;42;13;14;60;6;23;24;40;38;44;57;12;52;56;45;33;58;21;4;35;62;16;54;5;19;9;47;27;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;46;63;31;36;32;50;1;20;2;29;10;11;43;3;59;49;8;25
18;42;13;14;60;6;23;24;40;38;44;32;12;52;56;45;33;58;21;4;35;62;16;54;5;19;9;47;27;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;46;63;31;36;57;50;1;20;2;29;10;11;43;3;59;49;8;25;3;244
3;244;18;42;13;14;60;6;23;24;40;38;44;32;12;52;56;45;33;58;21;4;35;62;16;54;5;19;9;47;27;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;53;46;63;31;36;57;50;1;20;2;29;10;11;43;3;59;49;8;25
18;42;13;14;60;6;23;24;40;38;44;32;12;52;56;45;33;58;21;4;35;62;16;54;5;19;9;47;53;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;27;46;63;31;36;57;50;1;20;2;29;10;11;43;3;59;49;8;25;3;264
3;264;18;42;13;14;60;6;23;24;40;38;44;32;12;52;56;45;33;58;21;4;35;62;16;54;5;19;9;47;53;30;55;15;51;7;64;48;22;28;37;41;61;17;34;26;39;27;46;63;31;36;57;50;1;20;2;29;10;11;43;3;59;49;8;25
18;42;13;14;60;6;23;24;40;38;44;32;12;52;56;45;33;58;21;4;35;62;16;54;5;19;9;47;53;30;55;11;51;7;64;48;22;28;37;41;61;17;34;26;39;27;46;63;31;36;57;50;1;20;2;29;10;15;43;3;59;49;8;25;3;266
3;266;18;42;13;14;60;6;23;24;40;38;44;32;12;52;56;45;33;58;21;4;35;62;16;54;5;19;9;47;53;30;55;11;51;7;64;48;22;28;37;41;61;17;34;26;39;27;46;63;31;36;57;50;1;20;2;29;10;15;43;3;59;49;8;25
18;42;13;14;60;6;23;24;40;38;44;32;12;52;56;45;33;58;21;4;35;62;16;54;31;19;9;47;53;30;55;11;51;7;64;48;22;28;37;41;61;17;34;26;39;27;46;63;5;36;57;50;1;20;2;29;10;15;43;3;59;49;8;25;3;266
