"X1";"X294";"X50";"X62";"X49";"X55";"X20";"X32";"X53";"X41";"X1.1";"X48";"X54";"X57";"X40";"X27";"X63";"X51";"X2";"X34";"X23";"X43";"X33";"X19";"X26";"X29";"X61";"X22";"X44";"X58";"X64";"X14";"X30";"X16";"X18";"X31";"X56";"X21";"X37";"X10";"X6";"X17";"X15";"X28";"X60";"X11";"X8";"X46";"X5";"X24";"X13";"X42";"X47";"X45";"X35";"X39";"X25";"X59";"X12";"X7";"X52";"X9";"X4";"X3";"X36";"X38"
1;272;50;62;49;55;20;6;53;41;1;44;54;57;40;59;63;51;2;34;61;38;33;19;26;29;23;22;48;58;64;14;30;16;18;31;56;21;37;10;32;17;15;25;60;11;8;46;5;24;13;42;47;45;35;39;28;27;12;7;52;9;4;3;36;43
50;62;49;55;20;6;53;41;1;44;54;57;40;59;63;51;2;34;61;38;33;19;26;29;23;22;48;58;64;14;30;16;18;31;56;21;37;10;15;17;32;25;60;11;8;46;5;24;13;42;47;45;35;39;28;27;12;7;52;9;4;3;36;43;1;272
1;272;50;62;49;55;20;6;53;41;1;44;54;57;40;59;63;51;2;34;61;38;33;19;26;29;23;22;48;58;64;14;30;16;18;31;56;21;37;10;15;17;32;25;60;11;8;46;5;24;13;42;47;45;35;39;28;27;12;7;52;9;4;3;36;43
50;62;49;55;20;6;53;41;1;44;54;57;40;59;36;51;2;34;61;38;33;19;26;29;23;22;48;58;64;14;30;16;18;31;56;21;37;10;15;17;32;25;60;11;8;46;5;24;13;42;47;45;35;39;28;27;12;7;52;9;4;3;63;43;1;272
1;272;50;62;49;55;20;6;53;41;1;44;54;57;40;59;36;51;2;34;61;38;33;19;26;29;23;22;48;58;64;14;30;16;18;31;56;21;37;10;15;17;32;25;60;11;8;46;5;24;13;42;47;45;35;39;28;27;12;7;52;9;4;3;63;43
50;62;49;55;20;6;53;41;1;44;54;57;40;59;36;51;2;34;61;38;33;19;26;29;23;22;48;58;64;24;30;16;18;31;56;21;37;10;15;17;32;25;60;11;8;46;5;14;13;42;47;45;35;39;28;27;12;7;52;9;4;3;63;43;1;272
1;272;50;62;49;55;20;6;53;41;1;44;54;57;40;59;36;51;2;34;61;38;33;19;26;29;23;22;48;58;64;24;30;16;18;31;56;21;37;10;15;17;32;25;60;11;8;46;5;14;13;42;47;45;35;39;28;27;12;7;52;9;4;3;63;43
50;59;49;55;20;6;53;41;1;44;54;57;40;62;36;51;2;34;61;38;33;19;26;29;23;22;48;58;64;24;30;16;18;31;56;21;37;10;15;17;32;25;60;11;8;46;5;14;13;42;47;45;35;39;28;27;12;7;52;9;4;3;63;43;1;268
1;268;50;59;49;55;20;6;53;41;1;44;54;57;40;62;36;51;2;34;61;38;33;19;26;29;23;22;48;58;64;24;30;16;18;31;56;21;37;10;15;17;32;25;60;11;8;46;5;14;13;42;47;45;35;39;28;27;12;7;52;9;4;3;63;43
50;59;49;55;20;6;53;41;1;44;36;57;40;62;54;51;2;34;61;38;33;19;26;29;23;22;48;58;64;24;30;16;18;31;56;21;37;10;15;17;32;25;60;11;8;46;5;14;13;42;47;45;35;39;28;27;12;7;52;9;4;3;63;43;1;262
1;262;50;59;49;55;20;6;53;41;1;44;36;57;40;62;54;51;2;34;61;38;33;19;26;29;23;22;48;58;64;24;30;16;18;31;56;21;37;10;15;17;32;25;60;11;8;46;5;14;13;42;47;45;35;39;28;27;12;7;52;9;4;3;63;43
50;59;49;55;20;6;53;41;1;44;36;57;40;62;54;4;2;34;61;38;33;19;26;29;23;22;48;58;64;24;30;16;18;31;56;21;37;10;15;17;32;25;60;11;8;46;5;14;13;42;47;45;35;39;28;27;12;7;52;9;51;3;63;43;1;262
1;262;50;59;49;55;20;6;53;41;1;44;36;57;40;62;54;4;2;34;61;38;33;19;26;29;23;22;48;58;64;24;30;16;18;31;56;21;37;10;15;17;32;25;60;11;8;46;5;14;13;42;47;45;35;39;28;27;12;7;52;9;51;3;63;43
50;59;49;55;20;6;53;41;1;44;36;57;40;62;54;4;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;18;31;56;21;37;10;15;58;32;25;60;11;8;46;5;14;13;42;47;45;35;39;28;27;12;7;52;9;51;3;63;43;1;262
1;262;50;59;49;55;20;6;53;41;1;44;36;57;40;62;54;4;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;18;31;56;21;37;10;15;58;32;25;60;11;8;46;5;14;13;42;47;45;35;39;28;27;12;7;52;9;51;3;63;43
50;59;49;55;20;6;53;41;1;44;36;57;40;62;54;4;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;18;31;56;21;37;10;15;52;32;25;60;11;8;46;5;14;13;42;47;45;35;39;28;27;12;7;58;9;51;3;63;43;1;262
1;262;50;59;49;55;20;6;53;41;1;44;36;57;40;62;54;4;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;18;31;56;21;37;10;15;52;32;25;60;11;8;46;5;14;13;42;47;45;35;39;28;27;12;7;58;9;51;3;63;43
50;59;49;55;20;6;53;41;1;44;36;57;40;62;54;4;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;35;31;56;21;37;10;15;52;32;25;60;11;8;46;5;14;13;42;47;45;18;39;28;27;12;7;58;9;51;3;63;43;1;262
1;262;50;59;49;55;20;6;53;41;1;44;36;57;40;62;54;4;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;35;31;56;21;37;10;15;52;32;25;60;11;8;46;5;14;13;42;47;45;18;39;28;27;12;7;58;9;51;3;63;43
50;59;49;55;20;6;53;41;1;44;36;57;40;62;54;4;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;35;31;56;14;37;10;15;52;32;25;60;11;8;46;5;21;13;42;47;45;18;39;28;27;12;7;58;9;51;3;63;43;1;262
1;262;50;59;49;55;20;6;53;41;1;44;36;57;40;62;54;4;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;35;31;56;14;37;10;15;52;32;25;60;11;8;46;5;21;13;42;47;45;18;39;28;27;12;7;58;9;51;3;63;43
50;59;49;55;20;6;53;41;1;44;36;57;40;4;54;62;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;35;31;56;14;37;10;15;52;32;25;60;11;8;46;5;21;13;42;47;45;18;39;28;27;12;7;58;9;51;3;63;43;1;266
1;266;50;59;49;55;20;6;53;41;1;44;36;57;40;4;54;62;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;35;31;56;14;37;10;15;52;32;25;60;11;8;46;5;21;13;42;47;45;18;39;28;27;12;7;58;9;51;3;63;43
50;59;49;63;20;6;53;41;1;44;36;57;40;4;54;62;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;35;31;56;14;37;10;15;52;32;25;60;11;8;46;5;21;13;42;47;45;18;39;28;27;12;7;58;9;51;3;55;43;1;266
1;266;50;59;49;63;20;6;53;41;1;44;36;57;40;4;54;62;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;35;31;56;14;37;10;15;52;32;25;60;11;8;46;5;21;13;42;47;45;18;39;28;27;12;7;58;9;51;3;55;43
50;59;49;63;20;6;53;41;1;44;7;57;40;4;54;62;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;35;31;56;14;37;10;15;52;32;25;60;11;8;46;5;21;13;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43;1;274
1;274;50;59;49;63;20;6;53;41;1;44;7;57;40;4;54;62;2;34;61;38;33;19;26;29;23;22;48;17;64;24;30;16;35;31;56;14;37;10;15;52;32;25;60;11;8;46;5;21;13;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43
50;59;49;61;20;6;53;41;1;44;7;57;40;4;54;62;2;34;63;38;33;19;26;29;23;22;48;17;64;24;30;16;35;31;56;14;37;10;15;52;32;25;60;11;8;46;5;21;13;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43;1;278
2;278;50;59;49;61;20;6;53;41;1;44;7;57;40;4;54;62;2;34;63;38;33;19;26;29;23;22;48;17;64;24;30;16;35;31;56;14;37;10;15;52;32;25;60;11;8;46;5;21;13;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43
50;59;49;61;20;6;53;41;1;44;7;57;40;4;54;62;2;34;63;38;33;19;26;29;23;22;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;25;60;11;8;46;5;21;31;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43;2;278
2;278;50;59;49;61;20;6;53;41;1;44;7;57;40;4;54;62;2;34;63;38;33;19;26;29;23;22;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;25;60;11;8;46;5;21;31;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43
50;59;49;61;20;6;53;41;1;44;7;57;40;4;54;62;2;34;63;38;33;19;26;29;23;22;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;8;60;11;25;46;5;21;31;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43;2;278
2;278;50;59;49;61;20;6;53;41;1;44;7;57;40;4;54;62;2;34;63;38;33;19;26;29;23;22;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;8;60;11;25;46;5;21;31;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43
50;59;49;61;20;6;53;41;1;44;7;57;40;4;54;8;2;34;63;38;33;19;26;29;23;22;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;62;60;11;25;46;5;21;31;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43;2;278
2;278;50;59;49;61;20;6;53;41;1;44;7;57;40;4;54;8;2;34;63;38;33;19;26;29;23;22;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;62;60;11;25;46;5;21;31;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;1;44;7;57;20;4;54;8;2;34;63;38;33;19;26;29;23;22;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;62;60;11;25;46;5;21;31;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43;2;278
2;278;50;59;49;61;40;6;53;41;1;44;7;57;20;4;54;8;2;34;63;38;33;19;26;29;23;22;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;62;60;11;25;46;5;21;31;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;1;44;7;57;20;4;54;8;2;34;63;38;33;22;26;29;23;19;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;62;60;11;25;46;5;21;31;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43;2;280
2;280;50;59;49;61;40;6;53;41;1;44;7;57;20;4;54;8;2;34;63;38;33;22;26;29;23;19;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;62;60;11;25;46;5;21;31;42;47;45;18;39;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;1;44;7;57;20;45;54;8;2;34;63;38;33;22;26;29;23;19;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;62;60;11;25;46;5;21;31;42;47;4;18;39;28;27;12;36;58;9;51;3;55;43;2;268
2;268;50;59;49;61;40;6;53;41;1;44;7;57;20;45;54;8;2;34;63;38;33;22;26;29;23;19;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;62;60;11;25;46;5;21;31;42;47;4;18;39;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;1;44;7;57;20;45;54;8;2;34;63;38;33;22;26;25;23;19;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;62;60;11;29;46;5;21;31;42;47;4;18;39;28;27;12;36;58;9;51;3;55;43;2;268
2;268;50;59;49;61;40;6;53;41;1;44;7;57;20;45;54;8;2;34;63;38;33;22;26;25;23;19;48;17;64;24;30;16;35;13;56;14;37;10;15;52;32;62;60;11;29;46;5;21;31;42;47;4;18;39;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;1;44;7;57;52;45;54;8;2;34;63;38;33;22;26;25;23;19;48;17;64;24;30;16;35;13;56;14;37;10;15;20;32;62;60;11;29;46;5;21;31;42;47;4;18;39;28;27;12;36;58;9;51;3;55;43;2;268
2;268;50;59;49;61;40;6;53;41;1;44;7;57;52;45;54;8;2;34;63;38;33;22;26;25;23;19;48;17;64;24;30;16;35;13;56;14;37;10;15;20;32;62;60;11;29;46;5;21;31;42;47;4;18;39;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;5;44;7;57;52;45;54;8;2;34;63;38;33;22;26;25;23;19;48;17;64;24;30;16;35;13;56;14;37;10;15;20;32;62;60;11;29;46;1;21;31;42;47;4;18;39;28;27;12;36;58;9;51;3;55;43;2;268
2;268;50;59;49;61;40;6;53;41;5;44;7;57;52;45;54;8;2;34;63;38;33;22;26;25;23;19;48;17;64;24;30;16;35;13;56;14;37;10;15;20;32;62;60;11;29;46;1;21;31;42;47;4;18;39;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;5;44;7;57;52;45;54;8;2;34;63;38;23;22;26;25;33;19;48;17;64;24;30;16;35;13;56;14;37;10;15;20;32;62;60;11;29;46;1;21;31;42;47;4;18;39;28;27;12;36;58;9;51;3;55;43;2;268
2;268;50;59;49;61;40;6;53;41;5;44;7;57;52;45;54;8;2;34;63;38;23;22;26;25;33;19;48;17;64;24;30;16;35;13;56;14;37;10;15;20;32;62;60;11;29;46;1;21;31;42;47;4;18;39;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;5;44;7;57;52;45;54;8;2;62;63;38;23;22;26;25;33;19;48;17;64;24;30;16;35;13;56;14;37;10;15;20;32;34;60;11;29;46;1;21;31;42;47;4;18;39;28;27;12;36;58;9;51;3;55;43;2;268
2;268;50;59;49;61;40;6;53;41;5;44;7;57;52;45;54;8;2;62;63;38;23;22;26;25;33;19;48;17;64;24;30;16;35;13;56;14;37;10;15;20;32;34;60;11;29;46;1;21;31;42;47;4;18;39;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;5;44;7;57;52;45;54;8;2;62;63;38;23;22;26;25;33;19;48;17;64;24;30;16;35;13;56;39;37;10;15;20;32;34;60;11;29;46;1;21;31;42;47;4;18;14;28;27;12;36;58;9;51;3;55;43;2;268
2;268;50;59;49;61;40;6;53;41;5;44;7;57;52;45;54;8;2;62;63;38;23;22;26;25;33;19;48;17;64;24;30;16;35;13;56;39;37;10;15;20;32;34;60;11;29;46;1;21;31;42;47;4;18;14;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;62;63;38;23;22;26;25;33;19;48;17;64;24;30;16;35;13;56;39;37;10;15;52;32;34;60;11;29;46;1;21;31;42;47;4;18;14;28;27;12;36;58;9;51;3;55;43;2;268
2;268;50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;62;63;38;23;22;26;25;33;19;48;17;64;24;30;16;35;13;56;39;37;10;15;52;32;34;60;11;29;46;1;21;31;42;47;4;18;14;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;62;23;38;63;22;26;25;33;19;48;17;64;24;30;16;35;13;56;39;37;10;15;52;32;34;60;11;29;46;1;21;31;42;47;4;18;14;28;27;12;36;58;9;51;3;55;43;2;272
2;272;50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;62;23;38;63;22;26;25;33;19;48;17;64;24;30;16;35;13;56;39;37;10;15;52;32;34;60;11;29;46;1;21;31;42;47;4;18;14;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;48;23;38;63;22;26;25;33;19;62;17;64;24;30;16;35;13;56;39;37;10;15;52;32;34;60;11;29;46;1;21;31;42;47;4;18;14;28;27;12;36;58;9;51;3;55;43;2;284
2;284;50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;48;23;38;63;22;26;25;33;19;62;17;64;24;30;16;35;13;56;39;37;10;15;52;32;34;60;11;29;46;1;21;31;42;47;4;18;14;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;39;23;38;63;22;26;25;33;19;62;17;64;24;30;16;35;13;56;48;37;10;15;52;32;34;60;11;29;46;1;21;31;42;47;4;18;14;28;27;12;36;58;9;51;3;55;43;2;284
2;284;50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;39;23;38;63;22;26;25;33;19;62;17;64;24;30;16;35;13;56;48;37;10;15;52;32;34;60;11;29;46;1;21;31;42;47;4;18;14;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;39;23;38;63;22;26;25;33;19;62;17;64;24;30;16;35;13;56;48;37;10;15;52;32;34;60;11;29;46;1;21;31;42;47;14;18;4;28;27;12;36;58;9;51;3;55;43;2;284
2;284;50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;39;23;38;63;22;26;25;33;19;62;17;64;24;30;16;35;13;56;48;37;10;15;52;32;34;60;11;29;46;1;21;31;42;47;14;18;4;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;39;23;38;63;22;26;25;33;19;62;17;64;24;30;16;35;13;15;48;37;10;56;52;32;34;60;11;29;46;1;21;31;42;47;14;18;4;28;27;12;36;58;9;51;3;55;43;2;272
2;272;50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;39;23;38;63;22;26;25;33;19;62;17;64;24;30;16;35;13;15;48;37;10;56;52;32;34;60;11;29;46;1;21;31;42;47;14;18;4;28;27;12;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;39;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;37;10;56;52;32;34;60;11;29;46;1;21;31;42;47;14;18;4;28;27;24;36;58;9;51;3;55;43;2;276
2;276;50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;39;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;37;10;56;52;32;34;60;11;29;46;1;21;31;42;47;14;18;4;28;27;24;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;39;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;10;56;52;32;34;60;11;29;46;1;21;31;42;47;14;18;4;28;27;37;36;58;9;51;3;55;43;2;292
3;292;50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;39;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;10;56;52;32;34;60;11;29;46;1;21;31;42;47;14;18;4;28;27;37;36;58;9;51;3;55;43
50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;34;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;10;56;52;32;39;60;11;29;46;1;21;31;42;47;14;18;4;28;27;37;36;58;9;51;3;55;43;3;292
3;292;50;59;49;61;40;6;53;41;5;44;7;57;20;45;54;8;2;34;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;10;56;52;32;39;60;11;29;46;1;21;31;42;47;14;18;4;28;27;37;36;58;9;51;3;55;43
50;59;49;61;51;6;53;41;5;44;7;57;20;45;54;8;2;34;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;10;56;52;32;39;60;11;29;46;1;21;31;42;47;14;18;4;28;27;37;36;58;9;40;3;55;43;3;292
3;292;50;59;49;61;51;6;53;41;5;44;7;57;20;45;54;8;2;34;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;10;56;52;32;39;60;11;29;46;1;21;31;42;47;14;18;4;28;27;37;36;58;9;40;3;55;43
50;59;49;61;51;6;53;41;5;44;7;57;20;45;54;8;2;34;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;10;56;52;32;39;60;11;29;46;1;21;31;42;47;14;18;4;28;27;58;36;37;9;40;3;55;43;3;292
3;292;50;59;49;61;51;6;53;41;5;44;7;57;20;45;54;8;2;34;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;10;56;52;32;39;60;11;29;46;1;21;31;42;47;14;18;4;28;27;58;36;37;9;40;3;55;43
50;59;49;61;51;6;53;41;5;44;7;57;20;45;31;8;2;34;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;10;56;52;32;39;60;11;29;46;1;21;54;42;47;14;18;4;28;27;58;36;37;9;40;3;55;43;3;288
3;288;50;59;49;61;51;6;53;41;5;44;7;57;20;45;31;8;2;34;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;10;56;52;32;39;60;11;29;46;1;21;54;42;47;14;18;4;28;27;58;36;37;9;40;3;55;43
50;59;49;61;51;6;53;41;5;44;7;57;20;45;31;8;2;34;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;10;56;52;32;39;60;11;29;46;1;21;54;42;47;14;18;4;28;27;58;36;37;9;3;40;55;43;3;288
3;288;50;59;49;61;51;6;53;41;5;44;7;57;20;45;31;8;2;34;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;10;56;52;32;39;60;11;29;46;1;21;54;42;47;14;18;4;28;27;58;36;37;9;3;40;55;43
50;59;49;61;51;6;53;41;5;44;7;57;20;45;31;8;2;34;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;32;56;52;10;39;60;11;29;46;1;21;54;42;47;14;18;4;28;27;58;36;37;9;3;40;55;43;3;288
3;288;50;59;49;61;51;6;53;41;5;44;7;57;20;45;31;8;2;34;23;38;63;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;32;56;52;10;39;60;11;29;46;1;21;54;42;47;14;18;4;28;27;58;36;37;9;3;40;55;43
50;59;49;61;51;6;53;41;5;44;7;57;20;45;63;8;2;34;23;38;31;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;32;56;52;10;39;60;11;29;46;1;21;54;42;47;14;18;4;28;27;58;36;37;9;3;40;55;43;3;290
3;290;50;59;49;61;51;6;53;41;5;44;7;57;20;45;63;8;2;34;23;38;31;22;26;25;33;19;62;17;64;12;30;16;35;13;15;48;24;32;56;52;10;39;60;11;29;46;1;21;54;42;47;14;18;4;28;27;58;36;37;9;3;40;55;43
50;59;49;61;51;6;53;41;5;44;7;57;20;45;63;8;2;34;23;38;31;22;26;25;33;19;62;17;4;12;30;16;35;13;15;48;24;32;56;52;10;39;60;11;29;46;1;21;54;42;47;14;18;64;28;27;58;36;37;9;3;40;55;43;3;290
3;290;50;59;49;61;51;6;53;41;5;44;7;57;20;45;63;8;2;34;23;38;31;22;26;25;33;19;62;17;4;12;30;16;35;13;15;48;24;32;56;52;10;39;60;11;29;46;1;21;54;42;47;14;18;64;28;27;58;36;37;9;3;40;55;43
50;59;49;61;51;6;53;41;5;44;7;57;20;45;31;8;2;34;23;38;63;22;26;25;33;19;62;17;4;12;30;16;35;13;15;48;24;32;56;52;10;39;60;11;29;46;1;21;54;42;47;14;18;64;28;27;58;36;37;9;3;40;55;43;3;288
3;288;50;59;49;61;51;6;53;41;5;44;7;57;20;45;31;8;2;34;23;38;63;22;26;25;33;19;62;17;4;12;30;16;35;13;15;48;24;32;56;52;10;39;60;11;29;46;1;21;54;42;47;14;18;64;28;27;58;36;37;9;3;40;55;43
50;59;49;61;51;6;53;41;5;44;7;57;20;45;31;8;2;34;29;38;63;22;26;25;33;19;62;17;4;12;30;16;35;13;15;48;24;32;56;52;10;39;60;11;23;46;1;21;54;42;47;14;18;64;28;27;58;36;37;9;3;40;55;43;3;284
3;284;50;59;49;61;51;6;53;41;5;44;7;57;20;45;31;8;2;34;29;38;63;22;26;25;33;19;62;17;4;12;30;16;35;13;15;48;24;32;56;52;10;39;60;11;23;46;1;21;54;42;47;14;18;64;28;27;58;36;37;9;3;40;55;43
50;59;49;61;51;6;53;41;5;44;7;57;20;45;31;8;2;34;29;38;63;22;26;25;33;19;62;17;4;12;30;16;35;13;15;48;24;32;56;52;10;39;60;9;23;46;1;21;54;42;47;14;18;64;28;27;58;36;37;11;3;40;55;43;3;280
